Entity,Code,Year,"8.8.1 - Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_FTLINJUR - No breakdown - Both sexes (per 100,000 employees)"
Estonia,EST,2013,3860
Estonia,EST,2014,2880
Estonia,EST,2015,3100
Estonia,EST,2016,4030.0000000000005
Finland,FIN,2000,2300
Finland,FIN,2001,2100
Finland,FIN,2002,1800
Finland,FIN,2003,2100
Finland,FIN,2004,2100
Finland,FIN,2005,2400
Finland,FIN,2006,2200
Finland,FIN,2007,1700
Finland,FIN,2009,1300
Finland,FIN,2010,1310
Finland,FIN,2011,1330
Finland,FIN,2012,1490
Finland,FIN,2013,940
Finland,FIN,2014,1480
Finland,FIN,2015,1440
France,FRA,2000,4410
France,FRA,2001,4200
France,FRA,2002,3800
France,FRA,2003,3700
France,FRA,2004,3500
France,FRA,2005,2650
France,FRA,2006,3020
France,FRA,2007,3400
France,FRA,2008,2000
France,FRA,2009,2170
France,FRA,2010,2440
France,FRA,2011,3090
France,FRA,2012,2530
France,FRA,2013,2420
France,FRA,2014,2690
France,FRA,2015,2550
Germany,DEU,2009,1060
Germany,DEU,2010,1200
Germany,DEU,2011,1180
Germany,DEU,2012,1190
Germany,DEU,2013,990
Germany,DEU,2014,1100
Germany,DEU,2015,970
Greece,GRC,2000,4100
Greece,GRC,2001,5900
Greece,GRC,2002,5300
Greece,GRC,2003,5430
Greece,GRC,2009,730
Greece,GRC,2010,750
Greece,GRC,2011,880
Greece,GRC,2012,720
Greece,GRC,2013,650
Greece,GRC,2014,790
Greece,GRC,2015,1190
Greece,GRC,2016,1250
Hungary,HUN,2000,3980
Hungary,HUN,2001,3210
Hungary,HUN,2002,4210
Hungary,HUN,2003,3390
Hungary,HUN,2004,4100
Hungary,HUN,2005,3200
Hungary,HUN,2006,3130
Hungary,HUN,2007,3010
Hungary,HUN,2008,2990
Hungary,HUN,2009,2670
Hungary,HUN,2010,2740
Hungary,HUN,2011,2440
Hungary,HUN,2012,1730
Hungary,HUN,2013,1420
Hungary,HUN,2014,2250
Hungary,HUN,2015,2290
Hungary,HUN,2016,1800
Iceland,ISL,2011,0
Iceland,ISL,2012,0
Iceland,ISL,2013,0
India,IND,2000,51000
India,IND,2001,77900
India,IND,2002,87800
India,IND,2003,82500
India,IND,2004,89300
India,IND,2005,133400
India,IND,2006,98300
India,IND,2007,116800
Ireland,IRL,2000,4200
Ireland,IRL,2001,3800
Ireland,IRL,2002,3000
Ireland,IRL,2003,3200
Ireland,IRL,2004,2500
Ireland,IRL,2005,3300
Ireland,IRL,2006,2200
Ireland,IRL,2007,2800
Ireland,IRL,2008,2500
Ireland,IRL,2009,2090
Ireland,IRL,2010,2160
Ireland,IRL,2011,2760
Ireland,IRL,2012,2230
Ireland,IRL,2013,2070
Ireland,IRL,2014,2460
Ireland,IRL,2015,2460
Israel,ISR,2000,4300
Israel,ISR,2001,4200
Israel,ISR,2002,3830
Israel,ISR,2003,3600
Israel,ISR,2004,3300
Israel,ISR,2005,3000
Israel,ISR,2006,3000
Israel,ISR,2007,2600
Israel,ISR,2008,3390
Israel,ISR,2009,1700
Israel,ISR,2010,2029.9999999999998
Israel,ISR,2011,2420
Israel,ISR,2012,2060
Israel,ISR,2014,1990
Israel,ISR,2015,1730
Israel,ISR,2016,1440
Italy,ITA,2000,7000
Italy,ITA,2001,6000
Italy,ITA,2002,5000
Italy,ITA,2003,5000
Italy,ITA,2004,5000
Italy,ITA,2005,5000
Italy,ITA,2006,5000
Italy,ITA,2007,4000
Italy,ITA,2008,4000
Italy,ITA,2009,3010
Italy,ITA,2010,3020
Italy,ITA,2011,2710
Italy,ITA,2012,2640
Italy,ITA,2013,2310
Italy,ITA,2014,2340
Italy,ITA,2015,2420
Japan,JPN,2016,2000
Japan,JPN,2017,2000
Jordan,JOR,2001,9160
Jordan,JOR,2002,11770
Jordan,JOR,2003,14990
Jordan,JOR,2004,10010
Jordan,JOR,2005,10640
Jordan,JOR,2006,13150
Kazakhstan,KAZ,2000,11300
Kazakhstan,KAZ,2001,9700
Kazakhstan,KAZ,2002,10700
Kazakhstan,KAZ,2003,9300
Kazakhstan,KAZ,2004,10400
Kazakhstan,KAZ,2005,10300
Kazakhstan,KAZ,2006,11300
Kazakhstan,KAZ,2007,8700
Kazakhstan,KAZ,2008,8200
Kazakhstan,KAZ,2009,7460
Kazakhstan,KAZ,2010,7630
Kazakhstan,KAZ,2013,5910
Kazakhstan,KAZ,2015,5000
Kyrgyzstan,KGZ,2000,7000
Kyrgyzstan,KGZ,2001,7000
Kyrgyzstan,KGZ,2002,7000
Kyrgyzstan,KGZ,2003,5000
Kyrgyzstan,KGZ,2004,8000
Kyrgyzstan,KGZ,2005,5000
Kyrgyzstan,KGZ,2006,5000
Kyrgyzstan,KGZ,2007,5000
Kyrgyzstan,KGZ,2008,5000
Kyrgyzstan,KGZ,2013,6000
Kyrgyzstan,KGZ,2015,4100
Latvia,LVA,2002,6900
Latvia,LVA,2003,4900
Latvia,LVA,2004,6900
Latvia,LVA,2005,6000
Latvia,LVA,2006,5500
Latvia,LVA,2007,5700
Latvia,LVA,2009,3300
Latvia,LVA,2010,3500
Latvia,LVA,2011,4080
Latvia,LVA,2012,4350
Latvia,LVA,2013,3480
Latvia,LVA,2014,4500
Latvia,LVA,2015,3700
Lithuania,LTU,2000,8600
Lithuania,LTU,2001,8900
Lithuania,LTU,2002,8100
Lithuania,LTU,2003,11300
Lithuania,LTU,2004,9000
Lithuania,LTU,2005,10900
Lithuania,LTU,2006,9600
Lithuania,LTU,2007,8700
Lithuania,LTU,2008,6800
Lithuania,LTU,2009,4360
Lithuania,LTU,2010,4019.9999999999995
Lithuania,LTU,2011,4059.9999999999995
Lithuania,LTU,2012,4980
Lithuania,LTU,2013,4640
Lithuania,LTU,2014,4740
Lithuania,LTU,2015,3760
Lithuania,LTU,2016,4210
Luxembourg,LUX,2000,4650
Luxembourg,LUX,2002,5710
Luxembourg,LUX,2003,4930
Luxembourg,LUX,2004,1890
Luxembourg,LUX,2008,2920
Luxembourg,LUX,2009,1490
Luxembourg,LUX,2010,1530
Luxembourg,LUX,2011,2980
Luxembourg,LUX,2012,3620
Luxembourg,LUX,2013,2140
Luxembourg,LUX,2014,4820
Luxembourg,LUX,2015,3300
Malaysia,MYS,2000,11300
Malaysia,MYS,2001,10900
Malaysia,MYS,2002,10800
Malaysia,MYS,2011,9000
Malaysia,MYS,2012,6000
Malaysia,MYS,2013,5000
Malaysia,MYS,2015,5000
Malta,MLT,2000,3670
Malta,MLT,2001,4280
Malta,MLT,2002,2820
Malta,MLT,2003,8200
Malta,MLT,2004,8100
Malta,MLT,2005,4000
Malta,MLT,2006,5200
Malta,MLT,2007,4500
Malta,MLT,2008,1870
Malta,MLT,2009,4970
Malta,MLT,2010,4870
Malta,MLT,2011,1190
Malta,MLT,2012,5900
Malta,MLT,2013,2270
Malta,MLT,2014,2200
Malta,MLT,2015,2690
Mauritius,MUS,2001,2000
Mauritius,MUS,2002,7000
Mauritius,MUS,2008,1000
Mexico,MEX,2000,14000
Mexico,MEX,2001,12000
Mexico,MEX,2002,11000
Mexico,MEX,2003,12000
Mexico,MEX,2004,11000
Mexico,MEX,2005,11000
Mexico,MEX,2006,10000
Mexico,MEX,2007,9000
Mexico,MEX,2008,10000
Mexico,MEX,2009,10000
Mexico,MEX,2010,10000
Mexico,MEX,2011,10540
Mexico,MEX,2012,9780
Mexico,MEX,2013,8090
Mexico,MEX,2014,7910
Mexico,MEX,2015,8230
Mexico,MEX,2016,7730
Mexico,MEX,2017,7460
Moldova,MDA,2000,6500
Moldova,MDA,2001,5000
Moldova,MDA,2002,5300
Moldova,MDA,2003,5600
Moldova,MDA,2004,4900
Moldova,MDA,2005,6400
Moldova,MDA,2006,4700
Moldova,MDA,2007,7100
Moldova,MDA,2008,5300
Moldova,MDA,2009,4900
Moldova,MDA,2010,6600
Moldova,MDA,2013,6200
Moldova,MDA,2014,5900
Moldova,MDA,2015,5700
Moldova,MDA,2016,5200
Moldova,MDA,2017,7300
Mongolia,MNG,2016,2700
Myanmar,MMR,2000,4430
Myanmar,MMR,2001,4090
Myanmar,MMR,2002,2630
Myanmar,MMR,2003,3000
Myanmar,MMR,2004,3000
Myanmar,MMR,2005,2000
Myanmar,MMR,2007,7000
Myanmar,MMR,2008,7470
Myanmar,MMR,2009,8850
Myanmar,MMR,2010,6700
Myanmar,MMR,2011,5360
Myanmar,MMR,2012,3810
Myanmar,MMR,2013,3680
Myanmar,MMR,2014,2910
Myanmar,MMR,2015,3610
Myanmar,MMR,2016,4080
Myanmar,MMR,2017,2570
Namibia,NAM,2000,7000
Namibia,NAM,2001,5000
Netherlands,NLD,2009,1080
Netherlands,NLD,2010,990
Netherlands,NLD,2011,690
Netherlands,NLD,2012,520
Netherlands,NLD,2013,640
Netherlands,NLD,2014,710
Netherlands,NLD,2015,540
New Zealand,NZL,2012,2470
New Zealand,NZL,2015,2300
Nicaragua,NIC,2000,9000
Nicaragua,NIC,2001,10000
Nicaragua,NIC,2002,9000
Nicaragua,NIC,2003,6000
Nicaragua,NIC,2009,7630
Nicaragua,NIC,2010,7950
Norway,NOR,2000,2500
Norway,NOR,2001,1600
Norway,NOR,2002,1700
Norway,NOR,2003,2100
Norway,NOR,2004,1700
Norway,NOR,2005,2100
Norway,NOR,2006,1300
Norway,NOR,2007,1600
Norway,NOR,2008,2000
Norway,NOR,2009,1760
Norway,NOR,2010,1630
Norway,NOR,2011,2160
Norway,NOR,2012,1430
Norway,NOR,2013,1850
Norway,NOR,2014,1740
Norway,NOR,2015,1510
Pakistan,PAK,2001,55780
Pakistan,PAK,2002,44250
Palestine,PSE,2015,38380
Panama,PAN,2000,6650
Panama,PAN,2001,8150
Panama,PAN,2002,6300
Panama,PAN,2003,8270
Panama,PAN,2004,5660
Panama,PAN,2005,6400
Panama,PAN,2006,8710
Panama,PAN,2011,1600
Panama,PAN,2012,1500
Panama,PAN,2013,1300
Panama,PAN,2014,1240
Panama,PAN,2015,1500
Panama,PAN,2016,4000
Philippines,PHL,2000,9470
Philippines,PHL,2002,11840
Philippines,PHL,2003,7130
Philippines,PHL,2007,3940
Philippines,PHL,2009,3950
Philippines,PHL,2011,4440
Philippines,PHL,2013,6400
Philippines,PHL,2015,3800
Poland,POL,2000,5200
Poland,POL,2001,5100
Poland,POL,2002,4900
Poland,POL,2003,4900
Poland,POL,2004,4700
Poland,POL,2005,4400
Poland,POL,2006,4600
Poland,POL,2007,4300
Poland,POL,2008,4500
Poland,POL,2009,4650
Poland,POL,2010,3330
Poland,POL,2011,2500
Poland,POL,2012,2300
Poland,POL,2013,1830
Poland,POL,2014,1750
Poland,POL,2015,1900
Portugal,PRT,2000,8700
Portugal,PRT,2001,8300
Portugal,PRT,2002,8100
Portugal,PRT,2003,7100
Portugal,PRT,2004,7000
Portugal,PRT,2005,7000
Portugal,PRT,2006,6000
Portugal,PRT,2007,6300
Portugal,PRT,2009,4210
Portugal,PRT,2010,4280
Portugal,PRT,2011,5120
Portugal,PRT,2012,4800
Portugal,PRT,2013,3630
Portugal,PRT,2014,3580
Portugal,PRT,2015,3540
Qatar,QAT,2016,1710
Romania,ROU,2000,8000
Romania,ROU,2001,7070
Romania,ROU,2002,7000
Romania,ROU,2003,7000
Romania,ROU,2004,7000
Romania,ROU,2005,8990
Romania,ROU,2006,7170
Romania,ROU,2007,8410
Romania,ROU,2008,9000
Romania,ROU,2009,4450
Romania,ROU,2010,5300
Romania,ROU,2011,6390
Romania,ROU,2012,5780
Romania,ROU,2013,5600
Romania,ROU,2014,5520
Romania,ROU,2015,5560
Romania,ROU,2016,3770
Russia,RUS,2000,14900
Russia,RUS,2001,15000
Russia,RUS,2002,13800
Russia,RUS,2003,13100
Russia,RUS,2004,12900
Russia,RUS,2005,12400
Russia,RUS,2006,11900
Russia,RUS,2007,12000
Russia,RUS,2008,11000
Russia,RUS,2009,9000
Russia,RUS,2010,9000
Russia,RUS,2011,9000
Russia,RUS,2012,8000
Russia,RUS,2013,8000
Russia,RUS,2014,7000
Russia,RUS,2015,6000
Russia,RUS,2016,6000
Russia,RUS,2017,6000
Saint Vincent and the Grenadines,VCT,2000,0
Saint Vincent and the Grenadines,VCT,2001,0
Saint Vincent and the Grenadines,VCT,2002,0
Saint Vincent and the Grenadines,VCT,2003,0
Saint Vincent and the Grenadines,VCT,2004,0
Saint Vincent and the Grenadines,VCT,2005,0
Saint Vincent and the Grenadines,VCT,2006,0
Saint Vincent and the Grenadines,VCT,2007,0
Saint Vincent and the Grenadines,VCT,2008,2620
San Marino,SMR,2000,0
San Marino,SMR,2001,0
San Marino,SMR,2002,0
San Marino,SMR,2003,0
San Marino,SMR,2004,0
San Marino,SMR,2005,0
Singapore,SGP,2000,10820
Singapore,SGP,2001,7930
Singapore,SGP,2002,10150
Singapore,SGP,2003,11810
Singapore,SGP,2004,8200
Singapore,SGP,2005,6850
Singapore,SGP,2006,3090
Singapore,SGP,2007,2900
Singapore,SGP,2008,2800
Singapore,SGP,2009,2900
Singapore,SGP,2010,2200
Singapore,SGP,2011,2300
Singapore,SGP,2012,2100
Singapore,SGP,2013,2100
Singapore,SGP,2014,1800
Singapore,SGP,2015,1900
Singapore,SGP,2016,1900
Singapore,SGP,2017,1200
Slovakia,SVK,2000,4270
Slovakia,SVK,2001,4910
Slovakia,SVK,2002,4290
Slovakia,SVK,2003,4660
Slovakia,SVK,2004,3910
Slovakia,SVK,2005,3720
Slovakia,SVK,2006,4600
Slovakia,SVK,2007,4100
Slovakia,SVK,2008,4200
Slovakia,SVK,2009,1920
Slovakia,SVK,2010,1910
Slovakia,SVK,2011,1560
Slovakia,SVK,2012,2170
Slovakia,SVK,2013,2400
Slovakia,SVK,2014,1690
Slovakia,SVK,2015,2670
Slovakia,SVK,2016,2000
Slovenia,SVN,2000,3300
Slovenia,SVN,2001,4300
Slovenia,SVN,2002,4000
Slovenia,SVN,2003,5100
Slovenia,SVN,2004,2600
Slovenia,SVN,2005,2600
Slovenia,SVN,2006,3800
Slovenia,SVN,2007,5000
Slovenia,SVN,2009,2650
Slovenia,SVN,2010,3000
Slovenia,SVN,2011,2600
Slovenia,SVN,2012,2730
Slovenia,SVN,2013,2500
Slovenia,SVN,2014,3090
Slovenia,SVN,2015,2790
South Korea,KOR,2000,14260
South Korea,KOR,2001,12270
South Korea,KOR,2002,12020
South Korea,KOR,2003,13280
South Korea,KOR,2004,13530
South Korea,KOR,2005,11650
South Korea,KOR,2006,10590
South Korea,KOR,2007,9070
South Korea,KOR,2008,8690
South Korea,KOR,2009,8180
South Korea,KOR,2010,7850
South Korea,KOR,2011,7860
South Korea,KOR,2012,7290
South Korea,KOR,2013,7060
South Korea,KOR,2014,5810
South Korea,KOR,2015,5310
South Korea,KOR,2016,5260
South Korea,KOR,2017,5190
Spain,ESP,2000,9200
Spain,ESP,2001,8000
Spain,ESP,2002,6060
Spain,ESP,2003,5270
Spain,ESP,2004,4890
Spain,ESP,2005,4500
Spain,ESP,2006,4400
Spain,ESP,2007,3600
Spain,ESP,2008,3300
Spain,ESP,2009,2610
Spain,ESP,2010,2320
Spain,ESP,2011,2510
Spain,ESP,2012,2170
Spain,ESP,2013,1890
Spain,ESP,2014,2020
Spain,ESP,2015,2310
Spain,ESP,2016,1790
Sri Lanka,LKA,2000,1650
Sri Lanka,LKA,2001,1270
Sri Lanka,LKA,2002,1310
Sri Lanka,LKA,2003,1970
Sri Lanka,LKA,2004,1400
Sri Lanka,LKA,2005,1730
Sri Lanka,LKA,2006,2800
Sri Lanka,LKA,2007,6250
Sri Lanka,LKA,2008,1630
Sri Lanka,LKA,2014,880
Sri Lanka,LKA,2015,970
Sri Lanka,LKA,2016,840
Sri Lanka,LKA,2017,830
Sweden,SWE,2000,1500
Sweden,SWE,2001,1400
Sweden,SWE,2002,1400
Sweden,SWE,2003,1300
Sweden,SWE,2004,1400
Sweden,SWE,2005,1600
Sweden,SWE,2006,1600
Sweden,SWE,2007,1700
Sweden,SWE,2008,1500
Sweden,SWE,2009,960
Sweden,SWE,2010,940
Sweden,SWE,2011,1250
Sweden,SWE,2012,980
Sweden,SWE,2013,790
Sweden,SWE,2014,890
Sweden,SWE,2015,730
Sweden,SWE,2016,1000
Switzerland,CHE,2000,2300
Switzerland,CHE,2001,2000
Switzerland,CHE,2002,1500
Switzerland,CHE,2003,1300
Switzerland,CHE,2004,1900
Switzerland,CHE,2005,1300
Switzerland,CHE,2006,1400
Switzerland,CHE,2007,1600
Switzerland,CHE,2008,1100
Switzerland,CHE,2009,1650
Switzerland,CHE,2010,2150
Switzerland,CHE,2011,1230
Switzerland,CHE,2012,1610
Switzerland,CHE,2013,1750
Switzerland,CHE,2014,1630
Switzerland,CHE,2015,1320
Thailand,THA,2000,11300
Thailand,THA,2001,10900
Thailand,THA,2002,9940
Thailand,THA,2003,11190
Thailand,THA,2004,11660
Thailand,THA,2005,18700
Thailand,THA,2006,10100
Thailand,THA,2007,9100
Thailand,THA,2008,7530
Thailand,THA,2009,7510
Thailand,THA,2010,7580
Thailand,THA,2011,6700
Thailand,THA,2012,8360
Thailand,THA,2013,7130
Thailand,THA,2014,6840
Togo,TGO,2000,11700
Togo,TGO,2001,16800
Togo,TGO,2002,11310
Togo,TGO,2003,15000
Togo,TGO,2004,16300
Trinidad and Tobago,TTO,2000,900
Trinidad and Tobago,TTO,2001,500
Trinidad and Tobago,TTO,2002,100
Trinidad and Tobago,TTO,2003,500
Trinidad and Tobago,TTO,2004,500
Trinidad and Tobago,TTO,2005,3100
Trinidad and Tobago,TTO,2006,1900
Tunisia,TUN,2000,14930
Tunisia,TUN,2001,15860
Tunisia,TUN,2002,14310
Tunisia,TUN,2003,16020
Tunisia,TUN,2004,13070
Turkey,TUR,2000,24600
Turkey,TUR,2001,20600
Turkey,TUR,2002,16800
Turkey,TUR,2003,14400
Turkey,TUR,2004,13600
Turkey,TUR,2005,15800
Turkey,TUR,2006,20500
Turkey,TUR,2007,12270
Turkey,TUR,2008,9040
Turkey,TUR,2009,11910
Turkey,TUR,2010,13290
Turkey,TUR,2011,14350
Turkey,TUR,2012,5750
Turkey,TUR,2013,8310
Turkey,TUR,2014,9390
Turkey,TUR,2015,6870
Turkey,TUR,2016,7520
Ukraine,UKR,2000,9500
Ukraine,UKR,2001,10500
Ukraine,UKR,2002,10000
Ukraine,UKR,2003,9400
Ukraine,UKR,2004,8900
Ukraine,UKR,2005,8400
Ukraine,UKR,2006,8300
Ukraine,UKR,2007,9300
Ukraine,UKR,2008,8000
Ukraine,UKR,2009,5510
Ukraine,UKR,2010,5580
Ukraine,UKR,2011,5820
Ukraine,UKR,2012,5680
Ukraine,UKR,2013,5020
Ukraine,UKR,2014,4300
Ukraine,UKR,2015,4000
Ukraine,UKR,2016,4500
Ukraine,UKR,2017,3800
United Kingdom,GBR,2000,900
United Kingdom,GBR,2001,800
United Kingdom,GBR,2002,740
United Kingdom,GBR,2003,700
United Kingdom,GBR,2004,700
United Kingdom,GBR,2005,600
United Kingdom,GBR,2006,720
United Kingdom,GBR,2009,490
United Kingdom,GBR,2010,520
United Kingdom,GBR,2011,680
United Kingdom,GBR,2012,550
United Kingdom,GBR,2013,920
United Kingdom,GBR,2014,810
United Kingdom,GBR,2015,830
United States,USA,2000,4000
United States,USA,2001,4000
United States,USA,2002,4000
United States,USA,2003,4000
United States,USA,2004,4000
United States,USA,2005,4000
United States,USA,2006,4000
United States,USA,2007,4000
United States,USA,2008,3700
United States,USA,2009,5190
United States,USA,2010,5530
United States,USA,2011,5110
United States,USA,2012,5040
United States,USA,2013,5000
United States,USA,2014,5260
United States,USA,2015,4830
United States,USA,2016,5240
Zimbabwe,ZWE,2000,8450
Zimbabwe,ZWE,2001,6180
Zimbabwe,ZWE,2005,6200
Zimbabwe,ZWE,2006,7500
Zimbabwe,ZWE,2007,6300
Zimbabwe,ZWE,2011,8480
Zimbabwe,ZWE,2012,9530
