Entity,Code,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air (Percent)
Bosnia and Herzegovina,BIH,2005,2400
Bosnia and Herzegovina,BIH,2010,2500
Bosnia and Herzegovina,BIH,2015,2800
Botswana,BWA,1990,400
Botswana,BWA,1995,500
Botswana,BWA,2000,600
Botswana,BWA,2005,700
Botswana,BWA,2010,600
Botswana,BWA,2015,700
Brazil,BRA,1990,42200
Brazil,BRA,1995,45900
Brazil,BRA,2000,49300
Brazil,BRA,2005,46900
Brazil,BRA,2010,43100
Brazil,BRA,2015,52300
Bulgaria,BGR,1990,12800
Bulgaria,BGR,1995,12200
Bulgaria,BGR,2000,10800
Bulgaria,BGR,2005,9400
Bulgaria,BGR,2010,9300
Bulgaria,BGR,2015,9500
Burkina Faso,BFA,1990,7700
Burkina Faso,BFA,1995,7900
Burkina Faso,BFA,2000,8200
Burkina Faso,BFA,2005,7400
Burkina Faso,BFA,2010,7300
Burkina Faso,BFA,2015,6700
Burundi,BDI,1990,5000
Burundi,BDI,1995,5200
Burundi,BDI,2000,4700
Burundi,BDI,2005,3900
Burundi,BDI,2010,3700
Burundi,BDI,2015,4600
Cambodia,KHM,1990,5500
Cambodia,KHM,1995,6000
Cambodia,KHM,2000,5900
Cambodia,KHM,2005,6000
Cambodia,KHM,2010,5600
Cambodia,KHM,2015,6100
Cameroon,CMR,1990,10000
Cameroon,CMR,1995,11600
Cameroon,CMR,2000,13500
Cameroon,CMR,2005,12800
Cameroon,CMR,2010,12800
Cameroon,CMR,2015,12900
Canada,CAN,1990,7100
Canada,CAN,1995,7200
Canada,CAN,2000,7100
Canada,CAN,2005,7200
Canada,CAN,2010,6400
Canada,CAN,2015,7100
Cape Verde,CPV,1990,200
Cape Verde,CPV,1995,200
Cape Verde,CPV,2000,200
Cape Verde,CPV,2005,200
Cape Verde,CPV,2010,200
Cape Verde,CPV,2015,200
Central African Republic,CAF,1990,3000
Central African Republic,CAF,1995,3300
Central African Republic,CAF,2000,3600
Central African Republic,CAF,2005,3700
Central African Republic,CAF,2010,3800
Central African Republic,CAF,2015,4100
Chad,TCD,1990,4900
Chad,TCD,1995,5600
Chad,TCD,2000,7000
Chad,TCD,2005,7200
Chad,TCD,2010,8100
Chad,TCD,2015,7800
Chile,CHL,1990,4800
Chile,CHL,1995,4500
Chile,CHL,2000,4200
Chile,CHL,2005,4600
Chile,CHL,2010,5200
Chile,CHL,2015,5900
China,CHN,1990,945300
China,CHN,1995,981600
China,CHN,2000,1039300
China,CHN,2005,1140100
China,CHN,2010,1098800
China,CHN,2015,1108100
Colombia,COL,1990,7800
Colombia,COL,1995,8500
Colombia,COL,2000,9000
Colombia,COL,2005,10100
Colombia,COL,2010,9800
Colombia,COL,2015,10900
Comoros,COM,1990,200
Comoros,COM,1995,200
Comoros,COM,2000,200
Comoros,COM,2005,100
Comoros,COM,2010,100
Comoros,COM,2015,100
Congo,COG,1990,1800
Congo,COG,1995,2100
Congo,COG,2000,2400
Congo,COG,2005,2100
Congo,COG,2010,2100
Congo,COG,2015,2400
Costa Rica,CRI,1990,600
Costa Rica,CRI,1995,700
Costa Rica,CRI,2000,800
Costa Rica,CRI,2005,800
Costa Rica,CRI,2010,700
Costa Rica,CRI,2015,1000
Cote d'Ivoire,CIV,1990,6100
Cote d'Ivoire,CIV,1995,8000
Cote d'Ivoire,CIV,2000,8700
Cote d'Ivoire,CIV,2005,7700
Cote d'Ivoire,CIV,2010,7800
Cote d'Ivoire,CIV,2015,7700
Croatia,HRV,1990,3800
Croatia,HRV,1995,3600
Croatia,HRV,2000,3500
Croatia,HRV,2005,3200
Croatia,HRV,2010,3200
Croatia,HRV,2015,3500
Cuba,CUB,1990,5400
Cuba,CUB,1995,5800
Cuba,CUB,2000,6100
Cuba,CUB,2005,6000
Cuba,CUB,2010,5400
Cuba,CUB,2015,6600
Cyprus,CYP,1990,300
Cyprus,CYP,1995,300
Cyprus,CYP,2000,300
Cyprus,CYP,2005,300
Cyprus,CYP,2010,300
Cyprus,CYP,2015,300
Czech Republic,CZE,1990,12800
Czech Republic,CZE,1995,10000
Czech Republic,CZE,2000,8200
Czech Republic,CZE,2005,7400
Czech Republic,CZE,2010,7500
Czech Republic,CZE,2015,7800
Denmark,DNK,1990,3400
Denmark,DNK,1995,3100
Denmark,DNK,2000,2600
Denmark,DNK,2005,2200
Denmark,DNK,2010,2100
Denmark,DNK,2015,2100
Djibouti,DJI,1990,300
Djibouti,DJI,1995,300
Djibouti,DJI,2000,400
Djibouti,DJI,2005,400
Djibouti,DJI,2010,400
Djibouti,DJI,2015,400
Dominican Republic,DOM,1990,1400
Dominican Republic,DOM,1995,1700
Dominican Republic,DOM,2000,2300
Dominican Republic,DOM,2005,2400
Dominican Republic,DOM,2010,2900
Dominican Republic,DOM,2015,3300
Ecuador,ECU,1990,2300
Ecuador,ECU,1995,2500
Ecuador,ECU,2000,2900
Ecuador,ECU,2005,3400
Ecuador,ECU,2010,2900
Ecuador,ECU,2015,3000
Egypt,EGY,1990,52300
Egypt,EGY,1995,47600
Egypt,EGY,2000,43100
Egypt,EGY,2005,48300
Egypt,EGY,2010,57400
Egypt,EGY,2015,60200
El Salvador,SLV,1990,1700
El Salvador,SLV,1995,1900
El Salvador,SLV,2000,1900
El Salvador,SLV,2005,1900
El Salvador,SLV,2010,1800
El Salvador,SLV,2015,2200
Equatorial Guinea,GNQ,1990,400
Equatorial Guinea,GNQ,1995,400
Equatorial Guinea,GNQ,2000,400
Equatorial Guinea,GNQ,2005,300
Equatorial Guinea,GNQ,2010,300
Equatorial Guinea,GNQ,2015,400
Eritrea,ERI,1990,1900
Eritrea,ERI,1995,1400
Eritrea,ERI,2000,1400
Eritrea,ERI,2005,1600
Eritrea,ERI,2010,1900
Eritrea,ERI,2015,2100
Estonia,EST,1990,1200
Estonia,EST,1995,1100
Estonia,EST,2000,900
Estonia,EST,2005,700
Estonia,EST,2010,600
Estonia,EST,2015,700
Ethiopia,ETH,1990,36900
Ethiopia,ETH,1995,38000
Ethiopia,ETH,2000,37600
Ethiopia,ETH,2005,33100
Ethiopia,ETH,2010,30900
Ethiopia,ETH,2015,31100
Fiji,FJI,1990,100
Fiji,FJI,1995,200
Fiji,FJI,2000,200
Fiji,FJI,2005,200
Fiji,FJI,2010,200
Fiji,FJI,2015,200
Finland,FIN,1990,2100
Finland,FIN,1995,1900
Finland,FIN,2000,1600
Finland,FIN,2005,1400
Finland,FIN,2010,1400
Finland,FIN,2015,1600
France,FRA,1990,21000
France,FRA,1995,20300
France,FRA,2000,19400
France,FRA,2005,17900
France,FRA,2010,17800
France,FRA,2015,20300
Gabon,GAB,1990,700
Gabon,GAB,1995,800
Gabon,GAB,2000,800
Gabon,GAB,2005,800
Gabon,GAB,2010,700
Gabon,GAB,2015,800
Gambia,GMB,1990,500
Gambia,GMB,1995,600
Gambia,GMB,2000,600
Gambia,GMB,2005,500
Gambia,GMB,2010,600
Gambia,GMB,2015,600
Georgia,GEO,1990,4700
Georgia,GEO,1995,4000
Georgia,GEO,2000,4000
Georgia,GEO,2005,4100
Georgia,GEO,2010,4200
Georgia,GEO,2015,3900
Germany,DEU,1990,58200
Germany,DEU,1995,50200
Germany,DEU,2000,44200
Germany,DEU,2005,39700
Germany,DEU,2010,39400
Germany,DEU,2015,43100
Ghana,GHA,1990,6900
Ghana,GHA,1995,7100
Ghana,GHA,2000,8000
Ghana,GHA,2005,8100
Ghana,GHA,2010,9100
Ghana,GHA,2015,8600
Greece,GRC,1990,5300
Greece,GRC,1995,5300
Greece,GRC,2000,5500
Greece,GRC,2005,5100
Greece,GRC,2010,5600
Greece,GRC,2015,6700
Guatemala,GTM,1990,4000
Guatemala,GTM,1995,4400
Guatemala,GTM,2000,5000
Guatemala,GTM,2005,4800
Guatemala,GTM,2010,4200
Guatemala,GTM,2015,4900
Guinea,GIN,1990,4300
Guinea,GIN,1995,5000
Guinea,GIN,2000,5100
Guinea,GIN,2005,4400
Guinea,GIN,2010,5000
Guinea,GIN,2015,4600
Guinea-Bissau,GNB,1990,800
Guinea-Bissau,GNB,1995,800
Guinea-Bissau,GNB,2000,900
Guinea-Bissau,GNB,2005,800
Guinea-Bissau,GNB,2010,1000
Guinea-Bissau,GNB,2015,1000
Guyana,GUY,1990,300
Guyana,GUY,1995,300
Guyana,GUY,2000,300
Guyana,GUY,2005,300
Guyana,GUY,2010,200
Guyana,GUY,2015,300
Haiti,HTI,1990,4900
Haiti,HTI,1995,4600
Haiti,HTI,2000,4400
Haiti,HTI,2005,4400
Haiti,HTI,2010,4100
Haiti,HTI,2015,4700
Honduras,HND,1990,1400
Honduras,HND,1995,1900
Honduras,HND,2000,2200
Honduras,HND,2005,2600
Honduras,HND,2010,2600
Honduras,HND,2015,3100
Hungary,HUN,1990,13200
Hungary,HUN,1995,11800
Hungary,HUN,2000,10100
Hungary,HUN,2005,9400
Hungary,HUN,2010,9300
Hungary,HUN,2015,8600
Iceland,ISL,1990,100
Iceland,ISL,1995,100
Iceland,ISL,2000,100
Iceland,ISL,2005,100
Iceland,ISL,2010,100
Iceland,ISL,2015,100
India,IND,1990,737400
India,IND,1995,795200
India,IND,2000,857300
India,IND,2005,895900
India,IND,2010,957000
India,IND,2015,1090400
Indonesia,IDN,1990,53200
Indonesia,IDN,1995,57300
Indonesia,IDN,2000,64400
Indonesia,IDN,2005,71100
Indonesia,IDN,2010,71400
Indonesia,IDN,2015,78600
Iran,IRN,1990,22500
Iran,IRN,1995,21700
Iran,IRN,2000,23700
Iran,IRN,2005,27400
Iran,IRN,2010,31500
Iran,IRN,2015,33300
Iraq,IRQ,1990,9700
Iraq,IRQ,1995,11500
Iraq,IRQ,2000,13000
Iraq,IRQ,2005,14300
Iraq,IRQ,2010,17500
Iraq,IRQ,2015,15700
Ireland,IRL,1990,1500
Ireland,IRL,1995,1400
Ireland,IRL,2000,1300
Ireland,IRL,2005,1100
Ireland,IRL,2010,1000
Ireland,IRL,2015,1100
Israel,ISR,1990,1700
Israel,ISR,1995,1900
Israel,ISR,2000,1700
Israel,ISR,2005,1700
Israel,ISR,2010,1800
Israel,ISR,2015,2100
Italy,ITA,1990,29500
Italy,ITA,1995,27900
Italy,ITA,2000,26400
Italy,ITA,2005,24600
Italy,ITA,2010,25100
Italy,ITA,2015,33700
Jamaica,JAM,1990,700
Jamaica,JAM,1995,800
Jamaica,JAM,2000,800
Jamaica,JAM,2005,700
Jamaica,JAM,2010,700
Jamaica,JAM,2015,900
Japan,JPN,1990,38100
Japan,JPN,1995,40700
Japan,JPN,2000,41800
Japan,JPN,2005,48200
Japan,JPN,2010,50800
Japan,JPN,2015,60600
Jordan,JOR,1990,1000
Jordan,JOR,1995,1100
Jordan,JOR,2000,1100
Jordan,JOR,2005,1100
Jordan,JOR,2010,1100
Jordan,JOR,2015,1400
Kazakhstan,KAZ,1990,9800
Kazakhstan,KAZ,1995,11500
Kazakhstan,KAZ,2000,10400
Kazakhstan,KAZ,2005,10500
Kazakhstan,KAZ,2010,9400
Kazakhstan,KAZ,2015,10100
Kenya,KEN,1990,5200
Kenya,KEN,1995,5500
Kenya,KEN,2000,5700
Kenya,KEN,2005,5700
Kenya,KEN,2010,6200
Kenya,KEN,2015,7000
Kuwait,KWT,1990,400
Kuwait,KWT,1995,400
Kuwait,KWT,2000,400
Kuwait,KWT,2005,500
Kuwait,KWT,2010,700
Kuwait,KWT,2015,700
Kyrgyzstan,KGZ,1990,2700
Kyrgyzstan,KGZ,1995,2700
Kyrgyzstan,KGZ,2000,2600
Kyrgyzstan,KGZ,2005,2700
Kyrgyzstan,KGZ,2010,2700
Kyrgyzstan,KGZ,2015,2700
Laos,LAO,1990,3700
Laos,LAO,1995,3800
Laos,LAO,2000,3600
Laos,LAO,2005,3400
Laos,LAO,2010,3000
Laos,LAO,2015,3000
Latvia,LVA,1990,3300
Latvia,LVA,1995,3300
Latvia,LVA,2000,2400
Latvia,LVA,2005,2400
Latvia,LVA,2010,2000
Latvia,LVA,2015,2100
Lebanon,LBN,1990,1300
Lebanon,LBN,1995,1200
Lebanon,LBN,2000,1100
Lebanon,LBN,2005,1200
Lebanon,LBN,2010,1600
Lebanon,LBN,2015,2100
Lesotho,LSO,1990,700
Lesotho,LSO,1995,700
Lesotho,LSO,2000,900
Lesotho,LSO,2005,1200
Lesotho,LSO,2010,1100
Lesotho,LSO,2015,1100
Liberia,LBR,1990,600
Liberia,LBR,1995,500
Liberia,LBR,2000,600
Liberia,LBR,2005,500
Liberia,LBR,2010,600
Liberia,LBR,2015,500
Libya,LBY,1990,1200
Libya,LBY,1995,1300
Libya,LBY,2000,1500
Libya,LBY,2005,1700
Libya,LBY,2010,2000
Libya,LBY,2015,2600
Lithuania,LTU,1990,3800
Lithuania,LTU,1995,3800
Lithuania,LTU,2000,2900
Lithuania,LTU,2005,2900
Lithuania,LTU,2010,2800
Lithuania,LTU,2015,2700
Luxembourg,LUX,1990,200
Luxembourg,LUX,1995,200
Luxembourg,LUX,2000,200
Luxembourg,LUX,2005,200
Luxembourg,LUX,2010,200
Luxembourg,LUX,2015,200
Macedonia,MKD,1990,1500
Macedonia,MKD,1995,1500
Macedonia,MKD,2000,1500
Macedonia,MKD,2005,1500
Macedonia,MKD,2010,1600
Macedonia,MKD,2015,1600
Madagascar,MDG,1990,5000
Madagascar,MDG,1995,5600
Madagascar,MDG,2000,5800
Madagascar,MDG,2005,5800
Madagascar,MDG,2010,6200
Madagascar,MDG,2015,7500
Malawi,MWI,1990,4200
Malawi,MWI,1995,4600
Malawi,MWI,2000,5400
Malawi,MWI,2005,4800
Malawi,MWI,2010,4500
Malawi,MWI,2015,4600
Malaysia,MYS,1990,4800
Malaysia,MYS,1995,5500
Malaysia,MYS,2000,6200
Malaysia,MYS,2005,8000
Malaysia,MYS,2010,8200
Malaysia,MYS,2015,9500
Maldives,MDV,1990,100
Maldives,MDV,1995,100
Maldives,MDV,2000,100
Maldives,MDV,2005,100
Maldives,MDV,2010,100
Maldives,MDV,2015,100
Mali,MLI,1990,5700
Mali,MLI,1995,6000
Mali,MLI,2000,5800
Mali,MLI,2005,5100
Mali,MLI,2010,5600
Mali,MLI,2015,5100
Malta,MLT,1990,100
Malta,MLT,1995,100
Malta,MLT,2000,100
Malta,MLT,2005,100
Malta,MLT,2010,200
Malta,MLT,2015,200
Mauritania,MRT,1990,1300
Mauritania,MRT,1995,1500
Mauritania,MRT,2000,1500
Mauritania,MRT,2005,1300
Mauritania,MRT,2010,1400
Mauritania,MRT,2015,1600
Mauritius,MUS,1990,500
Mauritius,MUS,1995,500
Mauritius,MUS,2000,600
Mauritius,MUS,2005,500
Mauritius,MUS,2010,400
Mauritius,MUS,2015,400
Mexico,MEX,1990,18100
Mexico,MEX,1995,20100
Mexico,MEX,2000,21300
Mexico,MEX,2005,22600
Mexico,MEX,2010,23600
Mexico,MEX,2015,29000
Moldova,MDA,1990,4100
Moldova,MDA,1995,4600
Moldova,MDA,2000,3500
Moldova,MDA,2005,3400
Moldova,MDA,2010,3500
Moldova,MDA,2015,2900
Mongolia,MNG,1990,1200
Mongolia,MNG,1995,1100
Mongolia,MNG,2000,1200
Mongolia,MNG,2005,1200
Mongolia,MNG,2010,1300
Mongolia,MNG,2015,1500
Montenegro,MNE,1990,300
Montenegro,MNE,1995,400
Montenegro,MNE,2000,400
Montenegro,MNE,2005,400
Montenegro,MNE,2010,400
Montenegro,MNE,2015,400
Morocco,MAR,1990,6600
Morocco,MAR,1995,6800
Morocco,MAR,2000,6900
Morocco,MAR,2005,7500
Morocco,MAR,2010,8100
Morocco,MAR,2015,9800
Mozambique,MOZ,1990,5200
Mozambique,MOZ,1995,5500
Mozambique,MOZ,2000,6000
Mozambique,MOZ,2005,6000
Mozambique,MOZ,2010,6200
Mozambique,MOZ,2015,6600
Myanmar,MMR,1990,31200
Myanmar,MMR,1995,31300
Myanmar,MMR,2000,31800
Myanmar,MMR,2005,31500
Myanmar,MMR,2010,28900
Myanmar,MMR,2015,31100
Namibia,NAM,1990,600
Namibia,NAM,1995,600
Namibia,NAM,2000,900
Namibia,NAM,2005,800
Namibia,NAM,2010,600
Namibia,NAM,2015,600
Nepal,NPL,1990,16500
Nepal,NPL,1995,16000
Nepal,NPL,2000,14800
Nepal,NPL,2005,15300
Nepal,NPL,2010,16000
Nepal,NPL,2015,18300
Netherlands,NLD,1990,8200
Netherlands,NLD,1995,8100
Netherlands,NLD,2000,7800
Netherlands,NLD,2005,6900
Netherlands,NLD,2010,6500
Netherlands,NLD,2015,6800
New Zealand,NZL,1990,800
New Zealand,NZL,1995,800
New Zealand,NZL,2000,700
New Zealand,NZL,2005,700
New Zealand,NZL,2010,600
New Zealand,NZL,2015,600
Nicaragua,NIC,1990,800
Nicaragua,NIC,1995,800
Nicaragua,NIC,2000,800
Nicaragua,NIC,2005,1000
Nicaragua,NIC,2010,1000
Nicaragua,NIC,2015,1200
Niger,NER,1990,11900
Niger,NER,1995,12800
Niger,NER,2000,12700
Niger,NER,2005,11900
Niger,NER,2010,11500
Niger,NER,2015,10600
Nigeria,NGA,1990,76800
Nigeria,NGA,1995,78900
Nigeria,NGA,2000,79400
Nigeria,NGA,2005,67700
Nigeria,NGA,2010,59800
Nigeria,NGA,2015,50900
North Korea,PRK,1990,9200
North Korea,PRK,1995,11000
North Korea,PRK,2000,13100
North Korea,PRK,2005,15100
North Korea,PRK,2010,16500
North Korea,PRK,2015,18800
Norway,NOR,1990,2300
Norway,NOR,1995,2100
Norway,NOR,2000,1800
Norway,NOR,2005,1500
Norway,NOR,2010,1400
Norway,NOR,2015,1400
Oman,OMN,1990,500
Oman,OMN,1995,500
Oman,OMN,2000,500
Oman,OMN,2005,500
Oman,OMN,2010,700
Oman,OMN,2015,900
Pakistan,PAK,1990,82300
Pakistan,PAK,1995,98200
Pakistan,PAK,2000,110800
Pakistan,PAK,2005,115700
Pakistan,PAK,2010,123600
Pakistan,PAK,2015,135100
Palestine,PSE,1990,400
Palestine,PSE,1995,400
Palestine,PSE,2000,500
Palestine,PSE,2005,600
Palestine,PSE,2010,800
Palestine,PSE,2015,1000
Panama,PAN,1990,500
Panama,PAN,1995,500
Panama,PAN,2000,500
Panama,PAN,2005,600
Panama,PAN,2010,600
Panama,PAN,2015,800
Papua New Guinea,PNG,1990,2000
Papua New Guinea,PNG,1995,2100
Papua New Guinea,PNG,2000,2500
Papua New Guinea,PNG,2005,2500
Papua New Guinea,PNG,2010,2400
Papua New Guinea,PNG,2015,3000
Paraguay,PRY,1990,1000
Paraguay,PRY,1995,1200
Paraguay,PRY,2000,1300
Paraguay,PRY,2005,1400
Paraguay,PRY,2010,1500
Paraguay,PRY,2015,1600
Peru,PER,1990,8200
Peru,PER,1995,8300
Peru,PER,2000,7700
Peru,PER,2005,8600
Peru,PER,2010,7700
Peru,PER,2015,8400
Philippines,PHL,1990,22800
Philippines,PHL,1995,23400
Philippines,PHL,2000,26400
Philippines,PHL,2005,33300
Philippines,PHL,2010,36200
Philippines,PHL,2015,40600
Poland,POL,1990,41900
Poland,POL,1995,36200
Poland,POL,2000,29800
Poland,POL,2005,28100
Poland,POL,2010,29400
Poland,POL,2015,27900
Portugal,PRT,1990,4400
Portugal,PRT,1995,4400
Portugal,PRT,2000,4300
Portugal,PRT,2005,4000
Portugal,PRT,2010,3600
Portugal,PRT,2015,3700
Qatar,QAT,1990,100
Qatar,QAT,1995,100
Qatar,QAT,2000,200
Qatar,QAT,2005,200
Qatar,QAT,2010,200
Qatar,QAT,2015,200
Romania,ROU,1990,24300
Romania,ROU,1995,24300
Romania,ROU,2000,20700
Romania,ROU,2005,18400
Romania,ROU,2010,19100
Romania,ROU,2015,18100
Russia,RUS,1990,133200
Russia,RUS,1995,162000
Russia,RUS,2000,157300
Russia,RUS,2005,157700
Russia,RUS,2010,138100
Russia,RUS,2015,136900
Rwanda,RWA,1990,5600
Rwanda,RWA,1995,6200
Rwanda,RWA,2000,6500
Rwanda,RWA,2005,4300
Rwanda,RWA,2010,3600
Rwanda,RWA,2015,4200
Saint Lucia,LCA,1990,100
Saint Lucia,LCA,1995,100
Saint Lucia,LCA,2000,100
Saint Lucia,LCA,2005,100
Saint Lucia,LCA,2015,100
Sao Tome and Principe,STP,2000,100
Sao Tome and Principe,STP,2005,100
Saudi Arabia,SAU,1990,4100
Saudi Arabia,SAU,1995,4600
Saudi Arabia,SAU,2000,5200
Saudi Arabia,SAU,2005,5800
Saudi Arabia,SAU,2010,7000
Saudi Arabia,SAU,2015,8000
Senegal,SEN,1990,3600
Senegal,SEN,1995,4000
Senegal,SEN,2000,4300
Senegal,SEN,2005,3800
Senegal,SEN,2010,4200
Senegal,SEN,2015,5000
Serbia,SRB,1990,6800
Serbia,SRB,1995,7800
Serbia,SRB,2000,8400
Serbia,SRB,2005,7700
Serbia,SRB,2010,7600
Serbia,SRB,2015,7200
Sierra Leone,SLE,1990,2300
Sierra Leone,SLE,1995,2100
Sierra Leone,SLE,2000,2000
Sierra Leone,SLE,2005,2100
Sierra Leone,SLE,2010,2300
Sierra Leone,SLE,2015,1900
Singapore,SGP,1990,1100
Singapore,SGP,1995,1200
Singapore,SGP,2000,1200
Singapore,SGP,2005,1600
Singapore,SGP,2010,1400
Singapore,SGP,2015,1700
Slovakia,SVK,1990,5600
Slovakia,SVK,1995,4700
Slovakia,SVK,2000,4300
Slovakia,SVK,2005,4100
Slovakia,SVK,2010,3900
Slovakia,SVK,2015,3500
Slovenia,SVN,1990,1200
Slovenia,SVN,1995,1100
Slovenia,SVN,2000,1000
Slovenia,SVN,2005,900
Slovenia,SVN,2010,900
Slovenia,SVN,2015,1000
Solomon Islands,SLB,1990,100
Solomon Islands,SLB,1995,100
Solomon Islands,SLB,2000,100
Solomon Islands,SLB,2005,100
Solomon Islands,SLB,2010,100
Solomon Islands,SLB,2015,100
Somalia,SOM,1990,4000
Somalia,SOM,1995,3900
Somalia,SOM,2000,4200
Somalia,SOM,2005,3700
Somalia,SOM,2010,4200
Somalia,SOM,2015,4300
South Africa,ZAF,1990,20600
South Africa,ZAF,1995,22300
South Africa,ZAF,2000,28400
South Africa,ZAF,2005,28000
South Africa,ZAF,2010,23300
South Africa,ZAF,2015,24900
South Korea,KOR,1990,15100
South Korea,KOR,1995,13700
South Korea,KOR,2000,13100
South Korea,KOR,2005,13100
South Korea,KOR,2010,13800
South Korea,KOR,2015,18200
South Sudan,SSD,1990,4200
South Sudan,SSD,1995,3600
South Sudan,SSD,2000,3600
South Sudan,SSD,2005,3500
South Sudan,SSD,2010,4500
South Sudan,SSD,2015,5500
Spain,ESP,1990,13900
Spain,ESP,1995,14100
Spain,ESP,2000,14300
Spain,ESP,2005,14000
Spain,ESP,2010,12800
Spain,ESP,2015,13400
Sri Lanka,LKA,1990,6000
Sri Lanka,LKA,1995,6200
Sri Lanka,LKA,2000,7100
Sri Lanka,LKA,2005,8200
Sri Lanka,LKA,2010,7400
Sri Lanka,LKA,2015,7700
Sudan,SDN,1990,15700
Sudan,SDN,1995,17600
Sudan,SDN,2000,17400
Sudan,SDN,2005,17800
Sudan,SDN,2010,18900
Sudan,SDN,2015,19200
Suriname,SUR,1990,100
Suriname,SUR,1995,200
Suriname,SUR,2000,200
Suriname,SUR,2005,100
Suriname,SUR,2010,100
Suriname,SUR,2015,200
Swaziland,SWZ,1990,300
Swaziland,SWZ,1995,300
Swaziland,SWZ,2000,500
Swaziland,SWZ,2005,600
Swaziland,SWZ,2010,500
Swaziland,SWZ,2015,500
Sweden,SWE,1990,3100
Sweden,SWE,1995,2700
Sweden,SWE,2000,2400
Sweden,SWE,2005,1800
Sweden,SWE,2010,1700
Sweden,SWE,2015,2200
Switzerland,CHE,1990,3000
Switzerland,CHE,1995,2800
Switzerland,CHE,2000,2600
Switzerland,CHE,2005,2300
Switzerland,CHE,2010,2200
Switzerland,CHE,2015,2500
Syria,SYR,1990,4800
Syria,SYR,1995,4700
Syria,SYR,2000,4900
Syria,SYR,2005,5100
Syria,SYR,2010,6400
Syria,SYR,2015,6600
Taiwan,TWN,1990,6100
Taiwan,TWN,1995,6600
Taiwan,TWN,2000,7100
