Entity,Code,Year,2.5.1 - Plant breeds for which sufficient genetic resources are stored (number) - ER_GRF_PLNTSTOR (breeds)
Central and Southern Asia,,2000,288025
Central and Southern Asia,,2005,393118
Central and Southern Asia,,2010,433828
Central and Southern Asia,,2012,449067
Central and Southern Asia,,2014,458651
Central and Southern Asia,,2016,475740
Central and Southern Asia,,2017,478316
Central and Southern Asia,,2018,484382
Chile,CHL,1995,11594
Chile,CHL,2000,13509
Chile,CHL,2005,15569
Chile,CHL,2010,15846
Chile,CHL,2012,27145
Chile,CHL,2014,33488
Chile,CHL,2016,33025
Chile,CHL,2017,33025
Chile,CHL,2018,33173
Colombia,COL,1995,6880
Colombia,COL,2000,6936
Colombia,COL,2005,7085
Colombia,COL,2010,7089
Colombia,COL,2012,7089
Colombia,COL,2014,7094
Colombia,COL,2016,7094
Colombia,COL,2017,7094
Colombia,COL,2018,7094
Costa Rica,CRI,1995,549
Costa Rica,CRI,2000,549
Costa Rica,CRI,2005,549
Costa Rica,CRI,2010,591
Costa Rica,CRI,2012,591
Costa Rica,CRI,2014,732
Costa Rica,CRI,2016,861
Costa Rica,CRI,2017,861
Costa Rica,CRI,2018,861
Croatia,HRV,1995,2279
Croatia,HRV,2000,2290
Croatia,HRV,2005,2404
Croatia,HRV,2010,3040
Croatia,HRV,2012,3073
Croatia,HRV,2014,3233
Croatia,HRV,2016,3423
Croatia,HRV,2017,3423
Croatia,HRV,2018,3533
Cuba,CUB,1995,11533
Cuba,CUB,2000,13213
Cuba,CUB,2005,14953
Cuba,CUB,2010,16649
Cuba,CUB,2012,17945
Cuba,CUB,2014,18420
Cuba,CUB,2016,19018
Cuba,CUB,2017,19123
Cuba,CUB,2018,19390
Cyprus,CYP,1995,446
Cyprus,CYP,2000,446
Cyprus,CYP,2005,469
Cyprus,CYP,2010,504
Cyprus,CYP,2012,647
Cyprus,CYP,2014,647
Cyprus,CYP,2016,1004
Cyprus,CYP,2017,1004
Cyprus,CYP,2018,1004
Czech Republic,CZE,1995,38820
Czech Republic,CZE,2000,44479
Czech Republic,CZE,2005,47781
Czech Republic,CZE,2010,51049
Czech Republic,CZE,2012,52195
Czech Republic,CZE,2014,52947
Czech Republic,CZE,2016,54985
Czech Republic,CZE,2017,55436
Czech Republic,CZE,2018,55436
Denmark,DNK,1995,1474
Denmark,DNK,2000,1474
Denmark,DNK,2005,1474
Denmark,DNK,2010,1474
Denmark,DNK,2012,1474
Denmark,DNK,2014,1474
Denmark,DNK,2016,1474
Denmark,DNK,2017,1474
Denmark,DNK,2018,1043
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,1995,1742469
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,1974713
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,2491398
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,2874807
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2012,2979620
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,3047893
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,3098180
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,3135479
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,3163249
Eastern Africa,,1995,113469
Eastern Africa,,2000,122729
Eastern Africa,,2005,140227
Eastern Africa,,2010,150860
Eastern Africa,,2012,152492
Eastern Africa,,2014,154729
Eastern Africa,,2016,157595
Eastern Africa,,2017,157595
Eastern Africa,,2018,158626
Eastern Asia,,1995,129734
Eastern Asia,,2000,180725
Eastern Asia,,2005,202158
Eastern Asia,,2010,215792
Eastern Asia,,2012,221887
Eastern Asia,,2014,228294
Eastern Asia,,2016,234053
Eastern Asia,,2017,235320
Eastern Asia,,2018,237061
Eastern Asia (excluding Japan),,1995,8596
Eastern Asia (excluding Japan),,2000,10137
Eastern Asia (excluding Japan),,2005,10540
Eastern Asia (excluding Japan),,2010,12073
Eastern Asia (excluding Japan),,2012,13063
Eastern Asia (excluding Japan),,2014,13977
Eastern Asia (excluding Japan),,2016,13992
Eastern Asia (excluding Japan),,2017,13992
Eastern Asia (excluding Japan),,2018,13992
Eastern Europe,,1995,504117
Eastern Europe,,2000,548866
Eastern Europe,,2005,578591
Eastern Europe,,2010,602821
Eastern Europe,,2012,611644
Eastern Europe,,2014,618285
Eastern Europe,,2016,625518
Eastern Europe,,2017,621240
Eastern Europe,,2018,623094
Eastern and South-Eastern Asia,,1995,146079
Eastern and South-Eastern Asia,,2000,201076
Eastern and South-Eastern Asia,,2005,247030
Eastern and South-Eastern Asia,,2010,270857
Eastern and South-Eastern Asia,,2012,278283
Eastern and South-Eastern Asia,,2014,285490
Eastern and South-Eastern Asia,,2016,292245
Eastern and South-Eastern Asia,,2017,293706
Eastern and South-Eastern Asia,,2018,295484
Ecuador,ECU,1995,20253
Ecuador,ECU,2000,22248
Ecuador,ECU,2005,23617
Ecuador,ECU,2010,25613
Ecuador,ECU,2012,27140
Ecuador,ECU,2014,27771
Ecuador,ECU,2016,27778
Ecuador,ECU,2017,28086
Ecuador,ECU,2018,28275
Egypt,EGY,1995,380
Egypt,EGY,2000,380
Egypt,EGY,2005,8081
Egypt,EGY,2010,11355
Egypt,EGY,2012,11626
Egypt,EGY,2014,11654
Egypt,EGY,2016,11654
Egypt,EGY,2017,13522
Egypt,EGY,2018,13522
Eritrea,ERI,1995,2441
Eritrea,ERI,2000,3998
Eritrea,ERI,2005,3998
Eritrea,ERI,2010,4001
Eritrea,ERI,2012,4001
Eritrea,ERI,2014,4001
Eritrea,ERI,2016,4604
Eritrea,ERI,2017,4604
Eritrea,ERI,2018,4604
Estonia,EST,1995,1909
Estonia,EST,2000,1911
Estonia,EST,2005,2323
Estonia,EST,2010,2542
Estonia,EST,2012,2737
Estonia,EST,2014,2768
Estonia,EST,2016,2948
Estonia,EST,2017,3085
Estonia,EST,2018,3180
Ethiopia,ETH,1995,52024
Ethiopia,ETH,2000,56078
Ethiopia,ETH,2005,67207
Ethiopia,ETH,2010,70695
Ethiopia,ETH,2012,70975
Ethiopia,ETH,2014,71553
Ethiopia,ETH,2016,72510
Ethiopia,ETH,2017,72510
Ethiopia,ETH,2018,72510
Europe,,1995,915981
Europe,,2000,1025356
Europe,,2005,1461845
Europe,,2010,1749367
Europe,,2012,1827641
Europe,,2014,1878023
Europe,,2016,1900215
Europe,,2017,1934941
Europe,,2018,1959836
Europe and Northern America,,1995,1427527
Europe and Northern America,,2000,1581069
Europe and Northern America,,2005,2043583
Europe and Northern America,,2010,2402577
Europe and Northern America,,2012,2495940
Europe and Northern America,,2014,2554230
Europe and Northern America,,2016,2592727
Europe and Northern America,,2017,2627453
Europe and Northern America,,2018,2653142
"Europe, Western",,1995,171979
"Europe, Western",,2000,188902
"Europe, Western",,2005,246240
"Europe, Western",,2010,262588
"Europe, Western",,2012,268622
"Europe, Western",,2014,270266
"Europe, Western",,2016,270814
"Europe, Western",,2017,274125
"Europe, Western",,2018,276268
Finland,FIN,1995,933
Finland,FIN,2000,940
Finland,FIN,2005,991
Finland,FIN,2010,1051
Finland,FIN,2012,1077
Finland,FIN,2014,1084
Finland,FIN,2016,656
Finland,FIN,2017,657
Finland,FIN,2018,704
France,FRA,1995,8497
France,FRA,2000,9097
France,FRA,2005,9327
France,FRA,2010,9588
France,FRA,2012,9594
France,FRA,2014,9595
France,FRA,2016,9595
France,FRA,2017,9595
France,FRA,2018,9595
Georgia,GEO,1995,311
Georgia,GEO,2000,398
Georgia,GEO,2005,440
Georgia,GEO,2010,440
Georgia,GEO,2012,440
Georgia,GEO,2014,440
Georgia,GEO,2016,440
Georgia,GEO,2017,440
Georgia,GEO,2018,440
Germany,DEU,1995,105073
Germany,DEU,2000,114239
Germany,DEU,2005,163268
Germany,DEU,2010,168576
Germany,DEU,2012,172678
Germany,DEU,2014,174001
Germany,DEU,2016,174140
Germany,DEU,2017,177387
Germany,DEU,2018,179355
Greece,GRC,1995,6184
Greece,GRC,2000,6272
Greece,GRC,2005,6272
Greece,GRC,2010,6272
Greece,GRC,2012,6272
Greece,GRC,2014,6272
Greece,GRC,2016,6272
Greece,GRC,2017,6272
Greece,GRC,2018,6272
Guyana,GUY,1995,200
Guyana,GUY,2000,609
Guyana,GUY,2005,651
Guyana,GUY,2010,837
Guyana,GUY,2012,1023
Guyana,GUY,2014,1210
Guyana,GUY,2016,1210
Guyana,GUY,2017,1210
Guyana,GUY,2018,1295
Hungary,HUN,1995,37885
Hungary,HUN,2000,41435
Hungary,HUN,2005,46389
Hungary,HUN,2010,46750
Hungary,HUN,2012,46750
Hungary,HUN,2014,46750
Hungary,HUN,2016,46750
Hungary,HUN,2017,49367
Hungary,HUN,2018,49367
India,IND,1995,191449
India,IND,2000,241668
India,IND,2005,338637
India,IND,2010,369412
India,IND,2012,378841
India,IND,2014,382216
India,IND,2016,395003
India,IND,2017,396965
India,IND,2018,401727
International Centers (FAO),,1995,615726
International Centers (FAO),,2000,681280
International Centers (FAO),,2005,727309
International Centers (FAO),,2010,753948
International Centers (FAO),,2012,775314
International Centers (FAO),,2014,781948
International Centers (FAO),,2016,792721
International Centers (FAO),,2017,800525
International Centers (FAO),,2018,800525
Ireland,IRL,1995,978
Ireland,IRL,2000,1044
Ireland,IRL,2005,1077
Ireland,IRL,2010,1350
Ireland,IRL,2012,1421
Ireland,IRL,2014,1421
Ireland,IRL,2016,1421
Ireland,IRL,2017,1421
Ireland,IRL,2018,1421
Israel,ISR,1995,26464
Israel,ISR,2000,26464
Israel,ISR,2005,26464
Israel,ISR,2010,26464
Israel,ISR,2012,26464
Israel,ISR,2014,26464
Israel,ISR,2016,26464
Israel,ISR,2017,26753
Israel,ISR,2018,26753
Italy,ITA,1995,42301
Italy,ITA,2000,44247
Italy,ITA,2005,47264
Italy,ITA,2010,49707
Italy,ITA,2012,50162
Italy,ITA,2014,50599
Italy,ITA,2016,50896
Italy,ITA,2017,51095
Italy,ITA,2018,51095
Japan,JPN,1995,121138
Japan,JPN,2000,170588
Japan,JPN,2005,191618
Japan,JPN,2010,203719
Japan,JPN,2012,208824
Japan,JPN,2014,214317
Japan,JPN,2016,220061
Japan,JPN,2017,221328
Japan,JPN,2018,223069
Jordan,JOR,1995,43
Jordan,JOR,2000,1257
Jordan,JOR,2005,3084
Jordan,JOR,2010,3701
Jordan,JOR,2012,3981
Jordan,JOR,2014,3981
Jordan,JOR,2016,3985
Jordan,JOR,2017,3985
Jordan,JOR,2018,4829
Kenya,KEN,1995,43722
Kenya,KEN,2000,44790
Kenya,KEN,2005,47726
Kenya,KEN,2010,49396
Kenya,KEN,2012,49505
Kenya,KEN,2014,50068
Kenya,KEN,2016,50323
Kenya,KEN,2017,50323
Kenya,KEN,2018,51023
Landlocked developing countries,,1995,96335
Landlocked developing countries,,2000,106622
Landlocked developing countries,,2005,130386
Landlocked developing countries,,2010,147817
Landlocked developing countries,,2012,152893
Landlocked developing countries,,2014,156610
Landlocked developing countries,,2016,159971
Landlocked developing countries,,2017,160315
Landlocked developing countries,,2018,161898
Latin America and the Caribbean	,,1995,206949
Latin America and the Caribbean	,,2000,235529
Latin America and the Caribbean	,,2005,265252
Latin America and the Caribbean	,,2010,307717
Latin America and the Caribbean	,,2012,340033
Latin America and the Caribbean	,,2014,354860
Latin America and the Caribbean	,,2016,367300
Latin America and the Caribbean	,,2017,371312
Latin America and the Caribbean	,,2018,372470
Latvia,LVA,1995,737
Latvia,LVA,2000,1006
Latvia,LVA,2005,2028
Latvia,LVA,2010,2409
Latvia,LVA,2012,2504
Latvia,LVA,2014,2555
Latvia,LVA,2016,2494
Latvia,LVA,2017,2497
Latvia,LVA,2018,2525
Least Developed Countries (LDCs),,1995,95543
Least Developed Countries (LDCs),,2000,113222
Least Developed Countries (LDCs),,2005,140152
Least Developed Countries (LDCs),,2010,159136
Least Developed Countries (LDCs),,2012,166735
Least Developed Countries (LDCs),,2014,175604
Least Developed Countries (LDCs),,2016,182129
Least Developed Countries (LDCs),,2017,182688
Least Developed Countries (LDCs),,2018,184287
Lebanon,LBN,1995,1
Lebanon,LBN,2000,1
Lebanon,LBN,2005,5
Lebanon,LBN,2010,8
Lebanon,LBN,2012,16
Lebanon,LBN,2014,1547
Lebanon,LBN,2016,1785
Lebanon,LBN,2017,1959
Lebanon,LBN,2018,1959
Lesotho,LSO,1995,23
Lesotho,LSO,2000,479
Lesotho,LSO,2005,1575
Lesotho,LSO,2010,3183
Lesotho,LSO,2012,3183
Lesotho,LSO,2014,3183
Lesotho,LSO,2016,3367
Lesotho,LSO,2017,3582
Lesotho,LSO,2018,3582
Libya,LBY,1995,0
Libya,LBY,2000,0
Libya,LBY,2005,531
Libya,LBY,2010,1387
Libya,LBY,2012,1431
Libya,LBY,2014,1553
Libya,LBY,2016,1778
Libya,LBY,2017,1778
Libya,LBY,2018,2345
Lithuania,LTU,1995,1
Lithuania,LTU,2000,1039
Lithuania,LTU,2005,1681
Lithuania,LTU,2010,1681
Lithuania,LTU,2012,1681
Lithuania,LTU,2014,1681
Lithuania,LTU,2016,1681
Lithuania,LTU,2017,924
Lithuania,LTU,2018,924
Macedonia,MKD,1995,1351
Macedonia,MKD,2000,1655
Macedonia,MKD,2005,1843
Macedonia,MKD,2010,2158
Macedonia,MKD,2012,2158
Macedonia,MKD,2014,2158
Macedonia,MKD,2016,2158
Macedonia,MKD,2017,2158
Macedonia,MKD,2018,2158
Madagascar,MDG,1995,8626
Madagascar,MDG,2000,8794
Madagascar,MDG,2005,8798
Madagascar,MDG,2010,8801
Madagascar,MDG,2012,8801
Madagascar,MDG,2014,8801
Madagascar,MDG,2016,8801
Madagascar,MDG,2017,8801
Madagascar,MDG,2018,8801
Malawi,MWI,1995,1437
Malawi,MWI,2000,2019
Malawi,MWI,2005,2165
Malawi,MWI,2010,2760
Malawi,MWI,2012,2793
Malawi,MWI,2014,3001
Malawi,MWI,2016,3253
Malawi,MWI,2017,3253
Malawi,MWI,2018,3253
Malaysia,MYS,1995,12421
Malaysia,MYS,2000,12426
Malaysia,MYS,2005,12604
Malaysia,MYS,2010,12653
Malaysia,MYS,2012,12763
Malaysia,MYS,2014,12826
Malaysia,MYS,2016,13036
Malaysia,MYS,2017,13036
Malaysia,MYS,2018,13036
Mali,MLI,1995,0
Mali,MLI,2000,0
Mali,MLI,2005,218
Mali,MLI,2010,218
Mali,MLI,2012,838
Mali,MLI,2014,838
Mali,MLI,2016,838
Mali,MLI,2017,838
Mali,MLI,2018,2090
Mauritania,MRT,1995,0
Mauritania,MRT,2000,0
Mauritania,MRT,2005,0
Mauritania,MRT,2010,1
Mauritania,MRT,2012,1
Mauritania,MRT,2014,1
Mauritania,MRT,2016,2
Mauritania,MRT,2017,48
Mauritania,MRT,2018,64
Melanesia,OWID_MNS,1995,1043
Melanesia,OWID_MNS,2000,1194
Melanesia,OWID_MNS,2005,1327
Melanesia,OWID_MNS,2010,1376
Melanesia,OWID_MNS,2012,1432
Melanesia,OWID_MNS,2014,1459
Melanesia,OWID_MNS,2016,1508
Melanesia,OWID_MNS,2017,1566
Melanesia,OWID_MNS,2018,1567
Mexico,MEX,1995,26874
Mexico,MEX,2000,28791
Mexico,MEX,2005,34410
Mexico,MEX,2010,48722
Mexico,MEX,2012,57303
Mexico,MEX,2014,59677
Mexico,MEX,2016,61505
Mexico,MEX,2017,61508
Mexico,MEX,2018,61508
Moldova,MDA,1995,5741
Moldova,MDA,2000,6022
Moldova,MDA,2005,6415
Moldova,MDA,2010,6415
Moldova,MDA,2012,6415
Moldova,MDA,2014,6415
Moldova,MDA,2016,6415
Moldova,MDA,2017,6415
Moldova,MDA,2018,6415
Mongolia,MNG,1995,8596
Mongolia,MNG,2000,10137
Mongolia,MNG,2005,10540
Mongolia,MNG,2010,12073
Mongolia,MNG,2012,13063
Mongolia,MNG,2014,13977
Mongolia,MNG,2016,13992
Mongolia,MNG,2017,13992
Mongolia,MNG,2018,13992
Montenegro,MNE,1995,23
Montenegro,MNE,2000,23
Montenegro,MNE,2005,143
Montenegro,MNE,2010,340
Montenegro,MNE,2012,356
Montenegro,MNE,2014,356
Montenegro,MNE,2016,356
Montenegro,MNE,2017,376
Montenegro,MNE,2018,388
Morocco,MAR,1995,0
Morocco,MAR,2000,0
Morocco,MAR,2005,16925
Morocco,MAR,2010,47294
Morocco,MAR,2012,56590
Morocco,MAR,2014,60028
Morocco,MAR,2016,60028
Morocco,MAR,2017,60028
Morocco,MAR,2018,60028
Myanmar,MMR,1995,3214
Myanmar,MMR,2000,7187
Myanmar,MMR,2005,8746
Myanmar,MMR,2010,10718
Myanmar,MMR,2012,11393
Myanmar,MMR,2014,11774
Myanmar,MMR,2016,11902
Myanmar,MMR,2017,12050
Myanmar,MMR,2018,12050
Namibia,NAM,1995,1040
Namibia,NAM,2000,1269
Namibia,NAM,2005,1775
Namibia,NAM,2010,1775
Namibia,NAM,2012,1906
Namibia,NAM,2014,1935
Namibia,NAM,2016,1967
Namibia,NAM,2017,1967
Namibia,NAM,2018,2110
Nepal,NPL,1995,1781
Nepal,NPL,2000,2532
Nepal,NPL,2005,2532
Nepal,NPL,2010,2776
Nepal,NPL,2012,4155
Nepal,NPL,2014,4667
Nepal,NPL,2016,4671
Nepal,NPL,2017,4671
Nepal,NPL,2018,4671
Netherlands,NLD,1995,19711
Netherlands,NLD,2000,24706
Netherlands,NLD,2005,25213
Netherlands,NLD,2010,25596
Netherlands,NLD,2012,25693
Netherlands,NLD,2014,25736
Netherlands,NLD,2016,25869
Netherlands,NLD,2017,25926
Netherlands,NLD,2018,26097
New Zealand,NZL,1995,19395
New Zealand,NZL,2000,25604
New Zealand,NZL,2005,27197
New Zealand,NZL,2010,30265
New Zealand,NZL,2012,31977
New Zealand,NZL,2014,34240
New Zealand,NZL,2016,36144
New Zealand,NZL,2017,36144
New Zealand,NZL,2018,36144
Niger,NER,1995,30
Niger,NER,2000,30
Niger,NER,2005,3051
Niger,NER,2010,3051
Niger,NER,2012,3113
Niger,NER,2014,3628
Niger,NER,2016,3628
Niger,NER,2017,3628
Niger,NER,2018,3628
Northern Africa,,1995,5084
Northern Africa,,2000,6261
Northern Africa,,2005,34524
Northern Africa,,2010,76548
Northern Africa,,2012,86165
Northern Africa,,2014,90937
Northern Africa,,2016,106527
Northern Africa,,2017,108620
Northern Africa,,2018,109187
Northern Africa (exc. Sudan),,1995,380
Northern Africa (exc. Sudan),,2000,380
Northern Africa (exc. Sudan),,2005,25537
Northern Africa (exc. Sudan),,2010,65328
Northern Africa (exc. Sudan),,2012,74939
Northern Africa (exc. Sudan),,2014,79158
Northern Africa (exc. Sudan),,2016,93244
Northern Africa (exc. Sudan),,2017,95327
Northern Africa (exc. Sudan),,2018,95894
Northern Africa and Western Asia,,1995,50822
Northern Africa and Western Asia,,2000,55508
Northern Africa and Western Asia,,2005,91599
Northern Africa and Western Asia,,2010,138627
Northern Africa and Western Asia,,2012,149268
Northern Africa and Western Asia,,2014,156695
Northern Africa and Western Asia,,2016,173835
Northern Africa and Western Asia,,2017,176520
Northern Africa and Western Asia,,2018,177931
Northern America,,1995,511546
Northern America,,2000,555713
Northern America,,2005,581738
Northern America,,2010,653210
Northern America,,2012,668299
Northern America,,2014,676207
Northern America,,2016,692512
Northern America,,2017,692512
Northern America,,2018,693306
Northern Europe,,1995,102998
Northern Europe,,2000,144183
Northern Europe,,2005,485277
Northern Europe,,2010,724269
Northern Europe,,2012,785770
Northern Europe,,2014,826173
Northern Europe,,2016,839555
Northern Europe,,2017,858703
Northern Europe,,2018,877571
Norway,NOR,1995,26
Norway,NOR,2000,26
Norway,NOR,2005,26
Norway,NOR,2010,26
Norway,NOR,2012,26
Norway,NOR,2014,26
Norway,NOR,2016,26
Norway,NOR,2017,26
Norway,NOR,2018,26
Oceania,,1995,167962
Oceania,,2000,197493
Oceania,,2005,231511
Oceania,,2010,244403
Oceania,,2012,251142
Oceania,,2014,255765
Oceania,,2016,261595
Oceania,,2017,262670
Oceania,,2018,263011
Oceania (exc. Australia and New Zealand),,1995,1068
Oceania (exc. Australia and New Zealand),,2000,1347
Oceania (exc. Australia and New Zealand),,2005,2247
Oceania (exc. Australia and New Zealand),,2010,2860
Oceania (exc. Australia and New Zealand),,2012,3397
Oceania (exc. Australia and New Zealand),,2014,3530
Oceania (exc. Australia and New Zealand),,2016,3671
Oceania (exc. Australia and New Zealand),,2017,3729
Oceania (exc. Australia and New Zealand),,2018,3730
Pakistan,PAK,1995,14306
Pakistan,PAK,2000,19392
Pakistan,PAK,2005,23549
Pakistan,PAK,2010,28214
Pakistan,PAK,2012,29191
Pakistan,PAK,2014,29996
Pakistan,PAK,2016,31066
Pakistan,PAK,2017,31066
Pakistan,PAK,2018,31066
Panama,PAN,1995,134
Panama,PAN,2000,263
Panama,PAN,2005,290
Panama,PAN,2010,566
Panama,PAN,2012,729
Panama,PAN,2014,813
Panama,PAN,2016,824
Panama,PAN,2017,824
Panama,PAN,2018,824
Papua New Guinea,PNG,1995,1043
Papua New Guinea,PNG,2000,1194
Papua New Guinea,PNG,2005,1327
Papua New Guinea,PNG,2010,1376
Papua New Guinea,PNG,2012,1432
Papua New Guinea,PNG,2014,1459
Papua New Guinea,PNG,2016,1508
Papua New Guinea,PNG,2017,1566
Papua New Guinea,PNG,2018,1567
Peru,PER,1995,9439
Peru,PER,2000,10805
Peru,PER,2005,11610
Peru,PER,2010,12330
Peru,PER,2012,12333
Peru,PER,2014,12529
Peru,PER,2016,12592
Peru,PER,2017,12592
Peru,PER,2018,12914
Philippines,PHL,1995,649
Philippines,PHL,2000,677
Philippines,PHL,2005,692
Philippines,PHL,2010,851
