Entity,Code,Year,Income share held by highest 10% (%)
Bulgaria,BGR,2009,25.7
Bulgaria,BGR,2010,26.9
Bulgaria,BGR,2011,26
Bulgaria,BGR,2012,27.4
Bulgaria,BGR,2013,27.5
Bulgaria,BGR,2014,28.8
Burkina Faso,BFA,1994,39.5
Burkina Faso,BFA,1998,42.7
Burkina Faso,BFA,2003,33.8
Burkina Faso,BFA,2009,32
Burkina Faso,BFA,2014,29.6
Burundi,BDI,1992,26.6
Burundi,BDI,1998,32.7
Burundi,BDI,2006,28
Burundi,BDI,2013,31.3
Cameroon,CMR,1996,36.2
Cameroon,CMR,2001,33.7
Cameroon,CMR,2007,33
Cameroon,CMR,2014,35
Canada,CAN,1981,24.3
Canada,CAN,1987,23.9
Canada,CAN,1991,23.6
Canada,CAN,1994,23.6
Canada,CAN,1997,23.9
Canada,CAN,1998,25.3
Canada,CAN,2000,25.6
Canada,CAN,2004,25.6
Canada,CAN,2007,26
Canada,CAN,2010,25.8
Canada,CAN,2013,25.3
Cape Verde,CPV,2001,42.6
Cape Verde,CPV,2007,37.1
Central African Republic,CAF,1992,47.7
Central African Republic,CAF,2003,33
Central African Republic,CAF,2008,46.2
Chad,TCD,2003,30.7
Chad,TCD,2011,32.4
Chile,CHL,1987,45.4
Chile,CHL,1990,47
Chile,CHL,1992,45.2
Chile,CHL,1994,45.9
Chile,CHL,1996,44.4
Chile,CHL,1998,45
Chile,CHL,2000,42.6
Chile,CHL,2003,41.3
Chile,CHL,2006,38.4
Chile,CHL,2009,39.7
Chile,CHL,2011,38.5
Chile,CHL,2013,38.4
Chile,CHL,2015,38
China,CHN,2008,31.8
China,CHN,2012,31.4
Colombia,COL,1992,40.5
Colombia,COL,1996,45.6
Colombia,COL,1999,46.9
Colombia,COL,2000,47
Colombia,COL,2001,46.6
Colombia,COL,2002,47
Colombia,COL,2003,43.5
Colombia,COL,2004,45.5
Colombia,COL,2005,44.3
Colombia,COL,2008,44.4
Colombia,COL,2009,44.5
Colombia,COL,2010,44.3
Colombia,COL,2011,43.1
Colombia,COL,2012,42
Colombia,COL,2013,41.9
Colombia,COL,2014,42.2
Colombia,COL,2015,39.6
Comoros,COM,2004,48.1
Comoros,COM,2013,33.4
Congo,COG,2005,36.8
Congo,COG,2011,37.9
Costa Rica,CRI,1981,33.7
Costa Rica,CRI,1986,23
Costa Rica,CRI,1989,33.7
Costa Rica,CRI,1990,33
Costa Rica,CRI,1991,34.3
Costa Rica,CRI,1992,33.7
Costa Rica,CRI,1993,33.7
Costa Rica,CRI,1994,35.3
Costa Rica,CRI,1995,33.8
Costa Rica,CRI,1996,34.3
Costa Rica,CRI,1997,33.8
Costa Rica,CRI,1998,34
Costa Rica,CRI,1999,35.9
Costa Rica,CRI,2000,35.7
Costa Rica,CRI,2001,39
Costa Rica,CRI,2002,39.1
Costa Rica,CRI,2003,37.5
Costa Rica,CRI,2004,36.9
Costa Rica,CRI,2005,36
Costa Rica,CRI,2006,38
Costa Rica,CRI,2007,38.9
Costa Rica,CRI,2008,38.2
Costa Rica,CRI,2009,39.7
Costa Rica,CRI,2010,37.1
Costa Rica,CRI,2011,37
Costa Rica,CRI,2012,37
Costa Rica,CRI,2013,37.3
Costa Rica,CRI,2014,36.8
Costa Rica,CRI,2015,36.7
Cote d'Ivoire,CIV,1985,35.6
Cote d'Ivoire,CIV,1986,29.5
Cote d'Ivoire,CIV,1987,32
Cote d'Ivoire,CIV,1988,28.3
Cote d'Ivoire,CIV,1992,29.5
Cote d'Ivoire,CIV,1995,32.8
Cote d'Ivoire,CIV,1998,30.1
Cote d'Ivoire,CIV,2002,32.7
Cote d'Ivoire,CIV,2008,32.6
Cote d'Ivoire,CIV,2015,32.1
Croatia,HRV,1988,19.5
Croatia,HRV,2009,24.3
Croatia,HRV,2010,23.9
Croatia,HRV,2011,23.7
Croatia,HRV,2012,23.9
Croatia,HRV,2013,23.7
Croatia,HRV,2014,24.1
Cyprus,CYP,2004,24.3
Cyprus,CYP,2005,24.9
Cyprus,CYP,2006,26
Cyprus,CYP,2007,25.5
Cyprus,CYP,2008,26.2
Cyprus,CYP,2009,26.2
Cyprus,CYP,2010,25.7
Cyprus,CYP,2011,26.7
Cyprus,CYP,2012,28
Cyprus,CYP,2013,30.8
Cyprus,CYP,2014,28.8
Czech Republic,CZE,1988,17.8
Czech Republic,CZE,1993,23.6
Czech Republic,CZE,1996,22.7
Czech Republic,CZE,2004,23.1
Czech Republic,CZE,2005,22.9
Czech Republic,CZE,2006,22.6
Czech Republic,CZE,2007,22.3
Czech Republic,CZE,2008,22.9
Czech Republic,CZE,2009,22.4
Czech Republic,CZE,2010,22.5
Czech Republic,CZE,2011,22.2
Czech Republic,CZE,2012,22.2
Czech Republic,CZE,2013,22.6
Czech Republic,CZE,2014,22.1
Democratic Republic of Congo,COD,2004,32.4
Democratic Republic of Congo,COD,2012,32
Denmark,DNK,2004,20.6
Denmark,DNK,2005,21
Denmark,DNK,2006,21.8
Denmark,DNK,2007,22.1
Denmark,DNK,2008,21
Denmark,DNK,2009,21.8
Denmark,DNK,2010,22.5
Denmark,DNK,2011,22.8
Denmark,DNK,2012,23.2
Denmark,DNK,2013,23.7
Denmark,DNK,2014,23.7
Djibouti,DJI,2002,30.8
Djibouti,DJI,2012,34.4
Djibouti,DJI,2013,34.1
Dominican Republic,DOM,1986,36.1
Dominican Republic,DOM,1989,39.8
Dominican Republic,DOM,1992,42
Dominican Republic,DOM,1996,36.5
Dominican Republic,DOM,1997,37.9
Dominican Republic,DOM,2000,40.7
Dominican Republic,DOM,2001,39.6
Dominican Republic,DOM,2002,38.8
Dominican Republic,DOM,2003,41.7
Dominican Republic,DOM,2004,41.6
Dominican Republic,DOM,2005,39
Dominican Republic,DOM,2006,41.2
Dominican Republic,DOM,2007,38.4
Dominican Republic,DOM,2008,38.8
Dominican Republic,DOM,2009,38.7
Dominican Republic,DOM,2010,36.5
Dominican Republic,DOM,2011,37.3
Dominican Republic,DOM,2012,35.8
Dominican Republic,DOM,2013,37.4
Dominican Republic,DOM,2014,33.8
Dominican Republic,DOM,2015,34.6
Ecuador,ECU,1987,38.4
Ecuador,ECU,1994,42.5
Ecuador,ECU,1998,37.9
Ecuador,ECU,1999,47.8
Ecuador,ECU,2000,45.9
Ecuador,ECU,2003,43.8
Ecuador,ECU,2004,42.6
Ecuador,ECU,2005,42.6
Ecuador,ECU,2006,42.5
Ecuador,ECU,2007,43.3
Ecuador,ECU,2008,39.3
Ecuador,ECU,2009,38.2
Ecuador,ECU,2010,38.3
Ecuador,ECU,2011,34.8
Ecuador,ECU,2012,35.4
Ecuador,ECU,2013,36.5
Ecuador,ECU,2014,35.2
Ecuador,ECU,2015,35.8
Egypt,EGY,1990,26.7
Egypt,EGY,1995,26
Egypt,EGY,1999,28.3
Egypt,EGY,2004,27.4
Egypt,EGY,2008,27
Egypt,EGY,2010,27.3
Egypt,EGY,2012,26
Egypt,EGY,2015,27.8
El Salvador,SLV,1991,41.4
El Salvador,SLV,1995,38.8
El Salvador,SLV,1996,39.8
El Salvador,SLV,1998,40.5
El Salvador,SLV,1999,38.7
El Salvador,SLV,2000,38.9
El Salvador,SLV,2001,38.5
El Salvador,SLV,2002,38.7
El Salvador,SLV,2003,37.4
El Salvador,SLV,2004,35.5
El Salvador,SLV,2005,36.3
El Salvador,SLV,2006,35.5
El Salvador,SLV,2007,35.7
El Salvador,SLV,2008,36
El Salvador,SLV,2009,36.1
El Salvador,SLV,2010,33.7
El Salvador,SLV,2011,32.9
El Salvador,SLV,2012,32.5
El Salvador,SLV,2013,34.3
El Salvador,SLV,2014,32.3
El Salvador,SLV,2015,32
Estonia,EST,1988,18.4
Estonia,EST,1993,31.4
Estonia,EST,2003,28.4
Estonia,EST,2004,25.9
Estonia,EST,2005,26.2
Estonia,EST,2006,26.9
Estonia,EST,2007,24
Estonia,EST,2008,24.9
Estonia,EST,2009,24.4
Estonia,EST,2010,24.3
Estonia,EST,2011,24.8
Estonia,EST,2012,25.2
Estonia,EST,2013,26.6
Estonia,EST,2014,26.2
Ethiopia,ETH,1995,38
Ethiopia,ETH,1999,25.5
Ethiopia,ETH,2004,25.6
Ethiopia,ETH,2010,27.4
Fiji,FJI,2002,29.6
Fiji,FJI,2008,32.9
Fiji,FJI,2013,29.4
Finland,FIN,2004,23.2
Finland,FIN,2005,23
Finland,FIN,2006,23
Finland,FIN,2007,23.3
Finland,FIN,2008,23
Finland,FIN,2009,22.6
Finland,FIN,2010,22.5
Finland,FIN,2011,22.8
Finland,FIN,2012,22.3
Finland,FIN,2013,22.2
Finland,FIN,2014,22
France,FRA,2004,24.5
France,FRA,2005,23.9
France,FRA,2006,23.5
France,FRA,2007,26.3
France,FRA,2008,26.7
France,FRA,2010,27.1
France,FRA,2011,26.9
France,FRA,2012,26.8
France,FRA,2013,26.4
France,FRA,2014,26
Gabon,GAB,2005,33.2
Gambia,GMB,1998,37.7
Gambia,GMB,2003,36.8
Georgia,GEO,1996,27.9
Georgia,GEO,1997,31.3
Georgia,GEO,1998,31.2
Georgia,GEO,1999,29.9
Georgia,GEO,2000,30.3
Georgia,GEO,2001,30
Georgia,GEO,2002,29.9
Georgia,GEO,2003,29.3
Georgia,GEO,2004,29.7
Georgia,GEO,2005,30.1
Georgia,GEO,2006,30.1
Georgia,GEO,2007,30.9
Georgia,GEO,2008,30.5
Georgia,GEO,2009,31.5
Georgia,GEO,2010,31.3
Georgia,GEO,2011,31
Georgia,GEO,2012,30.9
Georgia,GEO,2013,29.9
Georgia,GEO,2014,29.8
Georgia,GEO,2015,28.9
Germany,DEU,2006,25.2
Germany,DEU,2007,25.5
Germany,DEU,2008,24.6
Germany,DEU,2009,24.9
Germany,DEU,2010,24.3
Germany,DEU,2011,23.7
Germany,DEU,2013,24.9
Ghana,GHA,1987,27.3
Ghana,GHA,1988,28.1
Ghana,GHA,1991,30.1
Ghana,GHA,1998,29.6
Ghana,GHA,2005,32.7
Ghana,GHA,2012,31.6
Greece,GRC,2004,25.5
Greece,GRC,2005,26.3
Greece,GRC,2006,26.7
Greece,GRC,2007,26
Greece,GRC,2008,26
Greece,GRC,2009,26
Greece,GRC,2010,25.6
Greece,GRC,2011,25.6
Greece,GRC,2012,26.6
Greece,GRC,2013,26.4
Greece,GRC,2014,26.1
Guatemala,GTM,1986,46.7
Guatemala,GTM,1989,46.8
Guatemala,GTM,2000,44.4
Guatemala,GTM,2006,43.6
Guatemala,GTM,2011,41.8
Guatemala,GTM,2014,38.4
Guinea,GIN,1991,31.7
Guinea,GIN,1994,36
Guinea,GIN,2002,34
Guinea,GIN,2007,30.1
Guinea,GIN,2012,26.4
Guinea-Bissau,GNB,1993,34.4
Guinea-Bissau,GNB,2002,28.1
Guinea-Bissau,GNB,2010,42
Guyana,GUY,1998,34.1
Haiti,HTI,2012,31
Honduras,HND,1989,48.2
Honduras,HND,1990,45.5
Honduras,HND,1991,40.8
Honduras,HND,1992,41.4
Honduras,HND,1993,42.8
Honduras,HND,1994,43.5
Honduras,HND,1995,43.8
Honduras,HND,1996,43.7
Honduras,HND,1997,41.4
Honduras,HND,1998,44.6
Honduras,HND,1999,41.8
Honduras,HND,2001,41.2
Honduras,HND,2002,44.7
Honduras,HND,2003,45.7
Honduras,HND,2004,45.2
Honduras,HND,2005,46.3
Honduras,HND,2006,44
Honduras,HND,2007,43.8
Honduras,HND,2008,43.9
Honduras,HND,2009,39.1
Honduras,HND,2010,41
Honduras,HND,2011,45.7
Honduras,HND,2012,45.7
Honduras,HND,2013,41.5
Honduras,HND,2014,38.7
Honduras,HND,2015,37.8
Hungary,HUN,1987,19
Hungary,HUN,1989,21.6
Hungary,HUN,1993,24.2
Hungary,HUN,2004,24.2
Hungary,HUN,2005,28.1
Hungary,HUN,2006,22.8
Hungary,HUN,2007,22.3
Hungary,HUN,2008,22.1
Hungary,HUN,2009,21.5
Hungary,HUN,2010,23.1
Hungary,HUN,2011,23.1
Hungary,HUN,2012,23.9
Hungary,HUN,2013,24.4
Hungary,HUN,2014,24
Iceland,ISL,2004,23.7
Iceland,ISL,2005,24.4
Iceland,ISL,2006,25.4
Iceland,ISL,2007,24.8
Iceland,ISL,2008,27.1
Iceland,ISL,2009,24
Iceland,ISL,2010,22
Iceland,ISL,2011,22.1
Iceland,ISL,2012,22.1
Iceland,ISL,2013,21.3
Iceland,ISL,2014,21.3
India,IND,2011,29.8
Indonesia,IDN,2013,31.9
Iran,IRN,1986,36.9
Iran,IRN,1990,33.5
Iran,IRN,1994,33.3
Iran,IRN,1998,33.7
Iran,IRN,2005,33.3
Iran,IRN,2006,34
Iran,IRN,2009,31.3
Iran,IRN,2013,29
Iran,IRN,2014,29.8
Iraq,IRQ,2006,23.6
Iraq,IRQ,2012,23.7
Ireland,IRL,2004,26.6
Ireland,IRL,2005,27
Ireland,IRL,2006,25.6
Ireland,IRL,2007,25.5
Ireland,IRL,2008,24.6
Ireland,IRL,2009,25.6
Ireland,IRL,2010,24.9
Ireland,IRL,2011,25.3
Ireland,IRL,2012,25.5
Ireland,IRL,2013,26
Ireland,IRL,2014,24.9
Israel,ISR,1979,27
Israel,ISR,1986,26.9
Israel,ISR,1992,26.9
Israel,ISR,1997,28.2
Israel,ISR,2001,28.7
Israel,ISR,2005,30
Israel,ISR,2007,29.5
Israel,ISR,2010,31.1
Israel,ISR,2012,29.6
Italy,ITA,2004,26.3
Italy,ITA,2005,25.5
Italy,ITA,2006,25.7
Italy,ITA,2007,25
Italy,ITA,2008,25.5
Italy,ITA,2009,25.2
Italy,ITA,2010,25.7
Italy,ITA,2011,26
Italy,ITA,2012,26.2
Italy,ITA,2013,25.9
Italy,ITA,2014,25.5
Jamaica,JAM,1988,33.7
Jamaica,JAM,1990,32
Jamaica,JAM,1993,27.4
Jamaica,JAM,1996,32.7
Jamaica,JAM,1999,35
Jamaica,JAM,2002,38
Jamaica,JAM,2004,35.8
Japan,JPN,2008,24.8
Jordan,JOR,1986,28.1
Jordan,JOR,1992,35
Jordan,JOR,1997,29.8
Jordan,JOR,2002,29.5
Jordan,JOR,2006,27.5
Jordan,JOR,2008,26.6
Jordan,JOR,2010,27.5
Kazakhstan,KAZ,1996,26.3
Kazakhstan,KAZ,2001,26.7
Kazakhstan,KAZ,2002,26.2
Kazakhstan,KAZ,2003,25.3
Kazakhstan,KAZ,2004,24.8
Kazakhstan,KAZ,2005,23.5
Kazakhstan,KAZ,2006,24.7
Kazakhstan,KAZ,2007,23.4
Kazakhstan,KAZ,2008,24.2
Kazakhstan,KAZ,2009,23.7
Kazakhstan,KAZ,2010,23.7
Kazakhstan,KAZ,2011,22.5
Kazakhstan,KAZ,2012,22.4
Kazakhstan,KAZ,2013,22
Kazakhstan,KAZ,2014,22.3
Kazakhstan,KAZ,2015,22.3
Kenya,KEN,1992,47.9
Kenya,KEN,1994,34.1
Kenya,KEN,1997,37.5
Kenya,KEN,2005,38.8
Kiribati,KIR,2006,29.3
Kosovo,OWID_KOS,2003,23.2
Kosovo,OWID_KOS,2005,24.2
Kosovo,OWID_KOS,2006,24
Kosovo,OWID_KOS,2009,25
Kosovo,OWID_KOS,2010,25.7
Kosovo,OWID_KOS,2011,22.3
Kosovo,OWID_KOS,2012,23.9
Kosovo,OWID_KOS,2013,22
Kyrgyzstan,KGZ,1993,40.3
Kyrgyzstan,KGZ,1998,35.3
Kyrgyzstan,KGZ,2000,24.8
Kyrgyzstan,KGZ,2001,23.9
Kyrgyzstan,KGZ,2002,24
Kyrgyzstan,KGZ,2003,23.3
Kyrgyzstan,KGZ,2004,27.2
Kyrgyzstan,KGZ,2005,26.1
Kyrgyzstan,KGZ,2006,29.4
Kyrgyzstan,KGZ,2007,26.5
Kyrgyzstan,KGZ,2008,25.3
Kyrgyzstan,KGZ,2009,24.6
Kyrgyzstan,KGZ,2010,24.6
Kyrgyzstan,KGZ,2011,23.5
Kyrgyzstan,KGZ,2012,23.1
Kyrgyzstan,KGZ,2013,23.9
Kyrgyzstan,KGZ,2014,22.9
Kyrgyzstan,KGZ,2015,24.8
Laos,LAO,1992,28.1
Laos,LAO,1997,29.1
Laos,LAO,2002,27
Laos,LAO,2007,29.3
Laos,LAO,2012,29.8
Latvia,LVA,1988,18.7
Latvia,LVA,1993,22.1
Latvia,LVA,1995,25.1
Latvia,LVA,1996,25.7
Latvia,LVA,2004,28.5
Latvia,LVA,2005,30
Latvia,LVA,2006,26.6
Latvia,LVA,2007,28.3
Latvia,LVA,2008,27.7
Latvia,LVA,2009,26.9
Latvia,LVA,2010,26.2
Latvia,LVA,2011,27.3
Latvia,LVA,2012,26.6
Latvia,LVA,2013,26.8
Latvia,LVA,2014,26.6
Lebanon,LBN,2011,24.8
Lesotho,LSO,1986,43.6
Lesotho,LSO,1994,48.3
Lesotho,LSO,2002,38.3
Lesotho,LSO,2010,40.9
Liberia,LBR,2007,28.3
Liberia,LBR,2014,26
Lithuania,LTU,1988,19
Lithuania,LTU,1993,28
Lithuania,LTU,2004,27.9
Lithuania,LTU,2005,27.2
Lithuania,LTU,2006,26.8
Lithuania,LTU,2007,26.8
Lithuania,LTU,2008,27.6
Lithuania,LTU,2009,27.6
Lithuania,LTU,2010,24.8
Lithuania,LTU,2011,24.5
Lithuania,LTU,2012,26.8
Lithuania,LTU,2013,27.1
Lithuania,LTU,2014,28.9
Luxembourg,LUX,2004,23.7
Luxembourg,LUX,2005,24.4
Luxembourg,LUX,2006,24.3
Luxembourg,LUX,2007,25.1
Luxembourg,LUX,2008,25.8
Luxembourg,LUX,2009,24.2
Luxembourg,LUX,2010,23.7
Luxembourg,LUX,2011,24.4
Luxembourg,LUX,2012,26.4
Luxembourg,LUX,2013,24.2
Luxembourg,LUX,2014,24.3
Macedonia,MKD,2010,30.8
Macedonia,MKD,2011,27.1
Macedonia,MKD,2012,27.1
Macedonia,MKD,2013,26.6
Macedonia,MKD,2014,25.6
Macedonia,MKD,2015,25
Madagascar,MDG,1980,37
Madagascar,MDG,1993,37
Madagascar,MDG,1997,30.1
Madagascar,MDG,1999,28.9
Madagascar,MDG,2001,36.6
Madagascar,MDG,2005,32.4
Madagascar,MDG,2010,34.3
Madagascar,MDG,2012,33.5
Malawi,MWI,1997,61.5
Malawi,MWI,2004,32.8
Malawi,MWI,2010,37.5
Malaysia,MYS,1984,38.5
Malaysia,MYS,1987,36.9
Malaysia,MYS,1989,36.4
Malaysia,MYS,1992,37
Malaysia,MYS,1995,37.9
Malaysia,MYS,1997,38.4
Malaysia,MYS,2004,34.7
Malaysia,MYS,2007,34.7
Malaysia,MYS,2009,34.6
Maldives,MDV,2002,34.8
Maldives,MDV,2009,29.9
Mali,MLI,1994,40.4
Mali,MLI,2001,30.1
Mali,MLI,2006,30.2
Mali,MLI,2009,25.7
Mauritania,MRT,1987,32
Mauritania,MRT,1993,42.5
Mauritania,MRT,1995,28.7
Mauritania,MRT,2000,29.5
Mauritania,MRT,2004,32.6
Mauritania,MRT,2008,26.2
Mauritania,MRT,2014,24.8
Mauritius,MUS,2006,28.8
Mauritius,MUS,2012,29
Mexico,MEX,1984,37
Mexico,MEX,1992,40.3
Mexico,MEX,1994,41.5
Mexico,MEX,1996,37.9
Mexico,MEX,1998,37.7
Mexico,MEX,2000,41.3
Mexico,MEX,2002,39.3
Mexico,MEX,2004,35.5
Mexico,MEX,2006,38.1
Mexico,MEX,2008,38.9
Mexico,MEX,2010,38.4
Mexico,MEX,2012,38.9
Mexico,MEX,2014,39.7
Micronesia (country),FSM,2005,32.5
Micronesia (country),FSM,2013,29.7
Moldova,MDA,1997,28.1
Moldova,MDA,1998,30.1
Moldova,MDA,1999,34.4
Moldova,MDA,2000,28.5
Moldova,MDA,2001,29.8
Moldova,MDA,2002,27.5
Moldova,MDA,2003,27.7
Moldova,MDA,2004,27.7
Moldova,MDA,2005,28.5
Moldova,MDA,2006,27.4
Moldova,MDA,2007,26.8
Moldova,MDA,2008,27.1
Moldova,MDA,2009,25
Moldova,MDA,2010,25.4
Moldova,MDA,2011,24.5
Moldova,MDA,2012,23.6
Moldova,MDA,2013,23.3
Moldova,MDA,2014,22.1
Moldova,MDA,2015,22.5
Mongolia,MNG,1995,25
Mongolia,MNG,1998,22.9
Mongolia,MNG,2002,24.6
Mongolia,MNG,2007,27.8
Mongolia,MNG,2010,25.7
Mongolia,MNG,2011,26.6
Mongolia,MNG,2012,26.2
Mongolia,MNG,2014,25.5
Montenegro,MNE,2005,24
Montenegro,MNE,2006,23.2
Montenegro,MNE,2007,24.5
Montenegro,MNE,2008,24.5
Montenegro,MNE,2009,24.9
Montenegro,MNE,2010,22.6
Montenegro,MNE,2011,24.7
Montenegro,MNE,2012,24.4
Montenegro,MNE,2013,24.9
Montenegro,MNE,2014,25.7
Morocco,MAR,1984,31.8
Morocco,MAR,1990,30.5
Morocco,MAR,1998,31.1
Morocco,MAR,2000,32.1
Morocco,MAR,2006,33.1
Mozambique,MOZ,1996,36.1
Mozambique,MOZ,2002,39.3
Mozambique,MOZ,2008,36.8
Myanmar,MMR,2015,31.7
Namibia,NAM,2003,54.8
Namibia,NAM,2009,51.8
Nepal,NPL,1995,29
Nepal,NPL,2003,36.9
Nepal,NPL,2010,26.4
Netherlands,NLD,2004,23.7
Netherlands,NLD,2005,23.4
Netherlands,NLD,2006,24.7
Netherlands,NLD,2007,24.1
Netherlands,NLD,2008,23.7
Netherlands,NLD,2009,22.4
Netherlands,NLD,2010,22.5
Netherlands,NLD,2011,22.6
Netherlands,NLD,2012,22.5
Netherlands,NLD,2013,22.7
Netherlands,NLD,2014,23.3
Nicaragua,NIC,1993,44.2
Nicaragua,NIC,1998,43.4
Nicaragua,NIC,2001,43.1
