Entity,Code,Year,Inequality in life expectancy (2015-2020) (%)
Sweden,SWE,2015,2.7
Switzerland,CHE,2015,3.5
Syria,SYR,2015,13
Tajikistan,TJK,2015,20.1
Tanzania,TZA,2015,24.9
Thailand,THA,2015,9.3
Timor,TLS,2015,20.6
Togo,TGO,2015,30.5
Tonga,TON,2015,13
Trinidad and Tobago,TTO,2015,15.6
Tunisia,TUN,2015,10.7
Turkey,TUR,2015,9.6
Turkmenistan,TKM,2015,23.4
Uganda,UGA,2015,32.5
Ukraine,UKR,2015,7.5
United Arab Emirates,ARE,2015,5.2
United Kingdom,GBR,2015,4
United States,USA,2015,5.6
Uruguay,URY,2015,9
Uzbekistan,UZB,2015,17
Vanuatu,VUT,2015,14.1
Venezuela,VEN,2015,10.5
Very high human development,,2015,5
Vietnam,VNM,2015,12.7
World,OWID_WRL,2015,15.2
Yemen,YEM,2015,24.9
Zambia,ZMB,2015,28.8
Zimbabwe,ZWE,2015,26.6
