Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal) (% of total freshwater withdrawal)"
Burundi,BDI,2000,77.08
Cambodia,KHM,2006,94
Cameroon,CMR,1987,35.35
Cameroon,CMR,1992,35
Cameroon,CMR,2000,76.26
Canada,CAN,1991,8.851
Canada,CAN,1996,9.723
Canada,CAN,2007,5.62
Canada,CAN,2010,12.24
Cape Verde,CPV,2001,90.91
Caribbean small states,,2014,14.89
Central African Republic,CAF,1987,2.062
Central African Republic,CAF,2000,0.6042
Central African Republic,CAF,2005,0.5517
Central Europe and the Baltics,,2014,1.2239627078489
Central Europe and the Baltics,,2015,14.72
Chad,TCD,1987,81.77
Chad,TCD,2002,79.16
Chad,TCD,2005,76.42
Chile,CHL,2006,83.04
China,CHN,1980,88.17
China,CHN,1985,86.3
China,CHN,1990,83
China,CHN,1993,77.6
China,CHN,2000,68.83
China,CHN,2007,63.01
China,CHN,2012,64.31
China,CHN,2015,64.4
Colombia,COL,2000,63.52
Colombia,COL,2008,54.3
Comoros,COM,1999,47
Congo,COG,1987,11
Congo,COG,2002,8.696
Costa Rica,CRI,2013,56.6
Cote d'Ivoire,CIV,1987,67
Cote d'Ivoire,CIV,1994,64.94
Cote d'Ivoire,CIV,2000,42.58
Cote d'Ivoire,CIV,2005,38.43
Croatia,HRV,2012,1.285
Cuba,CUB,1995,51.16
Cuba,CUB,2007,50.15
Cuba,CUB,2013,64.94
Cyprus,CYP,1975,83.87
Cyprus,CYP,1980,79.1
Cyprus,CYP,1985,77.5
Cyprus,CYP,1990,73.45
Cyprus,CYP,1993,73.93
Cyprus,CYP,2002,76.4
Cyprus,CYP,2007,66.02
Cyprus,CYP,2012,66.85
Cyprus,CYP,2013,65.65
Czech Republic,CZE,1997,0.8022
Czech Republic,CZE,2002,0.9801
Czech Republic,CZE,2007,1.513
Czech Republic,CZE,2012,2.347
Czech Republic,CZE,2013,2.667
Democratic Republic of Congo,COD,2000,12.31
Democratic Republic of Congo,COD,2005,10.52
Denmark,DNK,1970,25
Denmark,DNK,1975,38.17
Denmark,DNK,1980,38.17
Denmark,DNK,1985,41.06
Denmark,DNK,1990,36.88
Denmark,DNK,1997,39.57
Denmark,DNK,2002,24.73
Denmark,DNK,2007,20.59
Denmark,DNK,2012,25.15
Djibouti,DJI,1985,87.5
Djibouti,DJI,2000,15.79
Dominica,DMA,2010,5
Dominican Republic,DOM,2000,86.33
Dominican Republic,DOM,2005,82.03
Dominican Republic,DOM,2010,79.86
Early-demographic dividend,,2014,14.89
Early-demographic dividend,,2015,75.9918205707436
Early-demographic dividend,,2016,91.82
East Asia & Pacific,,2015,64.3059074243813
East Asia & Pacific (IDA & IBRD),,2015,64.4
East Asia & Pacific (excluding high income),,2015,64.4
Ecuador,ECU,2000,86.2
Ecuador,ECU,2005,81.43
Egypt,EGY,1995,86.14
Egypt,EGY,2000,86.38
Egypt,EGY,2010,85.9
El Salvador,SLV,1992,46.09
El Salvador,SLV,2000,55.23
El Salvador,SLV,2005,67.56
Equatorial Guinea,GNQ,1987,6
Equatorial Guinea,GNQ,2000,5.747
Eritrea,ERI,2000,70.15
Eritrea,ERI,2004,94.5
Estonia,EST,1995,0.5891
Estonia,EST,2002,2.123
Estonia,EST,2007,0.4144
Estonia,EST,2012,0.2759
Estonia,EST,2014,0.2907
Ethiopia,ETH,2002,93.63
Ethiopia,ETH,2005,89.05
Ethiopia,ETH,2016,91.82
Euro area,,2014,1.2239627078489
Europe & Central Asia,,2014,1.2239627078489
Europe & Central Asia,,2015,41.1571950736984
Europe & Central Asia (IDA & IBRD),,2015,42.4406516121784
Europe & Central Asia (excluding high income),,2015,42.4406516121784
European Union,,2014,1.2239627078489
European Union,,2015,14.72
Fiji,FJI,1987,60
Fiji,FJI,2000,61.2
Fiji,FJI,2005,58.89
Finland,FIN,1990,0.8522
Finland,FIN,1995,1.933
Finland,FIN,2002,2.148
Finland,FIN,2006,0.762
Fragile and conflict affected situations,,2015,73.05
France,FRA,1992,12.54
France,FRA,1997,11.04
France,FRA,2002,13.26
France,FRA,2007,12.52
France,FRA,2012,10.4
Gabon,GAB,1987,6
Gabon,GAB,2000,33.5
Gabon,GAB,2005,28.97
Gambia,GMB,1982,91
Gambia,GMB,2000,43.31
Georgia,GEO,2005,58.19
Germany,DEU,1991,3.458
Germany,DEU,1995,3.54
Germany,DEU,2001,2.912
Germany,DEU,2007,0.4077
Germany,DEU,2010,0.6383
Ghana,GHA,1970,52
Ghana,GHA,2000,66.4
Greece,GRC,1970,57.01
Greece,GRC,1975,83.63
Greece,GRC,1985,83.7
Greece,GRC,1992,98.28
Greece,GRC,1997,87.41
Greece,GRC,2002,90.94
Greece,GRC,2007,87.83
Grenada,GRD,2014,14.89
Guatemala,GTM,2006,56.74
Guinea,GIN,1987,87.03
Guinea,GIN,2001,52.94
Guinea-Bissau,GNB,1991,36.14
Guinea-Bissau,GNB,1996,82.29
Guinea-Bissau,GNB,2000,82.29
Guyana,GUY,1992,98.49
Guyana,GUY,2000,97.56
Guyana,GUY,2010,94.33
Haiti,HTI,1991,94.36
Haiti,HTI,1995,90.97
Haiti,HTI,2009,83.38
Heavily indebted poor countries (HIPC),,2015,73.05
Heavily indebted poor countries (HIPC),,2016,91.82
High income,,2014,1.2239627078489
High income,,2015,59.975889656832
Honduras,HND,2003,73.3
Hungary,HUN,1970,22.32
Hungary,HUN,1975,22.45
Hungary,HUN,1985,35.99
Hungary,HUN,1992,13.3
Hungary,HUN,1996,7.581
Hungary,HUN,2002,11.88
Hungary,HUN,2007,5.469
Hungary,HUN,2012,6.375
IBRD only,,2015,65.5745668500359
IDA & IBRD total,,2014,14.89
IDA & IBRD total,,2015,65.590494389141
IDA & IBRD total,,2016,91.82
IDA blend,,2014,14.89
IDA only,,2015,73.05
IDA only,,2016,91.82
IDA total,,2014,14.89
IDA total,,2015,73.05
IDA total,,2016,91.82
Iceland,ISL,1980,3.704
Iceland,ISL,1985,3.571
Iceland,ISL,1992,41.92
Iceland,ISL,2002,42.42
Iceland,ISL,2004,42.42
Iceland,ISL,2012,0.0084
Iceland,ISL,2015,0.1078
India,IND,1975,93
India,IND,1980,93.93
India,IND,1986,94.09
India,IND,1990,92
India,IND,2000,91.48
India,IND,2010,90.41
Indonesia,IDN,1990,93.14
Indonesia,IDN,2000,81.87
Iran,IRN,1995,91.57
Iran,IRN,2001,93.37
Iran,IRN,2004,92.18
Iraq,IRQ,1975,97.46
Iraq,IRQ,1980,97.48
Iraq,IRQ,1985,97.51
Iraq,IRQ,1990,92.01
Iraq,IRQ,1995,83.99
Iraq,IRQ,2000,78.79
Ireland,IRL,1980,12.15
Ireland,IRL,1994,15.22
Israel,ISR,1970,79.86
Israel,ISR,1975,76.1
Israel,ISR,1980,72.65
Israel,ISR,1990,67.41
Israel,ISR,2002,55.76
Israel,ISR,2004,57.78
Italy,ITA,1970,61.54
Italy,ITA,2000,44.07
Jamaica,JAM,1993,75
Jamaica,JAM,2007,55.17
Japan,JPN,1980,65.76
Japan,JPN,1992,64.11
Japan,JPN,1997,65.99
Japan,JPN,2002,66.21
Japan,JPN,2007,65.68
Japan,JPN,2009,66.83
Jordan,JOR,1975,64.97
Jordan,JOR,1980,70.47
Jordan,JOR,1985,74.47
Jordan,JOR,1992,74.9
Jordan,JOR,2002,64.38
Jordan,JOR,2007,63.2
Jordan,JOR,2012,54.42
Jordan,JOR,2015,52.08
Kazakhstan,KAZ,1995,81.41
Kazakhstan,KAZ,2002,75.13
Kazakhstan,KAZ,2007,67.71
Kazakhstan,KAZ,2010,66.23
Kenya,KEN,1990,76.43
Kenya,KEN,2003,75.43
Kenya,KEN,2010,59.26
Kuwait,KWT,1994,60.22
Kuwait,KWT,2002,53.87
Kyrgyzstan,KGZ,1994,94.11
Kyrgyzstan,KGZ,2000,93.75
Kyrgyzstan,KGZ,2006,93.01
Laos,LAO,2005,91.41
Late-demographic dividend,,2014,1.2239627078489
Late-demographic dividend,,2015,64.5109092554868
Latin America & Caribbean,,2014,14.89
Latin America & Caribbean,,2015,76.3
Latin America & Caribbean (IDA & IBRD),,2014,14.89
Latin America & Caribbean (IDA & IBRD),,2015,76.3
Latin America & Caribbean (excluding high income),,2014,14.89
Latin America & Caribbean (excluding high income),,2015,76.3
Latvia,LVA,1995,8.612
Latvia,LVA,2002,20.76
Latvia,LVA,2007,23.19
Latvia,LVA,2012,15.68
Latvia,LVA,2013,14.65
Least developed countries: UN classification,,2015,73.05
Least developed countries: UN classification,,2016,91.82
Lebanon,LBN,1975,84.95
Lebanon,LBN,1994,67.67
Lebanon,LBN,2000,64.2
Lebanon,LBN,2005,59.54
Lesotho,LSO,1987,56
Lesotho,LSO,2000,8.676
Liberia,LBR,1987,60
Liberia,LBR,2000,9.404
Libya,LBY,1985,63.08
Libya,LBY,1990,89.92
Libya,LBY,1994,86.96
Libya,LBY,2000,82.85
Libya,LBY,2012,83.19
Lithuania,LTU,1995,0.1838
Lithuania,LTU,2001,1.915
Lithuania,LTU,2007,3.605
Lithuania,LTU,2011,10.39
Low & middle income,,2014,14.89
Low & middle income,,2015,65.590494389141
Low & middle income,,2016,91.82
Low income,,2015,73.05
Low income,,2016,91.82
Luxembourg,LUX,1995,0.354
Luxembourg,LUX,1999,0.3306
Luxembourg,LUX,2012,0.4494
Luxembourg,LUX,2013,0.6961
Macedonia,MKD,1996,68.55
Macedonia,MKD,2002,44.44
Macedonia,MKD,2007,22.77
Madagascar,MDG,1984,99.02
Madagascar,MDG,2000,97.23
Madagascar,MDG,2006,95.87
Malawi,MWI,1994,86.43
Malawi,MWI,2002,88
Malawi,MWI,2005,85.92
Malaysia,MYS,1990,82.02
Malaysia,MYS,1996,45.65
Malaysia,MYS,2000,26.92
Malaysia,MYS,2005,22.37
Maldives,MDV,1987,0
Maldives,MDV,2008,0
Mali,MLI,1987,96.99
Mali,MLI,2006,97.86
Malta,MLT,1995,12.5
Malta,MLT,2002,35.13
Malta,MLT,2007,36.45
Malta,MLT,2012,60.4
Malta,MLT,2013,64.02
Mauritania,MRT,1980,83.97
Mauritania,MRT,2000,93.69
Mauritania,MRT,2005,90.59
Mauritius,MUS,1975,76.89
Mauritius,MUS,1995,74.8
Mauritius,MUS,2003,67.72
Mexico,MEX,2002,77.27
Mexico,MEX,2007,76.72
Mexico,MEX,2012,76.57
Mexico,MEX,2015,76.3
Middle East & North Africa,,2015,52.08
Middle East & North Africa (IDA & IBRD),,2015,52.08
Middle East & North Africa (excluding high income),,2015,52.08
Middle income,,2014,14.89
Middle income,,2015,65.5745668500359
Moldova,MDA,1992,39.48
Moldova,MDA,2007,3.38
Monaco,MCO,1990,0
Monaco,MCO,1997,0
Monaco,MCO,2002,0
Monaco,MCO,2007,0
Monaco,MCO,2009,0
Mongolia,MNG,1993,53.04
Mongolia,MNG,2006,41.48
Mongolia,MNG,2009,43.92
Montenegro,MNE,2010,1.057
Morocco,MAR,1992,92.21
Morocco,MAR,1995,87.78
Morocco,MAR,2002,74.56
Morocco,MAR,2010,87.79
Mozambique,MOZ,1990,89.26
Mozambique,MOZ,2001,78.04
Mozambique,MOZ,2015,73.05
Myanmar,MMR,1987,98.58
Myanmar,MMR,2000,88.99
Namibia,NAM,1985,82.14
Namibia,NAM,1991,68.27
Namibia,NAM,1995,70.15
Namibia,NAM,2002,69.79
Nepal,NPL,2000,97.47
Nepal,NPL,2006,98.14
Netherlands,NLD,1991,2.305
Netherlands,NLD,1996,3.535
Netherlands,NLD,2002,0.5901
Netherlands,NLD,2007,0.6566
Netherlands,NLD,2012,0.5616
New Zealand,NZL,1985,44
New Zealand,NZL,2006,57.46
New Zealand,NZL,2010,61.66
Nicaragua,NIC,2001,85.01
Nicaragua,NIC,2011,76.7
Niger,NER,1988,82
Niger,NER,2005,66.74
Nigeria,NGA,1987,70.13
Nigeria,NGA,2000,53.44
Nigeria,NGA,2005,47.62
Nigeria,NGA,2010,44.19
North Korea,PRK,2005,76.35
Norway,NOR,1996,30.17
Norway,NOR,2002,33.68
Norway,NOR,2007,27.92
OECD members,,2014,1.2239627078489
OECD members,,2015,73.5917264525313
Oman,OMN,1991,93.87
Oman,OMN,2000,90.44
Oman,OMN,2003,88.42
Other small states,,2014,0.2907
Other small states,,2015,0.1078
Pakistan,PAK,1975,97.98
Pakistan,PAK,1991,96.79
Pakistan,PAK,2000,94.26
Pakistan,PAK,2008,93.95
Palestine,PSE,2001,59.86
Palestine,PSE,2005,45.22
Panama,PAN,2010,43.01
Papua New Guinea,PNG,2000,0.3685
Papua New Guinea,PNG,2005,0.255
Paraguay,PRY,1987,78
Paraguay,PRY,2000,71.43
Paraguay,PRY,2012,78.62
Peru,PER,2008,88.73
Philippines,PHL,2006,83.13
Philippines,PHL,2009,82.23
Poland,POL,1970,16.63
Poland,POL,1975,12.28
Poland,POL,1980,8.744
Poland,POL,1985,9.787
Poland,POL,1992,10.23
Poland,POL,1997,8.461
Poland,POL,2002,9.446
Poland,POL,2007,9.327
Poland,POL,2012,9.599
Portugal,PRT,1991,59.3
Portugal,PRT,1998,78.7
Post-demographic dividend,,2015,49.3419125463397
Pre-demographic dividend,,2015,73.05
Puerto Rico,PRI,1990,4.9
Puerto Rico,PRI,2000,3.365
Puerto Rico,PRI,2005,1.776
Puerto Rico,PRI,2010,1.543
Qatar,QAT,1994,73.92
Qatar,QAT,2000,71.45
Qatar,QAT,2005,59.01
Romania,ROU,1970,35.45
Romania,ROU,1975,39.93
Romania,ROU,1980,36.12
Romania,ROU,1985,41.41
Romania,ROU,1990,44.59
Romania,ROU,1997,23.92
Romania,ROU,2002,12.93
Romania,ROU,2007,15.96
Romania,ROU,2012,16.86
Romania,ROU,2013,17.68
Russia,RUS,1994,19.84
Russia,RUS,2001,19.94
Rwanda,RWA,2000,68
Saint Kitts and Nevis,KNA,2012,1.282
Saint Lucia,LCA,2007,70.86
Saint Vincent and the Grenadines,VCT,2013,0
Saudi Arabia,SAU,1992,89.95
Saudi Arabia,SAU,2006,88
Senegal,SEN,1987,91.99
Senegal,SEN,2002,92.98
Serbia,SRB,2007,3.239
Serbia,SRB,2012,2.517
Serbia,SRB,2013,2.812
Seychelles,SYC,1989,7.563
Seychelles,SYC,2005,6.569
Sierra Leone,SLE,1987,88.92
Sierra Leone,SLE,2000,24.19
Sierra Leone,SLE,2005,21.54
Singapore,SGP,1975,4
Slovakia,SVK,1997,5.115
Slovakia,SVK,2002,5.119
Slovakia,SVK,2007,3.27
Slovakia,SVK,2012,4.614
Slovakia,SVK,2014,4.094
Slovenia,SVN,2002,0.734
Slovenia,SVN,2007,0.492
Slovenia,SVN,2012,0.2478
Slovenia,SVN,2013,0.3114
Small states,,2014,0.409407185283432
Small states,,2015,0.1078
Somalia,SOM,1987,97.04
Somalia,SOM,2000,99.7
Somalia,SOM,2003,99.48
South Africa,ZAF,1990,71.98
South Africa,ZAF,1995,67.5
South Africa,ZAF,2000,61.27
South Africa,ZAF,2013,62.52
South Korea,KOR,1990,68.55
South Korea,KOR,1997,60.1
South Korea,KOR,2002,55.21
South Korea,KOR,2005,54.66
South Sudan,SSD,2011,36.47
Spain,ESP,1986,62.01
Spain,ESP,1991,64.23
Spain,ESP,1997,67.66
Spain,ESP,2002,64.11
Spain,ESP,2007,65.17
Spain,ESP,2012,68.19
Sri Lanka,LKA,1990,96.01
Sri Lanka,LKA,2000,92.24
Sri Lanka,LKA,2005,87.34
Sub-Saharan Africa,,2015,73.05
Sub-Saharan Africa,,2016,91.82
Sub-Saharan Africa (IDA & IBRD),,2015,73.05
Sub-Saharan Africa (IDA & IBRD),,2016,91.82
Sub-Saharan Africa (excluding high income),,2015,73.05
Sub-Saharan Africa (excluding high income),,2016,91.82
Sudan,SDN,2011,96.21
Suriname,SUR,1987,89.13
Suriname,SUR,2000,92.54
Suriname,SUR,2006,70
Swaziland,SWZ,1980,95.89
Swaziland,SWZ,2000,96.55
Sweden,SWE,1970,3.241
Sweden,SWE,1975,3.313
Sweden,SWE,1980,3.41
Sweden,SWE,1992,5.853
Sweden,SWE,1997,5.533
Sweden,SWE,2002,5.045
Sweden,SWE,2007,4.068
Sweden,SWE,2010,3.644
Switzerland,CHE,2002,1.986
Switzerland,CHE,2012,7.985
Syrian Arab Republic,,1997,88.98
Syrian Arab Republic,,2002,88.08
Syrian Arab Republic,,2005,87.53
Tajikistan,TJK,1994,92.33
Tajikistan,TJK,2000,91.64
Tajikistan,TJK,2006,90.86
Tanzania,TZA,2002,89.35
Thailand,THA,2007,90.37
Timor,TLS,2004,91.38
Togo,TGO,1987,25.27
Togo,TGO,2002,44.97
Trinidad and Tobago,TTO,1997,5.253
Trinidad and Tobago,TTO,2000,5.414
Trinidad and Tobago,TTO,2005,4.348
Trinidad and Tobago,TTO,2011,4.358
Tunisia,TUN,1990,88.72
Tunisia,TUN,1995,85.61
Tunisia,TUN,2001,75.96
Tunisia,TUN,2011,80
Turkey,TUR,1992,72.47
Turkey,TUR,2000,75
Turkey,TUR,2003,73.82
Turkey,TUR,2008,80.93
Turkmenistan,TKM,1994,97.94
Turkmenistan,TKM,2000,96.51
Turkmenistan,TKM,2004,94.31
Uganda,UGA,1970,60
Uganda,UGA,2002,37.81
Uganda,UGA,2008,40.66
Ukraine,UKR,1992,30.25
Ukraine,UKR,2000,30.01
Ukraine,UKR,2005,30.01
Ukraine,UKR,2010,29.99
United Arab Emirates,ARE,1980,80
United Arab Emirates,ARE,1995,66.79
United Arab Emirates,ARE,2000,78.48
United Arab Emirates,ARE,2005,82.84
United Kingdom,GBR,1990,5.544
United Kingdom,GBR,1995,14.22
United Kingdom,GBR,2002,8.273
United Kingdom,GBR,2007,15.62
United Kingdom,GBR,2012,12.77
United States,USA,1980,22.62
United States,USA,1990,34.81
United States,USA,2000,35.13
United States,USA,2005,34.12
United States,USA,2010,36.06
Upper middle income,,2014,14.89
Upper middle income,,2015,65.5745668500359
Uruguay,URY,1965,91
Uruguay,URY,2000,86.61
Uzbekistan,UZB,1994,93.66
Uzbekistan,UZB,2001,90.43
Uzbekistan,UZB,2005,90
Venezuela,VEN,1970,46
Venezuela,VEN,2000,43.8
Venezuela,VEN,2007,73.84
Vietnam,VNM,1980,92.55
Vietnam,VNM,1985,89.79
Vietnam,VNM,2005,94.78
World,OWID_WRL,2014,1.30798255864655
World,OWID_WRL,2015,65.4554484823109
World,OWID_WRL,2016,91.82
Yemen,YEM,1990,92.09
Yemen,YEM,2000,90
Yemen,YEM,2005,90.74
Zambia,ZMB,1992,76.65
Zambia,ZMB,1994,77.26
Zambia,ZMB,2002,73.28
Zimbabwe,ZWE,1987,79.02
Zimbabwe,ZWE,2002,78.91
Zimbabwe,ZWE,2007,82.07
