Entity,Code,Year,Share of NYT media coverage (%)
Kidney disease,,2016,0.18
Lower respiratory disease,,1999,2.79
Lower respiratory disease,,2000,2.77
Lower respiratory disease,,2001,1.88
Lower respiratory disease,,2002,1.26
Lower respiratory disease,,2003,2.38
Lower respiratory disease,,2004,1.86
Lower respiratory disease,,2005,1.81
Lower respiratory disease,,2006,1.79
Lower respiratory disease,,2007,2.1
Lower respiratory disease,,2008,1.67
Lower respiratory disease,,2009,1.8
Lower respiratory disease,,2010,2.09
Lower respiratory disease,,2011,1.73
Lower respiratory disease,,2012,1.86
Lower respiratory disease,,2013,1.66
Lower respiratory disease,,2014,1.8
Lower respiratory disease,,2015,1.14
Lower respiratory disease,,2016,1.17
Pneumonia & influenza,,1999,3.93
Pneumonia & influenza,,2000,3.92
Pneumonia & influenza,,2001,2.21
Pneumonia & influenza,,2002,1.94
Pneumonia & influenza,,2003,3.85
Pneumonia & influenza,,2004,4.74
Pneumonia & influenza,,2005,6.22
Pneumonia & influenza,,2006,5.08
Pneumonia & influenza,,2007,3.48
Pneumonia & influenza,,2008,3.25
Pneumonia & influenza,,2009,10.8
Pneumonia & influenza,,2010,3.48
Pneumonia & influenza,,2011,3.05
Pneumonia & influenza,,2012,3.49
Pneumonia & influenza,,2013,4.08
Pneumonia & influenza,,2014,3.57
Pneumonia & influenza,,2015,2.87
Pneumonia & influenza,,2016,2.89
Stroke,,1999,6.79
Stroke,,2000,6.84
Stroke,,2001,3.66
Stroke,,2002,3.6
Stroke,,2003,4.04
Stroke,,2004,4.29
Stroke,,2005,4.58
Stroke,,2006,4.91
Stroke,,2007,4.75
Stroke,,2008,5.99
Stroke,,2009,5.11
Stroke,,2010,6.36
Stroke,,2011,6.49
Stroke,,2012,6.86
Stroke,,2013,6
Stroke,,2014,5
Stroke,,2015,4.57
Stroke,,2016,5.04
Suicide,,1999,7.5
Suicide,,2000,7.75
Suicide,,2001,6.78
Suicide,,2002,9.9
Suicide,,2003,10.44
Suicide,,2004,9.28
Suicide,,2005,11.41
Suicide,,2006,10.28
Suicide,,2007,10.96
Suicide,,2008,10.32
Suicide,,2009,9.98
Suicide,,2010,10.66
Suicide,,2011,10.47
Suicide,,2012,10.29
Suicide,,2013,9.69
Suicide,,2014,10.36
Suicide,,2015,9.91
Suicide,,2016,10.75
Terrorism,,1999,17.81
Terrorism,,2000,15.88
Terrorism,,2001,47.85
Terrorism,,2002,45.1
Terrorism,,2003,39.26
Terrorism,,2004,37.62
Terrorism,,2005,29.48
Terrorism,,2006,31.25
Terrorism,,2007,27.68
Terrorism,,2008,25.1
Terrorism,,2009,21.21
Terrorism,,2010,22.32
Terrorism,,2011,21.38
Terrorism,,2012,20.64
Terrorism,,2013,25.99
Terrorism,,2014,24.88
Terrorism,,2015,31.58
Terrorism,,2016,35.58
