Entity,Code,Year,Indicator 3.a.1: Age-standardised prevalence of daily smoking in populations aged 10 and older (%) - Past - Unscaled (%)
Barbados,BRB,1995,5.841
Barbados,BRB,2000,5.576
Barbados,BRB,2005,5.207
Barbados,BRB,2010,4.699
Barbados,BRB,2016,4.393
Belarus,BLR,1990,26.268
Belarus,BLR,1995,25.992
Belarus,BLR,2000,26.031
Belarus,BLR,2005,24.925
Belarus,BLR,2010,25.005
Belarus,BLR,2016,26.001
Belgium,BEL,1990,26.401
Belgium,BEL,1995,25.324
Belgium,BEL,2000,24.436
Belgium,BEL,2005,21.868
Belgium,BEL,2010,19.96
Belgium,BEL,2016,18.615
Belize,BLZ,1990,8.46
Belize,BLZ,1995,7.864
Belize,BLZ,2000,7.173
Belize,BLZ,2005,6.57
Belize,BLZ,2010,6.648
Belize,BLZ,2016,6.708
Benin,BEN,1990,5.657
Benin,BEN,1995,5.633
Benin,BEN,2000,5.511
Benin,BEN,2005,5.446
Benin,BEN,2010,5.012
Benin,BEN,2016,4.843
Bhutan,BTN,1990,5.38
Bhutan,BTN,1995,5.228
Bhutan,BTN,2000,5.089
Bhutan,BTN,2005,5.051
Bhutan,BTN,2010,4.719
Bhutan,BTN,2016,4.239
Bolivia,BOL,1990,9.991
Bolivia,BOL,1995,9.701
Bolivia,BOL,2000,9.351
Bolivia,BOL,2005,9.006
Bolivia,BOL,2010,8.87
Bolivia,BOL,2016,8.597
Bosnia and Herzegovina,BIH,1990,27.649
Bosnia and Herzegovina,BIH,1995,28.361
Bosnia and Herzegovina,BIH,2000,29.507
Bosnia and Herzegovina,BIH,2005,29.857
Bosnia and Herzegovina,BIH,2010,32.168
Bosnia and Herzegovina,BIH,2016,31.577
Botswana,BWA,1990,13.545
Botswana,BWA,1995,13.57
Botswana,BWA,2000,13.155
Botswana,BWA,2005,13.029
Botswana,BWA,2010,13.003
Botswana,BWA,2016,12.383
Brazil,BRA,1990,24.885
Brazil,BRA,1995,20.998
Brazil,BRA,2000,17.517
Brazil,BRA,2005,14.441
Brazil,BRA,2010,11.659
Brazil,BRA,2016,7.624
Brunei,BRN,1990,19.615
Brunei,BRN,1995,17.367
Brunei,BRN,2000,14.812
Brunei,BRN,2005,13.689
Brunei,BRN,2010,13.157
Brunei,BRN,2016,12.653
Bulgaria,BGR,1990,34.273
Bulgaria,BGR,1995,33.878
Bulgaria,BGR,2000,33.86
Bulgaria,BGR,2005,33.559
Bulgaria,BGR,2010,33.775
Bulgaria,BGR,2016,31.304
Burkina Faso,BFA,1990,11.319
Burkina Faso,BFA,1995,12.069
Burkina Faso,BFA,2000,12.879
Burkina Faso,BFA,2005,10.666
Burkina Faso,BFA,2010,9.556
Burkina Faso,BFA,2016,8.721
Burundi,BDI,1990,7.101
Burundi,BDI,1995,6.937
Burundi,BDI,2000,6.838
Burundi,BDI,2005,6.536
Burundi,BDI,2010,6.201
Burundi,BDI,2016,6.316
Cambodia,KHM,1990,24.115
Cambodia,KHM,1995,24.445
Cambodia,KHM,2000,23.667
Cambodia,KHM,2005,21.063
Cambodia,KHM,2010,19.306
Cambodia,KHM,2016,18.571
Cameroon,CMR,1990,7.126
Cameroon,CMR,1995,7.081
Cameroon,CMR,2000,6.845
Cameroon,CMR,2005,6.755
Cameroon,CMR,2010,6.715
Cameroon,CMR,2016,6.08
Canada,CAN,1990,23.814
Canada,CAN,1995,22.58
Canada,CAN,2000,19.085
Canada,CAN,2005,15.366
Canada,CAN,2010,13.973
Canada,CAN,2016,13.408
Cape Verde,CPV,1990,6.825
Cape Verde,CPV,1995,6.625
Cape Verde,CPV,2000,6.452
Cape Verde,CPV,2005,6.238
Cape Verde,CPV,2010,6.19
Cape Verde,CPV,2016,6.216
Central African Republic,CAF,1990,5.706
Central African Republic,CAF,1995,5.754
Central African Republic,CAF,2000,5.873
Central African Republic,CAF,2005,6.584
Central African Republic,CAF,2010,7.331
Central African Republic,CAF,2016,7.448
Chad,TCD,1990,7.234
Chad,TCD,1995,7.247
Chad,TCD,2000,7.169
Chad,TCD,2005,7.093
Chad,TCD,2010,7.028
Chad,TCD,2016,6.889
Chile,CHL,1990,31.3
Chile,CHL,1995,31.32
Chile,CHL,2000,30.869
Chile,CHL,2005,29.42
Chile,CHL,2010,27.763
Chile,CHL,2016,25.837
China,CHN,1990,28.646
China,CHN,1995,27.36
China,CHN,2000,24.793
China,CHN,2005,22.951
China,CHN,2010,21.935
China,CHN,2016,20.873
Colombia,COL,1990,14.744
Colombia,COL,1995,13.971
Colombia,COL,2000,13.371
Colombia,COL,2005,12.352
Colombia,COL,2010,10.389
Colombia,COL,2016,9.896
Comoros,COM,1990,11.36
Comoros,COM,1995,11.426
Comoros,COM,2000,11.259
Comoros,COM,2005,10.475
Comoros,COM,2010,9.401
Comoros,COM,2016,9.188
Congo,COG,1990,5.225
Congo,COG,1995,5.047
Congo,COG,2000,5.101
Congo,COG,2005,5.879
Congo,COG,2010,7.682
Congo,COG,2016,7.803
Costa Rica,CRI,1990,11.531
Costa Rica,CRI,1995,11.993
Costa Rica,CRI,2000,11.671
Costa Rica,CRI,2005,8.852
Costa Rica,CRI,2010,7.76
Costa Rica,CRI,2016,7.258
Cote d'Ivoire,CIV,1990,8.24
Cote d'Ivoire,CIV,1995,7.802
Cote d'Ivoire,CIV,2000,7.487
Cote d'Ivoire,CIV,2005,8.045
Cote d'Ivoire,CIV,2010,9.589
Cote d'Ivoire,CIV,2016,9.298
Croatia,HRV,1990,34.048
Croatia,HRV,1995,27.291
Croatia,HRV,2000,26.851
Croatia,HRV,2005,28.037
Croatia,HRV,2010,30.049
Croatia,HRV,2016,28.791
Cuba,CUB,1990,26.246
Cuba,CUB,1995,24.817
Cuba,CUB,2000,23.787
Cuba,CUB,2005,20.718
Cuba,CUB,2010,17.434
Cuba,CUB,2016,15.115
Cyprus,CYP,1990,25.567
Cyprus,CYP,1995,25.978
Cyprus,CYP,2000,26.83
Cyprus,CYP,2005,27.443
Cyprus,CYP,2010,26.824
Cyprus,CYP,2016,24.366
Czech Republic,CZE,1990,29.866
Czech Republic,CZE,1995,29.591
Czech Republic,CZE,2000,26.642
Czech Republic,CZE,2005,24.745
Czech Republic,CZE,2010,24.585
Czech Republic,CZE,2016,23.451
Democratic Republic of Congo,COD,1990,8.061
Democratic Republic of Congo,COD,1995,8.091
Democratic Republic of Congo,COD,2000,8.183
Democratic Republic of Congo,COD,2005,8.479
Democratic Republic of Congo,COD,2010,8.812
Democratic Republic of Congo,COD,2016,8.811
Denmark,DNK,1990,34.474
Denmark,DNK,1995,32.877
Denmark,DNK,2000,29.228
Denmark,DNK,2005,23.668
Denmark,DNK,2010,18.867
Denmark,DNK,2016,17.335
Djibouti,DJI,1990,15.733
Djibouti,DJI,1995,15.494
Djibouti,DJI,2000,15.591
Djibouti,DJI,2005,18.854
Djibouti,DJI,2010,18.713
Djibouti,DJI,2016,16.149
Dominica,DMA,1990,5.549
Dominica,DMA,1995,5.497
Dominica,DMA,2000,5.166
Dominica,DMA,2005,4.671
Dominica,DMA,2010,4.49
Dominica,DMA,2016,4.315
Dominican Republic,DOM,1990,18.25
Dominican Republic,DOM,1995,19.481
Dominican Republic,DOM,2000,14.534
Dominican Republic,DOM,2005,10.305
Dominican Republic,DOM,2010,8.835
Dominican Republic,DOM,2016,8.466
Ecuador,ECU,1990,8.131
Ecuador,ECU,1995,8.522
Ecuador,ECU,2000,7.438
Ecuador,ECU,2005,5.539
Ecuador,ECU,2010,4.888
Ecuador,ECU,2016,4.705
Egypt,EGY,1990,17.645
Egypt,EGY,1995,16.78
Egypt,EGY,2000,16.218
Egypt,EGY,2005,16.388
Egypt,EGY,2010,17.679
Egypt,EGY,2016,17.485
El Salvador,SLV,1990,8.732
El Salvador,SLV,1995,8.419
El Salvador,SLV,2000,8.005
El Salvador,SLV,2005,7.543
El Salvador,SLV,2010,7.149
El Salvador,SLV,2016,6.981
Equatorial Guinea,GNQ,1990,2.418
Equatorial Guinea,GNQ,1995,2.405
Equatorial Guinea,GNQ,2000,2.435
Equatorial Guinea,GNQ,2005,2.528
Equatorial Guinea,GNQ,2010,2.592
Equatorial Guinea,GNQ,2016,2.563
Eritrea,ERI,1990,6.962
Eritrea,ERI,1995,6.939
Eritrea,ERI,2000,6.585
Eritrea,ERI,2005,5.743
Eritrea,ERI,2010,4.459
Eritrea,ERI,2016,4.748
Estonia,EST,1990,27.119
Estonia,EST,1995,26.747
Estonia,EST,2000,26.572
Estonia,EST,2005,27.041
Estonia,EST,2010,23.561
Estonia,EST,2016,21.203
Ethiopia,ETH,1990,4.554
Ethiopia,ETH,1995,4.324
Ethiopia,ETH,2000,3.979
Ethiopia,ETH,2005,4.047
Ethiopia,ETH,2010,3.934
Ethiopia,ETH,2016,4.142
Fiji,FJI,1990,15.52
Fiji,FJI,1995,14.459
Fiji,FJI,2000,13.5
Fiji,FJI,2005,12.994
Fiji,FJI,2010,12.901
Fiji,FJI,2016,13.101
Finland,FIN,1990,22.656
Finland,FIN,1995,21.814
Finland,FIN,2000,21.092
Finland,FIN,2005,19.176
Finland,FIN,2010,17.058
Finland,FIN,2016,16.609
France,FRA,1990,29.494
France,FRA,1995,28.625
France,FRA,2000,28.299
France,FRA,2005,26.655
France,FRA,2010,25.053
France,FRA,2016,23.685
Gabon,GAB,1990,8.448
Gabon,GAB,1995,8.64
Gabon,GAB,2000,9.002
Gabon,GAB,2005,9.528
Gabon,GAB,2010,9.885
Gabon,GAB,2016,9.713
Gambia,GMB,1990,12.684
Gambia,GMB,1995,12.145
Gambia,GMB,2000,11.571
Gambia,GMB,2005,10.969
Gambia,GMB,2010,10.469
Gambia,GMB,2016,9.847
Georgia,GEO,1990,20.682
Georgia,GEO,1995,20.748
Georgia,GEO,2000,21.114
Georgia,GEO,2005,22.156
Georgia,GEO,2010,22.721
Georgia,GEO,2016,22.787
Germany,DEU,1990,24.221
Germany,DEU,1995,22.792
Germany,DEU,2000,23.961
Germany,DEU,2005,22.656
Germany,DEU,2010,22.076
Germany,DEU,2016,20.962
Ghana,GHA,1990,4.329
Ghana,GHA,1995,4.402
Ghana,GHA,2000,4.468
Ghana,GHA,2005,3.844
Ghana,GHA,2010,3.448
Ghana,GHA,2016,3.172
Greece,GRC,1990,34.243
Greece,GRC,1995,32.558
Greece,GRC,2000,33.506
Greece,GRC,2005,33.946
Greece,GRC,2010,33.439
Greece,GRC,2016,30.449
Grenada,GRD,1990,7.944
Grenada,GRD,1995,8.018
Grenada,GRD,2000,7.961
Grenada,GRD,2005,8.007
Grenada,GRD,2010,7.805
Grenada,GRD,2016,7.651
Guatemala,GTM,1990,6.542
Guatemala,GTM,1995,5.871
Guatemala,GTM,2000,5.338
Guatemala,GTM,2005,5.471
Guatemala,GTM,2010,5.56
Guatemala,GTM,2016,5.4
Guinea,GIN,1990,8.7
Guinea,GIN,1995,8.562
Guinea,GIN,2000,8.426
Guinea,GIN,2005,8.282
Guinea,GIN,2010,8.258
Guinea,GIN,2016,8.243
Guinea-Bissau,GNB,1990,7.622
Guinea-Bissau,GNB,1995,7.459
Guinea-Bissau,GNB,2000,7.339
Guinea-Bissau,GNB,2005,7.269
Guinea-Bissau,GNB,2010,7.256
Guinea-Bissau,GNB,2016,7.198
Guyana,GUY,1990,12.16
Guyana,GUY,1995,12.314
Guyana,GUY,2000,12.005
Guyana,GUY,2005,11.778
Guyana,GUY,2010,11.542
Guyana,GUY,2016,11.092
Haiti,HTI,1990,8.722
Haiti,HTI,1995,8.448
Haiti,HTI,2000,7.822
Haiti,HTI,2005,6.4
Haiti,HTI,2010,5.562
Haiti,HTI,2016,5.172
Honduras,HND,1990,12.393
Honduras,HND,1995,12.089
Honduras,HND,2000,11.519
Honduras,HND,2005,10.638
Honduras,HND,2010,9.853
Honduras,HND,2016,9.371
Hungary,HUN,1990,29.721
Hungary,HUN,1995,28.032
Hungary,HUN,2000,29.445
Hungary,HUN,2005,30.063
Hungary,HUN,2010,28.792
Hungary,HUN,2016,26.047
Iceland,ISL,1990,29.691
Iceland,ISL,1995,24.978
Iceland,ISL,2000,21.097
Iceland,ISL,2005,17.859
Iceland,ISL,2010,14.83
Iceland,ISL,2016,13.928
India,IND,1990,14.972
India,IND,1995,14.412
India,IND,2000,14.276
India,IND,2005,14.858
India,IND,2010,13.289
India,IND,2016,12.102
Indonesia,IDN,1990,24.735
Indonesia,IDN,1995,24.486
Indonesia,IDN,2000,25.871
Indonesia,IDN,2005,25.745
Indonesia,IDN,2010,26.669
Indonesia,IDN,2016,26.799
Iran,IRN,1990,12.084
Iran,IRN,1995,12.096
Iran,IRN,2000,12.421
Iran,IRN,2005,11.927
Iran,IRN,2010,11.02
Iran,IRN,2016,10.955
Iraq,IRQ,1990,18.393
Iraq,IRQ,1995,17.623
Iraq,IRQ,2000,17.089
Iraq,IRQ,2005,15.183
Iraq,IRQ,2010,14.742
Iraq,IRQ,2016,14.874
Ireland,IRL,1990,26.895
Ireland,IRL,1995,25.791
Ireland,IRL,2000,24.206
Ireland,IRL,2005,22.777
Ireland,IRL,2010,21.391
Ireland,IRL,2016,19.337
Israel,ISR,1990,23.675
Israel,ISR,1995,21.189
Israel,ISR,2000,19.635
Israel,ISR,2005,18.057
Israel,ISR,2010,17.144
Israel,ISR,2016,16.806
Italy,ITA,1990,25.897
Italy,ITA,1995,22.8
Italy,ITA,2000,21.042
Italy,ITA,2005,20.795
Italy,ITA,2010,21.158
Italy,ITA,2016,19.462
Jamaica,JAM,1990,11.454
Jamaica,JAM,1995,11.955
Jamaica,JAM,2000,11.963
Jamaica,JAM,2005,10.765
Jamaica,JAM,2010,10.176
Jamaica,JAM,2016,9.851
Japan,JPN,1990,26.71
Japan,JPN,1995,26.044
Japan,JPN,2000,25.452
Japan,JPN,2005,23.979
Japan,JPN,2010,22.81
Japan,JPN,2016,22.733
Jordan,JOR,1990,22.154
Jordan,JOR,1995,22.636
Jordan,JOR,2000,22.25
Jordan,JOR,2005,22.329
Jordan,JOR,2010,23.773
Jordan,JOR,2016,22.823
Kazakhstan,KAZ,1990,22.858
Kazakhstan,KAZ,1995,21.27
Kazakhstan,KAZ,2000,19.432
Kazakhstan,KAZ,2005,21.7
Kazakhstan,KAZ,2010,22.975
Kazakhstan,KAZ,2016,19.194
Kenya,KEN,1990,10.29
Kenya,KEN,1995,10.178
Kenya,KEN,2000,9.848
Kenya,KEN,2005,9.214
Kenya,KEN,2010,8.492
Kenya,KEN,2016,8.061
Kiribati,KIR,1990,29.036
Kiribati,KIR,1995,32.271
Kiribati,KIR,2000,36.931
Kiribati,KIR,2005,38.227
Kiribati,KIR,2010,32.971
Kiribati,KIR,2016,30.056
Kuwait,KWT,1990,17.257
Kuwait,KWT,1995,18.445
Kuwait,KWT,2000,18.318
Kuwait,KWT,2005,18.063
Kuwait,KWT,2010,17.501
Kuwait,KWT,2016,16.452
Kyrgyzstan,KGZ,1990,18.353
Kyrgyzstan,KGZ,1995,17.258
Kyrgyzstan,KGZ,2000,16.235
Kyrgyzstan,KGZ,2005,17.416
Kyrgyzstan,KGZ,2010,18.844
Kyrgyzstan,KGZ,2016,18.911
Laos,LAO,1990,30.668
Laos,LAO,1995,30.138
Laos,LAO,2000,30.204
Laos,LAO,2005,29.619
Laos,LAO,2010,28.67
Laos,LAO,2016,27.523
Latvia,LVA,1990,27.276
Latvia,LVA,1995,27.538
Latvia,LVA,2000,28.438
Latvia,LVA,2005,28.577
Latvia,LVA,2010,28.285
Latvia,LVA,2016,28.241
Lebanon,LBN,1990,23.205
Lebanon,LBN,1995,23.881
Lebanon,LBN,2000,24.778
Lebanon,LBN,2005,27.021
Lebanon,LBN,2010,28.903
Lebanon,LBN,2016,26.367
Lesotho,LSO,1990,11.743
Lesotho,LSO,1995,12.125
Lesotho,LSO,2000,12.096
Lesotho,LSO,2005,13.272
Lesotho,LSO,2010,14.554
Lesotho,LSO,2016,14.746
Liberia,LBR,1990,7.701
Liberia,LBR,1995,7.635
Liberia,LBR,2000,7.552
Liberia,LBR,2005,7.366
Liberia,LBR,2010,6.603
Liberia,LBR,2016,6.206
Libya,LBY,1990,15.181
Libya,LBY,1995,15.324
Libya,LBY,2000,15.516
Libya,LBY,2005,15.607
Libya,LBY,2010,15.936
Libya,LBY,2016,14.589
Lithuania,LTU,1990,24.546
Lithuania,LTU,1995,22.326
Lithuania,LTU,2000,24.054
Lithuania,LTU,2005,24.337
Lithuania,LTU,2010,23.583
Lithuania,LTU,2016,23.827
Luxembourg,LUX,1990,25.656
Luxembourg,LUX,1995,24.559
Luxembourg,LUX,2000,24.689
Luxembourg,LUX,2005,23.116
Luxembourg,LUX,2010,20.985
Luxembourg,LUX,2016,19.5
Macedonia,MKD,1990,27.632
Macedonia,MKD,1995,27.091
Macedonia,MKD,2000,27.614
Macedonia,MKD,2005,29.042
Macedonia,MKD,2010,30.874
Macedonia,MKD,2016,30.587
Madagascar,MDG,1990,12.827
Madagascar,MDG,1995,12.4
Madagascar,MDG,2000,11.982
Madagascar,MDG,2005,11.763
Madagascar,MDG,2010,11.294
Madagascar,MDG,2016,10.701
Malawi,MWI,1990,12.175
Malawi,MWI,1995,12.259
Malawi,MWI,2000,11.871
Malawi,MWI,2005,11.077
Malawi,MWI,2010,10.945
Malawi,MWI,2016,11.085
Malaysia,MYS,1990,21.867
Malaysia,MYS,1995,20.908
Malaysia,MYS,2000,19.991
Malaysia,MYS,2005,18.733
Malaysia,MYS,2010,18.808
Malaysia,MYS,2016,18.369
Maldives,MDV,1990,21.968
Maldives,MDV,1995,21.792
Maldives,MDV,2000,21.419
Maldives,MDV,2005,20.857
Maldives,MDV,2010,21.327
Maldives,MDV,2016,21.52
Mali,MLI,1990,8.47
Mali,MLI,1995,8.626
Mali,MLI,2000,8.741
Mali,MLI,2005,8.345
Mali,MLI,2010,7.597
Mali,MLI,2016,7.246
Malta,MLT,1990,23.045
Malta,MLT,1995,20.546
Malta,MLT,2000,18.973
Malta,MLT,2005,18.627
Malta,MLT,2010,18.713
Malta,MLT,2016,17.371
Marshall Islands,MHL,1990,16.267
Marshall Islands,MHL,1995,15.985
Marshall Islands,MHL,2000,15.536
Marshall Islands,MHL,2005,15.068
Marshall Islands,MHL,2010,14.644
Marshall Islands,MHL,2016,14.443
Mauritania,MRT,1990,10.174
Mauritania,MRT,1995,10.44
Mauritania,MRT,2000,10.494
Mauritania,MRT,2005,10.368
Mauritania,MRT,2010,10.151
Mauritania,MRT,2016,9.559
Mauritius,MUS,1990,19.958
Mauritius,MUS,1995,19.045
Mauritius,MUS,2000,16.463
Mauritius,MUS,2005,15.18
Mauritius,MUS,2010,16.89
Mauritius,MUS,2016,16.784
Mexico,MEX,1990,20.37
Mexico,MEX,1995,20.923
Mexico,MEX,2000,16.115
Mexico,MEX,2005,13.184
Mexico,MEX,2010,12.994
Mexico,MEX,2016,11.157
Micronesia (country),FSM,1990,23.175
Micronesia (country),FSM,1995,22.837
Micronesia (country),FSM,2000,22.248
Micronesia (country),FSM,2005,21.871
Micronesia (country),FSM,2010,21.483
Micronesia (country),FSM,2016,21.199
Moldova,MDA,1990,22.265
Moldova,MDA,1995,20.852
Moldova,MDA,2000,20.538
Moldova,MDA,2005,20.408
Moldova,MDA,2010,19.341
Moldova,MDA,2016,18.549
Mongolia,MNG,1990,23.45
Mongolia,MNG,1995,23.317
Mongolia,MNG,2000,23.317
Mongolia,MNG,2005,22.594
Mongolia,MNG,2010,21.866
Mongolia,MNG,2016,22.959
Montenegro,MNE,1990,23.348
Montenegro,MNE,1995,23.419
Montenegro,MNE,2000,28.239
Montenegro,MNE,2005,32.341
Montenegro,MNE,2010,34.97
Montenegro,MNE,2016,34.44
Morocco,MAR,1990,13.304
Morocco,MAR,1995,12.307
Morocco,MAR,2000,11.586
Morocco,MAR,2005,11.068
Morocco,MAR,2010,10.494
Morocco,MAR,2016,10.199
Mozambique,MOZ,1990,9.226
Mozambique,MOZ,1995,9.542
Mozambique,MOZ,2000,10.012
Mozambique,MOZ,2005,11.44
Mozambique,MOZ,2010,11.307
Mozambique,MOZ,2016,10.524
Myanmar,MMR,1990,25.184
Myanmar,MMR,1995,23.828
Myanmar,MMR,2000,22.552
Myanmar,MMR,2005,19.355
Myanmar,MMR,2010,17.062
Myanmar,MMR,2016,16.842
Namibia,NAM,1990,14.02
Namibia,NAM,1995,14.235
Namibia,NAM,2000,14.004
Namibia,NAM,2005,14.104
Namibia,NAM,2010,12.744
Namibia,NAM,2016,11.74
Nepal,NPL,1990,31.719
Nepal,NPL,1995,32.487
Nepal,NPL,2000,32.657
Nepal,NPL,2005,28.678
Nepal,NPL,2010,21.376
Nepal,NPL,2016,18.37
Netherlands,NLD,1990,28.662
Netherlands,NLD,1995,25.765
Netherlands,NLD,2000,24.491
Netherlands,NLD,2005,22.022
Netherlands,NLD,2010,18.441
Netherlands,NLD,2016,16.496
New Zealand,NZL,1990,21.621
New Zealand,NZL,1995,21.449
New Zealand,NZL,2000,21.046
New Zealand,NZL,2005,18.948
New Zealand,NZL,2010,17.025
New Zealand,NZL,2016,16.536
Nicaragua,NIC,1990,11.846
Nicaragua,NIC,1995,11.144
Nicaragua,NIC,2000,10.451
Nicaragua,NIC,2005,10.132
Nicaragua,NIC,2010,10.031
Nicaragua,NIC,2016,9.891
Niger,NER,1990,4.04
Niger,NER,1995,4.009
Niger,NER,2000,4.07
Niger,NER,2005,4
Niger,NER,2010,4.476
Niger,NER,2016,4.978
Nigeria,NGA,1990,8.624
Nigeria,NGA,1995,7.306
Nigeria,NGA,2000,4.933
Nigeria,NGA,2005,4.197
Nigeria,NGA,2010,3.812
Nigeria,NGA,2016,3.643
North Korea,PRK,1990,21.248
North Korea,PRK,1995,21.564
North Korea,PRK,2000,21.129
North Korea,PRK,2005,20.281
North Korea,PRK,2010,19.138
North Korea,PRK,2016,18.658
Norway,NOR,1990,32.058
Norway,NOR,1995,29.748
Norway,NOR,2000,25.193
Norway,NOR,2005,19.218
Norway,NOR,2010,15.18
Norway,NOR,2016,14.414
Oman,OMN,1990,10.554
Oman,OMN,1995,10.721
Oman,OMN,2000,7.691
Oman,OMN,2005,7.237
Oman,OMN,2010,7.511
Oman,OMN,2016,7.754
Pakistan,PAK,1990,19.088
Pakistan,PAK,1995,18.768
Pakistan,PAK,2000,17.921
Pakistan,PAK,2005,15.974
Pakistan,PAK,2010,14.141
Pakistan,PAK,2016,12.901
Palestine,PSE,1990,20.361
Palestine,PSE,1995,20.125
Palestine,PSE,2000,20.443
Palestine,PSE,2005,19.469
Palestine,PSE,2010,18.72
Palestine,PSE,2016,18.714
Panama,PAN,1990,8.515
Panama,PAN,1995,7.971
Panama,PAN,2000,6.983
Panama,PAN,2005,4.882
Panama,PAN,2010,3.539
Panama,PAN,2016,3.295
Papua New Guinea,PNG,1990,29.346
Papua New Guinea,PNG,1995,29.661
Papua New Guinea,PNG,2000,30.137
Papua New Guinea,PNG,2005,30.896
Papua New Guinea,PNG,2010,28.942
Papua New Guinea,PNG,2016,26.556
Paraguay,PRY,1990,17.02
Paraguay,PRY,1995,15.353
Paraguay,PRY,2000,14.042
Paraguay,PRY,2005,12.325
Paraguay,PRY,2010,10.758
Paraguay,PRY,2016,10.105
Peru,PER,1990,7.392
Peru,PER,1995,7.567
Peru,PER,2000,7.706
Peru,PER,2005,7.366
Peru,PER,2010,7.173
Peru,PER,2016,6.943
Philippines,PHL,1990,27.169
Philippines,PHL,1995,27.005
Philippines,PHL,2000,25.641
Philippines,PHL,2005,23.079
Philippines,PHL,2010,22.518
Philippines,PHL,2016,20.965
Poland,POL,1990,33.204
Poland,POL,1995,32.179
Poland,POL,2000,30.991
Poland,POL,2005,29.209
Poland,POL,2010,25.925
Poland,POL,2016,23.644
Portugal,PRT,1990,18.025
Portugal,PRT,1995,17.63
Portugal,PRT,2000,19.087
Portugal,PRT,2005,19.449
Portugal,PRT,2010,19.135
Portugal,PRT,2016,18.351
Qatar,QAT,1990,15.477
Qatar,QAT,1995,15.15
Qatar,QAT,2000,12.832
Qatar,QAT,2005,10.943
Qatar,QAT,2010,12.878
Qatar,QAT,2016,12.791
Romania,ROU,1990,23.83
Romania,ROU,1995,24.95
Romania,ROU,2000,25.23
Romania,ROU,2005,25.857
Romania,ROU,2010,24.736
Romania,ROU,2016,23.147
Russia,RUS,1990,28.591
Russia,RUS,1995,29.96
Russia,RUS,2000,31.859
Russia,RUS,2005,32.409
Russia,RUS,2010,29.973
Russia,RUS,2016,26.883
Rwanda,RWA,1990,7.07
Rwanda,RWA,1995,6.884
Rwanda,RWA,2000,6.816
Rwanda,RWA,2005,6.6
Rwanda,RWA,2010,6.527
Rwanda,RWA,2016,6.051
Saint Lucia,LCA,1990,8.874
Saint Lucia,LCA,1995,9.098
Saint Lucia,LCA,2000,9.242
Saint Lucia,LCA,2005,9.679
