Entity,Code,Year,Gender Inequality Index (Human Development Report (2015)) ((index score))
Hungary,HUN,1995,0.322
Hungary,HUN,2000,0.28799999
Hungary,HUN,2005,0.25999999
Hungary,HUN,2010,0.255
Hungary,HUN,2011,0.26100001
Hungary,HUN,2012,0.259
Hungary,HUN,2013,0.259
Hungary,HUN,2014,0.249
Hungary,HUN,2015,0.252
Iceland,ISL,1995,0.184
Iceland,ISL,2000,0.149
Iceland,ISL,2005,0.125
Iceland,ISL,2010,0.098999999
Iceland,ISL,2011,0.094999999
Iceland,ISL,2012,0.085000001
Iceland,ISL,2013,0.075999998
Iceland,ISL,2014,0.064999998
Iceland,ISL,2015,0.050999999
India,IND,1995,0.68699998
India,IND,2005,0.61900002
India,IND,2010,0.59100002
India,IND,2011,0.58200002
India,IND,2012,0.57300001
India,IND,2013,0.56099999
India,IND,2014,0.54400003
India,IND,2015,0.52999997
Indonesia,IDN,1995,0.57800001
Indonesia,IDN,2000,0.56400001
Indonesia,IDN,2005,0.53299999
Indonesia,IDN,2010,0.486
Indonesia,IDN,2011,0.48100001
Indonesia,IDN,2012,0.47600001
Indonesia,IDN,2013,0.472
Indonesia,IDN,2014,0.472
Indonesia,IDN,2015,0.46700001
Iran,IRN,1995,0.66500002
Iran,IRN,2000,0.60100001
Iran,IRN,2005,0.51200002
Iran,IRN,2010,0.52899998
Iran,IRN,2011,0.52700001
Iran,IRN,2012,0.51700002
Iran,IRN,2013,0.51599997
Iran,IRN,2014,0.514
Iran,IRN,2015,0.509
Iraq,IRQ,1995,0.65799999
Iraq,IRQ,2000,0.62
Iraq,IRQ,2010,0.53600001
Iraq,IRQ,2011,0.53399998
Iraq,IRQ,2012,0.53200001
Iraq,IRQ,2013,0.52899998
Iraq,IRQ,2014,0.528
Iraq,IRQ,2015,0.52499998
Ireland,IRL,1995,0.20200001
Ireland,IRL,2000,0.20100001
Ireland,IRL,2005,0.192
Ireland,IRL,2010,0.171
Ireland,IRL,2011,0.155
Ireland,IRL,2012,0.149
Ireland,IRL,2013,0.14
Ireland,IRL,2014,0.13500001
Ireland,IRL,2015,0.127
Israel,ISR,1995,0.244
Israel,ISR,2000,0.197
Israel,ISR,2005,0.17299999
Israel,ISR,2010,0.149
Israel,ISR,2011,0.141
Israel,ISR,2012,0.13600001
Israel,ISR,2013,0.124
Israel,ISR,2014,0.118
Israel,ISR,2015,0.103
Italy,ITA,1995,0.198
Italy,ITA,2000,0.178
Italy,ITA,2005,0.175
Italy,ITA,2010,0.124
Italy,ITA,2011,0.12
Italy,ITA,2012,0.116
Italy,ITA,2013,0.090000004
Italy,ITA,2014,0.085000001
Italy,ITA,2015,0.085000001
Jamaica,JAM,1995,0.47999999
Jamaica,JAM,2000,0.46900001
Jamaica,JAM,2005,0.46599999
Jamaica,JAM,2010,0.45500001
Jamaica,JAM,2011,0.44299999
Jamaica,JAM,2012,0.43900001
Jamaica,JAM,2013,0.435
Jamaica,JAM,2014,0.426
Jamaica,JAM,2015,0.42199999
Japan,JPN,1995,0.15899999
Japan,JPN,2000,0.13500001
Japan,JPN,2005,0.148
Japan,JPN,2010,0.12
Japan,JPN,2011,0.119
Japan,JPN,2012,0.127
Japan,JPN,2013,0.127
Japan,JPN,2014,0.124
Japan,JPN,2015,0.116
Jordan,JOR,1995,0.67400002
Jordan,JOR,2000,0.63200003
Jordan,JOR,2005,0.55699998
Jordan,JOR,2010,0.48800001
Jordan,JOR,2011,0.48899999
Jordan,JOR,2012,0.48699999
Jordan,JOR,2013,0.484
Jordan,JOR,2014,0.47999999
Jordan,JOR,2015,0.47799999
Kazakhstan,KAZ,1995,0.449
Kazakhstan,KAZ,2000,0.405
Kazakhstan,KAZ,2005,0.36000001
Kazakhstan,KAZ,2010,0.26699999
Kazakhstan,KAZ,2011,0.25400001
Kazakhstan,KAZ,2012,0.226
Kazakhstan,KAZ,2013,0.215
Kazakhstan,KAZ,2014,0.20299999
Kazakhstan,KAZ,2015,0.20200001
Kenya,KEN,1995,0.708
Kenya,KEN,2000,0.69599998
Kenya,KEN,2005,0.65399998
Kenya,KEN,2010,0.616
Kenya,KEN,2011,0.61299998
Kenya,KEN,2012,0.61000001
Kenya,KEN,2013,0.57300001
Kenya,KEN,2014,0.56900001
Kenya,KEN,2015,0.565
Kuwait,KWT,1995,0.58499998
Kuwait,KWT,2000,0.58499998
Kuwait,KWT,2005,0.37400001
Kuwait,KWT,2010,0.236
Kuwait,KWT,2011,0.234
Kuwait,KWT,2012,0.24699999
Kuwait,KWT,2013,0.243
Kuwait,KWT,2014,0.34
Kuwait,KWT,2015,0.33500001
Kyrgyzstan,KGZ,1995,0.50999999
Kyrgyzstan,KGZ,2000,0.47600001
Kyrgyzstan,KGZ,2005,0.67699999
Kyrgyzstan,KGZ,2010,0.36500001
Kyrgyzstan,KGZ,2011,0.37200001
Kyrgyzstan,KGZ,2012,0.373
Kyrgyzstan,KGZ,2013,0.37799999
Kyrgyzstan,KGZ,2014,0.38
Kyrgyzstan,KGZ,2015,0.39399999
Laos,LAO,2000,0.57700002
Laos,LAO,2005,0.542
Laos,LAO,2010,0.50999999
Laos,LAO,2011,0.50099999
Laos,LAO,2012,0.493
Laos,LAO,2013,0.484
Laos,LAO,2014,0.47499999
Laos,LAO,2015,0.46799999
Latvia,LVA,1995,0.41
Latvia,LVA,2000,0.27599999
Latvia,LVA,2005,0.21699999
Latvia,LVA,2010,0.208
Latvia,LVA,2011,0.204
Latvia,LVA,2012,0.18799999
Latvia,LVA,2013,0.184
Latvia,LVA,2014,0.19499999
Latvia,LVA,2015,0.191
Lebanon,LBN,2010,0.40400001
Lebanon,LBN,2011,0.398
Lebanon,LBN,2012,0.39300001
Lebanon,LBN,2013,0.38699999
Lebanon,LBN,2014,0.38600001
Lebanon,LBN,2015,0.38100001
Lesotho,LSO,1995,0.57700002
Lesotho,LSO,2000,0.59500003
Lesotho,LSO,2005,0.58499998
Lesotho,LSO,2010,0.56900001
Lesotho,LSO,2011,0.56300002
Lesotho,LSO,2012,0.55599999
Lesotho,LSO,2013,0.55299997
Lesotho,LSO,2014,0.54900002
Lesotho,LSO,2015,0.54900002
Liberia,LBR,2000,0.68900001
Liberia,LBR,2005,0.676
Liberia,LBR,2010,0.66100001
Liberia,LBR,2011,0.66799998
Liberia,LBR,2012,0.66000003
Liberia,LBR,2013,0.65399998
Liberia,LBR,2014,0.64899999
Liberia,LBR,2015,0.64899999
Libya,LBY,2005,0.26800001
Libya,LBY,2010,0.215
Libya,LBY,2012,0.16599999
Libya,LBY,2013,0.16599999
Libya,LBY,2014,0.169
Libya,LBY,2015,0.167
Lithuania,LTU,1995,0.32499999
Lithuania,LTU,2000,0.28099999
Lithuania,LTU,2005,0.185
Lithuania,LTU,2010,0.168
Lithuania,LTU,2011,0.169
Lithuania,LTU,2012,0.141
Lithuania,LTU,2013,0.13500001
Lithuania,LTU,2014,0.12800001
Lithuania,LTU,2015,0.121
Luxembourg,LUX,1995,0.2
Luxembourg,LUX,2000,0.175
Luxembourg,LUX,2005,0.156
Luxembourg,LUX,2010,0.132
Luxembourg,LUX,2011,0.112
Luxembourg,LUX,2012,0.114
Luxembourg,LUX,2013,0.088
Luxembourg,LUX,2014,0.081
Luxembourg,LUX,2015,0.075000003
Macedonia,MKD,2015,0.16
Malawi,MWI,1995,0.71899998
Malawi,MWI,2000,0.69199997
Malawi,MWI,2005,0.65499997
Malawi,MWI,2010,0.616
Malawi,MWI,2011,0.60900003
Malawi,MWI,2012,0.60699999
Malawi,MWI,2013,0.60500002
Malawi,MWI,2014,0.616
Malawi,MWI,2015,0.61400002
Malaysia,MYS,1995,0.398
Malaysia,MYS,2000,0.34
Malaysia,MYS,2005,0.324
Malaysia,MYS,2010,0.308
Malaysia,MYS,2011,0.31
Malaysia,MYS,2012,0.303
Malaysia,MYS,2013,0.29300001
Malaysia,MYS,2014,0.287
Malaysia,MYS,2015,0.29100001
Maldives,MDV,1995,0.64899999
Maldives,MDV,2000,0.54100001
Maldives,MDV,2005,0.41999999
Maldives,MDV,2010,0.38299999
Maldives,MDV,2011,0.36899999
Maldives,MDV,2012,0.35299999
Maldives,MDV,2013,0.33500001
Maldives,MDV,2014,0.32800001
Maldives,MDV,2015,0.31200001
Mali,MLI,1995,0.72600001
Mali,MLI,2000,0.72500002
Mali,MLI,2005,0.72299999
Mali,MLI,2010,0.67699999
Mali,MLI,2011,0.68099999
Mali,MLI,2012,0.68199998
Mali,MLI,2014,0.68599999
Mali,MLI,2015,0.68900001
Malta,MLT,1995,0.331
Malta,MLT,2000,0.32100001
Malta,MLT,2005,0.30899999
Malta,MLT,2010,0.27700001
Malta,MLT,2011,0.27399999
Malta,MLT,2012,0.26300001
Malta,MLT,2013,0.21600001
Malta,MLT,2014,0.213
Malta,MLT,2015,0.21699999
Mauritania,MRT,1995,0.80900002
Mauritania,MRT,2000,0.75599998
Mauritania,MRT,2010,0.65600002
Mauritania,MRT,2011,0.65200001
Mauritania,MRT,2012,0.64700001
Mauritania,MRT,2014,0.63
Mauritania,MRT,2015,0.62699997
Mauritius,MUS,1995,0.479
Mauritius,MUS,2000,0.45199999
Mauritius,MUS,2005,0.36899999
Mauritius,MUS,2010,0.382
Mauritius,MUS,2011,0.37
Mauritius,MUS,2012,0.36899999
Mauritius,MUS,2013,0.361
Mauritius,MUS,2014,0.35499999
Mauritius,MUS,2015,0.38
Mexico,MEX,1995,0.50800002
Mexico,MEX,2000,0.493
Mexico,MEX,2005,0.43099999
Mexico,MEX,2010,0.40099999
Mexico,MEX,2011,0.39300001
Mexico,MEX,2012,0.36899999
Mexico,MEX,2013,0.36399999
Mexico,MEX,2014,0.35499999
Mexico,MEX,2015,0.345
Moldova,MDA,1995,0.486
Moldova,MDA,2000,0.42500001
Moldova,MDA,2005,0.292
Moldova,MDA,2010,0.28600001
Moldova,MDA,2011,0.257
Moldova,MDA,2012,0.255
Moldova,MDA,2013,0.24699999
Moldova,MDA,2014,0.25
Moldova,MDA,2015,0.23199999
Mongolia,MNG,1995,0.5
Mongolia,MNG,2000,0.44999999
Mongolia,MNG,2005,0.41
Mongolia,MNG,2010,0.40599999
Mongolia,MNG,2011,0.39700001
Mongolia,MNG,2012,0.30000001
Mongolia,MNG,2013,0.292
Mongolia,MNG,2014,0.28299999
Mongolia,MNG,2015,0.278
Montenegro,MNE,2010,0.21799999
Montenegro,MNE,2011,0.20299999
Montenegro,MNE,2012,0.175
Montenegro,MNE,2013,0.17399999
Montenegro,MNE,2014,0.163
Montenegro,MNE,2015,0.156
Morocco,MAR,1995,0.713
Morocco,MAR,2000,0.69599998
Morocco,MAR,2005,0.57999998
Morocco,MAR,2010,0.56300002
Morocco,MAR,2011,0.52999997
Morocco,MAR,2012,0.52700001
Morocco,MAR,2013,0.52200001
Morocco,MAR,2014,0.51700002
Morocco,MAR,2015,0.49399999
Mozambique,MOZ,1995,0.66399997
Mozambique,MOZ,2000,0.64499998
Mozambique,MOZ,2005,0.63800001
Mozambique,MOZ,2010,0.61699998
Mozambique,MOZ,2011,0.60699999
