Entity,Code,Year,Women who were first married by age 18 (% of women ages 20-24) (% of women ages 20-24)
Ghana,GHA,1988,40.9
Ghana,GHA,1993,37.6
Ghana,GHA,1998,35.5
Ghana,GHA,2003,27.9
Ghana,GHA,2006,22
Ghana,GHA,2008,24.6
Ghana,GHA,2011,20.7
Ghana,GHA,2014,20.7
Guatemala,GTM,1987,41.2
Guatemala,GTM,1995,38.6
Guatemala,GTM,1999,34.3
Guatemala,GTM,2002,35
Guatemala,GTM,2009,30.3
Guatemala,GTM,2015,29.5
Guinea,GIN,1999,64.5
Guinea,GIN,2005,63.1
Guinea,GIN,2012,51.7
Guinea-Bissau,GNB,2006,24.1
Guinea-Bissau,GNB,2010,22
Guyana,GUY,2005,28.2
Guyana,GUY,2007,19.8
Guyana,GUY,2009,23
Haiti,HTI,1995,23.8
Haiti,HTI,2000,24.1
Haiti,HTI,2006,29.9
Haiti,HTI,2012,17.5
Honduras,HND,2006,38.8
Honduras,HND,2012,33.6
India,IND,1993,50.2
India,IND,1999,50
India,IND,2006,44.5
India,IND,2016,25.3
Indonesia,IDN,1987,35.1
Indonesia,IDN,1991,34.1
Indonesia,IDN,1994,30.8
Indonesia,IDN,1997,29.6
Indonesia,IDN,2003,24.2
Indonesia,IDN,2007,22
Indonesia,IDN,2012,17
Indonesia,IDN,2013,13.6
Iran,IRN,2010,16.7
Iran,IRN,2011,17
Iraq,IRQ,2006,17
Iraq,IRQ,2011,24.3
Jamaica,JAM,2005,8.6
Jamaica,JAM,2011,7.9
Jordan,JOR,1990,16.4
Jordan,JOR,1997,13.5
Jordan,JOR,2002,11.1
Jordan,JOR,2007,9.6
Jordan,JOR,2009,10.2
Jordan,JOR,2012,8.4
Kazakhstan,KAZ,1995,18.5
Kazakhstan,KAZ,1999,14.4
Kazakhstan,KAZ,2006,7.3
Kazakhstan,KAZ,2011,6.1
Kenya,KEN,1989,31
Kenya,KEN,1993,28.1
Kenya,KEN,1998,24.6
Kenya,KEN,2003,24.6
Kenya,KEN,2009,26.4
Kenya,KEN,2014,22.9
Kiribati,KIR,2009,20.3
Kyrgyzstan,KGZ,1997,21.2
Kyrgyzstan,KGZ,2006,10.4
Kyrgyzstan,KGZ,2012,7.8
Kyrgyzstan,KGZ,2014,11.6
Laos,LAO,2012,35.4
Lebanon,LBN,2009,6.1
Lesotho,LSO,2004,23
Lesotho,LSO,2009,18.8
Lesotho,LSO,2014,17.3
Liberia,LBR,1986,48.4
Liberia,LBR,2007,37.9
Liberia,LBR,2013,35.9
Macedonia,MKD,2005,3.6
Macedonia,MKD,2011,6.9
Madagascar,MDG,1992,36.9
Madagascar,MDG,1997,40.4
Madagascar,MDG,2004,38.8
Madagascar,MDG,2009,48.2
Malawi,MWI,1992,54.9
Malawi,MWI,2000,46.9
Malawi,MWI,2004,48.9
Malawi,MWI,2006,50.2
Malawi,MWI,2010,49.6
Malawi,MWI,2016,42.1
Maldives,MDV,2009,3.9
Mali,MLI,1987,78.1
Mali,MLI,1996,69.9
Mali,MLI,2001,65.4
Mali,MLI,2006,70.6
Mali,MLI,2010,55
Mali,MLI,2013,59.6
Marshall Islands,MHL,2007,26.3
Mauritania,MRT,2001,37.2
Mauritania,MRT,2007,35.4
Mauritania,MRT,2011,34.3
Mexico,MEX,1987,27.6
Mexico,MEX,2006,22.7
Mexico,MEX,2009,22.9
Moldova,MDA,2005,18.9
Moldova,MDA,2012,12.2
Mongolia,MNG,2006,9
Mongolia,MNG,2008,3.9
Mongolia,MNG,2010,4.7
Montenegro,MNE,2005,4.8
Montenegro,MNE,2006,4.8
Montenegro,MNE,2013,4.5
Morocco,MAR,1987,24
Morocco,MAR,1992,18.4
Morocco,MAR,2004,15.9
Mozambique,MOZ,1997,56.6
Mozambique,MOZ,2003,55.9
Mozambique,MOZ,2008,51.8
Mozambique,MOZ,2009,56.2
Mozambique,MOZ,2011,48.2
Myanmar,MMR,2016,16
Namibia,NAM,1992,11.4
Namibia,NAM,2000,9.8
Namibia,NAM,2007,8.5
Namibia,NAM,2013,6.9
Nauru,NRU,2007,26.8
Nepal,NPL,1996,60.3
Nepal,NPL,2001,56.1
Nepal,NPL,2006,51.4
Nepal,NPL,2011,40.7
Nepal,NPL,2014,36.6
Nepal,NPL,2016,39.5
Nicaragua,NIC,1998,50.3
Nicaragua,NIC,2001,43.3
Nicaragua,NIC,2006,40.6
Nicaragua,NIC,2007,40.6
Niger,NER,1992,83.5
Niger,NER,1998,76.6
Niger,NER,2006,74.5
Niger,NER,2012,76.3
Nigeria,NGA,1990,51.9
Nigeria,NGA,1999,39.6
Nigeria,NGA,2003,43.3
Nigeria,NGA,2008,39.4
Nigeria,NGA,2011,39
Nigeria,NGA,2013,42.8
Pakistan,PAK,1991,31.6
Pakistan,PAK,2007,24
Pakistan,PAK,2013,21
Palestine,PSE,2004,18.9
Palestine,PSE,2010,20.6
Palestine,PSE,2014,15.3
Panama,PAN,2013,26.4
Papua New Guinea,PNG,2006,21.3
Paraguay,PRY,1990,24.2
Paraguay,PRY,2004,17.9
Peru,PER,1986,19.9
Peru,PER,1992,17.7
Peru,PER,1996,21.3
Peru,PER,2000,18.7
Peru,PER,2006,17.5
Peru,PER,2008,17.5
Peru,PER,2009,19
Peru,PER,2010,20.1
Peru,PER,2011,18.8
Peru,PER,2012,19.1
Peru,PER,2014,18.6
Philippines,PHL,1993,14.2
Philippines,PHL,1998,14.6
Philippines,PHL,2003,14
Philippines,PHL,2008,14.2
Philippines,PHL,2013,15
Qatar,QAT,2012,4.2
Rwanda,RWA,1992,14.8
Rwanda,RWA,2000,19.5
Rwanda,RWA,2005,13.3
Rwanda,RWA,2010,8.1
Rwanda,RWA,2015,6.8
Saint Lucia,LCA,2012,7.5
Samoa,WSM,2014,10.8
Sao Tome and Principe,STP,2006,33.4
Sao Tome and Principe,STP,2009,34.4
Senegal,SEN,1986,58.8
Senegal,SEN,1993,47.7
Senegal,SEN,1997,36.1
Senegal,SEN,2005,39
Senegal,SEN,2011,32.9
Senegal,SEN,2013,29.8
Senegal,SEN,2014,32.3
Senegal,SEN,2015,31
Senegal,SEN,2016,31.5
Serbia,SRB,2006,5.8
Serbia,SRB,2010,5
Serbia,SRB,2013,3.2
Sierra Leone,SLE,2005,55.6
Sierra Leone,SLE,2008,47.9
Sierra Leone,SLE,2010,43.7
Sierra Leone,SLE,2013,38.9
Solomon Islands,SLB,2007,22.4
Somalia,SOM,2006,45.3
South Africa,ZAF,1998,7.9
South Africa,ZAF,2003,5.6
South Sudan,SSD,2010,51.5
Sri Lanka,LKA,1987,13.7
Sri Lanka,LKA,2007,11.8
Sudan,SDN,1990,26.9
Sudan,SDN,2006,34
Sudan,SDN,2010,32.9
Suriname,SUR,2006,19.1
Suriname,SUR,2010,18.8
Swaziland,SWZ,2007,7.7
Swaziland,SWZ,2010,6.5
Syrian Arab Republic,,2006,13.3
Tajikistan,TJK,2005,12.7
Tajikistan,TJK,2012,11.6
Tanzania,TZA,1992,36.6
Tanzania,TZA,1994,39.3
Tanzania,TZA,1996,38.1
Tanzania,TZA,1999,39.3
Tanzania,TZA,2004,35.3
Tanzania,TZA,2005,41.1
Tanzania,TZA,2008,37.8
Tanzania,TZA,2010,36.9
Tanzania,TZA,2012,31.1
Tanzania,TZA,2016,30.5
Thailand,THA,1987,20.5
Thailand,THA,2006,19.6
Thailand,THA,2012,22.1
Timor,TLS,2010,18.9
Togo,TGO,1988,43.6
Togo,TGO,1998,30.5
Togo,TGO,2006,24.3
Togo,TGO,2010,25.2
Togo,TGO,2014,21.8
Tonga,TON,2012,5.6
Trinidad and Tobago,TTO,1987,34.4
Trinidad and Tobago,TTO,2006,8.1
Tunisia,TUN,1988,9.7
Tunisia,TUN,2012,1.6
Turkey,TUR,1993,23.3
Turkey,TUR,1998,23
Turkey,TUR,2003,18.4
Turkey,TUR,2008,14
Turkey,TUR,2013,14.7
Turkmenistan,TKM,2000,9.1
Turkmenistan,TKM,2006,7.3
Tuvalu,TUV,2007,9.9
Uganda,UGA,1989,52.6
Uganda,UGA,1995,54.1
Uganda,UGA,2001,53.9
Uganda,UGA,2005,51.4
Uganda,UGA,2006,46.3
Uganda,UGA,2011,39.7
Ukraine,UKR,1999,14.2
Ukraine,UKR,2005,6.4
Ukraine,UKR,2007,9.9
Ukraine,UKR,2012,9.1
Uruguay,URY,2013,24.6
Uzbekistan,UZB,1996,15.3
Uzbekistan,UZB,2002,12.9
Uzbekistan,UZB,2006,7.2
Vanuatu,VUT,2007,27.1
Vanuatu,VUT,2013,21.4
Vietnam,VNM,1997,12.4
Vietnam,VNM,2002,11.1
Vietnam,VNM,2005,10.2
Vietnam,VNM,2006,10.4
Vietnam,VNM,2011,9.3
Vietnam,VNM,2014,10.6
Yemen,YEM,1992,49.2
Yemen,YEM,1997,48.4
Yemen,YEM,2006,32.3
Yemen,YEM,2012,32.3
Yemen,YEM,2013,31.9
Zambia,ZMB,1992,43.3
Zambia,ZMB,1996,44.2
Zambia,ZMB,2002,42.1
Zambia,ZMB,2007,41.6
Zambia,ZMB,2014,31.4
Zimbabwe,ZWE,1988,33.1
Zimbabwe,ZWE,1994,31
Zimbabwe,ZWE,1999,28.7
Zimbabwe,ZWE,2006,33.6
Zimbabwe,ZWE,2009,30.1
Zimbabwe,ZWE,2011,30.5
Zimbabwe,ZWE,2014,33.5
Zimbabwe,ZWE,2015,32.4
