Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Pharmacists (per 1,000)"
Equatorial Guinea,GNQ,2004,1.6600000000000001
Eritrea,ERI,2004,0.43999999999999995
Estonia,EST,2000,19.58
Estonia,EST,2010,63.209999999999994
Estonia,EST,2011,62.629999999999995
Estonia,EST,2012,63.93
Estonia,EST,2013,66.74000000000001
Estonia,EST,2014,67.43
Estonia,EST,2015,72.07
Estonia,EST,2016,73.37
Ethiopia,ETH,2003,0.24
Ethiopia,ETH,2004,0.22999999999999998
Ethiopia,ETH,2005,0.25
Ethiopia,ETH,2006,0.21000000000000002
Ethiopia,ETH,2007,0.21999999999999997
Ethiopia,ETH,2008,0.5
Ethiopia,ETH,2009,0.74
Federated States of Micronesia,,2003,18.73
Federated States of Micronesia,,2005,15.069999999999999
Fiji,FJI,2003,11.020000000000001
Fiji,FJI,2009,8.92
Fiji,FJI,2015,10.649999999999999
Finland,FIN,2002,111.80999999999999
Finland,FIN,2010,110.78
Finland,FIN,2011,111.28
Finland,FIN,2012,115.63000000000001
Finland,FIN,2013,115.7
Finland,FIN,2014,109.68
France,FRA,2000,97.98
France,FRA,2001,100.76
France,FRA,2002,103.04
France,FRA,2003,105.55
France,FRA,2007,113.78
France,FRA,2008,115.77
France,FRA,2011,108.51
France,FRA,2012,109.24
France,FRA,2013,109.00999999999999
France,FRA,2014,109.26
France,FRA,2015,108.97999999999999
France,FRA,2016,108.2
Gabon,GAB,2004,2.42
Gabon,GAB,2016,2.3200000000000003
Gambia,GMB,2003,1.33
Gambia,GMB,2004,1.07
Gambia,GMB,2005,0.76
Gambia,GMB,2006,0.74
Gambia,GMB,2007,0.8400000000000001
Gambia,GMB,2008,0.8200000000000001
Gambia,GMB,2015,0.25
Georgia,GEO,2010,8.34
Georgia,GEO,2011,8.01
Georgia,GEO,2012,7.43
Georgia,GEO,2013,8.48
Georgia,GEO,2014,7.71
Georgia,GEO,2015,7.970000000000001
Germany,DEU,2010,62.56
Germany,DEU,2011,62.59
Germany,DEU,2012,62.24
Germany,DEU,2013,63.29
Germany,DEU,2014,63.81999999999999
Germany,DEU,2015,64.34
Germany,DEU,2016,64.00999999999999
Ghana,GHA,2007,4.57
Ghana,GHA,2008,2.3499999999999996
Ghana,GHA,2013,36.3
Greece,GRC,2010,97.5
Greece,GRC,2011,98.33
Greece,GRC,2012,98.4
Greece,GRC,2013,101.22999999999999
Greece,GRC,2014,102.78999999999999
Grenada,GRD,2000,21.65
Grenada,GRD,2001,21.61
Grenada,GRD,2002,21.549999999999997
Grenada,GRD,2003,21.48
Grenada,GRD,2006,20.33
Grenada,GRD,2011,84.68
Grenada,GRD,2016,69.63
Guatemala,GTM,2018,0.39
Guinea,GIN,2000,1.61
Guinea,GIN,2005,1.83
Guinea,GIN,2016,1.1500000000000001
Guinea-Bissau,GNB,2008,0.74
Guinea-Bissau,GNB,2009,0.59
Guyana,GUY,2009,2.0100000000000002
Guyana,GUY,2018,0.8899999999999999
Haiti,HTI,2011,0.8400000000000001
Haiti,HTI,2018,3.02
Honduras,HND,2000,5.380000000000001
Hungary,HUN,2010,58.63
Hungary,HUN,2011,58
Hungary,HUN,2012,57.58
Hungary,HUN,2013,76.44999999999999
Hungary,HUN,2014,77.38000000000001
Hungary,HUN,2015,71.94
Hungary,HUN,2016,75.39
Iceland,ISL,2000,82.03
Iceland,ISL,2001,85.9
Iceland,ISL,2002,95.69000000000001
Iceland,ISL,2003,96.88000000000001
Iceland,ISL,2004,98.59
Iceland,ISL,2005,101.35999999999999
Iceland,ISL,2006,104.1
Iceland,ISL,2007,107.14
Iceland,ISL,2008,105.82000000000001
Iceland,ISL,2009,105.66000000000001
Iceland,ISL,2010,113.96000000000001
Iceland,ISL,2011,117.5
Iceland,ISL,2012,109.97999999999999
Iceland,ISL,2013,110.09
Iceland,ISL,2014,110.5
Iceland,ISL,2015,112.05
Iceland,ISL,2016,109.77000000000001
Iceland,ISL,2017,51.04
India,IND,2003,50.49
India,IND,2004,11.54
India,IND,2006,49.76
India,IND,2009,54.01
India,IND,2010,53.3
India,IND,2011,52.69
India,IND,2012,49.94
India,IND,2013,51.95
India,IND,2016,56
India,IND,2017,67.84
Indonesia,IDN,2003,0.62
Indonesia,IDN,2009,0.8400000000000001
Indonesia,IDN,2015,11.75
Indonesia,IDN,2017,17.36
Iran,IRN,2004,13.86
Iran,IRN,2005,19.74
Iran,IRN,2006,10.049999999999999
Iran,IRN,2014,22.639999999999997
Iran,IRN,2015,20
Iraq,IRQ,2010,18.45
Iraq,IRQ,2014,24.59
Iraq,IRQ,2016,26
Iraq,IRQ,2017,28.580000000000002
Ireland,IRL,2010,98.71000000000001
Ireland,IRL,2011,102.75
Ireland,IRL,2012,106.97
Ireland,IRL,2013,112.05
Ireland,IRL,2014,116.06
Ireland,IRL,2015,110.44
Israel,ISR,2010,77.2
Israel,ISR,2011,76.63
Israel,ISR,2012,77.5
Israel,ISR,2013,75.02
Israel,ISR,2014,73.04
Israel,ISR,2015,77.29
Israel,ISR,2016,74.87
Italy,ITA,2010,86.78
Italy,ITA,2011,96.35999999999999
Italy,ITA,2012,96.57
Italy,ITA,2013,98.42
Italy,ITA,2014,108.68
Italy,ITA,2015,117.53999999999999
Italy,ITA,2016,117.91
Italy,ITA,2017,115.13
Jamaica,JAM,2008,3.4399999999999995
Jamaica,JAM,2012,2.46
Jamaica,JAM,2013,2.59
Jamaica,JAM,2014,2.52
Jamaica,JAM,2015,2.86
Jamaica,JAM,2016,2.19
Japan,JPN,2000,170.51999999999998
Japan,JPN,2002,179.62
Japan,JPN,2004,188.26
Japan,JPN,2006,196.63
Japan,JPN,2008,208.28
Japan,JPN,2010,160.03
Japan,JPN,2012,160.18
Japan,JPN,2014,168.6
Japan,JPN,2016,180.19
Jordan,JOR,2000,84.83000000000001
Jordan,JOR,2001,96.02000000000001
Jordan,JOR,2002,112.81
Jordan,JOR,2003,117.35
Jordan,JOR,2005,124.25
Jordan,JOR,2006,113.28
Jordan,JOR,2007,130.57999999999998
Jordan,JOR,2008,118.88
Jordan,JOR,2009,123.28
Jordan,JOR,2010,127.41
Jordan,JOR,2012,173.16
Jordan,JOR,2013,138.34
Jordan,JOR,2014,138.66
Jordan,JOR,2015,131.84
Jordan,JOR,2016,154.99
Jordan,JOR,2017,161.49
Kazakhstan,KAZ,2010,68.69
Kazakhstan,KAZ,2011,79.33
Kazakhstan,KAZ,2012,80.02000000000001
Kazakhstan,KAZ,2013,80.36
Kazakhstan,KAZ,2014,80.99000000000001
Kenya,KEN,2004,5.05
Kenya,KEN,2008,7.31
Kenya,KEN,2009,7.26
Kenya,KEN,2010,7.49
Kenya,KEN,2012,4.76
Kenya,KEN,2013,4.91
Kenya,KEN,2014,5.12
Kiribati,KIR,2004,2.21
Kiribati,KIR,2006,1.06
Kiribati,KIR,2010,3.9000000000000004
Kiribati,KIR,2011,3.8200000000000003
Kiribati,KIR,2013,2.7600000000000002
Kiribati,KIR,2016,2.62
Kuwait,KWT,2001,34.230000000000004
Kuwait,KWT,2006,30.12
Kuwait,KWT,2007,29.64
Kuwait,KWT,2008,30.310000000000002
Kuwait,KWT,2009,31.5
Kuwait,KWT,2014,47.96
Kyrgyzstan,KGZ,2010,3.12
Kyrgyzstan,KGZ,2011,3.27
Kyrgyzstan,KGZ,2012,5.04
Kyrgyzstan,KGZ,2013,5.58
Kyrgyzstan,KGZ,2014,4.1899999999999995
Laos,LAO,2012,18.53
Laos,LAO,2014,19.4
Latvia,LVA,2010,67.63
Latvia,LVA,2011,64.9
Latvia,LVA,2012,67.85
Latvia,LVA,2013,78.99
Latvia,LVA,2014,76.78
Latvia,LVA,2015,78.99
Latvia,LVA,2016,83.38
Lebanon,LBN,2001,99.97
Lebanon,LBN,2004,77.64999999999999
Lebanon,LBN,2005,102.96
Lebanon,LBN,2007,114.21
Lebanon,LBN,2009,108.85999999999999
Lebanon,LBN,2010,127
Lebanon,LBN,2011,145.74
Lebanon,LBN,2013,132.67
Lebanon,LBN,2014,131.96
Lebanon,LBN,2015,129.71
Lebanon,LBN,2016,131.84
Lebanon,LBN,2017,137.57999999999998
Lesotho,LSO,2003,0.16
Liberia,LBR,2004,0.9099999999999999
Liberia,LBR,2008,0.25
Liberia,LBR,2010,1.1700000000000002
Libya,LBY,2004,19.810000000000002
Libya,LBY,2008,36.87
Libya,LBY,2009,37.17
Libya,LBY,2014,63.31
Libya,LBY,2015,49.989999999999995
Libya,LBY,2017,62.06
Lithuania,LTU,2003,66.47999999999999
Lithuania,LTU,2017,92.47999999999999
Luxembourg,LUX,2010,73.64
Luxembourg,LUX,2011,71.94
Luxembourg,LUX,2012,71.36999999999999
Luxembourg,LUX,2013,70.13
Luxembourg,LUX,2014,68.67
Luxembourg,LUX,2015,69.88000000000001
Luxembourg,LUX,2016,70.52
Luxembourg,LUX,2017,71.28999999999999
Macedonia,MKD,2010,33.42
Macedonia,MKD,2011,37.730000000000004
Macedonia,MKD,2012,42.82
Macedonia,MKD,2013,44.800000000000004
Macedonia,MKD,2015,49.489999999999995
Madagascar,MDG,2002,0.05
Madagascar,MDG,2003,0.05
Madagascar,MDG,2004,0.04
Madagascar,MDG,2005,0.04
Madagascar,MDG,2006,0.04
Madagascar,MDG,2007,0.04
Madagascar,MDG,2008,0.04
Madagascar,MDG,2009,0.03
Madagascar,MDG,2010,0.03
Madagascar,MDG,2011,0.02
Madagascar,MDG,2012,0.03
Madagascar,MDG,2016,0.02
Malawi,MWI,2008,2.05
Malaysia,MYS,2000,10.06
Malaysia,MYS,2002,11.899999999999999
Malaysia,MYS,2007,17.17
Malaysia,MYS,2010,27.599999999999998
Malaysia,MYS,2011,30.139999999999997
Malaysia,MYS,2012,33.09
Malaysia,MYS,2015,34.21
Maldives,MDV,2004,77.64
Maldives,MDV,2007,84.80000000000001
Maldives,MDV,2009,58.11
Maldives,MDV,2010,67.75999999999999
Maldives,MDV,2015,47.56
Mali,MLI,2004,2.8299999999999996
Mali,MLI,2007,0.19
Mali,MLI,2009,0.81
Mali,MLI,2010,0.8999999999999999
Malta,MLT,2010,72.34
Malta,MLT,2011,80.07
Malta,MLT,2012,107.89
Malta,MLT,2013,110.82000000000001
Malta,MLT,2014,115.84
Malta,MLT,2015,130.5
Marshall Islands,MHL,2007,11.52
Marshall Islands,MHL,2010,3.8200000000000003
Marshall Islands,MHL,2012,7.59
Mauritania,MRT,2004,2.04
Mauritania,MRT,2009,2.2
Mauritius,MUS,2004,23.53
Mauritius,MUS,2007,26.5
Mauritius,MUS,2008,28.08
Mauritius,MUS,2009,31.03
Mauritius,MUS,2010,32.05
Mauritius,MUS,2011,32.61
Mauritius,MUS,2012,34.47
Mauritius,MUS,2013,36.64
Mauritius,MUS,2014,39.29
Mauritius,MUS,2015,39.46
Mexico,MEX,2010,4.76
Moldova,MDA,2010,43.550000000000004
Moldova,MDA,2011,45.96
Moldova,MDA,2013,46.68
Monaco,MCO,2011,248
Monaco,MCO,2012,253.96999999999997
Monaco,MCO,2013,121.05000000000001
Monaco,MCO,2014,257.22
Mongolia,MNG,2002,36.87
Mongolia,MNG,2008,41.4
Mongolia,MNG,2009,40.78
Mongolia,MNG,2010,43.35
Mongolia,MNG,2011,46.5
Mongolia,MNG,2012,52.41
Mongolia,MNG,2013,139.42000000000002
Mongolia,MNG,2014,118.03
Mongolia,MNG,2015,50.519999999999996
Mongolia,MNG,2016,91.27000000000001
Montenegro,MNE,2010,14.58
Montenegro,MNE,2011,14.71
Montenegro,MNE,2012,14.850000000000001
Montenegro,MNE,2013,16.74
Montenegro,MNE,2014,16.89
Montenegro,MNE,2015,17.35
Morocco,MAR,2004,23.900000000000002
Morocco,MAR,2009,28.15
Morocco,MAR,2017,25.86
Mozambique,MOZ,2004,0.07
Mozambique,MOZ,2009,0.21999999999999997
Mozambique,MOZ,2010,0.2
Mozambique,MOZ,2011,0.21999999999999997
Mozambique,MOZ,2012,0.28
Mozambique,MOZ,2013,0.39
Mozambique,MOZ,2017,0.74
Myanmar,MMR,2004,0.26
Myanmar,MMR,2017,3.87
Namibia,NAM,2004,9.66
Namibia,NAM,2007,11.49
Nauru,NRU,2004,99.00999999999999
Nauru,NRU,2011,19.61
Nauru,NRU,2015,17.7
Nepal,NPL,2004,1.05
Nepal,NPL,2012,4.34
Nepal,NPL,2017,9.25
Netherlands,NLD,2010,19.830000000000002
Netherlands,NLD,2011,20.7
Netherlands,NLD,2012,20.51
Netherlands,NLD,2013,21.18
Netherlands,NLD,2014,21.520000000000003
Netherlands,NLD,2015,21.25
Netherlands,NLD,2016,21.54
New Zealand,NZL,2007,68.25
New Zealand,NZL,2010,62.9
New Zealand,NZL,2011,63.849999999999994
New Zealand,NZL,2012,64.03999999999999
New Zealand,NZL,2013,64.9
New Zealand,NZL,2014,65.47
New Zealand,NZL,2015,66.64
New Zealand,NZL,2016,67.52
New Zealand,NZL,2017,67.94
Nicaragua,NIC,2014,18.97
Niger,NER,2004,0.15
Niger,NER,2008,0.12
Niger,NER,2009,0.14
Nigeria,NGA,2004,4.6899999999999995
Nigeria,NGA,2005,8.69
Nigeria,NGA,2006,8.77
Nigeria,NGA,2007,9.01
Nigeria,NGA,2008,8.78
Nigeria,NGA,2010,7.31
Nigeria,NGA,2011,9.44
Niue,NIU,2003,55.56
Niue,NIU,2004,58.81999999999999
Niue,NIU,2006,58.81999999999999
Niue,NIU,2008,62.5
North Korea,PRK,2003,31.03
North Korea,PRK,2008,35.43
North Korea,PRK,2012,37.08
North Korea,PRK,2014,37.440000000000005
North Korea,PRK,2016,39.79
North Korea,PRK,2017,39.6
Norway,NOR,2010,63.86
Norway,NOR,2011,64.6
Norway,NOR,2012,67.18
Norway,NOR,2013,69.06
Norway,NOR,2014,72.17
Norway,NOR,2015,74.29
Norway,NOR,2016,78.03
Norway,NOR,2017,79.94
Oman,OMN,2000,21.83
Oman,OMN,2004,28.55
Oman,OMN,2005,29.980000000000004
Oman,OMN,2006,31.17
Oman,OMN,2007,34.4
Oman,OMN,2008,34.47
Oman,OMN,2009,37.7
Oman,OMN,2010,41.13
Oman,OMN,2011,41.95
Oman,OMN,2012,47.830000000000005
Oman,OMN,2013,48.28
Oman,OMN,2014,49.81
Oman,OMN,2015,50.739999999999995
Oman,OMN,2016,54.690000000000005
Oman,OMN,2017,52.74
Pakistan,PAK,2004,5.37
Pakistan,PAK,2012,14
Palau,PLW,2007,4.98
Palau,PLW,2010,9.76
Papua New Guinea,PNG,2012,4.76
Paraguay,PRY,2002,15.34
Paraguay,PRY,2018,3.2
Peru,PER,2007,28.84
Peru,PER,2009,6.28
Peru,PER,2012,5.07
Philippines,PHL,2002,56.989999999999995
Philippines,PHL,2004,58.650000000000006
Philippines,PHL,2011,61.92
Poland,POL,2010,65.75999999999999
Poland,POL,2011,68.60000000000001
Poland,POL,2012,70.05
Poland,POL,2013,71.64
Poland,POL,2014,72.46000000000001
Poland,POL,2015,73.49000000000001
Poland,POL,2016,76.57
Portugal,PRT,2002,76.24
Portugal,PRT,2003,82.35
Portugal,PRT,2004,86.16
Portugal,PRT,2005,89.86000000000001
Portugal,PRT,2006,95.19999999999999
Portugal,PRT,2007,95.16999999999999
Portugal,PRT,2008,100.72
Portugal,PRT,2009,106.44
Portugal,PRT,2010,72.03999999999999
Portugal,PRT,2011,74.63
Portugal,PRT,2012,73.17999999999999
Portugal,PRT,2013,76.64
Portugal,PRT,2014,82.63999999999999
Portugal,PRT,2015,83.61000000000001
Portugal,PRT,2016,84.73
Qatar,QAT,2005,127.18
Qatar,QAT,2006,104.51
Qatar,QAT,2014,89.96000000000001
Qatar,QAT,2016,107.28
Romania,ROU,2002,33.48
Romania,ROU,2010,66.21000000000001
Romania,ROU,2011,71.39999999999999
Romania,ROU,2012,76.14
Romania,ROU,2013,80.88
Romania,ROU,2016,92.96
Russia,RUS,2010,5.83
Russia,RUS,2011,5.709999999999999
Russia,RUS,2012,5.29
Russia,RUS,2013,5.34
Russia,RUS,2014,4.95
Rwanda,RWA,2008,0.29000000000000004
Rwanda,RWA,2009,0.36
Rwanda,RWA,2015,0.98
Saint Lucia,LCA,2001,14.510000000000002
Saint Vincent and the Grenadines,VCT,2001,21.299999999999997
Saint Vincent and the Grenadines,VCT,2004,33.15
Samoa,WSM,2003,11.25
Samoa,WSM,2008,8.72
Samoa,WSM,2013,7.34
San Marino,SMR,2011,73.02
San Marino,SMR,2012,72.1
San Marino,SMR,2013,71.21000000000001
San Marino,SMR,2014,67.28
Sao Tome and Principe,STP,2004,1.32
Saudi Arabia,SAU,2008,61.150000000000006
Saudi Arabia,SAU,2009,56.050000000000004
Saudi Arabia,SAU,2010,54.42999999999999
Saudi Arabia,SAU,2011,54.24
Saudi Arabia,SAU,2012,53.6
Saudi Arabia,SAU,2014,70.31
Saudi Arabia,SAU,2016,79
Senegal,SEN,2004,0.5800000000000001
Senegal,SEN,2008,0.8799999999999999
Senegal,SEN,2013,5.709999999999999
Senegal,SEN,2016,1.1
Serbia,SRB,2009,22.44
Serbia,SRB,2010,24.88
Serbia,SRB,2011,26.200000000000003
Serbia,SRB,2012,26.549999999999997
Serbia,SRB,2013,26.74
Serbia,SRB,2014,26.38
Serbia,SRB,2015,23.759999999999998
Serbia,SRB,2016,81.38
Seychelles,SYC,2004,5.709999999999999
Seychelles,SYC,2005,7.890000000000001
Seychelles,SYC,2006,4.46
Seychelles,SYC,2007,4.43
Seychelles,SYC,2008,4.41
Seychelles,SYC,2009,4.4
Seychelles,SYC,2010,4.38
Seychelles,SYC,2011,5.45
Seychelles,SYC,2012,4.33
