Entity,Code,Year,"Genuine saving (Blum, Ducoing, McLaughlin (2017)) ($)"
Argentina,ARG,1982,65
Argentina,ARG,1983,51.24
Argentina,ARG,1984,134.08
Argentina,ARG,1985,10.76
Argentina,ARG,1986,34.45
Argentina,ARG,1987,61.73
Argentina,ARG,1988,68.29
Argentina,ARG,1989,24.7
Argentina,ARG,1990,-28.24
Argentina,ARG,1991,5.31
Argentina,ARG,1992,79.1
Argentina,ARG,1993,123.7
Argentina,ARG,1994,82.29
Argentina,ARG,1995,70.4
Argentina,ARG,1996,47.75
Argentina,ARG,1997,105.02
Argentina,ARG,1998,152.31
Argentina,ARG,1999,220.24
Argentina,ARG,2000,26.34
Australia,AUS,1900,-208.56
Australia,AUS,1901,-119.4
Australia,AUS,1902,68.12
Australia,AUS,1903,-134.01
Australia,AUS,1904,402.08
Australia,AUS,1905,189.5
Australia,AUS,1906,340.43
Australia,AUS,1907,580.66
Australia,AUS,1908,228.49
Australia,AUS,1909,425.14
Australia,AUS,1910,663.81
Australia,AUS,1911,494.36
Australia,AUS,1912,240.71
Australia,AUS,1913,581.25
Australia,AUS,1914,583.43
Australia,AUS,1915,-254.42
Australia,AUS,1916,68.09
Australia,AUS,1917,291.53
Australia,AUS,1918,290.25
Australia,AUS,1919,299.64
Australia,AUS,1920,306.89
Australia,AUS,1921,700.32
Australia,AUS,1922,751.39
Australia,AUS,1923,473.67
Australia,AUS,1924,395.82
Australia,AUS,1925,793.09
Australia,AUS,1926,282.33
Australia,AUS,1927,266.31
Australia,AUS,1928,326.96
Australia,AUS,1929,313.68
Australia,AUS,1930,-75.79
Australia,AUS,1931,-43.7
Australia,AUS,1932,101.58
Australia,AUS,1933,36.37
Australia,AUS,1934,197.07
Australia,AUS,1935,28.42
Australia,AUS,1936,120.89
Australia,AUS,1937,294.69
Australia,AUS,1938,335.92
Australia,AUS,1939,158.47
Australia,AUS,1940,358.08
Australia,AUS,1941,364.47
Australia,AUS,1942,701.9
Australia,AUS,1943,1037.02
Australia,AUS,1944,1526.84
Australia,AUS,1945,1134.48
Australia,AUS,1946,998.36
Australia,AUS,1947,485.51
Australia,AUS,1948,699.86
Australia,AUS,1949,646.89
Australia,AUS,1950,537.58
Australia,AUS,1951,1018.71
Australia,AUS,1952,212.62
Australia,AUS,1953,866.31
Australia,AUS,1954,890.65
Australia,AUS,1955,632.77
Australia,AUS,1956,731.21
Australia,AUS,1957,968.31
Australia,AUS,1958,775.91
Australia,AUS,1959,875.62
Australia,AUS,1960,494.87
Australia,AUS,1961,651.67
Australia,AUS,1962,691.35
Australia,AUS,1963,724.45
Australia,AUS,1964,910.41
Australia,AUS,1965,926.55
Australia,AUS,1966,818.57
Australia,AUS,1967,1011.98
Australia,AUS,1968,735.02
Australia,AUS,1969,1092.19
Australia,AUS,1970,867.55
Australia,AUS,1971,889
Australia,AUS,1972,859.52
Australia,AUS,1973,998.41
Australia,AUS,1974,1102.6
Australia,AUS,1975,1347.42
Australia,AUS,1976,1339.61
Australia,AUS,1977,1401.44
Australia,AUS,1978,1167.02
Australia,AUS,1979,1513.46
Australia,AUS,1980,1521.15
Australia,AUS,1981,1540.8
Australia,AUS,1982,1760.05
Australia,AUS,1983,985.15
Australia,AUS,1984,1048.05
Australia,AUS,1985,1096.19
Australia,AUS,1986,1129.83
Australia,AUS,1987,953.01
Australia,AUS,1988,1013.54
Australia,AUS,1989,1038.67
Australia,AUS,1990,1065.51
Australia,AUS,1991,447.22
Australia,AUS,1992,171.75
Australia,AUS,1993,474.09
Australia,AUS,1994,195.24
Australia,AUS,1995,532.7
Australia,AUS,1996,533.33
Australia,AUS,1997,835.91
Australia,AUS,1998,630.46
Australia,AUS,1999,630.27
Australia,AUS,2000,995.23
Brazil,BRA,1900,0
Brazil,BRA,1901,-27.91
Brazil,BRA,1902,-2.1
Brazil,BRA,1903,9.74
Brazil,BRA,1904,7.81
Brazil,BRA,1905,84.48
Brazil,BRA,1906,77.3
Brazil,BRA,1907,113.64
Brazil,BRA,1908,112.82
Brazil,BRA,1909,124.62
Brazil,BRA,1910,158.96
Brazil,BRA,1911,131.85
Brazil,BRA,1912,167.35
Brazil,BRA,1913,182.01
Brazil,BRA,1914,-34.87
Brazil,BRA,1915,-84.03
Brazil,BRA,1916,-74.48
Brazil,BRA,1917,-67.39
Brazil,BRA,1918,-58.14
Brazil,BRA,1919,-7.25
Brazil,BRA,1920,22.06
Brazil,BRA,1921,6.45
Brazil,BRA,1922,24.25
Brazil,BRA,1923,-8.7
Brazil,BRA,1924,25.23
Brazil,BRA,1925,52.12
Brazil,BRA,1926,60.94
Brazil,BRA,1927,78.06
Brazil,BRA,1928,74.41
Brazil,BRA,1929,107.52
Brazil,BRA,1930,5.22
Brazil,BRA,1931,-12.19
Brazil,BRA,1932,-19.4
Brazil,BRA,1933,-1.93
Brazil,BRA,1934,19.63
Brazil,BRA,1935,68.98
Brazil,BRA,1936,45.16
Brazil,BRA,1937,69.31
Brazil,BRA,1938,50.78
Brazil,BRA,1939,11.5
Brazil,BRA,1940,19.85
Brazil,BRA,1941,-18.68
Brazil,BRA,1942,-35.95
Brazil,BRA,1943,-38.46
Brazil,BRA,1944,-21.71
Brazil,BRA,1945,14.23
Brazil,BRA,1946,57.5
Brazil,BRA,1947,100.4
Brazil,BRA,1948,33.78
Brazil,BRA,1949,47.87
Brazil,BRA,1950,52.92
Brazil,BRA,1951,27.28
Brazil,BRA,1952,28.38
Brazil,BRA,1953,37.93
Brazil,BRA,1954,55.25
Brazil,BRA,1955,24.02
Brazil,BRA,1956,46.95
Brazil,BRA,1957,65.62
Brazil,BRA,1958,114.47
Brazil,BRA,1959,128.87
Brazil,BRA,1960,-64.73
Brazil,BRA,1961,-81.45
Brazil,BRA,1962,-17.66
Brazil,BRA,1963,8.66
Brazil,BRA,1964,-37.91
Brazil,BRA,1965,-11.47
Brazil,BRA,1966,21.38
Brazil,BRA,1967,34.66
Brazil,BRA,1968,115.97
Brazil,BRA,1969,160.02
Brazil,BRA,1970,300.92
Brazil,BRA,1971,35.3
Brazil,BRA,1972,109.14
Brazil,BRA,1973,211.45
Brazil,BRA,1974,272.16
Brazil,BRA,1975,372.74
Brazil,BRA,1976,386.49
Brazil,BRA,1977,373.35
Brazil,BRA,1978,439.1
Brazil,BRA,1979,521.96
Brazil,BRA,1980,797.8
Brazil,BRA,1981,778.56
Brazil,BRA,1982,707.03
Brazil,BRA,1983,490.32
Brazil,BRA,1984,429.38
Brazil,BRA,1985,425.66
Brazil,BRA,1986,658.27
Brazil,BRA,1987,885.57
Brazil,BRA,1988,958.38
Brazil,BRA,1989,1077.3
Brazil,BRA,1990,691.49
Brazil,BRA,1991,505.41
Brazil,BRA,1992,540.44
Brazil,BRA,1993,621.33
Brazil,BRA,1994,589.73
Brazil,BRA,1995,479.95
Brazil,BRA,1996,419.91
Brazil,BRA,1997,509.21
Brazil,BRA,1998,597.61
Brazil,BRA,1999,640.02
Brazil,BRA,2000,678.35
Chile,CHL,1900,-77.13
Chile,CHL,1901,-20.22
Chile,CHL,1902,-57.6
Chile,CHL,1903,-48.11
Chile,CHL,1904,34.6
Chile,CHL,1905,122.61
Chile,CHL,1906,247.32
Chile,CHL,1907,297.69
Chile,CHL,1908,190.92
Chile,CHL,1909,77.69
Chile,CHL,1910,131.77
Chile,CHL,1911,236.24
Chile,CHL,1912,292.37
Chile,CHL,1913,253.95
Chile,CHL,1914,-13.67
Chile,CHL,1915,-192.42
Chile,CHL,1916,-278.53
Chile,CHL,1917,-303.01
Chile,CHL,1918,-241.84
Chile,CHL,1919,-121.49
Chile,CHL,1920,-97.41
Chile,CHL,1921,-13.26
Chile,CHL,1922,-19.17
Chile,CHL,1923,-79.46
Chile,CHL,1924,-62.64
Chile,CHL,1925,-56.3
Chile,CHL,1926,63.98
Chile,CHL,1927,13.84
Chile,CHL,1928,-44.1
Chile,CHL,1929,195.42
Chile,CHL,1930,415.09
Chile,CHL,1931,141.49
Chile,CHL,1932,14.86
Chile,CHL,1933,-29.21
Chile,CHL,1934,-68.44
Chile,CHL,1935,88.04
Chile,CHL,1936,92.2
Chile,CHL,1937,-101.31
Chile,CHL,1938,69.1
Chile,CHL,1939,-294.03
Chile,CHL,1940,-252.57
Chile,CHL,1941,-334.37
Chile,CHL,1942,-375.92
Chile,CHL,1943,-374.62
Chile,CHL,1944,-320.32
Chile,CHL,1945,-273.69
Chile,CHL,1946,-125.08
Chile,CHL,1947,-161.28
Chile,CHL,1948,-223.08
Chile,CHL,1949,-56.91
Chile,CHL,1950,-164.87
Chile,CHL,1951,-225.8
Chile,CHL,1952,-214.57
Chile,CHL,1953,-263.83
Chile,CHL,1954,-458.2
Chile,CHL,1955,-549.22
Chile,CHL,1956,-579.65
Chile,CHL,1957,-212.09
Chile,CHL,1958,-198.68
Chile,CHL,1959,-365.49
Chile,CHL,1960,-366.31
Chile,CHL,1961,-314.69
Chile,CHL,1962,-524.86
Chile,CHL,1963,-580.66
Chile,CHL,1964,-610.01
Chile,CHL,1965,-594.75
Chile,CHL,1966,-578.35
Chile,CHL,1967,-593.78
Chile,CHL,1968,-522.67
Chile,CHL,1969,-625.52
Chile,CHL,1970,-464.71
Chile,CHL,1971,-690.09
Chile,CHL,1972,-1052.81
Chile,CHL,1973,-1238.62
Chile,CHL,1974,-1539.33
Chile,CHL,1975,-1068.17
Chile,CHL,1976,-1118.93
Chile,CHL,1977,-909.59
Chile,CHL,1978,-655.1
Chile,CHL,1979,-648.8
Chile,CHL,1980,-430.82
Chile,CHL,1981,-45.64
Chile,CHL,1982,-530.69
Chile,CHL,1983,-552.46
Chile,CHL,1984,-445.8
Chile,CHL,1985,-201.64
Chile,CHL,1986,-34.52
Chile,CHL,1987,152.81
Chile,CHL,1988,163.2
Chile,CHL,1989,244.05
Chile,CHL,1990,53.95
Chile,CHL,1991,116.27
Chile,CHL,1992,435.07
Chile,CHL,1993,649.32
Chile,CHL,1994,678.43
Chile,CHL,1995,875.56
Chile,CHL,1996,1123.4
Chile,CHL,1997,1365.48
Chile,CHL,1998,1331.43
Chile,CHL,1999,1062.91
Chile,CHL,2000,519.33
Colombia,COL,1900,-73.69
Colombia,COL,1901,-79.17
Colombia,COL,1902,-82.28
Colombia,COL,1903,-63.54
Colombia,COL,1904,-65.11
Colombia,COL,1905,-62.31
Colombia,COL,1906,-62.15
Colombia,COL,1907,-54.52
Colombia,COL,1908,-58.36
Colombia,COL,1909,-52.58
Colombia,COL,1910,-43.89
Colombia,COL,1911,-52.08
Colombia,COL,1912,-44.8
Colombia,COL,1913,-25.84
Colombia,COL,1914,-32.02
Colombia,COL,1915,-59.01
Colombia,COL,1916,-57.42
Colombia,COL,1917,-55.64
Colombia,COL,1918,-71.38
Colombia,COL,1919,-51.31
Colombia,COL,1920,20.72
Colombia,COL,1921,8.19
Colombia,COL,1922,-12.89
Colombia,COL,1923,7.38
Colombia,COL,1924,27.52
Colombia,COL,1925,74.21
Colombia,COL,1926,149.09
Colombia,COL,1927,168.22
Colombia,COL,1928,184.06
Colombia,COL,1929,113.48
Colombia,COL,1930,-13.63
Colombia,COL,1931,-66.97
Colombia,COL,1932,-73.44
Colombia,COL,1933,-57.27
Colombia,COL,1934,-87.19
Colombia,COL,1935,-70.03
Colombia,COL,1936,-47.33
Colombia,COL,1937,-3.93
Colombia,COL,1938,52.32
Colombia,COL,1939,11.9
Colombia,COL,1940,-42.59
Colombia,COL,1941,-67.3
Colombia,COL,1942,-111.09
Colombia,COL,1943,-65.16
Colombia,COL,1944,4.72
Colombia,COL,1945,43.41
Colombia,COL,1946,97.89
Colombia,COL,1947,246.41
Colombia,COL,1948,115.3
Colombia,COL,1949,99.67
Colombia,COL,1950,135.24
Colombia,COL,1951,47.26
Colombia,COL,1952,69.36
Colombia,COL,1953,161.2
Colombia,COL,1954,187.8
Colombia,COL,1955,222.65
Colombia,COL,1956,187.57
Colombia,COL,1957,109.65
Colombia,COL,1958,156.14
Colombia,COL,1959,173
Colombia,COL,1960,165.16
Colombia,COL,1961,213.2
Colombia,COL,1962,221.21
Colombia,COL,1963,175.27
Colombia,COL,1964,192.28
Colombia,COL,1965,147.52
Colombia,COL,1966,237.88
Colombia,COL,1967,288.14
Colombia,COL,1968,365.26
Colombia,COL,1969,432.12
Colombia,COL,1970,567.88
Colombia,COL,1971,415.64
Colombia,COL,1972,379.42
Colombia,COL,1973,396.57
Colombia,COL,1974,384.1
Colombia,COL,1975,365.06
Colombia,COL,1976,414.39
Colombia,COL,1977,354.93
Colombia,COL,1978,450.37
Colombia,COL,1979,429.93
Colombia,COL,1980,451.96
Colombia,COL,1981,572.64
Colombia,COL,1982,590.53
Colombia,COL,1983,609.83
Colombia,COL,1984,599.86
Colombia,COL,1985,689.01
Colombia,COL,1986,749.14
Colombia,COL,1987,645.46
Colombia,COL,1988,831.6
Colombia,COL,1989,764.85
Colombia,COL,1990,621.2
Colombia,COL,1991,559.03
Colombia,COL,1992,737.33
Colombia,COL,1993,1025.43
Colombia,COL,1994,960.69
Colombia,COL,1995,825.99
Colombia,COL,1996,843.29
Colombia,COL,1997,910.17
Colombia,COL,1998,696.09
Colombia,COL,1999,246.66
Colombia,COL,2000,-32.3
France,FRA,1900,174.41
France,FRA,1901,131.36
France,FRA,1902,122.59
France,FRA,1903,134.82
France,FRA,1904,134.81
France,FRA,1905,149.74
France,FRA,1906,132.85
France,FRA,1907,188.34
France,FRA,1908,162.83
France,FRA,1909,163.01
France,FRA,1910,148
France,FRA,1911,194.98
France,FRA,1912,228.54
France,FRA,1913,213.94
France,FRA,1914,-161.67
France,FRA,1915,-187.86
France,FRA,1916,-177.37
France,FRA,1917,-280.82
France,FRA,1918,-251.37
France,FRA,1919,193.67
France,FRA,1920,434.57
France,FRA,1921,535.48
France,FRA,1922,484.95
France,FRA,1923,540.65
France,FRA,1924,523.62
France,FRA,1925,494.21
France,FRA,1926,578.26
France,FRA,1927,427.75
France,FRA,1928,574.72
France,FRA,1929,657.5
France,FRA,1930,508.91
France,FRA,1931,446.83
France,FRA,1932,395.58
France,FRA,1933,465.18
France,FRA,1934,318.61
France,FRA,1935,433.26
France,FRA,1936,365.7
France,FRA,1937,351.79
France,FRA,1938,303.53
France,FRA,1939,406.49
France,FRA,1940,-695.5
France,FRA,1941,-568.15
France,FRA,1942,-358.87
France,FRA,1943,-80.66
France,FRA,1944,-231.61
France,FRA,1945,112.51
France,FRA,1946,351.75
France,FRA,1947,624.87
France,FRA,1948,497.08
France,FRA,1949,585.45
France,FRA,1950,679.74
France,FRA,1951,744.6
France,FRA,1952,761.48
France,FRA,1953,648.84
France,FRA,1954,745.34
France,FRA,1955,966.54
France,FRA,1956,987.84
France,FRA,1957,1168.93
France,FRA,1958,1197.78
France,FRA,1959,1126.23
France,FRA,1960,1243.03
France,FRA,1961,1350.54
France,FRA,1962,1603.09
France,FRA,1963,1602.46
France,FRA,1964,1968.22
France,FRA,1965,1962.18
France,FRA,1966,2234.28
France,FRA,1967,2361.82
France,FRA,1968,2533.99
France,FRA,1969,2548.57
France,FRA,1970,2563.44
France,FRA,1971,2604.87
France,FRA,1972,2697.68
France,FRA,1973,2873.97
France,FRA,1974,2948.27
France,FRA,1975,2262.78
France,FRA,1976,2602.7
France,FRA,1977,2497.46
France,FRA,1978,2409.18
France,FRA,1979,2495.59
France,FRA,1980,2461.66
France,FRA,1981,2066.22
France,FRA,1982,2094.61
France,FRA,1983,1825.22
France,FRA,1984,1731.18
France,FRA,1985,1770.58
France,FRA,1986,1938.96
France,FRA,1987,2020.02
France,FRA,1988,2286.23
France,FRA,1989,2479.92
France,FRA,1990,2662.82
France,FRA,1991,2391.69
France,FRA,1992,2128.36
France,FRA,1993,1788.9
France,FRA,1994,1941
France,FRA,1995,2258.1
France,FRA,1996,1878.78
France,FRA,1997,1683.13
France,FRA,1998,2117.98
France,FRA,1999,2053.66
France,FRA,2000,2105.99
Germany,DEU,1900,441.83
Germany,DEU,1901,373.9
Germany,DEU,1902,372.59
Germany,DEU,1903,466.35
Germany,DEU,1904,520.36
Germany,DEU,1905,597.21
Germany,DEU,1906,531.2
Germany,DEU,1907,562.15
Germany,DEU,1908,447.82
Germany,DEU,1909,492.16
Germany,DEU,1910,502.96
Germany,DEU,1911,579.25
Germany,DEU,1912,595.26
Germany,DEU,1913,583.14
Germany,DEU,1914,733.3
Germany,DEU,1915,552.79
Germany,DEU,1916,452.86
Germany,DEU,1917,425.03
Germany,DEU,1918,253.44
Germany,DEU,1919,-9.77
Germany,DEU,1920,246.1
Germany,DEU,1921,480
Germany,DEU,1922,492.53
Germany,DEU,1923,389.67
Germany,DEU,1924,303.24
Germany,DEU,1925,347.69
Germany,DEU,1926,167.47
Germany,DEU,1927,400.68
Germany,DEU,1928,360.16
Germany,DEU,1929,226.79
Germany,DEU,1930,121
Germany,DEU,1931,-102.21
Germany,DEU,1932,-3.5
Germany,DEU,1933,193.79
Germany,DEU,1934,262.25
Germany,DEU,1935,398.8
Germany,DEU,1936,482.72
Germany,DEU,1937,692.85
Germany,DEU,1938,712.93
Germany,DEU,1939,715.22
Germany,DEU,1940,687.34
Germany,DEU,1941,686.5
Germany,DEU,1942,663.17
Germany,DEU,1943,720.34
Germany,DEU,1944,756.37
Germany,DEU,1945,-2296.88
Germany,DEU,1946,-715.18
Germany,DEU,1947,-747.59
Germany,DEU,1948,-765.22
Germany,DEU,1949,240.68
Germany,DEU,1950,498
Germany,DEU,1951,700.53
Germany,DEU,1952,606.83
Germany,DEU,1953,542.87
Germany,DEU,1954,740.65
Germany,DEU,1955,957.98
Germany,DEU,1956,920.84
Germany,DEU,1957,992.86
Germany,DEU,1958,954.49
Germany,DEU,1959,1180.28
Germany,DEU,1960,1171.56
Germany,DEU,1961,1451.86
Germany,DEU,1962,1444.91
Germany,DEU,1963,1422.44
Germany,DEU,1964,1646.61
Germany,DEU,1965,1657.45
Germany,DEU,1966,1706.4
Germany,DEU,1967,1648.83
Germany,DEU,1968,1508.84
Germany,DEU,1969,1989.2
Germany,DEU,1970,1700.63
Germany,DEU,1971,1820.56
Germany,DEU,1972,1751.29
Germany,DEU,1973,2150.37
Germany,DEU,1974,2329.77
Germany,DEU,1975,1776.96
Germany,DEU,1976,1877.86
Germany,DEU,1977,1797.77
Germany,DEU,1978,1824.36
Germany,DEU,1979,2106.33
Germany,DEU,1980,2125.14
Germany,DEU,1981,1599.81
Germany,DEU,1982,1439.24
Germany,DEU,1983,1773.26
Germany,DEU,1984,1898.92
Germany,DEU,1985,1964.48
Germany,DEU,1986,2338.82
Germany,DEU,1987,1910.06
Germany,DEU,1988,2827.03
Germany,DEU,1989,3043.69
Germany,DEU,1990,2918.66
Germany,DEU,1991,1789.11
Germany,DEU,1992,1882.86
Germany,DEU,1993,1904.16
Germany,DEU,1994,1870.83
Germany,DEU,1995,1813.53
Germany,DEU,1996,1849.65
Germany,DEU,1997,1941.97
Germany,DEU,1998,1910.98
Germany,DEU,1999,1951.69
Germany,DEU,2000,2068.08
Mexico,MEX,1900,-64.5
Mexico,MEX,1901,-88.15
Mexico,MEX,1902,-63.18
Mexico,MEX,1903,-78.49
Mexico,MEX,1904,-76.04
Mexico,MEX,1905,-84.02
Mexico,MEX,1906,-36.74
Mexico,MEX,1907,-41.15
Mexico,MEX,1908,-73.28
Mexico,MEX,1909,-64.61
Mexico,MEX,1910,-43.08
Mexico,MEX,1911,-93.87
Mexico,MEX,1912,-140.27
Mexico,MEX,1913,-204.61
Mexico,MEX,1914,-229.93
Mexico,MEX,1915,-207.04
Mexico,MEX,1916,-300.88
Mexico,MEX,1917,-374.69
Mexico,MEX,1918,-398.82
Mexico,MEX,1919,-409.74
Mexico,MEX,1920,-725.49
Mexico,MEX,1921,-495.94
Mexico,MEX,1922,-572.27
Mexico,MEX,1923,-375.95
Mexico,MEX,1924,-427.67
Mexico,MEX,1925,-377.49
Mexico,MEX,1926,-325.95
Mexico,MEX,1927,-226.01
Mexico,MEX,1928,-188.76
Mexico,MEX,1929,-148.98
Mexico,MEX,1930,-67.44
Mexico,MEX,1931,-99.06
Mexico,MEX,1932,-105.08
Mexico,MEX,1933,-106.62
Mexico,MEX,1934,-116.67
Mexico,MEX,1935,-85.12
Mexico,MEX,1936,-77.01
Mexico,MEX,1937,-25.17
Mexico,MEX,1938,-106.74
Mexico,MEX,1939,-104.57
Mexico,MEX,1940,-95.29
Mexico,MEX,1941,-55.62
Mexico,MEX,1942,-95.96
Mexico,MEX,1943,-74.98
Mexico,MEX,1944,-11.53
Mexico,MEX,1945,109.29
Mexico,MEX,1946,233.86
Mexico,MEX,1947,236.9
Mexico,MEX,1948,125.5
Mexico,MEX,1949,71.86
Mexico,MEX,1950,99.64
Mexico,MEX,1951,156.75
Mexico,MEX,1952,185.26
Mexico,MEX,1953,149.1
Mexico,MEX,1954,189.45
Mexico,MEX,1955,193.19
Mexico,MEX,1956,279.2
Mexico,MEX,1957,289.15
Mexico,MEX,1958,261.9
Mexico,MEX,1959,245.02
Mexico,MEX,1960,257.34
Mexico,MEX,1961,248.47
Mexico,MEX,1962,230.73
Mexico,MEX,1963,296.7
Mexico,MEX,1964,388.69
Mexico,MEX,1965,410.91
Mexico,MEX,1966,500.25
Mexico,MEX,1967,585.92
Mexico,MEX,1968,554.56
Mexico,MEX,1969,584.02
Mexico,MEX,1970,749.99
Mexico,MEX,1971,592.84
Mexico,MEX,1972,708.34
Mexico,MEX,1973,785.37
Mexico,MEX,1974,730.21
Mexico,MEX,1975,855.39
Mexico,MEX,1976,820.35
Mexico,MEX,1977,683.45
Mexico,MEX,1978,779.53
Mexico,MEX,1979,718.53
Mexico,MEX,1980,365.68
Mexico,MEX,1981,620.48
Mexico,MEX,1982,301.26
Mexico,MEX,1983,-201.22
Mexico,MEX,1984,-50.38
Mexico,MEX,1985,137.96
Mexico,MEX,1986,366.08
Mexico,MEX,1987,220.36
Mexico,MEX,1988,354.88
Mexico,MEX,1989,330.58
Mexico,MEX,1990,377.62
Mexico,MEX,1991,522.28
Mexico,MEX,1992,663.36
Mexico,MEX,1993,246.84
Mexico,MEX,1994,336.33
Mexico,MEX,1995,54.86
Mexico,MEX,1996,139.71
Mexico,MEX,1997,332.58
Mexico,MEX,1998,533.81
Mexico,MEX,1999,554.45
Mexico,MEX,2000,576.65
Switzerland,CHE,1900,575.42
Switzerland,CHE,1901,655.09
Switzerland,CHE,1902,551.3
Switzerland,CHE,1903,430.42
Switzerland,CHE,1904,422.62
Switzerland,CHE,1905,387.37
Switzerland,CHE,1906,610.97
Switzerland,CHE,1907,514
Switzerland,CHE,1908,679.67
Switzerland,CHE,1909,567.71
Switzerland,CHE,1910,587.62
Switzerland,CHE,1911,634.89
Switzerland,CHE,1912,551.87
Switzerland,CHE,1913,664.72
Switzerland,CHE,1914,1021.11
Switzerland,CHE,1915,1311.01
Switzerland,CHE,1916,1855.18
Switzerland,CHE,1917,2212.63
Switzerland,CHE,1918,2687.51
Switzerland,CHE,1919,2616.6
Switzerland,CHE,1920,1872.41
Switzerland,CHE,1921,1084.7
Switzerland,CHE,1922,809.36
Switzerland,CHE,1923,884.44
Switzerland,CHE,1924,1002.06
Switzerland,CHE,1925,886.25
Switzerland,CHE,1926,847.2
Switzerland,CHE,1927,999.58
Switzerland,CHE,1928,1007.16
Switzerland,CHE,1929,1090.96
Switzerland,CHE,1930,838.95
Switzerland,CHE,1931,298.54
Switzerland,CHE,1932,-257.48
Switzerland,CHE,1933,-26.23
Switzerland,CHE,1934,46.81
Switzerland,CHE,1935,193.73
Switzerland,CHE,1936,142.16
Switzerland,CHE,1937,155.73
Switzerland,CHE,1938,808.4
Switzerland,CHE,1939,790.68
Switzerland,CHE,1940,778.88
Switzerland,CHE,1941,1220.42
Switzerland,CHE,1942,1598.04
Switzerland,CHE,1943,2110.21
Switzerland,CHE,1944,2252.84
Switzerland,CHE,1945,2394.15
Switzerland,CHE,1946,1120.28
Switzerland,CHE,1947,1074.48
Switzerland,CHE,1948,842.36
Switzerland,CHE,1949,733.52
Switzerland,CHE,1950,869.83
Switzerland,CHE,1951,1304.07
Switzerland,CHE,1952,1440.82
Switzerland,CHE,1953,1681.53
Switzerland,CHE,1954,1922.8
Switzerland,CHE,1955,2231.73
Switzerland,CHE,1956,2452.39
Switzerland,CHE,1957,2551.49
Switzerland,CHE,1958,2288.81
Switzerland,CHE,1959,2650.15
Switzerland,CHE,1960,3194.84
Switzerland,CHE,1961,3510.62
Switzerland,CHE,1962,3468.12
Switzerland,CHE,1963,3617.27
Switzerland,CHE,1964,3902.1
Switzerland,CHE,1965,3559.35
Switzerland,CHE,1966,3621.05
Switzerland,CHE,1967,3697.91
Switzerland,CHE,1968,3891.21
Switzerland,CHE,1969,4089.64
Switzerland,CHE,1970,5111.7
Switzerland,CHE,1971,5471.63
Switzerland,CHE,1972,5644.32
Switzerland,CHE,1973,5774.23
Switzerland,CHE,1974,5722.75
Switzerland,CHE,1975,4535.19
Switzerland,CHE,1976,4263.67
Switzerland,CHE,1977,4264.03
Switzerland,CHE,1978,4331.39
