Entity,Code,Year,Completeness of birth registration (%) (%)
India,IND,2006,41.1
India,IND,2011,83.6
India,IND,2014,71.9
Indonesia,IDN,2002,55
Indonesia,IDN,2007,50.6
Indonesia,IDN,2012,66.6
Indonesia,IDN,2013,68.5
Indonesia,IDN,2016,72.5
Iran,IRN,2010,98.6
Iraq,IRQ,2006,95
Iraq,IRQ,2011,99.2
Ireland,IRL,2010,100
Ireland,IRL,2014,100
Isle of Man,IMN,2009,85.3899287208
Israel,ISR,2012,100
Israel,ISR,2014,100
Italy,ITA,2011,100
Italy,ITA,2014,100
Jamaica,JAM,2005,89
Jamaica,JAM,2008,97.8
Jamaica,JAM,2010,98.1
Jamaica,JAM,2012,99.5
Japan,JPN,2012,100
Japan,JPN,2013,100
Jordan,JOR,2012,99.1
Kazakhstan,KAZ,2006,99
Kazakhstan,KAZ,2011,99.7
Kazakhstan,KAZ,2015,99.7
Kenya,KEN,2003,48
Kenya,KEN,2009,60
Kenya,KEN,2014,66.9
Kiribati,KIR,2008,92
Kiribati,KIR,2009,93.5
Kyrgyzstan,KGZ,2006,95.7
Kyrgyzstan,KGZ,2012,98.3
Kyrgyzstan,KGZ,2014,97.7
Laos,LAO,2006,72
Laos,LAO,2012,74.8
Latin America & Caribbean,,2013,94.3650549625994
Latin America & Caribbean (IDA & IBRD),,2013,94.2968913709213
Latin America & Caribbean (excluding high income),,2013,93.8004235480255
Latvia,LVA,2011,100
Latvia,LVA,2014,100
Least developed countries: UN classification,,2013,40.4509822374493
Lebanon,LBN,2009,99.5
Lesotho,LSO,2004,26.3
Lesotho,LSO,2009,45.1
Lesotho,LSO,2014,43.3
Liberia,LBR,2007,3.6
Liberia,LBR,2013,24.6
Liechtenstein,LIE,2011,100
Liechtenstein,LIE,2014,100
Lithuania,LTU,2011,100
Lithuania,LTU,2014,100
Low & middle income,,2013,64.5108506392857
Low income,,2013,42.0113137900275
Lower middle income,,2013,63.2742005699716
Luxembourg,LUX,2010,100
Luxembourg,LUX,2014,100
Macedonia,MKD,2005,94
Macedonia,MKD,2011,99.7
Madagascar,MDG,2004,74.8
Madagascar,MDG,2009,79.7
Madagascar,MDG,2013,83
Malawi,MWI,2011,2.3
Malawi,MWI,2014,5.6
Malawi,MWI,2016,67.2
Maldives,MDV,2000,73
Maldives,MDV,2009,92.5
Mali,MLI,2006,53.3
Mali,MLI,2010,80.8
Mali,MLI,2013,84.3
Mali,MLI,2015,87.2
Malta,MLT,2011,100
Malta,MLT,2014,100
Marshall Islands,MHL,2007,95.9
Mauritania,MRT,2007,56
Mauritania,MRT,2011,58.8
Mauritania,MRT,2015,65.6
Mexico,MEX,2009,93.4
Mexico,MEX,2015,95
Middle East & North Africa,,2013,91.964162107353
Middle East & North Africa (IDA & IBRD),,2013,91.5494840137402
Middle East & North Africa (excluding high income),,2013,91.6854883683837
Middle income,,2013,70.7217027649294
Moldova,MDA,2000,98
Moldova,MDA,2012,99.6
Monaco,MCO,2006,100
Monaco,MCO,2014,100
Mongolia,MNG,2005,98
Mongolia,MNG,2010,99
Mongolia,MNG,2013,99.3
Montenegro,MNE,2005,98
Montenegro,MNE,2006,98.9
Montenegro,MNE,2013,99.4
Morocco,MAR,2000,85
Morocco,MAR,2011,94
Mozambique,MOZ,2008,31
Mozambique,MOZ,2011,47.9
Myanmar,MMR,2003,64.9
Myanmar,MMR,2010,72.4
Myanmar,MMR,2016,81.3
Namibia,NAM,2007,67.1
Namibia,NAM,2011,78
Namibia,NAM,2013,87.1
Nauru,NRU,2007,82.6
Nepal,NPL,2006,35
Nepal,NPL,2011,42.3
Nepal,NPL,2014,58.1
Netherlands,NLD,2011,100
Netherlands,NLD,2014,100
New Zealand,NZL,2012,100
New Zealand,NZL,2014,100
Nicaragua,NIC,2001,81
Nicaragua,NIC,2012,84.7
Niger,NER,2006,31.8
Niger,NER,2012,63.9
Nigeria,NGA,2008,30
Nigeria,NGA,2011,41.5
Nigeria,NGA,2013,29.8
North America,,2013,100
North Korea,PRK,2000,98.9
North Korea,PRK,2009,100
Norway,NOR,2011,100
Norway,NOR,2014,100
OECD members,,2013,99.0943723407871
Other small states,,2013,70.157910665123
Pakistan,PAK,2007,26.6
Pakistan,PAK,2013,33.6
Palestine,PSE,2006,96
Palestine,PSE,2010,99.3
Palestine,PSE,2014,99.3
Panama,PAN,2013,95.6
Paraguay,PRY,2011,76.1
Paraguay,PRY,2014,84.5
Peru,PER,2005,93
Peru,PER,2007,93
Peru,PER,2008,94.3
Peru,PER,2012,95.6
Peru,PER,2014,96.7
Peru,PER,2016,97.7
Philippines,PHL,2000,83
Philippines,PHL,2010,90.2
Poland,POL,2011,100
Poland,POL,2014,100
Portugal,PRT,2011,100
Portugal,PRT,2014,100
Post-demographic dividend,,2013,99.9907354295721
Pre-demographic dividend,,2013,46.6058355049367
Qatar,QAT,2015,100
Russia,RUS,2010,100
Rwanda,RWA,2005,82
Rwanda,RWA,2010,63.2
Rwanda,RWA,2015,56
Saint Lucia,LCA,2012,92
Samoa,WSM,2009,47.7
Samoa,WSM,2014,58.6
San Marino,SMR,2009,100
San Marino,SMR,2014,100
Sao Tome and Principe,STP,2006,68.7
Sao Tome and Principe,STP,2009,75.1
Sao Tome and Principe,STP,2014,95.2
Senegal,SEN,2005,55
Senegal,SEN,2011,74.6
Senegal,SEN,2013,73
Senegal,SEN,2014,72.7
Senegal,SEN,2015,68.3
Serbia,SRB,2005,99
Serbia,SRB,2006,98.9
Serbia,SRB,2010,98.9
Serbia,SRB,2014,99.4
Sierra Leone,SLE,2005,48
Sierra Leone,SLE,2008,50.9
Sierra Leone,SLE,2010,78
Sierra Leone,SLE,2013,76.7
Slovakia,SVK,2010,100
Slovakia,SVK,2014,100
Slovenia,SVN,2011,100
Slovenia,SVN,2014,100
Small states,,2013,73.5659351175308
Solomon Islands,SLB,2007,80
Solomon Islands,SLB,2015,88
Somalia,SOM,2006,3
South Africa,ZAF,2006,78
South Africa,ZAF,2008,92
South Africa,ZAF,2012,85
South Asia,,2013,60.4380857967198
South Asia (IDA & IBRD),,2013,60.4380857967198
South Sudan,SSD,2010,35.4
Spain,ESP,2011,100
Spain,ESP,2014,100
Sri Lanka,LKA,2007,97.2
Sub-Saharan Africa,,2013,43.1820090706809
Sub-Saharan Africa (IDA & IBRD),,2013,43.1820090706809
Sub-Saharan Africa (excluding high income),,2013,43.1820090706809
Sudan,SDN,2006,33
Sudan,SDN,2010,59.3
Sudan,SDN,2014,67.3
Suriname,SUR,2006,97
Suriname,SUR,2010,98.9
Swaziland,SWZ,2007,29.8
Swaziland,SWZ,2010,49.5
Swaziland,SWZ,2014,53.5
Sweden,SWE,2011,100
Sweden,SWE,2014,100
Switzerland,CHE,2011,100
Switzerland,CHE,2014,100
Syrian Arab Republic,,2006,96
Tajikistan,TJK,2005,88
Tajikistan,TJK,2012,88.4
Tanzania,TZA,2005,8
Tanzania,TZA,2008,21.8
Tanzania,TZA,2010,16.3
Tanzania,TZA,2012,14.7
Tanzania,TZA,2016,26.4
Thailand,THA,2006,99.5
Thailand,THA,2012,99.4
Thailand,THA,2016,99.5
Timor,TLS,2003,53
Timor,TLS,2009,55.2
Timor,TLS,2010,55.2
Togo,TGO,2006,78.1
Togo,TGO,2010,77.9
Togo,TGO,2014,78.1
Tonga,TON,2012,93.4
Trinidad and Tobago,TTO,2006,96.6
Tunisia,TUN,2012,99.2
Turkey,TUR,2003,84
Turkey,TUR,2008,93.7
Turkey,TUR,2013,98.8
Turkmenistan,TKM,2006,95.5
Turkmenistan,TKM,2016,99.6
Tuvalu,TUV,2007,49.9
Uganda,UGA,2006,21
Uganda,UGA,2011,29.9
Ukraine,UKR,2005,100
Ukraine,UKR,2012,99.8
United Arab Emirates,ARE,2012,100
United Kingdom,GBR,2010,100
United Kingdom,GBR,2014,100
United States,USA,2009,100
United States,USA,2013,100
Uruguay,URY,2012,100
Uruguay,URY,2013,99.8
Uzbekistan,UZB,2006,99.9
Vanuatu,VUT,2007,43
Vanuatu,VUT,2013,43.4
Venezuela,VEN,2000,92
Venezuela,VEN,2011,80.8
Vietnam,VNM,2005,92.7
Vietnam,VNM,2006,88
Vietnam,VNM,2011,95
Vietnam,VNM,2014,96.1
World,OWID_WRL,2013,68.1787644136365
Yemen,YEM,2006,22
Yemen,YEM,2012,17.1
Yemen,YEM,2013,30.7
Zambia,ZMB,2000,10
Zambia,ZMB,2007,14
Zambia,ZMB,2014,11.3
Zimbabwe,ZWE,2006,73.9
Zimbabwe,ZWE,2009,38
Zimbabwe,ZWE,2011,48.8
Zimbabwe,ZWE,2014,32.3
Zimbabwe,ZWE,2015,43.5
