Entity,Code,Year,"Adult literacy rate, population 15+ years, female (%) (%)"
Belarus,BLR,2015,99.6683502197266
Belize,BLZ,1991,70.3283920288086
Belize,BLZ,2015,83.3138198852539
Benin,BEN,1979,9.5390796661377
Benin,BEN,1992,16.5652408599854
Benin,BEN,2002,23.3001403808594
Benin,BEN,2006,18.4429092407227
Benin,BEN,2015,27.2882595062256
Bhutan,BTN,2005,38.6806602478027
Bhutan,BTN,2012,48.0165596008301
Bhutan,BTN,2015,55.1181907653809
Bolivia,BOL,1976,51.3746490478516
Bolivia,BOL,1992,72.3132171630859
Bolivia,BOL,2001,80.6543807983398
Bolivia,BOL,2007,85.9859390258789
Bolivia,BOL,2008,86.8317489624023
Bolivia,BOL,2009,86.8214569091797
Bolivia,BOL,2011,88.0802001953125
Bolivia,BOL,2012,91.8732681274414
Bolivia,BOL,2015,92.8760604858398
Bosnia and Herzegovina,BIH,1991,79.9395294189453
Bosnia and Herzegovina,BIH,2000,94.3599395751953
Bosnia and Herzegovina,BIH,2014,97.2359924316406
Bosnia and Herzegovina,BIH,2015,97.4295425415039
Botswana,BWA,1991,71.2992401123047
Botswana,BWA,2003,81.8079528808594
Botswana,BWA,2014,88.6681823730469
Botswana,BWA,2015,89.2134704589844
Brazil,BRA,1980,72.8531494140625
Brazil,BRA,2000,86.5000534057617
Brazil,BRA,2004,88.8061294555664
Brazil,BRA,2006,89.8555908203125
Brazil,BRA,2007,90.2280120849609
Brazil,BRA,2008,90.2195510864258
Brazil,BRA,2009,90.4112167358398
Brazil,BRA,2010,90.6817016601563
Brazil,BRA,2011,91.6331481933594
Brazil,BRA,2012,91.6249008178711
Brazil,BRA,2013,91.7649612426758
Brazil,BRA,2015,92.8659210205078
Brunei,BRN,1981,68.9825820922852
Brunei,BRN,1991,82.4613571166992
Brunei,BRN,2001,90.1615524291992
Brunei,BRN,2011,94.6524810791016
Brunei,BRN,2015,95.4420318603516
Bulgaria,BGR,2001,97.7064895629883
Bulgaria,BGR,2011,97.9839019775391
Bulgaria,BGR,2015,98.0688095092773
Burkina Faso,BFA,1975,3.1827700138092
Burkina Faso,BFA,1991,8.22542953491211
Burkina Faso,BFA,1996,8.05797958374023
Burkina Faso,BFA,2003,15.1887702941895
Burkina Faso,BFA,2005,16.6222400665283
Burkina Faso,BFA,2006,16.291130065918
Burkina Faso,BFA,2007,21.5795707702637
Burkina Faso,BFA,2014,26.2202796936035
Burkina Faso,BFA,2015,28.348840713501
Burundi,BDI,1979,11.983570098877
Burundi,BDI,1990,27.5293006896973
Burundi,BDI,2000,52.2377586364746
Burundi,BDI,2008,84.5914688110352
Burundi,BDI,2015,82.9128875732422
Cambodia,KHM,1998,56.9925003051758
Cambodia,KHM,2004,64.0509872436523
Cambodia,KHM,2008,70.8582000732422
Cambodia,KHM,2009,65.9312515258789
Cambodia,KHM,2015,72.2968368530273
Cameroon,CMR,1976,29.1161308288574
Cameroon,CMR,2000,58.7217597961426
Cameroon,CMR,2007,63.0220603942871
Cameroon,CMR,2010,64.7994995117188
Cameroon,CMR,2015,68.8810119628906
Cape Verde,CPV,1990,52.9986190795898
Cape Verde,CPV,2004,74.1010665893555
Cape Verde,CPV,2012,80.496223449707
Cape Verde,CPV,2015,84.6595077514648
Cayman Islands,CYM,2007,99.0214767456055
Central African Republic,CAF,1975,8.39958000183105
Central African Republic,CAF,1988,20.3368797302246
Central African Republic,CAF,2000,35.290901184082
Central African Republic,CAF,2010,24.355489730835
Central African Republic,CAF,2015,24.355489730835
Chad,TCD,1993,4.59182977676392
Chad,TCD,2000,12.7964200973511
Chad,TCD,2004,17.9805793762207
Chad,TCD,2014,30.35325050354
Chad,TCD,2015,31.7542991638184
Chile,CHL,1982,90.8001174926758
Chile,CHL,1992,94.0367126464844
Chile,CHL,2002,95.6409301757813
Chile,CHL,2008,98.6955718994141
Chile,CHL,2009,98.4912796020508
Chile,CHL,2011,96.5307083129883
Chile,CHL,2013,96.1660919189453
Chile,CHL,2015,96.5022201538086
China,CHN,1982,51.1368103027344
China,CHN,1990,68.0720825195313
China,CHN,2000,86.5266036987305
China,CHN,2010,92.7112274169922
China,CHN,2015,94.4713897705078
Colombia,COL,1993,91.1479034423828
Colombia,COL,1996,91.3140029907227
Colombia,COL,2004,92.7146301269531
Colombia,COL,2005,92.911247253418
Colombia,COL,2006,92.2205963134766
Colombia,COL,2007,92.8456192016602
Colombia,COL,2008,93.4353713989258
Colombia,COL,2009,93.4151306152344
Colombia,COL,2010,93.4867935180664
Colombia,COL,2011,93.6671371459961
Colombia,COL,2014,94.4846572875977
Colombia,COL,2015,94.6714019775391
Comoros,COM,1980,40.3176193237305
Comoros,COM,2000,63.4590187072754
Comoros,COM,2014,73.4574966430664
Comoros,COM,2015,74.2552032470703
Congo,COG,2011,72.8770599365234
Congo,COG,2015,72.8770599365234
Costa Rica,CRI,1984,92.5771331787109
Costa Rica,CRI,2000,95.0807876586914
Costa Rica,CRI,2011,97.5004119873047
Costa Rica,CRI,2015,97.7102508544922
Cote d'Ivoire,CIV,1988,23.433780670166
Cote d'Ivoire,CIV,1998,28.4766693115234
Cote d'Ivoire,CIV,2000,38.6145095825195
Cote d'Ivoire,CIV,2012,30.4617195129395
Cote d'Ivoire,CIV,2015,32.7297096252441
Croatia,HRV,1991,94.8172225952148
Croatia,HRV,2001,97.0839004516602
Croatia,HRV,2011,98.6659088134766
Croatia,HRV,2015,98.9235076904297
Cuba,CUB,2002,99.7909164428711
Cuba,CUB,2012,99.7998809814453
Cuba,CUB,2015,99.7682189941406
Cyprus,CYP,1992,91.0017776489258
Cyprus,CYP,2001,95.0796585083008
Cyprus,CYP,2011,98.1162261962891
Cyprus,CYP,2015,98.6427993774414
Democratic Republic of Congo,COD,2001,54.0609016418457
Democratic Republic of Congo,COD,2007,46.1042518615723
Democratic Republic of Congo,COD,2012,62.9186401367188
Democratic Republic of Congo,COD,2015,65.897346496582
Dominican Republic,DOM,1981,72.5360794067383
Dominican Republic,DOM,2002,87.1770935058594
Dominican Republic,DOM,2007,88.2771682739258
Dominican Republic,DOM,2010,89.6973037719727
Dominican Republic,DOM,2011,90.2255172729492
Dominican Republic,DOM,2012,90.2241668701172
Dominican Republic,DOM,2013,91.2505111694336
Dominican Republic,DOM,2014,92.1477584838867
Dominican Republic,DOM,2015,92.9675521850586
East Asia & Pacific,,1985,71.4806823730469
East Asia & Pacific,,1986,71.4806823730469
East Asia & Pacific,,1987,71.4806823730469
East Asia & Pacific,,1988,71.4806823730469
East Asia & Pacific,,1989,71.4806823730469
East Asia & Pacific,,1990,71.4806823730469
East Asia & Pacific,,1991,71.4806823730469
East Asia & Pacific,,1992,71.4806823730469
East Asia & Pacific,,1993,71.4806823730469
East Asia & Pacific,,1994,71.4806823730469
East Asia & Pacific,,1995,86.8535003662109
East Asia & Pacific,,1996,86.8535003662109
East Asia & Pacific,,1997,86.8535003662109
East Asia & Pacific,,1998,86.8535003662109
East Asia & Pacific,,1999,86.8535003662109
East Asia & Pacific,,2000,86.8535003662109
East Asia & Pacific,,2001,86.8535003662109
East Asia & Pacific,,2002,86.8535003662109
East Asia & Pacific,,2003,86.8535003662109
East Asia & Pacific,,2004,86.8535003662109
East Asia & Pacific,,2005,92.5697937011719
East Asia & Pacific,,2006,92.5697937011719
East Asia & Pacific,,2007,92.5697937011719
East Asia & Pacific,,2008,92.5697937011719
East Asia & Pacific,,2009,92.5697937011719
East Asia & Pacific,,2010,92.5697937011719
East Asia & Pacific,,2011,92.5697937011719
East Asia & Pacific,,2012,92.5697937011719
East Asia & Pacific,,2013,92.5697937011719
East Asia & Pacific,,2014,92.5697937011719
East Asia & Pacific (all income levels),,1985,74.8377990722656
East Asia & Pacific (all income levels),,1986,74.8377990722656
East Asia & Pacific (all income levels),,1987,74.8377990722656
East Asia & Pacific (all income levels),,1988,74.8377990722656
East Asia & Pacific (all income levels),,1989,74.8377990722656
East Asia & Pacific (all income levels),,1990,74.8377990722656
East Asia & Pacific (all income levels),,1991,74.8377990722656
East Asia & Pacific (all income levels),,1992,74.8377990722656
East Asia & Pacific (all income levels),,1993,74.8377990722656
East Asia & Pacific (all income levels),,1994,74.8377990722656
East Asia & Pacific (all income levels),,1995,88.1017532348633
East Asia & Pacific (all income levels),,1996,88.1017532348633
East Asia & Pacific (all income levels),,1997,88.1017532348633
East Asia & Pacific (all income levels),,1998,88.1017532348633
East Asia & Pacific (all income levels),,1999,88.1017532348633
East Asia & Pacific (all income levels),,2000,88.1017532348633
East Asia & Pacific (all income levels),,2001,88.1017532348633
East Asia & Pacific (all income levels),,2002,88.1017532348633
East Asia & Pacific (all income levels),,2003,88.1017532348633
East Asia & Pacific (all income levels),,2004,88.1017532348633
East Asia & Pacific (all income levels),,2005,93.0936050415039
East Asia & Pacific (all income levels),,2006,93.0936050415039
East Asia & Pacific (all income levels),,2007,93.0936050415039
East Asia & Pacific (all income levels),,2008,93.0936050415039
East Asia & Pacific (all income levels),,2009,93.0936050415039
East Asia & Pacific (all income levels),,2010,93.0936050415039
East Asia & Pacific (all income levels),,2011,93.0936050415039
East Asia & Pacific (all income levels),,2012,93.0936050415039
East Asia & Pacific (all income levels),,2013,93.0936050415039
East Asia & Pacific (all income levels),,2014,93.0936050415039
Ecuador,ECU,1982,80.4052276611328
Ecuador,ECU,1990,86.1933288574219
Ecuador,ECU,2001,89.6970901489258
Ecuador,ECU,2007,81.6805877685547
Ecuador,ECU,2009,81.4512023925781
Ecuador,ECU,2010,90.4701080322266
Ecuador,ECU,2011,90.220817565918
Ecuador,ECU,2012,90.9516830444336
Ecuador,ECU,2013,92.2180786132813
Ecuador,ECU,2014,93.2538604736328
Ecuador,ECU,2015,93.5975875854492
Egypt,EGY,1976,22.438009262085
Egypt,EGY,1986,31.4041900634766
Egypt,EGY,1996,43.5953102111816
Egypt,EGY,2005,59.3555793762207
Egypt,EGY,2006,57.8119087219238
Egypt,EGY,2010,63.5158081054688
Egypt,EGY,2012,65.7566604614258
Egypt,EGY,2013,67.1798629760742
Egypt,EGY,2015,68.0577926635742
El Salvador,SLV,1992,71.2805328369141
El Salvador,SLV,2004,78.0278701782227
El Salvador,SLV,2006,81.0038223266602
El Salvador,SLV,2007,79.6621322631836
El Salvador,SLV,2008,81.3594970703125
El Salvador,SLV,2009,81.8179473876953
El Salvador,SLV,2010,82.3080215454102
El Salvador,SLV,2011,83.0156402587891
El Salvador,SLV,2013,84.6703491210938
El Salvador,SLV,2015,85.6079177856445
Equatorial Guinea,GNQ,2000,81.6230010986328
Equatorial Guinea,GNQ,2014,92.4452362060547
Equatorial Guinea,GNQ,2015,92.8865127563477
Eritrea,ERI,2002,40.2244186401367
Eritrea,ERI,2014,64.2532272338867
Eritrea,ERI,2015,65.608772277832
Estonia,EST,1989,99.6014785766602
Estonia,EST,2000,99.7600631713867
Estonia,EST,2011,99.9094772338867
Estonia,EST,2015,99.8047027587891
Ethiopia,ETH,1994,18.5149803161621
Ethiopia,ETH,2004,22.7999992370605
Ethiopia,ETH,2005,17.9771995544434
Ethiopia,ETH,2007,28.9216403961182
Ethiopia,ETH,2015,40.9679412841797
Europe & Central Asia,,1985,93.3040084838867
Europe & Central Asia,,1986,93.3040084838867
Europe & Central Asia,,1987,93.3040084838867
Europe & Central Asia,,1988,93.3040084838867
Europe & Central Asia,,1989,93.3040084838867
Europe & Central Asia,,1990,93.3040084838867
Europe & Central Asia,,1991,93.3040084838867
Europe & Central Asia,,1992,93.3040084838867
Europe & Central Asia,,1993,93.3040084838867
Europe & Central Asia,,1994,93.3040084838867
Europe & Central Asia,,1995,95.7628784179688
Europe & Central Asia,,1996,95.7628784179688
Europe & Central Asia,,1997,95.7628784179688
Europe & Central Asia,,1998,95.7628784179688
Europe & Central Asia,,1999,95.7628784179688
Europe & Central Asia,,2000,95.7628784179688
Europe & Central Asia,,2001,95.7628784179688
Europe & Central Asia,,2002,95.7628784179688
Europe & Central Asia,,2003,95.7628784179688
Europe & Central Asia,,2004,95.7628784179688
Europe & Central Asia,,2005,98.1974182128906
Europe & Central Asia,,2006,98.1974182128906
Europe & Central Asia,,2007,98.1974182128906
Europe & Central Asia,,2008,98.1974182128906
Europe & Central Asia,,2009,98.1974182128906
Europe & Central Asia,,2010,98.1974182128906
Europe & Central Asia,,2011,98.1974182128906
Europe & Central Asia,,2012,98.1974182128906
Europe & Central Asia,,2013,98.1974182128906
Europe & Central Asia,,2014,98.1974182128906
Europe & Central Asia (all income levels),,1985,96.0143432617188
Europe & Central Asia (all income levels),,1986,96.0143432617188
Europe & Central Asia (all income levels),,1987,96.0143432617188
Europe & Central Asia (all income levels),,1988,96.0143432617188
Europe & Central Asia (all income levels),,1989,96.0143432617188
Europe & Central Asia (all income levels),,1990,96.0143432617188
Europe & Central Asia (all income levels),,1991,96.0143432617188
Europe & Central Asia (all income levels),,1992,96.0143432617188
Europe & Central Asia (all income levels),,1993,96.0143432617188
Europe & Central Asia (all income levels),,1994,96.0143432617188
Europe & Central Asia (all income levels),,1995,97.3259963989258
Europe & Central Asia (all income levels),,1996,97.3259963989258
Europe & Central Asia (all income levels),,1997,97.3259963989258
Europe & Central Asia (all income levels),,1998,97.3259963989258
Europe & Central Asia (all income levels),,1999,97.3259963989258
Europe & Central Asia (all income levels),,2000,97.3259963989258
Europe & Central Asia (all income levels),,2001,97.3259963989258
Europe & Central Asia (all income levels),,2002,97.3259963989258
Europe & Central Asia (all income levels),,2003,97.3259963989258
Europe & Central Asia (all income levels),,2004,97.3259963989258
Europe & Central Asia (all income levels),,2005,98.616455078125
Europe & Central Asia (all income levels),,2006,98.616455078125
Europe & Central Asia (all income levels),,2007,98.616455078125
Europe & Central Asia (all income levels),,2008,98.616455078125
Europe & Central Asia (all income levels),,2009,98.616455078125
Europe & Central Asia (all income levels),,2010,98.616455078125
Europe & Central Asia (all income levels),,2011,98.616455078125
Europe & Central Asia (all income levels),,2012,98.616455078125
Europe & Central Asia (all income levels),,2013,98.616455078125
Europe & Central Asia (all income levels),,2014,98.616455078125
Gabon,GAB,1993,65.3263092041016
Gabon,GAB,2004,76.3073425292969
Gabon,GAB,2012,79.8789672851563
Gabon,GAB,2015,81.1102066040039
Gambia,GMB,2000,25.0615501403809
Gambia,GMB,2014,46.1324615478516
Gambia,GMB,2015,47.644889831543
Georgia,GEO,2002,99.552848815918
Georgia,GEO,2014,99.7208404541016
Georgia,GEO,2015,99.7338180541992
Ghana,GHA,2000,49.7919616699219
Ghana,GHA,2010,65.2946929931641
Ghana,GHA,2015,71.3500213623047
Greece,GRC,1981,85.3199920654297
Greece,GRC,1991,89.3533020019531
Greece,GRC,2001,94.2394104003906
Greece,GRC,2014,96.6650772094727
Greece,GRC,2015,93.6543884277344
Grenada,GRD,1970,97.5897827148438
Guam,GUM,1980,96.4630813598633
Guam,GUM,1990,99.3085021972656
Guam,GUM,2015,99.8048095703125
Guatemala,GTM,1994,57.2926597595215
Guatemala,GTM,2002,63.341381072998
Guatemala,GTM,2012,72.4280395507813
Guatemala,GTM,2013,72.1275863647461
Guatemala,GTM,2014,76.3706588745117
Guatemala,GTM,2015,73.9197692871094
Guinea,GIN,1996,9.74306964874268
Guinea,GIN,2003,18.2386798858643
Guinea,GIN,2010,12.1919498443604
Guinea,GIN,2015,22.8710403442383
Guinea-Bissau,GNB,1979,8.58825969696045
Guinea-Bissau,GNB,2000,27.4942092895508
Guinea-Bissau,GNB,2014,46.701000213623
Guinea-Bissau,GNB,2015,48.1365585327148
Guyana,GUY,2009,87.2519836425781
Guyana,GUY,2015,89.2351379394531
Haiti,HTI,1982,32.524959564209
Haiti,HTI,2003,54.8614692687988
Haiti,HTI,2006,44.5994491577148
Haiti,HTI,2015,57.1709899902344
Heavily indebted poor countries (HIPC),,1985,34.5829200744629
Heavily indebted poor countries (HIPC),,1986,34.5829200744629
Heavily indebted poor countries (HIPC),,1987,34.5829200744629
Heavily indebted poor countries (HIPC),,1988,34.5829200744629
Heavily indebted poor countries (HIPC),,1989,34.5829200744629
Heavily indebted poor countries (HIPC),,1990,34.5829200744629
Heavily indebted poor countries (HIPC),,1991,34.5829200744629
Heavily indebted poor countries (HIPC),,1992,34.5829200744629
Heavily indebted poor countries (HIPC),,1993,34.5829200744629
Heavily indebted poor countries (HIPC),,1994,34.5829200744629
Heavily indebted poor countries (HIPC),,1995,42.2104225158691
Heavily indebted poor countries (HIPC),,1996,42.2104225158691
Heavily indebted poor countries (HIPC),,1997,42.2104225158691
Heavily indebted poor countries (HIPC),,1998,42.2104225158691
Heavily indebted poor countries (HIPC),,1999,42.2104225158691
Heavily indebted poor countries (HIPC),,2000,42.2104225158691
Heavily indebted poor countries (HIPC),,2001,42.2104225158691
Heavily indebted poor countries (HIPC),,2002,42.2104225158691
Heavily indebted poor countries (HIPC),,2003,42.2104225158691
Heavily indebted poor countries (HIPC),,2004,42.2104225158691
Heavily indebted poor countries (HIPC),,2005,49.3493499755859
Heavily indebted poor countries (HIPC),,2006,49.3493499755859
Heavily indebted poor countries (HIPC),,2007,49.3493499755859
Heavily indebted poor countries (HIPC),,2008,49.3493499755859
Heavily indebted poor countries (HIPC),,2009,49.3493499755859
Heavily indebted poor countries (HIPC),,2010,49.3493499755859
Heavily indebted poor countries (HIPC),,2011,49.3493499755859
Heavily indebted poor countries (HIPC),,2012,49.3493499755859
Heavily indebted poor countries (HIPC),,2013,49.3493499755859
Heavily indebted poor countries (HIPC),,2014,49.3493499755859
Honduras,HND,2001,80.2236022949219
Honduras,HND,2007,83.452766418457
Honduras,HND,2010,84.7250289916992
Honduras,HND,2011,84.9303512573242
Honduras,HND,2012,85.0514831542969
Honduras,HND,2013,85.2847290039063
Honduras,HND,2014,87.025993347168
Honduras,HND,2015,88.5259399414063
Hungary,HUN,1980,98.4541320800781
Hungary,HUN,1994,98.712532043457
Hungary,HUN,2004,98.853271484375
Hungary,HUN,2014,98.9677810668945
Hungary,HUN,2015,99.3690872192383
India,IND,1981,25.6762504577637
India,IND,1991,33.7295303344727
India,IND,2001,47.842098236084
India,IND,2006,50.8237609863281
India,IND,2011,59.2773208618164
India,IND,2015,62.9847183227539
Indonesia,IDN,1980,57.6946296691895
Indonesia,IDN,1990,75.2701187133789
Indonesia,IDN,2004,86.7995910644531
Indonesia,IDN,2006,88.786979675293
Indonesia,IDN,2008,89.1013870239258
Indonesia,IDN,2009,89.677116394043
Indonesia,IDN,2011,90.0687026977539
Indonesia,IDN,2014,93.4508972167969
Indonesia,IDN,2015,93.8172378540039
Iran,IRN,1976,24.4230804443359
Iran,IRN,1986,41.0339508056641
Iran,IRN,1991,56.156421661377
Iran,IRN,1996,66.067756652832
Iran,IRN,2002,70.4000015258789
Iran,IRN,2005,76.8026428222656
Iran,IRN,2006,77.2400207519531
Iran,IRN,2008,77.6947174072266
Iran,IRN,2012,78.4162673950195
Iran,IRN,2013,79.7558364868164
Iran,IRN,2015,83.1818923950195
Iraq,IRQ,2000,64.1695022583008
Iraq,IRQ,2014,73.3473587036133
Iraq,IRQ,2015,73.8307571411133
Israel,ISR,1983,88.6747207641602
Italy,ITA,1981,95.5366668701172
Italy,ITA,2001,98.0421524047852
Italy,ITA,2011,98.5795669555664
Italy,ITA,2015,98.7915802001953
Jamaica,JAM,1999,85.8720779418945
Jamaica,JAM,2014,92.7119674682617
Jamaica,JAM,2015,93.0105972290039
Jordan,JOR,1979,52.1106109619141
Jordan,JOR,2003,84.7139205932617
Jordan,JOR,2005,87.0058135986328
Jordan,JOR,2007,88.9033126831055
Jordan,JOR,2010,89.2077407836914
Jordan,JOR,2011,93.9334564208984
Jordan,JOR,2012,97.3720092773438
Jordan,JOR,2015,97.4907073974609
Kazakhstan,KAZ,1989,96.1387710571289
Kazakhstan,KAZ,1999,99.2899017333984
Kazakhstan,KAZ,2009,99.6842880249023
Kazakhstan,KAZ,2015,99.7731399536133
Kenya,KEN,2000,77.8929824829102
Kenya,KEN,2007,66.8631210327148
Kenya,KEN,2015,74.969841003418
Kuwait,KWT,1975,48.015209197998
Kuwait,KWT,1980,59.1105003356934
Kuwait,KWT,1985,68.8493728637695
Kuwait,KWT,1995,74.1487197875977
Kuwait,KWT,2005,91.0425033569336
Kuwait,KWT,2006,90.8286285400391
Kuwait,KWT,2007,91.5034866333008
Kuwait,KWT,2008,91.7930221557617
Kuwait,KWT,2012,94.9652481079102
Kuwait,KWT,2013,94.3011627197266
Kuwait,KWT,2015,95.2303924560547
Kyrgyzstan,KGZ,1999,98.1306304931641
Kyrgyzstan,KGZ,2009,98.9812088012695
Kyrgyzstan,KGZ,2015,99.3713607788086
Laos,LAO,1995,47.9023590087891
Laos,LAO,2000,58.4607009887695
Laos,LAO,2001,60.9025192260742
Laos,LAO,2005,63.2269897460938
Laos,LAO,2015,72.8244171142578
Latin America & Caribbean,,1985,86.2791748046875
Latin America & Caribbean,,1986,86.2791748046875
Latin America & Caribbean,,1987,86.2791748046875
Latin America & Caribbean,,1988,86.2791748046875
Latin America & Caribbean,,1989,86.2791748046875
Latin America & Caribbean,,1990,86.2791748046875
Latin America & Caribbean,,1991,86.2791748046875
Latin America & Caribbean,,1992,86.2791748046875
Latin America & Caribbean,,1993,86.2791748046875
Latin America & Caribbean,,1994,86.2791748046875
Latin America & Caribbean,,1995,88.6293029785156
Latin America & Caribbean,,1996,88.6293029785156
Latin America & Caribbean,,1997,88.6293029785156
Latin America & Caribbean,,1998,88.6293029785156
Latin America & Caribbean,,1999,88.6293029785156
Latin America & Caribbean,,2000,88.6293029785156
Latin America & Caribbean,,2001,88.6293029785156
Latin America & Caribbean,,2002,88.6293029785156
Latin America & Caribbean,,2003,88.6293029785156
Latin America & Caribbean,,2004,88.6293029785156
Latin America & Caribbean,,2005,91.9613876342773
Latin America & Caribbean,,2006,91.9613876342773
Latin America & Caribbean,,2007,91.9613876342773
Latin America & Caribbean,,2008,91.9613876342773
Latin America & Caribbean,,2009,91.9613876342773
Latin America & Caribbean,,2010,91.9613876342773
Latin America & Caribbean,,2011,91.9613876342773
Latin America & Caribbean,,2012,91.9613876342773
Latin America & Caribbean,,2013,91.9613876342773
Latin America & Caribbean,,2014,91.9613876342773
Latin America & Caribbean (all income levels),,1985,86.6808776855469
Latin America & Caribbean (all income levels),,1986,86.6808776855469
Latin America & Caribbean (all income levels),,1987,86.6808776855469
Latin America & Caribbean (all income levels),,1988,86.6808776855469
Latin America & Caribbean (all income levels),,1989,86.6808776855469
Latin America & Caribbean (all income levels),,1990,86.6808776855469
Latin America & Caribbean (all income levels),,1991,86.6808776855469
Latin America & Caribbean (all income levels),,1992,86.6808776855469
Latin America & Caribbean (all income levels),,1993,86.6808776855469
Latin America & Caribbean (all income levels),,1994,86.6808776855469
Latin America & Caribbean (all income levels),,1995,88.9609146118164
Latin America & Caribbean (all income levels),,1996,88.9609146118164
Latin America & Caribbean (all income levels),,1997,88.9609146118164
Latin America & Caribbean (all income levels),,1998,88.9609146118164
Latin America & Caribbean (all income levels),,1999,88.9609146118164
Latin America & Caribbean (all income levels),,2000,88.9609146118164
Latin America & Caribbean (all income levels),,2001,88.9609146118164
Latin America & Caribbean (all income levels),,2002,88.9609146118164
Latin America & Caribbean (all income levels),,2003,88.9609146118164
Latin America & Caribbean (all income levels),,2004,88.9609146118164
Latin America & Caribbean (all income levels),,2005,92.1643218994141
Latin America & Caribbean (all income levels),,2006,92.1643218994141
Latin America & Caribbean (all income levels),,2007,92.1643218994141
Latin America & Caribbean (all income levels),,2008,92.1643218994141
Latin America & Caribbean (all income levels),,2009,92.1643218994141
Latin America & Caribbean (all income levels),,2010,92.1643218994141
Latin America & Caribbean (all income levels),,2011,92.1643218994141
Latin America & Caribbean (all income levels),,2012,92.1643218994141
Latin America & Caribbean (all income levels),,2013,92.1643218994141
Latin America & Caribbean (all income levels),,2014,92.1643218994141
Latvia,LVA,1989,99.2025527954102
Latvia,LVA,2000,99.7097320556641
Latvia,LVA,2011,99.9079208374023
Latvia,LVA,2015,99.9077072143555
Least developed countries: UN classification,,1985,35.3351783752441
Least developed countries: UN classification,,1986,35.3351783752441
Least developed countries: UN classification,,1987,35.3351783752441
Least developed countries: UN classification,,1988,35.3351783752441
Least developed countries: UN classification,,1989,35.3351783752441
Least developed countries: UN classification,,1990,35.3351783752441
Least developed countries: UN classification,,1991,35.3351783752441
Least developed countries: UN classification,,1992,35.3351783752441
Least developed countries: UN classification,,1993,35.3351783752441
Least developed countries: UN classification,,1994,35.3351783752441
