Entity,Code,Year,"Percentage of all students in tertiary education enrolled in ISCED 6, both sexes (%) (%)"
Europe & Central Asia (all income levels),,2012,54.6459007263184
Europe & Central Asia (all income levels),,2013,55.6565895080566
Europe & Central Asia (all income levels),,2014,58.3006210327148
European Union,,2012,57.1352882385254
European Union,,2013,60.2718200683594
European Union,,2014,60.9109191894531
Finland,FIN,2013,73.8726119995117
Finland,FIN,2014,73.0263290405273
France,FRA,2013,39.8500518798828
France,FRA,2014,40.246768951416
Georgia,GEO,2013,86.4225769042969
Georgia,GEO,2014,86.6741561889648
Germany,DEU,2013,58.8452987670898
Germany,DEU,2014,59.570930480957
Ghana,GHA,2013,56.7998199462891
Ghana,GHA,2014,56.777458190918
Greece,GRC,2013,89.218147277832
Guinea,GIN,2013,80.8567962646484
Guinea,GIN,2014,78.2725601196289
Heavily indebted poor countries (HIPC),,2012,73.4674301147461
Heavily indebted poor countries (HIPC),,2013,72.4912185668945
Heavily indebted poor countries (HIPC),,2014,73.4947509765625
High income,,2012,61.2546882629395
High income,,2013,57.5377998352051
High income,,2014,57.9078903198242
Honduras,HND,2013,91.4795227050781
Honduras,HND,2014,92.132926940918
Hong Kong,HKG,2013,47.227840423584
Hong Kong,HKG,2014,49.499870300293
Hungary,HUN,2013,66.1895599365234
Hungary,HUN,2014,69.3675918579102
India,IND,2013,86.2568511962891
Iran,IRN,2013,65.6156997680664
Iran,IRN,2014,62.3419914245605
Ireland,IRL,2013,60.7788314819336
Israel,ISR,2013,64.6994934082031
Israel,ISR,2014,64.8395614624023
Italy,ITA,2013,59.1800193786621
Japan,JPN,2013,69.4826431274414
Kazakhstan,KAZ,2013,76.6318969726563
Kazakhstan,KAZ,2014,67.7014465332031
Kazakhstan,KAZ,2015,72.5057067871094
Kuwait,KWT,2013,77.2532196044922
Laos,LAO,2013,62.3763618469238
Laos,LAO,2014,56.8120193481445
Latin America & Caribbean,,2012,76.8529663085938
Latin America & Caribbean,,2013,81.0181884765625
Latin America & Caribbean,,2014,82.8613891601563
Latin America & Caribbean (all income levels),,2012,75.4138565063477
Latin America & Caribbean (all income levels),,2013,80.1039810180664
Latin America & Caribbean (all income levels),,2014,81.7209320068359
Latvia,LVA,2013,66.9750366210938
Latvia,LVA,2014,64.6307067871094
Least developed countries: UN classification,,2013,78.3623504638672
Least developed countries: UN classification,,2014,78.9065475463867
Lebanon,LBN,2013,82.8051300048828
Lebanon,LBN,2014,81.7670822143555
Lesotho,LSO,2013,39.5256118774414
Lesotho,LSO,2014,44.5147590637207
Liechtenstein,LIE,2014,56.3855400085449
Lithuania,LTU,2013,77.9730072021484
Lithuania,LTU,2014,76.7449111938477
Low & middle income,,2012,67.1699523925781
Low & middle income,,2013,69.4292984008789
Low & middle income,,2014,69.4320983886719
Low income,,2012,72.8581085205078
Low income,,2013,74.1369705200195
Low income,,2014,75.8118667602539
Lower middle income,,2012,76.9095611572266
Lower middle income,,2013,80.5612335205078
Lower middle income,,2014,80.7184371948242
Macao,MAC,2013,77.4841613769531
Macao,MAC,2014,77.1958923339844
Macedonia,MKD,2013,93.7773971557617
Madagascar,MDG,2013,80.1310577392578
Malaysia,MYS,1999,51.3713798522949
Malaysia,MYS,2000,50.9549293518066
Malaysia,MYS,2001,51.9137802124023
Malaysia,MYS,2002,48.7766304016113
Malaysia,MYS,2003,48.4792594909668
Malaysia,MYS,2004,53.5490798950195
Malaysia,MYS,2005,58.6287994384766
Malaysia,MYS,2006,52.4024505615234
Malaysia,MYS,2007,54.8337211608887
Malaysia,MYS,2008,55.195671081543
Malaysia,MYS,2009,54.5171699523926
Malaysia,MYS,2010,55.2614784240723
Malaysia,MYS,2011,55.2314186096191
Malaysia,MYS,2012,56.8609809875488
Malaysia,MYS,2013,58.0285491943359
Malaysia,MYS,2014,70.9860229492188
Malta,MLT,2013,54.9864807128906
Malta,MLT,2014,54.9801712036133
Mauritania,MRT,2015,87.0817337036133
Mauritius,MUS,2013,72.0429611206055
Mauritius,MUS,2014,79.7463989257813
Mexico,MEX,2013,88.9636764526367
Mexico,MEX,2014,88.9791793823242
Middle East & North Africa,,2012,74.5166168212891
Middle East & North Africa,,2013,75.1693801879883
Middle East & North Africa,,2014,73.7532730102539
Middle East & North Africa (all income levels),,2012,75.0790863037109
Middle East & North Africa (all income levels),,2013,75.759521484375
Middle East & North Africa (all income levels),,2014,74.7768325805664
Middle income,,2012,67.0057601928711
Middle income,,2013,69.2910385131836
Middle income,,2014,69.2481918334961
Moldova,MDA,2013,67.4998397827148
Mongolia,MNG,2013,88.6286087036133
Mongolia,MNG,2014,87.6264877319336
Mozambique,MOZ,2010,96.059700012207
Mozambique,MOZ,2012,94.2631607055664
Mozambique,MOZ,2013,92.4019927978516
Mozambique,MOZ,2014,95.0111465454102
Nepal,NPL,2013,85.2703018188477
Nepal,NPL,2014,86.918830871582
New Zealand,NZL,2013,69.5953598022461
New Zealand,NZL,2014,68.9542999267578
North America,,2012,61.9318313598633
North America,,2013,48.1980400085449
North America,,2014,48.1017417907715
Norway,NOR,2013,71.2316436767578
Norway,NOR,2014,70.7668609619141
OECD members,,2012,62.4533805847168
OECD members,,2013,58.8003196716309
OECD members,,2014,59.043399810791
Oman,OMN,2014,78.3129730224609
Pakistan,PAK,2013,77.6300582885742
Pakistan,PAK,2014,77.7584991455078
Palestine,PSE,2013,82.7837371826172
Palestine,PSE,2014,84.1493911743164
Panama,PAN,2012,85.1404571533203
Panama,PAN,2013,86.3051300048828
Philippines,PHL,2010,87.5992279052734
Philippines,PHL,2011,88.0538864135742
Philippines,PHL,2012,88.0752029418945
Philippines,PHL,2013,88.3311996459961
Philippines,PHL,2014,88.3291702270508
Poland,POL,2013,66.561149597168
Portugal,PRT,2013,62.4064712524414
Portugal,PRT,2014,60.9770812988281
Qatar,QAT,2013,72.6581192016602
Qatar,QAT,2014,72.8845825195313
Romania,ROU,2013,66.262451171875
Romania,ROU,2014,65.1688385009766
Russia,RUS,2013,30.1452808380127
Russia,RUS,2014,42.8090591430664
Rwanda,RWA,2013,88.4932632446289
Saint Kitts and Nevis,KNA,2014,6.36177015304565
Saint Lucia,LCA,2013,46.4254989624023
Saint Lucia,LCA,2014,50.1766815185547
Saudi Arabia,SAU,2013,83.4258728027344
Saudi Arabia,SAU,2014,84.6659088134766
Serbia,SRB,2013,83.0534210205078
Serbia,SRB,2014,82.6269912719727
Seychelles,SYC,2014,84.4074783325195
Sint Maarten (Dutch part),SXM,2014,39.3258399963379
Slovakia,SVK,2013,57.6521301269531
Slovakia,SVK,2014,57.1881294250488
Slovenia,SVN,2013,56.153148651123
Slovenia,SVN,2014,56.3792495727539
South Africa,ZAF,2012,59.9394912719727
South Africa,ZAF,2013,61.5178298950195
South Asia,,2012,78.6201324462891
South Asia,,2013,85.3938903808594
South Asia,,2014,85.4963989257813
South Korea,KOR,2013,66.7529296875
Spain,ESP,2013,55.0931701660156
Spain,ESP,2014,59.5483589172363
Sri Lanka,LKA,2013,82.4344711303711
Sri Lanka,LKA,2014,81.7705535888672
Sub-Saharan Africa,,2012,64.4276733398438
Sub-Saharan Africa,,2013,63.8221282958984
Sub-Saharan Africa,,2014,64.1712265014648
Sub-Saharan Africa (all income levels),,2012,64.427848815918
Sub-Saharan Africa (all income levels),,2013,63.8223609924316
Sub-Saharan Africa (all income levels),,2014,64.172477722168
Sudan,SDN,2013,72.9124526977539
Sweden,SWE,2013,57.942798614502
Sweden,SWE,2014,57.5555801391602
Switzerland,CHE,2013,66.5652236938477
Switzerland,CHE,2014,66.8159713745117
Tanzania,TZA,2013,88.3869781494141
Thailand,THA,2014,77.2955093383789
Togo,TGO,2013,84.8341522216797
Togo,TGO,2014,80.8883895874023
Tunisia,TUN,2013,66.3789672851563
Tunisia,TUN,2014,65.9598236083984
Turkey,TUR,2013,61.3517112731934
Turks and Caicos Islands,TCA,2015,27.9720306396484
Ukraine,UKR,2013,52.31201171875
Ukraine,UKR,2014,49.9694786071777
United Arab Emirates,ARE,2013,80.6034317016602
United Arab Emirates,ARE,2014,81.7055816650391
United Kingdom,GBR,2013,63.9812507629395
United Kingdom,GBR,2014,65.1389999389648
United States,USA,2013,48.227409362793
United States,USA,2014,48.0388298034668
Upper middle income,,2012,59.9457511901855
Upper middle income,,2013,61.3913612365723
Upper middle income,,2014,61.7270889282227
Vietnam,VNM,2013,64.5798873901367
Vietnam,VNM,2014,73.9059906005859
World,OWID_WRL,2012,65.5201721191406
World,OWID_WRL,2013,66.2057800292969
World,OWID_WRL,2014,66.4446182250977
Zimbabwe,ZWE,2013,60.0903205871582
