Entity,Code,Year,Trust in others (%)
Morocco,MAR,2009,12.99915
Morocco,MAR,2014,12.44743
Netherlands,NLD,2009,43.00971
Netherlands,NLD,2014,66.1757
New Zealand,NZL,1998,48.3871
New Zealand,NZL,2009,51.16022
New Zealand,NZL,2014,56.22733
Nigeria,NGA,1993,21.67832
Nigeria,NGA,1998,17.25067
Nigeria,NGA,2004,25.32146
Nigeria,NGA,2014,14.78113
Norway,NOR,1998,64.77374
Norway,NOR,2009,73.73047
Pakistan,PAK,1998,18.69031
Pakistan,PAK,2004,28.15
Pakistan,PAK,2014,23.54949
Palestine,PSE,2014,15.8
Peru,PER,1998,4.87201
Peru,PER,2004,10.59294
Peru,PER,2009,6.41892
Peru,PER,2014,8.21577
Philippines,PHL,1998,5.5
Philippines,PHL,2004,8.5
Philippines,PHL,2014,2.83333
Poland,POL,1993,34.46659
Poland,POL,1998,16.9124
Poland,POL,2009,18.63727
Poland,POL,2014,22.25673
Puerto Rico,PRI,1998,5.98958
Puerto Rico,PRI,2004,22.39221
Qatar,QAT,2014,21.4151
Romania,ROU,1998,17.91768
Romania,ROU,2009,19.66648
Romania,ROU,2014,7.07138
Russia,RUS,1993,34.72718
Russia,RUS,1998,23.23529
Russia,RUS,2009,25.24801
Russia,RUS,2014,27.73516
Rwanda,RWA,2009,4.85695
Rwanda,RWA,2014,16.63392
Saudi Arabia,SAU,2004,50.53262
Serbia,SRB,1998,28.4375
Serbia,SRB,2004,18.33333
Serbia,SRB,2009,13.75311
Singapore,SGP,2004,14.55026
Singapore,SGP,2014,38.51626
Slovakia,SVK,1993,23.01075
Slovakia,SVK,1998,25.75342
Slovenia,SVN,1998,15.29295
Slovenia,SVN,2009,17.58989
Slovenia,SVN,2014,19.98124
South Africa,ZAF,1984,29.03001
South Africa,ZAF,1993,29.14418
South Africa,ZAF,1998,15.36627
South Africa,ZAF,2004,12.9
South Africa,ZAF,2014,23.50609
South Korea,KOR,1984,38.01743
South Korea,KOR,1993,34.17413
South Korea,KOR,1998,30.26421
South Korea,KOR,2004,27.33333
South Korea,KOR,2009,30.15203
South Korea,KOR,2014,29.67309
Spain,ESP,1993,29.00662
Spain,ESP,1998,28.65401
Spain,ESP,2004,32.75434
Spain,ESP,2009,19.73244
Spain,ESP,2014,19.01944
Sweden,SWE,1998,56.59068
Sweden,SWE,2009,68.01661
Sweden,SWE,2014,63.75839
Switzerland,CHE,1993,26.28571
Switzerland,CHE,1998,34.48845
Switzerland,CHE,2009,49.42904
Taiwan,TWN,1998,37.16129
Taiwan,TWN,2009,24.20538
Taiwan,TWN,2014,29.63563
Tanzania,TZA,2004,7.8125
Thailand,THA,2009,41.5082
Thailand,THA,2014,32.57384
Trinidad and Tobago,TTO,2009,3.7962
Trinidad and Tobago,TTO,2014,3.2032
Tunisia,TUN,2014,15.51867
Turkey,TUR,1993,9.80583
Turkey,TUR,1998,5.45359
Turkey,TUR,2004,19.15777
Turkey,TUR,2009,4.769
Turkey,TUR,2014,12.00762
Uganda,UGA,2004,7.78443
Ukraine,UKR,1998,28.77979
Ukraine,UKR,2009,27.36156
Ukraine,UKR,2014,23.71274
United Kingdom,GBR,1998,29.09424
United Kingdom,GBR,2009,29.96146
United States,USA,1998,35.21401
United States,USA,2004,35.91667
United States,USA,2009,39.56487
United States,USA,2014,38.17277
Uruguay,URY,1998,21.1
Uruguay,URY,2009,28.43931
Uruguay,URY,2014,14.43515
Uzbekistan,UZB,2014,13.92236
Venezuela,VEN,1998,13.33333
Venezuela,VEN,2004,15.83333
Vietnam,VNM,2004,38.7
Vietnam,VNM,2009,51.00536
Yemen,YEM,2014,38.5
Zambia,ZMB,2009,11.04295
Zimbabwe,ZWE,2004,10.97804
Zimbabwe,ZWE,2014,7.2
