Entity,Code,Year,"Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018))  (%)"
Kyrgyzstan,KGZ,2010,51.09
Latvia,LVA,1990,95.56
Latvia,LVA,1995,89.69
Latvia,LVA,2000,93.25
Latvia,LVA,2005,88.12
Latvia,LVA,2010,89.53
Latvia,LVA,2015,90.21
Lebanon,LBN,2005,76.02
Lebanon,LBN,2010,79.37
Lebanon,LBN,2015,79.88
Lesotho,LSO,2000,12.84
Lesotho,LSO,2005,35.36
Liberia,LBR,2000,37.9
Liechtenstein,LIE,2000,90.52
Liechtenstein,LIE,2005,90.24
Liechtenstein,LIE,2010,94.71
Lithuania,LTU,1995,84.18
Lithuania,LTU,2000,88.71
Lithuania,LTU,2005,92.27
Lithuania,LTU,2010,92.29
Lithuania,LTU,2015,93.33
Luxembourg,LUX,1980,84.63
Luxembourg,LUX,1985,79.41
Luxembourg,LUX,1990,78.73
Luxembourg,LUX,1995,76.91
Luxembourg,LUX,2000,77.71
Luxembourg,LUX,2005,84.78
Luxembourg,LUX,2010,87.63
Luxembourg,LUX,2015,86.4
Macao,MAC,2005,92.95
Macao,MAC,2010,95.01
Macao,MAC,2015,95.62
Macedonia,MKD,2000,75.87
Macedonia,MKD,2005,74.57
Macedonia,MKD,2010,74.39
Macedonia,MKD,2015,58.02
Madagascar,MDG,1995,61.07
Madagascar,MDG,2000,40.27
Madagascar,MDG,2005,57.94
Malawi,MWI,1995,0
Malawi,MWI,2000,4.46
Malawi,MWI,2005,29.15
Malaysia,MYS,2000,93.58
Malaysia,MYS,2005,89.95
Malaysia,MYS,2010,80.34
Malaysia,MYS,2015,83.13
Mali,MLI,2000,5.39
Malta,MLT,2005,88.42
Malta,MLT,2010,88.42
Malta,MLT,2015,88.62
Mauritius,MUS,1995,72.48
Mauritius,MUS,2000,64.85
Mauritius,MUS,2005,69.93
Mauritius,MUS,2010,73.97
Mexico,MEX,1995,52.3
Mexico,MEX,2000,58.15
Mexico,MEX,2005,66.03
Mexico,MEX,2010,73.62
Mexico,MEX,2015,71.21
Mexico (Nuevo Leo),,2005,75.66
Mexico (Nuevo Leo),,2010,78.08
Mexico (Nuevo Leo),,2015,81.2
Moldova,MDA,2000,82.48
Moldova,MDA,2005,83.24
Moldova,MDA,2010,65.8
Moldova,MDA,2015,72.34
Mongolia,MNG,2000,60.63
Mongolia,MNG,2005,76.32
Montenegro,MNE,2005,68.47
Montenegro,MNE,2010,67.14
Montenegro,MNE,2015,71.42
Morocco,MAR,2000,44.66
Morocco,MAR,2005,51.82
Morocco,MAR,2010,49.28
Morocco,MAR,2015,56.91
Mozambique,MOZ,1990,38.78
Mozambique,MOZ,2000,65.87
Mozambique,MOZ,2005,40.3
Namibia,NAM,1995,0
Namibia,NAM,2000,2.7
Namibia,NAM,2005,33.86
Nepal,NPL,2000,19.79
Netherlands,NLD,1970,83.75
Netherlands,NLD,1975,84.95
Netherlands,NLD,1980,86.21
Netherlands,NLD,1985,87.53
Netherlands,NLD,1990,88.95
Netherlands,NLD,1995,94.71
Netherlands,NLD,2000,96.27
Netherlands,NLD,2005,92.59
Netherlands,NLD,2010,93.6
Netherlands,NLD,2015,91.75
New Zealand,NZL,1970,95.91
New Zealand,NZL,1975,90.35
New Zealand,NZL,1980,79.75
New Zealand,NZL,1985,81.2
New Zealand,NZL,1990,79.64
New Zealand,NZL,1995,79.98
New Zealand,NZL,2000,86.45
New Zealand,NZL,2005,89.93
New Zealand,NZL,2010,88.65
New Zealand,NZL,2015,88.6
Nicaragua,NIC,2005,49.47
Nicaragua,NIC,2010,49.37
Nicaragua,NIC,2015,50.93
Niger,NER,2000,0
Nigeria,NGA,1980,66.64
Nigeria,NGA,1995,45.02
Northern Ireland,,2010,93.26
Northern Ireland,,2015,95.07
Norway,NOR,2000,89.08
Norway,NOR,2005,85.73
Norway,NOR,2010,88.51
Norway,NOR,2015,94.74
Oman,OMN,1995,65.56
Oman,OMN,2005,57.81
Oman,OMN,2010,55.46
Oman,OMN,2015,66.95
Pakistan,PAK,2000,58.13
Palestine,PSE,2005,59.87
Palestine,PSE,2010,60.46
Panama,PAN,2005,48.1
Panama,PAN,2010,54.76
Panama,PAN,2015,50.95
Paraguay,PRY,1995,40.76
Paraguay,PRY,2005,53.62
Paraguay,PRY,2010,53.46
Paraguay,PRY,2015,51.77
Peru,PER,1995,12.75
Peru,PER,2000,35.22
Peru,PER,2005,48.66
Peru,PER,2010,58.55
Peru,PER,2015,64.53
Philippines,PHL,2000,47.14
Philippines,PHL,2005,51.01
Poland,POL,2000,81.52
Poland,POL,2005,87.74
Poland,POL,2010,90.7
Poland,POL,2015,91.53
Portugal,PRT,1990,66.69
Portugal,PRT,1995,80.65
Portugal,PRT,2000,80.9
Portugal,PRT,2005,81.69
Portugal,PRT,2010,88.45
Portugal,PRT,2015,88.25
Puerto Rico,PRI,2015,57.18
Qatar,QAT,2005,45.46
Qatar,QAT,2010,41.45
Qatar,QAT,2015,75.18
Romania,ROU,1995,82.79
Romania,ROU,2000,83.11
Romania,ROU,2005,82.86
Romania,ROU,2010,79.46
Romania,ROU,2015,79.18
Russia,RUS,1990,97.25
Russia,RUS,1995,93.87
Russia,RUS,2000,93.33
Russia,RUS,2005,93.16
Russia,RUS,2010,94.69
Russia,RUS,2015,95.65
Saudi Arabia,SAU,2005,44.23
Saudi Arabia,SAU,2010,50.82
Saudi Arabia,SAU,2015,55.53
Scotland,,1970,79.97
Scotland,,1975,78.44
Scotland,,1980,78.8
Scotland,,1985,80.54
Scotland,,1990,82.42
Scotland,,1995,84.45
Scotland,,2000,88.7
Scotland,,2005,90.4
Senegal,SEN,1995,0
Senegal,SEN,2000,35.28
Senegal,SEN,2005,31.66
Serbia,SRB,2005,86.32
Serbia,SRB,2010,80.15
Serbia,SRB,2015,89.64
Seychelles,SYC,2000,61.39
Seychelles,SYC,2005,58
Singapore,SGP,1985,95.33
Singapore,SGP,1990,97.27
Singapore,SGP,1995,99.73
Singapore,SGP,2000,98.96
Singapore,SGP,2005,98.26
Singapore,SGP,2010,98.47
Singapore,SGP,2015,98.99
Slovakia,SVK,1995,95.94
Slovakia,SVK,2000,94.96
Slovakia,SVK,2005,86.9
Slovakia,SVK,2010,88.77
Slovakia,SVK,2015,85.87
Slovenia,SVN,1990,78.97
Slovenia,SVN,1995,96.54
Slovenia,SVN,2000,94.1
Slovenia,SVN,2005,92.21
Slovenia,SVN,2010,93.36
Slovenia,SVN,2015,95.22
South Africa,ZAF,1995,38.48
South Africa,ZAF,2000,29.01
South Africa,ZAF,2005,33.34
South Africa,ZAF,2010,44
South Africa,ZAF,2015,53.2
South Korea,KOR,1985,89.14
South Korea,KOR,1990,93.32
South Korea,KOR,1995,97.7
South Korea,KOR,2000,98.55
South Korea,KOR,2005,98.14
South Korea,KOR,2010,98.58
South Korea,KOR,2015,98.87
Spain,ESP,1990,87.35
Spain,ESP,1995,88.77
Spain,ESP,2000,84.76
Spain,ESP,2005,83.29
Spain,ESP,2010,88.45
Spain,ESP,2015,88.95
Spain (Basque Country),,2005,93.41
Spain (regions),,2015,88.86
Sri Lanka,LKA,2000,41.9
Swaziland,SWZ,1980,64.26
Swaziland,SWZ,2000,56.87
Swaziland,SWZ,2005,52.19
Sweden,SWE,1970,96.55
Sweden,SWE,1975,97.6
Sweden,SWE,1980,76.65
Sweden,SWE,1985,81.59
Sweden,SWE,1990,87.48
Sweden,SWE,1995,96.33
Sweden,SWE,2000,92.25
Sweden,SWE,2005,92.28
Sweden,SWE,2010,91.2
Sweden,SWE,2015,92.77
Switzerland,CHE,1990,98.09
Switzerland,CHE,1995,98.94
Switzerland,CHE,2000,92.25
Switzerland,CHE,2005,91.89
Switzerland,CHE,2010,93.61
Switzerland,CHE,2015,91.62
Syria,SYR,2005,52.5
Syria,SYR,2010,62.8
Taiwan,TWN,1990,100
Taiwan,TWN,2000,96.21
Taiwan,TWN,2005,96.64
Taiwan,TWN,2010,96.92
Taiwan,TWN,2015,97.33
Tanzania,TZA,2000,54.98
Tanzania,TZA,2005,57.32
Thailand,THA,1970,92.18
Thailand,THA,1975,92.34
Thailand,THA,1980,79.56
Thailand,THA,1985,83.58
Thailand,THA,1990,87.95
Thailand,THA,1995,93.19
Thailand,THA,2000,83.75
Thailand,THA,2005,80.74
Thailand,THA,2010,76.18
Thailand,THA,2015,73.82
Togo,TGO,2000,29.12
Togo,TGO,2005,34.46
Togo,TGO,2010,39.05
Trinidad and Tobago,TTO,2010,69.62
Trinidad and Tobago,TTO,2015,70.3
Tunisia,TUN,2000,77.24
Tunisia,TUN,2005,54.73
Tunisia,TUN,2010,59.53
Tunisia,TUN,2015,55.24
Turkey,TUR,2000,70.87
Turkey,TUR,2005,72.04
Turkey,TUR,2010,74.09
Turkey,TUR,2015,79.45
Uganda,UGA,2000,41.89
Uganda,UGA,2005,39.07
Ukraine,UKR,2005,83.7
Ukraine,UKR,2010,84.63
United Arab Emirates,ARE,2010,71.33
United Arab Emirates,ARE,2015,80.84
United Arab Emirates (Abu Dhabi),,2010,73.83
United Arab Emirates (Abu Dhabi),,2015,73.75
United Arab Emirates (Dubai),,2005,82.35
United Arab Emirates (Dubai),,2010,82.83
United Arab Emirates (Dubai),,2015,91.44
United Kingdom,GBR,1990,90.08
United Kingdom,GBR,2000,93.8
United Kingdom,GBR,2005,85.25
United Kingdom,GBR,2010,89.9
United Kingdom,GBR,2015,88.62
United States,USA,1970,77.96
United States,USA,1975,77.58
United States,USA,1980,79.03
United States,USA,1985,81.47
United States,USA,1990,85.72
United States,USA,1995,89.77
United States,USA,2000,90.82
United States,USA,2005,92.58
United States,USA,2010,93.31
United States,USA,2015,93.3
United States (Indiana State),,2005,93.74
United States (Massachusetts),,2005,96.49
United States (Massachusetts),,2015,91.18
United States (Minnesota),,2005,97.02
United States (North Carolina),,2015,85.13
Uruguay,URY,2005,73.91
Uruguay,URY,2010,74.93
Uruguay,URY,2015,72.65
Venezuela,VEN,1995,12.57
Venezuela,VEN,2010,68.37
Vietnam,VNM,2015,91.18
Yemen,YEM,2005,31.58
Yemen,YEM,2010,40
Zambia,ZMB,1995,0
Zambia,ZMB,2000,7.52
Zambia,ZMB,2005,27.5
Zanzibar,OWID_ZAN,1995,17.84
Zanzibar,OWID_ZAN,2000,34.33
Zanzibar,OWID_ZAN,2005,38.04
Zimbabwe,ZWE,2005,48.27
