Entity,Code,Year,Burden of Depressive Disorders – Ferrari et al. (2013) (Percentage)
Marshall Islands,MHL,2010,5.71
Mauritania,MRT,2010,4.99
Mauritius,MUS,2010,5.13
Mexico,MEX,2010,2.96
Micronesia (country),FSM,2010,4.36
Moldova,MDA,2010,4.39
Mongolia,MNG,2010,4.78
Montenegro,MNE,2010,6.02
Morocco,MAR,2010,6.85
Mozambique,MOZ,2010,4.58
Myanmar,MMR,2010,5.16
Namibia,NAM,2010,5
Nepal,NPL,2010,3.04
Netherlands,NLD,2010,8.03
New Zealand,NZL,2010,4.65
Nicaragua,NIC,2010,5.15
Niger,NER,2010,4.38
Nigeria,NGA,2010,3.69
North Africa/Middle East,,2010,7.35
"North America, High Income",,2010,4.44
North Korea,PRK,2010,2.61
Norway,NOR,2010,5.94
Oceania,,2010,4.72
Oman,OMN,2010,5.25
Pakistan,PAK,2010,4.83
Palestine,PSE,2010,9.01
Panama,PAN,2010,4.66
Papua New Guinea,PNG,2010,5.02
Paraguay,PRY,2010,6.39
Peru,PER,2010,4.89
Philippines,PHL,2010,5.22
Poland,POL,2010,3.91
Portugal,PRT,2010,4.32
Qatar,QAT,2010,7.99
Romania,ROU,2010,4.28
Russia,RUS,2010,6.52
Rwanda,RWA,2010,7.31
Saint Lucia,LCA,2010,4.25
Saint Vincent and the Grenadines,VCT,2010,5.36
Samoa,WSM,2010,4.37
Sao Tome and Principe,STP,2010,6.51
Saudi Arabia,SAU,2010,5.9
Senegal,SEN,2010,4.47
Serbia,SRB,2010,4.01
Seychelles,SYC,2010,5.21
Sierra Leone,SLE,2010,5.65
Singapore,SGP,2010,5.74
Slovakia,SVK,2010,3.6
Slovenia,SVN,2010,4.52
Solomon Islands,SLB,2010,3.44
Somalia,SOM,2010,6.34
South Africa,ZAF,2010,4.55
South Korea,KOR,2010,2.48
Spain,ESP,2010,4.33
Sri Lanka,LKA,2010,4.73
"Sub-Saharan Africa, Central",,2010,5.7
"Sub-Saharan Africa, East",,2010,5.43
"Sub-Saharan Africa, Southern",,2010,5.01
"Sub-Saharan Africa, West",,2010,4.18
Sudan,SDN,2010,7.09
Suriname,SUR,2010,5.37
Swaziland,SWZ,2010,5.76
Sweden,SWE,2010,4.76
Switzerland,CHE,2010,6.16
Syria,SYR,2010,7.02
Taiwan,TWN,2010,2.5
Tajikistan,TJK,2010,4.98
Tanzania,TZA,2010,6.35
Thailand,THA,2010,5.2
Timor,TLS,2010,5.96
Togo,TGO,2010,4.49
Tonga,TON,2010,4.43
Trinidad and Tobago,TTO,2010,5.5
Tunisia,TUN,2010,7.07
Turkey,TUR,2010,6.74
Turkmenistan,TKM,2010,6.19
Uganda,UGA,2010,6.35
Ukraine,UKR,2010,3.91
United Arab Emirates,ARE,2010,8.12
United Kingdom,GBR,2010,3.12
United States,USA,2010,4.45
Uruguay,URY,2010,4.65
Uzbekistan,UZB,2010,5.48
Vanuatu,VUT,2010,4.4
Venezuela,VEN,2010,5.06
Vietnam,VNM,2010,3.99
Yemen,YEM,2010,7.11
Zambia,ZMB,2010,5.8
Zimbabwe,ZWE,2010,6.5
