Entity,Code,Year,"Crops - Peas, dry - 187 - Yield - 5419 - hg/ha (tonnes per hectare)"
Asia,,2009,1.0109000000000001
Asia,,2010,0.9647
Asia,,2011,1.2119
Asia,,2012,1.2136
Asia,,2013,1.2074
Asia,,2014,1.1768
Asia,,2015,1.1759000000000002
Asia,,2016,1.1614
Asia,,2017,1.2543
Asia,,2018,1.2311
"Asia, Central",,1992,0.6731
"Asia, Central",,1993,0.6598
"Asia, Central",,1994,0.6566000000000001
"Asia, Central",,1995,0.5264
"Asia, Central",,1996,0.7757000000000001
"Asia, Central",,1997,0.7893
"Asia, Central",,1998,0.9500000000000001
"Asia, Central",,1999,0.9029
"Asia, Central",,2000,0.9666
"Asia, Central",,2001,0.9719000000000001
"Asia, Central",,2002,1.2529000000000001
"Asia, Central",,2003,1.3222
"Asia, Central",,2004,1.1644
"Asia, Central",,2005,1.3065
"Asia, Central",,2006,1.4172
"Asia, Central",,2007,1.4340000000000002
"Asia, Central",,2008,1.1318000000000001
"Asia, Central",,2009,1.1914
"Asia, Central",,2010,0.8934000000000001
"Asia, Central",,2011,1.2813
"Asia, Central",,2012,0.8016000000000001
"Asia, Central",,2013,0.932
"Asia, Central",,2014,0.9760000000000001
"Asia, Central",,2015,1.1046
"Asia, Central",,2016,1.3248
"Asia, Central",,2017,1.3407
"Asia, Central",,2018,1.3664
Australia,AUS,1961,0.9185000000000001
Australia,AUS,1962,0.9827
Australia,AUS,1963,1.077
Australia,AUS,1964,1.0917000000000001
Australia,AUS,1965,0.633
Australia,AUS,1966,0.8163
Australia,AUS,1967,0.41800000000000004
Australia,AUS,1968,1.0390000000000001
Australia,AUS,1969,0.8475
Australia,AUS,1970,1.0285
Australia,AUS,1971,1.0772000000000002
Australia,AUS,1972,0.6763
Australia,AUS,1973,0.9928
Australia,AUS,1974,1.0945
Australia,AUS,1975,1.0228000000000002
Australia,AUS,1976,0.8381000000000001
Australia,AUS,1977,0.5122
Australia,AUS,1978,1.2578
Australia,AUS,1979,1.1371
Australia,AUS,1980,1.1555
Australia,AUS,1981,1.2463
Australia,AUS,1982,1.3073000000000001
Australia,AUS,1983,1.4422000000000001
Australia,AUS,1984,1.1758
Australia,AUS,1985,1.1571
Australia,AUS,1986,1.6348
Australia,AUS,1987,1.1012
Australia,AUS,1988,1.1334
Australia,AUS,1989,1.1793
Australia,AUS,1990,1.0001
Australia,AUS,1991,1.1079
Australia,AUS,1992,1.1935
Australia,AUS,1993,1.3967
Australia,AUS,1994,0.522
Australia,AUS,1995,1.3886
Australia,AUS,1996,1.3518000000000001
Australia,AUS,1997,0.8626
Australia,AUS,1998,0.8076
Australia,AUS,1999,1.1131
Australia,AUS,2000,1.1486
Australia,AUS,2001,1.5193
Australia,AUS,2002,0.46950000000000003
Australia,AUS,2003,1.3760000000000001
Australia,AUS,2004,0.7011000000000001
Australia,AUS,2005,1.5984
Australia,AUS,2006,0.36460000000000004
Australia,AUS,2007,0.9147000000000001
Australia,AUS,2008,0.7944
Australia,AUS,2009,1.2491
Australia,AUS,2010,0.9821000000000001
Australia,AUS,2011,1.243
Australia,AUS,2012,1.3761
Australia,AUS,2013,1.1398000000000001
Australia,AUS,2014,1.3992
Australia,AUS,2015,1.2253
Australia,AUS,2016,1.2168
Australia,AUS,2017,1.8052000000000001
Australia,AUS,2018,1.0882
Australia & New Zealand,,1961,1.3474000000000002
Australia & New Zealand,,1962,1.2655
Australia & New Zealand,,1963,1.5288000000000002
Australia & New Zealand,,1964,1.6301
Australia & New Zealand,,1965,1.1539000000000001
Australia & New Zealand,,1966,1.3672
Australia & New Zealand,,1967,1.2879
Australia & New Zealand,,1968,1.6229
Australia & New Zealand,,1969,1.6114000000000002
Australia & New Zealand,,1970,1.4519
Australia & New Zealand,,1971,1.5399
Australia & New Zealand,,1972,1.615
Australia & New Zealand,,1973,1.9565000000000001
Australia & New Zealand,,1974,1.8845
Australia & New Zealand,,1975,1.6569
Australia & New Zealand,,1976,1.8891
Australia & New Zealand,,1977,1.2464
Australia & New Zealand,,1978,1.8483
Australia & New Zealand,,1979,1.6800000000000002
Australia & New Zealand,,1980,1.661
Australia & New Zealand,,1981,1.5629000000000002
Australia & New Zealand,,1982,1.992
Australia & New Zealand,,1983,1.8224
Australia & New Zealand,,1984,1.4875
Australia & New Zealand,,1985,1.3742
Australia & New Zealand,,1986,1.6934
Australia & New Zealand,,1987,1.2354
Australia & New Zealand,,1988,1.2287000000000001
Australia & New Zealand,,1989,1.2523
Australia & New Zealand,,1990,1.1181
Australia & New Zealand,,1991,1.2067
Australia & New Zealand,,1992,1.3126
Australia & New Zealand,,1993,1.4821
Australia & New Zealand,,1994,0.6253000000000001
Australia & New Zealand,,1995,1.4658
Australia & New Zealand,,1996,1.4263000000000001
Australia & New Zealand,,1997,0.9584
Australia & New Zealand,,1998,0.9346000000000001
Australia & New Zealand,,1999,1.2122000000000002
Australia & New Zealand,,2000,1.247
Australia & New Zealand,,2001,1.5706
Australia & New Zealand,,2002,0.5318
Australia & New Zealand,,2003,1.4274
Australia & New Zealand,,2004,0.756
Australia & New Zealand,,2005,1.6346
Australia & New Zealand,,2006,0.41490000000000005
Australia & New Zealand,,2007,0.9692000000000001
Australia & New Zealand,,2008,0.8438
Australia & New Zealand,,2009,1.2896
Australia & New Zealand,,2010,1.0672000000000001
Australia & New Zealand,,2011,1.2993000000000001
Australia & New Zealand,,2012,1.4205
Australia & New Zealand,,2013,1.1976
Australia & New Zealand,,2014,1.4685000000000001
Australia & New Zealand,,2015,1.284
Australia & New Zealand,,2016,1.2911000000000001
Australia & New Zealand,,2017,1.844
Australia & New Zealand,,2018,1.1320000000000001
Austria,AUT,1961,1.8903
Austria,AUT,1962,1.7528000000000001
Austria,AUT,1963,2.0323
Austria,AUT,1964,2.0629
Austria,AUT,1965,1.9533
Austria,AUT,1966,2.198
Austria,AUT,1967,2.3269
Austria,AUT,1968,2.1856
Austria,AUT,1969,2.2762000000000002
Austria,AUT,1970,2.2918000000000003
Austria,AUT,1971,2.221
Austria,AUT,1972,2.4129
Austria,AUT,1973,2.5208
Austria,AUT,1974,2.6047000000000002
Austria,AUT,1975,2.6144000000000003
Austria,AUT,1976,2.6316
Austria,AUT,1977,2.75
Austria,AUT,1978,2.75
Austria,AUT,1979,2.8000000000000003
Austria,AUT,1980,2.807
Austria,AUT,1981,2.8000000000000003
Austria,AUT,1982,2.8049
Austria,AUT,1983,2.9053
Austria,AUT,1984,3.0093
Austria,AUT,1985,3.5
Austria,AUT,1986,3.8949000000000003
Austria,AUT,1987,3.6615
Austria,AUT,1988,3.75
Austria,AUT,1989,3.75
Austria,AUT,1990,3.5366
Austria,AUT,1991,3.5114
Austria,AUT,1992,3.1387
Austria,AUT,1993,2.4342
Austria,AUT,1994,3.4442000000000004
Austria,AUT,1995,3.1496
Austria,AUT,1996,3.0100000000000002
Austria,AUT,1997,3.189
Austria,AUT,1998,3.043
Austria,AUT,1999,3.0330000000000004
Austria,AUT,2000,2.3472
Austria,AUT,2001,2.9156
Austria,AUT,2002,2.3154
Austria,AUT,2003,2.2123
Austria,AUT,2004,3.1060000000000003
Austria,AUT,2005,2.5045
Austria,AUT,2006,2.7546
Austria,AUT,2007,2.0162
Austria,AUT,2008,2.0338000000000003
Austria,AUT,2009,2.2909
Austria,AUT,2010,2.3042000000000002
Austria,AUT,2011,3.1064000000000003
Austria,AUT,2012,1.3622
Austria,AUT,2013,2.4285
Austria,AUT,2014,2.5406
Austria,AUT,2015,2.5746
Austria,AUT,2016,2.4771
Austria,AUT,2017,2.2703
Austria,AUT,2018,2.3854
Azerbaijan,AZE,1992,0.3902
Azerbaijan,AZE,1993,0.2732
Azerbaijan,AZE,1994,0.2943
Azerbaijan,AZE,1995,0.2667
Azerbaijan,AZE,1996,1.5821
Azerbaijan,AZE,1997,1.5713000000000001
Azerbaijan,AZE,1998,2.0101
Azerbaijan,AZE,1999,1.5232
Azerbaijan,AZE,2000,1.792
Azerbaijan,AZE,2001,1.9813
Azerbaijan,AZE,2002,1.975
Azerbaijan,AZE,2003,2.1721
Azerbaijan,AZE,2004,2.2748
Azerbaijan,AZE,2005,2.2557
Azerbaijan,AZE,2006,2.1253
Azerbaijan,AZE,2007,1.9152
Azerbaijan,AZE,2008,2.1113
Azerbaijan,AZE,2009,1.9214
Azerbaijan,AZE,2010,1.6545
Azerbaijan,AZE,2011,1.6661000000000001
Azerbaijan,AZE,2012,1.6900000000000002
Azerbaijan,AZE,2013,1.6961000000000002
Azerbaijan,AZE,2014,1.8481
Azerbaijan,AZE,2015,2.076
Azerbaijan,AZE,2016,1.7109
Azerbaijan,AZE,2017,1.6143
Azerbaijan,AZE,2018,1.7594
Bangladesh,BGD,1961,0.6579
Bangladesh,BGD,1962,0.65
Bangladesh,BGD,1963,0.65
Bangladesh,BGD,1964,0.66
Bangladesh,BGD,1965,0.66
Bangladesh,BGD,1966,0.6545000000000001
Bangladesh,BGD,1967,0.65
Bangladesh,BGD,1968,0.6615
Bangladesh,BGD,1969,0.6618
Bangladesh,BGD,1970,0.6571
Bangladesh,BGD,1971,0.6625
Bangladesh,BGD,1972,0.6941
Bangladesh,BGD,1973,0.6556000000000001
Bangladesh,BGD,1974,0.66
Bangladesh,BGD,1975,0.6636000000000001
Bangladesh,BGD,1976,0.6261
Bangladesh,BGD,1977,0.627
Bangladesh,BGD,1978,0.66
Bangladesh,BGD,1979,0.6471
Bangladesh,BGD,1980,0.6774
Bangladesh,BGD,1981,0.6552
Bangladesh,BGD,1982,0.6458
Bangladesh,BGD,1983,0.6304000000000001
Bangladesh,BGD,1984,0.6164000000000001
Bangladesh,BGD,1985,0.6486000000000001
Bangladesh,BGD,1986,0.6773
Bangladesh,BGD,1987,0.6776
Bangladesh,BGD,1988,0.6865
Bangladesh,BGD,1989,0.6636000000000001
Bangladesh,BGD,1990,0.6549
Bangladesh,BGD,1991,0.7035
Bangladesh,BGD,1992,0.7009000000000001
Bangladesh,BGD,1993,0.6643
Bangladesh,BGD,1994,0.6304000000000001
Bangladesh,BGD,1995,0.6241
Bangladesh,BGD,1996,0.6369
Bangladesh,BGD,1997,0.6114
Bangladesh,BGD,1998,0.6178
Bangladesh,BGD,1999,0.557
Bangladesh,BGD,2000,0.7539
Bangladesh,BGD,2001,0.7638
Bangladesh,BGD,2002,0.746
Bangladesh,BGD,2003,0.7564000000000001
Bangladesh,BGD,2004,0.8079000000000001
Bangladesh,BGD,2005,0.7688
Bangladesh,BGD,2006,0.8014
Bangladesh,BGD,2007,0.7872
Bangladesh,BGD,2008,0.8408
Bangladesh,BGD,2009,0.9004000000000001
Bangladesh,BGD,2010,0.9559000000000001
Bangladesh,BGD,2011,0.9516
Bangladesh,BGD,2012,0.8475
Bangladesh,BGD,2013,0.9512
Bangladesh,BGD,2014,0.9882000000000001
Bangladesh,BGD,2015,1.1486
Bangladesh,BGD,2016,1.1392
Bangladesh,BGD,2017,1.1141
Bangladesh,BGD,2018,1.1145
Belarus,BLR,1992,1.5270000000000001
Belarus,BLR,1993,2.0806
Belarus,BLR,1994,1.6508
Belarus,BLR,1995,1.6716
Belarus,BLR,1996,1.989
Belarus,BLR,1997,2.0222
Belarus,BLR,1998,1.4703000000000002
Belarus,BLR,1999,1.1071
Belarus,BLR,2000,1.6291
Belarus,BLR,2001,1.6586
Belarus,BLR,2002,1.9761000000000002
Belarus,BLR,2003,2.2813000000000003
Belarus,BLR,2004,2.6224000000000003
Belarus,BLR,2005,2.3376
Belarus,BLR,2006,1.9391
Belarus,BLR,2007,2.403
Belarus,BLR,2008,3.1005000000000003
Belarus,BLR,2009,2.8648000000000002
Belarus,BLR,2010,2.2087
Belarus,BLR,2011,2.7785
Belarus,BLR,2012,2.9066
Belarus,BLR,2013,2.5623
Belarus,BLR,2014,2.7664
Belarus,BLR,2015,2.9007
Belarus,BLR,2016,2.3351
Belarus,BLR,2017,2.9846000000000004
Belarus,BLR,2018,1.9595
Belgium,BEL,2000,4.214300000000001
Belgium,BEL,2001,4.3571
Belgium,BEL,2002,3.7692
Belgium,BEL,2003,4.9576
Belgium,BEL,2004,3.6564
Belgium,BEL,2005,3.4245
Belgium,BEL,2006,3.2804
Belgium,BEL,2007,3.0986000000000002
Belgium,BEL,2008,4.4471
Belgium,BEL,2009,5.2122
Belgium,BEL,2010,4.1818
Belgium,BEL,2011,3.7614
Belgium,BEL,2012,3.8333000000000004
Belgium,BEL,2013,3.75
Belgium,BEL,2014,4.3109
Belgium,BEL,2015,7.163600000000001
Belgium,BEL,2016,2.9828
Belgium,BEL,2017,3.8238000000000003
Belgium,BEL,2018,3.6448
Belgium-Luxembourg,,1961,3.4200000000000004
Belgium-Luxembourg,,1962,3.8800000000000003
Belgium-Luxembourg,,1963,3.0391000000000004
Belgium-Luxembourg,,1964,3.6322
Belgium-Luxembourg,,1965,3.0330000000000004
Belgium-Luxembourg,,1966,2.5779
Belgium-Luxembourg,,1967,3.62
Belgium-Luxembourg,,1968,2.9450000000000003
Belgium-Luxembourg,,1969,2.8648000000000002
Belgium-Luxembourg,,1970,2.9393000000000002
Belgium-Luxembourg,,1971,3.3816
Belgium-Luxembourg,,1972,3.0171
Belgium-Luxembourg,,1973,3.2986
Belgium-Luxembourg,,1974,3.6500000000000004
Belgium-Luxembourg,,1975,3.7201
Belgium-Luxembourg,,1976,2.8147
Belgium-Luxembourg,,1977,3.4251
Belgium-Luxembourg,,1978,3.6783
Belgium-Luxembourg,,1979,3.5197000000000003
Belgium-Luxembourg,,1980,2.9959000000000002
Belgium-Luxembourg,,1981,3.5162
Belgium-Luxembourg,,1982,4.0297
Belgium-Luxembourg,,1983,3.7304000000000004
Belgium-Luxembourg,,1984,4.0891
Belgium-Luxembourg,,1985,3.9104
Belgium-Luxembourg,,1986,4.44
Belgium-Luxembourg,,1987,3.4101000000000004
Belgium-Luxembourg,,1988,4.2001
Belgium-Luxembourg,,1989,4.28
Belgium-Luxembourg,,1990,5.290100000000001
Belgium-Luxembourg,,1991,4.1103000000000005
Belgium-Luxembourg,,1992,4.2199
Belgium-Luxembourg,,1993,4.6301000000000005
Belgium-Luxembourg,,1994,4.04
Belgium-Luxembourg,,1995,4.413
Belgium-Luxembourg,,1996,5.372800000000001
Belgium-Luxembourg,,1997,4.837000000000001
Belgium-Luxembourg,,1998,4.4316
Belgium-Luxembourg,,1999,5.0379000000000005
Belize,BLZ,1993,1.5
Belize,BLZ,1994,0.8963000000000001
Belize,BLZ,1995,2.125
Belize,BLZ,1996,1.3451
Belize,BLZ,1997,1.2746
Belize,BLZ,1998,0.8505
Belize,BLZ,1999,0.9026000000000001
Belize,BLZ,2000,1.3727
Belize,BLZ,2001,1.3458
Belize,BLZ,2002,1.3292000000000002
Belize,BLZ,2003,1.6114000000000002
Belize,BLZ,2004,1.1302
Belize,BLZ,2005,1.1111
Belize,BLZ,2006,1.0334
Belize,BLZ,2007,1.052
Belize,BLZ,2008,1.1072
Belize,BLZ,2009,1.3654000000000002
Belize,BLZ,2010,1.2752000000000001
Belize,BLZ,2011,1.3221
Belize,BLZ,2012,1.0078
Belize,BLZ,2013,1.1757
Belize,BLZ,2014,0.9451
Belize,BLZ,2015,1.1955
Belize,BLZ,2016,1.4026
Belize,BLZ,2017,1.0795000000000001
Belize,BLZ,2018,0.8783000000000001
Bhutan,BTN,2003,3.5714
Bhutan,BTN,2004,3.6778
Bhutan,BTN,2005,3.4673000000000003
Bhutan,BTN,2006,3.8499000000000003
Bhutan,BTN,2007,2.7961
Bhutan,BTN,2008,2.4970000000000003
Bhutan,BTN,2009,2.323
Bhutan,BTN,2010,2.4825
Bhutan,BTN,2011,2.3064
Bhutan,BTN,2012,2.1872000000000003
Bhutan,BTN,2013,2.1553
Bhutan,BTN,2014,1.9819
Bhutan,BTN,2015,1.8753000000000002
Bhutan,BTN,2016,1.8263
Bhutan,BTN,2017,1.7249
Bhutan,BTN,2018,1.6236000000000002
Bolivia,BOL,1961,1
Bolivia,BOL,1962,1
Bolivia,BOL,1963,1
Bolivia,BOL,1964,1
Bolivia,BOL,1965,1
Bolivia,BOL,1966,1
Bolivia,BOL,1967,1
Bolivia,BOL,1968,1
Bolivia,BOL,1969,1
Bolivia,BOL,1970,0.75
Bolivia,BOL,1971,1
Bolivia,BOL,1972,1
Bolivia,BOL,1973,1.0250000000000001
Bolivia,BOL,1974,1.2750000000000001
Bolivia,BOL,1975,1.439
Bolivia,BOL,1976,0.9762000000000001
Bolivia,BOL,1977,1.0476
Bolivia,BOL,1978,1.0476
Bolivia,BOL,1979,1.0714000000000001
Bolivia,BOL,1980,1.0714000000000001
Bolivia,BOL,1981,1.1364
Bolivia,BOL,1982,1.1364
Bolivia,BOL,1983,1.1111
Bolivia,BOL,1984,1.1111
Bolivia,BOL,1985,1.1111
Bolivia,BOL,1986,1.1111
Bolivia,BOL,1987,1.1087
Bolivia,BOL,1988,1.1064
Bolivia,BOL,1989,1.1277000000000001
Bolivia,BOL,1990,0.8592000000000001
Bolivia,BOL,1991,1.1
Bolivia,BOL,1992,1.1022
Bolivia,BOL,1993,1.098
Bolivia,BOL,1994,1.1111
Bolivia,BOL,1995,1.1429
Bolivia,BOL,1996,1.1429
Bolivia,BOL,1997,1.1429
Bolivia,BOL,1998,1.1429
Bolivia,BOL,1999,1.1429
Bolivia,BOL,2000,1.4286
Bolivia,BOL,2001,1.3003
Bolivia,BOL,2002,1.3
Bolivia,BOL,2003,1.2927
Bolivia,BOL,2004,1.3023
Bolivia,BOL,2005,1.3
Bolivia,BOL,2006,1.3184
Bolivia,BOL,2007,1.3344
Bolivia,BOL,2008,1.3354000000000001
Bolivia,BOL,2009,1.3454000000000002
Bolivia,BOL,2010,1.3554000000000002
Bolivia,BOL,2011,1.3654000000000002
Bolivia,BOL,2012,1.3754
Bolivia,BOL,2013,1.3854
Bolivia,BOL,2014,1.3954
Bolivia,BOL,2015,1.407
