Entity,Code,Year,Average hourly earnings of employees (constant 2011 PPP $) (constant 2011 PPP $)
Malaysia,MYS,2015,8.53
Malta,MLT,2010,14.81
Malta,MLT,2014,17.01
Mexico,MEX,1994,3.6
Mexico,MEX,1996,2.82
Mexico,MEX,1998,3.24
Mexico,MEX,2000,3.68
Mexico,MEX,2002,3.62
Mexico,MEX,2008,4.47
Mexico,MEX,2010,4.11
Mexico,MEX,2012,4.57
Mexico,MEX,2014,4.57
Netherlands,NLD,2002,16.57
Netherlands,NLD,2006,17.39
Netherlands,NLD,2010,20.24
Netherlands,NLD,2014,22.3
Nicaragua,NIC,1993,4.61
Nicaragua,NIC,1998,2.21
Nicaragua,NIC,2001,2.7
Nicaragua,NIC,2005,2.49
Nicaragua,NIC,2009,3.09
Nicaragua,NIC,2014,4.08
Norway,NOR,2014,27.64
Pakistan,PAK,2016,2.57
Panama,PAN,1991,4.39
Panama,PAN,1995,4.42
Panama,PAN,1997,4.75
Panama,PAN,1998,5.54
Panama,PAN,1999,5.18
Panama,PAN,2000,5.98
Panama,PAN,2001,4.81
Panama,PAN,2002,5.01
Panama,PAN,2003,4.84
Panama,PAN,2004,4.88
Panama,PAN,2005,4.95
Panama,PAN,2006,5.22
Panama,PAN,2007,5.41
Panama,PAN,2008,5.53
Panama,PAN,2009,5.8
Panama,PAN,2010,6.09
Panama,PAN,2011,6.58
Panama,PAN,2012,7.17
Panama,PAN,2013,6.92
Panama,PAN,2014,7.48
Paraguay,PRY,1997,5.15
Paraguay,PRY,1999,4.68
Paraguay,PRY,2001,4.3
Paraguay,PRY,2002,3.91
Paraguay,PRY,2003,4.12
Paraguay,PRY,2004,3.85
Paraguay,PRY,2005,4
Paraguay,PRY,2006,3.76
Paraguay,PRY,2007,4.22
Paraguay,PRY,2008,4.3
Paraguay,PRY,2009,4.35
Paraguay,PRY,2010,5.07
Paraguay,PRY,2011,5.61
Paraguay,PRY,2012,5.08
Paraguay,PRY,2013,5.79
Paraguay,PRY,2014,5.29
Paraguay,PRY,2015,5.5
Peru,PER,1997,2.95
Peru,PER,1998,2.91
Peru,PER,1999,2.95
Peru,PER,2000,2.61
Peru,PER,2001,2.89
Peru,PER,2002,3.08
Peru,PER,2003,3.09
Peru,PER,2004,2.69
Peru,PER,2005,2.68
Peru,PER,2006,2.85
Peru,PER,2007,3.32
Peru,PER,2008,3.56
Peru,PER,2009,3.88
Peru,PER,2010,3.92
Peru,PER,2011,4.08
Peru,PER,2012,4.43
Peru,PER,2013,4.52
Peru,PER,2014,4.69
Poland,POL,2014,13.45
Portugal,PRT,2007,6.73
Portugal,PRT,2008,7.06
Portugal,PRT,2009,7.37
Portugal,PRT,2010,7.48
Portugal,PRT,2011,7.64
Portugal,PRT,2012,7.88
Portugal,PRT,2013,8.16
Portugal,PRT,2016,8.41
Romania,ROU,2014,7.7
Romania,ROU,2016,10.04
Russia,RUS,2015,7.88
Serbia,SRB,2014,9.18
Slovakia,SVK,2010,9.46
Slovakia,SVK,2014,11.04
Slovakia,SVK,2015,12.43
Slovenia,SVN,2010,14.29
Slovenia,SVN,2014,15.13
South Korea,KOR,2009,17.54
South Korea,KOR,2010,17.95
South Korea,KOR,2011,18.67
South Korea,KOR,2012,19.97
South Korea,KOR,2013,21.24
South Korea,KOR,2014,21.94
South Korea,KOR,2015,20.37
South Korea,KOR,2016,21.02
Spain,ESP,2002,11.59
Spain,ESP,2006,13.65
Spain,ESP,2010,15.85
Spain,ESP,2012,21.58
Spain,ESP,2013,22.23
Spain,ESP,2014,22.63
Spain,ESP,2015,22.47
Sweden,SWE,2014,21.46
Switzerland,CHE,2014,31.89
Thailand,THA,2016,15.57
Turkey,TUR,2014,9.71
United Kingdom,GBR,2014,21.82
United Kingdom,GBR,2015,21.66
Uruguay,URY,1995,3.93
Uruguay,URY,1996,4.36
Uruguay,URY,1997,4.24
Uruguay,URY,1998,4.74
Uruguay,URY,2000,5.12
Uruguay,URY,2001,4.77
Uruguay,URY,2002,4.1
Uruguay,URY,2003,3.71
Uruguay,URY,2004,3.82
Uruguay,URY,2005,4.25
Uruguay,URY,2006,4.9
Uruguay,URY,2007,5.04
Uruguay,URY,2008,5.34
Uruguay,URY,2009,5.85
Uruguay,URY,2010,6.01
Uruguay,URY,2011,6.35
Uruguay,URY,2012,6.46
Uruguay,URY,2013,6.78
Uruguay,URY,2014,7.13
Vietnam,VNM,2015,3.3
Vietnam,VNM,2016,3.57
