Entity,Code,Year,Oil Consumption (terawatt-hours)
Algeria,DZA,2008,169.91589639527737
Algeria,DZA,2009,180.13442944444486
Algeria,DZA,2010,180.04885499999952
Algeria,DZA,2011,192.22765305555538
Algeria,DZA,2012,204.3952677777782
Algeria,DZA,2013,213.57638499999953
Algeria,DZA,2014,221.92515277777724
Algeria,DZA,2015,236.1484832777782
Algeria,DZA,2016,229.44103930555573
Algeria,DZA,2017,225.3893038611109
Algeria,DZA,2018,228.1965041666662
Argentina,ARG,1965,260.1392938124458
Argentina,ARG,1966,268.56480201750514
Argentina,ARG,1967,275.18662634653515
Argentina,ARG,1968,281.00747727510816
Argentina,ARG,1969,291.98175393307844
Argentina,ARG,1970,262.1598020618129
Argentina,ARG,1971,279.9751100000006
Argentina,ARG,1972,280.3572516666668
Argentina,ARG,1973,281.3179052777774
Argentina,ARG,1974,282.30396972222195
Argentina,ARG,1975,265.9402666666663
Argentina,ARG,1976,276.26170305555615
Argentina,ARG,1977,291.2396455555558
Argentina,ARG,1978,291.2290322222217
Argentina,ARG,1979,308.04863722222274
Argentina,ARG,1980,288.2583255555553
Argentina,ARG,1981,267.2337127777778
Argentina,ARG,1982,256.3210302777781
Argentina,ARG,1983,260.9379080555554
Argentina,ARG,1984,245.98776027777743
Argentina,ARG,1985,222.50368500000013
Argentina,ARG,1986,255.58044222222236
Argentina,ARG,1987,272.78299166666704
Argentina,ARG,1988,272.029264444445
Argentina,ARG,1989,246.7896619444447
Argentina,ARG,1990,233.44308944444467
Argentina,ARG,1991,240.50233555555576
Argentina,ARG,1992,254.04391305555623
Argentina,ARG,1993,251.62746944444422
Argentina,ARG,1994,243.23891222222178
Argentina,ARG,1995,241.90118611111095
Argentina,ARG,1996,251.42418250000048
Argentina,ARG,1997,251.7288019444442
Argentina,ARG,1998,257.291801111111
Argentina,ARG,1999,239.56551472222193
Argentina,ARG,2000,241.97666472222284
Argentina,ARG,2001,233.11430194444426
Argentina,ARG,2002,214.8734658333329
Argentina,ARG,2003,221.14389222222272
Argentina,ARG,2004,232.64728444444384
Argentina,ARG,2005,247.28683663194448
Argentina,ARG,2006,259.9601497054435
Argentina,ARG,2007,288.7588944003783
Argentina,ARG,2008,296.9551533481558
Argentina,ARG,2009,290.82116973162533
Argentina,ARG,2010,332.2558711103447
Argentina,ARG,2011,335.5531422107095
Argentina,ARG,2012,350.60744965870856
Argentina,ARG,2013,376.2489253345331
Argentina,ARG,2014,371.1832639359351
Argentina,ARG,2015,382.6846637657331
Argentina,ARG,2016,375.81242194455615
Argentina,ARG,2017,372.5901066439595
Argentina,ARG,2018,350.22324733886484
Asia Pacific,,1965,1898.0228016695803
Asia Pacific,,1966,2187.1459910360863
Asia Pacific,,1967,2549.0892526080856
Asia Pacific,,1968,2914.830715156128
Asia Pacific,,1969,3385.89690542038
Asia Pacific,,1970,3936.7458207834807
Asia Pacific,,1971,4377.582178417025
Asia Pacific,,1972,4714.086805241031
Asia Pacific,,1973,5363.043250590951
Asia Pacific,,1974,5328.038647562666
Asia Pacific,,1975,5302.935979874232
Asia Pacific,,1976,5640.450554145247
Asia Pacific,,1977,5907.573344557382
Asia Pacific,,1978,6264.634431372196
Asia Pacific,,1979,6431.010704097793
Asia Pacific,,1980,6083.017689665721
Asia Pacific,,1981,5901.313681278629
Asia Pacific,,1982,5737.781676518348
Asia Pacific,,1983,5821.583315645544
Asia Pacific,,1984,6042.672744486285
Asia Pacific,,1985,6025.099500970327
Asia Pacific,,1986,6259.528522195305
Asia Pacific,,1987,6461.657160906531
Asia Pacific,,1988,7016.312294777
Asia Pacific,,1989,7448.286798382683
Asia Pacific,,1990,7906.95337931443
Asia Pacific,,1991,8251.634655736558
Asia Pacific,,1992,8809.071063238323
Asia Pacific,,1993,9195.623634067639
Asia Pacific,,1994,9741.337665424877
Asia Pacific,,1995,10335.782516696408
Asia Pacific,,1996,10841.205708969124
Asia Pacific,,1997,11368.121642346397
Asia Pacific,,1998,11111.243651010875
Asia Pacific,,1999,11630.820962988257
Asia Pacific,,2000,11973.897750503065
Asia Pacific,,2001,12051.742912228006
Asia Pacific,,2002,12436.604559418738
Asia Pacific,,2003,12951.449222858448
Asia Pacific,,2004,13674.41965221396
Asia Pacific,,2005,13783.574965164413
Asia Pacific,,2006,14094.356212495619
Asia Pacific,,2007,14585.088838457346
Asia Pacific,,2008,14540.268488167025
Asia Pacific,,2009,14683.588555290326
Asia Pacific,,2010,15604.476901178965
Asia Pacific,,2011,16103.82492108135
Asia Pacific,,2012,16788.695164815817
Asia Pacific,,2013,17085.46835241377
Asia Pacific,,2014,17368.74357971275
Asia Pacific,,2015,18013.7375988325
Asia Pacific,,2016,18679.575830294885
Asia Pacific,,2017,19205.047584510165
Asia Pacific,,2018,19717.042779488907
Australia,AUS,1965,181.11748388888915
Australia,AUS,1966,214.04755194444465
Australia,AUS,1967,234.38776666666706
Australia,AUS,1968,255.28498777777824
Australia,AUS,1969,262.44812388888903
Australia,AUS,1970,290.1954216666663
Australia,AUS,1971,305.5445647222226
Australia,AUS,1972,311.03335555555617
Australia,AUS,1973,331.89295416666636
Australia,AUS,1974,351.7351633333328
Australia,AUS,1975,348.1045194444445
Australia,AUS,1976,355.8214852777773
Australia,AUS,1977,372.6007575
Australia,AUS,1978,375.31401618013024
Australia,AUS,1979,381.8075654757736
Australia,AUS,1980,366.18509648129543
Australia,AUS,1981,354.3433260377304
Australia,AUS,1982,355.9768033440827
Australia,AUS,1983,349.8237089155297
Australia,AUS,1984,366.4661316482727
Australia,AUS,1985,350.0728349607255
Australia,AUS,1986,358.28310746599175
Australia,AUS,1987,365.10473599022185
Australia,AUS,1988,382.4276456966682
Australia,AUS,1989,396.1745837495959
Australia,AUS,1990,401.94137614450034
Australia,AUS,1991,390.82660807793917
Australia,AUS,1992,392.55443537744554
Australia,AUS,1993,412.485756677835
Australia,AUS,1994,428.14224271214465
Australia,AUS,1995,441.56153624328965
Australia,AUS,1996,448.45387484710744
Australia,AUS,1997,456.53464151564503
Australia,AUS,1998,455.97330810513483
Australia,AUS,1999,470.1473395884412
Australia,AUS,2000,467.65800817244826
Australia,AUS,2001,470.64702257085514
Australia,AUS,2002,469.1008973239299
Australia,AUS,2003,468.79421837216364
Australia,AUS,2004,482.07927448170386
Australia,AUS,2005,480.48150870711106
Australia,AUS,2006,519.51878424871
Australia,AUS,2007,517.1591550173795
Australia,AUS,2008,525.3902247508696
Australia,AUS,2009,528.4655908754446
Australia,AUS,2010,530.4542553193082
Australia,AUS,2011,560.0560754640288
Australia,AUS,2012,576.5696531159498
Australia,AUS,2013,580.1941926008501
Australia,AUS,2014,588.3043574078991
Australia,AUS,2015,564.177843330676
Australia,AUS,2016,584.5295596343616
Australia,AUS,2017,594.3249349867272
Australia,AUS,2018,620.2646798377515
Austria,AUT,1965,65.29747472222222
Austria,AUT,1966,71.78885833333331
Austria,AUT,1967,76.54811194444439
Austria,AUT,1968,88.46606722222225
Austria,AUT,1969,97.22599444444448
Austria,AUT,1970,107.04364638888887
Austria,AUT,1971,119.60702611111117
Austria,AUT,1972,129.12287416666715
Austria,AUT,1973,139.92781111111066
Austria,AUT,1974,125.22767888888829
Austria,AUT,1975,126.55925805555523
Austria,AUT,1976,137.41133083333344
Austria,AUT,1977,131.58654055555522
Austria,AUT,1978,141.56969694444405
Austria,AUT,1979,147.40876083333313
Austria,AUT,1980,143.88744888888917
Austria,AUT,1981,130.63088583333382
Austria,AUT,1982,123.90079111111125
Austria,AUT,1983,120.07978444444423
Austria,AUT,1984,116.79846472222242
Austria,AUT,1985,116.98592416666727
Austria,AUT,1986,123.21829916666653
Austria,AUT,1987,126.86034500000059
Austria,AUT,1988,125.97797166666689
Austria,AUT,1989,124.22220555555512
Austria,AUT,1990,129.2767336111109
Austria,AUT,1991,139.55149638888943
Austria,AUT,1992,135.9098477777774
Austria,AUT,1993,137.04503861111078
Austria,AUT,1994,135.829948611111
Austria,AUT,1995,135.58367722222246
Austria,AUT,1996,140.25512305555534
Austria,AUT,1997,142.47761361111074
Austria,AUT,1998,147.91892111111156
Austria,AUT,1999,145.4086702777779
Austria,AUT,2000,142.39452083333387
Austria,AUT,2001,154.52839444444388
Austria,AUT,2002,157.7923225
Austria,AUT,2003,170.7300227777777
Austria,AUT,2004,166.1619083333335
Austria,AUT,2005,166.30395998911598
Austria,AUT,2006,169.06675979697349
Austria,AUT,2007,160.00177437289747
Austria,AUT,2008,159.6046231858492
Austria,AUT,2009,153.5323704729118
Austria,AUT,2010,159.78453073359728
Austria,AUT,2011,148.66630432846122
Austria,AUT,2012,148.15540383290713
Austria,AUT,2013,150.22961588079613
Austria,AUT,2014,146.2551840148331
Austria,AUT,2015,146.76924940557282
Austria,AUT,2016,149.7139852885441
Austria,AUT,2017,152.35603233990554
Austria,AUT,2018,155.94132654360445
Azerbaijan,AZE,1985,97.18554771252354
Azerbaijan,AZE,1986,101.81737074482648
Azerbaijan,AZE,1987,95.82690843464843
Azerbaijan,AZE,1988,98.14325084328368
Azerbaijan,AZE,1989,95.70121542599232
Azerbaijan,AZE,1990,100.3948284019737
Azerbaijan,AZE,1991,96.8011278856535
Azerbaijan,AZE,1992,94.31946958145139
Azerbaijan,AZE,1993,94.05540738934054
Azerbaijan,AZE,1994,86.15902393330325
Azerbaijan,AZE,1995,77.67719961833785
Azerbaijan,AZE,1996,69.77202251580849
Azerbaijan,AZE,1997,66.40268460478768
Azerbaijan,AZE,1998,69.8734934801265
Azerbaijan,AZE,1999,66.98869250225832
Azerbaijan,AZE,2000,74.26630526121654
Azerbaijan,AZE,2001,47.27034084688345
Azerbaijan,AZE,2002,43.51946611111108
Azerbaijan,AZE,2003,50.599694166666694
Azerbaijan,AZE,2004,54.57310388888896
Azerbaijan,AZE,2005,63.79851138888885
Azerbaijan,AZE,2006,57.11257997777783
Azerbaijan,AZE,2007,53.8548595055556
Azerbaijan,AZE,2008,43.05569611111116
Azerbaijan,AZE,2009,40.15004602777774
Azerbaijan,AZE,2010,39.63645516666672
Azerbaijan,AZE,2011,48.58157286111114
Azerbaijan,AZE,2012,50.81020802777775
Azerbaijan,AZE,2013,55.30414125000004
Azerbaijan,AZE,2014,54.29415880358084
Azerbaijan,AZE,2015,55.101902426803576
Azerbaijan,AZE,2016,54.73497828501844
Azerbaijan,AZE,2017,55.22210767314269
Azerbaijan,AZE,2018,54.07655170013141
Bangladesh,BGD,1971,8.135291666666662
Bangladesh,BGD,1972,9.919017777777778
Bangladesh,BGD,1973,11.208104999999996
Bangladesh,BGD,1974,11.659564444444493
Bangladesh,BGD,1975,13.631795000000027
Bangladesh,BGD,1976,14.74887527777779
Bangladesh,BGD,1977,14.522806111111112
Bangladesh,BGD,1978,15.460121388888844
Bangladesh,BGD,1979,17.112336666666703
Bangladesh,BGD,1980,19.291002777777834
Bangladesh,BGD,1981,19.89294138888888
Bangladesh,BGD,1982,19.621321944444396
Bangladesh,BGD,1983,17.54749472222221
Bangladesh,BGD,1984,17.682052777777734
Bangladesh,BGD,1985,19.73876500000004
Bangladesh,BGD,1986,21.275487222222225
Bangladesh,BGD,1987,20.945485555555614
Bangladesh,BGD,1988,20.9842616666667
Bangladesh,BGD,1989,22.941953333333323
Bangladesh,BGD,1990,22.227822777777803
Bangladesh,BGD,1991,20.622860833333284
Bangladesh,BGD,1992,23.004262777777768
Bangladesh,BGD,1993,25.76916805555561
Bangladesh,BGD,1994,26.856830833333305
Bangladesh,BGD,1995,34.85348583333331
Bangladesh,BGD,1996,35.60648277777781
Bangladesh,BGD,1997,40.8769375
Bangladesh,BGD,1998,45.05575333333329
Bangladesh,BGD,1999,40.18384916666667
Bangladesh,BGD,2000,39.48772388888893
Bangladesh,BGD,2001,47.166734722222245
Bangladesh,BGD,2002,47.364412973611074
Bangladesh,BGD,2003,49.096424958055614
Bangladesh,BGD,2004,46.329422504722245
Bangladesh,BGD,2005,46.62285562027776
Bangladesh,BGD,2006,47.12296100472227
Bangladesh,BGD,2007,44.55946846638886
Bangladesh,BGD,2008,45.27263173027775
Bangladesh,BGD,2009,42.331519801388914
Bangladesh,BGD,2010,47.1608925333333
Bangladesh,BGD,2011,60.942407291388925
Bangladesh,BGD,2012,65.03846880555552
Bangladesh,BGD,2013,63.6734016241667
Bangladesh,BGD,2014,71.49221475730472
Bangladesh,BGD,2015,75.6655855630734
Bangladesh,BGD,2016,82.15150547363771
Bangladesh,BGD,2017,91.31981399128534
Bangladesh,BGD,2018,104.6915760269572
Belarus,BLR,1985,296.3403497699709
Belarus,BLR,1986,350.1186240865744
Belarus,BLR,1987,346.30624426319923
Belarus,BLR,1988,335.4691491199066
Belarus,BLR,1989,314.1269070710799
Belarus,BLR,1990,290.47798539706224
Belarus,BLR,1991,280.8930148980858
Belarus,BLR,1992,239.29204222222268
Belarus,BLR,1993,170.54677666666726
Belarus,BLR,1994,138.37855749999974
Belarus,BLR,1995,125.5590172222223
Belarus,BLR,1996,123.46909500000034
Belarus,BLR,1997,107.86030111111111
Belarus,BLR,1998,102.09340694444451
Belarus,BLR,1999,93.6093894444444
Belarus,BLR,2000,91.8158069444444
Belarus,BLR,2001,89.50944555555554
Belarus,BLR,2002,93.03176111111108
Belarus,BLR,2003,94.97137611111108
Belarus,BLR,2004,94.8160316666667
Belarus,BLR,2005,88.34511333333336
Belarus,BLR,2006,103.07584611111119
Belarus,BLR,2007,94.19574361111111
Belarus,BLR,2008,93.50169833333331
Belarus,BLR,2009,108.26930222222221
Belarus,BLR,2010,87.5485519444445
Belarus,BLR,2011,99.31589166666667
Belarus,BLR,2012,121.45402555555592
Belarus,BLR,2013,83.72967472222224
Belarus,BLR,2014,95.03483027777773
Belarus,BLR,2015,81.061215
Belarus,BLR,2016,79.70569583333335
Belarus,BLR,2017,78.25711852949367
Belarus,BLR,2018,79.10256429082064
Belgium,BEL,1965,188.46475944444424
Belgium,BEL,1966,192.26031694444495
Belgium,BEL,1967,212.03164138888908
Belgium,BEL,1968,246.15921500000005
Belgium,BEL,1969,284.0069591666666
Belgium,BEL,1970,309.81564861111093
Belgium,BEL,1971,317.5064408333334
Belgium,BEL,1972,343.47247444444463
Belgium,BEL,1973,360.6342988888888
Belgium,BEL,1974,317.6840152777775
Belgium,BEL,1975,301.48973000000007
Belgium,BEL,1976,314.48248166666644
Belgium,BEL,1977,309.30973083333345
Belgium,BEL,1978,330.0505216666667
Belgium,BEL,1979,328.01734833333313
Belgium,BEL,1980,303.17268055555553
Belgium,BEL,1981,277.88095388888905
Belgium,BEL,1982,263.12489361111096
Belgium,BEL,1983,238.7555063888894
Belgium,BEL,1984,231.01208111111143
Belgium,BEL,1985,234.47887777777717
Belgium,BEL,1986,264.9442133333338
Belgium,BEL,1987,266.8484002777783
Belgium,BEL,1988,275.22709361111094
Belgium,BEL,1989,270.30555361111107
Belgium,BEL,1990,287.7618471480121
Belgium,BEL,1991,308.06468402595084
Belgium,BEL,1992,313.1127725392418
Belgium,BEL,1993,308.06937503345233
Belgium,BEL,1994,336.8196853298586
Belgium,BEL,1995,333.38139980566444
Belgium,BEL,1996,361.4771886419792
Belgium,BEL,1997,369.66369806434284
Belgium,BEL,1998,375.141376362309
Belgium,BEL,1999,362.37282226985496
Belgium,BEL,2000,371.54850599658823
Belgium,BEL,2001,377.33281197244776
Belgium,BEL,2002,379.2850294115033
Belgium,BEL,2003,400.041317406669
Belgium,BEL,2004,404.53443822579925
Belgium,BEL,2005,405.2502435771362
Belgium,BEL,2006,404.73549819343265
Belgium,BEL,2007,409.32026595959684
Belgium,BEL,2008,428.6724418809045
Belgium,BEL,2009,388.56507373050096
Belgium,BEL,2010,404.460147609952
Belgium,BEL,2011,377.5732014992545
Belgium,BEL,2012,366.3657825814775
Belgium,BEL,2013,375.70940855499583
Belgium,BEL,2014,372.06930053551133
Belgium,BEL,2015,383.0128712288398
Belgium,BEL,2016,391.50667050674866
Belgium,BEL,2017,392.357978802461
Belgium,BEL,2018,396.3335920491936
Brazil,BRA,1965,177.73057611111102
Brazil,BRA,1966,193.79759916666688
Brazil,BRA,1967,199.99173361111076
Brazil,BRA,1968,240.1961561111114
Brazil,BRA,1969,263.56771194444417
Brazil,BRA,1970,299.36078234155565
Brazil,BRA,1971,330.1722001285005
Brazil,BRA,1972,380.4058423369163
Brazil,BRA,1973,467.250333310305
Brazil,BRA,1974,503.0194176836115
Brazil,BRA,1975,519.0511772910553
Brazil,BRA,1976,561.4130372129999
Brazil,BRA,1977,577.0877587900283
Brazil,BRA,1978,632.8061558513109
Brazil,BRA,1979,669.0127608508501
Brazil,BRA,1980,649.1831000994279
Brazil,BRA,1981,618.9753275758106
Brazil,BRA,1982,634.3433011692608
Brazil,BRA,1983,612.0213471017496
Brazil,BRA,1984,628.0431197452227
Brazil,BRA,1985,645.9692394869942
Brazil,BRA,1986,723.9163259703115
Brazil,BRA,1987,744.1784217972331
Brazil,BRA,1988,759.993346250278
Brazil,BRA,1989,770.8671594732996
Brazil,BRA,1990,754.6648535135894
Brazil,BRA,1991,765.3003810757947
Brazil,BRA,1992,818.0649080797552
Brazil,BRA,1993,851.2372904611107
Brazil,BRA,1994,908.6349702513891
Brazil,BRA,1995,947.6035922262664
Brazil,BRA,1996,1006.2159051714445
Brazil,BRA,1997,1072.410624603444
Brazil,BRA,1998,1113.0168577563388
Brazil,BRA,1999,1128.9806053070447
Brazil,BRA,2000,1101.4841922351618
Brazil,BRA,2001,1114.8209479519192
Brazil,BRA,2002,1101.9618500102633
Brazil,BRA,2003,1067.9166679037926
Brazil,BRA,2004,1109.2306319487484
Brazil,BRA,2005,1137.1692962640802
Brazil,BRA,2006,1151.8946089638216
Brazil,BRA,2007,1224.3685566733109
Brazil,BRA,2008,1309.8323274650722
Brazil,BRA,2009,1312.9231002726474
Brazil,BRA,2010,1428.0375703270104
Brazil,BRA,2011,1492.9801434103465
Brazil,BRA,2012,1526.9119372271462
Brazil,BRA,2013,1631.7727626250942
Brazil,BRA,2014,1694.0976233115905
Brazil,BRA,2015,1635.4498026336926
Brazil,BRA,2016,1543.3389077469806
Brazil,BRA,2017,1582.7847985972144
Brazil,BRA,2018,1580.6833008197373
Bulgaria,BGR,1965,43.71547222222221
Bulgaria,BGR,1966,49.87410833333331
Bulgaria,BGR,1967,62.72244999999998
Bulgaria,BGR,1968,74.3381083333333
Bulgaria,BGR,1969,91.2787888888889
Bulgaria,BGR,1970,106.03924305555556
Bulgaria,BGR,1971,116.6291225
Bulgaria,BGR,1972,121.28457611111138
Bulgaria,BGR,1973,127.88814111111066
Bulgaria,BGR,1974,132.98701805555535
Bulgaria,BGR,1975,140.96090694444436
Bulgaria,BGR,1976,146.48643388888905
Bulgaria,BGR,1977,152.2866925000003
Bulgaria,BGR,1978,156.79785083333368
Bulgaria,BGR,1979,161.55992972222242
Bulgaria,BGR,1980,165.0205208333334
Bulgaria,BGR,1981,147.08584861111106
Bulgaria,BGR,1982,142.5318749999995
Bulgaria,BGR,1983,137.6460297222224
Bulgaria,BGR,1984,132.178937222222
Bulgaria,BGR,1985,122.13932527777828
Bulgaria,BGR,1986,128.74697833333352
Bulgaria,BGR,1987,123.71195444444474
Bulgaria,BGR,1988,131.34586722222258
Bulgaria,BGR,1989,128.125459444445
Bulgaria,BGR,1990,117.76149047730728
Bulgaria,BGR,1991,79.62929402451414
Bulgaria,BGR,1992,70.78679814081399
Bulgaria,BGR,1993,76.22958483631567
Bulgaria,BGR,1994,72.11437289225682
Bulgaria,BGR,1995,73.80728278548358
Bulgaria,BGR,1996,68.98772915846929
Bulgaria,BGR,1997,54.17791562823406
Bulgaria,BGR,1998,57.14703233380167
Bulgaria,BGR,1999,52.35420816883979
Bulgaria,BGR,2000,50.54879314513102
Bulgaria,BGR,2001,54.056581638802406
Bulgaria,BGR,2002,54.83414958728785
Bulgaria,BGR,2003,56.86747451062733
Bulgaria,BGR,2004,55.567018600831574
Bulgaria,BGR,2005,60.653540729298015
Bulgaria,BGR,2006,62.50834424939891
Bulgaria,BGR,2007,61.29899037584512
Bulgaria,BGR,2008,59.04422942588675
Bulgaria,BGR,2009,54.06381750477051
Bulgaria,BGR,2010,48.33539113279978
Bulgaria,BGR,2011,46.1353215112008
Bulgaria,BGR,2012,48.925573364820515
Bulgaria,BGR,2013,45.57610779552038
Bulgaria,BGR,2014,48.463183967646465
Bulgaria,BGR,2015,54.958205548649865
Bulgaria,BGR,2016,55.41700173952633
Bulgaria,BGR,2017,57.78219473125673
Bulgaria,BGR,2018,58.151688876127764
CIS,,1965,1994.849561380066
CIS,,1966,2136.247404556419
CIS,,1967,2327.5436182261255
CIS,,1968,2481.116068978188
CIS,,1969,2638.3789776110616
CIS,,1970,2904.4414894126144
CIS,,1971,3079.16998515571
CIS,,1972,3339.661057314284
CIS,,1973,3590.3983917913874
CIS,,1974,3944.170624677289
CIS,,1975,4134.596350912409
CIS,,1976,4248.620616690284
CIS,,1977,4418.749656575693
CIS,,1978,4689.1054072140905
CIS,,1979,4771.343570790032
CIS,,1980,5001.701729299791
CIS,,1981,5045.310858910393
CIS,,1982,5008.478457216987
CIS,,1983,4935.318278873581
CIS,,1984,4936.029605481828
CIS,,1985,3946.882397684957
CIS,,1986,3997.445146908425
CIS,,1987,3995.0610272491763
CIS,,1988,3995.122850881264
CIS,,1989,4015.7854067447993
CIS,,1990,3970.3287953611634
CIS,,1991,3854.8070027930007
CIS,,1992,3612.1070333544144
CIS,,1993,2969.637475555557
CIS,,1994,2572.5604439615836
CIS,,1995,2268.695397902702
CIS,,1996,1992.1912215850991
CIS,,1997,1964.9698695489412
CIS,,1998,1886.0577887036688
CIS,,1999,1891.4239123193906
CIS,,2000,1865.7769944906784
CIS,,2001,1882.43166910071
CIS,,2002,1833.9855706827377
CIS,,2003,1917.4179941989676
CIS,,2004,1916.003112796591
CIS,,2005,1903.7274640723174
CIS,,2006,1994.802060769565
CIS,,2007,1994.1644244044887
CIS,,2008,2031.5518169301727
CIS,,2009,1948.4872066223472
CIS,,2010,1996.2384305042847
CIS,,2011,2144.008368076338
CIS,,2012,2201.3141567169428
CIS,,2013,2175.9675593562674
CIS,,2014,2279.3549097194646
CIS,,2015,2188.982951012643
CIS,,2016,2236.2332471545583
CIS,,2017,2223.031611816598
CIS,,2018,2250.9693128944014
Canada,CAN,1965,642.8179638888893
Canada,CAN,1966,677.2622227777775
Canada,CAN,1967,723.1061872222225
Canada,CAN,1968,769.7930952777772
Canada,CAN,1969,801.5453122222219
Canada,CAN,1970,854.8002547222223
Canada,CAN,1971,877.8503927777776
Canada,CAN,1972,924.3328688888886
Canada,CAN,1973,975.5547141666669
Canada,CAN,1974,992.0550791666664
Canada,CAN,1975,971.3528502777782
Canada,CAN,1976,1024.7913852777779
Canada,CAN,1977,1034.23157
Canada,CAN,1978,1055.0041783333327
Canada,CAN,1979,1098.5706994444454
Canada,CAN,1980,1081.6259891666666
Canada,CAN,1981,1012.036972222222
Canada,CAN,1982,907.2043680555555
Canada,CAN,1983,849.7835688888896
Canada,CAN,1984,859.2277350000003
Canada,CAN,1985,860.3245213888893
Canada,CAN,1986,861.6880333333335
Canada,CAN,1987,895.1120263888885
Canada,CAN,1988,941.5450913888885
Canada,CAN,1989,976.9857519444446
Canada,CAN,1990,962.9814383333339
Canada,CAN,1991,909.3642311111107
Canada,CAN,1992,927.3278924999997
Canada,CAN,1993,930.8423066666674
Canada,CAN,1994,947.0130841666668
Canada,CAN,1995,983.6735129055661
Canada,CAN,1996,1011.0174023782781
Canada,CAN,1997,1050.1964736714037
Canada,CAN,1998,1071.767211942851
Canada,CAN,1999,1092.6465238413177
Canada,CAN,2000,1092.5772453248264
Canada,CAN,2001,1108.4882376803505
Canada,CAN,2002,1139.4653836326952
Canada,CAN,2003,1178.9602463949602
Canada,CAN,2004,1221.4701215148514
Canada,CAN,2005,1210.7549224647953
Canada,CAN,2006,1203.555084031424
Canada,CAN,2007,1240.9703151516765
Canada,CAN,2008,1228.97021674458
Canada,CAN,2009,1160.2366651319956
Canada,CAN,2010,1245.2018440120153
Canada,CAN,2011,1283.5715973327963
Canada,CAN,2012,1249.8989178325871
Canada,CAN,2013,1253.7801726225914
Canada,CAN,2014,1275.1883714446924
Canada,CAN,2015,1244.0169816861678
Canada,CAN,2016,1264.205868839004
