Entity,Code,Year, (%), (%)
Belarus,BLR,2014,0,0
Belarus,BLR,2015,0,
Belarus,BLR,2016,0,
Belgium,BEL,2003,0.2,
Belgium,BEL,2004,0,
Belgium,BEL,2005,0.2,
Belgium,BEL,2006,0.2,
Belgium,BEL,2007,0.2,
Belgium,BEL,2008,0,
Belgium,BEL,2009,0,
Belgium,BEL,2010,0.2,
Belgium,BEL,2011,0.2,
Belgium,BEL,2012,0.2,
Belgium,BEL,2013,0.2,
Belgium,BEL,2014,0,
Belgium,BEL,2015,0,
Belize,BLZ,1993,10.1,24.3
Belize,BLZ,1994,9.9,24.36
Belize,BLZ,1995,,21.55
Belize,BLZ,1996,13.3,28.56
Belize,BLZ,1997,16,34.64
Belize,BLZ,1998,15.1,32.64
Belize,BLZ,1999,14.9,27.2
Benin,BEN,2003,48.8,77.22
Benin,BEN,2011,53.1,75.63
Benin,BEN,2015,49.6,
Bhutan,BTN,2003,17.6,60.9
Bhutan,BTN,2007,8,28.87
Bhutan,BTN,2012,2.2,13.33
Bhutan,BTN,2017,1.5,
Bolivia,BOL,1990,7.1,24.84
Bolivia,BOL,1992,,35.91
Bolivia,BOL,1997,19.3,30.98
Bolivia,BOL,1999,25.3,37.43
Bolivia,BOL,2000,28.6,41.38
Bolivia,BOL,2001,22.8,35.77
Bolivia,BOL,2002,24.7,36.85
Bolivia,BOL,2004,13.7,27.98
Bolivia,BOL,2005,19.3,32.24
Bolivia,BOL,2006,16.4,29.24
Bolivia,BOL,2007,12.4,27.31
Bolivia,BOL,2008,11.1,20.73
Bolivia,BOL,2009,10.5,19.2
Bolivia,BOL,2011,7.3,14.63
Bolivia,BOL,2012,8.2,15.77
Bolivia,BOL,2013,6.9,13.35
Bolivia,BOL,2014,5.8,12.69
Bolivia,BOL,2015,6.4,
Bolivia,BOL,2016,7.1,
Bosnia and Herzegovina,BIH,2001,0.3,0.93
Bosnia and Herzegovina,BIH,2004,0.2,0.64
Bosnia and Herzegovina,BIH,2007,0.1,0.42
Bosnia and Herzegovina,BIH,2011,0.1,0.45
Bosnia and Herzegovina,BIH,2015,0.2,
Botswana,BWA,1985,42.6,62.52
Botswana,BWA,1993,34.8,54.66
Botswana,BWA,2002,29.8,49.04
Botswana,BWA,2009,18.2,35.74
Brazil,BRA,1981,21.4,41.44
Brazil,BRA,1982,21.8,40.51
Brazil,BRA,1983,27.7,49.17
Brazil,BRA,1984,26.9,48.58
Brazil,BRA,1985,23.1,42.74
Brazil,BRA,1986,10.5,21.36
Brazil,BRA,1987,17.8,32.93
Brazil,BRA,1988,20.1,37.76
Brazil,BRA,1989,18.3,35.14
Brazil,BRA,1990,21.6,35.79
Brazil,BRA,1992,20.9,35.77
Brazil,BRA,1993,19.9,34.84
Brazil,BRA,1995,13,25.88
Brazil,BRA,1996,14.2,26.57
Brazil,BRA,1997,14,26.81
Brazil,BRA,1998,12.7,24.48
Brazil,BRA,1999,13.4,25.61
Brazil,BRA,2001,11.6,25.82
Brazil,BRA,2002,10.3,24.47
Brazil,BRA,2003,11.1,25.18
Brazil,BRA,2004,9.7,23.27
Brazil,BRA,2005,8.6,21.19
Brazil,BRA,2006,7.2,17.88
Brazil,BRA,2007,6.8,16.8
Brazil,BRA,2008,5.6,14.21
Brazil,BRA,2009,5.4,13.47
Brazil,BRA,2011,4.7,11.37
Brazil,BRA,2012,3.8,9.28
Brazil,BRA,2013,3.8,9.06
Brazil,BRA,2014,2.8,7.56
Brazil,BRA,2015,3.4,
Bulgaria,BGR,1989,,0.08
Bulgaria,BGR,1992,0,0
Bulgaria,BGR,1994,,0.54
Bulgaria,BGR,1995,,3.07
Bulgaria,BGR,1997,,4.31
Bulgaria,BGR,2001,,6.9
Bulgaria,BGR,2003,,3.88
Bulgaria,BGR,2006,5.5,10.33
Bulgaria,BGR,2007,1.7,1.76
Bulgaria,BGR,2008,1.2,2.82
Bulgaria,BGR,2009,1.2,2.61
Bulgaria,BGR,2010,2,3.8
Bulgaria,BGR,2011,2.2,4.66
Bulgaria,BGR,2012,2,4.7
Bulgaria,BGR,2013,1.7,
Bulgaria,BGR,2014,1.5,
Burkina Faso,BFA,1994,83.1,92.39
Burkina Faso,BFA,1998,81.6,91
Burkina Faso,BFA,2003,57.3,79.3
Burkina Faso,BFA,2009,55.3,80.47
Burkina Faso,BFA,2014,43.7,74.65
Burundi,BDI,1992,81.1,94.39
Burundi,BDI,1998,84.1,94.98
Burundi,BDI,2006,77.7,92.17
Burundi,BDI,2013,71.7,
Cambodia,KHM,1994,,67.04
Cambodia,KHM,2004,,53.25
Cambodia,KHM,2007,,49.09
Cambodia,KHM,2008,,37.71
Cambodia,KHM,2009,,27.78
Cambodia,KHM,2010,,25.54
Cambodia,KHM,2011,,25.61
Cambodia,KHM,2012,,21.58
Cameroon,CMR,1996,48.1,72.27
Cameroon,CMR,2001,23.1,50.85
Cameroon,CMR,2007,29.3,54.27
Cameroon,CMR,2014,23.8,43.54
Canada,CAN,1981,0.5,
Canada,CAN,1987,0.2,
Canada,CAN,1991,0.2,
Canada,CAN,1994,0.2,
Canada,CAN,1997,0.5,
Canada,CAN,1998,0.5,
Canada,CAN,2000,0.2,
Canada,CAN,2004,0.2,
Canada,CAN,2007,0.2,
Canada,CAN,2010,0.2,
Canada,CAN,2013,0.5,
Cape Verde,CPV,2001,16,35.9
Cape Verde,CPV,2007,8.1,25.1
Central African Republic,CAF,1992,84.3,91.91
Central African Republic,CAF,2003,64.8,84.17
Central African Republic,CAF,2008,66.3,82.27
Chad,TCD,2003,62.9,84.55
Chad,TCD,2011,38.4,64.82
Chile,CHL,1987,11.7,21.98
Chile,CHL,1990,8.1,20.89
Chile,CHL,1992,4.7,15.3
Chile,CHL,1994,5,14.3
Chile,CHL,1996,3.4,11.33
Chile,CHL,1998,3.5,10.32
Chile,CHL,2000,4.4,9.42
Chile,CHL,2003,4.2,8.08
Chile,CHL,2006,2.4,5.15
Chile,CHL,2009,2.6,4.1
Chile,CHL,2011,1.6,2.91
Chile,CHL,2013,0.9,2.05
Chile,CHL,2015,1.3,
China,CHN,1981,,99.14
China,CHN,1984,,95.87
China,CHN,1987,,89.15
China,CHN,1990,66.6,89.2
China,CHN,1993,57,82.31
China,CHN,1996,42,71.5
China,CHN,1999,40.5,67.18
China,CHN,2002,31.9,56.4
China,CHN,2005,18.7,41.76
China,CHN,2008,14.7,32.96
China,CHN,2010,11.2,27.24
China,CHN,2011,7.9,22.24
China,CHN,2012,6.5,19.05
China,CHN,2013,1.9,11.09
China,CHN,2014,1.4,
China,CHN,2015,0.7,
Colombia,COL,1988,,25.33
Colombia,COL,1989,,24.4
Colombia,COL,1991,,22.7
Colombia,COL,1992,8.9,19.91
Colombia,COL,1996,16.5,28.22
Colombia,COL,1999,20.1,33.12
Colombia,COL,2000,16.4,27.85
Colombia,COL,2001,19.7,37.07
Colombia,COL,2002,14.3,28.27
Colombia,COL,2003,12,26.59
Colombia,COL,2004,10.9,26.51
Colombia,COL,2005,9.7,22.86
Colombia,COL,2008,10.4,22.76
Colombia,COL,2009,9,20.4
Colombia,COL,2010,7.8,17.6
Colombia,COL,2011,6.4,15.31
Colombia,COL,2012,6.3,16.2
Colombia,COL,2013,5.7,13.79
Colombia,COL,2014,5,13.2
Colombia,COL,2015,4.5,
Colombia,COL,2016,4.5,
Comoros,COM,2004,13.5,32.26
Comoros,COM,2013,18.1,
Congo,COG,2005,51.6,71.76
Congo,COG,2011,37,59.62
Costa Rica,CRI,1981,24.7,55.5
Costa Rica,CRI,1986,13.2,24.12
Costa Rica,CRI,1989,12,21.23
Costa Rica,CRI,1990,9.9,18.22
Costa Rica,CRI,1991,11.7,22.66
Costa Rica,CRI,1992,9.6,18.81
Costa Rica,CRI,1993,8,15.78
Costa Rica,CRI,1994,6.6,13.12
Costa Rica,CRI,1995,6.9,13.67
Costa Rica,CRI,1996,8,16.03
Costa Rica,CRI,1997,6.5,12.95
Costa Rica,CRI,1998,5.1,10.23
Costa Rica,CRI,1999,6.4,12.63
Costa Rica,CRI,2000,6.5,13.22
Costa Rica,CRI,2001,4.7,12.34
Costa Rica,CRI,2002,4.5,11.97
Costa Rica,CRI,2003,4.4,11.68
Costa Rica,CRI,2004,4.3,11.09
Costa Rica,CRI,2005,3.1,9.01
Costa Rica,CRI,2006,3.2,9.47
Costa Rica,CRI,2007,1.7,6.07
Costa Rica,CRI,2008,2.2,5.88
Costa Rica,CRI,2009,2.4,6.6
Costa Rica,CRI,2010,1.5,3.92
Costa Rica,CRI,2011,1.6,4.07
Costa Rica,CRI,2012,1.6,4.07
Costa Rica,CRI,2013,1.6,3.95
Costa Rica,CRI,2014,1.4,3.93
Costa Rica,CRI,2015,1.5,
Costa Rica,CRI,2016,1.3,
Cote d'Ivoire,CIV,1985,6.8,18.28
Cote d'Ivoire,CIV,1986,3.1,16.95
Cote d'Ivoire,CIV,1987,6.8,24.3
Cote d'Ivoire,CIV,1988,10.7,32.4
Cote d'Ivoire,CIV,1992,22.4,47.4
Cote d'Ivoire,CIV,1995,19.6,48.23
Cote d'Ivoire,CIV,1998,25.8,53.95
Cote d'Ivoire,CIV,2002,23.2,54.79
Cote d'Ivoire,CIV,2008,29.1,55.14
Cote d'Ivoire,CIV,2015,28.2,
Croatia,HRV,1988,0,0.08
Croatia,HRV,1998,,0
Croatia,HRV,1999,,0.51
Croatia,HRV,2000,,0.26
Croatia,HRV,2001,,0.29
Croatia,HRV,2004,,0.15
Croatia,HRV,2008,,0.12
Croatia,HRV,2009,1,0.08
Croatia,HRV,2010,1.2,0.05
Croatia,HRV,2011,0.7,2
Croatia,HRV,2012,0.7,2.24
Croatia,HRV,2013,0.7,
Croatia,HRV,2014,1,
Croatia,HRV,2015,0.7,
Cyprus,CYP,2004,0,
Cyprus,CYP,2005,0,
Cyprus,CYP,2006,0,
Cyprus,CYP,2007,0,
Cyprus,CYP,2008,0,
Cyprus,CYP,2009,0,
Cyprus,CYP,2010,0,
Cyprus,CYP,2011,0,
Cyprus,CYP,2012,0,
Cyprus,CYP,2013,0,
Cyprus,CYP,2014,0,
Cyprus,CYP,2015,0,
Czech Republic,CZE,1988,,0
Czech Republic,CZE,1993,0,0.03
Czech Republic,CZE,1996,0.2,0.26
Czech Republic,CZE,2004,0,0.03
Czech Republic,CZE,2005,0,0.06
Czech Republic,CZE,2006,0,0.08
Czech Republic,CZE,2007,0,0.2
Czech Republic,CZE,2008,0,0.13
Czech Republic,CZE,2009,0,0.08
Czech Republic,CZE,2010,0,0.13
Czech Republic,CZE,2011,0,0.11
Czech Republic,CZE,2012,0,0.3
Czech Republic,CZE,2013,0,
Czech Republic,CZE,2014,0,
Czech Republic,CZE,2015,0,
Democratic Republic of Congo,COD,2004,94.1,98.35
Democratic Republic of Congo,COD,2012,77.1,90.7
Denmark,DNK,2003,0.2,
Denmark,DNK,2004,0.2,
Denmark,DNK,2005,0.2,
Denmark,DNK,2006,0.2,
Denmark,DNK,2007,0,
Denmark,DNK,2008,0.2,
Denmark,DNK,2009,0.5,
Denmark,DNK,2010,0,
Denmark,DNK,2011,0,
Denmark,DNK,2012,0,
Denmark,DNK,2013,0.2,
Denmark,DNK,2014,0.2,
Denmark,DNK,2015,0.2,
Djibouti,DJI,2002,20.6,46.12
Djibouti,DJI,2012,18.3,36.98
Djibouti,DJI,2013,22.5,43.05
Dominican Republic,DOM,1986,5.2,60.88
Dominican Republic,DOM,1989,13.4,58.8
Dominican Republic,DOM,1992,5.3,16.65
Dominican Republic,DOM,1996,4.9,12.7
Dominican Republic,DOM,1997,5.2,11.78
Dominican Republic,DOM,2000,5.5,12.18
Dominican Republic,DOM,2001,4,11.98
Dominican Republic,DOM,2002,6,13.62
Dominican Republic,DOM,2003,6.9,16.86
Dominican Republic,DOM,2004,8.8,21.96
Dominican Republic,DOM,2005,5.8,15.94
Dominican Republic,DOM,2006,4.5,13.63
Dominican Republic,DOM,2007,4.5,12.94
Dominican Republic,DOM,2008,3.8,13.3
Dominican Republic,DOM,2009,3.3,11.55
Dominican Republic,DOM,2010,2.6,11.5
Dominican Republic,DOM,2011,2.9,10
Dominican Republic,DOM,2012,2.7,10.22
Dominican Republic,DOM,2013,2.4,9.12
Dominican Republic,DOM,2014,2.3,
Dominican Republic,DOM,2015,1.9,
Dominican Republic,DOM,2016,1.6,
East Asia & Pacific,,1981,80.8,93.14
East Asia & Pacific,,1984,70.5,90.16
East Asia & Pacific,,1987,59.5,85.02
East Asia & Pacific,,1990,61.6,83.66
East Asia & Pacific,,1993,54,77.75
East Asia & Pacific,,1996,41.1,68.1
East Asia & Pacific,,1999,38.8,64.8
East Asia & Pacific,,2002,29.9,54.81
East Asia & Pacific,,2005,19.1,42.84
East Asia & Pacific,,2008,15.1,35.22
East Asia & Pacific,,2010,11.2,28.72
East Asia & Pacific,,2011,8.6,24.66
East Asia & Pacific,,2012,7.3,22.05
East Asia & Pacific,,2013,3.6,15.98
East Asia & Pacific,,2015,2.3,
Ecuador,ECU,1987,17.6,39.89
Ecuador,ECU,1994,17.1,33.94
Ecuador,ECU,1995,,31.5
Ecuador,ECU,1998,15.7,34.85
Ecuador,ECU,1999,21.8,39.06
Ecuador,ECU,2000,28.2,47.95
Ecuador,ECU,2003,14.5,32.92
Ecuador,ECU,2004,15,30.54
Ecuador,ECU,2005,12.1,26.99
Ecuador,ECU,2006,8.1,21.1
Ecuador,ECU,2007,8.5,20.94
Ecuador,ECU,2008,7.5,20.47
Ecuador,ECU,2009,7.2,20.1
Ecuador,ECU,2010,5.6,16.91
Ecuador,ECU,2011,4.7,14.54
Ecuador,ECU,2012,4.5,13.97
Ecuador,ECU,2013,3.2,11.64
Ecuador,ECU,2014,2.6,10.22
Ecuador,ECU,2015,3.4,
Ecuador,ECU,2016,3.6,
Egypt,EGY,1990,7.4,
Egypt,EGY,1995,4.6,
Egypt,EGY,1999,2,
Egypt,EGY,2004,4.4,
Egypt,EGY,2008,3.9,
Egypt,EGY,2010,3,
Egypt,EGY,2012,2.3,
Egypt,EGY,2015,1.3,
El Salvador,SLV,1989,18,31.52
El Salvador,SLV,1991,20.7,35.24
El Salvador,SLV,1995,12.5,38.98
El Salvador,SLV,1996,14.1,40.94
El Salvador,SLV,1998,20,31.78
El Salvador,SLV,1999,16.3,27.82
El Salvador,SLV,2000,12.2,22.73
El Salvador,SLV,2001,13.5,24.15
El Salvador,SLV,2002,14,23.93
El Salvador,SLV,2003,14.8,27.25
El Salvador,SLV,2004,10.9,20.77
El Salvador,SLV,2005,10.4,20.88
El Salvador,SLV,2006,6.9,17.34
El Salvador,SLV,2007,4.5,13.94
El Salvador,SLV,2008,6.7,18.58
El Salvador,SLV,2009,6.4,17.51
El Salvador,SLV,2010,5.5,18.55
El Salvador,SLV,2011,4.5,15.04
El Salvador,SLV,2012,4.1,13.61
El Salvador,SLV,2013,3.2,11.53
El Salvador,SLV,2014,3,11.29
El Salvador,SLV,2015,1.9,
El Salvador,SLV,2016,2.2,
Estonia,EST,1988,,0.15
Estonia,EST,1993,1.3,5.77
Estonia,EST,1995,,5
Estonia,EST,1998,,3.08
Estonia,EST,2000,,5.34
Estonia,EST,2001,,5.23
Estonia,EST,2002,,4.96
Estonia,EST,2003,2.5,5.55
Estonia,EST,2004,1,3.21
Estonia,EST,2005,0.7,1.94
Estonia,EST,2006,0.7,1.46
Estonia,EST,2007,0.5,0.88
Estonia,EST,2008,0.5,0.92
Estonia,EST,2009,0.5,1.24
Estonia,EST,2010,0.7,1.82
Estonia,EST,2011,1,1.82
Estonia,EST,2012,0.7,1.61
Estonia,EST,2013,1,
Estonia,EST,2014,0.7,
Estonia,EST,2015,0.5,
Ethiopia,ETH,1981,,91.54
Ethiopia,ETH,1995,67.1,86.38
Ethiopia,ETH,1999,55.5,87.14
Ethiopia,ETH,2004,36.4,76.22
Ethiopia,ETH,2010,33.6,71.27
Ethiopia,ETH,2015,26.7,
Europe & Central Asia,,1987,,7.07
Europe & Central Asia,,1990,,10.18
Europe & Central Asia,,1993,5,14.3
Europe & Central Asia,,1996,7.2,18.43
Europe & Central Asia,,1999,7.8,20.04
Europe & Central Asia,,2002,5.9,14.39
Europe & Central Asia,,2005,4.9,10.79
Europe & Central Asia,,2008,2.8,7.36
Europe & Central Asia,,2010,2.4,7.35
Europe & Central Asia,,2011,2.1,7.14
Europe & Central Asia,,2012,1.9,6.91
Europe & Central Asia,,2013,1.6,6.47
Europe & Central Asia,,2015,1.5,
Fiji,FJI,2002,4.9,21.89
Fiji,FJI,2008,3.5,18.5
Fiji,FJI,2013,1.4,
Finland,FIN,2003,0,
Finland,FIN,2004,0,
Finland,FIN,2005,0,
Finland,FIN,2006,0,
Finland,FIN,2007,0,
Finland,FIN,2008,0,
Finland,FIN,2009,0,
Finland,FIN,2010,0,
Finland,FIN,2011,0,
Finland,FIN,2012,0,
Finland,FIN,2013,0,
Finland,FIN,2014,0,
Finland,FIN,2015,0,
Fragile and conflict affected situations,,1981,54.2,56.64
Fragile and conflict affected situations,,1984,55.5,59.41
Fragile and conflict affected situations,,1987,53.9,59.02
Fragile and conflict affected situations,,1990,54.1,59.25
Fragile and conflict affected situations,,1993,58.2,64.33
Fragile and conflict affected situations,,1996,55.5,62.92
Fragile and conflict affected situations,,1999,52.4,59.28
Fragile and conflict affected situations,,2002,49.2,59.59
Fragile and conflict affected situations,,2005,44.7,59.05
Fragile and conflict affected situations,,2008,40,57.55
Fragile and conflict affected situations,,2010,37.1,56.95
Fragile and conflict affected situations,,2011,36.7,57.07
Fragile and conflict affected situations,,2012,35.3,56.09
Fragile and conflict affected situations,,2013,34.4,55.24
Fragile and conflict affected situations,,2015,35.2,
France,FRA,2003,0,
France,FRA,2004,0,
France,FRA,2005,0,
France,FRA,2006,0,
France,FRA,2007,0,
France,FRA,2008,0,
France,FRA,2009,0,
France,FRA,2010,0,
France,FRA,2011,0,
France,FRA,2012,0,
France,FRA,2013,0,
France,FRA,2014,0,
France,FRA,2015,0,
Gabon,GAB,2005,8,24.43
Gabon,GAB,2017,3.4,
Gambia,GMB,1998,70.5,85.86
Gambia,GMB,2003,45.3,68
Gambia,GMB,2010,25.1,
Gambia,GMB,2015,10.1,
Georgia,GEO,1996,6,17.15
Georgia,GEO,1997,17.6,36.76
Georgia,GEO,1998,15.7,35.16
Georgia,GEO,1999,19.9,42.12
Georgia,GEO,2000,21,45.08
Georgia,GEO,2001,20.9,47.3
Georgia,GEO,2002,11.5,39.75
Georgia,GEO,2003,11.6,40
Georgia,GEO,2004,11.3,37.17
Georgia,GEO,2005,12.1,36.54
Georgia,GEO,2006,11.6,34.09
Georgia,GEO,2007,13.3,37.17
Georgia,GEO,2008,12.4,35.11
Georgia,GEO,2009,10.4,35.76
Georgia,GEO,2010,13.3,38.61
Georgia,GEO,2011,11.6,36.84
Georgia,GEO,2012,9,34.56
Georgia,GEO,2013,6.9,28.58
Georgia,GEO,2014,5.3,25.27
Georgia,GEO,2015,4,
Georgia,GEO,2016,4.2,
Germany,DEU,1991,0,
Germany,DEU,1994,0.2,
Germany,DEU,2000,0,
Germany,DEU,2001,0,
Germany,DEU,2004,0,
Germany,DEU,2006,0,
Germany,DEU,2007,0,
Germany,DEU,2010,0,
Germany,DEU,2011,0,
Germany,DEU,2013,0,
Germany,DEU,2015,0,
Ghana,GHA,1987,42.6,71.56
Ghana,GHA,1988,42.3,70.76
Ghana,GHA,1991,49.8,75.52
Ghana,GHA,1998,35.7,60.52
Ghana,GHA,2005,24.5,49.04
Ghana,GHA,2012,12,
Greece,GRC,2003,0.5,
Greece,GRC,2004,0.7,
Greece,GRC,2005,0.2,
Greece,GRC,2006,0.5,
Greece,GRC,2007,0.5,
Greece,GRC,2008,0.5,
Greece,GRC,2009,0.5,
Greece,GRC,2010,1,
Greece,GRC,2011,1.2,
Greece,GRC,2012,1.5,
Greece,GRC,2013,1,
Greece,GRC,2014,1.5,
Greece,GRC,2015,1.5,
Guatemala,GTM,1986,48.6,69.65
Guatemala,GTM,1989,36.1,55.03
Guatemala,GTM,1998,13.4,27
Guatemala,GTM,2000,9.2,22.22
Guatemala,GTM,2006,11.1,23.69
Guatemala,GTM,2011,,26.47
Guatemala,GTM,2014,8.7,24.05
Guinea,GIN,1991,91.6,98.49
Guinea,GIN,1994,49.3,71.3
Guinea,GIN,2002,62.2,83.07
Guinea,GIN,2007,59.7,81.22
Guinea,GIN,2012,35.3,68.65
Guinea-Bissau,GNB,1991,43,61.08
Guinea-Bissau,GNB,1993,64,85.01
Guinea-Bissau,GNB,2002,53.9,80.93
Guinea-Bissau,GNB,2010,67.1,83.59
Guyana,GUY,1992,33.9,58.61
Guyana,GUY,1998,14,28.28
Haiti,HTI,2001,,73.38
Haiti,HTI,2012,23.5,70.99
High income,,1981,0.7,
High income,,1984,0.7,
High income,,1987,0.7,
High income,,1990,0.6,
High income,,1993,0.7,
High income,,1996,0.8,
High income,,1999,0.7,
High income,,2002,1,
High income,,2005,0.7,
High income,,2008,0.6,
High income,,2010,0.6,
High income,,2011,0.6,
High income,,2012,0.6,
High income,,2013,0.6,
High income,,2015,0.7,
Honduras,HND,1986,,42.74
Honduras,HND,1989,42.2,57.08
Honduras,HND,1990,44.3,63.09
Honduras,HND,1991,33.4,55.37
Honduras,HND,1992,28.7,50.9
Honduras,HND,1993,23.6,45.17
Honduras,HND,1994,26.7,44.98
Honduras,HND,1995,27.7,47.35
Honduras,HND,1996,30.4,49.82
Honduras,HND,1997,21.2,38.72
Honduras,HND,1998,25.9,40.7
Honduras,HND,1999,26.5,42.09
Honduras,HND,2001,20.6,31.93
Honduras,HND,2002,23.4,43.37
Honduras,HND,2003,28.1,42.89
Honduras,HND,2004,27.2,41.88
Honduras,HND,2005,26.5,42.58
Honduras,HND,2006,22.5,37.3
Honduras,HND,2007,17.2,31.97
Honduras,HND,2008,16.5,29.35
Honduras,HND,2009,13.8,26.82
Honduras,HND,2010,15,29.11
Honduras,HND,2011,17.1,32.67
Honduras,HND,2012,19.6,37.26
Honduras,HND,2013,17.3,34.55
Honduras,HND,2014,15.9,31.21
Honduras,HND,2015,16.2,
Honduras,HND,2016,16,
Hungary,HUN,1987,0.1,0.1
Hungary,HUN,1989,0.1,0.41
Hungary,HUN,1993,0.2,0.37
Hungary,HUN,1998,,0.54
Hungary,HUN,1999,,0.27
Hungary,HUN,2000,,0.3
Hungary,HUN,2001,,0.18
Hungary,HUN,2002,,0.07
Hungary,HUN,2003,,0.42
Hungary,HUN,2004,0.2,0.24
Hungary,HUN,2005,0.7,1.5
Hungary,HUN,2006,0.2,0.26
Hungary,HUN,2007,0,0.33
Hungary,HUN,2008,0,0.17
Hungary,HUN,2009,0,0.15
Hungary,HUN,2010,0,0.26
Hungary,HUN,2011,0,0.3
Hungary,HUN,2012,0.2,0.52
Hungary,HUN,2013,0.2,
Hungary,HUN,2014,0.7,
Hungary,HUN,2015,0.5,
IBRD only,,1981,,69.08
IBRD only,,1984,,67.87
IBRD only,,1987,,64.4
IBRD only,,1990,,63.46
IBRD only,,1993,,61.35
IBRD only,,1996,,57.1
IBRD only,,1999,,55.13
IBRD only,,2002,,49.59
IBRD only,,2005,,42.96
IBRD only,,2008,,37.83
IBRD only,,2010,,34.17
IBRD only,,2011,,30.6
IBRD only,,2012,,28.33
IBRD only,,2013,,24.61
IDA & IBRD total,,1981,,69.91
IDA & IBRD total,,1984,,69.06
IDA & IBRD total,,1987,,66.34
IDA & IBRD total,,1990,,65.55
IDA & IBRD total,,1993,,64.2
IDA & IBRD total,,1996,,60.39
IDA & IBRD total,,1999,,58.92
