Entity,Code,Year,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Total (%)
Bosnia and Herzegovina,BIH,2010,56.9
Bosnia and Herzegovina,BIH,2011,56.8
Brazil,BRA,2004,42.4
Brazil,BRA,2006,45.5
Brazil,BRA,2007,47.6
Brazil,BRA,2008,49.5
Brazil,BRA,2009,50.1
Brazil,BRA,2010,50.6
Brazil,BRA,2011,53.6
Brazil,BRA,2012,54.6
Brazil,BRA,2013,55.8
Bulgaria,BGR,2001,87.9
Bulgaria,BGR,2006,91.3
Bulgaria,BGR,2007,92
Bulgaria,BGR,2008,92.2
Bulgaria,BGR,2009,92.6
Bulgaria,BGR,2010,93.2
Bulgaria,BGR,2011,93.7
Bulgaria,BGR,2012,94.3
Bulgaria,BGR,2013,94.3
Bulgaria,BGR,2014,94.2
Burkina Faso,BFA,2006,7.9
Burkina Faso,BFA,2007,2
Burkina Faso,BFA,2014,8.5
Cambodia,KHM,2007,15.2
Cambodia,KHM,2008,17
Cambodia,KHM,2009,15.5
Cameroon,CMR,2010,36.2
Cayman Islands,CYM,2004,78.7
Cayman Islands,CYM,2005,83.9
Cayman Islands,CYM,2006,81.1
Cayman Islands,CYM,2007,92
Cayman Islands,CYM,2008,91.4
Cayman Islands,CYM,2014,94.8
Chad,TCD,2004,5.5
Chile,CHL,2004,76
Chile,CHL,2007,75.8
Chile,CHL,2008,74.4
Chile,CHL,2009,78.4
Chile,CHL,2010,75
Chile,CHL,2011,72.9
Chile,CHL,2013,76
China,CHN,2000,52.3
China,CHN,2010,65.3
Colombia,COL,2004,37.9
Colombia,COL,2005,40.7
Colombia,COL,2006,40.5
Colombia,COL,2007,41.6
Colombia,COL,2008,43.7
Colombia,COL,2009,43.1
Colombia,COL,2010,44.5
Colombia,COL,2011,56.3
Colombia,COL,2012,57.3
Colombia,COL,2013,58.8
Colombia,COL,2014,49.5
Costa Rica,CRI,2007,47.7
Costa Rica,CRI,2008,49.8
Costa Rica,CRI,2009,50.1
Costa Rica,CRI,2010,49
Costa Rica,CRI,2011,50.1
Costa Rica,CRI,2012,50.8
Costa Rica,CRI,2014,54.7
Croatia,HRV,2001,78.3
Croatia,HRV,2011,89.2
Cuba,CUB,2002,68.8
Cuba,CUB,2012,81.1
Cyprus,CYP,2004,67.4
Cyprus,CYP,2005,69.2
Cyprus,CYP,2006,71.7
Cyprus,CYP,2007,73.4
Cyprus,CYP,2008,74
Cyprus,CYP,2009,74.5
Cyprus,CYP,2010,75.8
Cyprus,CYP,2011,77.2
Cyprus,CYP,2012,78.7
Cyprus,CYP,2013,79.7
Cyprus,CYP,2014,79
Czech Republic,CZE,2006,99.8
Czech Republic,CZE,2007,99.8
Czech Republic,CZE,2008,99.8
Czech Republic,CZE,2009,99.8
Czech Republic,CZE,2010,99.8
Czech Republic,CZE,2011,99.8
Czech Republic,CZE,2012,99.8
Czech Republic,CZE,2013,99.8
Czech Republic,CZE,2014,99.8
Democratic Republic of Congo,COD,2013,42.5
Denmark,DNK,2003,99.7
Denmark,DNK,2004,100
Denmark,DNK,2005,99.7
Denmark,DNK,2007,100
Denmark,DNK,2008,100
Denmark,DNK,2009,100
Denmark,DNK,2010,100
Denmark,DNK,2011,100
Denmark,DNK,2012,99.7
Denmark,DNK,2013,99.6
Denmark,DNK,2014,91.5
Dominica,DMA,2001,26.6
Dominican Republic,DOM,2007,42.5
Dominican Republic,DOM,2010,52.6
Dominican Republic,DOM,2011,53.8
Dominican Republic,DOM,2012,54.4
Dominican Republic,DOM,2013,55.2
Dominican Republic,DOM,2014,56.4
Ecuador,ECU,2009,36.6
Ecuador,ECU,2010,39.8
Ecuador,ECU,2013,47.9
Ecuador,ECU,2014,48.8
El Salvador,SLV,2006,36.9
El Salvador,SLV,2007,34.5
El Salvador,SLV,2008,36.6
El Salvador,SLV,2009,37.5
El Salvador,SLV,2010,41.7
El Salvador,SLV,2011,38.6
El Salvador,SLV,2012,39.8
El Salvador,SLV,2013,41
Estonia,EST,2000,89.4
Ethiopia,ETH,2007,7.2
Ethiopia,ETH,2011,12.5
Fiji,FJI,1996,45.1
Fiji,FJI,2007,60.3
France,FRA,2004,74.1
France,FRA,2005,74.7
France,FRA,2007,76.9
France,FRA,2008,77.9
France,FRA,2009,78.4
France,FRA,2010,79.2
France,FRA,2011,79.8
France,FRA,2012,80.5
France,FRA,2013,81.5
France,FRA,2014,82.6
Georgia,GEO,2002,91.1
Georgia,GEO,2012,95.6
Georgia,GEO,2014,96.7
Germany,DEU,2004,97.8
Germany,DEU,2005,96.9
Germany,DEU,2006,96.9
Germany,DEU,2007,97.1
Germany,DEU,2008,96.7
Germany,DEU,2009,96.7
Germany,DEU,2010,96.5
Germany,DEU,2011,96.7
Germany,DEU,2012,96.7
Germany,DEU,2013,96.7
Germany,DEU,2014,96.8
Ghana,GHA,2010,54.3
Greece,GRC,2005,58.3
Greece,GRC,2006,53.5
Greece,GRC,2007,61.6
Greece,GRC,2008,62
Greece,GRC,2010,63.1
Greece,GRC,2014,67.5
Guatemala,GTM,2002,17.1
Guatemala,GTM,2006,14.8
Guatemala,GTM,2012,24.2
Guatemala,GTM,2013,25.4
Guatemala,GTM,2014,36.8
Guyana,GUY,2002,31.2
Honduras,HND,2007,19.9
Honduras,HND,2011,27.6
Honduras,HND,2012,27.1
Honduras,HND,2014,32.4
Hong Kong,HKG,1996,61.9
Hong Kong,HKG,2006,71.2
Hong Kong,HKG,2008,72.3
Hong Kong,HKG,2009,73.1
Hong Kong,HKG,2010,74
Hong Kong,HKG,2011,75.4
Hong Kong,HKG,2014,77.4
Hungary,HUN,2001,87.3
Hungary,HUN,2005,90.8
Hungary,HUN,2009,97.6
Hungary,HUN,2010,97.9
Hungary,HUN,2011,98.2
Hungary,HUN,2012,98.3
Hungary,HUN,2013,98.4
Hungary,HUN,2014,96.6
Iceland,ISL,2005,95.8
Indonesia,IDN,2006,43.3
Indonesia,IDN,2007,40.4
Indonesia,IDN,2008,41.4
Indonesia,IDN,2009,42.3
Indonesia,IDN,2011,44.5
Indonesia,IDN,2014,47.3
Iran,IRN,2006,67.9
Iran,IRN,2008,60.1
Iran,IRN,2010,62.5
Iran,IRN,2012,64.7
Iran,IRN,2013,67.7
Ireland,IRL,2007,77
Ireland,IRL,2010,81.1
Ireland,IRL,2011,83.5
Israel,ISR,2004,51.7
Israel,ISR,2006,75.3
Israel,ISR,2007,84.4
Israel,ISR,2009,84.8
Israel,ISR,2010,85.1
Israel,ISR,2011,85.7
Israel,ISR,2012,86.2
Israel,ISR,2013,88.4
Israel,ISR,2014,88.8
Italy,ITA,2001,64.4
Italy,ITA,2005,68.8
Italy,ITA,2006,70
Italy,ITA,2007,70.9
Italy,ITA,2008,71.9
Italy,ITA,2009,72.8
Italy,ITA,2010,73.8
Italy,ITA,2011,74.8
Italy,ITA,2012,75.7
Jamaica,JAM,2011,60.7
Jordan,JOR,2003,42.4
Jordan,JOR,2007,70.4
Jordan,JOR,2008,73.3
Jordan,JOR,2010,74.1
Kazakhstan,KAZ,1999,82.1
Kazakhstan,KAZ,2007,99.3
Kenya,KEN,2009,32.9
Kenya,KEN,2010,29.1
Kuwait,KWT,2005,43.6
Kuwait,KWT,2006,44.8
Kuwait,KWT,2007,46.3
Kuwait,KWT,2008,48.9
Kuwait,KWT,2012,56
Kuwait,KWT,2013,50.8
Kyrgyzstan,KGZ,1999,89.2
Kyrgyzstan,KGZ,2009,95.7
Latvia,LVA,2004,97
Latvia,LVA,2005,98
Latvia,LVA,2006,98.3
Latvia,LVA,2007,98.2
Latvia,LVA,2008,97.9
Latvia,LVA,2009,99
Latvia,LVA,2010,99.1
Latvia,LVA,2011,99.1
Latvia,LVA,2012,99.2
Latvia,LVA,2013,99.3
Latvia,LVA,2014,99.1
Lebanon,LBN,2007,54.3
Lesotho,LSO,2006,25.6
Lesotho,LSO,2008,20.9
Lithuania,LTU,2005,87
Lithuania,LTU,2006,88.1
Lithuania,LTU,2007,88.6
Lithuania,LTU,2008,89.6
Lithuania,LTU,2009,90.2
Lithuania,LTU,2010,91
Lithuania,LTU,2011,91.6
Lithuania,LTU,2012,91.4
Lithuania,LTU,2013,92.3
Lithuania,LTU,2014,93.1
Luxembourg,LUX,2001,100
Luxembourg,LUX,2003,100
Luxembourg,LUX,2007,95
Macao,MAC,2001,52.3
Macao,MAC,2006,60.6
Macao,MAC,2011,68.5
Macedonia,MKD,2002,47.8
Malawi,MWI,1998,8.6
Malaysia,MYS,2000,56.5
Malaysia,MYS,2005,46.5
Malaysia,MYS,2009,66.9
Malaysia,MYS,2010,68.2
Maldives,MDV,2006,15.9
Mali,MLI,2006,10.3
Mali,MLI,2011,10.9
Mali,MLI,2015,11.5
Malta,MLT,2000,39.1
Malta,MLT,2005,63.2
Malta,MLT,2007,62.5
Malta,MLT,2010,68.1
Malta,MLT,2011,69.7
Malta,MLT,2012,73.3
Malta,MLT,2013,75.6
Malta,MLT,2014,76.9
Marshall Islands,MHL,2011,92.1
Mauritius,MUS,2000,39.1
Mauritius,MUS,2011,54.2
Mexico,MEX,2000,40.4
Mexico,MEX,2004,48
Mexico,MEX,2005,47.7
Mexico,MEX,2006,51.8
Mexico,MEX,2007,51.8
Mexico,MEX,2008,52.8
Mexico,MEX,2009,54.4
Mexico,MEX,2010,53.1
Mexico,MEX,2012,58
Mexico,MEX,2013,56.6
Mexico,MEX,2014,57.5
Moldova,MDA,2007,91.7
Moldova,MDA,2008,92.5
Moldova,MDA,2009,93.3
Moldova,MDA,2010,93.8
Moldova,MDA,2011,94.3
Moldova,MDA,2012,95
Moldova,MDA,2013,95.5
Moldova,MDA,2014,96.2
Mongolia,MNG,2000,80.2
Mongolia,MNG,2010,84.7
Montenegro,MNE,2003,83.5
Montenegro,MNE,2011,89.4
Mozambique,MOZ,2011,16.1
Namibia,NAM,2001,28.5
Netherlands,NLD,2004,89.2
Netherlands,NLD,2005,89
Netherlands,NLD,2007,90.2
Netherlands,NLD,2008,89.5
Netherlands,NLD,2009,89.4
Netherlands,NLD,2010,89.5
Netherlands,NLD,2011,89.4
Netherlands,NLD,2012,89.9
Netherlands,NLD,2013,89.4
Netherlands,NLD,2014,89.4
New Zealand,NZL,2014,100
Norway,NOR,2004,99.8
Norway,NOR,2005,99.8
Norway,NOR,2006,99.8
Norway,NOR,2007,99.8
Norway,NOR,2008,99.7
Norway,NOR,2009,99.7
Norway,NOR,2010,99.7
Norway,NOR,2011,99.6
Norway,NOR,2014,99.2
Oman,OMN,2003,39.4
Oman,OMN,2008,54
Oman,OMN,2010,52.3
Pakistan,PAK,2005,21.4
Pakistan,PAK,2006,32.5
Pakistan,PAK,2008,31.2
Pakistan,PAK,2009,32.2
Pakistan,PAK,2010,33.4
Pakistan,PAK,2011,33.2
Pakistan,PAK,2012,35
Pakistan,PAK,2013,35.4
Palestine,PSE,2004,45.4
Palestine,PSE,2006,47.3
Palestine,PSE,2007,49.1
Palestine,PSE,2008,50.1
Palestine,PSE,2009,52.1
Palestine,PSE,2010,52.7
Palestine,PSE,2011,54.3
Palestine,PSE,2012,56.7
Palestine,PSE,2013,58
Palestine,PSE,2014,58.8
Panama,PAN,2000,47.5
Panama,PAN,2010,61.5
Paraguay,PRY,2003,34.9
Paraguay,PRY,2005,41.7
Paraguay,PRY,2006,38.8
Paraguay,PRY,2007,37
Paraguay,PRY,2008,38.8
Paraguay,PRY,2009,33.3
Paraguay,PRY,2014,46.7
Peru,PER,2004,61.7
Peru,PER,2005,50.2
Peru,PER,2006,49.7
Peru,PER,2007,52.6
Peru,PER,2008,52.9
Peru,PER,2009,53
Peru,PER,2010,59.2
Peru,PER,2011,59.6
Peru,PER,2012,61.1
Peru,PER,2013,61.9
Peru,PER,2014,61.6
Philippines,PHL,2000,50.5
Philippines,PHL,2004,63.6
Philippines,PHL,2008,64.9
Philippines,PHL,2010,66.8
Philippines,PHL,2013,70.1
Poland,POL,2008,78.9
Poland,POL,2009,80
Poland,POL,2010,80.9
Poland,POL,2011,81.7
Poland,POL,2012,82.3
Poland,POL,2013,83.1
Poland,POL,2014,83.9
Portugal,PRT,1998,23.6
Portugal,PRT,1999,24.3
Portugal,PRT,2000,25.1
Portugal,PRT,2001,26.3
Portugal,PRT,2002,27.2
Portugal,PRT,2003,29.2
Portugal,PRT,2004,31.9
Portugal,PRT,2005,33.4
Portugal,PRT,2006,35
Portugal,PRT,2007,35.5
Portugal,PRT,2008,37.5
Portugal,PRT,2009,39.7
Portugal,PRT,2010,41.3
Portugal,PRT,2011,45
Portugal,PRT,2012,47.2
Portugal,PRT,2013,49.3
Portugal,PRT,2014,51.4
Puerto Rico,PRI,2000,81.6
Puerto Rico,PRI,2012,80
Qatar,QAT,2004,54.1
Qatar,QAT,2007,63.9
Qatar,QAT,2008,66.2
Qatar,QAT,2009,63.4
Qatar,QAT,2010,46.8
Qatar,QAT,2011,52.6
Qatar,QAT,2012,60.5
Qatar,QAT,2013,69.5
Qatar,QAT,2014,68.4
Romania,ROU,2002,79.2
Romania,ROU,2007,85.7
Romania,ROU,2008,86.4
Romania,ROU,2009,86.8
Romania,ROU,2010,87.3
Romania,ROU,2011,88.2
Romania,ROU,2012,88.9
Romania,ROU,2013,89.4
Romania,ROU,2014,89.1
Russia,RUS,2002,97.1
Russia,RUS,2010,93.7
Rwanda,RWA,2012,12.2
Saint Lucia,LCA,2013,45.9
Sao Tome and Principe,STP,2012,38.9
Saudi Arabia,SAU,2000,42.8
Saudi Arabia,SAU,2004,48.8
Saudi Arabia,SAU,2013,66.5
Senegal,SEN,2006,7.5
Senegal,SEN,2011,10.8
Senegal,SEN,2013,13.9
Serbia,SRB,2002,53.8
Serbia,SRB,2008,84.7
Serbia,SRB,2009,85.1
Serbia,SRB,2010,85.6
Serbia,SRB,2011,84.6
Serbia,SRB,2013,85.8
Serbia,SRB,2014,86.7
Seychelles,SYC,2002,69.6
Singapore,SGP,2005,70.8
Singapore,SGP,2006,71.9
Singapore,SGP,2007,73
Singapore,SGP,2008,74.9
Singapore,SGP,2009,74.8
Singapore,SGP,2010,76.2
Singapore,SGP,2011,76.7
Singapore,SGP,2012,77.4
Singapore,SGP,2013,78.1
Singapore,SGP,2014,78.6
Slovakia,SVK,2001,99.6
Slovakia,SVK,2012,99.3
Slovakia,SVK,2013,99.3
Slovakia,SVK,2014,99.3
Slovenia,SVN,2004,100
Slovenia,SVN,2005,94.3
Slovenia,SVN,2006,95
Slovenia,SVN,2007,94.5
Slovenia,SVN,2008,95.2
Slovenia,SVN,2009,95.6
Slovenia,SVN,2010,95.4
Slovenia,SVN,2011,96
Slovenia,SVN,2012,96.9
Slovenia,SVN,2013,97.1
Slovenia,SVN,2014,97.3
South Africa,ZAF,2001,55.6
South Africa,ZAF,2002,61.4
South Africa,ZAF,2003,64
South Africa,ZAF,2004,64.4
South Africa,ZAF,2005,65.4
South Africa,ZAF,2006,66.4
South Africa,ZAF,2007,67.3
South Africa,ZAF,2008,68
South Africa,ZAF,2009,71.9
South Africa,ZAF,2010,72.2
South Africa,ZAF,2011,73.1
South Africa,ZAF,2012,75.3
South Africa,ZAF,2014,76.6
South Korea,KOR,1995,73
South Korea,KOR,2000,77
South Korea,KOR,2005,80.5
South Korea,KOR,2009,77.9
South Korea,KOR,2010,82.9
South Sudan,SSD,2008,33.2
Spain,ESP,2004,59.3
Spain,ESP,2005,62.5
Spain,ESP,2006,63.8
Spain,ESP,2007,64.7
Spain,ESP,2008,65.6
Spain,ESP,2009,66.5
Spain,ESP,2010,67.4
Spain,ESP,2011,68.8
Spain,ESP,2012,69.9
Spain,ESP,2014,73.7
Sri Lanka,LKA,2001,74.8
Sri Lanka,LKA,2008,73.9
Sri Lanka,LKA,2009,74
Suriname,SUR,2004,50.6
Suriname,SUR,2012,61.8
Sweden,SWE,2004,88.4
Sweden,SWE,2005,89.1
Sweden,SWE,2006,89.8
Sweden,SWE,2007,90.4
Sweden,SWE,2008,85.8
Sweden,SWE,2009,86.4
Sweden,SWE,2010,87.1
Sweden,SWE,2011,87.7
Sweden,SWE,2012,88.3
Sweden,SWE,2013,88.9
Sweden,SWE,2014,89.5
Switzerland,CHE,2009,95.9
Switzerland,CHE,2010,95.8
Switzerland,CHE,2011,95.9
Switzerland,CHE,2012,96.1
Switzerland,CHE,2014,97
Syria,SYR,2002,24.8
Syria,SYR,2007,34.4
Syria,SYR,2008,32.8
Syria,SYR,2009,34.1
Tajikistan,TJK,2000,92.4
Tanzania,TZA,2002,6
Tanzania,TZA,2012,11
Thailand,THA,2004,33.2
Thailand,THA,2006,32.4
Thailand,THA,2010,38.7
Thailand,THA,2013,41.4
Togo,TGO,2009,26.9
Togo,TGO,2011,18.3
Tonga,TON,1996,74.1
Tonga,TON,2006,69.6
Tonga,TON,2011,88
Trinidad and Tobago,TTO,2008,59.8
Trinidad and Tobago,TTO,2009,59.6
Tunisia,TUN,2008,37.1
Tunisia,TUN,2010,39.3
Tunisia,TUN,2011,27.2
Tunisia,TUN,2012,39.8
Turkey,TUR,2004,29
Turkey,TUR,2005,30.6
Turkey,TUR,2006,31.7
Turkey,TUR,2007,32.3
Turkey,TUR,2008,34.9
Turkey,TUR,2009,36.4
Turkey,TUR,2010,46.6
Turkey,TUR,2011,49.7
Turkey,TUR,2012,51.1
Turkey,TUR,2013,52.7
Turkey,TUR,2014,55
Turkmenistan,TKM,1995,90.8
Uganda,UGA,2002,11.5
Uganda,UGA,2008,23.6
Uganda,UGA,2010,28.8
Uganda,UGA,2012,24
Ukraine,UKR,2001,88.5
United Arab Emirates,ARE,2005,62.7
United Kingdom,GBR,2009,99.8
United Kingdom,GBR,2010,99.8
United Kingdom,GBR,2011,99.9
United Kingdom,GBR,2012,99.8
United Kingdom,GBR,2013,99.8
United Kingdom,GBR,2014,99.9
United States,USA,2004,93.7
United States,USA,2005,93.7
United States,USA,2006,94.2
United States,USA,2008,94.5
United States,USA,2009,94.5
United States,USA,2010,94.8
United States,USA,2011,94.9
United States,USA,2012,95
United States,USA,2013,95.2
United States,USA,2014,95.3
Uruguay,URY,1996,42.4
Uruguay,URY,2003,59.3
Uruguay,URY,2006,47.1
Uruguay,URY,2008,51.2
Uruguay,URY,2009,49.8
Uruguay,URY,2010,49.5
Uruguay,URY,2011,51.2
Uruguay,URY,2012,52.5
Uruguay,URY,2013,52.3
Uruguay,URY,2014,53.4
Uzbekistan,UZB,2013,99.9
Venezuela,VEN,2001,28.9
Venezuela,VEN,2006,45.9
Venezuela,VEN,2007,50.9
Venezuela,VEN,2008,52.6
Venezuela,VEN,2009,53.8
Venezuela,VEN,2011,65.4
Vietnam,VNM,2009,65
Zambia,ZMB,2010,51.8
Zimbabwe,ZWE,2002,46
Zimbabwe,ZWE,2012,60.8
