Entity,Code,Year,16.a.1 - Proportion of countries that applied for accreditation as independent National Human Rights Institutions in compliance with the Paris Principles (%) - SG_NHR_INTEXST (%)
Oceania,,2015,0
Oceania,,2016,8.333333
Oceania,,2017,8.333333
Oceania,,2018,8.33333333333333
Oceania (exc. Australia and New Zealand),,2000,8.3
Oceania (exc. Australia and New Zealand),,2005,8.3
Oceania (exc. Australia and New Zealand),,2010,0
Oceania (exc. Australia and New Zealand),,2015,0
Oceania (exc. Australia and New Zealand),,2016,8.3
Oceania (exc. Australia and New Zealand),,2017,8.3
Oceania (exc. Australia and New Zealand),,2018,8.3
Small Island Developing States (SIDS),,2000,2.6
Small Island Developing States (SIDS),,2005,10.5
Small Island Developing States (SIDS),,2010,15.8
Small Island Developing States (SIDS),,2015,18.4
Small Island Developing States (SIDS),,2016,21.1
Small Island Developing States (SIDS),,2017,21.1
Small Island Developing States (SIDS),,2018,21.0526315789474
South Eastern Asia,,2000,18.2
South Eastern Asia,,2005,36.4
South Eastern Asia,,2010,45.5
South Eastern Asia,,2015,54.5
South Eastern Asia,,2016,54.5
South Eastern Asia,,2017,54.5
South Eastern Asia,,2018,54.5454545454545
Southern Asia,,2000,33.3
Southern Asia,,2005,44.4
Southern Asia,,2010,66.7
Southern Asia,,2015,77.8
Southern Asia,,2016,77.8
Southern Asia,,2017,77.8
Southern Asia,,2018,77.7777777777778
Sub-Saharan Africa,,2000,18.75
Sub-Saharan Africa,,2005,39.583333
Sub-Saharan Africa,,2010,41.666667
Sub-Saharan Africa,,2015,47.916667
Sub-Saharan Africa,,2016,50
Sub-Saharan Africa,,2017,54
Sub-Saharan Africa,,2018,57.1428571428571
Sub-Saharan Africa (inc. Sudan),,2000,18.4
Sub-Saharan Africa (inc. Sudan),,2005,38.8
Sub-Saharan Africa (inc. Sudan),,2010,40.8
Sub-Saharan Africa (inc. Sudan),,2015,46.9
Sub-Saharan Africa (inc. Sudan),,2016,48.9
Sub-Saharan Africa (inc. Sudan),,2017,53.1
Sub-Saharan Africa (inc. Sudan),,2018,57.1428571428571
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,0
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,7.7
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,23.1
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2015,38.5
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,46.2
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2017,46.2
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2018,46.1538461538461
World,OWID_WRL,2000,21.3
World,OWID_WRL,2005,35.5
World,OWID_WRL,2010,45.2
World,OWID_WRL,2015,54.3
World,OWID_WRL,2016,57.3
World,OWID_WRL,2017,58.9
World,OWID_WRL,2018,59.8984771573604
