Entity,Code,Year,"Share of students achieving the advanced threshold (Altinok, Angrist, and Patrinos (2018))  (%)"
Canada,CAN,2005,21.48
Canada,CAN,2010,21.42
Canada,CAN,2015,20.56
Canada (Alberta),,1990,26.71
Canada (Alberta),,2005,12.96
Canada (Alberta),,2010,13.11
Canada (British Colombia),,1980,21.87
Canada (British Colombia),,1985,21.99
Canada (British Colombia),,1990,17.01
Canada (British Colombia),,1995,18.48
Canada (British Colombia),,2000,18.52
Canada (British Colombia),,2005,18.1
Canada (Nova Scotia),,1990,14.4
Canada (Ontario),,1980,19.03
Canada (Ontario),,1985,23.02
Canada (Ontario),,1990,17.18
Canada (Ontario),,1995,15.76
Canada (Ontario),,2000,18.13
Canada (Ontario),,2005,18.62
Canada (Ontario),,2010,19.28
Canada (Ontario),,2015,19.98
Canada (Quebec),,1990,27.71
Canada (Quebec),,2000,21.77
Canada (Quebec),,2005,19.2
Canada (Quebec),,2010,22.26
Canada (Quebec),,2015,27.41
Chad,TCD,2005,0
Chad,TCD,2010,0
Chile,CHL,1970,3.78
Chile,CHL,1975,2.91
Chile,CHL,1980,2.03
Chile,CHL,1985,1.88
Chile,CHL,1990,2.32
Chile,CHL,1995,1.26
Chile,CHL,2000,0.89
Chile,CHL,2005,2.07
Chile,CHL,2010,2.16
Chile,CHL,2015,6.05
China,CHN,2000,28.86
China,CHN,2010,59.87
China,CHN,2015,38.27
Colombia,COL,1995,1.01
Colombia,COL,2000,1.19
Colombia,COL,2005,0.9
Colombia,COL,2010,0.54
Colombia,COL,2015,1.12
Comoros,COM,2010,0
Costa Rica,CRI,2005,3.09
Costa Rica,CRI,2010,3.09
Costa Rica,CRI,2015,1.46
Cote d'Ivoire,CIV,1995,0
Cote d'Ivoire,CIV,2005,0
Cote d'Ivoire,CIV,2010,0
Croatia,HRV,2000,7.03
Croatia,HRV,2005,11.77
Croatia,HRV,2010,9.66
Croatia,HRV,2015,13.31
Cuba,CUB,1995,45.47
Cuba,CUB,2005,27.43
Cyprus,CYP,1990,15.46
Cyprus,CYP,1995,12.26
Cyprus,CYP,2000,12.6
Cyprus,CYP,2005,16.15
Cyprus,CYP,2010,22.42
Cyprus,CYP,2015,25.02
Czech Republic,CZE,1995,33.46
Czech Republic,CZE,2000,26.51
Czech Republic,CZE,2005,24.19
Czech Republic,CZE,2010,14.87
Czech Republic,CZE,2015,22.4
Democratic Republic of Congo,COD,2010,0
Denmark,DNK,2000,17.76
Denmark,DNK,2005,22.42
Denmark,DNK,2010,23.5
Denmark,DNK,2015,27.51
Dominican Republic,DOM,1995,0
Dominican Republic,DOM,2005,0
Dominican Republic,DOM,2015,2.38
Ecuador,ECU,2005,0.46
Ecuador,ECU,2010,0.99
Ecuador,ECU,2015,3.04
Egypt,EGY,2005,4.29
Egypt,EGY,2010,3.17
Egypt,EGY,2015,5.09
El Salvador,SLV,2005,0.46
England,,1970,19.63
England,,1975,18.38
England,,1980,17.7
England,,1985,22.22
England,,1990,19.27
England,,1995,6.59
England,,2000,9.76
England,,2005,25.66
England,,2010,30.15
England,,2015,30.67
Estonia,EST,2005,26.34
Estonia,EST,2010,23.46
Estonia,EST,2015,27.97
Finland,FIN,1970,0
Finland,FIN,1975,0
Finland,FIN,1980,0
Finland,FIN,1985,1.67
Finland,FIN,1990,7.7
Finland,FIN,1995,0
Finland,FIN,2000,14.47
Finland,FIN,2005,20.8
Finland,FIN,2010,25.35
Finland,FIN,2015,25.29
France,FRA,1970,22.03
France,FRA,1975,20.79
France,FRA,1980,27.42
France,FRA,1985,15.3
France,FRA,1990,15.47
France,FRA,1995,17.9
France,FRA,2000,20.02
France,FRA,2005,20.93
France,FRA,2010,23.3
France,FRA,2015,15.8
Gabon,GAB,2005,0
Gambia,GMB,2000,0
Georgia,GEO,2005,5.17
Georgia,GEO,2010,4.97
Georgia,GEO,2015,9.16
Germany,DEU,1975,41.26
Germany,DEU,1985,9.56
Germany,DEU,1990,12.23
Germany,DEU,1995,14.65
Germany,DEU,2000,15.4
Germany,DEU,2005,23.11
Germany,DEU,2010,26.28
Germany,DEU,2015,22.91
Ghana,GHA,2005,0
Ghana,GHA,2010,0
Greece,GRC,1990,13.88
Greece,GRC,1995,11.68
Greece,GRC,2000,13.76
Greece,GRC,2005,9.06
Greece,GRC,2010,12.86
Greece,GRC,2015,11.52
Guatemala,GTM,2005,0.7
Guatemala,GTM,2010,0.25
Guatemala,GTM,2015,2.32
Honduras,HND,1995,0
Honduras,HND,2010,0.35
Hong Kong,HKG,1980,20.15
Hong Kong,HKG,1985,32.33
Hong Kong,HKG,1990,33.56
Hong Kong,HKG,1995,44.6
Hong Kong,HKG,2000,48.63
Hong Kong,HKG,2005,55.93
Hong Kong,HKG,2010,60.87
Hong Kong,HKG,2015,66.66
Hungary,HUN,1970,22.65
Hungary,HUN,1975,23.17
Hungary,HUN,1980,25.88
Hungary,HUN,1985,28.28
Hungary,HUN,1990,26.78
Hungary,HUN,1995,25.67
Hungary,HUN,2000,27.44
Hungary,HUN,2005,27.46
Hungary,HUN,2010,24.08
Hungary,HUN,2015,29.4
Iceland,ISL,1990,10.07
Iceland,ISL,1995,6
Iceland,ISL,2000,11.77
Iceland,ISL,2005,13.23
Iceland,ISL,2010,23.41
Iceland,ISL,2015,21.11
India,IND,2010,0.26
Indonesia,IDN,2000,4.54
Indonesia,IDN,2005,4.07
Indonesia,IDN,2010,2.83
Indonesia,IDN,2015,1.63
Iran,IRN,1970,1.48
Iran,IRN,1975,1.48
Iran,IRN,1980,1.49
Iran,IRN,1985,1.49
Iran,IRN,1990,1.49
Iran,IRN,1995,1.49
Iran,IRN,2000,1.82
Iran,IRN,2005,1.26
Iran,IRN,2010,2.05
Iran,IRN,2015,6.65
Ireland,IRL,1990,11.75
Ireland,IRL,1995,27.64
Ireland,IRL,2000,22.62
Ireland,IRL,2005,23.32
Ireland,IRL,2010,22.13
Ireland,IRL,2015,30.03
Israel,ISR,1990,24.83
Israel,ISR,1995,19.55
Israel,ISR,2000,12.42
Israel,ISR,2005,17.67
Israel,ISR,2010,15.57
Israel,ISR,2015,29.19
Italy,ITA,1970,9.77
Italy,ITA,1975,10.62
Italy,ITA,1985,15.9
Italy,ITA,1990,20
Italy,ITA,1995,14.66
Italy,ITA,2000,11.02
Italy,ITA,2005,15.33
Italy,ITA,2010,14.83
Italy,ITA,2015,15.48
Japan,JPN,1970,42.7
Japan,JPN,1975,42.39
Japan,JPN,1980,42.61
Japan,JPN,1985,45.19
Japan,JPN,1990,45.19
Japan,JPN,1995,49.09
Japan,JPN,2000,48.65
Japan,JPN,2005,45.74
Japan,JPN,2010,49.05
Japan,JPN,2015,58.01
Jordan,JOR,1990,0
Jordan,JOR,2000,6.8
Jordan,JOR,2005,5.66
Jordan,JOR,2010,6.27
Jordan,JOR,2015,2.17
Kazakhstan,KAZ,2000,23.31
Kazakhstan,KAZ,2005,35.17
Kazakhstan,KAZ,2010,20.82
Kazakhstan,KAZ,2015,32.64
Kenya,KEN,1995,6.56
Kenya,KEN,2000,5.59
Kenya,KEN,2005,3.57
Kuwait,KWT,2005,0.76
Kuwait,KWT,2010,0.15
Kuwait,KWT,2015,1.76
Kyrgyzstan,KGZ,2005,0.48
Kyrgyzstan,KGZ,2010,0
Latvia,LVA,1990,39.57
Latvia,LVA,1995,15.07
Latvia,LVA,2000,18.14
Latvia,LVA,2005,23.53
Latvia,LVA,2010,14.68
Latvia,LVA,2015,16.04
Lebanon,LBN,2005,3.48
Lebanon,LBN,2010,6.97
Lebanon,LBN,2015,6.05
Lesotho,LSO,2000,0
Lesotho,LSO,2005,0
Liberia,LBR,2000,0
Liechtenstein,LIE,2000,19.97
Liechtenstein,LIE,2005,29.74
Liechtenstein,LIE,2010,32.06
Lithuania,LTU,1995,8.57
Lithuania,LTU,2000,9.84
Lithuania,LTU,2005,24.57
Lithuania,LTU,2010,24.52
Lithuania,LTU,2015,25.47
Luxembourg,LUX,1980,11.59
Luxembourg,LUX,1985,20.18
Luxembourg,LUX,1990,6.97
Luxembourg,LUX,1995,18.29
Luxembourg,LUX,2000,5.42
Luxembourg,LUX,2005,17.62
Luxembourg,LUX,2010,20.58
Luxembourg,LUX,2015,19.55
Macao,MAC,2005,26.56
Macao,MAC,2010,29.57
Macao,MAC,2015,37.02
Macedonia,MKD,2000,6.9
Macedonia,MKD,2005,6.33
Macedonia,MKD,2010,6.27
Macedonia,MKD,2015,5.4
Madagascar,MDG,1995,0.99
Madagascar,MDG,2000,0
Madagascar,MDG,2005,1.45
Malawi,MWI,1995,0
Malawi,MWI,2000,0
Malawi,MWI,2005,0
Malaysia,MYS,2000,21.51
Malaysia,MYS,2005,18.22
Malaysia,MYS,2010,10.5
Malaysia,MYS,2015,12.17
Mali,MLI,2000,0
Malta,MLT,2005,17.73
Malta,MLT,2010,13.89
Malta,MLT,2015,19.25
Mauritius,MUS,1995,17.29
Mauritius,MUS,2000,14.61
Mauritius,MUS,2005,17.35
Mauritius,MUS,2010,5.98
Mexico,MEX,1995,1.44
Mexico,MEX,2000,1.02
Mexico,MEX,2005,3.84
Mexico,MEX,2010,4.2
Mexico,MEX,2015,4.19
Mexico (Nuevo Leo),,2005,4.17
Mexico (Nuevo Leo),,2010,5.18
Mexico (Nuevo Leo),,2015,9.25
Moldova,MDA,2000,9.13
Moldova,MDA,2005,15.61
Moldova,MDA,2010,3.49
Moldova,MDA,2015,6.81
Mongolia,MNG,2000,0
Mongolia,MNG,2005,4.38
Montenegro,MNE,2005,4.14
Montenegro,MNE,2010,3.96
Montenegro,MNE,2015,5.43
Morocco,MAR,2000,0.49
Morocco,MAR,2005,0.3
Morocco,MAR,2010,0.9
Morocco,MAR,2015,1.47
Mozambique,MOZ,1990,0
Mozambique,MOZ,2000,3.87
Mozambique,MOZ,2005,0
Namibia,NAM,1995,0
Namibia,NAM,2000,0
Namibia,NAM,2005,0
Nepal,NPL,2000,0
Netherlands,NLD,1970,3.85
Netherlands,NLD,1975,3.98
Netherlands,NLD,1980,4.02
Netherlands,NLD,1985,3.98
Netherlands,NLD,1990,3.94
Netherlands,NLD,1995,9.88
Netherlands,NLD,2000,11.8
Netherlands,NLD,2005,30.5
Netherlands,NLD,2010,29.98
Netherlands,NLD,2015,25.15
New Zealand,NZL,1970,22.76
New Zealand,NZL,1975,17.24
New Zealand,NZL,1980,10.97
New Zealand,NZL,1985,20.7
New Zealand,NZL,1990,8.16
New Zealand,NZL,1995,3.98
New Zealand,NZL,2000,7.73
New Zealand,NZL,2005,15.83
New Zealand,NZL,2010,15.88
New Zealand,NZL,2015,17.39
Nicaragua,NIC,2005,0.87
Nicaragua,NIC,2010,0
Nicaragua,NIC,2015,1.48
Niger,NER,2000,0
Nigeria,NGA,1980,0
Nigeria,NGA,1995,0
Northern Ireland,,2010,40.59
Northern Ireland,,2015,46.42
Norway,NOR,2000,15.39
Norway,NOR,2005,4.84
Norway,NOR,2010,6.56
Norway,NOR,2015,27.49
Oman,OMN,1995,0
Oman,OMN,2005,1.5
Oman,OMN,2010,1.34
Oman,OMN,2015,5.33
Pakistan,PAK,2000,0
Palestine,PSE,2005,2.36
Palestine,PSE,2010,2.9
Panama,PAN,2005,1.03
Panama,PAN,2010,0.25
Panama,PAN,2015,2.42
Paraguay,PRY,1995,0
Paraguay,PRY,2005,0.99
Paraguay,PRY,2010,0
Paraguay,PRY,2015,1.38
Peru,PER,1995,0
Peru,PER,2000,1.32
Peru,PER,2005,1.71
Peru,PER,2010,2.08
Peru,PER,2015,3.47
Philippines,PHL,2000,1.15
Philippines,PHL,2005,2.25
Poland,POL,2000,11.77
Poland,POL,2005,17.32
Poland,POL,2010,12.4
Poland,POL,2015,26.83
Portugal,PRT,1990,0
Portugal,PRT,1995,5.28
Portugal,PRT,2000,6.61
Portugal,PRT,2005,7.92
Portugal,PRT,2010,11.53
Portugal,PRT,2015,27.51
Puerto Rico,PRI,2015,0.1
Qatar,QAT,2005,0.79
Qatar,QAT,2010,0.07
Qatar,QAT,2015,8.38
Romania,ROU,1995,10.48
Romania,ROU,2000,10.76
Romania,ROU,2005,14.4
Romania,ROU,2010,15.25
Romania,ROU,2015,9.68
Russia,RUS,1990,44.48
Russia,RUS,1995,22.56
Russia,RUS,2000,23.81
Russia,RUS,2005,25.23
Russia,RUS,2010,29.57
Russia,RUS,2015,38.46
Saudi Arabia,SAU,2005,0.1
Saudi Arabia,SAU,2010,2.27
Saudi Arabia,SAU,2015,1.64
Scotland,,1970,9.4
Scotland,,1975,9.19
Scotland,,1980,9.15
Scotland,,1985,9.22
Scotland,,1990,9.29
Scotland,,1995,9.36
Scotland,,2000,9.67
Scotland,,2005,13.24
Senegal,SEN,1995,0
Senegal,SEN,2000,0
Senegal,SEN,2005,0
Serbia,SRB,2005,14.73
Serbia,SRB,2010,17.03
Serbia,SRB,2015,23.51
Seychelles,SYC,2000,5.35
Seychelles,SYC,2005,2.76
Singapore,SGP,1985,0
Singapore,SGP,1990,74.34
Singapore,SGP,1995,62.27
Singapore,SGP,2000,62.09
Singapore,SGP,2005,63.26
Singapore,SGP,2010,63.46
Singapore,SGP,2015,71.37
Slovakia,SVK,1995,25.4
Slovakia,SVK,2000,23.99
Slovakia,SVK,2005,16.62
Slovakia,SVK,2010,18.66
Slovakia,SVK,2015,15.9
Slovenia,SVN,1990,6.95
Slovenia,SVN,1995,26.19
Slovenia,SVN,2000,25.02
Slovenia,SVN,2005,10.85
Slovenia,SVN,2010,15.14
Slovenia,SVN,2015,20.47
South Africa,ZAF,1995,0
South Africa,ZAF,2000,1.88
South Africa,ZAF,2005,1.56
South Africa,ZAF,2010,0.44
South Africa,ZAF,2015,2.79
South Korea,KOR,1985,48.02
South Korea,KOR,1990,51.18
South Korea,KOR,1995,54.56
South Korea,KOR,2000,56.83
South Korea,KOR,2005,59.53
South Korea,KOR,2010,63.28
South Korea,KOR,2015,66.85
Spain,ESP,1990,24.16
Spain,ESP,1995,9.58
Spain,ESP,2000,10.26
Spain,ESP,2005,14.22
Spain,ESP,2010,11.05
Spain,ESP,2015,16.14
Spain (Basque Country),,2005,11.79
Spain (regions),,2015,18.05
Sri Lanka,LKA,2000,0
Swaziland,SWZ,1980,0
Swaziland,SWZ,2000,3.13
Swaziland,SWZ,2005,1.12
Sweden,SWE,1970,19.82
Sweden,SWE,1975,22.21
Sweden,SWE,1980,8.95
Sweden,SWE,1985,17.95
Sweden,SWE,1990,20.31
Sweden,SWE,1995,25.83
Sweden,SWE,2000,24.56
Sweden,SWE,2005,13.18
Sweden,SWE,2010,12.56
Sweden,SWE,2015,17.86
Switzerland,CHE,1990,46.2
Switzerland,CHE,1995,39.54
Switzerland,CHE,2000,27.5
Switzerland,CHE,2005,30.01
Switzerland,CHE,2010,35.39
Switzerland,CHE,2015,31.93
Syria,SYR,2005,1.76
Syria,SYR,2010,1.98
Taiwan,TWN,1990,51.64
Taiwan,TWN,2000,55.07
Taiwan,TWN,2005,53.76
Taiwan,TWN,2010,60.93
Taiwan,TWN,2015,63.21
Tanzania,TZA,2000,2.71
Tanzania,TZA,2005,2.18
Thailand,THA,1970,11.74
Thailand,THA,1975,11.74
Thailand,THA,1980,10.65
Thailand,THA,1985,10.85
Thailand,THA,1990,11.06
Thailand,THA,1995,11.73
Thailand,THA,2000,7.97
Thailand,THA,2005,7.94
Thailand,THA,2010,7.21
Thailand,THA,2015,6.94
Togo,TGO,2000,0
Togo,TGO,2005,0
Togo,TGO,2010,0
Trinidad and Tobago,TTO,2010,6.65
Trinidad and Tobago,TTO,2015,7.57
Tunisia,TUN,2000,3.34
Tunisia,TUN,2005,0.62
Tunisia,TUN,2010,0.62
Tunisia,TUN,2015,2.56
Turkey,TUR,2000,4.39
Turkey,TUR,2005,6.19
Turkey,TUR,2010,12.23
Turkey,TUR,2015,15.93
Uganda,UGA,2000,3.68
Uganda,UGA,2005,0.63
Ukraine,UKR,2005,9.5
Ukraine,UKR,2010,11.85
United Arab Emirates,ARE,2010,5.71
United Arab Emirates,ARE,2015,12.15
United Arab Emirates (Abu Dhabi),,2010,4.18
United Arab Emirates (Abu Dhabi),,2015,8.8
United Arab Emirates (Dubai),,2005,8.62
United Arab Emirates (Dubai),,2010,8.79
United Arab Emirates (Dubai),,2015,23.49
United Kingdom,GBR,1990,29.76
United Kingdom,GBR,2000,24.47
United Kingdom,GBR,2005,19.79
United Kingdom,GBR,2010,19.27
United Kingdom,GBR,2015,21.95
United States,USA,1970,17.93
United States,USA,1975,18.21
United States,USA,1980,18.52
United States,USA,1985,17.68
United States,USA,1990,18.57
United States,USA,1995,21.15
United States,USA,2000,22.77
United States,USA,2005,21.9
United States,USA,2010,24.77
United States,USA,2015,29.84
United States (Indiana State),,2005,22.93
United States (Massachusetts),,2005,40.56
United States (Massachusetts),,2015,22.81
United States (Minnesota),,2005,32.85
United States (North Carolina),,2015,14.76
Uruguay,URY,2005,8.28
Uruguay,URY,2010,8.35
Uruguay,URY,2015,6.8
Venezuela,VEN,1995,0
Venezuela,VEN,2010,3.06
Vietnam,VNM,2015,20.23
Yemen,YEM,2005,0
Yemen,YEM,2010,0
Zambia,ZMB,1995,0
Zambia,ZMB,2000,0
Zambia,ZMB,2005,0
Zanzibar,OWID_ZAN,1995,0
Zanzibar,OWID_ZAN,2000,0
Zanzibar,OWID_ZAN,2005,0.57
Zimbabwe,ZWE,2005,2.52
