Entity,Code,Year,15.2.1 - Proportion of forest area with a long-term management plan (%) - AG_LND_FRSTMGT (%)
Europe and Northern America,,2005,89.07037
Europe and Northern America,,2010,89.54505
"Europe, Western",,2000,51.83261
"Europe, Western",,2005,52.00728
"Europe, Western",,2010,52.72701
Fiji,FJI,2000,0.6426
Fiji,FJI,2005,0.6317
Fiji,FJI,2010,0.6213
Finland,FIN,2000,66.5479
Finland,FIN,2005,65.4285
Finland,FIN,2010,65.4285
France,FRA,2000,42.9167
France,FRA,2005,42.0708
France,FRA,2010,42.7855
French Guiana,GUF,2010,27.4932
Gabon,GAB,2000,0
Gabon,GAB,2005,14.5455
Gabon,GAB,2010,34.0909
Gambia,GMB,2000,5.9436
Gambia,GMB,2005,7.5159
Gambia,GMB,2010,15.7083
Georgia,GEO,2000,0
Georgia,GEO,2005,0
Georgia,GEO,2010,2.1223
Germany,DEU,2000,67.9668
Germany,DEU,2005,67.9668
Germany,DEU,2010,67.9668
Ghana,GHA,2000,7.9094
Ghana,GHA,2005,10.8574
Ghana,GHA,2010,19.6559
Guadeloupe,GLP,2005,43.4783
Guadeloupe,GLP,2010,53.0709
Guinea,GIN,2000,4.0267
Guinea,GIN,2005,4.655
Guinea,GIN,2010,4.9205
Guinea-Bissau,GNB,2000,0
Guinea-Bissau,GNB,2005,5.0676
Guinea-Bissau,GNB,2010,7.4184
Guyana,GUY,2000,36.3367
Guyana,GUY,2005,36.3367
Guyana,GUY,2010,36.3367
Honduras,HND,2005,18.5773
Honduras,HND,2010,20.7242
Hungary,HUN,2000,100
Hungary,HUN,2005,100
Hungary,HUN,2010,100
Iceland,ISL,2000,68.6957
Iceland,ISL,2005,75.1575
Iceland,ISL,2010,76.8963
India,IND,2000,43.6917
India,IND,2005,43.6929
India,IND,2010,44.7102
Indonesia,IDN,2000,59.2743
Indonesia,IDN,2005,49.744
Ireland,IRL,2000,81.4173
Ireland,IRL,2005,78.8489
Ireland,IRL,2010,77.1313
Israel,ISR,2000,75.817
Israel,ISR,2005,76.7742
Israel,ISR,2010,77.9221
Italy,ITA,2005,18.0158
Japan,JPN,2000,100
Japan,JPN,2005,100
Japan,JPN,2010,100
Kenya,KEN,2005,4.2306
Kenya,KEN,2010,23.7669
Kiribati,KIR,2000,2.1235
Kiribati,KIR,2005,2.1235
Kiribati,KIR,2010,2.1235
Kyrgyzstan,KGZ,2000,92.7182
Kyrgyzstan,KGZ,2005,96.641
Kyrgyzstan,KGZ,2010,89.1592
Landlocked developing countries,,2000,13.57556
Landlocked developing countries,,2005,15.45129
Landlocked developing countries,,2010,18.76144
Latin America and the Caribbean	,,2000,12.80452
Latin America and the Caribbean	,,2005,14.03421
Latin America and the Caribbean	,,2010,16.50874
Latvia,LVA,2000,100
Latvia,LVA,2005,100
Latvia,LVA,2010,100
Least Developed Countries (LDCs),,2000,16.79034
Least Developed Countries (LDCs),,2005,18.77387
Least Developed Countries (LDCs),,2010,27.02002
Lebanon,LBN,2000,0
Lebanon,LBN,2005,0
Lebanon,LBN,2010,0
Lesotho,LSO,2000,0
Lesotho,LSO,2005,0
Lesotho,LSO,2010,6.8182
Liberia,LBR,2000,0
Liberia,LBR,2005,0
Liberia,LBR,2010,6.1215
Liechtenstein,LIE,2000,100
Liechtenstein,LIE,2005,100
Liechtenstein,LIE,2010,100
Lithuania,LTU,2000,100
Lithuania,LTU,2005,100
Lithuania,LTU,2010,100
Macedonia,MKD,2000,91.9624
Macedonia,MKD,2005,92
Macedonia,MKD,2010,91.984
Madagascar,MDG,2000,0
Madagascar,MDG,2005,0
Madagascar,MDG,2010,0.0159
Malaysia,MYS,2000,85.3596
Malaysia,MYS,2005,92.5323
Malaysia,MYS,2010,92.5939
Mali,MLI,2000,1.1294
Mali,MLI,2005,1.1641
Mali,MLI,2010,4.7158
Malta,MLT,2000,100
Malta,MLT,2005,100
Malta,MLT,2010,100
Martinique,MTQ,2005,20.2062
Martinique,MTQ,2010,20.2062
Mauritania,MRT,2000,0
Mauritania,MRT,2005,0
Mauritania,MRT,2010,2.1942
Mauritius,MUS,2000,18.0879
Mauritius,MUS,2005,22.9226
Mauritius,MUS,2010,22.8571
Mayotte,MYT,2000,0
Mayotte,MYT,2005,0
Mayotte,MYT,2010,3.5831
Melanesia,OWID_MNS,2000,0.19522
Melanesia,OWID_MNS,2005,0.19522
Melanesia,OWID_MNS,2010,0.19522
Micronesia (country),FSM,2000,2.12346
Micronesia (country),FSM,2005,2.12346
Micronesia (country),FSM,2010,2.12346
Middle Africa,,2000,0.15025
Middle Africa,,2005,3.25199
Middle Africa,,2010,13.09529
Mongolia,MNG,2000,0
Mongolia,MNG,2005,0
Mongolia,MNG,2010,3.6704
Morocco,MAR,2000,4.8236
Morocco,MAR,2005,10.5491
Morocco,MAR,2010,19.197
Mozambique,MOZ,2000,0.2598
Mozambique,MOZ,2005,1.4197
Mozambique,MOZ,2010,2.309
Myanmar,MMR,2000,78.6939
Myanmar,MMR,2005,93.8537
Myanmar,MMR,2010,98.4263
Namibia,NAM,2000,5.5279
Namibia,NAM,2005,5.7956
Namibia,NAM,2010,8.1756
Nepal,NPL,2000,12.8205
Nepal,NPL,2005,30.3905
Nepal,NPL,2010,41.2541
Netherlands,NLD,2000,61.9444
Netherlands,NLD,2005,61.9178
Netherlands,NLD,2010,61.9178
New Zealand,NZL,2000,80.9339
New Zealand,NZL,2005,83.8768
New Zealand,NZL,2010,83.9037
Nicaragua,NIC,2000,0.6266
Nicaragua,NIC,2005,1.2182
Nicaragua,NIC,2010,3.2113
Niger,NER,2000,16.5663
Niger,NER,2005,17.3776
Niger,NER,2010,18.2724
Nigeria,NGA,2000,28.3931
Nigeria,NGA,2005,33.6369
Nigeria,NGA,2010,41.2565
Northern Africa,,2000,20.55332
Northern Africa,,2005,27.21522
Northern Africa,,2010,36.78919
Northern Africa (exc. Sudan),,2000,20.55332
Northern Africa (exc. Sudan),,2005,27.21522
Northern Africa (exc. Sudan),,2010,36.78919
Northern Africa and Western Asia,,2000,51.71977
Northern Africa and Western Asia,,2005,56.52872
Northern Africa and Western Asia,,2010,62.54677
Northern America,,2000,64.37992
Northern America,,2005,66.08252
Northern America,,2010,67.78535
Northern Europe,,2000,78.68517
Northern Europe,,2005,78.87653
Northern Europe,,2010,79.04364
Norway,NOR,2000,59.1227
Norway,NOR,2005,48.8175
Norway,NOR,2010,46.9647
Oceania,,2000,23.14006
Oceania,,2005,23.48267
Oceania,,2010,24.0809
Oceania (exc. Australia and New Zealand),,2000,0.26299
Oceania (exc. Australia and New Zealand),,2005,0.26299
Oceania (exc. Australia and New Zealand),,2010,0.26576
Panama,PAN,2000,3.2057
Panama,PAN,2005,2.5076
Panama,PAN,2010,2.0917
Peru,PER,2000,83.0292
Peru,PER,2005,90.0425
Peru,PER,2010,90.3445
Philippines,PHL,2000,29.3663
Philippines,PHL,2005,29.36
Philippines,PHL,2010,29.3542
Poland,POL,2000,92.9242
Poland,POL,2005,91.7935
Poland,POL,2010,89.7719
Polynesia,OWID_PYA,2000,13.45895
Polynesia,OWID_PYA,2005,13.45895
Polynesia,OWID_PYA,2010,14.0646
Portugal,PRT,2010,31.2789
Reunion,REU,2000,45.977
Reunion,REU,2005,48.2353
Reunion,REU,2010,61.3636
Romania,ROU,2000,94.2978
Romania,ROU,2005,94.3201
Romania,ROU,2010,79.2637
Russia,RUS,2000,100
Russia,RUS,2005,100
Russia,RUS,2010,100
Saint Pierre and Miquelon,SPM,2000,0
Saint Pierre and Miquelon,SPM,2005,11
Saint Pierre and Miquelon,SPM,2010,11.3793
Senegal,SEN,2000,0.6294
Senegal,SEN,2005,4.047
Senegal,SEN,2010,5.9011
Serbia,SRB,2000,81.2602
Serbia,SRB,2005,80.1696
Serbia,SRB,2010,83.0077
Sierra Leone,SLE,2010,2.7513
Slovakia,SVK,2000,100
Slovakia,SVK,2005,100
Slovakia,SVK,2010,100
Slovenia,SVN,2000,100
Slovenia,SVN,2005,100
Slovenia,SVN,2010,100
Small Island Developing States (SIDS),,2000,27.11763
Small Island Developing States (SIDS),,2005,29.58304
Small Island Developing States (SIDS),,2010,34.64517
Solomon Islands,SLB,2000,0
Solomon Islands,SLB,2005,0
Solomon Islands,SLB,2010,0
South Africa,ZAF,2000,21.6643
South Africa,ZAF,2005,22.0539
South Africa,ZAF,2010,22.7897
South America,,2000,12.84287
South America,,2005,14.01953
South America,,2010,16.34983
South Eastern Asia,,2000,82.38024
South Eastern Asia,,2005,88.08485
South Eastern Asia,,2010,87.29364
South Korea,KOR,2000,59.4784
South Korea,KOR,2005,50.1679
South Korea,KOR,2010,48.875
Southern Africa,,2000,14.97841
Southern Africa,,2005,15.14763
Southern Africa,,2010,16.40798
Southern Asia,,2000,38.84013
Southern Asia,,2005,41.07861
Southern Asia,,2010,43.03695
Southern Europe,,2000,81.71042
Southern Europe,,2005,82.77038
Southern Europe,,2010,87.31178
Spain,ESP,2005,20.0258
Spain,ESP,2010,19.1869
Sub-Saharan Africa,,2000,9.37202
Sub-Saharan Africa,,2005,10.72464
Sub-Saharan Africa,,2010,20.28996
Sub-Saharan Africa (inc. Sudan),,2000,9.37202
Sub-Saharan Africa (inc. Sudan),,2005,10.72464
Sub-Saharan Africa (inc. Sudan),,2010,20.28996
Sudan,SDN,2005,19.5001
Sudan,SDN,2010,21.2369
Suriname,SUR,2000,25.7783
Suriname,SUR,2005,23.0509
Swaziland,SWZ,2000,23.3591
Swaziland,SWZ,2005,21.0721
Swaziland,SWZ,2010,19.0053
Sweden,SWE,2000,100
Sweden,SWE,2005,100
Sweden,SWE,2010,100
Switzerland,CHE,2000,54.9414
Switzerland,CHE,2005,52.3418
Switzerland,CHE,2010,49.8387
Syria,SYR,2010,50.9165
Tajikistan,TJK,2000,5.3659
Tajikistan,TJK,2005,5.3659
Tajikistan,TJK,2010,5.3659
Tanzania,TZA,2000,24.5716
Tanzania,TZA,2005,25.5071
Tanzania,TZA,2010,85.4882
Thailand,THA,2000,89.5127
Thailand,THA,2005,88.348
Thailand,THA,2010,86.343
Tonga,TON,2000,22.2222
Tonga,TON,2005,22.2222
Tonga,TON,2010,22.2222
Trinidad and Tobago,TTO,2000,61.2158
Trinidad and Tobago,TTO,2005,62.1739
Trinidad and Tobago,TTO,2010,63.1625
Tunisia,TUN,2000,58.7814
Tunisia,TUN,2005,54.1126
Tunisia,TUN,2010,51.4911
Turkey,TUR,2000,100
Turkey,TUR,2005,100
Turkey,TUR,2010,100
Ukraine,UKR,2000,87.2345
Ukraine,UKR,2005,90.8303
Ukraine,UKR,2010,91.7053
United Arab Emirates,ARE,2000,0
United Arab Emirates,ARE,2005,0
United Arab Emirates,ARE,2010,0
United Kingdom,GBR,2000,65.1629
United Kingdom,GBR,2005,65.3076
United Kingdom,GBR,2010,64.908
United States,USA,2000,65.2013
United States,USA,2005,66.5017
United States,USA,2010,67.7859
United States Virgin Islands,VIR,2010,2.0514
Uzbekistan,UZB,2000,100
Uzbekistan,UZB,2005,100
Uzbekistan,UZB,2010,100
Wallis and Futuna,WLF,2000,0
Wallis and Futuna,WLF,2005,0
Wallis and Futuna,WLF,2010,1.5358
Western Africa,,2000,14.35434
Western Africa,,2005,15.30668
Western Africa,,2010,18.15188
Western Asia,,2000,67.29422
Western Asia,,2005,71.17722
Western Asia,,2010,75.41831
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2000,82.23908
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2005,87.05379
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2010,91.8685
World,OWID_WRL,2000,51.00603
World,OWID_WRL,2005,54.00151
World,OWID_WRL,2010,56.60658
Yemen,YEM,2000,0
Yemen,YEM,2005,0
Yemen,YEM,2010,0
Zambia,ZMB,2000,22.4489
Zambia,ZMB,2005,22.8206
Zambia,ZMB,2010,23.2049
Zimbabwe,ZWE,2000,4.8746
Zimbabwe,ZWE,2005,5.2668
Zimbabwe,ZWE,2010,5.818
