Entity,Code,Year,Average weekly hours worked per person by demographic group (Ramey and Francis (2009)) (average weekly hours worked per person)
Ages 14+ (female),,1980,14.6
Ages 14+ (female),,1990,18.1
Ages 14+ (female),,2000,19.299999
Ages 14+ (female),,2005,18.9
Ages 14+ (male),,1900,44.799999
Ages 14+ (male),,1910,45.200001
Ages 14+ (male),,1920,44
Ages 14+ (male),,1930,38.400002
Ages 14+ (male),,1940,34.099998
Ages 14+ (male),,1950,34.400002
Ages 14+ (male),,1960,32.099998
Ages 14+ (male),,1970,29.4
Ages 14+ (male),,1980,26.700001
Ages 14+ (male),,1990,28.299999
Ages 14+ (male),,2000,28
Ages 14+ (male),,2005,27.299999
Ages 14+ (total),,1900,27.700001
Ages 14+ (total),,1910,28.5
Ages 14+ (total),,1920,27.799999
Ages 14+ (total),,1930,24.5
Ages 14+ (total),,1940,22
Ages 14+ (total),,1950,22.299999
Ages 14+ (total),,1960,21.4
Ages 14+ (total),,1970,20.5
Ages 14+ (total),,1980,20.4
Ages 14+ (total),,1990,23
Ages 14+ (total),,2000,23.5
Ages 14+ (total),,2005,23
Ages 14-17 (female),,1900,12.2
Ages 14-17 (female),,1910,12.3
Ages 14-17 (female),,1920,11.8
Ages 14-17 (female),,1930,7.5999999
Ages 14-17 (female),,1940,2.9000001
Ages 14-17 (female),,1950,3.3
Ages 14-17 (female),,1960,2.8
Ages 14-17 (female),,1970,2.9000001
Ages 14-17 (female),,1980,3.7
Ages 14-17 (female),,1990,3.8
Ages 14-17 (female),,2000,3.5999999
Ages 14-17 (female),,2005,2.9000001
Ages 14-17 (total),,1900,20.700001
Ages 14-17 (total),,1910,19.299999
Ages 14-17 (total),,1920,16.9
Ages 14-17 (total),,1930,11.5
Ages 14-17 (total),,1940,5.5
Ages 14-17 (total),,1950,6.0999999
Ages 14-17 (total),,1960,4.5
Ages 14-17 (total),,1970,4.0999999
Ages 14-17 (total),,1980,4.5
Ages 14-17 (total),,1990,3.9000001
Ages 14-17 (total),,2000,3.9000001
Ages 14-17 (total),,2005,2.9000001
Ages 18 to 24 (male),,1900,44.299999
Ages 18 to 24 (male),,1910,41.700001
Ages 18 to 24 (male),,1920,43.099998
Ages 18 to 24 (male),,1930,36.099998
Ages 18 to 24 (male),,1940,32.299999
Ages 18 to 24 (male),,1950,32.200001
Ages 18 to 24 (male),,1960,32.299999
Ages 18 to 24 (male),,1970,28.1
Ages 18 to 24 (male),,1980,26.5
Ages 18 to 24 (male),,1990,25.9
Ages 18 to 24 (male),,2000,25.1
Ages 18 to 24 (male),,2005,23.5
Ages 18-24 (female),,1900,14.9
Ages 18-24 (female),,1910,16.299999
Ages 18-24 (female),,1920,17.9
Ages 18-24 (female),,1930,17.4
Ages 18-24 (female),,1940,16.4
Ages 18-24 (female),,1950,16.1
Ages 18-24 (female),,1960,15.2
Ages 18-24 (female),,1970,16.700001
Ages 18-24 (female),,1980,18.5
Ages 18-24 (female),,1990,20.200001
Ages 18-24 (female),,2000,20
Ages 18-24 (female),,2005,18.299999
Ages 18-24 (total),,1900,29.4
Ages 18-24 (total),,1910,29.1
Ages 18-24 (total),,1920,30.200001
Ages 18-24 (total),,1930,26.5
Ages 18-24 (total),,1940,24.200001
Ages 18-24 (total),,1950,23.9
Ages 18-24 (total),,1960,23.5
Ages 18-24 (total),,1970,22.200001
Ages 18-24 (total),,1980,22.5
Ages 18-24 (total),,1990,23
Ages 18-24 (total),,2000,22.6
Ages 18-24 (total),,2005,20.9
Ages 25 to 54 (male),,1900,49.400002
Ages 25 to 54 (male),,1910,50.799999
Ages 25 to 54 (male),,1920,49.799999
Ages 25 to 54 (male),,1930,44.700001
Ages 25 to 54 (male),,1940,41.400002
Ages 25 to 54 (male),,1950,41.5
Ages 25 to 54 (male),,1960,40.799999
Ages 25 to 54 (male),,1970,40.099998
Ages 25 to 54 (male),,1980,36.299999
Ages 25 to 54 (male),,1990,38.099998
Ages 25 to 54 (male),,2000,37.599998
Ages 25 to 54 (male),,2005,36.799999
Ages 25-54 (female),,1900,7.9000001
Ages 25-54 (female),,1910,9.3000002
Ages 25-54 (female),,1920,9.8000002
Ages 25-54 (female),,1930,10.1
Ages 25-54 (female),,1940,11.1
Ages 25-54 (female),,1950,12.2
Ages 25-54 (female),,1960,13.9
Ages 25-54 (female),,1970,15.7
Ages 25-54 (female),,1980,20
Ages 25-54 (female),,1990,25.299999
Ages 25-54 (female),,2000,26.799999
Ages 25-54 (female),,2005,26.1
Ages 25-54 (total),,1900,29.6
Ages 25-54 (total),,1910,31.1
Ages 25-54 (total),,1920,30.5
Ages 25-54 (total),,1930,27.6
Ages 25-54 (total),,1940,26.200001
Ages 25-54 (total),,1950,26.6
Ages 25-54 (total),,1960,27
Ages 25-54 (total),,1970,27.4
Ages 25-54 (total),,1980,28
Ages 25-54 (total),,1990,31.6
Ages 25-54 (total),,2000,32.099998
Ages 25-54 (total),,2005,31.299999
Ages 55 to 64 (male),,1900,46.099998
Ages 55 to 64 (male),,1910,48.799999
Ages 55 to 64 (male),,1920,45.299999
Ages 55 to 64 (male),,1930,40.799999
Ages 55 to 64 (male),,1940,35.599998
Ages 55 to 64 (male),,1950,35.200001
Ages 55 to 64 (male),,1960,33.5
Ages 55 to 64 (male),,1970,32
Ages 55 to 64 (male),,1980,26.299999
Ages 55 to 64 (male),,1990,25.6
Ages 55 to 64 (male),,2000,25.700001
Ages 55 to 64 (male),,2005,27.299999
Ages 55-64 (female),,1900,6.5
Ages 55-64 (female),,1910,7.4000001
Ages 55-64 (female),,1920,7.0999999
Ages 55-64 (female),,1930,6.9000001
Ages 55-64 (female),,1940,6.6999998
Ages 55-64 (female),,1950,8.5
Ages 55-64 (female),,1960,12
Ages 55-64 (female),,1970,14.1
Ages 55-64 (female),,1980,12.5
Ages 55-64 (female),,1990,14.7
Ages 55-64 (female),,2000,17.6
Ages 55-64 (female),,2005,19.4
Ages 55-64 (total),,1900,26.799999
Ages 55-64 (total),,1910,29.200001
Ages 55-64 (total),,1920,27.299999
Ages 55-64 (total),,1930,24.5
Ages 55-64 (total),,1940,21.4
Ages 55-64 (total),,1950,21.9
Ages 55-64 (total),,1960,22.4
Ages 55-64 (total),,1970,22.5
Ages 55-64 (total),,1980,19
Ages 55-64 (total),,1990,19.799999
Ages 55-64 (total),,2000,21.5
Ages 55-64 (total),,2005,23.1
Ages 65+ (female),,1900,4.8000002
Ages 65+ (female),,1910,4.5
Ages 65+ (female),,1920,3.8
Ages 65+ (female),,1930,3.7
Ages 65+ (female),,1940,2.7
Ages 65+ (female),,1950,2.9000001
Ages 65+ (female),,1960,3.2
Ages 65+ (female),,1970,2.7
Ages 65+ (female),,1980,1.9
Ages 65+ (female),,1990,2.2
Ages 65+ (female),,2000,2.4000001
Ages 65+ (female),,2005,2.9000001
Ages 65+ (male),,1900,33.599998
Ages 65+ (male),,1910,33.900002
Ages 65+ (male),,1920,28.700001
Ages 65+ (male),,1930,25.9
Ages 65+ (male),,1940,18.700001
Ages 65+ (male),,1950,16.4
Ages 65+ (male),,1960,10.7
Ages 65+ (male),,1970,7.6999998
Ages 65+ (male),,1980,5.0999999
Ages 65+ (male),,1990,4.8000002
Ages 65+ (male),,2000,5.4000001
Ages 65+ (male),,2005,5.8000002
Ages 65+ (total),,1900,19.299999
Ages 65+ (total),,1910,19
Ages 65+ (total),,1920,16.299999
Ages 65+ (total),,1930,14.8
Ages 65+ (total),,1940,10.5
Ages 65+ (total),,1950,9.3000002
Ages 65+ (total),,1960,6.5999999
Ages 65+ (total),,1970,4.8000002
Ages 65+ (total),,1980,3.2
Ages 65+ (total),,1990,3.3
Ages 65+ (total),,2000,3.5999999
Ages 65+ (total),,2005,4.1999998
