Entity,Code,Year,Gini  coefficient (before taxes and transfers) (0-1 scale),Gini coefficient (income after taxes and transfers) (0-1 scale)
Finland,FIN,1999,0.483,0.25
Finland,FIN,2000,0.478,0.254
Finland,FIN,2001,0.484,0.262
Finland,FIN,2002,0.479,0.258
Finland,FIN,2003,0.479,0.261
Finland,FIN,2004,0.48,0.266
Finland,FIN,2005,0.483,0.265
Finland,FIN,2006,0.488,0.268
Finland,FIN,2007,0.476,0.269
Finland,FIN,2008,0.472,0.264
Finland,FIN,2009,0.479,0.259
Finland,FIN,2010,0.487,0.264
Finland,FIN,2011,0.485,0.264
Finland,FIN,2012,0.488,0.26
Finland,FIN,2013,0.495,0.262
Finland,FIN,2014,0.495,0.257
France,FRA,2012,0.518,0.308
France,FRA,2013,0.504,0.294
Germany,DEU,2008,0.494,0.285
Germany,DEU,2011,0.505,0.291
Germany,DEU,2012,0.501,0.289
Germany,DEU,2013,0.508,0.292
Greece,GRC,2004,,0.333
Greece,GRC,2005,,0.346
Greece,GRC,2006,0.506,0.339
Greece,GRC,2007,0.502,0.33
Greece,GRC,2008,0.503,0.329
Greece,GRC,2009,0.505,0.331
Greece,GRC,2010,0.527,0.337
Greece,GRC,2011,0.554,0.335
Greece,GRC,2012,0.569,0.34
Greece,GRC,2013,0.571,0.343
Hungary,HUN,2012,0.485,0.289
Hungary,HUN,2014,0.455,0.288
Iceland,ISL,2004,0.372,0.261
Iceland,ISL,2005,0.379,0.273
Iceland,ISL,2006,0.389,0.292
Iceland,ISL,2007,0.382,0.289
Iceland,ISL,2008,0.389,0.309
Iceland,ISL,2009,0.385,0.27
Iceland,ISL,2010,0.402,0.253
Iceland,ISL,2011,0.407,0.256
Iceland,ISL,2012,0.399,0.256
Iceland,ISL,2013,0.386,0.244
Ireland,IRL,2004,0.511,0.324
Ireland,IRL,2005,0.512,0.324
Ireland,IRL,2006,0.512,0.318
Ireland,IRL,2007,0.514,0.305
Ireland,IRL,2008,0.539,0.296
Ireland,IRL,2009,0.581,0.314
Ireland,IRL,2010,0.579,0.3
Ireland,IRL,2011,0.569,0.302
Ireland,IRL,2012,0.582,0.304
Ireland,IRL,2013,0.575,0.309
Israel,ISR,2011,0.494,0.371
Israel,ISR,2012,0.481,0.371
Israel,ISR,2013,0.454,0.36
Israel,ISR,2014,0.455,0.365
Italy,ITA,2004,,0.331
Italy,ITA,2005,,0.324
Italy,ITA,2006,0.497,0.325
Italy,ITA,2007,0.487,0.313
Italy,ITA,2008,0.49,0.317
Italy,ITA,2009,0.495,0.316
Italy,ITA,2010,0.507,0.323
Italy,ITA,2011,0.509,0.327
Italy,ITA,2012,0.515,0.331
Italy,ITA,2013,0.516,0.325
Japan,JPN,2009,0.488,0.336
Japan,JPN,2012,0.488,0.33
Latvia,LVA,2004,,0.363
Latvia,LVA,2005,,0.392
Latvia,LVA,2006,0.462,0.353
Latvia,LVA,2007,0.473,0.376
Latvia,LVA,2008,0.485,0.374
Latvia,LVA,2009,0.508,0.356
Latvia,LVA,2010,0.522,0.348
Latvia,LVA,2011,0.517,0.353
Latvia,LVA,2012,0.506,0.347
Latvia,LVA,2013,0.5,0.352
Lithuania,LTU,2004,0.51,0.35
Lithuania,LTU,2005,0.508,0.352
Lithuania,LTU,2006,0.468,0.33
Lithuania,LTU,2007,0.473,0.338
Lithuania,LTU,2008,0.505,0.358
Lithuania,LTU,2009,0.536,0.367
Lithuania,LTU,2010,0.533,0.33
Lithuania,LTU,2011,0.512,0.323
Lithuania,LTU,2012,0.532,0.351
Lithuania,LTU,2013,0.512,0.353
Luxembourg,LUX,2004,0.457,0.264
Luxembourg,LUX,2005,0.467,0.282
Luxembourg,LUX,2006,0.465,0.277
Luxembourg,LUX,2007,0.46,0.279
Luxembourg,LUX,2008,0.488,0.292
Luxembourg,LUX,2009,0.482,0.28
Luxembourg,LUX,2010,0.47,0.272
Luxembourg,LUX,2011,0.483,0.278
Luxembourg,LUX,2012,0.502,0.301
Luxembourg,LUX,2013,0.483,0.281
Mexico,MEX,2012,0.473,0.457
Mexico,MEX,2014,0.478,0.459
Netherlands,NLD,2010,0.418,0.283
Netherlands,NLD,2011,0.421,0.283
Netherlands,NLD,2012,0.423,0.281
Netherlands,NLD,2013,0.429,0.28
Netherlands,NLD,2014,0.44,0.283
New Zealand,NZL,2011,0.454,0.323
New Zealand,NZL,2012,0.461,0.333
Norway,NOR,2004,0.437,0.285
Norway,NOR,2008,0.401,0.25
Norway,NOR,2009,0.401,0.245
Norway,NOR,2010,0.409,0.249
Norway,NOR,2011,0.409,0.25
Norway,NOR,2012,0.41,0.253
Norway,NOR,2013,0.412,0.252
Poland,POL,2005,0.525,0.327
Poland,POL,2006,0.502,0.316
Poland,POL,2007,0.488,0.316
Poland,POL,2008,0.473,0.309
Poland,POL,2009,0.468,0.304
Poland,POL,2010,0.469,0.306
Poland,POL,2011,0.464,0.301
Poland,POL,2012,0.465,0.298
Poland,POL,2013,0.465,0.3
Portugal,PRT,2004,,0.384
Portugal,PRT,2005,,0.379
Portugal,PRT,2006,0.531,0.371
Portugal,PRT,2007,0.52,0.361
Portugal,PRT,2008,0.52,0.355
Portugal,PRT,2009,0.513,0.337
Portugal,PRT,2010,0.519,0.342
Portugal,PRT,2011,0.533,0.338
Portugal,PRT,2012,0.536,0.338
Portugal,PRT,2013,0.556,0.342
Slovakia,SVK,2004,0.458,0.265
Slovakia,SVK,2005,0.458,0.289
Slovakia,SVK,2006,0.428,0.253
Slovakia,SVK,2007,0.419,0.247
Slovakia,SVK,2008,0.414,0.257
Slovakia,SVK,2009,0.434,0.264
Slovakia,SVK,2010,0.432,0.263
Slovakia,SVK,2011,0.418,0.262
Slovakia,SVK,2012,0.412,0.25
Slovakia,SVK,2013,0.429,0.269
Slovenia,SVN,2004,0.442,0.241
Slovenia,SVN,2005,0.439,0.24
Slovenia,SVN,2006,0.435,0.238
Slovenia,SVN,2007,0.427,0.24
Slovenia,SVN,2008,0.419,0.235
Slovenia,SVN,2009,0.446,0.246
Slovenia,SVN,2010,0.45,0.246
Slovenia,SVN,2011,0.455,0.245
Slovenia,SVN,2012,0.466,0.25
Slovenia,SVN,2013,0.467,0.255
South Korea,KOR,2012,0.338,0.307
South Korea,KOR,2013,0.336,0.302
South Korea,KOR,2014,0.341,0.302
Spain,ESP,2004,,0.332
Spain,ESP,2005,,0.324
Spain,ESP,2006,0.452,0.316
Spain,ESP,2007,0.45,0.324
Spain,ESP,2008,0.464,0.328
Spain,ESP,2009,0.487,0.334
Spain,ESP,2010,0.507,0.34
Spain,ESP,2011,0.507,0.342
Spain,ESP,2012,0.511,0.335
Spain,ESP,2013,0.526,0.346
Sweden,SWE,2011,0.432,0.273
Sweden,SWE,2012,0.431,0.274
Sweden,SWE,2013,0.443,0.281
Switzerland,CHE,2013,0.387,0.295
Turkey,TUR,2011,0.43,0.407
Turkey,TUR,2012,0.424,0.402
Turkey,TUR,2013,0.418,0.393
United Kingdom,GBR,2002,0.51,0.359
United Kingdom,GBR,2003,0.507,0.353
United Kingdom,GBR,2004,0.509,0.354
United Kingdom,GBR,2005,0.512,0.359
United Kingdom,GBR,2006,0.511,0.364
United Kingdom,GBR,2007,0.519,0.373
United Kingdom,GBR,2008,0.519,0.369
United Kingdom,GBR,2009,0.536,0.374
United Kingdom,GBR,2010,0.521,0.351
United Kingdom,GBR,2011,0.524,0.354
United Kingdom,GBR,2012,0.524,0.351
United Kingdom,GBR,2013,0.527,0.358
United States,USA,2013,0.513,0.396
United States,USA,2014,0.508,0.394
