Entity,Code,Year,Share of drinkers who "binged" on heaviest day of drinking in last week (%)
Females (65 and over),,2006,4.8
Females (65 and over),,2007,6.1
Females (65 and over),,2008,5
Females (65 and over),,2009,4.2
Females (65 and over),,2010,5.5
Females (65 and over),,2011,5.2
Females (65 and over),,2012,5.8
Females (65 and over),,2013,4.5
Females (65 and over),,2014,6.6
Females (65 and over),,2015,7.9
Females (65 and over),,2016,7.7
Females (All aged 16+),,2005,25.7
Females (All aged 16+),,2006,26.2
Females (All aged 16+),,2007,26.9
Females (All aged 16+),,2008,25.9
Females (All aged 16+),,2009,24.1
Females (All aged 16+),,2010,23.7
Females (All aged 16+),,2011,22.4
Females (All aged 16+),,2012,21.1
Females (All aged 16+),,2013,22.2
Females (All aged 16+),,2014,23.9
Females (All aged 16+),,2015,26.9
Females (All aged 16+),,2016,25.3
Males (16 to 24),,2005,49.8
Males (16 to 24),,2006,49.7
Males (16 to 24),,2007,50.3
Males (16 to 24),,2008,48.4
Males (16 to 24),,2009,44.6
Males (16 to 24),,2010,48.9
Males (16 to 24),,2011,42.2
Males (16 to 24),,2012,43.1
Males (16 to 24),,2013,42.6
Males (16 to 24),,2014,41.7
Males (16 to 24),,2015,47.1
Males (16 to 24),,2016,34.4
Males (25 to 44),,2005,39.9
Males (25 to 44),,2006,41.8
Males (25 to 44),,2007,41.2
Males (25 to 44),,2008,36.4
Males (25 to 44),,2009,38.5
Males (25 to 44),,2010,36.1
Males (25 to 44),,2011,35.8
Males (25 to 44),,2012,38.3
Males (25 to 44),,2013,36.4
Males (25 to 44),,2014,36
Males (25 to 44),,2015,35.1
Males (25 to 44),,2016,33.4
Males (45 to 64),,2005,27.2
Males (45 to 64),,2006,27.7
Males (45 to 64),,2007,32.3
Males (45 to 64),,2008,27.8
Males (45 to 64),,2009,29.7
Males (45 to 64),,2010,26.8
Males (45 to 64),,2011,26.1
Males (45 to 64),,2012,26.5
Males (45 to 64),,2013,28
Males (45 to 64),,2014,31.3
Males (45 to 64),,2015,31.3
Males (45 to 64),,2016,31.1
Males (65 and over),,2005,9.4
Males (65 and over),,2006,9.9
Males (65 and over),,2007,12.4
Males (65 and over),,2008,10.7
Males (65 and over),,2009,8.2
Males (65 and over),,2010,10.1
Males (65 and over),,2011,9.4
Males (65 and over),,2012,10.5
Males (65 and over),,2013,12.7
Males (65 and over),,2014,11.7
Males (65 and over),,2015,14.8
Males (65 and over),,2016,12.4
Males (All aged 16+),,2005,31.2
Males (All aged 16+),,2006,31.9
Males (All aged 16+),,2007,33.9
Males (All aged 16+),,2008,29.8
Males (All aged 16+),,2009,30
Males (All aged 16+),,2010,28.7
Males (All aged 16+),,2011,27.5
Males (All aged 16+),,2012,29.4
Males (All aged 16+),,2013,29.3
Males (All aged 16+),,2014,30.1
Males (All aged 16+),,2015,31
Males (All aged 16+),,2016,28.2
Married,,2016,21.3
Single,,2016,38
Widowed/Divorced/Separated,,2016,22.6
