Entity,Code,Year,Solar (kilowatt-hours)
Austria,AUT,1998,0.6545400447705509
Austria,AUT,1999,0.6537270525400571
Austria,AUT,2000,0.9784031168670219
Austria,AUT,2001,1.6248322116571994
Austria,AUT,2002,2.911755087287928
Austria,AUT,2003,4.827994787181997
Austria,AUT,2004,5.764685424120726
Austria,AUT,2005,6.701176692512721
Austria,AUT,2006,7.1107813313216655
Austria,AUT,2007,7.672023117632908
Austria,AUT,2008,9.501668175497484
Austria,AUT,2009,15.373437675862894
Austria,AUT,2010,27.790581970273482
Austria,AUT,2011,54.18486471847647
Austria,AUT,2012,104.45933722771113
Austria,AUT,2013,192.53155627863487
Austria,AUT,2014,239.8649849309344
Austria,AUT,2015,284.1395744648001
Austria,AUT,2016,329.74192639533555
Austria,AUT,2017,378.6164815272109
Austria,AUT,2018,467.24999057698795
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.22432206712839642
Azerbaijan,AZE,2014,0.8028174563433621
Azerbaijan,AZE,2015,1.25795073781565
Azerbaijan,AZE,2016,9.54136619761709
Azerbaijan,AZE,2017,9.943599203656678
Azerbaijan,AZE,2018,10.383496600000003
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0.001984012439801326
Bangladesh,BGD,2003,0.017570970383999053
Bangladesh,BGD,2004,0.03650011307724877
Bangladesh,BGD,2005,0.06435287299692166
Bangladesh,BGD,2006,0.10084035279853837
Bangladesh,BGD,2007,0.16601861685125477
Bangladesh,BGD,2008,0.27719260055161327
Bangladesh,BGD,2009,0.45264783375831885
Bangladesh,BGD,2010,0.7899640130800467
Bangladesh,BGD,2011,1.029551389443577
Bangladesh,BGD,2012,1.5841127298915274
Bangladesh,BGD,2013,2.2325898108857527
Bangladesh,BGD,2014,2.8543956576633334
Bangladesh,BGD,2015,3.4423941087702237
Bangladesh,BGD,2016,3.7363868687916275
Bangladesh,BGD,2017,4.36724398220216
Bangladesh,BGD,2018,4.879198727845914
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.1116845288624788
Belarus,BLR,2014,0.558010655216285
Belarus,BLR,2015,2.5091869774340507
Belarus,BLR,2016,7.243389557484649
Belarus,BLR,2017,24.784182264550264
Belarus,BLR,2018,37.43895446948059
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0
Belgium,BEL,1988,0
Belgium,BEL,1989,0
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.2511047948473283
Belgium,BEL,2005,0.24950964729306913
Belgium,BEL,2006,0.4956357943309163
Belgium,BEL,2007,1.475927229388671
Belgium,BEL,2008,10.253856701920402
Belgium,BEL,2009,40.224871620626146
Belgium,BEL,2010,134.71836689094067
Belgium,BEL,2011,279.3095867396042
Belgium,BEL,2012,509.93519001082547
Belgium,BEL,2013,623.8026485718128
Belgium,BEL,2014,676.1288750325283
Belgium,BEL,2015,711.7479204057407
Belgium,BEL,2016,716.6498238990665
Belgium,BEL,2017,757.5813437661998
Belgium,BEL,2018,910.2861742997735
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.012940896277593771
Brazil,BRA,2013,0.06274852315008257
Brazil,BRA,2014,0.20871818927423014
Brazil,BRA,2015,0.7582741002680075
Brazil,BRA,2016,1.0883134395769
Brazil,BRA,2017,10.53236059552335
Brazil,BRA,2018,39.411415530753125
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,1.056293116135938
Bulgaria,BGR,2010,5.316321263299664
Bulgaria,BGR,2011,36.019714464019515
Bulgaria,BGR,2012,292.0787108494683
Bulgaria,BGR,2013,491.3002677517147
Bulgaria,BGR,2014,454.69732835357445
Bulgaria,BGR,2015,505.48245625555563
Bulgaria,BGR,2016,509.97880589904923
Bulgaria,BGR,2017,519.8554158969305
Bulgaria,BGR,2018,411.80509998298356
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.1913852809665533
Canada,CAN,1993,0.18921319076642848
Canada,CAN,1994,0.18716115761754618
Canada,CAN,1995,0.3466879711287889
Canada,CAN,1996,0.52659604046439
Canada,CAN,1997,0.6147046627664583
Canada,CAN,1998,0.885777012524149
Canada,CAN,1999,1.1518017641817646
Canada,CAN,2000,1.4127533755067347
Canada,CAN,2001,1.6685084200129536
Canada,CAN,2002,1.919102937969081
Canada,CAN,2003,1.9046082539380083
Canada,CAN,2004,1.1797776869401226
Canada,CAN,2005,1.5114711609252582
Canada,CAN,2006,1.834689422196269
Canada,CAN,2007,2.313239526282227
Canada,CAN,2008,2.7960075178475012
Canada,CAN,2009,8.523427319386002
Canada,CAN,2010,19.58964992386084
Canada,CAN,2011,43.551073369813835
Canada,CAN,2012,66.38855319397516
Canada,CAN,2013,111.7435059013514
Canada,CAN,2014,156.41602319874386
Canada,CAN,2015,211.46420899242239
Canada,CAN,2016,219.25466498282168
Canada,CAN,2017,235.86196107263424
Canada,CAN,2018,251.71245340660823
Chile,CHL,1965,0
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.05146609195402299
Chile,CHL,2013,1.0118609623264285
Chile,CHL,2014,72.54166036319614
Chile,CHL,2015,184.68757917302023
Chile,CHL,2016,381.36711058432644
Chile,CHL,2017,555.0890942376827
Chile,CHL,2018,719.2224879432965
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.0044721116466088185
China,CHN,1991,0.004412079495639685
China,CHN,1992,0.0065423572738673216
China,CHN,1993,0.00863649981311715
China,CHN,1994,0.01069729889945982
China,CHN,1995,0.01484465839790473
China,CHN,1996,0.018922607280010672
China,CHN,1997,0.022937768143473848
China,CHN,1998,0.02896433166529709
China,CHN,1999,0.034909339025079915
China,CHN,2000,0.04486047535942476
China,CHN,2001,0.06279506286108473
China,CHN,2002,0.09661956742051696
China,CHN,2003,0.12804725197750796
China,CHN,2004,0.15116186540164506
China,CHN,2005,0.16610806064963912
China,CHN,2006,0.18678894941797164
China,CHN,2007,0.22288361276212065
China,CHN,2008,0.29551503586270017
China,CHN,2009,0.5393970304308071
China,CHN,2010,1.3476928742744303
China,CHN,2011,4.989779003602337
China,CHN,2012,6.833691592947291
China,CHN,2013,15.832180790657373
China,CHN,2014,44.213027758143774
China,CHN,2015,81.48114007167797
China,CHN,2016,114.79911672461225
China,CHN,2017,218.15285789321854
China,CHN,2018,327.1851766809466
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.12185176230128691
Colombia,COL,2001,0.17445924483306838
Colombia,COL,2002,0.2994527965749235
Colombia,COL,2003,0.40630763571497447
Colombia,COL,2004,0.4973284416294325
Colombia,COL,2005,0.5881221843931721
Colombia,COL,2006,0
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0
Colombia,COL,2018,0.6358807474678321
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,0
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0.009993066113798663
Croatia,HRV,2010,0.01002308225508318
Croatia,HRV,2011,0.010057941108277301
Croatia,HRV,2012,1.2251295391061454
Croatia,HRV,2013,6.949016093055881
Croatia,HRV,2014,21.64127396851504
Croatia,HRV,2015,35.435859943302624
Croatia,HRV,2016,41.264958664765985
Croatia,HRV,2017,49.51117872579488
Croatia,HRV,2018,46.598239453801725
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,1.0420940594059407
Cyprus,CYP,2005,1.4489079377431908
Cyprus,CYP,2006,2.5208858891013386
Cyprus,CYP,2007,4.2862124530075185
Cyprus,CYP,2008,7.296427680221812
Cyprus,CYP,2009,9.586806010928964
Cyprus,CYP,2010,16.550806603773584
Cyprus,CYP,2011,28.070178337777776
Cyprus,CYP,2012,51.008575444933925
Cyprus,CYP,2013,108.1155704895105
Cyprus,CYP,2014,190.9722220920139
Cyprus,CYP,2015,287.0914384065461
Cyprus,CYP,2016,328.24336058974353
Cyprus,CYP,2017,383.6306887118645
Cyprus,CYP,2018,424.5717345248108
Czech Republic,CZE,1965,0
Czech Republic,CZE,1966,0
Czech Republic,CZE,1967,0
Czech Republic,CZE,1968,0
Czech Republic,CZE,1969,0
Czech Republic,CZE,1970,0
Czech Republic,CZE,1971,0
Czech Republic,CZE,1972,0
Czech Republic,CZE,1973,0
Czech Republic,CZE,1974,0
Czech Republic,CZE,1975,0
Czech Republic,CZE,1976,0
Czech Republic,CZE,1977,0
Czech Republic,CZE,1978,0
Czech Republic,CZE,1979,0
Czech Republic,CZE,1980,0
Czech Republic,CZE,1981,0
Czech Republic,CZE,1982,0
Czech Republic,CZE,1983,0
Czech Republic,CZE,1984,0
Czech Republic,CZE,1985,0
Czech Republic,CZE,1986,0
Czech Republic,CZE,1987,0
Czech Republic,CZE,1988,0
Czech Republic,CZE,1989,0
Czech Republic,CZE,1990,0
Czech Republic,CZE,1991,0
Czech Republic,CZE,1992,0
Czech Republic,CZE,1993,0
Czech Republic,CZE,1994,0
Czech Republic,CZE,1995,0
Czech Republic,CZE,1996,0
Czech Republic,CZE,1997,0
Czech Republic,CZE,1998,0
Czech Republic,CZE,1999,0
Czech Republic,CZE,2000,0
Czech Republic,CZE,2001,0
