Entity,Code,Year,Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no) (1=yes; 0=no)
Panama,PAN,2013,1
Panama,PAN,2015,1
Paraguay,PRY,2009,0
Paraguay,PRY,2011,0
Paraguay,PRY,2013,0
Paraguay,PRY,2015,0
Peru,PER,2009,1
Peru,PER,2011,1
Peru,PER,2013,1
Peru,PER,2015,1
Poland,POL,2009,0
Poland,POL,2011,0
Poland,POL,2013,0
Poland,POL,2015,0
Portugal,PRT,2009,0
Portugal,PRT,2011,0
Portugal,PRT,2013,0
Portugal,PRT,2015,0
Puerto Rico,PRI,2009,1
Puerto Rico,PRI,2011,1
Puerto Rico,PRI,2013,1
Puerto Rico,PRI,2015,1
Qatar,QAT,2015,1
Romania,ROU,2009,0
Romania,ROU,2011,0
Romania,ROU,2013,0
Romania,ROU,2015,0
Rwanda,RWA,2009,1
Rwanda,RWA,2011,1
Rwanda,RWA,2013,1
Rwanda,RWA,2015,1
Saint Kitts and Nevis,KNA,2015,1
Saint Lucia,LCA,2015,1
Saint Vincent and the Grenadines,VCT,2015,1
Samoa,WSM,2015,1
Senegal,SEN,2009,0
Senegal,SEN,2011,0
Senegal,SEN,2013,0
Senegal,SEN,2015,0
Serbia,SRB,2009,1
Serbia,SRB,2011,1
Serbia,SRB,2013,1
Serbia,SRB,2015,1
Seychelles,SYC,2015,0
Sierra Leone,SLE,2011,1
Sierra Leone,SLE,2013,1
Sierra Leone,SLE,2015,1
Singapore,SGP,2009,0
Singapore,SGP,2011,0
Singapore,SGP,2013,0
Singapore,SGP,2015,0
Slovakia,SVK,2009,1
Slovakia,SVK,2011,1
Slovakia,SVK,2013,1
Slovakia,SVK,2015,1
Solomon Islands,SLB,2015,1
South Africa,ZAF,2009,1
South Africa,ZAF,2011,1
South Africa,ZAF,2013,1
South Africa,ZAF,2015,1
South Korea,KOR,2009,1
South Korea,KOR,2011,1
South Korea,KOR,2013,1
South Korea,KOR,2015,1
South Sudan,SSD,2015,1
Spain,ESP,2009,1
Spain,ESP,2011,1
Spain,ESP,2013,1
Spain,ESP,2015,1
Sri Lanka,LKA,2009,1
Sri Lanka,LKA,2011,1
Sri Lanka,LKA,2013,1
Sri Lanka,LKA,2015,1
Sudan,SDN,2009,1
Sudan,SDN,2011,1
Sudan,SDN,2013,1
Sudan,SDN,2015,1
Suriname,SUR,2015,1
Swaziland,SWZ,2015,1
Switzerland,CHE,2009,1
Switzerland,CHE,2011,1
Switzerland,CHE,2013,1
Switzerland,CHE,2015,1
Syria,SYR,2009,0
Syria,SYR,2013,1
Syria,SYR,2015,1
Tanzania,TZA,2009,1
Tanzania,TZA,2011,1
Tanzania,TZA,2013,1
Tanzania,TZA,2015,1
Thailand,THA,2011,1
Thailand,THA,2013,1
Timor,TLS,2015,1
Trinidad and Tobago,TTO,2015,1
Tunisia,TUN,2009,0
Tunisia,TUN,2011,0
Tunisia,TUN,2015,1
Turkey,TUR,2009,1
Turkey,TUR,2011,1
Turkey,TUR,2013,1
Turkey,TUR,2015,1
Uganda,UGA,2009,1
Uganda,UGA,2011,1
Uganda,UGA,2013,1
Uganda,UGA,2015,1
United Arab Emirates,ARE,2009,0
United Arab Emirates,ARE,2011,0
United Arab Emirates,ARE,2013,0
United Arab Emirates,ARE,2015,0
Uzbekistan,UZB,2009,1
Uzbekistan,UZB,2011,1
Uzbekistan,UZB,2013,1
Uzbekistan,UZB,2015,1
Vanuatu,VUT,2015,1
Venezuela,VEN,2009,1
Venezuela,VEN,2011,1
Venezuela,VEN,2013,1
Venezuela,VEN,2015,1
Vietnam,VNM,2009,1
Vietnam,VNM,2011,1
Vietnam,VNM,2013,1
Vietnam,VNM,2015,1
Zambia,ZMB,2009,1
Zambia,ZMB,2011,1
Zambia,ZMB,2013,1
Zambia,ZMB,2015,1
Zimbabwe,ZWE,2009,1
Zimbabwe,ZWE,2011,1
Zimbabwe,ZWE,2013,1
Zimbabwe,ZWE,2015,1
