Entity,Code,Year,"Natural capital, renewable (excluding sub-soil assets) ($)","Fossil energy resources (oil, natural gas, coal) ($)",Human capital ($),Net foreign assets ($),Produced capital ($),Metals and minerals ($)
Austria,AUT,2014,15258.33,396.36,421845.75,-238.98,256743.88,610.85
Azerbaijan,AZE,1995,4614.91,5435.21,5590.51,-149.99,12658.6,0
Azerbaijan,AZE,2000,4419.92,3974.24,6020.25,-1319.79,9167.69,0
Azerbaijan,AZE,2005,6146.07,19132.25,9238.95,-2681.63,12503.73,0.91
Azerbaijan,AZE,2010,8768.19,32174.54,12200.25,4964.44,10892.37,76.35
Azerbaijan,AZE,2014,9997,35811.18,11960.71,7383.55,20061.24,126.94
Bahrain,BHR,1995,1203.21,12011.29,157655.61,24108.39,120853.38,0
Bahrain,BHR,2000,836.53,8800.65,164512.09,18958.17,84454.32,0
Bahrain,BHR,2005,376.53,8361.52,162911.64,17444.04,90039.18,0
Bahrain,BHR,2010,359.31,12523.58,147588.95,17346.31,76034.44,0
Bahrain,BHR,2014,575.77,13451.23,157679.38,21816.22,76788.06,0
Bangladesh,BGD,1995,1373.12,11.18,3061.19,-204.14,1426.03,0
Bangladesh,BGD,2000,1085.4,17.71,3496.02,-173.28,1362.61,0
Bangladesh,BGD,2005,1164.08,65.01,4437.77,-206,1568.56,0
Bangladesh,BGD,2010,1924.31,123.47,6130.55,-175.31,2533.65,0
Bangladesh,BGD,2014,2149.01,85.04,7169.6,-124.37,3434.48,0
Belarus,BLR,1995,15728.95,202.44,13071.33,-183.68,20529.93,0
Belarus,BLR,2000,14571.31,301.19,23938.61,-637.08,19254.93,0
Belarus,BLR,2005,14089.94,645.03,33165.05,-673.88,22393.32,0
Belarus,BLR,2010,17510.9,830.94,50493.16,-3610.2,28915.33,0
Belarus,BLR,2014,20714.7,1167.05,49003.62,-4588.11,33388.2,0
Belgium,BEL,1995,6031.12,2.91,313740.79,5167.19,138586.98,0
Belgium,BEL,2000,5438.26,0.05,343429.59,25049.63,159216.9,0
Belgium,BEL,2005,5226.95,0,347800.14,13645.23,175584.6,0
Belgium,BEL,2010,4826.68,0,375720.31,29991.44,201723.34,0
Belgium,BEL,2014,5012.84,0,404997.32,24086.1,211872.66,0
Belize,BLZ,1995,33021.48,0,20343.08,-1606.37,10699.74,0
Belize,BLZ,2000,26625.4,0,23034.52,-2472.78,11965.72,0.06
Belize,BLZ,2005,26149.85,281.85,25739.37,-5817.94,13404.16,0
Belize,BLZ,2010,25511.15,646.94,24260.35,-6964.45,14723.19,0
Belize,BLZ,2014,27970.63,1864.55,23988.59,-7254.47,12302.62,0
Bolivia,BOL,1995,12675.3,424.74,22715.02,-1412.73,5053.29,28.67
Bolivia,BOL,2000,12153.89,509.13,25355.6,-2184.13,5807.3,25.86
Bolivia,BOL,2005,14122.11,2354.98,21587.99,-1915.72,5517.26,52.39
Bolivia,BOL,2010,15309.47,3579.24,22276.86,208.65,5446.25,888.6
Bolivia,BOL,2014,14205.51,1939.01,24805.08,276.61,6626.45,1382.8
Bosnia and Herzegovina,BIH,1995,4031.52,130.96,3615.73,-289.13,3312.91,25.79
Bosnia and Herzegovina,BIH,2000,5878.29,39.45,13480.94,-550.67,7459.09,11.62
Bosnia and Herzegovina,BIH,2005,5782.22,492.52,17304.96,-1278.16,10339.32,207.38
Bosnia and Herzegovina,BIH,2010,6355.74,1357.48,19978.58,-2682.18,12694.14,892.94
Bosnia and Herzegovina,BIH,2014,6690.04,1066.82,20242.92,-2591.72,13842.2,1235.52
Botswana,BWA,1995,21788.19,179.81,37256.32,3213.74,10844.46,235.56
Botswana,BWA,2000,17597.49,110.87,28361.87,3647.18,11184.65,221.6
Botswana,BWA,2005,14670.16,190.31,31397.65,3955.31,13330.86,846.32
Botswana,BWA,2010,18384.88,351.38,40741.27,3493.61,19473.26,6886.94
Botswana,BWA,2014,22142.35,345.82,47087.41,2661.91,19908.05,3651.88
Brazil,BRA,1995,21989.7,486.5,100346.84,-1245.25,30169.11,979.24
Brazil,BRA,2000,20257.03,660.59,102643.01,-3596.83,30516.62,895.06
Brazil,BRA,2005,24484.45,2160.41,117260.46,-3219.29,33408.52,2774.54
Brazil,BRA,2010,26162.1,2612.97,128520.6,-4597.82,35284.2,6408.86
Brazil,BRA,2014,28167.18,2881.58,132712.63,-3858.82,32067.09,5929.57
Bulgaria,BGR,1995,8569.61,188.16,14826.67,-1516.35,11886.99,600.92
Bulgaria,BGR,2000,9409.91,79.5,25641.22,-1536.73,6944.03,706.44
Bulgaria,BGR,2005,9657.87,469.19,36297.33,-2587.3,12361.07,706.7
Bulgaria,BGR,2010,9986.18,1077.85,43293.68,-7551.53,19822.87,2274.19
Bulgaria,BGR,2014,13224.03,888.58,47592.76,-5583.88,23185.53,2570.84
Burkina Faso,BFA,1995,4955.04,0,2193.2,-103.87,1413.46,8.49
Burkina Faso,BFA,2000,5175.49,0,3522.38,-249.8,1469.86,1.5
Burkina Faso,BFA,2005,4691.08,0,4623.25,-199.85,1375.28,6.86
Burkina Faso,BFA,2010,5294.33,0,4800.15,-129.42,1516.06,189.9
Burkina Faso,BFA,2014,5020.79,0,4969.97,-155.48,1753.96,734.14
Burundi,BDI,1995,5059.02,0,5099.92,-186.87,2433.35,4.42
Burundi,BDI,2000,4915.09,0,4833.33,-322.31,982.79,0
Burundi,BDI,2005,4478.29,0,5468.12,-268.32,976.69,8.47
Burundi,BDI,2010,3648,0,4188.17,-66.39,595.43,18.57
Burundi,BDI,2014,2688.92,0,4496.12,-106.88,486.04,14.9
Cambodia,KHM,1995,2869.53,0,2801.76,-110.58,861.28,0
Cambodia,KHM,2000,3772.36,0,3053.63,-104.16,1149.32,0
Cambodia,KHM,2005,2936.86,0,4076.36,-131.55,1391.36,0
Cambodia,KHM,2010,5420.59,0,5796.23,-106.22,1661.79,0
Cambodia,KHM,2014,7700.3,0,7337.5,-316.83,2211.66,0
Cameroon,CMR,1995,7375.09,464.89,12770.19,-1076.98,3981.32,0.67
Cameroon,CMR,2000,6910.91,463.17,13518.22,-787.72,3845.66,0.41
Cameroon,CMR,2005,6967.12,603.6,13329.32,-469.99,3784.86,5.03
Cameroon,CMR,2010,10181.33,588.2,11761.37,-25.63,3599.86,18.72
Cameroon,CMR,2014,13025.13,504.42,14413.89,-341.58,3768.27,27.77
Canada,CAN,1995,20175.21,7175.15,628814.3,-15734.71,137145.05,1237.19
Canada,CAN,2000,22104.31,8553.32,669031.44,-2552.47,150484.58,920.97
Canada,CAN,2005,19688.42,23859.4,679648.38,-5625.69,172935.2,1420.88
Canada,CAN,2010,21691.25,29685.08,691134.42,-8274.8,209506.37,5349.87
Canada,CAN,2014,24523.26,22421.46,730831.93,3323.71,229998.97,5493.77
Central African Republic,CAF,1995,12640.03,0,1603.79,-330.13,1542.59,1.16
Central African Republic,CAF,2000,15292.93,0,1524.7,-437.1,1807.92,0.17
Central African Republic,CAF,2005,15565.72,0,1542.2,-388.39,1865.42,0.27
Central African Republic,CAF,2010,18104.63,0,1223.34,-228.55,2319.65,2.67
Central African Republic,CAF,2014,17973.12,0,845.83,-201.63,2432.6,5.34
Chad,TCD,1995,8172.33,0,3960.87,-313.86,2736.48,0
Chad,TCD,2000,8373.56,0,4313.52,-509.08,2466.94,0
Chad,TCD,2005,6099.04,3105.94,7553.36,-622.2,1775.64,2.36
Chad,TCD,2010,5280.39,4015.11,8332.39,-602.72,1704.56,2.28
Chad,TCD,2014,6017.28,3953.02,9099.1,-614.13,1618.68,2.93
Chile,CHL,1995,11628.21,211.36,68747.4,-2655.54,22260.86,9754.4
Chile,CHL,2000,10508.87,126.16,83961.03,-4113.25,27159.81,7523.02
Chile,CHL,2005,9628.2,201.27,97885.92,-3026.7,30015.66,15991.97
Chile,CHL,2010,9818.06,214.34,124216.63,-1754.69,37399.66,43902.82
Chile,CHL,2014,10833.28,316.23,139511.87,-2007.61,45095.99,43963.12
China,CHN,1995,4647.58,433.13,20975.36,-130.98,4632.77,27.6
China,CHN,2000,5776.79,317.04,26798.89,79.61,7048.13,26.64
China,CHN,2005,7149.15,1123.75,27112.96,561.55,11341.94,175.8
China,CHN,2010,8774.1,3069.1,48083.33,1338.45,19131.29,1395.32
China,CHN,2014,10577.48,3029.1,63368.82,1104.06,28565.76,1526.59
Colombia,COL,1995,15915.75,1389.68,76370.21,-1020.84,24491.96,88.62
Colombia,COL,2000,13676.11,1025.78,73535.19,-1101,17964.45,76.64
Colombia,COL,2005,12104.02,1770.11,73854.26,-1530.2,19169.59,215.99
Colombia,COL,2010,12260.13,3246.04,98081.77,-1783.55,23170.89,584.1
Colombia,COL,2014,11292.7,3931.61,114088.46,-2174.59,27857,708.16
Comoros,COM,1995,2770.94,0,3470.03,-563.49,5060.65,0
Comoros,COM,2000,3451.59,0,3702.63,-690.79,3502.53,0
Comoros,COM,2005,2816.77,0,3704.61,-373.85,3291,0
Comoros,COM,2010,2637.87,0,3348.82,-191.83,2049.26,0
Comoros,COM,2014,2898.07,0,3402.28,-50.12,2585.44,0
Congo,COG,1995,8646.45,8079.67,19608.22,-7766.79,15347.29,38.28
Congo,COG,2000,7785.45,11715.28,19628.8,-4581.34,10389.09,2.36
Congo,COG,2005,8389.51,13180.51,21900.88,-3714,11070.99,2.27
Congo,COG,2010,10913.82,13363.42,24462.22,-3079.15,9199.9,6.4
Congo,COG,2014,15291.45,17539.36,25906.01,-5370.56,15400.83,12.1
Costa Rica,CRI,1995,24410.79,0,62502.29,-1401.7,16057.98,0
Costa Rica,CRI,2000,23242.99,0,66319.13,-1614.43,17317.45,0
Costa Rica,CRI,2005,22494.1,0,88859.77,-1703.78,19302.24,2
Costa Rica,CRI,2010,24032.31,0,116470.17,-2548.24,22327.9,31.98
Costa Rica,CRI,2014,24127.88,0,122639.85,-4495.8,24681.26,32.22
Cote d'Ivoire,CIV,1995,14913.72,41.84,9570.98,-3096.54,4932.52,6.14
Cote d'Ivoire,CIV,2000,9045.32,137.78,9932.29,-1798.3,5350.14,2.61
Cote d'Ivoire,CIV,2005,6765.7,130.53,7261.14,-816.89,4485.76,8.98
Cote d'Ivoire,CIV,2010,8072.8,357.49,7748.91,-425.97,3508.74,56.39
Cote d'Ivoire,CIV,2014,10379.55,421.56,8986.18,92.44,4390.52,214.41
Croatia,HRV,1995,5331.86,609.09,54634.14,315.22,37052.16,0.5
Croatia,HRV,2000,6925.5,537.91,73624,-2729.21,44769.11,0
Croatia,HRV,2005,7508.22,726.21,93619.11,-7327.15,51423.33,0
Croatia,HRV,2010,8276.15,954.32,95231.89,-12709.67,56943.89,0.09
Croatia,HRV,2014,8242.44,1156.01,90548.63,-11168.82,58766,0.37
Democratic Republic of Congo,COD,1995,11361.76,94.42,3676.5,-949.69,3963.48,151.67
Democratic Republic of Congo,COD,2000,7661.2,84.96,2586.35,-206.43,1500.84,35.87
Democratic Republic of Congo,COD,2005,4396.23,85.71,2629.76,-314.89,1640.79,56.78
Democratic Republic of Congo,COD,2010,4838.39,111.35,2816.26,-100.98,780.67,563.38
Democratic Republic of Congo,COD,2014,5219.14,111.73,3300.76,-118.96,2369.29,1374.04
Denmark,DNK,1995,11620.74,1874.95,458833.24,-13688.3,204637.48,0
Denmark,DNK,2000,9977.68,2700.07,479567.19,-8289.39,230629.73,0
Denmark,DNK,2005,8443.99,6421.5,528761.98,1915.67,253682.82,63.96
Denmark,DNK,2010,8489.25,7889.23,530270.95,7256.73,265400.35,0
Denmark,DNK,2014,9343.76,6917.58,538947.02,26103.2,273019.31,0
Djibouti,DJI,1995,4107.28,0,6128.47,517.61,4264.42,0
Djibouti,DJI,2000,3455.71,0,8118.02,269.1,9475.36,0
Djibouti,DJI,2005,3260.57,0,8740.33,238.31,4440.46,0
Djibouti,DJI,2010,5684.52,0,11465.49,24.39,10182.7,0
Djibouti,DJI,2014,5437.05,0,12096.85,-656.17,6035.88,0
Dominican Republic,DOM,1995,5714.49,0,36323.18,-874.11,9420.17,156.54
Dominican Republic,DOM,2000,4372.95,0,47868.71,-1081.9,13037.03,210.89
Dominican Republic,DOM,2005,4189.44,0,49763.8,-1459.44,17836.98,468.16
Dominican Republic,DOM,2010,4766.63,0,58977.84,-2660.72,20501.86,111.69
Dominican Republic,DOM,2014,5039.12,0,73054.9,-3824.1,21807.83,1179.55
Ecuador,ECU,1995,6242.35,3497.2,34918.46,-2677.88,12380.69,0.44
Ecuador,ECU,2000,9502.4,5463.41,38819.24,-3805.65,16158.24,0.12
Ecuador,ECU,2005,12558.73,7709.76,42746.94,-1986.78,15259.71,10.91
Ecuador,ECU,2010,12688,13483.48,51678.91,-833.58,18409.49,67.43
Ecuador,ECU,2014,15447.01,14410.88,52696.45,-721.03,20469.26,148.64
Egypt,EGY,1995,5591.08,1668.14,14681.72,-159.41,5593.52,16.02
Egypt,EGY,2000,5600,1407.39,17635.72,-400.77,4362.84,17.56
Egypt,EGY,2005,6341.97,2847.67,17716.58,-116.3,5420.45,36.17
Egypt,EGY,2010,7980.15,4977.13,19873.54,-693.18,6436.83,210.06
Egypt,EGY,2014,6850.43,4073.68,22591.21,-954.82,5604.55,304.77
El Salvador,SLV,1995,4493.32,0,18911.44,-488.13,6497.42,0
El Salvador,SLV,2000,3998.92,0,26557.02,-1141.2,7594.32,0
El Salvador,SLV,2005,3115.81,0,27063.38,-1678.96,8699.14,0
El Salvador,SLV,2010,4405.89,0,30527.87,-2024.84,9806.28,0
El Salvador,SLV,2014,4554.36,0,31950.93,-2590.6,10216.17,0
Estonia,EST,1995,15384.34,30.38,75629.93,-260.2,66023.83,0
Estonia,EST,2000,17134.3,74.61,89926.72,-5675.09,57634.35,0
Estonia,EST,2005,17981.88,183.2,129188.56,-13394.44,69193.34,0
Estonia,EST,2010,16504.16,420.04,128055.49,-12078.47,78843.52,0
Estonia,EST,2014,19502.32,590.53,155040.69,-7876.19,91645.79,0
Ethiopia,ETH,1995,3462.64,0,2040.27,-234.02,1410.23,1.16
Ethiopia,ETH,2000,3236.26,0,2316.25,-167.3,1364.82,0.27
Ethiopia,ETH,2005,3978.43,0,2931.45,-164.75,1275.88,5.21
Ethiopia,ETH,2010,4777.9,0.18,3899.94,-122.86,1115,14.81
Ethiopia,ETH,2014,5233.42,0.24,6722.73,-228.88,1347.32,49.93
Finland,FIN,1995,17055.27,0,298614.84,-14379.14,161611.95,85
Finland,FIN,2000,16221.58,0,349364.28,-64853.01,188420.27,89.75
Finland,FIN,2005,14952.41,0,408412.05,-7199.94,217587.44,217.92
Finland,FIN,2010,14585.22,0,427820.44,9673.97,239312.28,1673.63
Finland,FIN,2014,15154.27,0,460081.82,-682.95,248985.83,2882.73
France,FRA,1995,10843.77,66.96,358554.2,-1508.32,142813.37,3.11
France,FRA,2000,10171.26,33.58,390421.82,93.23,159094.47,1.2
France,FRA,2005,9358.24,66.6,393551.26,-1529.58,180745.08,2.23
France,FRA,2010,9936.59,64.39,403976.26,-5369.56,209510.12,7.05
France,FRA,2014,11027.87,78.77,415850.89,-9082.01,223830.05,1.91
Gabon,GAB,1995,62719.62,24753.83,86982.15,-8608.01,36748.14,3
Gabon,GAB,2000,52065.46,48584.32,70659.31,-3877.25,32076.39,0.53
Gabon,GAB,2005,41315.29,44644.33,57717.84,-689.42,31142.16,12.74
Gabon,GAB,2010,39500.56,45719.61,53460.28,4965.35,31097.85,0
Gabon,GAB,2014,43862.55,51373.84,62232.56,7511.19,34696.84,224.48
Gambia,GMB,1995,804.37,0,3017.67,-150.79,1055.09,0
Gambia,GMB,2000,708.18,0,3182.43,-294.6,1128.69,0
Gambia,GMB,2005,1259.08,0,2862.93,-598.44,1525.14,0
Gambia,GMB,2010,1241.88,0,2923.59,-474.05,1610.92,0
Gambia,GMB,2014,1413.39,0,2745.23,-495.69,1544.81,0
Georgia,GEO,1995,6061.28,172.77,4931.21,-460.45,12432.29,22.2
Georgia,GEO,2000,9115.2,83.28,6276.27,-1157.24,13413.86,33.2
Georgia,GEO,2005,9571.52,205.95,4970.95,-1505.66,15442.36,151.67
Georgia,GEO,2010,5719.58,152.34,12874.65,-3457.52,17558.09,519.25
Georgia,GEO,2014,6426.99,162.56,21250.82,-4682.28,20414.63,754.67
Germany,DEU,1995,6208.02,209.1,346277.27,1830.12,169962.86,0
Germany,DEU,2000,5884.69,138.19,352328.01,25.42,184591.44,0.83
Germany,DEU,2005,5650.13,486.81,332153.08,4421.42,188676.98,0.75
Germany,DEU,2010,6329.83,943.72,408266.96,9574.55,216137.34,10.04
Germany,DEU,2014,6962.28,725.14,467668.1,16804.31,236890.67,13.16
Ghana,GHA,1995,7301.85,0,6345.49,-523.72,5062.09,108.27
Ghana,GHA,2000,7284.11,0,6796.36,-1202.9,3600.29,36.23
Ghana,GHA,2005,7890.21,4.88,7776.83,-592.8,5028.95,184.66
Ghana,GHA,2010,5154.53,7.01,10922.22,-581.46,2890.23,598.98
Ghana,GHA,2014,6745.03,731.81,13852.92,-994.77,3767.95,941.26
Greece,GRC,1995,15210.27,159.08,135185.54,-2211.07,115796.32,99.25
Greece,GRC,2000,13478.13,55.62,155885.14,-8357.37,129063.95,34.13
Greece,GRC,2005,12762.09,420.55,184498.18,-19177.72,137668.37,133.38
Greece,GRC,2010,10806.33,908.1,178984.22,-25755.5,140305.76,747.86
Greece,GRC,2014,11129.13,654.3,105662.82,-25178.8,134895.04,762.73
Guatemala,GTM,1995,7709.27,121.13,20875.26,-416.44,5107.26,0
Guatemala,GTM,2000,6329.57,277.72,22710.54,-531.74,6241.48,0.37
Guatemala,GTM,2005,5576.42,507.4,24700.51,-357.89,9423.09,21.76
Guatemala,GTM,2010,7545.89,267.33,24015.83,-491.12,9927.09,164.64
Guatemala,GTM,2014,8259.14,224.16,25450.16,-862.25,9554.89,513.88
Guinea,GIN,1995,2286.59,0,652.51,-378.44,963.58,1065.21
Guinea,GIN,2000,2649.46,0,626.68,-471.35,1423.24,638.58
Guinea,GIN,2005,3858.8,0,697.59,-525.68,1328.79,844.02
Guinea,GIN,2010,5625.24,0,688.12,-367.62,898.8,1036.79
Guinea,GIN,2014,6271.86,0,620.55,-279.42,1307.37,1022.39
Guyana,GUY,1995,33604.48,0,15727.38,-7808.97,10645.89,4144.07
Guyana,GUY,2000,33662.97,0,17017.96,-5797.43,10797.3,3198.45
Guyana,GUY,2005,31531.14,0,15335.91,-5073.29,10719.55,2424.31
Guyana,GUY,2010,29503.5,0,17816.39,-2371.87,11707.5,3781.19
Guyana,GUY,2014,32762.27,0,21801,-3803.25,12032.92,6857.42
Haiti,HTI,1995,2339.05,0,5199.54,-172.56,3710.51,0
Haiti,HTI,2000,2172.94,0,7105.35,-257,3756.22,0
Haiti,HTI,2005,2185.79,0,5407.12,-243.93,4442.99,0
Haiti,HTI,2010,2417.62,0,3609.21,93.12,4908.3,0
Haiti,HTI,2014,3018.01,0,6134.69,-100.86,5988.58,0
Honduras,HND,1995,14833.87,0,14235.97,-2200.15,6940.61,62.04
Honduras,HND,2000,14598.67,0,16482.45,-1181.49,6152.7,55.87
Honduras,HND,2005,10076.33,0,22792.54,-999.56,6791.23,78.64
Honduras,HND,2010,10732.26,0,26914.23,-896.75,7970.42,318.59
Honduras,HND,2014,10375.82,0,27372,-1619.66,8427.21,222.97
Hungary,HUN,1995,5728.61,608.24,63672.05,-4979.08,42045.9,119.7
Hungary,HUN,2000,5152.43,448.28,70955.61,-7366.43,47532.16,25.35
Hungary,HUN,2005,4835.05,551.56,88009.19,-11272.51,55203.51,10.45
Hungary,HUN,2010,5339.73,409.33,87893.12,-14210.2,62370.01,6.88
Hungary,HUN,2014,6209.16,411.35,102557.45,-9222.19,65561,2.1
Iceland,ISL,1995,8386.18,0,534873.85,-18205.88,168945.26,0
Iceland,ISL,2000,5968.38,0,659909.36,-34613.2,184103.26,0
Iceland,ISL,2005,5221.89,0,790158.03,-41475.52,217365.17,0
Iceland,ISL,2010,6288.86,0,723853.35,-316425.27,280158.07,0
Iceland,ISL,2014,8979.92,0,733611.53,-187717.26,270983.02,0
India,IND,1995,2407.77,176.83,4191.74,-138.07,2059.47,34.87
India,IND,2000,2400.15,181.74,4941.26,-125.49,2340.23,35.2
India,IND,2005,2345.54,343.57,6385.89,-146.66,2973.35,87.18
India,IND,2010,3045.13,664.8,7390.23,-315.06,4189.44,360.84
India,IND,2014,3633.4,748.18,8755.39,-444.48,5161.34,357.23
Indonesia,IDN,1995,5958.95,769.98,21666.48,-1334.93,5815.18,204.85
Indonesia,IDN,2000,5655.02,783.54,12416.73,-1589.19,7537.74,295.39
Indonesia,IDN,2005,4814.09,1401.52,14454.66,-1054.09,9191.81,540.21
Indonesia,IDN,2010,5315.29,2204.14,20001.04,-1148.48,13381.47,952.73
Indonesia,IDN,2014,6320.89,2164.89,23701.11,-1524.01,15298.83,956.97
Iraq,IRQ,1995,1946.82,2860.06,5645.33,0,1200.99,0
Iraq,IRQ,2000,1602.49,10611.46,4382.53,0,1436.16,0
Iraq,IRQ,2005,2382.84,38898.14,10194.22,-9198.58,8018.87,0
Iraq,IRQ,2010,2695.61,64475.45,13969.76,13.56,10134.33,1.87
Iraq,IRQ,2014,3022.23,68488.95,15473.22,200.85,14510.39,9.13
Ireland,IRL,1995,24124.62,140.75,332193.37,-10525.47,82220.21,0
Ireland,IRL,2000,19766.73,203.38,474592.21,-3636.36,133962.11,5.8
Ireland,IRL,2005,14333.78,212.91,529557.32,-12435.97,195076.15,22.49
Ireland,IRL,2010,13658.41,134.37,479463.13,-47059.02,179667.23,528.63
Ireland,IRL,2014,15544.57,106.51,473655.57,-51620.37,189308.74,260.96
Italy,ITA,1995,10227.88,265.05,253504.82,-3010.38,140126.79,0.45
Italy,ITA,2000,9891.1,239.57,253959.75,-5624.44,154306.23,0.25
Italy,ITA,2005,8769.53,378.11,262678.06,-6465.43,170173.47,0.52
Italy,ITA,2010,8088.84,437.45,262628.69,-10880.27,188386.24,1.89
Italy,ITA,2014,8092.66,526.65,241349.57,-10558.03,188054.69,0
Jamaica,JAM,1995,9587.46,0,35969.41,-3747.73,31362.08,6920.28
Jamaica,JAM,2000,5854.61,0,37067.38,-2764.66,27697.95,2650.03
Jamaica,JAM,2005,5281.42,0,43042.49,-4242.47,29567.79,2082.12
Jamaica,JAM,2010,5306.82,0,41651.41,-6161.31,29620.18,2075.56
Jamaica,JAM,2014,5504.88,0,41884.18,-7235.43,30313.01,1299.55
Japan,JPN,1995,3407.61,7.86,428698.38,4948.37,105388.15,2.15
Japan,JPN,2000,3238.16,6.24,426462.33,8139.81,126731.6,0.38
Japan,JPN,2005,3194.15,11.31,371139.9,11657.14,143732.85,3.14
Japan,JPN,2010,3626.57,15.74,358425.2,19887.92,163411.96,12.23
Japan,JPN,2014,3698.56,22.85,377731.19,23750.84,179276.96,19.94
Jordan,JOR,1995,17213.61,15.47,20826.76,-2489.52,13349.06,0
Jordan,JOR,2000,15033.56,22.59,21561.08,-2836.74,14668.01,0
Jordan,JOR,2005,7324.83,32.61,25365.59,-7104.93,17242.53,0
Jordan,JOR,2010,8530.39,44.74,28824.73,-3528.73,17658.82,2831.32
Jordan,JOR,2014,6541.3,37.67,27312.17,-4477.76,17576.87,2296.68
Kazakhstan,KAZ,1995,20796.74,7103.03,32282.43,-610.07,41522.68,1704.62
Kazakhstan,KAZ,2000,15619.4,8516.01,32229.83,-3431.2,42288.13,1284.18
Kazakhstan,KAZ,2005,15176.49,26610.24,46428.88,-3236.04,50480.76,3132.54
Kazakhstan,KAZ,2010,13617.45,49837.11,59747.96,-2843.97,43222.99,8239.1
Kazakhstan,KAZ,2014,13165.47,46699.95,76616.8,-2460.74,40149.59,6740.31
Kenya,KEN,1995,9276.78,0,7662.94,-746.68,5277.87,0.32
Kenya,KEN,2000,6676.19,0,6847.55,-297.94,3093.62,0.1
Kenya,KEN,2005,7152.82,0,7183.98,-169.35,3547.17,2.59
Kenya,KEN,2010,6937.43,0,8437.82,-138.53,3044.79,11.04
Kenya,KEN,2014,6745.74,0,9556.28,-270.81,3356.08,24.89
Kuwait,KWT,1995,779.18,274998.16,306019.44,87369.32,118397,0
Kuwait,KWT,2000,1303.75,371823.58,280885.38,91362.88,109630.5,0
Kuwait,KWT,2005,1656.66,511200.86,349618.19,108202.79,94725.61,0
Kuwait,KWT,2010,1912.34,586171.37,279186.88,165591.31,76326.24,0
Kuwait,KWT,2014,2366.54,588862.14,271628.03,185407.68,74879.16,0
Kyrgyzstan,KGZ,1995,6828.01,114.93,5477.08,-284.32,3373.29,28.52
Kyrgyzstan,KGZ,2000,8824.21,77.65,5530.32,-1113.76,4305.65,36.22
Kyrgyzstan,KGZ,2005,10433.1,157.2,5297.12,-647.85,4655.64,571.48
Kyrgyzstan,KGZ,2010,11215.25,192.01,6035.1,-452.67,6075.27,876.33
Kyrgyzstan,KGZ,2014,11080.3,166.78,6728.6,-1028.67,6158.75,1323.11
Laos,LAO,1995,8569.98,0.02,7020.21,-807.86,1126.65,0
Laos,LAO,2000,11620.12,4.73,8609.41,-1329.5,1429.61,0
Laos,LAO,2005,15733.84,36.86,7920.63,-1305.81,3263.42,479.63
Laos,LAO,2010,16590.06,96.8,10991.39,-1530.95,3856.29,2546.57
Laos,LAO,2014,18865.59,74.92,13762.39,-2324.29,5278.86,3649.49
Latvia,LVA,1995,13766.99,0,43710.64,-161.99,41099.26,0
Latvia,LVA,2000,14918.17,0,54615.98,-1772.42,47583.64,0
Latvia,LVA,2005,15288.61,0,87806.97,-6653.14,76284.22,0
Latvia,LVA,2010,15843.39,0,88433.84,-10918.42,85502.28,0
Latvia,LVA,2014,18738.46,0,113471.54,-9049.46,113745.92,0
Lebanon,LBN,1995,9381.96,0,39391.43,-270.98,41661.94,0
