Entity,Code,Year,Pump price for gasoline (US$ per liter) (US$ per liter)
Brazil,BRA,2000,0.92
Brazil,BRA,2002,0.55
Brazil,BRA,2004,0.84
Brazil,BRA,2006,1.26
Brazil,BRA,2008,1.26
Brazil,BRA,2010,1.58
Brazil,BRA,2012,1.39
Brazil,BRA,2014,1.27
Brazil,BRA,2016,1.02
Brunei,BRN,1998,0.34
Brunei,BRN,2000,0.31
Brunei,BRN,2002,0.3
Brunei,BRN,2004,0.32
Brunei,BRN,2006,0.34
Brunei,BRN,2008,0.38
Brunei,BRN,2010,0.39
Brunei,BRN,2012,0.43
Brunei,BRN,2014,0.41
Brunei,BRN,2016,0.37
Bulgaria,BGR,1995,0.46
Bulgaria,BGR,1998,0.66
Bulgaria,BGR,2000,0.7
Bulgaria,BGR,2002,0.68
Bulgaria,BGR,2004,0.92
Bulgaria,BGR,2006,1.05
Bulgaria,BGR,2008,1.28
Bulgaria,BGR,2010,1.51
Bulgaria,BGR,2012,1.69
Bulgaria,BGR,2014,1.49
Bulgaria,BGR,2016,1.11
Burkina Faso,BFA,1991,1.03
Burkina Faso,BFA,1992,1
Burkina Faso,BFA,1995,0.81
Burkina Faso,BFA,1998,0.68
Burkina Faso,BFA,2000,0.68
Burkina Faso,BFA,2002,0.83
Burkina Faso,BFA,2004,1.18
Burkina Faso,BFA,2006,1.15
Burkina Faso,BFA,2008,1.38
Burkina Faso,BFA,2010,1.44
Burkina Faso,BFA,2012,1.43
Burkina Faso,BFA,2014,1.4
Burkina Faso,BFA,2016,0.98
Burundi,BDI,1991,0.63
Burundi,BDI,1992,0.59
Burundi,BDI,1995,0.52
Burundi,BDI,1998,0.72
Burundi,BDI,2000,1.01
Burundi,BDI,2002,0.58
Burundi,BDI,2004,1.04
Burundi,BDI,2006,1.2
Burundi,BDI,2008,1.39
Burundi,BDI,2010,1.43
Burundi,BDI,2012,1.47
Burundi,BDI,2014,1.53
Burundi,BDI,2016,1.21
Cambodia,KHM,1998,0.47
Cambodia,KHM,2000,0.61
Cambodia,KHM,2002,0.63
Cambodia,KHM,2004,0.79
Cambodia,KHM,2006,1.01
Cambodia,KHM,2008,0.94
Cambodia,KHM,2010,1.15
Cambodia,KHM,2012,1.35
Cambodia,KHM,2014,1.34
Cambodia,KHM,2016,0.9
Cameroon,CMR,1991,0.68
Cameroon,CMR,1992,0.69
Cameroon,CMR,1995,0.68
Cameroon,CMR,1998,0.64
Cameroon,CMR,2000,0.56
Cameroon,CMR,2002,0.68
Cameroon,CMR,2004,0.95
Cameroon,CMR,2006,1.14
Cameroon,CMR,2008,1.14
Cameroon,CMR,2010,1.2
Cameroon,CMR,2012,1.1
Cameroon,CMR,2014,1.24
Cameroon,CMR,2016,1.03
Canada,CAN,1992,0.47
Canada,CAN,1995,0.45
Canada,CAN,1998,0.41
Canada,CAN,2000,0.58
Canada,CAN,2002,0.51
Canada,CAN,2004,0.68
Canada,CAN,2006,0.84
Canada,CAN,2008,0.76
Canada,CAN,2010,1.21
Canada,CAN,2012,1.32
Canada,CAN,2014,1.17
Canada,CAN,2016,0.81
Cape Verde,CPV,1991,0.68
Cape Verde,CPV,1998,0.81
Cape Verde,CPV,2000,0.59
Cape Verde,CPV,2004,1.4
Cape Verde,CPV,2008,1.84
Cape Verde,CPV,2010,1.84
Cape Verde,CPV,2012,2.3
Cape Verde,CPV,2014,1.56
Cape Verde,CPV,2016,1.02
Caribbean small states,,2000,0.56
Caribbean small states,,2004,0.705
Caribbean small states,,2006,0.94
Caribbean small states,,2008,0.875
Caribbean small states,,2010,1.02
Caribbean small states,,2014,1.29
Central African Republic,CAF,1991,1.33
Central African Republic,CAF,1992,1.28
Central African Republic,CAF,1995,0.82
Central African Republic,CAF,1998,0.81
Central African Republic,CAF,2002,1
Central African Republic,CAF,2004,1.29
Central African Republic,CAF,2006,1.37
Central African Republic,CAF,2008,1.44
Central African Republic,CAF,2010,1.71
Central African Republic,CAF,2012,1.71
Central African Republic,CAF,2014,1.69
Central African Republic,CAF,2016,1.41
Central Europe and the Baltics,,1995,0.55
Central Europe and the Baltics,,1998,0.61
Central Europe and the Baltics,,2000,0.69
Central Europe and the Baltics,,2002,0.74
Central Europe and the Baltics,,2004,1.08
Central Europe and the Baltics,,2006,1.26
Central Europe and the Baltics,,2008,1.27
Central Europe and the Baltics,,2010,1.59
Central Europe and the Baltics,,2012,1.8
Central Europe and the Baltics,,2014,1.58
Central Europe and the Baltics,,2016,1.16
Chad,TCD,1991,1.05
Chad,TCD,1992,1.02
Chad,TCD,1995,0.8
Chad,TCD,1998,0.7
Chad,TCD,2000,0.68
Chad,TCD,2002,0.79
Chad,TCD,2004,1.17
Chad,TCD,2006,1.31
Chad,TCD,2008,1.3
Chad,TCD,2010,1.32
Chad,TCD,2012,0.95
Chad,TCD,2014,0.9
Chad,TCD,2016,0.78
Chile,CHL,1992,0.43
Chile,CHL,1995,0.53
Chile,CHL,1998,0.49
Chile,CHL,2000,0.64
Chile,CHL,2002,0.58
Chile,CHL,2004,0.85
Chile,CHL,2006,1.09
Chile,CHL,2008,0.95
Chile,CHL,2010,1.38
Chile,CHL,2012,1.56
Chile,CHL,2014,1.52
Chile,CHL,2016,1.03
China,CHN,1995,0.27
China,CHN,1998,0.28
China,CHN,2000,0.4
China,CHN,2002,0.42
China,CHN,2004,0.48
China,CHN,2006,0.69
China,CHN,2008,0.99
China,CHN,2010,1.11
China,CHN,2012,1.37
China,CHN,2014,1.17
China,CHN,2016,0.96
Colombia,COL,1992,0.23
Colombia,COL,1995,0.35
Colombia,COL,1998,0.24
Colombia,COL,2000,0.49
Colombia,COL,2002,0.44
Colombia,COL,2004,0.72
Colombia,COL,2006,0.98
Colombia,COL,2008,1.04
Colombia,COL,2010,1.41
Colombia,COL,2012,1.28
Colombia,COL,2014,1.08
Colombia,COL,2016,0.68
Congo,COG,1991,1.05
Congo,COG,1998,0.72
Congo,COG,2000,0.53
Congo,COG,2002,0.69
Congo,COG,2004,0.87
Congo,COG,2006,0.96
Congo,COG,2008,0.81
Congo,COG,2010,1.27
Congo,COG,2012,1.15
Congo,COG,2014,1.13
Congo,COG,2016,0.97
Costa Rica,CRI,2002,0.64
Costa Rica,CRI,2004,0.78
Costa Rica,CRI,2006,0.98
Costa Rica,CRI,2008,1.24
Costa Rica,CRI,2010,1.14
Costa Rica,CRI,2012,1.57
Costa Rica,CRI,2014,1.44
Costa Rica,CRI,2016,0.98
Cote d'Ivoire,CIV,1991,1.24
Cote d'Ivoire,CIV,1992,1.23
Cote d'Ivoire,CIV,1995,0.83
Cote d'Ivoire,CIV,1998,0.74
Cote d'Ivoire,CIV,2000,0.76
Cote d'Ivoire,CIV,2002,0.85
Cote d'Ivoire,CIV,2004,1.14
Cote d'Ivoire,CIV,2006,1.2
Cote d'Ivoire,CIV,2008,1.33
Cote d'Ivoire,CIV,2010,1.68
Cote d'Ivoire,CIV,2012,1.51
Cote d'Ivoire,CIV,2014,1.42
Cote d'Ivoire,CIV,2016,0.93
Croatia,HRV,1995,0.75
Croatia,HRV,1998,0.67
Croatia,HRV,2000,0.76
Croatia,HRV,2002,0.89
Croatia,HRV,2004,1.24
Croatia,HRV,2006,1.34
Croatia,HRV,2008,1.27
Croatia,HRV,2010,1.59
Croatia,HRV,2012,1.77
Croatia,HRV,2014,1.66
Croatia,HRV,2016,1.26
Cuba,CUB,1998,0.5
Cuba,CUB,2002,0.9
Cuba,CUB,2004,0.95
Cuba,CUB,2006,1.1
Cuba,CUB,2008,1.67
Cuba,CUB,2010,1.72
Cuba,CUB,2012,1.4
Cuba,CUB,2014,1.4
Cyprus,CYP,1998,0.78
Cyprus,CYP,2000,0.57
Cyprus,CYP,2002,0.83
Cyprus,CYP,2004,1.08
Cyprus,CYP,2006,1.25
Cyprus,CYP,2008,1.28
Cyprus,CYP,2010,1.47
Cyprus,CYP,2012,1.77
Cyprus,CYP,2014,1.61
Cyprus,CYP,2016,1.23
Czech Republic,CZE,1995,0.85
Czech Republic,CZE,1998,0.72
Czech Republic,CZE,2000,0.77
Czech Republic,CZE,2002,0.81
Czech Republic,CZE,2004,1.08
Czech Republic,CZE,2006,1.3
Czech Republic,CZE,2008,1.37
Czech Republic,CZE,2010,1.75
Czech Republic,CZE,2012,1.93
Czech Republic,CZE,2014,1.67
Czech Republic,CZE,2016,1.17
Democratic Republic of Congo,COD,1991,0.81
Democratic Republic of Congo,COD,1992,0.74
Democratic Republic of Congo,COD,1995,0.73
Democratic Republic of Congo,COD,1998,0.5
Democratic Republic of Congo,COD,2000,1
Democratic Republic of Congo,COD,2002,0.7
Democratic Republic of Congo,COD,2004,0.92
Democratic Republic of Congo,COD,2006,0.94
Democratic Republic of Congo,COD,2008,1.23
Democratic Republic of Congo,COD,2010,1.28
Democratic Republic of Congo,COD,2012,1.48
Democratic Republic of Congo,COD,2014,1.68
Democratic Republic of Congo,COD,2016,1.49
Denmark,DNK,1995,1.08
Denmark,DNK,1998,1.05
Denmark,DNK,2000,1.01
Denmark,DNK,2002,1.09
Denmark,DNK,2004,1.51
Denmark,DNK,2006,1.58
Denmark,DNK,2008,1.54
Denmark,DNK,2010,2
Denmark,DNK,2012,2.02
Denmark,DNK,2014,2.01
Denmark,DNK,2016,1.55
Djibouti,DJI,2010,1.63
Djibouti,DJI,2012,1.75
Djibouti,DJI,2014,1.41
Djibouti,DJI,2016,1.32
Dominican Republic,DOM,1995,0.4
Dominican Republic,DOM,1998,0.4
Dominican Republic,DOM,2000,0.71
Dominican Republic,DOM,2002,0.49
Dominican Republic,DOM,2004,0.85
Dominican Republic,DOM,2006,1.03
Dominican Republic,DOM,2008,1.04
Dominican Republic,DOM,2010,1.23
Dominican Republic,DOM,2012,1.58
Dominican Republic,DOM,2014,1.41
Dominican Republic,DOM,2016,1.07
Early-demographic dividend,,1998,0.41
Early-demographic dividend,,2000,0.53
Early-demographic dividend,,2002,0.515
Early-demographic dividend,,2004,0.625
Early-demographic dividend,,2006,0.8
Early-demographic dividend,,2008,0.87
Early-demographic dividend,,2010,1.02
Early-demographic dividend,,2012,1.24
Early-demographic dividend,,2014,1.14
Early-demographic dividend,,2016,0.91
East Asia & Pacific,,1998,0.41
East Asia & Pacific,,2000,0.445
East Asia & Pacific,,2002,0.42
East Asia & Pacific,,2004,0.68
East Asia & Pacific,,2006,0.87
East Asia & Pacific,,2008,0.94
East Asia & Pacific,,2010,1.205
East Asia & Pacific,,2012,1.36
East Asia & Pacific,,2014,1.23
East Asia & Pacific,,2016,0.9
East Asia & Pacific (IDA & IBRD),,1998,0.305
East Asia & Pacific (IDA & IBRD),,2004,0.54
East Asia & Pacific (IDA & IBRD),,2006,0.73
East Asia & Pacific (IDA & IBRD),,2008,0.92
East Asia & Pacific (IDA & IBRD),,2010,1.11
East Asia & Pacific (IDA & IBRD),,2012,1.31
East Asia & Pacific (IDA & IBRD),,2014,1.17
East Asia & Pacific (IDA & IBRD),,2016,0.84
East Asia & Pacific (excluding high income),,1998,0.31
East Asia & Pacific (excluding high income),,2000,0.385
East Asia & Pacific (excluding high income),,2004,0.54
East Asia & Pacific (excluding high income),,2006,0.71
East Asia & Pacific (excluding high income),,2008,0.915
East Asia & Pacific (excluding high income),,2010,1.11
East Asia & Pacific (excluding high income),,2012,1.31
East Asia & Pacific (excluding high income),,2014,1.17
East Asia & Pacific (excluding high income),,2016,0.82
Ecuador,ECU,1992,0.31
Ecuador,ECU,1995,0.33
Ecuador,ECU,1998,0.38
Ecuador,ECU,2000,0.31
Ecuador,ECU,2002,0.55
Ecuador,ECU,2004,0.54
Ecuador,ECU,2006,0.47
Ecuador,ECU,2008,0.51
Ecuador,ECU,2010,0.53
Ecuador,ECU,2012,0.58
Ecuador,ECU,2014,0.6
Ecuador,ECU,2016,0.61
Egypt,EGY,1991,0.29
Egypt,EGY,1992,0.3
Egypt,EGY,1995,0.29
Egypt,EGY,1998,0.29
Egypt,EGY,2000,0.26
Egypt,EGY,2002,0.19
Egypt,EGY,2004,0.28
Egypt,EGY,2006,0.3
Egypt,EGY,2008,0.49
Egypt,EGY,2010,0.48
Egypt,EGY,2012,0.45
Egypt,EGY,2014,0.88
Egypt,EGY,2016,0.4
El Salvador,SLV,1998,0.54
El Salvador,SLV,2000,0.67
El Salvador,SLV,2002,0.46
El Salvador,SLV,2004,0.65
El Salvador,SLV,2006,0.82
El Salvador,SLV,2008,0.78
El Salvador,SLV,2010,0.92
El Salvador,SLV,2012,1.26
El Salvador,SLV,2014,1.12
El Salvador,SLV,2016,0.83
Eritrea,ERI,1992,0.5
Eritrea,ERI,1995,0.4
Eritrea,ERI,1998,0.37
Eritrea,ERI,2000,0.56
Eritrea,ERI,2002,0.36
Eritrea,ERI,2004,0.8
Eritrea,ERI,2006,1.9
Eritrea,ERI,2008,2.53
Eritrea,ERI,2010,2.54
Eritrea,ERI,2012,2.49
Eritrea,ERI,2014,3.33
Eritrea,ERI,2016,2
Estonia,EST,1995,0.33
Estonia,EST,1998,0.45
Estonia,EST,2000,0.6
Estonia,EST,2002,0.58
Estonia,EST,2004,0.94
Estonia,EST,2006,1.23
Estonia,EST,2008,1.18
Estonia,EST,2010,1.54
Estonia,EST,2012,1.76
Estonia,EST,2014,1.46
Estonia,EST,2016,1.14
Ethiopia,ETH,1991,0.27
Ethiopia,ETH,1992,0.26
Ethiopia,ETH,1995,0.32
Ethiopia,ETH,1998,0.36
Ethiopia,ETH,2000,0.46
Ethiopia,ETH,2002,0.52
Ethiopia,ETH,2004,0.6
Ethiopia,ETH,2006,0.93
Ethiopia,ETH,2008,0.92
Ethiopia,ETH,2010,0.91
Ethiopia,ETH,2012,1.05
Ethiopia,ETH,2014,0.99
Ethiopia,ETH,2016,0.75
Euro area,,1995,0.925
Euro area,,1998,0.84
Euro area,,2000,0.75
Euro area,,2002,0.84
Euro area,,2004,1.21
Euro area,,2006,1.34
Euro area,,2008,1.5
Euro area,,2010,1.7
Euro area,,2012,1.92
Euro area,,2014,1.79
Euro area,,2016,1.36
Europe & Central Asia,,1995,0.84
Europe & Central Asia,,1998,0.67
Europe & Central Asia,,2000,0.72
Europe & Central Asia,,2002,0.8
Europe & Central Asia,,2004,1.17
Europe & Central Asia,,2006,1.29
Europe & Central Asia,,2008,1.28
Europe & Central Asia,,2010,1.59
Europe & Central Asia,,2012,1.805
Europe & Central Asia,,2014,1.6
Europe & Central Asia,,2016,1.18
Europe & Central Asia (IDA & IBRD),,1995,0.555
Europe & Central Asia (IDA & IBRD),,1998,0.51
Europe & Central Asia (IDA & IBRD),,2000,0.55
Europe & Central Asia (IDA & IBRD),,2002,0.57
Europe & Central Asia (IDA & IBRD),,2004,0.825
Europe & Central Asia (IDA & IBRD),,2006,1.005
Europe & Central Asia (IDA & IBRD),,2008,1.13
Europe & Central Asia (IDA & IBRD),,2010,1.21
Europe & Central Asia (IDA & IBRD),,2012,1.45
Europe & Central Asia (IDA & IBRD),,2014,1.32
Europe & Central Asia (IDA & IBRD),,2016,1.03
Europe & Central Asia (excluding high income),,1998,0.49
Europe & Central Asia (excluding high income),,2000,0.55
Europe & Central Asia (excluding high income),,2002,0.49
Europe & Central Asia (excluding high income),,2004,0.705
Europe & Central Asia (excluding high income),,2006,0.91
Europe & Central Asia (excluding high income),,2008,1.11
Europe & Central Asia (excluding high income),,2010,1.13
Europe & Central Asia (excluding high income),,2012,1.42
Europe & Central Asia (excluding high income),,2014,1.3
Europe & Central Asia (excluding high income),,2016,0.83
European Union,,1995,0.88
European Union,,1998,0.78
European Union,,2000,0.765
European Union,,2002,0.855
European Union,,2004,1.225
European Union,,2006,1.33
European Union,,2008,1.39
European Union,,2010,1.685
European Union,,2012,1.915
European Union,,2014,1.775
European Union,,2016,1.32
Fiji,FJI,1998,0.5
Fiji,FJI,2004,0.91
Fiji,FJI,2006,1.07
Fiji,FJI,2008,1.15
Fiji,FJI,2012,1.41
Fiji,FJI,2014,1.34
Fiji,FJI,2016,0.82
Finland,FIN,1995,1.2
Finland,FIN,1998,1.17
Finland,FIN,2000,1.06
Finland,FIN,2002,1.12
Finland,FIN,2004,1.54
Finland,FIN,2006,1.55
Finland,FIN,2008,1.57
Finland,FIN,2010,1.94
Finland,FIN,2012,2.08
Finland,FIN,2014,1.89
Finland,FIN,2016,1.45
Fragile and conflict affected situations,,1998,0.525
Fragile and conflict affected situations,,2000,0.56
Fragile and conflict affected situations,,2002,0.54
Fragile and conflict affected situations,,2004,0.86
Fragile and conflict affected situations,,2006,1.005
Fragile and conflict affected situations,,2008,1.12
Fragile and conflict affected situations,,2010,1.28
Fragile and conflict affected situations,,2012,1.41
Fragile and conflict affected situations,,2014,1.365
Fragile and conflict affected situations,,2016,0.95
France,FRA,1995,1.17
France,FRA,1998,1.11
France,FRA,2000,0.99
France,FRA,2002,1.05
France,FRA,2004,1.42
France,FRA,2006,1.48
France,FRA,2008,1.52
France,FRA,2010,1.98
France,FRA,2012,1.91
France,FRA,2014,1.79
France,FRA,2016,1.39
French Polynesia,PYF,2006,1.49
French Polynesia,PYF,2008,1.58
French Polynesia,PYF,2010,1.7
Gabon,GAB,1991,1.18
Gabon,GAB,1992,1.16
Gabon,GAB,1998,0.63
Gabon,GAB,2000,0.53
Gabon,GAB,2002,0.69
Gabon,GAB,2004,0.9
Gabon,GAB,2006,0.64
Gabon,GAB,2008,1.14
Gabon,GAB,2012,1.04
Gabon,GAB,2014,1.02
Gabon,GAB,2016,0.92
Gambia,GMB,1991,0.73
Gambia,GMB,1992,0.67
Gambia,GMB,1998,0.83
Gambia,GMB,2000,0.64
Gambia,GMB,2002,0.46
Gambia,GMB,2004,0.75
Gambia,GMB,2006,1.08
Gambia,GMB,2008,0.79
Gambia,GMB,2014,1.37
Gambia,GMB,2016,1.18
Georgia,GEO,1998,0.46
Georgia,GEO,2002,0.48
Georgia,GEO,2004,0.73
Georgia,GEO,2006,0.86
Georgia,GEO,2008,1.09
Georgia,GEO,2010,1.13
Georgia,GEO,2012,1.34
Georgia,GEO,2014,1.24
Georgia,GEO,2016,0.76
Germany,DEU,1995,1.12
Germany,DEU,1998,0.96
Germany,DEU,2000,0.91
Germany,DEU,2002,1.03
Germany,DEU,2004,1.46
Germany,DEU,2006,1.55
Germany,DEU,2008,1.56
Germany,DEU,2010,1.9
Germany,DEU,2012,1.96
Germany,DEU,2014,1.8
Germany,DEU,2016,1.39
Ghana,GHA,1991,0.53
Ghana,GHA,1992,0.53
Ghana,GHA,1995,0.38
Ghana,GHA,1998,0.32
Ghana,GHA,2000,0.2
Ghana,GHA,2002,0.28
Ghana,GHA,2004,0.49
Ghana,GHA,2006,0.86
Ghana,GHA,2008,0.9
Ghana,GHA,2010,0.82
Ghana,GHA,2012,0.92
Ghana,GHA,2014,1.06
Ghana,GHA,2016,0.92
Greece,GRC,1995,0.88
Greece,GRC,1998,0.65
Greece,GRC,2000,0.72
Greece,GRC,2002,0.78
Greece,GRC,2004,1.14
Greece,GRC,2006,1.16
Greece,GRC,2008,1.23
Greece,GRC,2010,2.05
Greece,GRC,2012,2.06
Greece,GRC,2014,1.98
Greece,GRC,2016,1.54
Grenada,GRD,1998,0.54
Grenada,GRD,2000,0.54
Grenada,GRD,2002,0.54
Grenada,GRD,2004,0.73
Grenada,GRD,2006,0.89
Grenada,GRD,2008,1.28
Grenada,GRD,2010,1.02
Grenada,GRD,2012,1.4
Grenada,GRD,2016,1.12
Guatemala,GTM,1992,0.32
Guatemala,GTM,1995,0.39
Guatemala,GTM,1998,0.41
Guatemala,GTM,2000,0.53
Guatemala,GTM,2002,0.48
Guatemala,GTM,2004,0.68
Guatemala,GTM,2006,0.78
Guatemala,GTM,2008,0.86
Guatemala,GTM,2010,0.95
Guatemala,GTM,2012,1.14
Guatemala,GTM,2014,1.01
Guatemala,GTM,2016,0.79
Guinea,GIN,1991,0.67
Guinea,GIN,1992,0.61
Guinea,GIN,1998,0.68
Guinea,GIN,2000,0.85
Guinea,GIN,2002,0.66
Guinea,GIN,2004,0.75
Guinea,GIN,2006,0.79
Guinea,GIN,2008,1.02
Guinea,GIN,2010,0.95
Guinea,GIN,2012,1.34
Guinea,GIN,2014,1.45
