Entity,Code,Year,Suite of Food Security Indicators - Prevalence of severe food insecurity in the total population (percent) (annual value) - 210400 - Value - 6121 - % (%)
Northern America,,2016,1
Northern America,,2017,1
Northern America,,2018,0.8
Northern Europe,,2014,3.4
Northern Europe,,2015,4.1
Northern Europe,,2016,1.7
Northern Europe,,2017,2.2
Northern Europe,,2018,1
South America,,2014,5.6
South America,,2015,4.8
South America,,2016,7.5
South America,,2017,8.8
South America,,2018,8.3
South Asia (exc India),,2014,9.9
South Asia (exc India),,2015,10.4
South Asia (exc India),,2016,9.5
South Asia (exc India),,2017,7.9
South Asia (exc India),,2018,10
South Eastern Asia,,2014,4.5
South Eastern Asia,,2015,3.7
South Eastern Asia,,2016,4.2
South Eastern Asia,,2017,5.8
South Eastern Asia,,2018,5.2
Southern Africa,,2014,21.4
Southern Africa,,2015,20.6
Southern Africa,,2016,30.7
Southern Africa,,2017,30.8
Southern Africa,,2018,30.6
Southern Asia,,2014,13.7
Southern Asia,,2015,12.4
Southern Asia,,2016,10.6
Southern Asia,,2017,10.9
Southern Asia,,2018,14.4
Southern Europe,,2014,1.8
Southern Europe,,2015,1.6
Southern Europe,,2016,1.6
Southern Europe,,2017,2
Southern Europe,,2018,1.6
Sub-Saharan Africa,,2014,20.3
Sub-Saharan Africa,,2015,21.7
Sub-Saharan Africa,,2016,24.8
Sub-Saharan Africa,,2017,25.8
Sub-Saharan Africa,,2018,24.6
Sub-Saharan Africa (inc. Sudan),,2014,19.9
Sub-Saharan Africa (inc. Sudan),,2015,21.2
Sub-Saharan Africa (inc. Sudan),,2016,24.2
Sub-Saharan Africa (inc. Sudan),,2017,25.2
Sub-Saharan Africa (inc. Sudan),,2018,23.9
Upper middle income,,2014,7.4
Upper middle income,,2015,6.8
Upper middle income,,2016,8.2
Upper middle income,,2017,9.2
Upper middle income,,2018,8.6
Western Africa,,2014,12.9
Western Africa,,2015,14.4
Western Africa,,2016,16.5
Western Africa,,2017,17.7
Western Africa,,2018,17.6
Western Asia,,2014,8.7
Western Asia,,2015,8.9
Western Asia,,2016,9.3
Western Asia,,2017,10.3
Western Asia,,2018,9.9
World,OWID_WRL,2014,8
World,OWID_WRL,2015,7.7
World,OWID_WRL,2016,8
World,OWID_WRL,2017,8.7
World,OWID_WRL,2018,9.2
