Entity,Code,Year,Rural poverty headcount ratio at national poverty lines (% of rural population) (% of rural population)
Colombia,COL,2002,61.7
Colombia,COL,2003,56.8
Colombia,COL,2004,58.3
Colombia,COL,2005,56.4
Colombia,COL,2008,56.6
Colombia,COL,2009,53.7
Colombia,COL,2010,49.7
Colombia,COL,2011,46.1
Colombia,COL,2012,46.8
Colombia,COL,2013,42.8
Colombia,COL,2014,41.4
Colombia,COL,2015,40.3
Comoros,COM,2004,48.7
Congo,COG,2004,65.2
Congo,COG,2011,74.8
Costa Rica,CRI,2010,27.4
Costa Rica,CRI,2011,27.1
Costa Rica,CRI,2012,27.1
Costa Rica,CRI,2013,27.8
Costa Rica,CRI,2014,30.3
Costa Rica,CRI,2015,27.9
Cote d'Ivoire,CIV,2002,49
Cote d'Ivoire,CIV,2008,62.5
Cote d'Ivoire,CIV,2015,56.8
Dominican Republic,DOM,2000,47.4
Dominican Republic,DOM,2001,47.5
Dominican Republic,DOM,2002,47.2
Dominican Republic,DOM,2003,55.4
Dominican Republic,DOM,2004,60
Dominican Republic,DOM,2005,57
Dominican Republic,DOM,2006,54
Dominican Republic,DOM,2007,51.8
Dominican Republic,DOM,2008,55.2
Dominican Republic,DOM,2009,50.8
Dominican Republic,DOM,2010,50.4
Dominican Republic,DOM,2011,48.4
Dominican Republic,DOM,2012,49.4
Dominican Republic,DOM,2013,51.2
Ecuador,ECU,2000,82.2
Ecuador,ECU,2001,72.4
Ecuador,ECU,2003,71.3
Ecuador,ECU,2004,68.8
Ecuador,ECU,2005,64.3
Ecuador,ECU,2006,60.6
Ecuador,ECU,2007,61.3
Ecuador,ECU,2008,59.7
Ecuador,ECU,2009,57.5
Ecuador,ECU,2010,53
Ecuador,ECU,2011,50.9
Ecuador,ECU,2012,49.1
Ecuador,ECU,2013,42
Ecuador,ECU,2014,35.3
Egypt,EGY,2000,22.1
Egypt,EGY,2004,26.8
Egypt,EGY,2008,28.9
Egypt,EGY,2010,32.3
El Salvador,SLV,2005,42.4
El Salvador,SLV,2006,35.8
El Salvador,SLV,2007,43.8
El Salvador,SLV,2008,49
El Salvador,SLV,2009,46.5
El Salvador,SLV,2010,43.2
El Salvador,SLV,2011,50.2
El Salvador,SLV,2012,43.3
El Salvador,SLV,2013,36
El Salvador,SLV,2014,37.9
Equatorial Guinea,GNQ,2006,79.9
Ethiopia,ETH,1995,47.5
Ethiopia,ETH,1999,45.4
Ethiopia,ETH,2004,39.3
Ethiopia,ETH,2010,30.4
Fiji,FJI,2002,44.6
Fiji,FJI,2008,44
Gabon,GAB,2005,44.6
Gambia,GMB,2010,73.9
Ghana,GHA,2005,43.7
Ghana,GHA,2012,37.9
Guatemala,GTM,2000,74.5
Guatemala,GTM,2006,70.5
Guatemala,GTM,2014,76.10289582453
Guinea,GIN,1994,82.1
Guinea,GIN,2002,59.9
Guinea,GIN,2007,63
Guinea,GIN,2012,64.7
Guinea-Bissau,GNB,2002,69.7
Guinea-Bissau,GNB,2010,75.6
Haiti,HTI,2012,74.9
Honduras,HND,2001,71.3
Honduras,HND,2002,71.3
Honduras,HND,2003,72.7
Honduras,HND,2004,71.9
Honduras,HND,2005,69.5
Honduras,HND,2006,66.8
Honduras,HND,2007,65.2
Honduras,HND,2008,63.1
Honduras,HND,2009,64.4
Honduras,HND,2010,65.4
Honduras,HND,2011,65.2
Honduras,HND,2012,69.3
Honduras,HND,2013,68.5
Honduras,HND,2014,65
India,IND,1993,50.1
India,IND,2004,41.8
India,IND,2009,33.8
India,IND,2011,25.7
Indonesia,IDN,1996,19.8
Indonesia,IDN,1999,26
Indonesia,IDN,2002,21.1
Indonesia,IDN,2003,20.2
Indonesia,IDN,2004,20.1
Indonesia,IDN,2005,20
Indonesia,IDN,2006,21.8
Indonesia,IDN,2007,20.4
Indonesia,IDN,2008,18.9
Indonesia,IDN,2009,17.4
Indonesia,IDN,2010,16.6
Indonesia,IDN,2011,15.7
Indonesia,IDN,2012,15.1
Indonesia,IDN,2013,14.3
Indonesia,IDN,2014,14.2
Iraq,IRQ,2006,39
Iraq,IRQ,2012,30.6
Jamaica,JAM,1991,63.9
Jamaica,JAM,1992,42.2
Jamaica,JAM,1998,19.5
Jamaica,JAM,1999,22
Jamaica,JAM,2000,25.1
Jamaica,JAM,2001,24.1
Jamaica,JAM,2002,25.1
Jordan,JOR,2010,16.8
Kazakhstan,KAZ,2001,59.4
Kazakhstan,KAZ,2002,58.4
Kazakhstan,KAZ,2003,53.2
Kazakhstan,KAZ,2004,47.1
Kazakhstan,KAZ,2005,45.6
Kazakhstan,KAZ,2006,24.4
Kazakhstan,KAZ,2007,18.1
Kazakhstan,KAZ,2008,15.9
Kazakhstan,KAZ,2009,12.1
Kazakhstan,KAZ,2010,10.1
Kazakhstan,KAZ,2011,8.8
Kazakhstan,KAZ,2012,6.1
Kazakhstan,KAZ,2013,4.9
Kazakhstan,KAZ,2014,4.7
Kazakhstan,KAZ,2015,4.4
Kenya,KEN,2005,49.1
Kyrgyzstan,KGZ,2006,47.7
Kyrgyzstan,KGZ,2007,41.7
Kyrgyzstan,KGZ,2008,36.8
Kyrgyzstan,KGZ,2009,37.1
Kyrgyzstan,KGZ,2010,39.5
Kyrgyzstan,KGZ,2011,40.4
Kyrgyzstan,KGZ,2012,39.6
Kyrgyzstan,KGZ,2013,41.4
Kyrgyzstan,KGZ,2014,32.6
Kyrgyzstan,KGZ,2015,33.6
Laos,LAO,1997,42.5
Laos,LAO,2002,37.6
Laos,LAO,2007,31.7
Laos,LAO,2012,28.6
Lesotho,LSO,1994,68.9
Lesotho,LSO,2002,60.5
Lesotho,LSO,2010,61.2
Liberia,LBR,2007,67.7
Madagascar,MDG,2001,78.2
Malawi,MWI,1997,66.5
Malawi,MWI,2004,55.9
Malawi,MWI,2010,56.6
Malaysia,MYS,2002,13.5
Malaysia,MYS,2004,11.9
Malaysia,MYS,2007,7.1
Malaysia,MYS,2009,8.4
Malaysia,MYS,2012,3.4
Malaysia,MYS,2014,1.6
Maldives,MDV,2002,25.1
Maldives,MDV,2009,14.3
Mali,MLI,2001,64.8
Mali,MLI,2006,57
Mali,MLI,2009,50.6
Mauritania,MRT,2000,66.2
Mauritania,MRT,2004,59
Mauritania,MRT,2008,59.4
Mexico,MEX,2008,63.1
Mexico,MEX,2010,65.9
Mexico,MEX,2012,62.8
Mexico,MEX,2014,62.4
Moldova,MDA,2006,34.1
Moldova,MDA,2007,31.3
Moldova,MDA,2008,34.6
Moldova,MDA,2009,36.3
Moldova,MDA,2010,30.3
Moldova,MDA,2011,25
Moldova,MDA,2012,22.8
Moldova,MDA,2013,18.8
Mongolia,MNG,2010,49
Mongolia,MNG,2011,43.2
Mongolia,MNG,2012,35.4
Mongolia,MNG,2014,26.4
Montenegro,MNE,2005,16.5
Montenegro,MNE,2006,17.6
Montenegro,MNE,2007,12
Montenegro,MNE,2008,8.9
Montenegro,MNE,2009,14.8
Montenegro,MNE,2010,11.3
Montenegro,MNE,2011,18.4
Montenegro,MNE,2012,18.1
Montenegro,MNE,2013,9.7
Morocco,MAR,1998,24.2
Morocco,MAR,2000,25.1
Morocco,MAR,2007,14.4
Mozambique,MOZ,1996,71.3
Mozambique,MOZ,2002,55.3
Mozambique,MOZ,2008,56.9
Namibia,NAM,1993,81.6
Namibia,NAM,2003,48.7
Namibia,NAM,2009,37.4
Nepal,NPL,2010,27.4
Nicaragua,NIC,2005,70.3
Nicaragua,NIC,2009,63.3
Nicaragua,NIC,2014,50.1
Niger,NER,2011,55.2
Nigeria,NGA,2003,56.6
Nigeria,NGA,2009,52.8
Pakistan,PAK,2013,35.6
Palestine,PSE,2010,21.9
Palestine,PSE,2011,19.4
Papua New Guinea,PNG,2009,41.6
Peru,PER,2004,83.4
Peru,PER,2005,82.5
Peru,PER,2006,79.3
Peru,PER,2007,74
Peru,PER,2008,68.8
Peru,PER,2009,66.7
Peru,PER,2010,61
Peru,PER,2011,56.1
Peru,PER,2012,53
Peru,PER,2013,48
Peru,PER,2014,46
Rwanda,RWA,2005,61.9
Rwanda,RWA,2010,48.7
Senegal,SEN,2000,65.1
Senegal,SEN,2005,58.8
Senegal,SEN,2010,57.1
Seychelles,SYC,2006,37.2
Sierra Leone,SLE,2003,78.7
Sierra Leone,SLE,2011,66.1
South Africa,ZAF,2005,87.6
South Sudan,SSD,2009,55.4
Sri Lanka,LKA,2002,24.7
Sri Lanka,LKA,2006,15.7
Sri Lanka,LKA,2009,9.4
Sri Lanka,LKA,2012,7.6
Sudan,SDN,2009,57.6
Swaziland,SWZ,2000,79.7
Swaziland,SWZ,2009,73.1
Syria,SYR,2004,31.8
Syria,SYR,2007,36.9
Tajikistan,TJK,2013,37.4
Tajikistan,TJK,2014,36.1
Tajikistan,TJK,2015,35.2
Tanzania,TZA,2011,33.3
Thailand,THA,2000,51.4
Thailand,THA,2002,40.2
Thailand,THA,2004,33.6
Thailand,THA,2006,28.3
Thailand,THA,2007,25.9
Thailand,THA,2008,27.3
Thailand,THA,2009,23.6
Thailand,THA,2010,22.4
Thailand,THA,2011,16.7
Thailand,THA,2012,16
Thailand,THA,2013,13.9
Timor,TLS,2001,39.7
Timor,TLS,2007,51.5
Togo,TGO,2006,75.1
Togo,TGO,2011,73.4
Togo,TGO,2015,68.7
Turkey,TUR,2002,38.8
Turkey,TUR,2003,32.2
Turkey,TUR,2004,32.6
Turkey,TUR,2005,26.6
Turkey,TUR,2006,25.4
Turkey,TUR,2007,17.6
Turkey,TUR,2008,15.3
Turkey,TUR,2009,11.9
Turkey,TUR,2010,9.6
Turkey,TUR,2011,6.8
Turkey,TUR,2012,5.9
Turkey,TUR,2013,5.1
Tuvalu,TUV,2010,27.5
Uganda,UGA,1992,60.3
Uganda,UGA,1996,48.7
Uganda,UGA,1999,37.4
Uganda,UGA,2002,42.7
Uganda,UGA,2005,34.2
Uganda,UGA,2009,27.2
Uganda,UGA,2012,22.4
Uruguay,URY,2006,20.7
Uruguay,URY,2007,16.4
Uruguay,URY,2008,11.5
Uruguay,URY,2009,9.1
Uruguay,URY,2010,6.1
Uruguay,URY,2011,6
Uruguay,URY,2012,4.1
Uruguay,URY,2013,3
Uruguay,URY,2014,3
Vietnam,VNM,2010,26.9
Vietnam,VNM,2012,22.1
Vietnam,VNM,2014,18.6
Yemen,YEM,2005,40.1
Zimbabwe,ZWE,2011,84.3
