Entity,Code,Year,Gender wage gap (%) (%)
Costa Rica,CRI,1998,-2.38
Costa Rica,CRI,1999,-1.32
Costa Rica,CRI,2000,-1.31
Costa Rica,CRI,2001,0.62
Costa Rica,CRI,2002,-7.69
Costa Rica,CRI,2003,-4.06
Costa Rica,CRI,2004,-2.41
Costa Rica,CRI,2005,5.49
Costa Rica,CRI,2006,4.4
Costa Rica,CRI,2007,10
Costa Rica,CRI,2008,5.86
Costa Rica,CRI,2009,-0.15
Cyprus,CYP,2010,16.84
Cyprus,CYP,2014,14.15
Czech Republic,CZE,2012,21.25
Czech Republic,CZE,2013,20.91
Czech Republic,CZE,2014,21.16
Czech Republic,CZE,2015,21.12
Czech Republic,CZE,2016,20.61
Denmark,DNK,2014,15.96
Dominican Republic,DOM,1996,22.12
Dominican Republic,DOM,1997,7.75
Dominican Republic,DOM,2000,10.06
Dominican Republic,DOM,2001,7.85
Dominican Republic,DOM,2002,3.27
Dominican Republic,DOM,2003,9.18
Dominican Republic,DOM,2004,11.09
Dominican Republic,DOM,2005,5.04
Dominican Republic,DOM,2006,8.77
Dominican Republic,DOM,2007,12.06
Dominican Republic,DOM,2008,5.42
Dominican Republic,DOM,2009,6.33
Dominican Republic,DOM,2010,1.7
Dominican Republic,DOM,2011,11.78
Dominican Republic,DOM,2012,7.55
Dominican Republic,DOM,2013,3.17
Dominican Republic,DOM,2014,8.25
Dominican Republic,DOM,2015,7.38
Ecuador,ECU,2003,6.25
Ecuador,ECU,2004,11.11
Ecuador,ECU,2005,11.76
Ecuador,ECU,2006,5.56
Ecuador,ECU,2007,15
Ecuador,ECU,2008,15
Ecuador,ECU,2009,10
Ecuador,ECU,2010,4.55
Ecuador,ECU,2011,12.5
Ecuador,ECU,2012,7.69
Ecuador,ECU,2013,10.34
Ecuador,ECU,2014,12.9
Ecuador,ECU,2016,-2.8
El Salvador,SLV,2000,8.15
El Salvador,SLV,2001,9.09
El Salvador,SLV,2002,19.33
El Salvador,SLV,2004,0
El Salvador,SLV,2005,5.88
El Salvador,SLV,2006,-6.25
El Salvador,SLV,2007,5.56
El Salvador,SLV,2008,5.56
El Salvador,SLV,2009,0
El Salvador,SLV,2010,0
El Salvador,SLV,2011,0
El Salvador,SLV,2012,0
El Salvador,SLV,2013,-5.26
El Salvador,SLV,2014,-5.26
Estonia,EST,2014,28.16
Finland,FIN,2002,18.04
Finland,FIN,2006,21.25
Finland,FIN,2010,20.29
Finland,FIN,2013,17.63
Finland,FIN,2014,16.93
Finland,FIN,2016,16.34
France,FRA,2002,16.59
France,FRA,2006,15.47
France,FRA,2010,15.62
France,FRA,2014,15.5
Germany,DEU,2002,25.61
Germany,DEU,2006,22.62
Germany,DEU,2010,22.28
Germany,DEU,2014,22.29
Greece,GRC,2002,25.47
Greece,GRC,2006,20.69
Greece,GRC,2010,15.07
Guatemala,GTM,2000,18.82
Guatemala,GTM,2006,5.34
Guatemala,GTM,2011,5.71
Guatemala,GTM,2014,0.68
Haiti,HTI,2001,16.04
Honduras,HND,1991,19.35
Honduras,HND,1992,19.44
Honduras,HND,1993,20.45
Honduras,HND,1994,14.04
Honduras,HND,1995,21.13
Honduras,HND,1996,13.25
Honduras,HND,1997,17.76
Honduras,HND,1998,26.39
Honduras,HND,1999,17.65
Honduras,HND,2001,4.83
Honduras,HND,2002,-3.13
Honduras,HND,2003,-0.45
Honduras,HND,2004,0.91
Honduras,HND,2005,-23.18
Honduras,HND,2006,-10.08
Honduras,HND,2007,0
Honduras,HND,2008,9.79
Honduras,HND,2009,-10.78
Honduras,HND,2010,-8.55
Honduras,HND,2012,-15.76
Honduras,HND,2013,-4.37
Honduras,HND,2014,-15.05
Hungary,HUN,2014,15.12
Iceland,ISL,2014,16.55
Ireland,IRL,2002,14.92
Ireland,IRL,2006,17.22
Ireland,IRL,2010,13.87
Ireland,IRL,2014,13.93
Israel,ISR,2014,15.52
Israel,ISR,2015,15.1
Italy,ITA,2002,18.9
Italy,ITA,2006,4.29
Italy,ITA,2010,5.26
Italy,ITA,2014,6.12
Jamaica,JAM,1990,28.42
Jamaica,JAM,1996,21.81
Jamaica,JAM,1999,6.67
Jamaica,JAM,2001,6.9
Jamaica,JAM,2002,15.33
Latvia,LVA,2014,17.38
Lithuania,LTU,2014,13.29
Luxembourg,LUX,2002,18.95
Luxembourg,LUX,2006,10.68
Luxembourg,LUX,2010,8.7
Luxembourg,LUX,2014,5.38
Macedonia,MKD,2014,9.15
Malaysia,MYS,2011,-0.86
Malaysia,MYS,2012,-2.57
Malaysia,MYS,2013,-3.19
Malaysia,MYS,2014,-1.43
Malaysia,MYS,2015,-2.25
Malta,MLT,2010,7.23
Malta,MLT,2014,10.19
Mexico,MEX,1989,20.58
Mexico,MEX,1992,25.35
Mexico,MEX,1994,16.87
Mexico,MEX,1996,17.7
Mexico,MEX,1998,16.37
Mexico,MEX,2000,23.87
Mexico,MEX,2002,12.5
Mexico,MEX,2008,13.39
Mexico,MEX,2010,3.13
Mexico,MEX,2012,13.98
Mexico,MEX,2014,6.65
Montenegro,MNE,2014,7.78
Netherlands,NLD,2002,18.78
Netherlands,NLD,2006,23.65
Netherlands,NLD,2010,17.45
Netherlands,NLD,2014,16.07
Nicaragua,NIC,1993,6.78
Nicaragua,NIC,1998,19.59
Nicaragua,NIC,2001,2.96
Nicaragua,NIC,2005,9.93
Nicaragua,NIC,2009,2.04
Nicaragua,NIC,2014,2.62
Norway,NOR,2014,14.45
Pakistan,PAK,2016,10.81
Panama,PAN,1989,18.18
Panama,PAN,1991,4.55
Panama,PAN,1995,8.33
Panama,PAN,1997,16
Panama,PAN,1998,10.34
Panama,PAN,1999,7.69
Panama,PAN,2000,3.45
Panama,PAN,2001,0
Panama,PAN,2002,0
Panama,PAN,2003,0
Panama,PAN,2004,0
Panama,PAN,2005,0
Panama,PAN,2006,0
Panama,PAN,2007,0
Panama,PAN,2008,0
Panama,PAN,2009,0
Panama,PAN,2010,0
Panama,PAN,2011,-2.86
Panama,PAN,2012,2.44
Panama,PAN,2013,-2.44
Panama,PAN,2014,4.44
Paraguay,PRY,1997,0.95
Paraguay,PRY,1999,8.56
Paraguay,PRY,2001,8.99
Paraguay,PRY,2002,28.24
Paraguay,PRY,2003,-0.81
Paraguay,PRY,2004,5.47
Paraguay,PRY,2005,12.74
Paraguay,PRY,2006,15.99
Paraguay,PRY,2007,9.58
Paraguay,PRY,2008,5.99
Paraguay,PRY,2009,9.49
Paraguay,PRY,2010,-1.56
Paraguay,PRY,2011,6.91
Paraguay,PRY,2012,7.32
Paraguay,PRY,2013,10.62
Paraguay,PRY,2014,5.41
Paraguay,PRY,2015,-1.77
Peru,PER,1997,20
Peru,PER,1998,21.43
Peru,PER,1999,12.2
Peru,PER,2000,25.64
Peru,PER,2001,15
Peru,PER,2002,11.9
Peru,PER,2003,18.6
Peru,PER,2004,22.5
Peru,PER,2005,15.38
Peru,PER,2006,20.45
Peru,PER,2007,16.33
Peru,PER,2008,20.37
Peru,PER,2009,18.97
Peru,PER,2010,23.81
Peru,PER,2011,22.06
Peru,PER,2012,25.33
Peru,PER,2013,21.33
Peru,PER,2014,20.51
Poland,POL,2014,7.73
Portugal,PRT,2007,10.65
Portugal,PRT,2008,11.74
Portugal,PRT,2009,9.67
Portugal,PRT,2010,7.64
Portugal,PRT,2011,9.58
Portugal,PRT,2012,8.8
Portugal,PRT,2013,10.34
Portugal,PRT,2015,9.59
Portugal,PRT,2016,8.54
Romania,ROU,2014,4.5
Romania,ROU,2016,6.61
Russia,RUS,2015,24.42
Serbia,SRB,2014,8.72
Slovakia,SVK,2010,19.66
Slovakia,SVK,2014,19.66
Slovakia,SVK,2015,19.1
Slovenia,SVN,2010,0.66
Slovenia,SVN,2014,7
South Korea,KOR,2009,35.09
South Korea,KOR,2010,34.27
South Korea,KOR,2011,33.58
South Korea,KOR,2012,32.69
South Korea,KOR,2013,32.94
South Korea,KOR,2014,33.8
South Korea,KOR,2015,34.67
South Korea,KOR,2016,33.59
Spain,ESP,2002,20.22
Spain,ESP,2006,17.9
Spain,ESP,2010,16.25
Spain,ESP,2012,18.75
Spain,ESP,2013,18.75
Spain,ESP,2014,12.5
Spain,ESP,2015,12.5
Suriname,SUR,1999,6.18
Sweden,SWE,2014,13.85
Switzerland,CHE,2014,17.38
Thailand,THA,2016,-21.57
Turkey,TUR,2014,-1.26
United Kingdom,GBR,2014,20.91
United Kingdom,GBR,2015,20.59
Uruguay,URY,1989,22.22
Uruguay,URY,1992,21.82
Uruguay,URY,1995,16.32
Uruguay,URY,1996,14.94
Uruguay,URY,1997,13.29
Uruguay,URY,1998,14.68
Uruguay,URY,2000,9.66
Uruguay,URY,2001,10.1
Uruguay,URY,2002,7.4
Uruguay,URY,2003,13.19
Uruguay,URY,2004,9.31
Uruguay,URY,2005,11.13
Uruguay,URY,2006,11.71
Uruguay,URY,2007,11.02
Uruguay,URY,2008,15.54
Uruguay,URY,2009,15.46
Uruguay,URY,2010,12.94
Uruguay,URY,2011,9.19
Uruguay,URY,2012,8.59
Uruguay,URY,2013,10.01
Uruguay,URY,2014,8.62
Venezuela,VEN,1989,11.78
Venezuela,VEN,1992,12.23
Venezuela,VEN,1995,13.21
Venezuela,VEN,1997,10.72
Venezuela,VEN,1998,15.87
Venezuela,VEN,1999,6.11
Venezuela,VEN,2000,-3.75
Venezuela,VEN,2001,2.39
Venezuela,VEN,2002,1.9
Venezuela,VEN,2003,0.3
Venezuela,VEN,2004,0.77
Venezuela,VEN,2005,5.1
Venezuela,VEN,2006,6.43
Vietnam,VNM,2015,7.69
Vietnam,VNM,2016,10.71
