Entity,Code,Year,Uranium (BGS (2016)) (tonnes (metal content))
France,FRA,1983,3132
France,FRA,1984,3117
France,FRA,1985,3248
France,FRA,1986,3237
France,FRA,1987,3376
France,FRA,1988,3370
France,FRA,1989,3334
France,FRA,1990,2935
France,FRA,1991,2479
France,FRA,1992,2880
France,FRA,1993,1708
France,FRA,1994,1027
France,FRA,1995,981
France,FRA,1996,930
France,FRA,1997,748
France,FRA,1998,508
France,FRA,1999,438
France,FRA,2000,319
France,FRA,2001,194
France,FRA,2002,12
Gabon,GAB,1970,377
Gabon,GAB,1971,446
Gabon,GAB,1972,444
Gabon,GAB,1973,650
Gabon,GAB,1974,770
Gabon,GAB,1975,930
Gabon,GAB,1976,965
Gabon,GAB,1977,907
Gabon,GAB,1978,1022
Gabon,GAB,1979,1100
Gabon,GAB,1980,1034
Gabon,GAB,1981,1023
Gabon,GAB,1982,970
Gabon,GAB,1983,1009
Gabon,GAB,1984,918
Gabon,GAB,1985,939
Gabon,GAB,1986,917
Gabon,GAB,1987,794
Gabon,GAB,1988,930
Gabon,GAB,1989,890
Gabon,GAB,1990,709
Gabon,GAB,1991,678
Gabon,GAB,1992,594
Gabon,GAB,1993,509
Gabon,GAB,1994,589
Gabon,GAB,1995,630
Gabon,GAB,1996,560
Gabon,GAB,1997,472
Gabon,GAB,1998,731
Gabon,GAB,1999,294
Germany,DEU,1975,57
Germany,DEU,1976,38
Germany,DEU,1977,15
Germany,DEU,1978,41
Germany,DEU,1979,29
Germany,DEU,1980,41
Germany,DEU,1981,36
Germany,DEU,1982,34
Germany,DEU,1983,48
Germany,DEU,1984,33
Germany,DEU,1985,31
Germany,DEU,1986,22
Germany,DEU,1987,0
Germany,DEU,1988,0
Germany,DEU,1989,0
Germany,DEU,1990,0
Germany,DEU,1991,1207
Germany,DEU,1992,232
Germany,DEU,1993,116
Germany,DEU,1997,27
Germany,DEU,1998,25
Germany,DEU,1999,25
Germany,DEU,2000,28
Germany,DEU,2001,27
Germany,DEU,2002,221
Germany,DEU,2003,104
Germany,DEU,2004,77
Germany,DEU,2005,80
Germany,DEU,2006,65
Germany,DEU,2007,41
Germany,DEU,2008,0
Germany,DEU,2009,0
Germany,DEU,2010,8
Germany,DEU,2011,52
Germany,DEU,2012,50
Germany,DEU,2013,27
Germany,DEU,2014,33
Germany,DEU,2015,0
Hungary,HUN,1991,417
Hungary,HUN,1992,430
Hungary,HUN,1993,382
Hungary,HUN,1994,415
Hungary,HUN,1995,221
Hungary,HUN,1996,227
Hungary,HUN,1997,222
India,IND,1979,150
India,IND,1980,103
India,IND,1981,103
India,IND,1982,99
India,IND,1983,103
India,IND,1984,100
India,IND,1985,115
India,IND,1986,125
India,IND,1987,127
India,IND,1988,120
India,IND,1989,210
India,IND,1990,210
India,IND,1991,200
India,IND,1992,230
India,IND,1993,290
India,IND,1994,200
India,IND,1995,200
India,IND,1996,200
India,IND,1997,200
India,IND,1998,200
India,IND,1999,200
India,IND,2000,200
India,IND,2001,230
India,IND,2002,230
India,IND,2003,230
India,IND,2004,230
India,IND,2005,230
India,IND,2006,230
India,IND,2007,270
India,IND,2008,271
India,IND,2009,290
India,IND,2010,400
India,IND,2011,400
India,IND,2012,385
India,IND,2013,385
India,IND,2014,385
India,IND,2015,385
Kazakhstan,KAZ,1992,2802
Kazakhstan,KAZ,1993,2700
Kazakhstan,KAZ,1994,2240
Kazakhstan,KAZ,1995,1630
Kazakhstan,KAZ,1996,1210
Kazakhstan,KAZ,1997,1000
Kazakhstan,KAZ,1998,1074
Kazakhstan,KAZ,1999,1367
Kazakhstan,KAZ,2000,1752
Kazakhstan,KAZ,2001,2050
Kazakhstan,KAZ,2002,2800
Kazakhstan,KAZ,2003,3300
Kazakhstan,KAZ,2004,3719
Kazakhstan,KAZ,2005,4357
Kazakhstan,KAZ,2006,5279
Kazakhstan,KAZ,2007,6637
Kazakhstan,KAZ,2008,8521
Kazakhstan,KAZ,2009,13900
Kazakhstan,KAZ,2010,17803
Kazakhstan,KAZ,2011,19451
Kazakhstan,KAZ,2012,21317
Kazakhstan,KAZ,2013,22567
Kazakhstan,KAZ,2014,23127
Kazakhstan,KAZ,2015,23800
Malawi,MWI,2006,0
Malawi,MWI,2007,0
Malawi,MWI,2008,0
Malawi,MWI,2009,90
Malawi,MWI,2010,671
Malawi,MWI,2011,785
Malawi,MWI,2012,1102
Malawi,MWI,2013,1133
Malawi,MWI,2014,369
Malawi,MWI,2015,0
Namibia,NAM,1975,0
Namibia,NAM,1976,593
Namibia,NAM,1977,2340
Namibia,NAM,1978,2693
Namibia,NAM,1979,3831
Namibia,NAM,1980,4036
Namibia,NAM,1981,3970
Namibia,NAM,1982,3777
Namibia,NAM,1983,3713
Namibia,NAM,1984,3800
Namibia,NAM,1985,3400
Namibia,NAM,1986,3500
Namibia,NAM,1987,3540
Namibia,NAM,1988,3510
Namibia,NAM,1989,3186
Namibia,NAM,1990,3325
Namibia,NAM,1991,2450
Namibia,NAM,1992,1528
Namibia,NAM,1993,1512
Namibia,NAM,1994,1724
Namibia,NAM,1995,1819
Namibia,NAM,1996,2222
Namibia,NAM,1997,2633
Namibia,NAM,1998,2520
Namibia,NAM,1999,2437
Namibia,NAM,2000,2461
Namibia,NAM,2001,2029
Namibia,NAM,2002,3058
Namibia,NAM,2003,2416
Namibia,NAM,2004,3159
Namibia,NAM,2005,3151
Namibia,NAM,2006,3071
Namibia,NAM,2007,2888
Namibia,NAM,2008,4371
Namibia,NAM,2009,4631
Namibia,NAM,2010,4500
Namibia,NAM,2011,3262
Namibia,NAM,2012,4500
Namibia,NAM,2013,4328
Namibia,NAM,2014,3311
Namibia,NAM,2015,2950
Niger,NER,1970,46
Niger,NER,1971,431
Niger,NER,1972,737
Niger,NER,1973,949
Niger,NER,1974,1120
Niger,NER,1975,1305
Niger,NER,1976,1460
Niger,NER,1977,1441
Niger,NER,1978,2062
Niger,NER,1979,3615
Niger,NER,1980,4132
Niger,NER,1981,4367
Niger,NER,1982,4257
Niger,NER,1983,3429
Niger,NER,1984,3273
Niger,NER,1985,3181
Niger,NER,1986,3113
Niger,NER,1987,2968
Niger,NER,1988,2962
Niger,NER,1989,2980
Niger,NER,1990,2832
Niger,NER,1991,2964
Niger,NER,1992,2965
Niger,NER,1993,2913
Niger,NER,1994,2964
Niger,NER,1995,2974
Niger,NER,1996,3326
Niger,NER,1997,3492
Niger,NER,1998,3713
Niger,NER,1999,2916
Niger,NER,2000,2898
Niger,NER,2001,2919
Niger,NER,2002,3076
Niger,NER,2003,3143
Niger,NER,2004,3273
Niger,NER,2005,3093
Niger,NER,2006,3431
Niger,NER,2007,3153
Niger,NER,2008,2993
Niger,NER,2009,3241
Niger,NER,2010,4198
Niger,NER,2011,4159
Niger,NER,2012,4821
Niger,NER,2013,4277
Niger,NER,2014,4156
Niger,NER,2015,4116
Pakistan,PAK,1993,23
Pakistan,PAK,1994,23
Pakistan,PAK,1995,23
Pakistan,PAK,1996,23
Pakistan,PAK,1997,23
Pakistan,PAK,1998,23
Pakistan,PAK,1999,23
Pakistan,PAK,2000,23
Pakistan,PAK,2001,46
Pakistan,PAK,2002,38
Pakistan,PAK,2003,45
Pakistan,PAK,2004,45
Pakistan,PAK,2005,45
Pakistan,PAK,2006,45
Pakistan,PAK,2007,45
Pakistan,PAK,2008,45
Pakistan,PAK,2009,50
Pakistan,PAK,2010,45
Pakistan,PAK,2011,45
Pakistan,PAK,2012,45
Pakistan,PAK,2013,45
Pakistan,PAK,2014,45
Pakistan,PAK,2015,45
Portugal,PRT,1970,80
Portugal,PRT,1971,80
Portugal,PRT,1972,81
Portugal,PRT,1973,73
Portugal,PRT,1974,92
Portugal,PRT,1975,115
Portugal,PRT,1976,86
Portugal,PRT,1977,94
Portugal,PRT,1978,86
Portugal,PRT,1979,102
Portugal,PRT,1980,72
Portugal,PRT,1981,90
Portugal,PRT,1982,100
Portugal,PRT,1983,93
Portugal,PRT,1984,103
Portugal,PRT,1985,105
Portugal,PRT,1986,99
Portugal,PRT,1987,126
Portugal,PRT,1988,142
Portugal,PRT,1989,129
Portugal,PRT,1990,111
Portugal,PRT,1991,27
Portugal,PRT,1992,29
Portugal,PRT,1993,32
Portugal,PRT,1994,24
Portugal,PRT,1995,19
Portugal,PRT,1996,14
Portugal,PRT,1997,17
Portugal,PRT,1998,19
Portugal,PRT,1999,10
Portugal,PRT,2000,13
Portugal,PRT,2001,4
Portugal,PRT,2002,2
Romania,ROU,1993,120
Romania,ROU,1994,120
Romania,ROU,1995,100
Romania,ROU,1996,100
Romania,ROU,1997,100
Romania,ROU,1998,100
Romania,ROU,1999,100
Romania,ROU,2000,50
Romania,ROU,2001,85
Romania,ROU,2002,90
Romania,ROU,2003,90
Romania,ROU,2004,90
Romania,ROU,2005,90
Romania,ROU,2006,90
Romania,ROU,2007,77
Romania,ROU,2008,77
Romania,ROU,2009,75
Romania,ROU,2010,77
Romania,ROU,2011,77
Romania,ROU,2012,90
Romania,ROU,2013,80
Romania,ROU,2014,77
Romania,ROU,2015,77
Russia,RUS,1983,0
Russia,RUS,1984,0
Russia,RUS,1985,0
Russia,RUS,1986,0
Russia,RUS,1987,0
Russia,RUS,1988,0
Russia,RUS,1989,0
Russia,RUS,1990,10500
Russia,RUS,1991,10500
Russia,RUS,1992,2640
Russia,RUS,1993,2399
Russia,RUS,1994,2968
Russia,RUS,1995,2250
Russia,RUS,1996,2000
Russia,RUS,1997,2000
Russia,RUS,1998,2000
Russia,RUS,1999,2000
Russia,RUS,2000,2000
Russia,RUS,2001,2500
Russia,RUS,2002,2900
Russia,RUS,2003,3150
Russia,RUS,2004,3280
Russia,RUS,2005,3431
Russia,RUS,2006,3262
Russia,RUS,2007,3413
Russia,RUS,2008,3521
Russia,RUS,2009,3565
Russia,RUS,2010,3563
Russia,RUS,2011,2993
Russia,RUS,2012,2862
Russia,RUS,2013,3135
Russia,RUS,2014,2990
Russia,RUS,2015,3055
Serbia and Montenegro,OWID_SRM,1981,0
Serbia and Montenegro,OWID_SRM,1982,0
Serbia and Montenegro,OWID_SRM,1983,0
Serbia and Montenegro,OWID_SRM,1984,40
Serbia and Montenegro,OWID_SRM,1985,29
Serbia and Montenegro,OWID_SRM,1986,68
Serbia and Montenegro,OWID_SRM,1987,70
Serbia and Montenegro,OWID_SRM,1988,79
Serbia and Montenegro,OWID_SRM,1989,85
Serbia and Montenegro,OWID_SRM,1990,53
Serbia and Montenegro,OWID_SRM,1991,5
South Africa,ZAF,1970,3168
South Africa,ZAF,1971,3200
South Africa,ZAF,1972,3077
South Africa,ZAF,1973,2623
South Africa,ZAF,1974,2712
South Africa,ZAF,1975,2488
South Africa,ZAF,1976,2788
South Africa,ZAF,1977,3368
South Africa,ZAF,1978,3975
South Africa,ZAF,1979,4780
South Africa,ZAF,1980,6186
South Africa,ZAF,1981,6135
South Africa,ZAF,1982,5792
South Africa,ZAF,1983,6039
South Africa,ZAF,1984,5732
South Africa,ZAF,1985,4877
South Africa,ZAF,1986,4630
South Africa,ZAF,1987,3965
South Africa,ZAF,1988,3886
South Africa,ZAF,1989,2931
South Africa,ZAF,1990,2438
South Africa,ZAF,1991,1725
South Africa,ZAF,1992,1671
South Africa,ZAF,1993,1703
South Africa,ZAF,1994,1616
South Africa,ZAF,1995,1443
South Africa,ZAF,1996,1447
South Africa,ZAF,1997,1122
South Africa,ZAF,1998,965
South Africa,ZAF,1999,919
South Africa,ZAF,2000,861
South Africa,ZAF,2001,903
South Africa,ZAF,2002,846
South Africa,ZAF,2003,758
South Africa,ZAF,2004,752
South Africa,ZAF,2005,674
South Africa,ZAF,2006,542
South Africa,ZAF,2007,525
South Africa,ZAF,2008,555
South Africa,ZAF,2009,533
South Africa,ZAF,2010,579
South Africa,ZAF,2011,556
South Africa,ZAF,2012,467
South Africa,ZAF,2013,531
South Africa,ZAF,2014,566
South Africa,ZAF,2015,448
Spain,ESP,1970,71
Spain,ESP,1971,125
Spain,ESP,1972,116
Spain,ESP,1973,79
Spain,ESP,1974,62
Spain,ESP,1975,147
Spain,ESP,1976,192
Spain,ESP,1977,163
Spain,ESP,1978,153
Spain,ESP,1979,162
Spain,ESP,1980,167
Spain,ESP,1981,151
Spain,ESP,1982,155
Spain,ESP,1983,175
Spain,ESP,1984,191
Spain,ESP,1985,201
Spain,ESP,1986,214
Spain,ESP,1987,223
Spain,ESP,1988,228
Spain,ESP,1989,228
Spain,ESP,1990,164
Spain,ESP,1991,195
Spain,ESP,1992,187
Spain,ESP,1993,183
Spain,ESP,1994,255
Spain,ESP,1995,254
Spain,ESP,1996,254
Spain,ESP,1997,254
Spain,ESP,1998,255
Spain,ESP,1999,255
Spain,ESP,2000,251
Spain,ESP,2001,0
Spain,ESP,2002,0
Ukraine,UKR,1992,500
Ukraine,UKR,1993,500
Ukraine,UKR,1994,500
Ukraine,UKR,1995,500
Ukraine,UKR,1996,500
Ukraine,UKR,1997,500
Ukraine,UKR,1998,500
Ukraine,UKR,1999,500
Ukraine,UKR,2000,500
Ukraine,UKR,2001,750
Ukraine,UKR,2002,800
Ukraine,UKR,2003,800
Ukraine,UKR,2004,800
Ukraine,UKR,2005,800
Ukraine,UKR,2006,800
Ukraine,UKR,2007,846
Ukraine,UKR,2008,800
Ukraine,UKR,2009,840
Ukraine,UKR,2010,850
Ukraine,UKR,2011,890
Ukraine,UKR,2012,960
Ukraine,UKR,2013,922
Ukraine,UKR,2014,926
Ukraine,UKR,2015,1200
United States,USA,1970,9825
United States,USA,1971,9932
United States,USA,1972,9924
United States,USA,1973,10182
United States,USA,1974,8868
United States,USA,1975,8900
United States,USA,1976,9750
United States,USA,1977,11360
United States,USA,1978,14250
United States,USA,1979,14400
United States,USA,1980,16800
United States,USA,1981,14800
United States,USA,1982,10300
United States,USA,1983,8200
United States,USA,1984,5700
United States,USA,1985,4300
United States,USA,1986,5200
United States,USA,1987,5000
United States,USA,1988,5051
United States,USA,1989,5308
United States,USA,1990,3430
United States,USA,1991,3059
United States,USA,1992,2171
United States,USA,1993,1192
United States,USA,1994,1289
United States,USA,1995,2324
United States,USA,1996,2420
United States,USA,1997,2171
United States,USA,1998,1810
United States,USA,1999,1773
United States,USA,2000,1522
United States,USA,2001,1015
United States,USA,2002,901
United States,USA,2003,770
United States,USA,2004,878
United States,USA,2005,1034
United States,USA,2006,1581
United States,USA,2007,1746
United States,USA,2008,1503
United States,USA,2009,1428
United States,USA,2010,1628
United States,USA,2011,1537
United States,USA,2012,1596
United States,USA,2013,1794
United States,USA,2014,1884
United States,USA,2015,1287
Uzbekistan,UZB,1992,2680
Uzbekistan,UZB,1993,2600
Uzbekistan,UZB,1994,2015
Uzbekistan,UZB,1995,1800
Uzbekistan,UZB,1996,1459
Uzbekistan,UZB,1997,1764
Uzbekistan,UZB,1998,2000
Uzbekistan,UZB,1999,2130
Uzbekistan,UZB,2000,2350
Uzbekistan,UZB,2001,1962
Uzbekistan,UZB,2002,1860
Uzbekistan,UZB,2003,1770
Uzbekistan,UZB,2004,2035
Uzbekistan,UZB,2005,2629
Uzbekistan,UZB,2006,2270
Uzbekistan,UZB,2007,2320
Uzbekistan,UZB,2008,2338
Uzbekistan,UZB,2009,2429
Uzbekistan,UZB,2010,2400
Uzbekistan,UZB,2011,3000
Uzbekistan,UZB,2012,3000
Uzbekistan,UZB,2013,2400
Uzbekistan,UZB,2014,2400
Uzbekistan,UZB,2015,2385
