Entity,Code,Year,Share of arable land which is organic (%)
Dominican Republic,DOM,2013,0.01
Dominican Republic,DOM,2014,0.03
Estonia,EST,2004,6.92
Estonia,EST,2005,7.74
Estonia,EST,2006,10.62
Estonia,EST,2007,11.1
Estonia,EST,2008,6.36
Estonia,EST,2009,7.38
Estonia,EST,2010,8.22
Estonia,EST,2011,8.7
Estonia,EST,2012,9.51
Estonia,EST,2013,10.28
Estonia,EST,2014,10.45
Ethiopia,ETH,2013,0.04
Ethiopia,ETH,2014,0.04
Finland,FIN,2008,6.55
Finland,FIN,2009,7.13
Finland,FIN,2014,9.28
France,FRA,2012,3.08
France,FRA,2013,3.17
France,FRA,2014,3.34
Greece,GRC,2012,4.47
Greece,GRC,2013,4.59
Greece,GRC,2014,3.85
Hungary,HUN,2004,1.43
Hungary,HUN,2005,1.18
Hungary,HUN,2006,1.11
Hungary,HUN,2007,1.08
Hungary,HUN,2008,1.08
Hungary,HUN,2009,1.42
Hungary,HUN,2010,1.32
Hungary,HUN,2011,1.25
Hungary,HUN,2012,1.3
Hungary,HUN,2013,1.27
Hungary,HUN,2014,1.27
Ireland,IRL,2014,0.37
Israel,ISR,2008,0.3
Israel,ISR,2009,0.36
Israel,ISR,2010,0.24
Israel,ISR,2011,0.24
Italy,ITA,2008,6.8
Italy,ITA,2009,7.03
Italy,ITA,2010,6.57
Italy,ITA,2011,7.56
Italy,ITA,2012,7.4
Italy,ITA,2013,7.79
Italy,ITA,2014,8.53
Japan,JPN,2009,0.18
Japan,JPN,2010,0.18
Japan,JPN,2011,0.19
Jordan,JOR,2007,0.01
Jordan,JOR,2008,0.01
Jordan,JOR,2009,0
Kenya,KEN,2007,0.02
Kenya,KEN,2008,0.02
Kenya,KEN,2009,0.02
Kenya,KEN,2010,0.02
Kenya,KEN,2011,0.02
Latvia,LVA,2006,12.45
Latvia,LVA,2007,12.47
Latvia,LVA,2008,9.15
Latvia,LVA,2009,8.84
Latvia,LVA,2010,8.28
Latvia,LVA,2011,9.01
Latvia,LVA,2012,9.18
Latvia,LVA,2013,8.28
Latvia,LVA,2014,8.57
Liechtenstein,LIE,2009,8.57
Lithuania,LTU,2004,1.35
Lithuania,LTU,2005,2.29
Lithuania,LTU,2006,3.71
Lithuania,LTU,2007,4.91
Lithuania,LTU,2008,4.9
Lithuania,LTU,2009,4.74
Lithuania,LTU,2010,5.06
Lithuania,LTU,2011,5.12
Lithuania,LTU,2012,4.86
Lithuania,LTU,2013,4.81
Lithuania,LTU,2014,4.71
Luxembourg,LUX,2010,2.53
Luxembourg,LUX,2011,2.56
Luxembourg,LUX,2012,2.89
Luxembourg,LUX,2013,3.12
Luxembourg,LUX,2014,3.1
Mali,MLI,2009,0.33
Mali,MLI,2010,0.23
Mali,MLI,2011,0.21
Mexico,MEX,2008,0.26
Mexico,MEX,2009,0.26
Mexico,MEX,2010,0.27
Moldova,MDA,2010,0.26
Netherlands,NLD,2011,1.89
Netherlands,NLD,2012,1.94
Netherlands,NLD,2013,1.6
Netherlands,NLD,2014,1.61
Norway,NOR,2004,3.91
Norway,NOR,2005,4.1
Norway,NOR,2006,4.2
Norway,NOR,2007,4.69
Norway,NOR,2008,5.02
Norway,NOR,2009,5.54
Norway,NOR,2010,5.63
Norway,NOR,2011,5.6
Norway,NOR,2012,5.53
Norway,NOR,2013,5.15
Norway,NOR,2014,4.97
Paraguay,PRY,2014,1.12
Poland,POL,2013,3.76
Poland,POL,2014,3.6
Romania,ROU,2006,0.64
Romania,ROU,2007,0.84
Romania,ROU,2008,1.05
Romania,ROU,2009,1.44
Romania,ROU,2010,1.62
Romania,ROU,2011,1.64
Romania,ROU,2012,1.99
Romania,ROU,2013,2.15
Romania,ROU,2014,2.1
Serbia,SRB,2010,0.05
Serbia,SRB,2012,0.2
Serbia,SRB,2013,0.15
Serbia,SRB,2014,0.22
Slovakia,SVK,2010,4.12
Slovakia,SVK,2011,3.96
Slovakia,SVK,2014,4.56
Slovenia,SVN,2005,0.57
Slovenia,SVN,2006,1.12
Slovenia,SVN,2007,1.49
Slovenia,SVN,2008,1.42
Slovenia,SVN,2009,1.57
Slovenia,SVN,2010,1.79
Slovenia,SVN,2011,1.84
Slovenia,SVN,2012,2.07
Slovenia,SVN,2013,2.38
Slovenia,SVN,2014,2.57
Spain,ESP,2012,3.06
Spain,ESP,2013,2.98
Spain,ESP,2014,2.87
Sweden,SWE,2009,11.21
Sweden,SWE,2010,12.84
Sweden,SWE,2011,14.31
Sweden,SWE,2012,14.28
Sweden,SWE,2013,15.05
Sweden,SWE,2014,15.11
Switzerland,CHE,2004,4.06
Switzerland,CHE,2005,4.19
Switzerland,CHE,2006,4.23
Switzerland,CHE,2007,4.25
Switzerland,CHE,2008,4.28
Switzerland,CHE,2009,4.36
Switzerland,CHE,2010,4.5
Switzerland,CHE,2011,4.95
Switzerland,CHE,2012,5.35
Switzerland,CHE,2013,5.79
Switzerland,CHE,2014,6.13
Tunisia,TUN,2009,0.07
Tunisia,TUN,2010,0.09
Tunisia,TUN,2011,0.11
Tunisia,TUN,2012,0.07
Tunisia,TUN,2013,0.02
United Kingdom,GBR,2004,2.8
United Kingdom,GBR,2005,3.05
United Kingdom,GBR,2006,2.94
United Kingdom,GBR,2007,3.38
United Kingdom,GBR,2008,3.72
United Kingdom,GBR,2009,3.67
United Kingdom,GBR,2010,3.63
United Kingdom,GBR,2011,3.29
United Kingdom,GBR,2012,2.9
United Kingdom,GBR,2013,2.69
United Kingdom,GBR,2014,2.45
