Entity,Code,Year,"Share of youth not in education, employment or training, total (% of youth population) (% of youth population)"
Bolivia,BOL,2015,14.549599647522
Bolivia,BOL,2016,10.879599571228
Bolivia,BOL,2017,11.6353998184204
Bosnia and Herzegovina,BIH,2014,26.0699996948242
Bosnia and Herzegovina,BIH,2015,27.6700000762939
Bosnia and Herzegovina,BIH,2016,26.4400005340576
Bosnia and Herzegovina,BIH,2017,24.2800006866455
Botswana,BWA,2009,35.4653015136719
Brazil,BRA,1995,20.5568008422852
Brazil,BRA,1996,20.9997005462646
Brazil,BRA,1997,20.7194995880127
Brazil,BRA,1998,20.4692001342773
Brazil,BRA,1999,19.9190998077393
Brazil,BRA,2001,19.6856002807617
Brazil,BRA,2002,19.2677001953125
Brazil,BRA,2003,19.3202991485596
Brazil,BRA,2004,19.0154991149902
Brazil,BRA,2005,19.0886001586914
Brazil,BRA,2006,19.2761001586914
Brazil,BRA,2007,19.2196006774902
Brazil,BRA,2008,18.3474998474121
Brazil,BRA,2009,18.8082008361816
Brazil,BRA,2011,19.4277000427246
Brazil,BRA,2012,19.2626991271973
Brazil,BRA,2013,20.0116004943848
Brazil,BRA,2014,19.7147006988525
Brazil,BRA,2015,22.2206001281738
Brazil,BRA,2016,23.2406997680664
Brazil,BRA,2017,24.332799911499
Brunei,BRN,2014,17.1963005065918
Brunei,BRN,2017,19.9661998748779
Bulgaria,BGR,2003,28.2900009155273
Bulgaria,BGR,2004,24.3700008392334
Bulgaria,BGR,2005,25.0499992370605
Bulgaria,BGR,2006,22.2399997711182
Bulgaria,BGR,2007,19.1399993896484
Bulgaria,BGR,2008,17.3999996185303
Bulgaria,BGR,2009,19.4500007629395
Bulgaria,BGR,2010,21.0300006866455
Bulgaria,BGR,2011,21.8099994659424
Bulgaria,BGR,2012,21.5300006866455
Bulgaria,BGR,2013,21.6000003814697
Bulgaria,BGR,2014,20.2399997711182
Bulgaria,BGR,2015,19.2800006866455
Bulgaria,BGR,2016,18.2000007629395
Bulgaria,BGR,2017,15.3100004196167
Burundi,BDI,2014,6.19000005722046
Burundi,BDI,2017,6.19000005722046
Cambodia,KHM,1998,21.0799999237061
Cambodia,KHM,2008,79.1699981689453
Cambodia,KHM,2009,7.13000011444092
Cambodia,KHM,2012,12.7175998687744
Cameroon,CMR,2007,11.7019996643066
Cameroon,CMR,2010,10.789999961853
Cameroon,CMR,2014,17.0149002075195
Canada,CAN,1976,19.6793994903564
Canada,CAN,1977,20.1679000854492
Canada,CAN,1978,19.7600002288818
Canada,CAN,1979,18.5478000640869
Canada,CAN,1980,18.4463005065918
Canada,CAN,1981,18.0352993011475
Canada,CAN,1982,21.9561996459961
Canada,CAN,1983,21.7460994720459
Canada,CAN,1984,20.0746994018555
Canada,CAN,1985,18.3453998565674
Canada,CAN,1986,17.2628993988037
Canada,CAN,1987,15.9079999923706
Canada,CAN,1988,14.6183004379272
Canada,CAN,1989,14.0226001739502
Canada,CAN,1990,15.1731996536255
Canada,CAN,1991,16.9008007049561
Canada,CAN,1992,17.3836994171143
Canada,CAN,1993,17.266300201416
Canada,CAN,1994,16.6959991455078
Canada,CAN,1995,16.0475006103516
Canada,CAN,1996,16.2486000061035
Canada,CAN,1997,15.8893003463745
Canada,CAN,1998,15.2944002151489
Canada,CAN,1999,14.2311000823975
Canada,CAN,2000,13.8994998931885
Canada,CAN,2001,13.3346004486084
Canada,CAN,2002,13.2229995727539
Canada,CAN,2003,13.1879997253418
Canada,CAN,2004,13.0859003067017
Canada,CAN,2005,12.7803001403809
Canada,CAN,2006,12.3718996047974
Canada,CAN,2007,12.316499710083
Canada,CAN,2008,12.7440004348755
Canada,CAN,2009,14.3576002120972
Canada,CAN,2010,14.1023998260498
Canada,CAN,2011,13.6183996200562
Canada,CAN,2012,13.7885999679565
Canada,CAN,2013,13.4770002365112
Canada,CAN,2014,13.898099899292
Canada,CAN,2015,13.8185997009277
Canada,CAN,2016,13.4952001571655
Canada,CAN,2017,12.581600189209
Central Europe and the Baltics,,2004,15.5355292612652
Central Europe and the Baltics,,2005,15.4728853353477
Central Europe and the Baltics,,2006,13.2273399973185
Central Europe and the Baltics,,2007,11.4492821909364
Central Europe and the Baltics,,2008,10.2692554182463
Central Europe and the Baltics,,2009,12.0585700747911
Central Europe and the Baltics,,2010,13.0389393758155
Central Europe and the Baltics,,2011,13.4386916601552
Central Europe and the Baltics,,2012,13.6497968544851
Central Europe and the Baltics,,2013,13.9973387129969
Central Europe and the Baltics,,2014,13.4749923834304
Central Europe and the Baltics,,2015,12.9467655104475
Central Europe and the Baltics,,2016,12.315629017896
Central Europe and the Baltics,,2017,11.1189370382175
Chile,CHL,1990,28.1350994110107
Chile,CHL,1992,24.093599319458
Chile,CHL,1994,24.5694007873535
Chile,CHL,1996,20.8341007232666
Chile,CHL,1998,23.2565002441406
Chile,CHL,2000,24.0293998718262
Chile,CHL,2003,20.5424003601074
Chile,CHL,2006,19.8880996704102
Chile,CHL,2009,23.2017993927002
Chile,CHL,2010,11.7299995422363
Chile,CHL,2011,11.7299995422363
Chile,CHL,2012,11.7399997711182
Chile,CHL,2013,11.75
Chile,CHL,2014,12.25
Chile,CHL,2015,17.8192005157471
Colombia,COL,2003,25.3999996185303
Colombia,COL,2005,24.3099994659424
Colombia,COL,2009,25.0300006866455
Colombia,COL,2010,23.5643997192383
Colombia,COL,2011,23.388599395752
Colombia,COL,2012,22.4773006439209
Colombia,COL,2013,22.0923004150391
Colombia,COL,2014,21.3899002075195
Colombia,COL,2015,20.9449005126953
Colombia,COL,2016,20.984899520874
Colombia,COL,2017,21.7777996063232
Comoros,COM,2004,27.8934993743896
Congo,COG,2005,26.4587001800537
Costa Rica,CRI,2010,19.0874996185303
Costa Rica,CRI,2011,21.377799987793
Costa Rica,CRI,2012,17.2602996826172
Costa Rica,CRI,2013,17.8153991699219
Costa Rica,CRI,2014,16.9491004943848
Costa Rica,CRI,2015,18.3579006195068
Costa Rica,CRI,2016,16.3092002868652
Costa Rica,CRI,2017,15.8385000228882
Cote d'Ivoire,CIV,2012,12.6715002059937
Cote d'Ivoire,CIV,2013,10.1812000274658
Cote d'Ivoire,CIV,2016,36.0037002563477
Croatia,HRV,2005,16.7199993133545
Croatia,HRV,2006,14.1800003051758
Croatia,HRV,2007,12.8699998855591
Croatia,HRV,2008,11.6199998855591
Croatia,HRV,2009,13.4300003051758
Croatia,HRV,2010,15.6700000762939
Croatia,HRV,2011,16.2199993133545
Croatia,HRV,2012,16.5900001525879
Croatia,HRV,2013,19.6299991607666
Croatia,HRV,2014,19.3299999237061
Croatia,HRV,2015,18.1200008392334
Croatia,HRV,2016,16.8999996185303
Croatia,HRV,2017,15.3500003814697
Cyprus,CYP,2003,8.93000030517578
Cyprus,CYP,2004,9.36999988555908
Cyprus,CYP,2005,19.5200004577637
Cyprus,CYP,2006,10.7299995422363
Cyprus,CYP,2007,8.98999977111816
Cyprus,CYP,2008,9.64999961853027
Cyprus,CYP,2009,9.89999961853027
Cyprus,CYP,2010,11.6800003051758
Cyprus,CYP,2011,14.6400003433228
Cyprus,CYP,2012,15.9799995422363
Cyprus,CYP,2013,18.6700000762939
Cyprus,CYP,2014,17.0100002288818
Cyprus,CYP,2015,15.3000001907349
Cyprus,CYP,2016,16.0200004577637
Cyprus,CYP,2017,16.0900001525879
Czech Republic,CZE,2003,11.6199998855591
Czech Republic,CZE,2004,12.5799999237061
Czech Republic,CZE,2005,13.25
Czech Republic,CZE,2006,9.15999984741211
Czech Republic,CZE,2007,6.92999982833862
Czech Republic,CZE,2008,6.69999980926514
Czech Republic,CZE,2009,8.51000022888184
Czech Republic,CZE,2010,8.82999992370605
Czech Republic,CZE,2011,8.27999973297119
Czech Republic,CZE,2012,8.89000034332275
Czech Republic,CZE,2013,9.13000011444092
Czech Republic,CZE,2014,8.10999965667725
Czech Republic,CZE,2015,7.46999979019165
Czech Republic,CZE,2016,7
Czech Republic,CZE,2017,6.28999996185303
Democratic Republic of Congo,COD,2005,18.4521007537842
Democratic Republic of Congo,COD,2012,21.3595008850098
Denmark,DNK,2003,5.44000005722046
Denmark,DNK,2004,5.44999980926514
Denmark,DNK,2005,4.30999994277954
Denmark,DNK,2006,3.61999988555908
Denmark,DNK,2007,4.30000019073486
Denmark,DNK,2008,4.30000019073486
Denmark,DNK,2009,5.40000009536743
Denmark,DNK,2010,6.03999996185303
Denmark,DNK,2011,6.25
Denmark,DNK,2012,6.63000011444092
Denmark,DNK,2013,6.03000020980835
Denmark,DNK,2014,5.78000020980835
Denmark,DNK,2015,6.19999980926514
Denmark,DNK,2016,5.80999994277954
Denmark,DNK,2017,6.96000003814697
Dominican Republic,DOM,2000,19.6765003204346
Dominican Republic,DOM,2001,20.9389991760254
Dominican Republic,DOM,2002,20.2581996917725
Dominican Republic,DOM,2003,20.9281997680664
Dominican Republic,DOM,2004,20.4472999572754
Dominican Republic,DOM,2005,20.4531002044678
Dominican Republic,DOM,2006,19.4400005340576
Dominican Republic,DOM,2007,19.1187992095947
Dominican Republic,DOM,2008,19.0722999572754
Dominican Republic,DOM,2009,21.4712009429932
Dominican Republic,DOM,2010,20.8253993988037
Dominican Republic,DOM,2011,19.9277992248535
Dominican Republic,DOM,2012,20.1732006072998
Dominican Republic,DOM,2013,20.8187007904053
Dominican Republic,DOM,2014,19.4652996063232
Dominican Republic,DOM,2015,20.4701995849609
Dominican Republic,DOM,2016,19.4633007049561
Dominican Republic,DOM,2017,24.3355007171631
Early-demographic dividend,,2010,27.7109239338647
Early-demographic dividend,,2012,25.9616053627885
Ecuador,ECU,2000,20.0706005096436
Ecuador,ECU,2001,18.0303001403809
Ecuador,ECU,2003,21.0270004272461
Ecuador,ECU,2004,18.430700302124
Ecuador,ECU,2005,17.4587001800537
Ecuador,ECU,2006,17.0470008850098
Ecuador,ECU,2007,16.3677005767822
Ecuador,ECU,2008,16.1445007324219
Ecuador,ECU,2009,16.4983997344971
Ecuador,ECU,2010,15.6603002548218
Ecuador,ECU,2011,16.4328002929688
Ecuador,ECU,2012,16.5536003112793
Ecuador,ECU,2013,17.3572998046875
Ecuador,ECU,2014,20.2343006134033
Ecuador,ECU,2015,19.8113994598389
Ecuador,ECU,2016,18.4400997161865
Ecuador,ECU,2017,17.5596008300781
Egypt,EGY,2008,29.6639003753662
Egypt,EGY,2009,29.8950004577637
Egypt,EGY,2010,33.084300994873
Egypt,EGY,2011,32.0993003845215
Egypt,EGY,2012,31.5526008605957
Egypt,EGY,2013,28.3959999084473
Egypt,EGY,2015,27.6053009033203
Egypt,EGY,2016,27.5713996887207
El Salvador,SLV,2009,28.9300003051758
El Salvador,SLV,2010,27.2141990661621
El Salvador,SLV,2011,25.910400390625
El Salvador,SLV,2012,26.0249996185303
El Salvador,SLV,2013,25.3518009185791
El Salvador,SLV,2014,28.5041999816895
El Salvador,SLV,2015,28.5412006378174
El Salvador,SLV,2016,28.2245006561279
El Salvador,SLV,2017,28.3978004455566
Estonia,EST,2003,12.1199998855591
Estonia,EST,2004,15.1400003433228
Estonia,EST,2005,10.9399995803833
Estonia,EST,2006,8.90999984741211
Estonia,EST,2007,9.39000034332275
Estonia,EST,2008,9.09000015258789
Estonia,EST,2009,14.4700002670288
Estonia,EST,2010,14.0299997329712
Estonia,EST,2011,11.5699996948242
Estonia,EST,2012,12.1999998092651
Estonia,EST,2013,11.3199996948242
Estonia,EST,2014,11.6599998474121
Estonia,EST,2015,10.8400001525879
Estonia,EST,2016,9.14000034332275
Estonia,EST,2017,9.43000030517578
Ethiopia,ETH,2013,10.481499671936
Euro area,,2003,10.2710621061613
Euro area,,2004,11.4797725900901
Euro area,,2005,12.5492760773444
Euro area,,2006,11.4984225764178
Euro area,,2007,10.9035738007367
Euro area,,2008,11.0108704653816
Euro area,,2009,12.6145655597315
Euro area,,2010,12.7541323466996
Euro area,,2011,12.7247690798372
Euro area,,2012,13.055325297714
Euro area,,2013,12.7879041338975
Euro area,,2014,12.430758909597
Euro area,,2015,12.0512592777605
Euro area,,2016,11.5694577860842
Euro area,,2017,11.0818908165556
Europe & Central Asia,,2006,15.6659028195305
Europe & Central Asia,,2007,15.4803981714675
Europe & Central Asia,,2008,15.0121887571642
Europe & Central Asia,,2009,15.8949272653698
Europe & Central Asia,,2010,15.5058582444015
Europe & Central Asia,,2011,15.5959512853787
Europe & Central Asia,,2012,15.5086185428469
Europe & Central Asia,,2013,14.5731919342637
Europe & Central Asia,,2014,14.6373976670221
Europe & Central Asia,,2015,14.1085319502625
Europe & Central Asia,,2016,13.8138280251085
Europe & Central Asia,,2017,13.299801406672
Europe & Central Asia (IDA & IBRD),,2009,19.4834939205875
Europe & Central Asia (IDA & IBRD),,2010,18.7849660695568
Europe & Central Asia (IDA & IBRD),,2011,18.8798846779524
Europe & Central Asia (IDA & IBRD),,2012,18.4821834382024
Europe & Central Asia (IDA & IBRD),,2013,16.8811906476528
Europe & Central Asia (IDA & IBRD),,2014,17.3052267543534
Europe & Central Asia (IDA & IBRD),,2015,16.7797529404664
Europe & Central Asia (IDA & IBRD),,2016,16.7183109841981
Europe & Central Asia (excluding high income),,2009,20.7052125843765
Europe & Central Asia (excluding high income),,2010,19.84239380458
Europe & Central Asia (excluding high income),,2011,19.8281420727449
Europe & Central Asia (excluding high income),,2012,19.3214428542949
Europe & Central Asia (excluding high income),,2013,17.411815536324
Europe & Central Asia (excluding high income),,2014,17.8344639667857
Europe & Central Asia (excluding high income),,2015,17.3577533159287
Europe & Central Asia (excluding high income),,2016,17.3608686299134
European Union,,2004,11.5821295689766
European Union,,2005,12.7499719372812
European Union,,2006,11.4566160417983
European Union,,2007,11.0580946764213
European Union,,2008,10.8790674534841
European Union,,2009,12.4255145013537
European Union,,2010,12.7386496186103
European Union,,2011,12.9223744837343
European Union,,2012,13.1347663027053
European Union,,2013,12.9458893568402
European Union,,2014,12.4159670793151
European Union,,2015,11.9346217672575
European Union,,2016,11.4767958130762
European Union,,2017,10.8455134235638
Fiji,FJI,2005,20.548900604248
Fiji,FJI,2011,18.4043998718262
Fiji,FJI,2014,19.0900001525879
Fiji,FJI,2016,20.0855007171631
Finland,FIN,2003,10.960000038147
Finland,FIN,2004,9.77999973297119
Finland,FIN,2005,8.09000015258789
Finland,FIN,2006,7.8600001335144
Finland,FIN,2007,7.09000015258789
Finland,FIN,2008,7.94999980926514
Finland,FIN,2009,9.84000015258789
Finland,FIN,2010,9.02000045776367
Finland,FIN,2011,8.43000030517578
Finland,FIN,2012,8.5600004196167
Finland,FIN,2013,9.30000019073486
Finland,FIN,2014,10.1700000762939
Finland,FIN,2015,10.5600004196167
Finland,FIN,2016,9.92000007629395
Finland,FIN,2017,9.39999961853027
France,FRA,2003,9.52000045776367
France,FRA,2004,10.6899995803833
France,FRA,2005,11.1899995803833
France,FRA,2006,11.3400001525879
France,FRA,2007,10.6499996185303
France,FRA,2008,10.5500001907349
France,FRA,2009,12.710000038147
France,FRA,2010,12.6499996185303
France,FRA,2011,12.2799997329712
France,FRA,2012,12.5
France,FRA,2013,11.2299995422363
France,FRA,2014,11.1800003051758
France,FRA,2015,11.8900003433228
France,FRA,2016,11.8199996948242
France,FRA,2017,11.460000038147
Gambia,GMB,2012,33.9958992004395
Germany,DEU,2003,10.0299997329712
Germany,DEU,2004,10.0799999237061
Germany,DEU,2005,11.2799997329712
Germany,DEU,2006,10.0600004196167
Germany,DEU,2007,9.30000019073486
Germany,DEU,2008,8.43000030517578
Germany,DEU,2009,8.80000019073486
Germany,DEU,2010,8.30000019073486
Germany,DEU,2011,7.48999977111816
Germany,DEU,2012,7.09999990463257
Germany,DEU,2013,6.25
Germany,DEU,2014,6.3600001335144
Germany,DEU,2015,6.17000007629395
Germany,DEU,2016,6.69000005722046
Germany,DEU,2017,6.26000022888184
Ghana,GHA,2006,23.609899520874
Ghana,GHA,2013,11.0826997756958
Ghana,GHA,2015,25.5062007904053
Greece,GRC,2003,13.6700000762939
Greece,GRC,2004,14.9099998474121
Greece,GRC,2005,20.7800006866455
Greece,GRC,2006,11.9700002670288
Greece,GRC,2007,11.3299999237061
Greece,GRC,2008,11.4399995803833
Greece,GRC,2009,12.3800001144409
Greece,GRC,2010,14.7799997329712
Greece,GRC,2011,17.3799991607666
Greece,GRC,2012,20.1700000762939
Greece,GRC,2013,20.3999996185303
Greece,GRC,2014,19.1499996185303
Greece,GRC,2015,17.1599998474121
Greece,GRC,2016,15.8100004196167
Greece,GRC,2017,15.289999961853
Guatemala,GTM,2003,22.8994007110596
Guatemala,GTM,2004,27.5510997772217
Guatemala,GTM,2010,24.4377002716064
Guatemala,GTM,2011,24.7499008178711
Guatemala,GTM,2012,22.456600189209
Guatemala,GTM,2013,26.9407997131348
Guatemala,GTM,2014,26.4097995758057
Guatemala,GTM,2015,26.4477005004883
Guatemala,GTM,2016,27.3372993469238
Guinea,GIN,2002,6.20289993286133
High income,,2004,13.6913687927845
High income,,2005,14.348093471526
High income,,2006,13.4614054397042
High income,,2007,12.6947146957066
High income,,2008,13.5411571551698
High income,,2009,14.5841032306311
High income,,2010,14.3788606316742
High income,,2011,15.3458499508549
High income,,2012,14.05870121002
High income,,2013,14.030307858642
High income,,2014,13.3520816005075
High income,,2015,12.4544215286163
High income,,2016,11.6862753787154
High income,,2017,11.6181006635911
Honduras,HND,2005,26.9986991882324
Honduras,HND,2006,26.8370990753174
Honduras,HND,2007,27.5813999176025
Honduras,HND,2008,25.8155994415283
Honduras,HND,2009,26.5265007019043
Honduras,HND,2010,26.2061004638672
Honduras,HND,2011,27.5387992858887
Honduras,HND,2012,28.6679992675781
Honduras,HND,2013,26.8101997375488
Honduras,HND,2014,28.6744995117188
Honduras,HND,2015,26.9573993682861
Honduras,HND,2016,27.816499710083
Hong Kong,HKG,2009,7.40999984741211
Hong Kong,HKG,2010,6.94999980926514
Hong Kong,HKG,2011,6.15999984741211
Hong Kong,HKG,2012,6.1399998664856
Hong Kong,HKG,2013,6.67000007629395
Hong Kong,HKG,2014,6.61999988555908
Hong Kong,HKG,2015,6.6100001335144
Hong Kong,HKG,2016,6.09999990463257
Hungary,HUN,2004,12.3800001144409
Hungary,HUN,2005,18.7900009155273
Hungary,HUN,2006,12.4300003051758
Hungary,HUN,2007,11.460000038147
Hungary,HUN,2008,11.460000038147
Hungary,HUN,2009,13.6000003814697
Hungary,HUN,2010,12.5600004196167
Hungary,HUN,2011,13.210000038147
Hungary,HUN,2012,14.7799997329712
Hungary,HUN,2013,15.4700002670288
Hungary,HUN,2014,13.6199998855591
Hungary,HUN,2015,11.5799999237061
Hungary,HUN,2016,11.0500001907349
Hungary,HUN,2017,11.039999961853
IDA blend,,2013,26.0690562364328
Iceland,ISL,2003,4.48000001907349
Iceland,ISL,2004,6.92999982833862
Iceland,ISL,2005,4.65999984741211
Iceland,ISL,2006,4.80000019073486
Iceland,ISL,2007,4.09999990463257
Iceland,ISL,2008,4.32000017166138
Iceland,ISL,2009,7.32999992370605
Iceland,ISL,2010,7.34999990463257
Iceland,ISL,2011,6.69000005722046
Iceland,ISL,2012,5.8899998664856
Iceland,ISL,2013,5.46999979019165
Iceland,ISL,2014,5.71999979019165
Iceland,ISL,2015,4.55000019073486
Iceland,ISL,2016,4.11999988555908
Iceland,ISL,2017,3.86999988555908
India,IND,1994,32.6193008422852
India,IND,2000,32.2350006103516
India,IND,2004,26.1299991607666
India,IND,2005,30.42799949646
India,IND,2010,27.864200592041
India,IND,2012,27.5028991699219
Indonesia,IDN,2000,29.3754997253418
Indonesia,IDN,2001,29.8500003814697
Indonesia,IDN,2002,31.0632991790771
Indonesia,IDN,2003,31.5210990905762
Indonesia,IDN,2004,31.4190006256104
Indonesia,IDN,2005,31.8595008850098
Indonesia,IDN,2006,30.4185009002686
Indonesia,IDN,2007,30.0308990478516
Indonesia,IDN,2008,28.1501007080078
Indonesia,IDN,2009,27.6658000946045
Indonesia,IDN,2010,26.6488990783691
Indonesia,IDN,2011,25.8966007232666
Indonesia,IDN,2012,22.9493999481201
Indonesia,IDN,2013,22.8882007598877
Indonesia,IDN,2014,22.3542003631592
Indonesia,IDN,2015,22.9188995361328
Indonesia,IDN,2016,22.4792003631592
Indonesia,IDN,2017,21.4486999511719
Iran,IRN,2009,34.7299995422363
Iran,IRN,2010,34.3499984741211
Iraq,IRQ,2007,46.1804008483887
Iraq,IRQ,2012,40.6449012756348
Ireland,IRL,2003,8.84000015258789
Ireland,IRL,2004,10.3599996566772
Ireland,IRL,2005,15.1300001144409
Ireland,IRL,2006,14.4300003051758
Ireland,IRL,2007,10.1000003814697
Ireland,IRL,2008,12.539999961853
Ireland,IRL,2009,18.3099994659424
Ireland,IRL,2010,19.4200000762939
Ireland,IRL,2011,19.1900005340576
Ireland,IRL,2012,19.2199993133545
Ireland,IRL,2013,16.3999996185303
Ireland,IRL,2014,15.3199996948242
Ireland,IRL,2015,14.2799997329712
Ireland,IRL,2016,12.5299997329712
Ireland,IRL,2017,10.9300003051758
Israel,ISR,2009,30.9899997711182
Israel,ISR,2010,30.3700008392334
Israel,ISR,2011,31.5799999237061
Israel,ISR,2012,16.6700000762939
Israel,ISR,2013,15.6999998092651
Israel,ISR,2014,15.6199998855591
Israel,ISR,2015,15.4799995422363
Israel,ISR,2016,14.9200000762939
Israel,ISR,2017,14.8500003814697
Italy,ITA,2004,16.2700004577637
Italy,ITA,2005,17.0499992370605
Italy,ITA,2006,16.7700004577637
Italy,ITA,2007,16.1399993896484
Italy,ITA,2008,16.5599994659424
Italy,ITA,2009,17.5499992370605
Italy,ITA,2010,18.9699993133545
Italy,ITA,2011,19.6399993896484
Italy,ITA,2012,20.9400005340576
Italy,ITA,2013,22.1399993896484
Italy,ITA,2014,22.0400009155273
Italy,ITA,2015,21.3299999237061
Italy,ITA,2016,19.7999992370605
Italy,ITA,2017,19.9899997711182
Japan,JPN,2009,4.3600001335144
Japan,JPN,2010,4.28999996185303
Japan,JPN,2012,4.21000003814697
Japan,JPN,2013,3.91000008583069
Japan,JPN,2014,3.69000005722046
Japan,JPN,2015,3.60999989509583
Japan,JPN,2016,3.51999998092651
Japan,JPN,2017,3.26999998092651
Kazakhstan,KAZ,2001,18.6024608612061
Kazakhstan,KAZ,2002,14.8788185119629
Kazakhstan,KAZ,2003,13.5331382751465
Kazakhstan,KAZ,2004,13.2435216903687
Kazakhstan,KAZ,2005,12.8128442764282
Kazakhstan,KAZ,2006,12.5020275115967
Kazakhstan,KAZ,2007,10.7316722869873
Kazakhstan,KAZ,2008,9.71010208129883
Kazakhstan,KAZ,2009,9.54604339599609
Kazakhstan,KAZ,2010,8.19791221618652
Kazakhstan,KAZ,2011,7.80016183853149
Kazakhstan,KAZ,2012,8.02620220184326
Kazakhstan,KAZ,2013,8.02143096923828
Kazakhstan,KAZ,2014,8.76338195800781
Kazakhstan,KAZ,2015,8.46409511566162
Kazakhstan,KAZ,2016,9.4912109375
Kenya,KEN,1999,32.4304008483887
Kosovo,OWID_KOS,2014,30.1800003051758
Kosovo,OWID_KOS,2015,31.4300003051758
Kosovo,OWID_KOS,2016,30.1000003814697
Kyrgyzstan,KGZ,2009,17.7999992370605
Kyrgyzstan,KGZ,2010,18.4599990844727
Kyrgyzstan,KGZ,2011,60.5400009155273
Kyrgyzstan,KGZ,2012,62.4599990844727
Kyrgyzstan,KGZ,2013,21.2299995422363
Kyrgyzstan,KGZ,2014,20.7199993133545
Kyrgyzstan,KGZ,2015,21.4200000762939
Kyrgyzstan,KGZ,2016,20.3999996185303
Laos,LAO,2010,5.1230001449585
Laos,LAO,2017,42.0751991271973
Latin America & Caribbean,,2005,20.4369656124461
Latin America & Caribbean,,2006,19.6942828074764
Latin America & Caribbean,,2008,19.1926362568217
Latin America & Caribbean,,2009,20.1600404529838
Latin America & Caribbean,,2011,20.1795196435234
Latin America & Caribbean,,2012,19.7453077689265
Latin America & Caribbean,,2013,20.1813151066852
Latin America & Caribbean,,2014,19.9209958157842
Latin America & Caribbean,,2015,21.2669952472893
Latin America & Caribbean,,2016,21.546124392192
