Entity,Code,Year,10.c.1 - Remittance costs as a proportion of the amount remitted (%) - SI_RMT_COST (%)
Myanmar,MMR,2018,14.4
Namibia,NAM,2017,27.6
Namibia,NAM,2018,26.9
Nepal,NPL,2011,5.6
Nepal,NPL,2015,3.6
Nepal,NPL,2017,4.7
Nepal,NPL,2018,5
Nicaragua,NIC,2011,4.5
Nicaragua,NIC,2015,4.1
Nicaragua,NIC,2017,4.2
Nicaragua,NIC,2018,5.1
Nigeria,NGA,2011,10.1
Nigeria,NGA,2015,7.7
Nigeria,NGA,2017,8.5
Nigeria,NGA,2018,7.6
Northern Africa and Western Asia,,2011,7.2
Northern Africa and Western Asia,,2015,7.5
Northern Africa and Western Asia,,2017,7
Northern Africa and Western Asia,,2018,6.8
Oceania (exc. Australia and New Zealand),,2011,13.4
Oceania (exc. Australia and New Zealand),,2015,10.1
Oceania (exc. Australia and New Zealand),,2017,10.9
Oceania (exc. Australia and New Zealand),,2018,9.6
Pakistan,PAK,2011,6.6
Pakistan,PAK,2015,5.4
Pakistan,PAK,2017,4.8
Pakistan,PAK,2018,5.5
Palestine,PSE,2017,7.3
Palestine,PSE,2018,6.3
Panama,PAN,2011,5.4
Panama,PAN,2015,4.7
Panama,PAN,2017,4.9
Panama,PAN,2018,4.6
Papua New Guinea,PNG,2011,16.9
Paraguay,PRY,2011,11.6
Paraguay,PRY,2015,7.1
Paraguay,PRY,2017,5.4
Paraguay,PRY,2018,7
Peru,PER,2011,5
Peru,PER,2015,6
Peru,PER,2017,4.6
Peru,PER,2018,4.9
Philippines,PHL,2011,6.2
Philippines,PHL,2015,6.2
Philippines,PHL,2017,5.5
Philippines,PHL,2018,5.1
Poland,POL,2011,7.2
Poland,POL,2015,6.6
Poland,POL,2017,5.7
Poland,POL,2018,5
Romania,ROU,2011,7.1
Romania,ROU,2015,6.1
Romania,ROU,2017,5.1
Romania,ROU,2018,4.8
Rwanda,RWA,2011,16.6
Rwanda,RWA,2015,13.8
Rwanda,RWA,2017,11.5
Rwanda,RWA,2018,12.9
Samoa,WSM,2011,10.7
Samoa,WSM,2015,8.5
Samoa,WSM,2017,10.5
Samoa,WSM,2018,9
Senegal,SEN,2011,9.9
Senegal,SEN,2015,5.6
Senegal,SEN,2017,5.1
Senegal,SEN,2018,5.2
Serbia,SRB,2011,10.5
Serbia,SRB,2015,9.2
Serbia,SRB,2017,9.2
Serbia,SRB,2018,8.3
Sierra Leone,SLE,2011,8
Sierra Leone,SLE,2015,5.2
Sierra Leone,SLE,2017,8.3
Sierra Leone,SLE,2018,10.4
Somalia,SOM,2011,9
Somalia,SOM,2015,6.5
Somalia,SOM,2017,8.4
Somalia,SOM,2018,7.3
South Africa,ZAF,2011,8
South Africa,ZAF,2015,9
South Africa,ZAF,2017,8.1
South Africa,ZAF,2018,8.1
South Sudan,SSD,2017,9.7
South Sudan,SSD,2018,9.5
Sri Lanka,LKA,2011,5.6
Sri Lanka,LKA,2015,5.6
Sri Lanka,LKA,2017,5.3
Sri Lanka,LKA,2018,4.5
Sub-Saharan Africa,,2011,12.4
Sub-Saharan Africa,,2015,9.8
Sub-Saharan Africa,,2017,9.2
Sub-Saharan Africa,,2018,9
Sudan,SDN,2017,4.9
Sudan,SDN,2018,7.1
Suriname,SUR,2011,8.7
Suriname,SUR,2015,6.5
Suriname,SUR,2017,5.6
Suriname,SUR,2018,8.6
Swaziland,SWZ,2011,14.3
Swaziland,SWZ,2015,13.8
Swaziland,SWZ,2017,15.9
Swaziland,SWZ,2018,17.9
Syria,SYR,2017,4.6
Syria,SYR,2018,6.4
Tajikistan,TJK,2011,2.6
Tajikistan,TJK,2015,1.5
Tajikistan,TJK,2017,4.6
Tajikistan,TJK,2018,4.3
Tanzania,TZA,2011,10.1
Tanzania,TZA,2015,9.6
Tanzania,TZA,2017,10.6
Tanzania,TZA,2018,11.1
Thailand,THA,2011,7.6
Thailand,THA,2015,7.6
Thailand,THA,2017,9.2
Thailand,THA,2018,8.3
Togo,TGO,2015,8.6
Togo,TGO,2017,7
Togo,TGO,2018,8
Tonga,TON,2011,11.9
Tonga,TON,2015,8.3
Tonga,TON,2017,9.5
Tonga,TON,2018,9.4
Tunisia,TUN,2011,8.8
Tunisia,TUN,2015,6.1
Tunisia,TUN,2017,8.5
Tunisia,TUN,2018,8.6
Turkey,TUR,2011,8.8
Turkey,TUR,2015,7
Turkey,TUR,2017,6.8
Turkey,TUR,2018,7.1
Uganda,UGA,2011,14.7
Uganda,UGA,2015,12.8
Uganda,UGA,2017,10.6
Uganda,UGA,2018,9
Ukraine,UKR,2011,6.3
Ukraine,UKR,2015,4.7
Ukraine,UKR,2017,6.8
Ukraine,UKR,2018,6.4
Uzbekistan,UZB,2011,2.2
Uzbekistan,UZB,2015,1.7
Uzbekistan,UZB,2017,1.7
Uzbekistan,UZB,2018,1.4
Vanuatu,VUT,2011,13.8
Vanuatu,VUT,2015,15.7
Vanuatu,VUT,2017,16.7
Vanuatu,VUT,2018,12.1
Vietnam,VNM,2011,8.9
Vietnam,VNM,2015,7.9
Vietnam,VNM,2017,7.6
Vietnam,VNM,2018,7.2
World,OWID_WRL,2011,9.3
World,OWID_WRL,2015,7.5
World,OWID_WRL,2017,7.2
World,OWID_WRL,2018,6.9
Yemen,YEM,2011,3.3
Yemen,YEM,2015,3.7
Yemen,YEM,2017,5.4
Yemen,YEM,2018,5.6
Zambia,ZMB,2011,14.2
Zambia,ZMB,2015,15.7
Zambia,ZMB,2017,15.2
Zambia,ZMB,2018,14.7
Zimbabwe,ZWE,2011,13.7
Zimbabwe,ZWE,2015,11.9
Zimbabwe,ZWE,2017,11.2
Zimbabwe,ZWE,2018,10.6
