Entity,Code,Year,"Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018))  (%)"
Cote d'Ivoire,CIV,1995,0
Cote d'Ivoire,CIV,2005,0.97
Cote d'Ivoire,CIV,2010,17.81
Croatia,HRV,2000,42.94
Croatia,HRV,2005,59.26
Croatia,HRV,2010,60.67
Croatia,HRV,2015,64.21
Cuba,CUB,1995,84.04
Cuba,CUB,2005,64.14
Cyprus,CYP,1990,58.39
Cyprus,CYP,1995,57.61
Cyprus,CYP,2000,60.95
Cyprus,CYP,2005,61.75
Cyprus,CYP,2010,71.21
Cyprus,CYP,2015,73.93
Czech Republic,CZE,1995,84.47
Czech Republic,CZE,2000,75.95
Czech Republic,CZE,2005,72.63
Czech Republic,CZE,2010,69.65
Czech Republic,CZE,2015,72.53
Democratic Republic of Congo,COD,2010,21.24
Denmark,DNK,2000,71.32
Denmark,DNK,2005,75.5
Denmark,DNK,2010,76.81
Denmark,DNK,2015,78.94
Dominican Republic,DOM,1995,0
Dominican Republic,DOM,2005,0.72
Dominican Republic,DOM,2015,8.84
Ecuador,ECU,2005,12.54
Ecuador,ECU,2010,13.23
Ecuador,ECU,2015,26.14
Egypt,EGY,2005,32.04
Egypt,EGY,2010,30.09
Egypt,EGY,2015,32.79
El Salvador,SLV,2005,11.92
England,,1970,54.51
England,,1975,51.37
England,,1980,50.26
England,,1985,62.51
England,,1990,57.08
England,,1995,46.79
England,,2000,57.92
England,,2005,73.58
England,,2010,76.32
England,,2015,77.95
Estonia,EST,2005,83.68
Estonia,EST,2010,78.78
Estonia,EST,2015,80.66
Finland,FIN,1970,35.1
Finland,FIN,1975,33.73
Finland,FIN,1980,11.69
Finland,FIN,1985,39.93
Finland,FIN,1990,43.18
Finland,FIN,1995,34.41
Finland,FIN,2000,77.7
Finland,FIN,2005,82.45
Finland,FIN,2010,81.31
Finland,FIN,2015,79.23
France,FRA,1970,68.44
France,FRA,1975,67.98
France,FRA,1980,81.48
France,FRA,1985,64.6
France,FRA,1990,66.16
France,FRA,1995,79.17
France,FRA,2000,71
France,FRA,2005,64.18
France,FRA,2010,69.62
France,FRA,2015,67
Gabon,GAB,2005,7.18
Gambia,GMB,2000,0
Georgia,GEO,2005,38.67
Georgia,GEO,2010,40.6
Georgia,GEO,2015,52.71
Germany,DEU,1975,92.44
Germany,DEU,1985,64.96
Germany,DEU,1990,67.09
Germany,DEU,1995,66.82
Germany,DEU,2000,58.59
Germany,DEU,2005,73.57
Germany,DEU,2010,78.46
Germany,DEU,2015,77.43
Ghana,GHA,2005,6.41
Ghana,GHA,2010,8.98
Greece,GRC,1990,57.42
Greece,GRC,1995,58.28
Greece,GRC,2000,53.98
Greece,GRC,2005,50.25
Greece,GRC,2010,57.92
Greece,GRC,2015,55.4
Guatemala,GTM,2005,7.92
Guatemala,GTM,2010,6.89
Guatemala,GTM,2015,15.06
Honduras,HND,1995,0
Honduras,HND,2010,14.13
Hong Kong,HKG,1980,66.16
Hong Kong,HKG,1985,63.76
Hong Kong,HKG,1990,72.87
Hong Kong,HKG,1995,90.31
Hong Kong,HKG,2000,93.52
Hong Kong,HKG,2005,93.24
Hong Kong,HKG,2010,92.41
Hong Kong,HKG,2015,95.23
Hungary,HUN,1970,69.1
Hungary,HUN,1975,70.79
Hungary,HUN,1980,70.02
Hungary,HUN,1985,77.76
Hungary,HUN,1990,75.63
Hungary,HUN,1995,78.08
Hungary,HUN,2000,79.46
Hungary,HUN,2005,77.48
Hungary,HUN,2010,72.98
Hungary,HUN,2015,75.21
Iceland,ISL,1990,53.16
Iceland,ISL,1995,57.48
Iceland,ISL,2000,65.09
Iceland,ISL,2005,63.1
Iceland,ISL,2010,73.3
Iceland,ISL,2015,68.19
India,IND,2010,16.97
Indonesia,IDN,2000,25.42
Indonesia,IDN,2005,32.13
Indonesia,IDN,2010,27.64
Indonesia,IDN,2015,23.34
Iran,IRN,1970,20.37
Iran,IRN,1975,21.25
Iran,IRN,1980,22.18
Iran,IRN,1985,23.16
Iran,IRN,1990,24.21
Iran,IRN,1995,25.32
Iran,IRN,2000,26.16
Iran,IRN,2005,24.46
Iran,IRN,2010,29.45
Iran,IRN,2015,42.07
Ireland,IRL,1990,50.38
Ireland,IRL,1995,77.65
Ireland,IRL,2000,73.87
Ireland,IRL,2005,71.94
Ireland,IRL,2010,73.02
Ireland,IRL,2015,82.89
Israel,ISR,1990,70.23
Israel,ISR,1995,74.4
Israel,ISR,2000,52.41
Israel,ISR,2005,64.55
Israel,ISR,2010,64.94
Israel,ISR,2015,72.56
Italy,ITA,1970,51.51
Italy,ITA,1975,54.13
Italy,ITA,1985,57.22
Italy,ITA,1990,60.74
Italy,ITA,1995,61.71
Italy,ITA,2000,57.83
Italy,ITA,2005,66.38
Italy,ITA,2010,68.95
Italy,ITA,2015,71.41
Japan,JPN,1970,81.47
Japan,JPN,1975,82.52
Japan,JPN,1980,84.05
Japan,JPN,1985,86.69
Japan,JPN,1990,88.6
Japan,JPN,1995,92.29
Japan,JPN,2000,91.78
Japan,JPN,2005,90.63
Japan,JPN,2010,91.02
Japan,JPN,2015,93.15
Jordan,JOR,1990,0
Jordan,JOR,2000,35.87
Jordan,JOR,2005,39.78
Jordan,JOR,2010,40.83
Jordan,JOR,2015,26.07
Kazakhstan,KAZ,2000,68.79
Kazakhstan,KAZ,2005,79.19
Kazakhstan,KAZ,2010,50.88
Kazakhstan,KAZ,2015,79.93
Kenya,KEN,1995,37.37
Kenya,KEN,2000,32.2
Kenya,KEN,2005,20.41
Kuwait,KWT,2005,9.75
Kuwait,KWT,2010,8.61
Kuwait,KWT,2015,19.23
Kyrgyzstan,KGZ,2005,20.5
Kyrgyzstan,KGZ,2010,15.85
Latvia,LVA,1990,76.31
Latvia,LVA,1995,65.97
Latvia,LVA,2000,73.73
Latvia,LVA,2005,71.12
Latvia,LVA,2010,66.91
Latvia,LVA,2015,69.28
Lebanon,LBN,2005,39.4
Lebanon,LBN,2010,48.5
Lebanon,LBN,2015,49.84
Lesotho,LSO,2000,0
Lesotho,LSO,2005,4.67
Liberia,LBR,2000,0
Liechtenstein,LIE,2000,68.92
Liechtenstein,LIE,2005,75.24
Liechtenstein,LIE,2010,84.02
Lithuania,LTU,1995,52.68
Lithuania,LTU,2000,59.65
Lithuania,LTU,2005,74.85
Lithuania,LTU,2010,75.55
Lithuania,LTU,2015,77.87
Luxembourg,LUX,1980,63.39
Luxembourg,LUX,1985,49.04
Luxembourg,LUX,1990,40.96
Luxembourg,LUX,1995,47.84
Luxembourg,LUX,2000,43.92
Luxembourg,LUX,2005,63.22
Luxembourg,LUX,2010,66.94
Luxembourg,LUX,2015,65.42
Macao,MAC,2005,77.06
Macao,MAC,2010,81.9
Macao,MAC,2015,85.64
Macedonia,MKD,2000,43.42
Macedonia,MKD,2005,43.65
Macedonia,MKD,2010,43.94
Macedonia,MKD,2015,26.39
Madagascar,MDG,1995,26.83
Madagascar,MDG,2000,0
Madagascar,MDG,2005,24.45
Malawi,MWI,1995,0
Malawi,MWI,2000,0
Malawi,MWI,2005,5.47
Malaysia,MYS,2000,73.92
Malaysia,MYS,2005,68.98
Malaysia,MYS,2010,53.53
Malaysia,MYS,2015,57.26
Mali,MLI,2000,0
Malta,MLT,2005,68.32
Malta,MLT,2010,66.47
Malta,MLT,2015,69.92
Mauritius,MUS,1995,42.28
Mauritius,MUS,2000,37.64
Mauritius,MUS,2005,45.12
Mauritius,MUS,2010,43.37
Mexico,MEX,1995,12.37
Mexico,MEX,2000,16.26
Mexico,MEX,2005,32.71
Mexico,MEX,2010,38.92
Mexico,MEX,2015,40.57
Mexico (Nuevo Leo),,2005,43.95
Mexico (Nuevo Leo),,2010,48.1
Mexico (Nuevo Leo),,2015,55.2
Moldova,MDA,2000,51.59
Moldova,MDA,2005,60.42
Moldova,MDA,2010,31.09
Moldova,MDA,2015,42.01
Mongolia,MNG,2000,23.75
Mongolia,MNG,2005,40.56
Montenegro,MNE,2005,35.65
Montenegro,MNE,2010,32.44
Montenegro,MNE,2015,39.85
Morocco,MAR,2000,4.83
Morocco,MAR,2005,12.68
Morocco,MAR,2010,13.5
Morocco,MAR,2015,20.13
Mozambique,MOZ,1990,0
Mozambique,MOZ,2000,17.13
Mozambique,MOZ,2005,0.92
Namibia,NAM,1995,0
Namibia,NAM,2000,0
Namibia,NAM,2005,6.74
Nepal,NPL,2000,0
Netherlands,NLD,1970,50.23
Netherlands,NLD,1975,49.74
Netherlands,NLD,1980,49.16
Netherlands,NLD,1985,48.38
Netherlands,NLD,1990,47.77
Netherlands,NLD,1995,59.63
Netherlands,NLD,2000,70.17
Netherlands,NLD,2005,81.55
Netherlands,NLD,2010,83.09
Netherlands,NLD,2015,80.23
New Zealand,NZL,1970,76.71
New Zealand,NZL,1975,66.33
New Zealand,NZL,1980,50.01
New Zealand,NZL,1985,54.02
New Zealand,NZL,1990,43.02
New Zealand,NZL,1995,43.57
New Zealand,NZL,2000,52.82
New Zealand,NZL,2005,66.13
New Zealand,NZL,2010,65.06
New Zealand,NZL,2015,65.01
Nicaragua,NIC,2005,7.14
Nicaragua,NIC,2010,5.09
Nicaragua,NIC,2015,6.04
Niger,NER,2000,0
Nigeria,NGA,1980,23.72
Nigeria,NGA,1995,0
Northern Ireland,,2010,81.83
Northern Ireland,,2015,85.23
Norway,NOR,2000,64.99
Norway,NOR,2005,52.2
Norway,NOR,2010,60.6
Norway,NOR,2015,80.71
Oman,OMN,1995,15.51
Oman,OMN,2005,22.81
Oman,OMN,2010,20.14
Oman,OMN,2015,34.51
Pakistan,PAK,2000,19.83
Palestine,PSE,2005,26.66
Palestine,PSE,2010,25.86
Panama,PAN,2005,7.59
Panama,PAN,2010,13.87
Panama,PAN,2015,8.39
Paraguay,PRY,1995,2.39
Paraguay,PRY,2005,14.42
Paraguay,PRY,2010,13.36
Paraguay,PRY,2015,12.66
Peru,PER,1995,0
Peru,PER,2000,5.92
Peru,PER,2005,17.78
Peru,PER,2010,22.73
Peru,PER,2015,30.54
Philippines,PHL,2000,9.85
Philippines,PHL,2005,18.97
Poland,POL,2000,52.61
Poland,POL,2005,65.1
Poland,POL,2010,66.44
Poland,POL,2015,76.58
Portugal,PRT,1990,17.02
Portugal,PRT,1995,43.04
Portugal,PRT,2000,51.09
Portugal,PRT,2005,56.17
Portugal,PRT,2010,66.64
Portugal,PRT,2015,74.47
Puerto Rico,PRI,2015,20.06
Qatar,QAT,2005,12.27
Qatar,QAT,2010,6.02
Qatar,QAT,2015,43.35
Romania,ROU,1995,53.46
Romania,ROU,2000,54.2
Romania,ROU,2005,58.69
Romania,ROU,2010,55.09
Romania,ROU,2015,51.22
Russia,RUS,1990,86.75
Russia,RUS,1995,74.04
Russia,RUS,2000,75.07
Russia,RUS,2005,76.69
Russia,RUS,2010,80.96
Russia,RUS,2015,85.58
Saudi Arabia,SAU,2005,9.7
Saudi Arabia,SAU,2010,18.93
Saudi Arabia,SAU,2015,19.46
Scotland,,1970,46.58
Scotland,,1975,45.93
Scotland,,1980,46.18
Scotland,,1985,47.09
Scotland,,1990,48.04
Scotland,,1995,49.06
Scotland,,2000,54.87
Scotland,,2005,67.14
Senegal,SEN,1995,0
Senegal,SEN,2000,0
Senegal,SEN,2005,10.58
Serbia,SRB,2005,61.93
Serbia,SRB,2010,58.28
Serbia,SRB,2015,72.32
Seychelles,SYC,2000,30.1
Seychelles,SYC,2005,24.02
Singapore,SGP,1985,92.59
Singapore,SGP,1990,93.16
Singapore,SGP,1995,95.94
Singapore,SGP,2000,93.75
Singapore,SGP,2005,92.7
Singapore,SGP,2010,93.44
Singapore,SGP,2015,94.83
Slovakia,SVK,1995,78.5
Slovakia,SVK,2000,78.61
Slovakia,SVK,2005,65.23
Slovakia,SVK,2010,69.24
Slovakia,SVK,2015,65.22
Slovenia,SVN,1990,45.04
Slovenia,SVN,1995,80.61
Slovenia,SVN,2000,74.35
Slovenia,SVN,2005,66.6
Slovenia,SVN,2010,73.58
Slovenia,SVN,2015,79.01
South Africa,ZAF,1995,23.96
South Africa,ZAF,2000,10.19
South Africa,ZAF,2005,10.28
South Africa,ZAF,2010,9.99
South Africa,ZAF,2015,19.46
South Korea,KOR,1985,75.01
South Korea,KOR,1990,83.37
South Korea,KOR,1995,92.69
South Korea,KOR,2000,94.01
South Korea,KOR,2005,93.79
South Korea,KOR,2010,94.75
South Korea,KOR,2015,95.32
Spain,ESP,1990,64.17
Spain,ESP,1995,58.37
Spain,ESP,2000,55.72
Spain,ESP,2005,59.98
Spain,ESP,2010,63.85
Spain,ESP,2015,69.76
Spain (Basque Country),,2005,69.78
Spain (regions),,2015,68.73
Sri Lanka,LKA,2000,0
Swaziland,SWZ,1980,17.95
Swaziland,SWZ,2000,13.7
Swaziland,SWZ,2005,8.92
Sweden,SWE,1970,66.77
Sweden,SWE,1975,71.75
Sweden,SWE,1980,46.7
Sweden,SWE,1985,53.95
Sweden,SWE,1990,61.34
Sweden,SWE,1995,80.03
Sweden,SWE,2000,77.16
Sweden,SWE,2005,71.21
Sweden,SWE,2010,69.78
Sweden,SWE,2015,74.7
Switzerland,CHE,1990,88.66
Switzerland,CHE,1995,89.21
Switzerland,CHE,2000,73.88
Switzerland,CHE,2005,76.54
Switzerland,CHE,2010,80.79
Switzerland,CHE,2015,77.11
Syria,SYR,2005,15.3
Syria,SYR,2010,26.77
Taiwan,TWN,1990,94.71
Taiwan,TWN,2000,86.3
Taiwan,TWN,2005,90.62
Taiwan,TWN,2010,91.69
Taiwan,TWN,2015,92.41
Tanzania,TZA,2000,17.37
Tanzania,TZA,2005,21.26
Thailand,THA,1970,57.05
Thailand,THA,1975,59.19
Thailand,THA,1980,53.59
Thailand,THA,1985,56.84
Thailand,THA,1990,60.39
Thailand,THA,1995,68.69
Thailand,THA,2000,55.04
Thailand,THA,2005,53.04
Thailand,THA,2010,48.04
Thailand,THA,2015,41.87
Togo,TGO,2000,3.57
Togo,TGO,2005,7.18
Togo,TGO,2010,15.23
Trinidad and Tobago,TTO,2010,38.86
Trinidad and Tobago,TTO,2015,40.61
Tunisia,TUN,2000,39.8
Tunisia,TUN,2005,15.4
Tunisia,TUN,2010,18.67
Tunisia,TUN,2015,20.59
Turkey,TUR,2000,32.98
Turkey,TUR,2005,39.28
Turkey,TUR,2010,47.81
Turkey,TUR,2015,55.8
Uganda,UGA,2000,13.47
Uganda,UGA,2005,5.76
Ukraine,UKR,2005,55.26
Ukraine,UKR,2010,58.79
United Arab Emirates,ARE,2010,35.95
United Arab Emirates,ARE,2015,51.37
United Arab Emirates (Abu Dhabi),,2010,35.98
United Arab Emirates (Abu Dhabi),,2015,42.3
United Arab Emirates (Dubai),,2005,50.24
United Arab Emirates (Dubai),,2010,52.15
United Arab Emirates (Dubai),,2015,71.51
United Kingdom,GBR,1990,70.39
United Kingdom,GBR,2000,75.2
United Kingdom,GBR,2005,64.43
United Kingdom,GBR,2010,69.52
United Kingdom,GBR,2015,69.98
United States,USA,1970,56.77
United States,USA,1975,57.55
United States,USA,1980,59.17
United States,USA,1985,59.07
United States,USA,1990,63.08
United States,USA,1995,70.85
United States,USA,2000,72.39
United States,USA,2005,74.34
United States,USA,2010,76.99
United States,USA,2015,78.13
United States (Indiana State),,2005,78.26
United States (Massachusetts),,2005,87.47
United States (Massachusetts),,2015,74.44
United States (Minnesota),,2005,85.13
United States (North Carolina),,2015,62.1
Uruguay,URY,2005,47.58
Uruguay,URY,2010,47.03
Uruguay,URY,2015,43.19
Venezuela,VEN,1995,0
Venezuela,VEN,2010,35.17
Vietnam,VNM,2015,71.98
Yemen,YEM,2005,8.59
Yemen,YEM,2010,15.06
Zambia,ZMB,1995,0
Zambia,ZMB,2000,0
Zambia,ZMB,2005,7.05
Zanzibar,OWID_ZAN,1995,0
Zanzibar,OWID_ZAN,2000,2.47
Zanzibar,OWID_ZAN,2005,1.87
Zimbabwe,ZWE,2005,14.58
