Entity,Code,Year,15.4.2 - Mountain Green Cover Index - ER_MTN_GRNCVI (%)
Jamaica,JAM,2017,85.576664
Japan,JPN,2017,97.121212
Jordan,JOR,2017,33.391675
Kazakhstan,KAZ,2017,74.601749
Kenya,KEN,2017,92.625435
Kyrgyzstan,KGZ,2017,23.050263
Landlocked developing countries,,2017,71.99969
Laos,LAO,2017,99.244713
Latin America and the Caribbean	,,2017,82.771444
Least Developed Countries (LDCs),,2017,82.392854
Lebanon,LBN,2017,84.449982
Lesotho,LSO,2017,91.818182
Liberia,LBR,2017,100
Libya,LBY,2017,21.441958
Luxembourg,LUX,2017,100
Macedonia,MKD,2017,96.467466
Madagascar,MDG,2017,94.122102
Malawi,MWI,2017,90.789474
Malaysia,MYS,2017,99.28401
Mali,MLI,2017,77.045349
Mauritania,MRT,2017,19.944625
Melanesia,OWID_MNS,2017,98.255128
Middle Africa,,2017,84.034307
Mongolia,MNG,2017,64.180175
Montenegro,MNE,2017,94
Morocco,MAR,2017,62.431451
Mozambique,MOZ,2017,96.378906
Myanmar,MMR,2017,98.519096
Namibia,NAM,2017,78.19377
Nepal,NPL,2017,77.089447
New Caledonia,NCL,2017,100
New Zealand,NZL,2017,87.744227
Nicaragua,NIC,2017,98.275862
Niger,NER,2017,10.833635
Nigeria,NGA,2017,92.746129
North Korea,PRK,2017,97.5
Northern Africa,,2017,46.511051
Northern Africa and Western Asia,,2017,60.28993
Northern America,,2017,69.868307
Northern Europe,,2017,53.592527
Norway,NOR,2017,58.660502
Oceania (exc. Australia and New Zealand),,2017,98.255128
Oman,OMN,2017,21.581746
Pakistan,PAK,2017,60.206565
Palestine,PSE,2017,80.952381
Panama,PAN,2017,98.989899
Papua New Guinea,PNG,2017,98.343236
Paraguay,PRY,2017,100
Philippines,PHL,2017,98.75
Poland,POL,2017,93.333333
Puerto Rico,PRI,2017,83.333333
Reunion,REU,2017,77.777778
Romania,ROU,2017,96.832533
Russia,RUS,2017,83.215816
Rwanda,RWA,2017,78.26087
Sao Tome and Principe,STP,2017,100
Saudi Arabia,SAU,2017,19.849289
Senegal,SEN,2017,100
Serbia,SRB,2017,97.687861
Sierra Leone,SLE,2017,100
Slovakia,SVK,2017,98.058252
Solomon Islands,SLB,2017,100
Somalia,SOM,2017,66.591365
South Africa,ZAF,2017,95.544282
South America,,2017,78.368076
South Eastern Asia,,2017,98.2276
South Georgia and the South Sandwich Islands,SGS,2017,0
South Korea,KOR,2017,96.268657
South Sudan,SSD,2017,92.695301
Southern Africa,,2017,91.380636
Southern Asia,,2017,68.925218
Southern Europe,,2017,93.231642
Sri Lanka,LKA,2017,94.117647
Sub-Saharan Africa,,2017,89.526629
Sudan,SDN,2017,43.260785
Suriname,SUR,2017,100
Svalbard and Jan Mayen,SJM,2017,10
Swaziland,SWZ,2017,100
Switzerland,CHE,2017,67.857143
Syria,SYR,2017,63.892113
Tajikistan,TJK,2017,20.841777
Tanzania,TZA,2017,97.467355
Thailand,THA,2017,98.217469
Timor,TLS,2017,91.873342
Togo,TGO,2017,91.304348
Trinidad and Tobago,TTO,2017,100
Tunisia,TUN,2017,84.037955
Turkey,TUR,2017,90.850283
Turkmenistan,TKM,2017,61.538462
Uganda,UGA,2017,98.157164
Ukraine,UKR,2017,97.794927
United Arab Emirates,ARE,2017,16.666667
United Kingdom,GBR,2017,75.862069
United States,USA,2017,86.61005
Uruguay,URY,2017,100
Uzbekistan,UZB,2017,54.811319
Vanuatu,VUT,2017,90
Venezuela,VEN,2017,97.763488
Vietnam,VNM,2017,98.65643
Western Africa,,2017,83.252902
Western Asia,,2017,67.640522
Western Sahara,ESH,2017,100
Yemen,YEM,2017,34.763479
Zambia,ZMB,2017,100
Zimbabwe,ZWE,2017,98.121587
