Entity,Code,Year,Female (% of total non-agricultural employment),Male (% of total non-agricultural employment),Both sexes (% of total non-agricultural employment)
Bolivia,BOL,2017,79.7200012207031,77.9700012207031,78.7200012207031
Brazil,BRA,2009,43.8300018310547,40.4799995422363,41.9799995422363
Brazil,BRA,2011,38.6100006103516,38.4900016784668,38.5400009155273
Brazil,BRA,2012,37.8699989318848,38.5299987792969,38.2400016784668
Brazil,BRA,2013,36.1599998474121,37.7700004577637,37.0499992370605
Brazil,BRA,2014,36.9700012207031,38.4599990844727,37.7900009155273
Brazil,BRA,2015,36.9099998474121,39.3699989318848,38.2700004577637
Brunei,BRN,2014,30.25,35.0299987792969,32.9900016784668
Cambodia,KHM,2012,93.7900009155273,86.9199981689453,90.1999969482422
Cameroon,CMR,2007,86.620002746582,73.870002746582,79.2099990844727
Chile,CHL,2010,44.4700012207031,39.8899993896484,41.7799987792969
Chile,CHL,2011,44.4799995422363,38.3800010681152,40.9300003051758
Chile,CHL,2012,41.9599990844727,36.2200012207031,38.6500015258789
Chile,CHL,2013,40.6199989318848,35.689998626709,37.7900009155273
Chile,CHL,2014,41.439998626709,37.0099983215332,38.9199981689453
Chile,CHL,2015,40.8300018310547,37.3800010681152,38.8600006103516
Chile,CHL,2016,41.1300010681152,37.8800010681152,39.2700004577637
Chile,CHL,2017,41.6800003051758,40.7099990844727,41.1300010681152
Colombia,COL,2010,65.1800003051758,59.8199996948242,62.2999992370605
Colombia,COL,2011,64.6699981689453,58.9599990844727,61.6100006103516
Colombia,COL,2012,64.5100021362305,58.0499992370605,61.0499992370605
Colombia,COL,2013,62.4799995422363,56.7400016784668,59.4099998474121
Colombia,COL,2014,60.8800010681152,54.939998626709,57.7000007629395
Colombia,COL,2015,60.3899993896484,55,57.5
Colombia,COL,2016,59.1199989318848,54.439998626709,56.6100006103516
Colombia,COL,2017,58.1100006103516,53.7700004577637,55.7799987792969
Costa Rica,CRI,2011,37.2000007629395,29.8899993896484,32.7599983215332
Costa Rica,CRI,2012,41.4799995422363,30.9200000762939,35.2999992370605
Costa Rica,CRI,2013,43.6300010681152,32.7799987792969,37.2900009155273
Costa Rica,CRI,2014,42.8699989318848,32.7099990844727,36.8899993896484
Costa Rica,CRI,2015,43.6500015258789,32.9500007629395,37.3899993896484
Costa Rica,CRI,2016,39.7099990844727,33.1599998474121,35.7799987792969
Costa Rica,CRI,2017,40.0400009155273,32.3899993896484,35.4500007629395
Cote d'Ivoire,CIV,2012,95.0199966430664,89.4899978637695,92.1500015258789
Cote d'Ivoire,CIV,2013,98.1500015258789,94.370002746582,96.2099990844727
Cote d'Ivoire,CIV,2016,93.8000030517578,82.3600006103516,87.6999969482422
Democratic Republic of Congo,COD,2005,97.879997253418,95.3199996948242,96.25
Dominican Republic,DOM,2005,67.9199981689453,66.8099975585938,67.2399978637695
Dominican Republic,DOM,2006,63.3199996948242,61.4700012207031,62.2000007629395
Dominican Republic,DOM,2007,56.3400001525879,52.25,53.8600006103516
Dominican Republic,DOM,2008,57.6500015258789,52.5,54.5699996948242
Dominican Republic,DOM,2010,53.6699981689453,48.4900016784668,50.5999984741211
Dominican Republic,DOM,2011,52.5400009155273,50.939998626709,51.6100006103516
Dominican Republic,DOM,2012,54.6500015258789,52.1300010681152,53.1699981689453
Dominican Republic,DOM,2013,55,51.5699996948242,52.9900016784668
Dominican Republic,DOM,2014,52.9799995422363,50.8600006103516,51.7299995422363
Dominican Republic,DOM,2015,52.1599998474121,53.3699989318848,52.8600006103516
Dominican Republic,DOM,2016,52.9300003051758,53.4000015258789,53.2000007629395
Ecuador,ECU,2001,77.1399993896484,76.3099975585938,76.6500015258789
Ecuador,ECU,2003,76.3600006103516,74.6699981689453,75.370002746582
Ecuador,ECU,2004,76.5999984741211,75.1600036621094,75.7699966430664
Ecuador,ECU,2005,76.5999984741211,75.0199966430664,75.6800003051758
Ecuador,ECU,2006,76.629997253418,75.1699981689453,75.7799987792969
Ecuador,ECU,2007,76.6100006103516,74.6500015258789,75.4899978637695
Ecuador,ECU,2008,76.1399993896484,72.8300018310547,74.2600021362305
Ecuador,ECU,2009,72.6600036621094,70.3600006103516,71.3600006103516
Ecuador,ECU,2010,68.2300033569336,67.9199981689453,68.0500030517578
Ecuador,ECU,2011,65.5,64.0800018310547,64.6900024414063
Ecuador,ECU,2012,63.8499984741211,62.2799987792969,62.9599990844727
Ecuador,ECU,2013,62.5200004577637,60.9900016784668,61.6399993896484
Ecuador,ECU,2014,60.6500015258789,59.8400001525879,60.1800003051758
Ecuador,ECU,2015,62.0900001525879,59.6300010681152,60.6800003051758
Ecuador,ECU,2016,64.8199996948242,62.25,63.3699989318848
Ecuador,ECU,2017,67.0800018310547,63.1199989318848,64.8499984741211
Egypt,EGY,2008,20.1499996185303,41.7000007629395,38.2999992370605
Egypt,EGY,2009,21.1100006103516,42.7700004577637,39.439998626709
Egypt,EGY,2010,25.4599990844727,46.3800010681152,43.1100006103516
Egypt,EGY,2011,22.7800006866455,47.7999992370605,43.8300018310547
Egypt,EGY,2012,22.9200000762939,45.4300003051758,41.6199989318848
Egypt,EGY,2013,24.2800006866455,46.4500007629395,42.8600006103516
Egypt,EGY,2015,30.4899997711182,50.5200004577637,47.2000007629395
Egypt,EGY,2016,35.310001373291,53.810001373291,50.5699996948242
El Salvador,SLV,2010,71.8300018310547,59.7400016784668,65.8300018310547
El Salvador,SLV,2011,71.7200012207031,59.689998626709,65.6500015258789
El Salvador,SLV,2012,72.25,59.75,66.0199966430664
El Salvador,SLV,2013,72.0400009155273,58.2200012207031,65.1999969482422
El Salvador,SLV,2014,70,55.6599998474121,62.8499984741211
El Salvador,SLV,2015,69.3399963378906,56.7900009155273,62.9099998474121
El Salvador,SLV,2016,71.870002746582,54.5499992370605,63.1500015258789
Gambia,GMB,2012,77.6100006103516,62.0200004577637,68.1900024414063
Ghana,GHA,2006,93.5599975585938,79.0199966430664,87.1100006103516
Ghana,GHA,2013,91.8499984741211,78.7200012207031,85.9499969482422
Ghana,GHA,2015,88.3199996948242,75.879997253418,83.1800003051758
Guatemala,GTM,2003,82.6999969482422,69.2900009155273,75.5800018310547
Guatemala,GTM,2004,81.620002746582,69.0100021362305,74.9800033569336
Guatemala,GTM,2010,81.120002746582,71.6999969482422,76.120002746582
Guatemala,GTM,2011,80.2300033569336,70.5199966430664,74.9100036621094
Guatemala,GTM,2012,82.4000015258789,72.5800018310547,77.2399978637695
Guatemala,GTM,2013,79.0999984741211,71.5299987792969,75.0299987792969
Guatemala,GTM,2014,77.3099975585938,67.0800018310547,71.7399978637695
Guatemala,GTM,2015,76.5699996948242,69.8000030517578,72.7699966430664
Guatemala,GTM,2016,79.0699996948242,69.0699996948242,73.5
Honduras,HND,2006,65.0500030517578,62.0900001525879,63.5099983215332
Honduras,HND,2007,63.4500007629395,60.4799995422363,61.8800010681152
Honduras,HND,2008,71.9700012207031,68.1900024414063,70.0299987792969
Honduras,HND,2009,72.0100021362305,66.2600021362305,69.0899963378906
Honduras,HND,2010,74.4400024414063,68.2099990844727,71.3199996948242
Honduras,HND,2011,75.3199996948242,71.0299987792969,73.1399993896484
Honduras,HND,2012,77.7900009155273,72.75,75.2200012207031
Honduras,HND,2013,78.0500030517578,72.5400009155273,75.3199996948242
Honduras,HND,2014,76.129997253418,70.620002746582,73.3099975585938
Honduras,HND,2015,77.3199996948242,71.120002746582,74.2200012207031
Honduras,HND,2016,77.120002746582,70.6800003051758,73.8399963378906
India,IND,2010,71.6699981689453,76.0100021362305,75.3000030517578
India,IND,2012,70.3000030517578,75.7300033569336,74.8199996948242
Indonesia,IDN,2016,69.3600006103516,71.1399993896484,70.4400024414063
Indonesia,IDN,2017,80.2900009155273,77.379997253418,78.5500030517578
Liberia,LBR,2010,86.3399963378906,68.8300018310547,77.5800018310547
Maldives,MDV,2016,50.1800003051758,44.7599983215332,47.0299987792969
Mali,MLI,2014,95.75,84.8899993896484,89.9000015258789
Mali,MLI,2015,96.9300003051758,87.9499969482422,92.0899963378906
Mauritius,MUS,2012,47.7700004577637,50.8499984741211,49.7400016784668
Mauritius,MUS,2013,49.2900009155273,52.8199996948242,51.5200004577637
Mauritius,MUS,2014,53.560001373291,55.4099998474121,54.7200012207031
Mauritius,MUS,2015,51.560001373291,54.4199981689453,53.3300018310547
Mauritius,MUS,2016,51.0699996948242,53.939998626709,52.8699989318848
Mongolia,MNG,2008,24.1299991607666,30.2600002288818,27.2299995422363
Mongolia,MNG,2009,20.5400009155273,29.8099994659424,25.2800006866455
Mongolia,MNG,2010,25.2299995422363,33.2700004577637,29.3799991607666
Mongolia,MNG,2011,32.2200012207031,38.8499984741211,35.689998626709
Mongolia,MNG,2012,34.4000015258789,39.3600006103516,36.9599990844727
Mongolia,MNG,2013,34.7099990844727,41.6500015258789,38.2900009155273
Mongolia,MNG,2014,26.8199996948242,35.3600006103516,31.2199993133545
Mongolia,MNG,2015,26.3299999237061,35.2900009155273,30.9500007629395
Mongolia,MNG,2016,26.9400005340576,33.0900001525879,30.0799999237061
Mozambique,MOZ,2015,92.25,83.8600006103516,86.7099990844727
Myanmar,MMR,2015,82.6800003051758,82.379997253418,82.5100021362305
Myanmar,MMR,2017,79.1699981689453,77.1900024414063,78.0800018310547
Namibia,NAM,2012,44.7999992370605,38.4599990844727,41.5099983215332
Namibia,NAM,2013,49.2799987792969,43.2000007629395,46.2599983215332
Namibia,NAM,2014,47.4900016784668,40.7900009155273,43.9799995422363
Namibia,NAM,2016,61.8600006103516,60.2900009155273,61.0699996948242
Nepal,NPL,2008,99.4400024414063,98.8199996948242,99.0100021362305
Nicaragua,NIC,2012,78.6900024414063,70.6600036621094,74.9100036621094
Niger,NER,2011,95.1900024414063,76.4499969482422,86.3600006103516
Pakistan,PAK,2009,64.0599975585938,67.4199981689453,67.0899963378906
Pakistan,PAK,2010,65.9100036621094,67.75,67.5699996948242
Pakistan,PAK,2011,66.3499984741211,69.5500030517578,69.2300033569336
Pakistan,PAK,2013,65.4100036621094,69.3399963378906,68.9700012207031
Pakistan,PAK,2014,71.9199981689453,72,71.9899978637695
Pakistan,PAK,2015,73.1699981689453,70.9899978637695,71.2300033569336
Palestine,PSE,2010,38.8199996948242,53.9000015258789,51.6199989318848
Palestine,PSE,2011,40.6199989318848,52.189998626709,50.4199981689453
Palestine,PSE,2012,40.1599998474121,53.0400009155273,51.1300010681152
Palestine,PSE,2013,43.1699981689453,53.8800010681152,52.310001373291
Palestine,PSE,2014,46.7999992370605,51.8400001525879,51.060001373291
Palestine,PSE,2015,48.2999992370605,53.2900009155273,52.4900016784668
Palestine,PSE,2016,45.5499992370605,52.3400001525879,51.2900009155273
Palestine,PSE,2017,46,53,51.9599990844727
Panama,PAN,2011,37.9000015258789,39.6100006103516,38.8800010681152
Panama,PAN,2012,38.7099990844727,39.1599998474121,38.9700012207031
Panama,PAN,2013,40.0699996948242,39.8199996948242,39.9300003051758
Panama,PAN,2014,39.3699989318848,42.0299987792969,40.8800010681152
Panama,PAN,2015,40.1699981689453,42.0400009155273,41.2200012207031
Panama,PAN,2016,40.5099983215332,41.7599983215332,41.2099990844727
Paraguay,PRY,2008,73.5800018310547,69.3899993896484,71.1600036621094
Paraguay,PRY,2009,73.9199981689453,67.0500030517578,70.0199966430664
Paraguay,PRY,2010,74.2399978637695,66.5100021362305,69.7799987792969
Paraguay,PRY,2011,69.0500030517578,63.0299987792969,65.6500015258789
Paraguay,PRY,2012,68.8199996948242,63.810001373291,66
Paraguay,PRY,2013,67.4000015258789,60.9700012207031,63.9000015258789
Paraguay,PRY,2014,66.0100021362305,61.5699996948242,63.5
Paraguay,PRY,2015,66.7399978637695,62.8199996948242,64.5599975585938
Paraguay,PRY,2016,68.3199996948242,63.8899993896484,65.8099975585938
Paraguay,PRY,2017,68.0699996948242,63.4300003051758,65.4199981689453
Peru,PER,2004,90.8499984741211,83.7699966430664,87.0500030517578
Peru,PER,2005,83.9499969482422,70.7600021362305,76.9300003051758
Peru,PER,2006,82.5199966430664,67.7200012207031,74.6699981689453
Peru,PER,2007,79.2399978637695,65.0400009155273,71.8099975585938
Peru,PER,2008,79.6900024414063,64.5100021362305,71.7699966430664
Peru,PER,2009,77.9899978637695,62.4900016784668,69.8499984741211
Peru,PER,2010,78.2200012207031,62.3899993896484,69.9300003051758
Peru,PER,2011,75.4100036621094,62.0999984741211,68.4599990844727
Peru,PER,2012,69.7900009155273,55.060001373291,62.0499992370605
Peru,PER,2013,68.8899993896484,54.1800003051758,61.1199989318848
Peru,PER,2014,66.7600021362305,53.1300010681152,59.6300010681152
Peru,PER,2015,66.9000015258789,53.9799995422363,60.1100006103516
Peru,PER,2016,65.3600006103516,52.060001373291,58.3800010681152
Peru,PER,2017,66.0800018310547,52.439998626709,59.0099983215332
Samoa,WSM,2012,48,51.5499992370605,50.2200012207031
Senegal,SEN,2015,93.4800033569336,88.1600036621094,90.4400024414063
Serbia,SRB,2010,6.1399998664856,10.0299997329712,8.34000015258789
Serbia,SRB,2011,6.26000022888184,10.0600004196167,8.42000007629395
Serbia,SRB,2012,5.8899998664856,9.0600004196167,7.69999980926514
Serbia,SRB,2013,8.21000003814697,11.4099998474121,10.0299997329712
Serbia,SRB,2014,11.289999961853,14.4399995803833,13.0500001907349
Serbia,SRB,2015,11.6700000762939,15.3299999237061,13.6899995803833
Serbia,SRB,2016,14.2200002670288,17.7800006866455,16.1800003051758
Serbia,SRB,2017,14.4799995422363,17.4599990844727,16.1100006103516
South Africa,ZAF,2008,39.3199996948242,31.8799991607666,35.1300010681152
South Africa,ZAF,2009,37.5800018310547,30.1599998474121,33.439998626709
South Africa,ZAF,2010,37.2900009155273,31.2299995422363,33.8699989318848
South Africa,ZAF,2011,35.6199989318848,30.3799991607666,32.6800003051758
South Africa,ZAF,2012,34.5200004577637,29.4500007629395,31.6800003051758
South Africa,ZAF,2013,35.5999984741211,29.7399997711182,32.3600006103516
South Africa,ZAF,2014,35.5200004577637,29.75,32.3199996948242
South Africa,ZAF,2015,36.939998626709,32.7700004577637,34.6199989318848
South Africa,ZAF,2016,36.1500015258789,32.7400016784668,34.25
South Africa,ZAF,2017,36.8600006103516,32.5400009155273,34.4700012207031
Swaziland,SWZ,2016,56.8800010681152,49.9700012207031,53.4000015258789
Tanzania,TZA,2014,76.1100006103516,68.25,71.7900009155273
Timor,TLS,2010,69.8199996948242,58.8499984741211,62.3400001525879
Timor,TLS,2013,57.1699981689453,52.1300010681152,53.7000007629395
Uganda,UGA,2012,86.1699981689453,81.25,83.2399978637695
Uruguay,URY,2006,42.5900001525879,42.2700004577637,42.4199981689453
Uruguay,URY,2007,42.2700004577637,41.8499984741211,42.0400009155273
Uruguay,URY,2008,41.1300010681152,40.4900016784668,40.7999992370605
Uruguay,URY,2009,40.2400016784668,39.5,39.8499984741211
Uruguay,URY,2010,39.6199989318848,38.2599983215332,38.9099998474121
Uruguay,URY,2011,36.0900001525879,35.5299987792969,35.7900009155273
Uruguay,URY,2012,33.9199981689453,34.3699989318848,34.1599998474121
Uruguay,URY,2013,32.5099983215332,33.8199996948242,33.2000007629395
Uruguay,URY,2014,23.2000007629395,22.7199993133545,22.9500007629395
Uruguay,URY,2015,23.2700004577637,23.6700000762939,23.4799995422363
Uruguay,URY,2016,23.5900001525879,24.5300006866455,24.0900001525879
Uruguay,URY,2017,22.6100006103516,24.5699996948242,23.6399993896484
Vietnam,VNM,2007,64.6800003051758,66.4700012207031,65.629997253418
Vietnam,VNM,2009,63.9500007629395,67.5500030517578,65.879997253418
Vietnam,VNM,2011,96.6500015258789,96.9400024414063,96.8099975585938
Vietnam,VNM,2012,93.0400009155273,93.7300033569336,93.4100036621094
Vietnam,VNM,2013,59.6699981689453,64.4400024414063,62.2000007629395
Vietnam,VNM,2014,57.9599990844727,63.0200004577637,60.6399993896484
Vietnam,VNM,2015,53.4300003051758,60.4500007629395,57.1300010681152
Vietnam,VNM,2016,52.4799995422363,59.7799987792969,56.3400001525879
Vietnam,VNM,2017,51.5,60.1300010681152,56.060001373291
Yemen,YEM,2014,63.3499984741211,68.6600036621094,68.4100036621094
Zimbabwe,ZWE,2011,72.9100036621094,55.060001373291,62.5
