Entity,Code,Year,Variable:% Recycling - MUNW (%)
France,FRA,2008,17.203
France,FRA,2009,17.401
France,FRA,2010,17.788
France,FRA,2011,20.617
France,FRA,2012,21.104
France,FRA,2013,21.532
France,FRA,2014,22.063
France,FRA,2015,22.255
Germany,DEU,1993,23.334
Germany,DEU,1995,26.299
Germany,DEU,1996,28.629
Germany,DEU,1997,30.451
Germany,DEU,1998,31.15
Germany,DEU,1999,37.993
Germany,DEU,2000,38.144
Germany,DEU,2001,37.699
Germany,DEU,2002,41.718
Germany,DEU,2003,43.176
Germany,DEU,2004,40.441
Germany,DEU,2005,44.537
Germany,DEU,2006,45.653
Germany,DEU,2007,47.1
Germany,DEU,2008,47.04
Germany,DEU,2009,45.814
Germany,DEU,2010,45.65
Germany,DEU,2011,46.052
Germany,DEU,2012,47.421
Germany,DEU,2013,46.584
Germany,DEU,2014,47.556
Germany,DEU,2015,47.827
Greece,GRC,1990,5.957
Greece,GRC,1992,7.068
Greece,GRC,1995,5.587
Greece,GRC,1996,6.273
Greece,GRC,1997,8.401
Greece,GRC,1998,8.116
Greece,GRC,1999,8.117
Greece,GRC,2000,8.073
Greece,GRC,2001,8.116
Greece,GRC,2002,8.082
Greece,GRC,2003,8.11
Greece,GRC,2004,10.06
Greece,GRC,2005,11.161
Greece,GRC,2006,11.183
Greece,GRC,2007,18.087
Greece,GRC,2008,15.695
Greece,GRC,2009,18.161
Greece,GRC,2010,14.737
Greece,GRC,2011,14.894
Greece,GRC,2012,15.56
Hungary,HUN,1990,0
Hungary,HUN,1994,0
Hungary,HUN,1995,1.512
Hungary,HUN,1996,1.458
Hungary,HUN,1997,1.43
Hungary,HUN,1998,1.407
Hungary,HUN,1999,1.372
Hungary,HUN,2000,1.354
Hungary,HUN,2001,1.381
Hungary,HUN,2002,1.586
Hungary,HUN,2003,2.673
Hungary,HUN,2004,11.006
Hungary,HUN,2005,8.749
Hungary,HUN,2006,9.249
Hungary,HUN,2007,11.226
Hungary,HUN,2008,13.714
Hungary,HUN,2009,13.445
Hungary,HUN,2010,15.894
Hungary,HUN,2011,17.17
Hungary,HUN,2012,20.863
Hungary,HUN,2013,21.375
Hungary,HUN,2014,24.859
Hungary,HUN,2015,25.957
Iceland,ISL,1995,5.858
Iceland,ISL,1996,7.579
Iceland,ISL,1997,6.78
Iceland,ISL,1998,8.998
Iceland,ISL,1999,11.067
Iceland,ISL,2000,12.639
Iceland,ISL,2001,13.662
Iceland,ISL,2002,14.1
Iceland,ISL,2003,14.388
Iceland,ISL,2008,17.305
Iceland,ISL,2009,15.645
Iceland,ISL,2010,15.588
Iceland,ISL,2011,20.291
Iceland,ISL,2012,23.849
Iceland,ISL,2013,25.036
Iceland,ISL,2014,21.307
Ireland,IRL,1995,8
Ireland,IRL,1996,7.888
Ireland,IRL,1997,8.554
Ireland,IRL,1998,8.328
Ireland,IRL,1999,9.602
Ireland,IRL,2000,10.736
Ireland,IRL,2001,11.934
Ireland,IRL,2002,18.784
Ireland,IRL,2003,25.054
Ireland,IRL,2004,30.903
Ireland,IRL,2005,32.313
Ireland,IRL,2006,34.33
Ireland,IRL,2007,34.057
Ireland,IRL,2008,31.472
Ireland,IRL,2009,31.935
Ireland,IRL,2010,34.712
Ireland,IRL,2011,33.659
Ireland,IRL,2012,33.963
Israel,ISR,2014,14.575
Israel,ISR,2015,15.68
Italy,ITA,1995,3.495
Italy,ITA,1996,4.897
Italy,ITA,1997,7.349
Italy,ITA,1998,8.705
Italy,ITA,1999,9.505
Italy,ITA,2000,10.213
Italy,ITA,2001,12.697
Italy,ITA,2002,10.553
Italy,ITA,2003,11.974
Italy,ITA,2004,13.179
Italy,ITA,2005,13.737
Italy,ITA,2006,13.702
Italy,ITA,2007,19.04
Italy,ITA,2008,16.435
Italy,ITA,2009,20.248
Italy,ITA,2010,20.02
Italy,ITA,2011,23.887
Italy,ITA,2012,24.95
Italy,ITA,2013,25.703
Italy,ITA,2014,27.816
Italy,ITA,2015,29.136
Japan,JPN,1990,5.309
Japan,JPN,1991,6.063
Japan,JPN,1992,7.322
Japan,JPN,1993,8.029
Japan,JPN,1994,9.075
Japan,JPN,1995,9.767
Japan,JPN,1996,10.328
Japan,JPN,1997,11.038
Japan,JPN,1998,12.104
Japan,JPN,1999,13.072
Japan,JPN,2000,14.329
Japan,JPN,2001,15.05
Japan,JPN,2002,15.922
Japan,JPN,2003,16.843
Japan,JPN,2004,17.592
Japan,JPN,2005,19.007
Japan,JPN,2006,19.596
Japan,JPN,2007,20.294
Japan,JPN,2008,19.321
Japan,JPN,2009,18.854
Japan,JPN,2010,19.072
Japan,JPN,2011,20.34
Japan,JPN,2012,20.261
Japan,JPN,2013,20.421
Japan,JPN,2014,20.542
Korea,,1990,4.645
Korea,,1991,7.356
Korea,,1992,7.873
Korea,,1993,11.492
Korea,,1994,15.36
Korea,,1995,23.007
Korea,,1996,26.207
Korea,,1997,29.036
Korea,,1998,34.917
Korea,,1999,38.133
Korea,,2000,41.274
Korea,,2001,43.139
Korea,,2002,43.983
Korea,,2003,45.211
Korea,,2004,49.17
Korea,,2005,56.289
Korea,,2008,58.382
Korea,,2009,59.803
Korea,,2010,59.929
Korea,,2011,58.295
Korea,,2012,58.364
Korea,,2013,58.653
Korea,,2014,58.104
Latvia,LVA,2001,0
Latvia,LVA,2002,0.463
Latvia,LVA,2003,2.253
Latvia,LVA,2004,3.814
Latvia,LVA,2005,4.414
Latvia,LVA,2006,4.09
Latvia,LVA,2007,4.904
Latvia,LVA,2008,5.653
Latvia,LVA,2009,7.375
Latvia,LVA,2010,8.768
Latvia,LVA,2011,10.337
Latvia,LVA,2012,13.637
Latvia,LVA,2013,20.199
Latvia,LVA,2014,23.91
Latvia,LVA,2015,25.173
Lithuania,LTU,1995,0
Lithuania,LTU,1996,0
Lithuania,LTU,1997,0
Lithuania,LTU,1998,0
Lithuania,LTU,1999,0
Lithuania,LTU,2000,0
Lithuania,LTU,2001,0
Lithuania,LTU,2002,0
Lithuania,LTU,2003,0
Lithuania,LTU,2004,1.163
Lithuania,LTU,2005,1.167
Lithuania,LTU,2006,1.165
Lithuania,LTU,2007,2.267
Lithuania,LTU,2008,3.081
Lithuania,LTU,2009,3.235
Lithuania,LTU,2010,3.796
Lithuania,LTU,2011,18.656
Lithuania,LTU,2012,20.359
Lithuania,LTU,2013,20.973
Lithuania,LTU,2014,21.478
Lithuania,LTU,2015,23.256
Luxembourg,LUX,1995,13.11
Luxembourg,LUX,1996,15.423
Luxembourg,LUX,1997,18.089
Luxembourg,LUX,1998,19.764
Luxembourg,LUX,1999,18.673
Luxembourg,LUX,2000,21.601
Luxembourg,LUX,2001,23.278
Luxembourg,LUX,2002,22.805
Luxembourg,LUX,2003,23.033
Luxembourg,LUX,2004,23.208
Luxembourg,LUX,2005,25.611
Luxembourg,LUX,2006,26.031
Luxembourg,LUX,2007,25.803
Luxembourg,LUX,2008,26.115
Luxembourg,LUX,2009,26.409
Luxembourg,LUX,2010,26.932
Luxembourg,LUX,2011,28.259
Luxembourg,LUX,2012,27.857
Luxembourg,LUX,2013,28.25
Luxembourg,LUX,2014,28.453
Luxembourg,LUX,2015,28.508
Mexico,MEX,1991,0.682
Mexico,MEX,1992,2.356
Mexico,MEX,1993,2.357
Mexico,MEX,1994,2.357
Mexico,MEX,1995,2.357
Mexico,MEX,1996,2.357
Mexico,MEX,1997,2.356
Mexico,MEX,1998,2.357
Mexico,MEX,1999,2.357
Mexico,MEX,2000,2.357
Mexico,MEX,2001,2.357
Mexico,MEX,2002,2.426
Mexico,MEX,2003,2.493
Mexico,MEX,2004,2.586
Mexico,MEX,2005,3.248
Mexico,MEX,2006,3.254
Mexico,MEX,2007,3.261
Mexico,MEX,2008,3.582
Mexico,MEX,2009,3.914
Mexico,MEX,2010,4.231
Mexico,MEX,2011,4.822
Mexico,MEX,2012,4.988
Netherlands,NLD,1991,8.069
Netherlands,NLD,1993,15.339
Netherlands,NLD,1994,15.386
Netherlands,NLD,1995,16.455
Netherlands,NLD,1996,17.994
Netherlands,NLD,1997,19.086
Netherlands,NLD,1998,21.583
Netherlands,NLD,1999,23.222
Netherlands,NLD,2000,23.384
Netherlands,NLD,2001,23.547
Netherlands,NLD,2002,24.323
Netherlands,NLD,2003,26.215
Netherlands,NLD,2004,27.257
Netherlands,NLD,2005,26.662
Netherlands,NLD,2006,27.917
Netherlands,NLD,2007,28.931
Netherlands,NLD,2008,24.828
Netherlands,NLD,2009,24.481
Netherlands,NLD,2010,24.821
Netherlands,NLD,2011,24.169
Netherlands,NLD,2012,23.862
Netherlands,NLD,2013,23.891
Netherlands,NLD,2014,23.744
Netherlands,NLD,2015,24.608
Norway,NOR,1992,7.93
Norway,NOR,1993,10.373
Norway,NOR,1994,11.203
Norway,NOR,1995,11.815
Norway,NOR,1996,16.915
Norway,NOR,1997,20.128
Norway,NOR,1998,16.871
Norway,NOR,1999,21.849
Norway,NOR,2000,21.996
Norway,NOR,2001,30.47
Norway,NOR,2002,31.448
Norway,NOR,2003,31.363
Norway,NOR,2004,24.969
Norway,NOR,2005,26.367
Norway,NOR,2006,26.83
Norway,NOR,2007,27.774
Norway,NOR,2008,28.814
Norway,NOR,2009,27.319
Norway,NOR,2010,26.523
Norway,NOR,2011,24.886
Norway,NOR,2012,25.92
Norway,NOR,2013,23.419
Norway,NOR,2014,26.062
Norway,NOR,2015,26.129
OECD - Europe,,1995,10.89
OECD - Europe,,2000,15.7
OECD - Europe,,2005,20.04
OECD - Europe,,2010,23.74
OECD - Europe,,2015,26.85
OECD - Total,,1995,14.59
OECD - Total,,2000,17.81
OECD - Total,,2005,20.99
OECD - Total,,2010,23.57
OECD - Total,,2015,24.85
Poland,POL,1995,0
Poland,POL,1996,0
Poland,POL,1997,0
Poland,POL,1998,0.11
Poland,POL,1999,0.146
Poland,POL,2000,0.106
Poland,POL,2001,1.323
Poland,POL,2002,1.104
Poland,POL,2003,1.461
Poland,POL,2004,2.501
Poland,POL,2005,3.924
Poland,POL,2006,4.931
Poland,POL,2007,5.752
Poland,POL,2008,8.918
Poland,POL,2009,14.135
Poland,POL,2010,17.759
Poland,POL,2011,11.935
Poland,POL,2012,12.984
Poland,POL,2013,15.822
Poland,POL,2014,21.104
Poland,POL,2015,26.39
Portugal,PRT,1995,1.134
Portugal,PRT,1996,1.431
Portugal,PRT,1997,1.671
Portugal,PRT,1998,1.948
Portugal,PRT,1999,2.455
Portugal,PRT,2000,3.343
Portugal,PRT,2001,4.025
Portugal,PRT,2002,4.642
Portugal,PRT,2003,4.836
Portugal,PRT,2004,6.85
Portugal,PRT,2005,8.551
Portugal,PRT,2006,9.705
Portugal,PRT,2007,10.628
Portugal,PRT,2008,10.356
Portugal,PRT,2009,11.794
Portugal,PRT,2010,11.349
Portugal,PRT,2011,11.487
Portugal,PRT,2012,11.529
Portugal,PRT,2013,12.921
Portugal,PRT,2014,16.233
Slovakia,SVK,1997,2.051
Slovakia,SVK,1998,1.703
Slovakia,SVK,1999,1.695
Slovakia,SVK,2000,2.121
Slovakia,SVK,2002,2.404
Slovakia,SVK,2003,3.117
Slovakia,SVK,2004,3.254
Slovakia,SVK,2005,0.999
Slovakia,SVK,2006,0.942
Slovakia,SVK,2007,2.558
Slovakia,SVK,2008,3.743
Slovakia,SVK,2009,4.49
Slovakia,SVK,2010,5.741
Slovakia,SVK,2011,6.224
Slovakia,SVK,2012,8.428
Slovakia,SVK,2013,6.667
Slovakia,SVK,2014,5.194
Slovakia,SVK,2015,7.67
Slovenia,SVN,1995,2.257
Slovenia,SVN,1996,5.478
Slovenia,SVN,1997,5.153
Slovenia,SVN,1998,7.957
Slovenia,SVN,1999,5.176
Slovenia,SVN,2000,5.452
Slovenia,SVN,2001,1.89
Slovenia,SVN,2002,7.859
Slovenia,SVN,2003,11.457
Slovenia,SVN,2004,21.799
Slovenia,SVN,2005,19.986
Slovenia,SVN,2006,16.414
Slovenia,SVN,2007,23.577
Slovenia,SVN,2008,20.981
Slovenia,SVN,2009,22.223
Slovenia,SVN,2010,21.433
Slovenia,SVN,2011,30.797
Slovenia,SVN,2012,37.861
Slovenia,SVN,2013,28.789
Slovenia,SVN,2014,29.967
Slovenia,SVN,2015,47.796
Spain,ESP,2008,15.398
Spain,ESP,2009,15.178
Spain,ESP,2010,17.56
Spain,ESP,2011,16.683
Spain,ESP,2012,19.534
Spain,ESP,2013,15.504
Spain,ESP,2014,16.92
Spain,ESP,2015,16.835
Sweden,SWE,1990,12.5
Sweden,SWE,1994,18.164
Sweden,SWE,1995,20.117
Sweden,SWE,1996,23.424
Sweden,SWE,1997,25.095
Sweden,SWE,1998,27.247
Sweden,SWE,1999,28.988
Sweden,SWE,2000,28.916
Sweden,SWE,2001,29.054
Sweden,SWE,2002,31.208
Sweden,SWE,2003,31.614
Sweden,SWE,2004,33.493
Sweden,SWE,2005,34.24
Sweden,SWE,2006,37.275
Sweden,SWE,2007,35.817
Sweden,SWE,2008,34.133
Sweden,SWE,2009,36.75
Sweden,SWE,2010,34.371
Sweden,SWE,2011,33.111
Sweden,SWE,2012,32.753
Sweden,SWE,2013,33.365
Sweden,SWE,2014,33.397
Sweden,SWE,2015,32.374
Switzerland,CHE,1990,22.207
Switzerland,CHE,1991,23.479
Switzerland,CHE,1992,24.085
Switzerland,CHE,1993,24.642
Switzerland,CHE,1994,27.887
Switzerland,CHE,1995,29.251
Switzerland,CHE,1996,30.766
Switzerland,CHE,1997,31.205
Switzerland,CHE,1998,32.188
Switzerland,CHE,1999,31.727
Switzerland,CHE,2000,31.706
Switzerland,CHE,2001,33.041
Switzerland,CHE,2002,31.969
Switzerland,CHE,2003,32.465
Switzerland,CHE,2004,33.476
Switzerland,CHE,2005,35.02
Switzerland,CHE,2006,33.49
Switzerland,CHE,2007,33.943
Switzerland,CHE,2008,33.487
Switzerland,CHE,2009,34.261
Switzerland,CHE,2010,33.747
Switzerland,CHE,2011,34.593
Switzerland,CHE,2012,34.774
Switzerland,CHE,2013,33.619
Switzerland,CHE,2014,32.634
Switzerland,CHE,2015,31.907
Turkey,TUR,1994,0
Turkey,TUR,1995,0
Turkey,TUR,1996,0
Turkey,TUR,1997,0
Turkey,TUR,1998,0
Turkey,TUR,1999,0
Turkey,TUR,2000,0
Turkey,TUR,2001,0
Turkey,TUR,2002,0
Turkey,TUR,2003,0
Turkey,TUR,2004,0
Turkey,TUR,2005,0
Turkey,TUR,2006,0
Turkey,TUR,2007,0
Turkey,TUR,2008,0
Turkey,TUR,2009,0
Turkey,TUR,2010,0
Turkey,TUR,2011,0
Turkey,TUR,2012,0
Turkey,TUR,2013,0
Turkey,TUR,2014,0
United Kingdom,GBR,1995,6.987
United Kingdom,GBR,1996,6.426
United Kingdom,GBR,1997,7.261
United Kingdom,GBR,1998,8.682
United Kingdom,GBR,1999,10.213
United Kingdom,GBR,2000,8.352
United Kingdom,GBR,2001,9.104
United Kingdom,GBR,2002,10.505
United Kingdom,GBR,2003,13.33
United Kingdom,GBR,2004,15.675
United Kingdom,GBR,2005,18.127
United Kingdom,GBR,2006,20.093
United Kingdom,GBR,2007,22.18
United Kingdom,GBR,2008,23.408
United Kingdom,GBR,2009,24.272
United Kingdom,GBR,2010,25.25
United Kingdom,GBR,2011,26.183
United Kingdom,GBR,2012,26.821
United Kingdom,GBR,2013,27.369
United Kingdom,GBR,2014,27.334
United Kingdom,GBR,2015,27.371
United States,USA,1990,13.944
United States,USA,1991,15.66
United States,USA,1992,16.758
United States,USA,1993,17.35
United States,USA,1994,19.55
United States,USA,1995,21.24
United States,USA,1996,21.821
United States,USA,1997,21.479
United States,USA,1998,21.434
United States,USA,1999,21.628
United States,USA,2000,21.775
United States,USA,2001,22.064
United States,USA,2002,22.105
United States,USA,2003,22.742
United States,USA,2004,22.863
United States,USA,2005,23.348
United States,USA,2006,24.061
United States,USA,2007,24.6
United States,USA,2008,24.524
United States,USA,2009,25.327
United States,USA,2010,25.995
United States,USA,2011,26.55
United States,USA,2012,26.032
United States,USA,2013,25.535
United States,USA,2014,25.683
