Entity,Code,Year,Wind (%)
Austria,AUT,1996,0.0036953400596617244
Austria,AUT,1997,0.014493175822338208
Austria,AUT,1998,0.032116139579588907
Austria,AUT,1999,0.0356609952473165
Austria,AUT,2000,0.04672120730041253
Austria,AUT,2001,0.11528840891283937
Austria,AUT,2002,0.13549117084863588
Austria,AUT,2003,0.24029506901739875
Austria,AUT,2004,0.5961612510394231
Austria,AUT,2005,0.8429438911000321
Austria,AUT,2006,1.1195124606679643
Austria,AUT,2007,1.329631885951266
Austria,AUT,2008,1.2841337253850968
Austria,AUT,2009,1.287506774514928
Austria,AUT,2010,1.3133780523330254
Austria,AUT,2011,1.316812276856215
Austria,AUT,2012,1.593388621276617
Austria,AUT,2013,2.059110457493342
Austria,AUT,2014,2.6098383516878543
Austria,AUT,2015,3.2767288316353005
Austria,AUT,2016,3.4254734574310803
Austria,AUT,2017,4.187826184364821
Austria,AUT,2018,3.814814655832926
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0.004188041104847228
Azerbaijan,AZE,2010,0.0010104381788052603
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0013717829103786694
Azerbaijan,AZE,2014,0.0038669302567940224
Azerbaijan,AZE,2015,0.0070718252323140095
Azerbaijan,AZE,2016,0.035378536798733026
Azerbaijan,AZE,2017,0.0349552022530462
Azerbaijan,AZE,2018,0.129194258026185
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0.0021240865924557683
Bangladesh,BGD,2007,0.002032965074490524
Bangladesh,BGD,2008,0.0034840686569986143
Bangladesh,BGD,2009,0.005592517040518682
Bangladesh,BGD,2010,0.005343692960639452
Bangladesh,BGD,2011,0.005013197240007507
Bangladesh,BGD,2012,0.004608859452023005
Bangladesh,BGD,2013,0.004519210079032226
Bangladesh,BGD,2014,0.004268225076560774
Bangladesh,BGD,2015,0.003691742589520303
Bangladesh,BGD,2016,0.003633264947404874
Bangladesh,BGD,2017,0.0034903329081802438
Bangladesh,BGD,2018,0.003215124061591409
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0.0009246588300056504
Belarus,BLR,2005,0.0009186901257032647
Belarus,BLR,2006,0.0008648874086570916
Belarus,BLR,2007,0.0008856867650051418
Belarus,BLR,2008,0.000875322562795608
Belarus,BLR,2009,0.0009232155368952315
Belarus,BLR,2010,0.0008694211841463198
Belarus,BLR,2011,0.0034974926615766247
Belarus,BLR,2012,0.004855166721856691
Belarus,BLR,2013,0.007340581639051808
Belarus,BLR,2014,0.00798817514913322
Belarus,BLR,2015,0.03810626305471628
Belarus,BLR,2016,0.07170072758106409
Belarus,BLR,2017,0.0938579572756286
Belarus,BLR,2018,0.10871595586526693
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0.0027709771558759415
Belgium,BEL,1988,0.003622846085537711
Belgium,BEL,1989,0.0031442006339629947
Belgium,BEL,1990,0.0029664530120239612
Belgium,BEL,1991,0.0032761310013657433
Belgium,BEL,1992,0.003699873392819191
Belgium,BEL,1993,0.0033412124223961056
Belgium,BEL,1994,0.0035580821044510274
Belgium,BEL,1995,0.003527451127806346
Belgium,BEL,1996,0.002948860772426891
Belgium,BEL,1997,0.0029240734685777505
Belgium,BEL,1998,0.0039397773757313985
Belgium,BEL,1999,0.004697869365617704
Belgium,BEL,2000,0.005651931593056003
Belgium,BEL,2001,0.013158192280502069
Belgium,BEL,2002,0.020334763471529765
Belgium,BEL,2003,0.030209577668879703
Belgium,BEL,2004,0.04852956723438015
Belgium,BEL,2005,0.07810342032546094
Belgium,BEL,2006,0.125375323774688
Belgium,BEL,2007,0.16681278149056689
Belgium,BEL,2008,0.21285330471769578
Belgium,BEL,2009,0.3555259528391435
Belgium,BEL,2010,0.4329232854451699
Belgium,BEL,2011,0.830225314606648
Belgium,BEL,2012,1.0254372472304423
Belgium,BEL,2013,1.3325522643768941
Belgium,BEL,2014,1.7953357586280658
Belgium,BEL,2015,2.1335618589123273
Belgium,BEL,2016,1.9262840676410955
Belgium,BEL,2017,2.2979695985409676
Belgium,BEL,2018,2.717435191334717
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0.0002727706686362636
Brazil,BRA,1997,0.0005160180106192129
Brazil,BRA,1998,0.0006223967367690268
Brazil,BRA,1999,0.0002445438043462468
Brazil,BRA,2000,0.00012030861628457287
Brazil,BRA,2001,0.004266299199985324
Brazil,BRA,2002,0.00727189205094482
Brazil,BRA,2003,0.0071323623643871365
Brazil,BRA,2004,0.006782249274117941
Brazil,BRA,2005,0.010021412408513317
Brazil,BRA,2006,0.024886051237201574
Brazil,BRA,2007,0.0654190551865463
Brazil,BRA,2008,0.11156908092876214
Brazil,BRA,2009,0.11741580389009096
Brazil,BRA,2010,0.1871670529128434
Brazil,BRA,2011,0.22188868326626351
Brazil,BRA,2012,0.40617477933453316
Brazil,BRA,2013,0.5088706368719645
Brazil,BRA,2014,0.9228465998406488
Brazil,BRA,2015,1.6534424299590849
Brazil,BRA,2016,2.618060735225452
Brazil,BRA,2017,3.2624628902779147
Brazil,BRA,2018,3.686146810745398
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.0012152199257331158
Bulgaria,BGR,2005,0.005614856722248728
Bulgaria,BGR,2006,0.02189171866569099
Bulgaria,BGR,2007,0.05299043037371005
Bulgaria,BGR,2008,0.13964159901123865
Bulgaria,BGR,2009,0.30867428554029225
Bulgaria,BGR,2010,0.8514953980882932
Bulgaria,BGR,2011,1.010786490791041
Bulgaria,BGR,2012,1.5055301638903953
Bulgaria,BGR,2013,1.8283117732511744
Bulgaria,BGR,2014,1.6609999070244745
Bulgaria,BGR,2015,1.7002220145760787
Bulgaria,BGR,2016,1.7596612179624536
Bulgaria,BGR,2017,1.8159355272119795
Bulgaria,BGR,2018,1.6790625762632034
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0.0000973746263987548
Canada,CAN,1986,0.0000972164183510868
Canada,CAN,1987,0.00009397870021965693
Canada,CAN,1988,0.0000902063992498961
Canada,CAN,1989,0.00008921487490524836
Canada,CAN,1990,0.0001744320766588699
Canada,CAN,1991,0.00017427988281022006
Canada,CAN,1992,0.005225968971623719
Canada,CAN,1993,0.00511493461892186
Canada,CAN,1994,0.004933160064705809
Canada,CAN,1995,0.004827571667944053
Canada,CAN,1996,0.004937020542839475
Canada,CAN,1997,0.004895190177088825
Canada,CAN,1998,0.0049588326081035266
Canada,CAN,1999,0.012558547444488434
Canada,CAN,2000,0.019884776147179
Canada,CAN,2001,0.025330862282930657
Canada,CAN,2002,0.03018997225407656
Canada,CAN,2003,0.05107628159567412
Canada,CAN,2004,0.06901022885764294
Canada,CAN,2005,0.1119891192817077
Canada,CAN,2006,0.1784573975936335
Canada,CAN,2007,0.20917509843217047
Canada,CAN,2008,0.2639397530951782
Canada,CAN,2009,0.4879904163869974
Canada,CAN,2010,0.6264586830072153
Canada,CAN,2011,0.7045152407683335
Canada,CAN,2012,0.7881319794922388
Canada,CAN,2013,1.2060087278719616
Canada,CAN,2014,1.4919779012906864
Canada,CAN,2015,1.799718885017
Canada,CAN,2016,1.9521079520192455
Canada,CAN,2017,1.9135867077125956
Canada,CAN,2018,2.113463932753862
Chile,CHL,1965,0
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.006024663178974885
Chile,CHL,2002,0.005814681367500297
Chile,CHL,2003,0.00583928205918973
Chile,CHL,2004,0.003961354524195435
Chile,CHL,2005,0.005333889837046357
Chile,CHL,2006,0.004988716483467321
Chile,CHL,2007,0.007799371183040244
Chile,CHL,2008,0.026811367131918812
Chile,CHL,2009,0.05667343198692858
Chile,CHL,2010,0.23210574329160394
Chile,CHL,2011,0.22140275099597498
Chile,CHL,2012,0.26166648749282195
Chile,CHL,2013,0.34544789931296044
Chile,CHL,2014,0.9309993838442656
Chile,CHL,2015,1.332300668469738
Chile,CHL,2016,1.472873827349447
Chile,CHL,2017,2.141494525859752
Chile,CHL,2018,2.0815974916393283
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.00006683841558710974
China,CHN,1991,0.0002862498256719099
China,CHN,1992,0.003926345383969368
China,CHN,1993,0.005891631334946972
China,CHN,1994,0.010046318844422301
China,CHN,1995,0.015650293470668996
China,CHN,1996,0.0022674884890957372
China,CHN,1997,0.004751662891634312
China,CHN,1998,0.00852218229186963
China,CHN,1999,0.010969042387642985
China,CHN,2000,0.013203610105209988
China,CHN,2001,0.015240994919492757
China,CHN,2002,0.016283233287694193
China,CHN,2003,0.016640307478500538
China,CHN,2004,0.01822652664037191
China,CHN,2005,0.024425224999018152
China,CHN,2006,0.042480732085710474
China,CHN,2007,0.05767594395419291
China,CHN,2008,0.1328991391486411
China,CHN,2009,0.2680172295586046
China,CHN,2010,0.40522925931547116
China,CHN,2011,0.591491178751315
China,CHN,2012,0.7757600297318454
China,CHN,2013,1.0988547012186034
China,CHN,2014,1.1872347867035902
China,CHN,2015,1.3966578914715235
China,CHN,2016,1.760465629504122
China,CHN,2017,2.1264885941854317
China,CHN,2018,2.529939130248834
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0.04342046930917424
Colombia,COL,2005,0.04115971997630917
Colombia,COL,2006,0.046623087961642
Colombia,COL,2007,0.03673282485687798
Colombia,COL,2008,0.03667592522294552
Colombia,COL,2009,0.04107299641240347
Colombia,COL,2010,0.02560545435990169
Colombia,COL,2011,0.02614159066776219
Colombia,COL,2012,0.032424914389260276
Colombia,COL,2013,0.03356145379429988
Colombia,COL,2014,0.038748615946517455
Colombia,COL,2015,0.03745663667663367
Colombia,COL,2016,0.026025655289979882
Colombia,COL,2017,0.0015270901526144153
Colombia,COL,2018,0.020935329213818334
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0.0048449335103887626
Croatia,HRV,2005,0.024446837186572493
Croatia,HRV,2006,0.04693747405131586
Croatia,HRV,2007,0.0856563463152996
Croatia,HRV,2008,0.09853920500183021
Croatia,HRV,2009,0.1349276058373339
Croatia,HRV,2010,0.34214607601956304
Croatia,HRV,2011,0.5641610268486463
Croatia,HRV,2012,0.9954724148565935
Croatia,HRV,2013,1.4299824883144927
Croatia,HRV,2014,2.0187150131341056
Croatia,HRV,2015,2.316464279384044
Croatia,HRV,2016,2.834824790722086
Croatia,HRV,2017,3.3601847357419827
Croatia,HRV,2018,3.6124476339606777
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.002990533398374567
Cyprus,CYP,2005,0.0026688206417838033
Cyprus,CYP,2006,0.0027138820406270507
Cyprus,CYP,2007,0.0026792044027800738
Cyprus,CYP,2008,0.002612804268140123
Cyprus,CYP,2009,0.0026768574439143132
Cyprus,CYP,2010,0.23952036246549152
Cyprus,CYP,2011,0.8907369639270895
Cyprus,CYP,2012,1.5428810719506165
Cyprus,CYP,2013,2.1537536572806726
Cyprus,CYP,2014,1.7133701814322733
Cyprus,CYP,2015,2.003937323792866
Cyprus,CYP,2016,1.882505134156673
Cyprus,CYP,2017,1.7092384028554606
Cyprus,CYP,2018,1.7930201610162784
Czech Republic,CZE,1965,0
