Entity,Code,Year,Share of single parent families (%)
Chile,CHL,2002,9.4
China,CHN,2000,5.4
Colombia,COL,1990,9.3
Colombia,COL,1995,9.4
Colombia,COL,2000,10.7
Colombia,COL,2005,11.2
Colombia,COL,2010,12.4
Colombia,COL,2015,12.7
Comoros,COM,1996,7.6
Comoros,COM,2012,8.9
Congo,COG,2005,6.6
Congo,COG,2009,9.9
Congo,COG,2011,8.2
Costa Rica,CRI,1973,7.8
Costa Rica,CRI,1984,8.3
Costa Rica,CRI,2000,11.2
Costa Rica,CRI,2011,13.7
Cote d'Ivoire,CIV,1994,3.7
Cote d'Ivoire,CIV,1998,3.2
Cote d'Ivoire,CIV,2005,4.1
Cote d'Ivoire,CIV,2012,5.3
Croatia,HRV,2001,9.1
Croatia,HRV,2011,10
Cuba,CUB,2002,11.9
Cyprus,CYP,2001,5.7
Cyprus,CYP,2011,6.2
Czech Republic,CZE,2001,12.9
Czech Republic,CZE,2011,10.3
Democratic Republic of Congo,COD,2007,7.8
Democratic Republic of Congo,COD,2013,10.7
Dominican Republic,DOM,1996,9
Dominican Republic,DOM,1999,11
Dominican Republic,DOM,2002,10.5
Dominican Republic,DOM,2007,13.1
Dominican Republic,DOM,2013,13.2
Ecuador,ECU,1974,9.7
Ecuador,ECU,1982,9
Ecuador,ECU,1990,9.4
Ecuador,ECU,2001,11
Ecuador,ECU,2010,12.4
Egypt,EGY,1992,6.4
Egypt,EGY,1995,7.3
Egypt,EGY,2000,6.9
Egypt,EGY,2003,7.2
Egypt,EGY,2005,7.1
Egypt,EGY,2008,7.8
Egypt,EGY,2014,7.1
El Salvador,SLV,1992,9.8
El Salvador,SLV,2007,13.2
Estonia,EST,2000,12.1
Ethiopia,ETH,2000,10.9
Ethiopia,ETH,2005,9.9
Ethiopia,ETH,2011,10.2
Ethiopia,ETH,2016,11.6
Fiji,FJI,1976,4.5
Fiji,FJI,1986,3.9
Fiji,FJI,1996,5
Fiji,FJI,2007,5.2
Finland,FIN,2010,6.7
French Polynesia,PYF,2007,7.5
Gabon,GAB,2000,5.3
Gabon,GAB,2012,8.6
Gambia,GMB,2013,4.8
Germany,DEU,2011,7.3
Ghana,GHA,1993,19.4
Ghana,GHA,1999,16.7
Ghana,GHA,2003,13.6
Ghana,GHA,2008,14.5
Ghana,GHA,2014,13.9
Greece,GRC,1971,5.6
Greece,GRC,1981,4.6
Greece,GRC,1991,5.4
Greece,GRC,2001,6.6
Greece,GRC,2011,8.1
Guatemala,GTM,1995,9.7
Guatemala,GTM,1999,9.2
Guatemala,GTM,2015,12.6
Guinea,GIN,1999,4.7
Guinea,GIN,2005,5.2
Guinea,GIN,2012,5.4
Guyana,GUY,2005,9.7
Guyana,GUY,2009,11.6
Haiti,HTI,1994,8.7
Haiti,HTI,2000,11.3
Haiti,HTI,2006,12.1
Haiti,HTI,2012,10.9
Honduras,HND,2006,10.5
Honduras,HND,2012,10.7
Hong Kong,HKG,2011,11.9
Hungary,HUN,1970,5.3
Hungary,HUN,2001,9.8
Hungary,HUN,2011,10.8
India,IND,1983,5.4
India,IND,1987,5.4
India,IND,1993,5.1
India,IND,1999,5.3
India,IND,2004,5.7
India,IND,2009,5.4
Indonesia,IDN,1971,7.7
Indonesia,IDN,1976,7
Indonesia,IDN,1980,6.3
Indonesia,IDN,1985,5.9
Indonesia,IDN,1990,5.9
Indonesia,IDN,1995,5.5
Indonesia,IDN,2000,6.3
Indonesia,IDN,2005,6
Indonesia,IDN,2010,6.1
Iran,IRN,2006,5.3
Iran,IRN,2011,7
Iraq,IRQ,1997,5.4
Ireland,IRL,1971,8.7
Ireland,IRL,1979,7.8
Ireland,IRL,1981,7.7
Ireland,IRL,1986,8.2
Ireland,IRL,1991,8.5
Ireland,IRL,1996,9.6
Ireland,IRL,2002,9.2
Ireland,IRL,2006,9.7
Ireland,IRL,2011,10.1
Israel,ISR,1972,4.9
Israel,ISR,1983,5.5
Israel,ISR,1995,6.8
Italy,ITA,2001,8.9
Italy,ITA,2011,9.9
Jamaica,JAM,1982,9.7
Jamaica,JAM,1991,11.7
Jamaica,JAM,2001,14
Japan,JPN,2000,7.6
Japan,JPN,2005,8.4
Japan,JPN,2010,8.7
Jordan,JOR,1997,5.9
Jordan,JOR,2002,7.3
Jordan,JOR,2007,6.5
Jordan,JOR,2009,7.4
Jordan,JOR,2012,8.1
Kazakhstan,KAZ,1995,9
Kazakhstan,KAZ,1999,10.1
Kenya,KEN,1993,14.6
Kenya,KEN,1998,15.4
Kenya,KEN,2003,14.7
Kenya,KEN,2009,15.4
Kenya,KEN,2014,14.2
Kenya,KEN,2015,14.9
Kyrgyzstan,KGZ,1999,9
Kyrgyzstan,KGZ,2009,9
Latvia,LVA,2000,20.3
Latvia,LVA,2011,18.5
Lesotho,LSO,2004,10.7
Lesotho,LSO,2009,9
Lesotho,LSO,2014,9.4
Liberia,LBR,2007,8.7
Liberia,LBR,2009,7.4
Liberia,LBR,2011,9.3
Liberia,LBR,2013,7.4
Liechtenstein,LIE,2010,7.5
Lithuania,LTU,2001,4.8
Lithuania,LTU,2011,4.5
Luxembourg,LUX,2011,8
Macao,MAC,2011,8.6
Madagascar,MDG,1992,9.1
Madagascar,MDG,1997,8.8
Madagascar,MDG,2004,10
Madagascar,MDG,2009,8.6
Madagascar,MDG,2011,9.7
Malawi,MWI,1992,10.4
Malawi,MWI,2000,9.8
Malawi,MWI,2004,9.4
Malawi,MWI,2010,10.3
Malawi,MWI,2014,11.2
Malawi,MWI,2015,12.3
Malaysia,MYS,1970,12.1
Malaysia,MYS,1980,6.9
Malaysia,MYS,1991,6.5
Malaysia,MYS,2000,5.3
Maldives,MDV,2009,5.6
Mali,MLI,1996,3.3
Mali,MLI,2001,6.1
Mali,MLI,2006,5.4
Mali,MLI,2012,5.5
Malta,MLT,2011,9.3
Mayotte,MYT,2012,21.3
Mexico,MEX,1970,8.3
Mexico,MEX,1990,8.8
Mexico,MEX,1995,8
Mexico,MEX,2000,9.1
Mexico,MEX,2010,9.9
Mexico,MEX,2015,10.2
Moldova,MDA,2004,12.4
Mongolia,MNG,1989,8.5
Mongolia,MNG,2000,9.1
Montenegro,MNE,2011,12.1
Morocco,MAR,1982,6.8
Morocco,MAR,1994,7.1
Morocco,MAR,2004,10.1
Mozambique,MOZ,1997,7.5
Mozambique,MOZ,2003,8.1
Mozambique,MOZ,2009,13
Mozambique,MOZ,2011,11.5
Myanmar,MMR,2016,8.5
Namibia,NAM,1992,5.9
Namibia,NAM,2000,8.3
Namibia,NAM,2007,8.8
Namibia,NAM,2013,8.4
Nepal,NPL,1996,7.4
Nepal,NPL,2001,9.1
Nepal,NPL,2006,12.4
Nepal,NPL,2011,15.1
Nepal,NPL,2016,15
New Zealand,NZL,2001,9.3
New Zealand,NZL,2006,11.3
Nicaragua,NIC,1971,10.5
Nicaragua,NIC,1995,8.6
Nicaragua,NIC,2005,9.9
Niger,NER,1992,2.6
Niger,NER,1998,5.2
Niger,NER,2006,9.1
Niger,NER,2012,8.5
Nigeria,NGA,1990,6.9
Nigeria,NGA,1999,8.6
Nigeria,NGA,2003,7.1
Nigeria,NGA,2008,8.4
Nigeria,NGA,2010,6.8
Nigeria,NGA,2013,8
Nigeria,NGA,2015,6.9
Norway,NOR,2001,8.3
Norway,NOR,2011,8.4
Pakistan,PAK,1991,4.1
Pakistan,PAK,2006,6.3
Pakistan,PAK,2013,6.4
Palestine,PSE,1997,4.5
Palestine,PSE,2007,5.3
Panama,PAN,1960,9.9
Panama,PAN,1970,9.1
Panama,PAN,1980,9.9
Panama,PAN,1990,9.8
Panama,PAN,2000,10.7
Panama,PAN,2010,11.5
Paraguay,PRY,1962,11.1
Paraguay,PRY,1972,8.9
Paraguay,PRY,1982,7.8
Paraguay,PRY,1992,7.6
Paraguay,PRY,2002,8.8
Peru,PER,1991,7.4
Peru,PER,1996,8.4
Peru,PER,2000,8.6
Peru,PER,2005,9.4
Peru,PER,2007,9.4
Peru,PER,2009,9.5
Peru,PER,2010,10
Peru,PER,2011,11
Peru,PER,2012,10.9
Philippines,PHL,1993,5.3
Philippines,PHL,1998,5.5
Philippines,PHL,2003,6.2
Philippines,PHL,2008,6.2
Philippines,PHL,2013,6.9
Poland,POL,2002,11.3
Poland,POL,2011,11.4
Portugal,PRT,1981,5.2
Portugal,PRT,1991,5.8
Portugal,PRT,2001,6.4
Portugal,PRT,2011,8.2
Puerto Rico,PRI,1970,9.4
Puerto Rico,PRI,1980,10.9
Puerto Rico,PRI,1990,17.9
Puerto Rico,PRI,2000,14.6
Puerto Rico,PRI,2005,15.1
Puerto Rico,PRI,2010,16.2
Romania,ROU,1977,4
Romania,ROU,1992,6
Romania,ROU,2002,7.4
Romania,ROU,2011,7.7
Russia,RUS,2002,5.6
Russia,RUS,2010,11.5
Rwanda,RWA,1992,9.1
Rwanda,RWA,2000,20.6
Rwanda,RWA,2005,17.7
Rwanda,RWA,2008,16.6
Rwanda,RWA,2010,15.7
Rwanda,RWA,2012,13.6
Rwanda,RWA,2015,14.7
Sao Tome and Principe,STP,2012,13.4
Senegal,SEN,1993,2.9
Senegal,SEN,1997,3.5
Senegal,SEN,2005,7
Senegal,SEN,2006,3.4
Senegal,SEN,2008,3.6
Senegal,SEN,2011,4.2
Senegal,SEN,2013,4.7
Senegal,SEN,2014,5.7
Senegal,SEN,2015,7.1
Senegal,SEN,2016,5.4
Serbia,SRB,2002,9.1
Serbia,SRB,2011,10.2
Sierra Leone,SLE,2008,4.5
Sierra Leone,SLE,2013,4.8
Sint Maarten (Dutch part),SXM,2011,16.1
Slovakia,SVK,2001,11.4
Slovakia,SVK,2011,10.5
Slovenia,SVN,2002,10.6
South Africa,ZAF,1996,12.4
South Africa,ZAF,2001,11.3
South Africa,ZAF,2007,11.5
South Africa,ZAF,2011,10.5
South Korea,KOR,2005,8.6
South Korea,KOR,2010,9.2
South Sudan,SSD,2008,15
Spain,ESP,2001,8.1
Spain,ESP,2011,9.4
Sudan,SDN,2008,12.8
Swaziland,SWZ,2006,12.7
Switzerland,CHE,2000,5.4
Tajikistan,TJK,2012,5.5
Tanzania,TZA,1992,6.1
Tanzania,TZA,1996,7.7
Tanzania,TZA,1999,6.8
Tanzania,TZA,2004,8.5
Tanzania,TZA,2007,8.5
Tanzania,TZA,2010,8.4
Tanzania,TZA,2012,7.8
Tanzania,TZA,2015,7.3
Thailand,THA,1970,6.7
Thailand,THA,1980,6.6
Thailand,THA,1990,6.9
Thailand,THA,2000,7.6
Timor,TLS,2009,6.4
Togo,TGO,1998,9.9
Togo,TGO,2014,11.2
Trinidad and Tobago,TTO,1970,9.3
Trinidad and Tobago,TTO,1980,8.7
Trinidad and Tobago,TTO,1990,11.3
Trinidad and Tobago,TTO,2000,12.7
Trinidad and Tobago,TTO,2011,13.1
Turkey,TUR,1985,3.6
Turkey,TUR,1990,3.9
Turkey,TUR,2000,5
Uganda,UGA,1995,9.3
Uganda,UGA,2000,10.1
Uganda,UGA,2006,11.3
Uganda,UGA,2009,11.8
Uganda,UGA,2011,11
Uganda,UGA,2014,10
Uganda,UGA,2016,11.7
Ukraine,UKR,2007,11.2
United Kingdom,GBR,2011,10.7
United States,USA,1960,5.2
United States,USA,1970,6.8
United States,USA,1980,7.7
United States,USA,1990,8.4
United States,USA,2000,8.6
United States,USA,2005,9.3
United States,USA,2010,9.3
Uruguay,URY,1963,7.3
Uruguay,URY,1975,7.8
Uruguay,URY,1985,8.6
Uruguay,URY,1996,9.6
Uruguay,URY,2006,11.3
Uruguay,URY,2011,10.9
Uzbekistan,UZB,1996,5.8
Venezuela,VEN,1971,9.2
Venezuela,VEN,1981,8.3
Venezuela,VEN,1990,9.8
Venezuela,VEN,2001,10.5
Vietnam,VNM,1985,7.2
Vietnam,VNM,1997,7.2
Vietnam,VNM,2005,8.2
Yemen,YEM,1991,7.5
Yemen,YEM,2013,4.3
Zambia,ZMB,1992,4.1
Zambia,ZMB,1996,6.3
Zambia,ZMB,2002,6.2
Zambia,ZMB,2007,7.6
Zambia,ZMB,2013,8
Zimbabwe,ZWE,1994,12.7
Zimbabwe,ZWE,1999,12.5
Zimbabwe,ZWE,2005,12.7
Zimbabwe,ZWE,2010,12.2
Zimbabwe,ZWE,2015,12.3
