Entity,Code,Year,"Indicator 3.7.2: Number of livebirths per 1,000 women aged 10-14 years and women aged 15-19 years - Past - Unscaled (live births per 1,000 women)"
Canada,CAN,2000,8.239
Canada,CAN,2005,7.136
Canada,CAN,2010,6.638
Canada,CAN,2016,5.096
Cape Verde,CPV,1990,47.274
Cape Verde,CPV,1995,47.586
Cape Verde,CPV,2000,51.588
Cape Verde,CPV,2005,59.201
Cape Verde,CPV,2010,58.96
Cape Verde,CPV,2016,52.484
Central African Republic,CAF,1990,61.847
Central African Republic,CAF,1995,58.122
Central African Republic,CAF,2000,55.013
Central African Republic,CAF,2005,51.887
Central African Republic,CAF,2010,49.03
Central African Republic,CAF,2016,46.667
Chad,TCD,1990,86.891
Chad,TCD,1995,84.57
Chad,TCD,2000,82.472
Chad,TCD,2005,76.937
Chad,TCD,2010,69.568
Chad,TCD,2016,56.486
Chile,CHL,1990,33.536
Chile,CHL,1995,31.095
Chile,CHL,2000,27.428
Chile,CHL,2005,26.606
Chile,CHL,2010,27.21
Chile,CHL,2016,24.827
China,CHN,1990,9.607
China,CHN,1995,5.51
China,CHN,2000,3.58
China,CHN,2005,3.883
China,CHN,2010,3.466
China,CHN,2016,2.415
Colombia,COL,1990,38.197
Colombia,COL,1995,41.186
Colombia,COL,2000,42.546
Colombia,COL,2005,36.658
Colombia,COL,2010,31.362
Colombia,COL,2016,20.943
Comoros,COM,1990,43.648
Comoros,COM,1995,39.541
Comoros,COM,2000,39.219
Comoros,COM,2005,36.161
Comoros,COM,2010,30.381
Comoros,COM,2016,22.315
Congo,COG,1990,62.885
Congo,COG,1995,64.028
Congo,COG,2000,64.618
Congo,COG,2005,61.298
Congo,COG,2010,58.244
Congo,COG,2016,50.812
Costa Rica,CRI,1990,43.284
Costa Rica,CRI,1995,39.274
Costa Rica,CRI,2000,36.43
Costa Rica,CRI,2005,32.793
Costa Rica,CRI,2010,29.567
Costa Rica,CRI,2016,24.014
Cote d'Ivoire,CIV,1990,64.434
Cote d'Ivoire,CIV,1995,56.898
Cote d'Ivoire,CIV,2000,56.491
Cote d'Ivoire,CIV,2005,57.828
Cote d'Ivoire,CIV,2010,59.094
Cote d'Ivoire,CIV,2016,63.162
Croatia,HRV,1990,13.089
Croatia,HRV,1995,10.22
Croatia,HRV,2000,7.979
Croatia,HRV,2005,7.622
Croatia,HRV,2010,6.014
Croatia,HRV,2016,4.229
Cuba,CUB,1990,45.806
Cuba,CUB,1995,31.018
Cuba,CUB,2000,27.004
Cuba,CUB,2005,23.079
Cuba,CUB,2010,26.769
Cuba,CUB,2016,21.979
Cyprus,CYP,1990,14.362
Cyprus,CYP,1995,8.371
Cyprus,CYP,2000,4.434
Cyprus,CYP,2005,3.403
Cyprus,CYP,2010,3.132
Cyprus,CYP,2016,2.483
Czech Republic,CZE,1990,23.975
Czech Republic,CZE,1995,12.325
Czech Republic,CZE,2000,6.742
Czech Republic,CZE,2005,5.891
Czech Republic,CZE,2010,6.415
Czech Republic,CZE,2016,4.377
Democratic Republic of Congo,COD,1990,55.422
Democratic Republic of Congo,COD,1995,51.787
Democratic Republic of Congo,COD,2000,52.184
Democratic Republic of Congo,COD,2005,54.593
Democratic Republic of Congo,COD,2010,55.318
Democratic Republic of Congo,COD,2016,57.149
Denmark,DNK,1990,4.932
Denmark,DNK,1995,4.615
Denmark,DNK,2000,3.466
Denmark,DNK,2005,2.93
Denmark,DNK,2010,2.585
Denmark,DNK,2016,1.966
Djibouti,DJI,1990,26.349
Djibouti,DJI,1995,26.134
Djibouti,DJI,2000,21.631
Djibouti,DJI,2005,22.044
Djibouti,DJI,2010,20.492
Djibouti,DJI,2016,16.735
Dominica,DMA,1990,32.092
Dominica,DMA,1995,21.741
Dominica,DMA,2000,13.863
Dominica,DMA,2005,12.529
Dominica,DMA,2010,11.394
Dominica,DMA,2016,9.803
Dominican Republic,DOM,1990,51.545
Dominican Republic,DOM,1995,54.799
Dominican Republic,DOM,2000,53.412
Dominican Republic,DOM,2005,51.365
Dominican Republic,DOM,2010,48.219
Dominican Republic,DOM,2016,41.054
Ecuador,ECU,1990,45.281
Ecuador,ECU,1995,44.452
Ecuador,ECU,2000,43.075
Ecuador,ECU,2005,43.884
Ecuador,ECU,2010,43.154
Ecuador,ECU,2016,42.236
Egypt,EGY,1990,35.246
Egypt,EGY,1995,29.421
Egypt,EGY,2000,26.207
Egypt,EGY,2005,26.41
Egypt,EGY,2010,25.773
Egypt,EGY,2016,21.039
El Salvador,SLV,1990,46.725
El Salvador,SLV,1995,45.868
El Salvador,SLV,2000,44.514
El Salvador,SLV,2005,41.935
El Salvador,SLV,2010,38.007
El Salvador,SLV,2016,33.258
Equatorial Guinea,GNQ,1990,65.823
Equatorial Guinea,GNQ,1995,47.832
Equatorial Guinea,GNQ,2000,43.737
Equatorial Guinea,GNQ,2005,44.252
Equatorial Guinea,GNQ,2010,42.007
Equatorial Guinea,GNQ,2016,38.459
Eritrea,ERI,1990,49.484
Eritrea,ERI,1995,45.267
Eritrea,ERI,2000,41.635
Eritrea,ERI,2005,40.098
Eritrea,ERI,2010,32.445
Eritrea,ERI,2016,21.13
Estonia,EST,1990,24.085
Estonia,EST,1995,16.666
Estonia,EST,2000,12.849
Estonia,EST,2005,13.053
Estonia,EST,2010,10.522
Estonia,EST,2016,4.859
Ethiopia,ETH,1990,46.563
Ethiopia,ETH,1995,44.68
Ethiopia,ETH,2000,44.297
Ethiopia,ETH,2005,38.951
Ethiopia,ETH,2010,33.364
Ethiopia,ETH,2016,27.689
Fiji,FJI,1990,24.102
Fiji,FJI,1995,18.421
Fiji,FJI,2000,14.762
Fiji,FJI,2005,14.042
Fiji,FJI,2010,13.787
Fiji,FJI,2016,12.881
Finland,FIN,1990,5.89
Finland,FIN,1995,5.148
Finland,FIN,2000,5.13
Finland,FIN,2005,4.854
Finland,FIN,2010,4.389
Finland,FIN,2016,3.073
France,FRA,1990,6.527
France,FRA,1995,5.049
France,FRA,2000,5.382
France,FRA,2005,5.416
France,FRA,2010,4.942
France,FRA,2016,4.276
Gabon,GAB,1990,77.921
Gabon,GAB,1995,71.795
Gabon,GAB,2000,67.033
Gabon,GAB,2005,62.768
Gabon,GAB,2010,57.046
Gabon,GAB,2016,47.253
Gambia,GMB,1990,75.667
Gambia,GMB,1995,70.229
Gambia,GMB,2000,63.071
Gambia,GMB,2005,56.385
Gambia,GMB,2010,52.852
Gambia,GMB,2016,49.84
Georgia,GEO,1990,34.922
Georgia,GEO,1995,26.954
Georgia,GEO,2000,23.192
Georgia,GEO,2005,26.634
Georgia,GEO,2010,32.283
Georgia,GEO,2016,24.117
Germany,DEU,1990,8.84
Germany,DEU,1995,6.799
Germany,DEU,2000,6.384
Germany,DEU,2005,5.717
Germany,DEU,2010,4.501
Germany,DEU,2016,3.089
Ghana,GHA,1990,51.126
Ghana,GHA,1995,41.988
Ghana,GHA,2000,36.289
Ghana,GHA,2005,35.496
Ghana,GHA,2010,36.983
Ghana,GHA,2016,32.794
Greece,GRC,1990,10.633
Greece,GRC,1995,7.291
Greece,GRC,2000,5.896
Greece,GRC,2005,5.795
Greece,GRC,2010,5.245
Greece,GRC,2016,3.372
Grenada,GRD,1990,46.243
Grenada,GRD,1995,34.762
Grenada,GRD,2000,27.729
Grenada,GRD,2005,24.095
Grenada,GRD,2010,18.06
Grenada,GRD,2016,11.916
Guatemala,GTM,1990,57.219
Guatemala,GTM,1995,55.636
Guatemala,GTM,2000,53.577
Guatemala,GTM,2005,46.61
Guatemala,GTM,2010,40.278
Guatemala,GTM,2016,36.629
Guinea,GIN,1990,72.358
Guinea,GIN,1995,71.647
Guinea,GIN,2000,70.997
Guinea,GIN,2005,70.25
Guinea,GIN,2010,68.477
Guinea,GIN,2016,65.836
Guinea-Bissau,GNB,1990,54.688
Guinea-Bissau,GNB,1995,55.566
Guinea-Bissau,GNB,2000,58.048
Guinea-Bissau,GNB,2005,57.963
Guinea-Bissau,GNB,2010,51.833
Guinea-Bissau,GNB,2016,40.579
Guyana,GUY,1990,45.266
Guyana,GUY,1995,48.155
Guyana,GUY,2000,47.835
Guyana,GUY,2005,38.602
Guyana,GUY,2010,40.753
Guyana,GUY,2016,41.873
Haiti,HTI,1990,33.933
Haiti,HTI,1995,30.293
Haiti,HTI,2000,29.877
Haiti,HTI,2005,28.196
Haiti,HTI,2010,25.797
Haiti,HTI,2016,23.562
Honduras,HND,1990,57.596
Honduras,HND,1995,51.325
Honduras,HND,2000,46.053
Honduras,HND,2005,41.622
Honduras,HND,2010,39.991
Honduras,HND,2016,37.072
Hungary,HUN,1990,20.593
Hungary,HUN,1995,16.536
Hungary,HUN,2000,11.811
Hungary,HUN,2005,10.59
Hungary,HUN,2010,9.97
Hungary,HUN,2016,8.778
Iceland,ISL,1990,14.481
Iceland,ISL,1995,12.124
Iceland,ISL,2000,9.861
Iceland,ISL,2005,7.513
Iceland,ISL,2010,5.52
Iceland,ISL,2016,2.302
India,IND,1990,44.706
India,IND,1995,37.606
India,IND,2000,31.057
India,IND,2005,24.174
India,IND,2010,16.832
India,IND,2016,8.614
Indonesia,IDN,1990,31.874
Indonesia,IDN,1995,27.996
Indonesia,IDN,2000,27.047
Indonesia,IDN,2005,26.011
Indonesia,IDN,2010,24.482
Indonesia,IDN,2016,21.731
Iran,IRN,1990,44.06
Iran,IRN,1995,26.099
Iran,IRN,2000,20.253
Iran,IRN,2005,22.135
Iran,IRN,2010,20.948
Iran,IRN,2016,14.371
Iraq,IRQ,1990,34.054
Iraq,IRQ,1995,31.908
Iraq,IRQ,2000,31.517
Iraq,IRQ,2005,36.662
Iraq,IRQ,2010,48.844
Iraq,IRQ,2016,54.402
Ireland,IRL,1990,8.075
Ireland,IRL,1995,8.735
Ireland,IRL,2000,9.923
Ireland,IRL,2005,8.601
Ireland,IRL,2010,6.987
Ireland,IRL,2016,4.169
Israel,ISR,1990,10.38
Israel,ISR,1995,9.128
Israel,ISR,2000,8.69
Israel,ISR,2005,7.693
Israel,ISR,2010,6.098
Israel,ISR,2016,4.28
Italy,ITA,1990,4.885
Italy,ITA,1995,3.691
Italy,ITA,2000,3.521
Italy,ITA,2005,3.469
Italy,ITA,2010,3.394
Italy,ITA,2016,2.665
Jamaica,JAM,1990,61.711
Jamaica,JAM,1995,53.719
Jamaica,JAM,2000,49.009
Jamaica,JAM,2005,42.858
Jamaica,JAM,2010,39.085
Jamaica,JAM,2016,35.703
Japan,JPN,1990,2.141
Japan,JPN,1995,2.3
Japan,JPN,2000,2.832
Japan,JPN,2005,2.748
Japan,JPN,2010,2.445
Japan,JPN,2016,1.847
Jordan,JOR,1990,24.819
Jordan,JOR,1995,20.538
Jordan,JOR,2000,17.372
Jordan,JOR,2005,14.413
Jordan,JOR,2010,12.919
Jordan,JOR,2016,10.276
Kazakhstan,KAZ,1990,24.291
Kazakhstan,KAZ,1995,22.472
Kazakhstan,KAZ,2000,15.569
Kazakhstan,KAZ,2005,15.547
Kazakhstan,KAZ,2010,17.636
Kazakhstan,KAZ,2016,12.94
Kenya,KEN,1990,58.51
Kenya,KEN,1995,50.973
Kenya,KEN,2000,48.685
Kenya,KEN,2005,47.569
Kenya,KEN,2010,42.213
Kenya,KEN,2016,36.388
Kiribati,KIR,1990,25.027
Kiribati,KIR,1995,22.339
Kiribati,KIR,2000,19.602
Kiribati,KIR,2005,16.074
Kiribati,KIR,2010,10.735
Kiribati,KIR,2016,6.63
Kuwait,KWT,1990,11.805
Kuwait,KWT,1995,12.721
Kuwait,KWT,2000,10.586
Kuwait,KWT,2005,7.621
Kuwait,KWT,2010,5.813
Kuwait,KWT,2016,2.911
Kyrgyzstan,KGZ,1990,28.138
Kyrgyzstan,KGZ,1995,28.222
Kyrgyzstan,KGZ,2000,18.992
Kyrgyzstan,KGZ,2005,15.191
Kyrgyzstan,KGZ,2010,19.555
Kyrgyzstan,KGZ,2016,19.823
Laos,LAO,1990,46.835
Laos,LAO,1995,44.579
Laos,LAO,2000,40.98
Laos,LAO,2005,41.078
Laos,LAO,2010,45.294
Laos,LAO,2016,45.223
Latvia,LVA,1990,23.961
Latvia,LVA,1995,12.688
Latvia,LVA,2000,9.272
Latvia,LVA,2005,10.072
Latvia,LVA,2010,8.848
Latvia,LVA,2016,6.241
Lebanon,LBN,1990,22.235
Lebanon,LBN,1995,15.873
Lebanon,LBN,2000,10.817
Lebanon,LBN,2005,7.374
Lebanon,LBN,2010,6.365
Lebanon,LBN,2016,4.623
Lesotho,LSO,1990,32.56
Lesotho,LSO,1995,36.349
Lesotho,LSO,2000,40.082
Lesotho,LSO,2005,43.004
Lesotho,LSO,2010,43.205
Lesotho,LSO,2016,44.409
Liberia,LBR,1990,77.638
Liberia,LBR,1995,72.78
Liberia,LBR,2000,72.056
Liberia,LBR,2005,68.513
Liberia,LBR,2010,57.869
Liberia,LBR,2016,48.878
Libya,LBY,1990,4.712
Libya,LBY,1995,3.887
Libya,LBY,2000,3.836
Libya,LBY,2005,3.692
Libya,LBY,2010,2.831
Libya,LBY,2016,1.828
Lithuania,LTU,1990,20.837
Lithuania,LTU,1995,16.685
Lithuania,LTU,2000,12.133
Lithuania,LTU,2005,9.951
Lithuania,LTU,2010,9.172
Lithuania,LTU,2016,4.945
Luxembourg,LUX,1990,6.332
Luxembourg,LUX,1995,5.611
Luxembourg,LUX,2000,5.531
Luxembourg,LUX,2005,5.077
Luxembourg,LUX,2010,3.944
Luxembourg,LUX,2016,2.611
Macedonia,MKD,1990,22.451
Macedonia,MKD,1995,20.184
Macedonia,MKD,2000,14.968
Macedonia,MKD,2005,10.721
Macedonia,MKD,2010,10.567
Macedonia,MKD,2016,8.087
Madagascar,MDG,1990,70.73
Madagascar,MDG,1995,75.186
Madagascar,MDG,2000,70.819
Madagascar,MDG,2005,69.069
Madagascar,MDG,2010,63.076
Madagascar,MDG,2016,56.925
Malawi,MWI,1990,80.236
Malawi,MWI,1995,77.754
Malawi,MWI,2000,73.641
Malawi,MWI,2005,73.778
Malawi,MWI,2010,72.167
Malawi,MWI,2016,66.847
Malaysia,MYS,1990,9.122
Malaysia,MYS,1995,7.815
Malaysia,MYS,2000,7.108
Malaysia,MYS,2005,6.658
Malaysia,MYS,2010,7.237
Malaysia,MYS,2016,7.179
Maldives,MDV,1990,31.231
Maldives,MDV,1995,18.469
Maldives,MDV,2000,11.888
Maldives,MDV,2005,8.46
Maldives,MDV,2010,5.76
Maldives,MDV,2016,1.94
Mali,MLI,1990,86.194
Mali,MLI,1995,86.1
Mali,MLI,2000,84.898
Mali,MLI,2005,79.977
Mali,MLI,2010,78.279
Mali,MLI,2016,76.165
Malta,MLT,1990,5.799
Malta,MLT,1995,8.018
Malta,MLT,2000,9.187
Malta,MLT,2005,9.54
Malta,MLT,2010,9.657
Malta,MLT,2016,8.907
Marshall Islands,MHL,1990,63.978
Marshall Islands,MHL,1995,77.089
Marshall Islands,MHL,2000,76.549
Marshall Islands,MHL,2005,64.061
Marshall Islands,MHL,2010,53.909
Marshall Islands,MHL,2016,39.534
Mauritania,MRT,1990,41.873
Mauritania,MRT,1995,40.087
Mauritania,MRT,2000,37.653
Mauritania,MRT,2005,35.632
Mauritania,MRT,2010,33.292
Mauritania,MRT,2016,29.903
Mauritius,MUS,1990,22.598
Mauritius,MUS,1995,19.912
Mauritius,MUS,2000,18.345
Mauritius,MUS,2005,16.232
Mauritius,MUS,2010,14.825
Mauritius,MUS,2016,13.761
Mexico,MEX,1990,45.856
Mexico,MEX,1995,45.66
Mexico,MEX,2000,42.989
Mexico,MEX,2005,38.277
Mexico,MEX,2010,34.933
Mexico,MEX,2016,30.767
Micronesia (country),FSM,1990,43.688
Micronesia (country),FSM,1995,34.989
Micronesia (country),FSM,2000,28.295
Micronesia (country),FSM,2005,18.166
Micronesia (country),FSM,2010,14.201
Micronesia (country),FSM,2016,11.147
Moldova,MDA,1990,28.444
Moldova,MDA,1995,26.919
Moldova,MDA,2000,18.171
Moldova,MDA,2005,16.52
Moldova,MDA,2010,15.439
Moldova,MDA,2016,11.738
Mongolia,MNG,1990,18.368
Mongolia,MNG,1995,15.863
Mongolia,MNG,2000,11.67
Mongolia,MNG,2005,10.67
Mongolia,MNG,2010,10.778
Mongolia,MNG,2016,7.739
Montenegro,MNE,1990,14.084
Montenegro,MNE,1995,11.36
Montenegro,MNE,2000,9.451
Montenegro,MNE,2005,8.51
Montenegro,MNE,2010,7.637
Montenegro,MNE,2016,6.051
Morocco,MAR,1990,19.817
Morocco,MAR,1995,17.307
Morocco,MAR,2000,17.288
Morocco,MAR,2005,14.843
Morocco,MAR,2010,12.878
Morocco,MAR,2016,10.038
Mozambique,MOZ,1990,76.973
Mozambique,MOZ,1995,78.478
Mozambique,MOZ,2000,82.788
Mozambique,MOZ,2005,81.366
Mozambique,MOZ,2010,76.735
Mozambique,MOZ,2016,61.73
Myanmar,MMR,1990,16.296
Myanmar,MMR,1995,13.211
Myanmar,MMR,2000,12.281
Myanmar,MMR,2005,10.685
Myanmar,MMR,2010,9.272
Myanmar,MMR,2016,7.647
Namibia,NAM,1990,51.444
Namibia,NAM,1995,47.28
Namibia,NAM,2000,41.189
Namibia,NAM,2005,37.688
Namibia,NAM,2010,38.63
Namibia,NAM,2016,37.458
Nepal,NPL,1990,63.454
Nepal,NPL,1995,61.993
Nepal,NPL,2000,57.54
Nepal,NPL,2005,49.398
Nepal,NPL,2010,49.649
Nepal,NPL,2016,50.263
Netherlands,NLD,1990,3.965
Netherlands,NLD,1995,3.178
Netherlands,NLD,2000,3.38
Netherlands,NLD,2005,2.922
Netherlands,NLD,2010,2.483
Netherlands,NLD,2016,1.744
New Zealand,NZL,1990,18.297
New Zealand,NZL,1995,15.7
New Zealand,NZL,2000,13.767
New Zealand,NZL,2005,13.821
New Zealand,NZL,2010,14.138
New Zealand,NZL,2016,11.204
Nicaragua,NIC,1990,60.693
Nicaragua,NIC,1995,62.654
Nicaragua,NIC,2000,62.056
Nicaragua,NIC,2005,58.292
Nicaragua,NIC,2010,51.412
Nicaragua,NIC,2016,42.759
Niger,NER,1990,93.092
Niger,NER,1995,93.55
Niger,NER,2000,91.126
Niger,NER,2005,86.725
Niger,NER,2010,83.044
Niger,NER,2016,79.11
Nigeria,NGA,1990,61.888
Nigeria,NGA,1995,59.938
Nigeria,NGA,2000,58.81
Nigeria,NGA,2005,56.757
Nigeria,NGA,2010,53.947
Nigeria,NGA,2016,46.221
North Korea,PRK,1990,2.099
North Korea,PRK,1995,1.113
North Korea,PRK,2000,0.957
North Korea,PRK,2005,0.662
North Korea,PRK,2010,0.573
North Korea,PRK,2016,0.417
Norway,NOR,1990,9.435
Norway,NOR,1995,7.178
Norway,NOR,2000,5.314
Norway,NOR,2005,4.529
Norway,NOR,2010,3.736
Norway,NOR,2016,2.958
Oman,OMN,1990,36.751
Oman,OMN,1995,31.99
Oman,OMN,2000,22.988
Oman,OMN,2005,13.187
Oman,OMN,2010,8.546
Oman,OMN,2016,3.217
Pakistan,PAK,1990,38.25
Pakistan,PAK,1995,28.759
Pakistan,PAK,2000,21.183
Pakistan,PAK,2005,18.614
Pakistan,PAK,2010,19.332
Pakistan,PAK,2016,16.125
Palestine,PSE,1990,43.475
Palestine,PSE,1995,44.136
Palestine,PSE,2000,35.119
Palestine,PSE,2005,31.937
Palestine,PSE,2010,43.361
Palestine,PSE,2016,42.798
Panama,PAN,1990,44.984
Panama,PAN,1995,45.362
Panama,PAN,2000,42.117
Panama,PAN,2005,39.359
Panama,PAN,2010,38.362
Panama,PAN,2016,32.759
Papua New Guinea,PNG,1990,38
Papua New Guinea,PNG,1995,35.084
Papua New Guinea,PNG,2000,34.11
Papua New Guinea,PNG,2005,30.621
Papua New Guinea,PNG,2010,28.698
Papua New Guinea,PNG,2016,28.535
Paraguay,PRY,1990,42.601
Paraguay,PRY,1995,43.733
Paraguay,PRY,2000,41.005
Paraguay,PRY,2005,35.104
Paraguay,PRY,2010,29.971
Paraguay,PRY,2016,25.57
Peru,PER,1990,32.396
Peru,PER,1995,33.189
Peru,PER,2000,29.872
Peru,PER,2005,27.681
Peru,PER,2010,29.002
Peru,PER,2016,28.317
Philippines,PHL,1990,22.755
Philippines,PHL,1995,22.622
Philippines,PHL,2000,23.398
Philippines,PHL,2005,25.556
Philippines,PHL,2010,28.069
Philippines,PHL,2016,33.265
Poland,POL,1990,14.105
Poland,POL,1995,10.133
Poland,POL,2000,8.927
Poland,POL,2005,8.124
Poland,POL,2010,8.29
Poland,POL,2016,6.285
Portugal,PRT,1990,12.669
Portugal,PRT,1995,11.167
Portugal,PRT,2000,11.47
Portugal,PRT,2005,8.968
Portugal,PRT,2010,7.122
Portugal,PRT,2016,4.132
Qatar,QAT,1990,22.386
Qatar,QAT,1995,12.685
Qatar,QAT,2000,9.872
Qatar,QAT,2005,7.51
Qatar,QAT,2010,5.582
Qatar,QAT,2016,4.587
Romania,ROU,1990,25.02
Romania,ROU,1995,21.817
Romania,ROU,2000,18.576
Romania,ROU,2005,21.266
Romania,ROU,2010,17.07
Romania,ROU,2016,16.154
Russia,RUS,1990,25.801
Russia,RUS,1995,18.931
Russia,RUS,2000,14.615
Russia,RUS,2005,16.098
Russia,RUS,2010,15.977
Russia,RUS,2016,10.249
Rwanda,RWA,1990,28.075
Rwanda,RWA,1995,25.033
Rwanda,RWA,2000,24.252
Rwanda,RWA,2005,24.435
Rwanda,RWA,2010,16.987
Rwanda,RWA,2016,12.372
Saint Lucia,LCA,1990,53.007
Saint Lucia,LCA,1995,35.731
