Entity,Code,Year,Women who believe a husband is justified in beating his wife (any of five reasons) (%) (%)
Indonesia,IDN,2003,24.8
Indonesia,IDN,2007,30.8
Indonesia,IDN,2012,34.5
Iraq,IRQ,2011,51.2
Jamaica,JAM,2011,4.9
Jordan,JOR,2002,65.4
Jordan,JOR,2007,52.5
Jordan,JOR,2012,22.6
Kazakhstan,KAZ,2006,10.4
Kazakhstan,KAZ,2011,12.2
Kenya,KEN,2003,67.9
Kenya,KEN,2009,52.6
Kenya,KEN,2014,41.8
Kyrgyzstan,KGZ,2006,37.7
Kyrgyzstan,KGZ,2012,33.7
Kyrgyzstan,KGZ,2014,32.8
Laos,LAO,2012,58.2
Lebanon,LBN,2009,9.7
Lesotho,LSO,2004,48.3
Lesotho,LSO,2009,37.1
Lesotho,LSO,2014,33.3
Liberia,LBR,2007,59.3
Liberia,LBR,2013,42.5
Macedonia,MKD,2005,20.7
Macedonia,MKD,2011,14.5
Madagascar,MDG,2004,28
Madagascar,MDG,2009,32.3
Madagascar,MDG,2013,45.2
Malawi,MWI,2000,35.7
Malawi,MWI,2004,28.2
Malawi,MWI,2010,12.6
Malawi,MWI,2014,12.9
Malawi,MWI,2016,16.3
Maldives,MDV,2009,30.8
Mali,MLI,2001,88.8
Mali,MLI,2006,75.2
Mali,MLI,2010,87.2
Mali,MLI,2013,76.3
Mauritania,MRT,2011,37.9
Moldova,MDA,2005,20.8
Moldova,MDA,2012,11.2
Mongolia,MNG,2005,20.4
Mongolia,MNG,2010,10.1
Montenegro,MNE,2006,10.9
Montenegro,MNE,2013,2.7
Morocco,MAR,2004,63.9
Mozambique,MOZ,2003,54.1
Mozambique,MOZ,2011,21
Myanmar,MMR,2016,51.2
Namibia,NAM,2007,35.2
Namibia,NAM,2013,28.2
Nepal,NPL,2001,28.8
Nepal,NPL,2006,23.2
Nepal,NPL,2011,0.8
Nepal,NPL,2016,28.5
Nicaragua,NIC,2001,12.5
Niger,NER,2006,70.1
Niger,NER,2012,59.6
Nigeria,NGA,2003,64.2
Nigeria,NGA,2008,43
Nigeria,NGA,2013,34.7
Oman,OMN,2014,7.9
Pakistan,PAK,2013,42.2
Panama,PAN,2014,5.7
Peru,PER,2006,2.8
Peru,PER,2008,4.8
Peru,PER,2009,5.7
Peru,PER,2010,4.9
Peru,PER,2011,3.6
Peru,PER,2012,3.5
Philippines,PHL,2003,24.1
Philippines,PHL,2008,14.1
Philippines,PHL,2013,12.9
Qatar,QAT,2012,6.6
Rwanda,RWA,2000,63.3
Rwanda,RWA,2005,48
Rwanda,RWA,2010,56.2
Rwanda,RWA,2015,41.4
Saint Lucia,LCA,2012,6.5
Sao Tome and Principe,STP,2009,19.5
Sao Tome and Principe,STP,2014,19.1
Senegal,SEN,2005,65.2
Senegal,SEN,2011,60
Senegal,SEN,2013,64.2
Senegal,SEN,2014,57.2
Senegal,SEN,2015,56.5
Senegal,SEN,2016,48.6
Serbia,SRB,2006,6.2
Serbia,SRB,2014,3.8
Sierra Leone,SLE,2005,85
Sierra Leone,SLE,2008,64.6
Sierra Leone,SLE,2013,62.8
Somalia,SOM,2006,75.7
South Sudan,SSD,2010,78.5
Sudan,SDN,2014,34
Suriname,SUR,2010,12.5
Swaziland,SWZ,2007,23.2
Swaziland,SWZ,2014,19.9
Tajikistan,TJK,2005,74.4
Tajikistan,TJK,2012,59.6
Tanzania,TZA,2005,59.6
Tanzania,TZA,2010,53.5
Tanzania,TZA,2016,58
Thailand,THA,2012,13.1
Timor,TLS,2010,86.2
Togo,TGO,2006,53.2
Togo,TGO,2014,28.7
Trinidad and Tobago,TTO,2006,7.6
Tunisia,TUN,2012,30.3
Turkey,TUR,2003,39.2
Turkmenistan,TKM,2000,51.7
Turkmenistan,TKM,2006,37.7
Uganda,UGA,2001,76.5
Uganda,UGA,2006,70.2
Uganda,UGA,2011,58.3
Ukraine,UKR,2005,5
Ukraine,UKR,2007,3.6
Ukraine,UKR,2012,2.9
Uruguay,URY,2013,1.5
Vietnam,VNM,2006,63.8
Vietnam,VNM,2014,28.2
Yemen,YEM,2013,48.7
Zambia,ZMB,2002,85.4
Zambia,ZMB,2007,61.9
Zambia,ZMB,2014,46.9
Zimbabwe,ZWE,1999,51
Zimbabwe,ZWE,2006,47.7
Zimbabwe,ZWE,2011,39.6
Zimbabwe,ZWE,2014,37.4
Zimbabwe,ZWE,2015,38.7
