Entity,Code,Year,Girls (%),Boys (%)
Azerbaijan,AZE,2017,2.0500000000000003,2.54
Bahamas,BHS,1990,2.17,2.52
Bahamas,BHS,2000,1.4800000000000002,1.7100000000000002
Bahamas,BHS,2010,1.08,1.25
Bahamas,BHS,2015,0.75,0.86
Bahamas,BHS,2017,0.67,0.77
Bahrain,BHR,1990,2.22,2.3800000000000003
Bahrain,BHR,2000,1.2000000000000002,1.29
Bahrain,BHR,2010,0.82,0.8800000000000001
Bahrain,BHR,2015,0.73,0.79
Bahrain,BHR,2017,0.71,0.76
Bangladesh,BGD,1990,14.02,14.71
Bangladesh,BGD,2000,8.4,9.08
Bangladesh,BGD,2010,4.63,5.2
Bangladesh,BGD,2015,3.38,3.88
Bangladesh,BGD,2017,3,3.4700000000000006
Barbados,BRB,1990,1.6100000000000003,1.9600000000000002
Barbados,BRB,2000,1.3800000000000001,1.6500000000000001
Barbados,BRB,2010,1.31,1.58
Barbados,BRB,2015,1.1900000000000002,1.4300000000000002
Barbados,BRB,2017,1.1199999999999999,1.36
Belarus,BLR,1990,1.29,1.74
Belarus,BLR,2000,1.08,1.46
Belarus,BLR,2010,0.48,0.6200000000000001
Belarus,BLR,2015,0.36000000000000004,0.45
Belarus,BLR,2017,0.33,0.42000000000000004
Belgium,BEL,1990,0.86,1.1300000000000001
Belgium,BEL,2000,0.52,0.65
Belgium,BEL,2010,0.4,0.5
Belgium,BEL,2015,0.35000000000000003,0.44000000000000006
Belgium,BEL,2017,0.33,0.42000000000000004
Belize,BLZ,1990,3.48,4.2
Belize,BLZ,2000,2.12,2.6
Belize,BLZ,2010,1.7100000000000002,2.08
Belize,BLZ,2015,1.4100000000000001,1.7100000000000002
Belize,BLZ,2017,1.2800000000000002,1.56
Benin,BEN,1990,17,18.51
Benin,BEN,2000,13.700000000000001,14.92
Benin,BEN,2010,10.740000000000002,11.940000000000001
Benin,BEN,2015,9.780000000000001,10.93
Benin,BEN,2017,9.26,10.370000000000001
Bhutan,BTN,1990,12.280000000000001,13.27
Bhutan,BTN,2000,7.340000000000001,8.18
Bhutan,BTN,2010,3.9000000000000004,4.58
Bhutan,BTN,2015,3.0300000000000002,3.6200000000000006
Bhutan,BTN,2017,2.79,3.3600000000000003
Bolivia,BOL,1990,11.72,13.01
Bolivia,BOL,2000,7.46,8.440000000000001
Bolivia,BOL,2010,4.19,4.99
Bolivia,BOL,2015,3.39,4.09
Bolivia,BOL,2017,3.14,3.8100000000000005
Bosnia and Herzegovina,BIH,1990,1.6100000000000003,2.0100000000000002
Bosnia and Herzegovina,BIH,2000,0.87,1.09
Bosnia and Herzegovina,BIH,2010,0.6400000000000001,0.79
Bosnia and Herzegovina,BIH,2015,0.54,0.66
Bosnia and Herzegovina,BIH,2017,0.52,0.6200000000000001
Botswana,BWA,1990,4.670000000000001,5.57
Botswana,BWA,2000,8.24,9.13
Botswana,BWA,2010,4.58,5.390000000000001
Botswana,BWA,2015,3.6799999999999997,4.420000000000001
Botswana,BWA,2017,3.4000000000000004,4.09
Brazil,BRA,1990,5.69,6.9
Brazil,BRA,2000,3.0600000000000005,3.8600000000000003
Brazil,BRA,2010,1.64,2.09
Brazil,BRA,2015,1.3800000000000001,1.7600000000000002
Brazil,BRA,2017,1.3,1.6500000000000001
Brunei,BRN,1990,1.22,1.4500000000000002
Brunei,BRN,2000,1.08,1.27
Brunei,BRN,2010,0.97,1.1500000000000001
Brunei,BRN,2015,0.96,1.1400000000000001
Brunei,BRN,2017,0.96,1.1300000000000001
Bulgaria,BGR,1990,1.62,2.0500000000000003
Bulgaria,BGR,2000,1.56,1.9500000000000002
Bulgaria,BGR,2010,0.9500000000000001,1.1800000000000002
Bulgaria,BGR,2015,0.7400000000000001,0.9199999999999999
Bulgaria,BGR,2017,0.67,0.82
Burkina Faso,BFA,1990,19.240000000000002,20.700000000000003
Burkina Faso,BFA,2000,17.41,18.650000000000002
Burkina Faso,BFA,2010,11.14,12.07
Burkina Faso,BFA,2015,8.39,9.25
Burkina Faso,BFA,2017,7.690000000000001,8.53
Burundi,BDI,1990,16.66,18.21
Burundi,BDI,2000,14.89,16.39
Burundi,BDI,2010,8.48,9.620000000000001
Burundi,BDI,2015,6.210000000000001,7.2
Burundi,BDI,2017,5.63,6.57
Cambodia,KHM,1990,10.770000000000001,12.370000000000001
Cambodia,KHM,2000,9.920000000000002,11.43
Cambodia,KHM,2010,3.9600000000000004,4.9
Cambodia,KHM,2015,2.8200000000000003,3.5500000000000003
Cambodia,KHM,2017,2.5700000000000003,3.25
Cameroon,CMR,1990,13.080000000000002,14.61
Cameroon,CMR,2000,14.200000000000001,15.82
Cameroon,CMR,2010,10.350000000000001,11.700000000000001
Cameroon,CMR,2015,8.41,9.57
Cameroon,CMR,2017,7.83,8.950000000000001
Canada,CAN,1990,0.73,0.91
Canada,CAN,2000,0.5599999999999999,0.68
Canada,CAN,2010,0.52,0.61
Canada,CAN,2015,0.49000000000000005,0.5700000000000001
Canada,CAN,2017,0.47000000000000003,0.55
Cape Verde,CPV,1990,5.82,6.7
Cape Verde,CPV,2000,3.24,3.85
Cape Verde,CPV,2010,2.27,2.74
Cape Verde,CPV,2015,1.7800000000000002,2.16
Cape Verde,CPV,2017,1.57,1.9100000000000001
Caribbean small states,,1990,3.1929927742321804,3.9473705553363203
Caribbean small states,,2000,2.46275779541527,3.0814750500833403
Caribbean small states,,2010,2.05508680325698,2.56834643519131
Caribbean small states,,2015,1.7861733142474803,2.23604770334482
Caribbean small states,,2017,1.6702828899299402,2.09678574805519
Central African Republic,CAF,1990,16.790000000000003,18.31
Central African Republic,CAF,2000,16.78,18.21
Central African Republic,CAF,2010,14.37,15.75
Central African Republic,CAF,2015,12.33,13.680000000000001
Central African Republic,CAF,2017,11.48,12.8
Central Europe and the Baltics,,1990,1.70862572781266,2.15707014601368
Central Europe and the Baltics,,2000,1.1069631738815,1.36305919993483
Central Europe and the Baltics,,2010,0.635923989189723,0.777537152182676
Central Europe and the Baltics,,2015,0.517267106585849,0.6302798761856421
Central Europe and the Baltics,,2017,0.476177888278544,0.5786541224888041
Chad,TCD,1990,20.25,22.240000000000002
Chad,TCD,2000,17.75,19.540000000000003
Chad,TCD,2010,14.219999999999999,15.790000000000001
Chad,TCD,2015,12.36,13.780000000000001
Chad,TCD,2017,11.61,12.990000000000002
Chile,CHL,1990,1.72,2.1
Chile,CHL,2000,0.9900000000000001,1.1900000000000002
Chile,CHL,2010,0.8,0.9500000000000001
Chile,CHL,2015,0.7200000000000001,0.86
Chile,CHL,2017,0.68,0.8
China,CHN,1990,5.15,5.6000000000000005
China,CHN,2000,3.4700000000000006,3.8700000000000006
China,CHN,2010,1.46,1.6800000000000002
China,CHN,2015,1,1.1400000000000001
China,CHN,2017,0.87,0.9900000000000001
Colombia,COL,1990,3.12,3.89
Colombia,COL,2000,2.2100000000000004,2.7800000000000002
Colombia,COL,2010,1.64,2.06
Colombia,COL,2015,1.3900000000000001,1.75
Colombia,COL,2017,1.3,1.64
Comoros,COM,1990,11.72,13.21
Comoros,COM,2000,9.43,10.75
Comoros,COM,2010,7.920000000000001,9.14
Comoros,COM,2015,6.73,7.88
Comoros,COM,2017,6.34,7.43
Congo,COG,1990,8.42,9.540000000000001
Congo,COG,2000,10.770000000000001,12.05
Congo,COG,2010,5.83,6.76
Congo,COG,2015,4.69,5.550000000000001
Congo,COG,2017,4.32,5.16
Costa Rica,CRI,1990,1.4800000000000002,1.87
Costa Rica,CRI,2000,1.1500000000000001,1.4300000000000002
Costa Rica,CRI,2010,0.9,1.1
Costa Rica,CRI,2015,0.8500000000000001,1.02
Costa Rica,CRI,2017,0.81,0.9800000000000001
Cote d'Ivoire,CIV,1990,13.980000000000002,16.330000000000002
Cote d'Ivoire,CIV,2000,13.5,15.790000000000001
Cote d'Ivoire,CIV,2010,9.98,11.940000000000001
Cote d'Ivoire,CIV,2015,8.6,10.340000000000002
Cote d'Ivoire,CIV,2017,8.03,9.68
Croatia,HRV,1990,1.1199999999999999,1.4400000000000002
Croatia,HRV,2000,0.75,0.91
Croatia,HRV,2010,0.5,0.5900000000000001
Croatia,HRV,2015,0.44000000000000006,0.52
Croatia,HRV,2017,0.42000000000000004,0.5
Cuba,CUB,1990,1.1400000000000001,1.5
Cuba,CUB,2000,0.71,0.9
Cuba,CUB,2010,0.54,0.67
Cuba,CUB,2015,0.5,0.6200000000000001
Cuba,CUB,2017,0.48,0.5900000000000001
Cyprus,CYP,1990,0.9900000000000001,1.21
Cyprus,CYP,2000,0.61,0.7200000000000001
Cyprus,CYP,2010,0.33,0.39
Cyprus,CYP,2015,0.27,0.31000000000000005
Cyprus,CYP,2017,0.25,0.29
Czech Republic,CZE,1990,1.05,1.37
Czech Republic,CZE,2000,0.48,0.61
Czech Republic,CZE,2010,0.30000000000000004,0.38
Czech Republic,CZE,2015,0.27999999999999997,0.35000000000000003
Czech Republic,CZE,2017,0.29,0.37000000000000005
Democratic Republic of Congo,COD,1990,17.76,19.46
Democratic Republic of Congo,COD,2000,15.16,17.05
Democratic Republic of Congo,COD,2010,10.790000000000001,12.39
Democratic Republic of Congo,COD,2015,9.020000000000001,10.48
Democratic Republic of Congo,COD,2017,8.4,9.790000000000001
Denmark,DNK,1990,0.78,1
Denmark,DNK,2000,0.49000000000000005,0.6000000000000001
Denmark,DNK,2010,0.37000000000000005,0.45
Denmark,DNK,2015,0.38,0.45999999999999996
Denmark,DNK,2017,0.39,0.45999999999999996
Djibouti,DJI,1990,11.07,12.61
Djibouti,DJI,2000,9.450000000000001,10.82
Djibouti,DJI,2010,7.06,8.25
Djibouti,DJI,2015,6.010000000000001,7.109999999999999
Djibouti,DJI,2017,5.63,6.670000000000001
Dominica,DMA,1990,1.57,1.85
Dominica,DMA,2000,1.4100000000000001,1.6600000000000001
Dominica,DMA,2010,1.9100000000000001,2.25
Dominica,DMA,2015,2.8600000000000003,3.3600000000000003
Dominica,DMA,2017,3.1300000000000003,3.66
Dominican Republic,DOM,1990,5.5600000000000005,6.45
Dominican Republic,DOM,2000,3.74,4.45
Dominican Republic,DOM,2010,3.1100000000000003,3.75
Dominican Republic,DOM,2015,2.85,3.45
Dominican Republic,DOM,2017,2.69,3.2700000000000005
Early-demographic dividend,,1990,10.7997069721594,10.995966115619401
Early-demographic dividend,,2000,7.88609040155818,7.9712561067933
Early-demographic dividend,,2010,5.0929624031754805,5.27973129567712
Early-demographic dividend,,2015,3.92987501419791,4.20574324828349
Early-demographic dividend,,2017,3.59112252300014,3.8835344865055497
East Asia & Pacific,,1990,5.34,6
East Asia & Pacific,,2000,3.6799999999999997,4.25
East Asia & Pacific,,2010,2,2.37
East Asia & Pacific,,2015,1.56,1.8600000000000003
East Asia & Pacific,,2017,1.4300000000000002,1.7100000000000002
East Asia & Pacific (IDA & IBRD),,1990,5.623953057768371,6.33488168039522
East Asia & Pacific (IDA & IBRD),,2000,3.88047091062259,4.5007389202599
East Asia & Pacific (IDA & IBRD),,2010,2.08162186308502,2.5101233765404602
East Asia & Pacific (IDA & IBRD),,2015,1.6203583280716403,1.9680056683700202
East Asia & Pacific (IDA & IBRD),,2017,1.4916529782096102,1.8193180613664202
East Asia & Pacific (excluding high income),,1990,5.60608031639594,6.3180992889542305
East Asia & Pacific (excluding high income),,2000,3.9051263972915002,4.5303229825040905
East Asia & Pacific (excluding high income),,2010,2.08882479492497,2.51959356695257
East Asia & Pacific (excluding high income),,2015,1.6236825902902599,1.97266553160701
East Asia & Pacific (excluding high income),,2017,1.4944351992933402,1.8231034658495702
Ecuador,ECU,1990,4.88,5.93
Ecuador,ECU,2000,2.5500000000000003,3.25
Ecuador,ECU,2010,1.6,2.04
Ecuador,ECU,2015,1.33,1.6800000000000002
Ecuador,ECU,2017,1.2800000000000002,1.6100000000000003
Egypt,EGY,1990,8.58,8.56
Egypt,EGY,2000,4.510000000000001,4.84
Egypt,EGY,2010,2.74,3.0500000000000003
Egypt,EGY,2015,2.23,2.5100000000000002
Egypt,EGY,2017,2.07,2.34
El Salvador,SLV,1990,5.48,6.43
El Salvador,SLV,2000,2.95,3.6
El Salvador,SLV,2010,1.72,2.14
El Salvador,SLV,2015,1.3800000000000001,1.7100000000000002
El Salvador,SLV,2017,1.29,1.59
Equatorial Guinea,GNQ,1990,16.919999999999998,18.77
Equatorial Guinea,GNQ,2000,14.75,16.490000000000002
Equatorial Guinea,GNQ,2010,10.61,12.040000000000001
Equatorial Guinea,GNQ,2015,8.92,10.240000000000002
Equatorial Guinea,GNQ,2017,8.32,9.57
Eritrea,ERI,1990,13.9,16.169999999999998
Eritrea,ERI,2000,8.06,9.58
Eritrea,ERI,2010,4.95,6.07
Eritrea,ERI,2015,4.1000000000000005,5.09
Eritrea,ERI,2017,3.8200000000000003,4.78
Estonia,EST,1990,1.54,1.99
Estonia,EST,2000,0.97,1.2300000000000002
Estonia,EST,2010,0.41,0.5
Estonia,EST,2015,0.27999999999999997,0.34
Estonia,EST,2017,0.25,0.30000000000000004
Ethiopia,ETH,1990,18.85,21.480000000000004
Ethiopia,ETH,2000,13.16,15.31
Ethiopia,ETH,2010,7.57,9.13
Ethiopia,ETH,2015,5.74,7.050000000000001
Ethiopia,ETH,2017,5.210000000000001,6.45
Euro area,,1990,0.8421057586876801,1.07111665639189
Euro area,,2000,0.518415854883231,0.636136094148248
Euro area,,2010,0.37858155472042604,0.45581117643982705
Euro area,,2015,0.349280850584532,0.419404142749696
Euro area,,2017,0.340185134165804,0.40882425905380304
Europe & Central Asia,,1990,2.8000000000000003,3.3600000000000003
Europe & Central Asia,,2000,1.9500000000000002,2.37
Europe & Central Asia,,2010,1.1199999999999999,1.3800000000000001
Europe & Central Asia,,2015,0.8800000000000001,1.09
Europe & Central Asia,,2017,0.8,0.9900000000000001
Europe & Central Asia (IDA & IBRD),,1990,4.05953810598895,4.8291479066211
Europe & Central Asia (IDA & IBRD),,2000,3.0963085650338904,3.7370225387969804
Europe & Central Asia (IDA & IBRD),,2010,1.6512659897551,2.03716252447269
Europe & Central Asia (IDA & IBRD),,2015,1.2560185721015402,1.5570835767630902
Europe & Central Asia (IDA & IBRD),,2017,1.1245559634606601,1.39065089028745
Europe & Central Asia (excluding high income),,1990,4.2883073853968705,5.08975933483324
Europe & Central Asia (excluding high income),,2000,3.2802426420166904,3.95852801001082
Europe & Central Asia (excluding high income),,2010,1.7335468229149502,2.1399436285199402
Europe & Central Asia (excluding high income),,2015,1.31016622750729,1.62530133787314
Europe & Central Asia (excluding high income),,2017,1.16962287596935,1.44719133809207
European Union,,1990,1.0415121448186,1.3212067875961802
European Union,,2000,0.632808066081183,0.778318594444965
European Union,,2010,0.43640769624756603,0.5284981560440041
European Union,,2015,0.38626422116908204,0.46741794280650206
European Union,,2017,0.371630848126139,0.447943589018157
Fiji,FJI,1990,2.66,3.14
Fiji,FJI,2000,2.1,2.47
Fiji,FJI,2010,2.19,2.59
Fiji,FJI,2015,2.25,2.67
Fiji,FJI,2017,2.31,2.75
Finland,FIN,1990,0.6000000000000001,0.7400000000000001
Finland,FIN,2000,0.38,0.47000000000000003
Finland,FIN,2010,0.27,0.33
Finland,FIN,2015,0.22000000000000003,0.27
Finland,FIN,2017,0.2,0.25
Fragile and conflict affected situations,,1990,14.183951477143601,15.676608412643601
Fragile and conflict affected situations,,2000,11.868931869470002,13.2559987798487
Fragile and conflict affected situations,,2010,8.71856371923905,9.898186153683081
Fragile and conflict affected situations,,2015,7.17894303842363,8.2655593158297
Fragile and conflict affected situations,,2017,6.74861521631852,7.79582136797345
France,FRA,1990,0.77,1.02
France,FRA,2000,0.47000000000000003,0.6000000000000001
France,FRA,2010,0.38,0.45999999999999996
France,FRA,2015,0.38,0.45999999999999996
France,FRA,2017,0.38,0.45999999999999996
Gabon,GAB,1990,8.55,9.9
Gabon,GAB,2000,7.670000000000001,8.92
Gabon,GAB,2010,5.79,6.840000000000001
Gabon,GAB,2015,4.75,5.710000000000001
Gabon,GAB,2017,4.3500000000000005,5.28
Gambia,GMB,1990,16.05,17.919999999999998
Gambia,GMB,2000,11.120000000000001,12.520000000000001
Gambia,GMB,2010,7.51,8.620000000000001
Gambia,GMB,2015,6.2700000000000005,7.290000000000001
Gambia,GMB,2017,5.8500000000000005,6.840000000000001
Georgia,GEO,1990,4.2299999999999995,5.28
Georgia,GEO,2000,3.1,3.95
Georgia,GEO,2010,1.4400000000000002,1.8600000000000003
Georgia,GEO,2015,1.06,1.35
Georgia,GEO,2017,0.9500000000000001,1.21
Germany,DEU,1990,0.7400000000000001,0.96
Germany,DEU,2000,0.48,0.5900000000000001
Germany,DEU,2010,0.38,0.45999999999999996
Germany,DEU,2015,0.35000000000000003,0.42000000000000004
Germany,DEU,2017,0.34,0.41
Ghana,GHA,1990,11.850000000000001,13.41
Ghana,GHA,2000,9.209999999999999,10.600000000000001
Ghana,GHA,2010,6.63,7.83
Ghana,GHA,2015,4.960000000000001,5.960000000000001
Ghana,GHA,2017,4.44,5.390000000000001
Greece,GRC,1990,0.9500000000000001,1.1300000000000001
Greece,GRC,2000,0.5900000000000001,0.6900000000000001
Greece,GRC,2010,0.36000000000000004,0.42000000000000004
Greece,GRC,2015,0.44000000000000006,0.51
Greece,GRC,2017,0.49000000000000005,0.5700000000000001
Grenada,GRD,1990,2.14,2.52
Grenada,GRD,2000,1.4400000000000002,1.7000000000000002
Grenada,GRD,2010,1.31,1.55
Grenada,GRD,2015,1.4900000000000002,1.7600000000000002
Grenada,GRD,2017,1.5300000000000002,1.8100000000000003
Guatemala,GTM,1990,7.57,8.68
Guatemala,GTM,2000,4.75,5.6000000000000005
Guatemala,GTM,2010,3.19,3.88
Guatemala,GTM,2015,2.64,3.25
Guatemala,GTM,2017,2.4600000000000004,3.04
Guinea,GIN,1990,22.64,24.25
Guinea,GIN,2000,15.75,17.28
Guinea,GIN,2010,10.280000000000001,11.46
Guinea,GIN,2015,8.620000000000001,9.690000000000001
Guinea,GIN,2017,8.05,9.08
Guinea-Bissau,GNB,1990,21.22,23.5
Guinea-Bissau,GNB,2000,16.53,18.580000000000002
Guinea-Bissau,GNB,2010,10.58,12.14
Guinea-Bissau,GNB,2015,8.39,9.73
Guinea-Bissau,GNB,2017,7.78,9.03
Guyana,GUY,1990,5.370000000000001,6.690000000000001
Guyana,GUY,2000,4.11,5.2
Guyana,GUY,2010,3.28,4.2
Guyana,GUY,2015,2.9000000000000004,3.74
Guyana,GUY,2017,2.72,3.5200000000000005
Haiti,HTI,1990,13.61,15.32
Haiti,HTI,2000,9.670000000000002,11.100000000000001
Haiti,HTI,2010,20.44,21.71
Haiti,HTI,2015,6.890000000000001,8.1
Haiti,HTI,2017,6.57,7.73
Heavily indebted poor countries (HIPC),,1990,17.259669060181302,19.0416699571709
Heavily indebted poor countries (HIPC),,2000,13.858531110189402,15.462867523306901
Heavily indebted poor countries (HIPC),,2010,9.00038532926233,10.247266729370601
Heavily indebted poor countries (HIPC),,2015,7.08987481836926,8.19604828236309
Heavily indebted poor countries (HIPC),,2017,6.54624189057665,7.60298518861826
High income,,1990,1.2000000000000002,1.47
High income,,2000,0.77,0.9300000000000002
High income,,2010,0.5900000000000001,0.7000000000000001
High income,,2015,0.52,0.6200000000000001
High income,,2017,0.5,0.5900000000000001
Honduras,HND,1990,5.300000000000001,6.3100000000000005
Honduras,HND,2000,3.3600000000000003,4.1000000000000005
Honduras,HND,2010,2.1,2.62
Honduras,HND,2015,1.74,2.17
Honduras,HND,2017,1.6100000000000003,2.02
Hungary,HUN,1990,1.5300000000000002,1.9100000000000001
Hungary,HUN,2000,0.9199999999999999,1.11
Hungary,HUN,2010,0.55,0.65
Hungary,HUN,2015,0.47000000000000003,0.55
Hungary,HUN,2017,0.42000000000000004,0.49000000000000005
IBRD only,,1990,7.6867806906024105,7.91861259183424
IBRD only,,2000,5.83054611017692,5.874178892344711
IBRD only,,2010,3.4829795407267605,3.56841785556342
IBRD only,,2015,2.6334800560121305,2.7828525504945203
IBRD only,,2017,2.39796795438583,2.55955216127133
IDA & IBRD total,,1990,9.87994277254948,10.450221949729501
IDA & IBRD total,,2000,8.171788137460661,8.66177540723042
IDA & IBRD total,,2010,5.360564253508531,5.830443870217411
IDA & IBRD total,,2015,4.30433974615219,4.787001849981251
IDA & IBRD total,,2017,4.00319490910039,4.48274022142668
IDA blend,,1990,14.7483812344407,16.0646376343607
IDA blend,,2000,13.343917441284402,14.591376213076101
IDA blend,,2010,9.56278127045849,10.687130846643901
IDA blend,,2015,8.003765405453311,9.02105203111423
IDA blend,,2017,7.473283820188669,8.44427748454275
IDA only,,1990,15.876312573895701,17.3745942969772
IDA only,,2000,12.330980528151601,13.7226622150641
IDA only,,2010,8.01757347859432,9.13532908237255
IDA only,,2015,6.406492591096191,7.41182396096773
IDA only,,2017,5.9472523456064605,6.91079200908696
IDA total,,1990,15.5014297642336,16.9392129780624
IDA total,,2000,12.657528921029101,14.0027163391098
IDA total,,2010,8.53554097619693,9.65550693861104
IDA total,,2015,6.94480353657536,7.954164052244391
IDA total,,2017,6.459267014425301,7.425307647153311
Iceland,ISL,1990,0.5700000000000001,0.6900000000000001
Iceland,ISL,2000,0.38,0.45
Iceland,ISL,2010,0.24,0.29
Iceland,ISL,2015,0.21000000000000002,0.25
Iceland,ISL,2017,0.19,0.22999999999999998
India,IND,1990,13.030000000000001,12.200000000000001
India,IND,2000,9.66,8.700000000000001
India,IND,2010,6.140000000000001,5.5600000000000005
India,IND,2015,4.55,4.28
India,IND,2017,4.04,3.85
Indonesia,IDN,1990,7.73,9.03
Indonesia,IDN,2000,4.720000000000001,5.670000000000001
Indonesia,IDN,2010,2.95,3.6799999999999997
Indonesia,IDN,2015,2.4000000000000004,3.0300000000000002
Indonesia,IDN,2017,2.23,2.83
Iran,IRN,1990,5.58,5.640000000000001
Iran,IRN,2000,3.3200000000000003,3.5200000000000005
Iran,IRN,2010,1.8800000000000001,2.04
Iran,IRN,2015,1.5300000000000002,1.67
Iran,IRN,2017,1.42,1.56
Iraq,IRQ,1990,4.960000000000001,5.79
Iraq,IRQ,2000,4.11,4.8500000000000005
Iraq,IRQ,2010,3.35,4.010000000000001
Iraq,IRQ,2015,2.91,3.5200000000000005
Iraq,IRQ,2017,2.7300000000000004,3.33
Ireland,IRL,1990,0.82,1.02
Ireland,IRL,2000,0.6400000000000001,0.78
Ireland,IRL,2010,0.38,0.45999999999999996
Ireland,IRL,2015,0.34,0.41
Ireland,IRL,2017,0.32000000000000006,0.39
Israel,ISR,1990,1.08,1.2300000000000002
Israel,ISR,2000,0.6400000000000001,0.7400000000000001
Israel,ISR,2010,0.42000000000000004,0.49000000000000005
Israel,ISR,2015,0.35000000000000003,0.41
Israel,ISR,2017,0.33,0.38
Italy,ITA,1990,0.87,1.06
Italy,ITA,2000,0.51,0.6000000000000001
Italy,ITA,2010,0.36000000000000004,0.43
Italy,ITA,2015,0.32000000000000006,0.38
Italy,ITA,2017,0.31000000000000005,0.36000000000000004
Jamaica,JAM,1990,2.69,3.41
Jamaica,JAM,2000,1.9500000000000002,2.5100000000000002
Jamaica,JAM,2010,1.6300000000000001,2.09
Jamaica,JAM,2015,1.42,1.8100000000000003
Jamaica,JAM,2017,1.33,1.7000000000000002
Japan,JPN,1990,0.5700000000000001,0.6900000000000001
Japan,JPN,2000,0.41,0.49000000000000005
Japan,JPN,2010,0.30000000000000004,0.34
Japan,JPN,2015,0.27999999999999997,0.32000000000000006
Japan,JPN,2017,0.24,0.27
Jordan,JOR,1990,3.49,3.78
Jordan,JOR,2000,2.64,2.91
Jordan,JOR,2010,1.99,2.2100000000000004
Jordan,JOR,2015,1.7100000000000002,1.9000000000000001
Jordan,JOR,2017,1.6100000000000003,1.79
Kazakhstan,KAZ,1990,4.66,5.82
Kazakhstan,KAZ,2000,3.8000000000000003,4.78
Kazakhstan,KAZ,2010,1.8,2.27
Kazakhstan,KAZ,2015,1.06,1.33
Kazakhstan,KAZ,2017,0.8900000000000001,1.11
Kenya,KEN,1990,9.76,10.940000000000001
Kenya,KEN,2000,9.840000000000002,11.040000000000001
Kenya,KEN,2010,5.390000000000001,6.2700000000000005
Kenya,KEN,2015,4.45,5.2700000000000005
Kenya,KEN,2017,4.15,4.95
Kiribati,KIR,1990,8.91,10.190000000000001
Kiribati,KIR,2000,6.550000000000001,7.66
Kiribati,KIR,2010,5.95,7
Kiribati,KIR,2015,5.28,6.260000000000001
Kiribati,KIR,2017,4.98,5.920000000000001
Kuwait,KWT,1990,1.6100000000000003,1.9100000000000001
Kuwait,KWT,2000,1.17,1.37
Kuwait,KWT,2010,0.9900000000000001,1.16
Kuwait,KWT,2015,0.81,0.9400000000000001
Kuwait,KWT,2017,0.75,0.87
Kyrgyzstan,KGZ,1990,5.970000000000001,7.15
Kyrgyzstan,KGZ,2000,4.43,5.43
Kyrgyzstan,KGZ,2010,2.62,3.29
