Entity,Code,Year,"Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%) (%)"
Aruba,ABW,2002,5.87798023223877
Aruba,ABW,2003,4.94465017318726
Aruba,ABW,2004,4.78229999542236
Aruba,ABW,2006,6.67989015579224
Aruba,ABW,2013,0.208580002188683
Austria,AUT,2002,0.380120009183884
Austria,AUT,2005,0.58228999376297
Austria,AUT,2006,0.677709996700287
Austria,AUT,2007,0.702390015125275
Austria,AUT,2008,0.69718998670578
Austria,AUT,2009,0.692049980163574
Austria,AUT,2010,0.502210021018982
Austria,AUT,2011,0.402130007743835
Austria,AUT,2012,0.409530013799667
Austria,AUT,2013,0.263200014829636
Azerbaijan,AZE,1993,15.0162401199341
Azerbaijan,AZE,1994,18.5618095397949
Azerbaijan,AZE,1996,16.6641998291016
Azerbaijan,AZE,1997,56.7536315917969
Azerbaijan,AZE,1999,8.98705005645752
Azerbaijan,AZE,2000,7.34720993041992
Azerbaijan,AZE,2001,6.32872009277344
Azerbaijan,AZE,2002,6.69355010986328
Azerbaijan,AZE,2003,3.64918994903564
Azerbaijan,AZE,2004,5.18015003204346
Azerbaijan,AZE,2005,3.37532997131348
Azerbaijan,AZE,2006,2.98703002929688
Azerbaijan,AZE,2007,2.70075011253357
Azerbaijan,AZE,2008,4.34181022644043
Azerbaijan,AZE,2009,5.3296799659729
Azerbaijan,AZE,2010,4.85110998153687
Azerbaijan,AZE,2011,3.74863004684448
Azerbaijan,AZE,2012,3.17672991752625
Azerbaijan,AZE,2013,4.11804008483887
Bahamas,BHS,2005,8.86779975891113
Bahamas,BHS,2006,8.8552303314209
Bahamas,BHS,2007,3.46820998191834
Bahamas,BHS,2009,2.83151006698608
Bahrain,BHR,1971,4.28566980361938
Bahrain,BHR,1972,23.8108406066895
Bahrain,BHR,1973,13.6266098022461
Bahrain,BHR,1974,14.8343000411987
Bahrain,BHR,1975,9.23155975341797
Bahrain,BHR,1976,18.4857692718506
Bahrain,BHR,1977,15.0163497924805
Bahrain,BHR,1978,14.7266302108765
Bahrain,BHR,1979,11.5190601348877
Bahrain,BHR,1980,37.4267883300781
Bahrain,BHR,1981,33.6915817260742
Bahrain,BHR,1982,22.6596794128418
Bahrain,BHR,1983,13.4302701950073
Bahrain,BHR,1984,14.6394901275635
Bahrain,BHR,1986,20.3703708648682
Bahrain,BHR,1988,11.7172002792358
Bahrain,BHR,1991,21.296989440918
Bahrain,BHR,1992,15.0084495544434
Bahrain,BHR,1993,12.9774103164673
Bahrain,BHR,1999,8.58917999267578
Bahrain,BHR,2000,10.2344999313354
Bahrain,BHR,2001,5.43772983551025
Bahrain,BHR,2002,6.46992015838623
Bahrain,BHR,2003,5.76963996887207
Bahrain,BHR,2004,5.70615005493164
Bahrain,BHR,2005,6.61461019515991
Bahrain,BHR,2008,3.98315000534058
Bahrain,BHR,2010,2.18983006477356
Bahrain,BHR,2011,2.39928007125854
Bahrain,BHR,2012,0.50067001581192
Bahrain,BHR,2013,1.08571994304657
Bangladesh,BGD,1998,17.5887203216553
Bangladesh,BGD,1999,19.1878795623779
Bangladesh,BGD,2000,18.683629989624
Bangladesh,BGD,2001,17.709810256958
Bangladesh,BGD,2002,21.8559894561768
Bangladesh,BGD,2003,29.8362197875977
Bangladesh,BGD,2004,25.0314292907715
Bangladesh,BGD,2005,25.1039905548096
Bangladesh,BGD,2006,19.953950881958
Bangladesh,BGD,2009,16.0521297454834
Bangladesh,BGD,2010,15.9885997772217
Barbados,BRB,1999,4.54760980606079
Barbados,BRB,2000,4.03991985321045
Barbados,BRB,2001,3.23108005523682
Barbados,BRB,2002,2.16259002685547
Barbados,BRB,2003,1.21019005775452
Barbados,BRB,2004,4.93565988540649
Barbados,BRB,2005,1.79320001602173
Barbados,BRB,2006,1.83034002780914
Barbados,BRB,2007,3.59907007217407
Barbados,BRB,2008,4.15247011184692
Belarus,BLR,1971,9.21255970001221
Belarus,BLR,1972,9.24158954620361
Belarus,BLR,1973,4.481369972229
Belarus,BLR,1974,1.19605994224548
Belarus,BLR,1975,1.66487002372742
Belarus,BLR,1983,1.34370994567871
Belarus,BLR,1984,2.86512994766235
Belarus,BLR,1985,2.22067999839783
Belarus,BLR,1986,0.902149975299835
Belarus,BLR,1988,0.0695400014519691
Belarus,BLR,1990,0.568989992141724
Belarus,BLR,1991,3.18450999259949
Belarus,BLR,1992,18.3336296081543
Belarus,BLR,1993,19.7315006256104
Belarus,BLR,1994,23.2420902252197
Belarus,BLR,1995,24.7458400726318
Belarus,BLR,1996,11.9680995941162
Belarus,BLR,1997,11.2844104766846
Belarus,BLR,1999,1.00305998325348
Belarus,BLR,2000,0.965699970722198
Belarus,BLR,2001,0.985249996185303
Belarus,BLR,2002,1.20688998699188
Belarus,BLR,2004,2.08895993232727
Belarus,BLR,2005,0.964030027389526
Belarus,BLR,2006,0.802460014820099
Belarus,BLR,2007,4.1783299446106
Belarus,BLR,2009,0.0311299990862608
Belarus,BLR,2010,2.58998990058899
Belarus,BLR,2011,0.731079995632172
Belarus,BLR,2012,0.491400003433228
Belarus,BLR,2013,0.682389974594116
Belgium,BEL,1974,28.1619491577148
Belgium,BEL,1975,28.3665904998779
Belgium,BEL,1976,28.416410446167
Belgium,BEL,1977,22.1628093719482
Belgium,BEL,1993,0.292010009288788
Belgium,BEL,1994,0.195109993219376
Belgium,BEL,2005,3.7945499420166
Belgium,BEL,2006,3.86511993408203
Belgium,BEL,2007,4.04049015045166
Belgium,BEL,2008,3.98011994361877
Belgium,BEL,2009,0.0972499996423721
Belgium,BEL,2010,2.03570008277893
Belgium,BEL,2011,4.18822002410889
Belgium,BEL,2012,0.325139999389648
Belgium,BEL,2013,5.54511022567749
Belize,BLZ,1995,48.3394012451172
Belize,BLZ,1999,28.2600193023682
Belize,BLZ,2000,34.0975112915039
Belize,BLZ,2003,33.0602416992188
Belize,BLZ,2004,33.6517791748047
Belize,BLZ,2005,36.9083213806152
Belize,BLZ,2006,34.4672508239746
Belize,BLZ,2007,38.4870796203613
Belize,BLZ,2008,35.8226203918457
Belize,BLZ,2009,32.6939086914063
Belize,BLZ,2010,35.093620300293
Belize,BLZ,2011,32.5049514770508
Belize,BLZ,2012,33.1637992858887
Belize,BLZ,2013,35.8200187683105
Benin,BEN,1971,50.629280090332
Benin,BEN,1972,52.3913803100586
Benin,BEN,1973,71.5903091430664
Benin,BEN,1974,62.4512901306152
Benin,BEN,1975,71.07763671875
Benin,BEN,1976,30.3499908447266
Benin,BEN,1977,32.4046592712402
Benin,BEN,1978,47.422679901123
Benin,BEN,1979,42.0426597595215
Benin,BEN,1980,51.4767417907715
Benin,BEN,1981,60.271800994873
Benin,BEN,1983,43.2551193237305
Benin,BEN,1984,30.5240993499756
Benin,BEN,1985,31.9885101318359
Benin,BEN,1986,18.1964492797852
Benin,BEN,1987,60.1297492980957
Benin,BEN,1990,49.9163589477539
Benin,BEN,2000,23.4110202789307
Benin,BEN,2005,36.6539993286133
Benin,BEN,2013,32.2141304016113
Bermuda,BMU,2001,5.47188997268677
Bermuda,BMU,2002,8.10324001312256
Bermuda,BMU,2003,8.67144012451172
Bermuda,BMU,2004,13.7331600189209
Bermuda,BMU,2005,13.9734897613525
Bermuda,BMU,2010,43.4198608398438
Bermuda,BMU,2011,10.2583999633789
Bhutan,BTN,1976,51.709400177002
Bhutan,BTN,1977,58.4090881347656
Bhutan,BTN,1978,50.7246398925781
Bhutan,BTN,1979,37.4036483764648
Bhutan,BTN,1988,60.7230911254883
Bhutan,BTN,1993,71.2963027954102
Bhutan,BTN,1994,77.0341186523438
Bhutan,BTN,1998,27.849630355835
Bhutan,BTN,1999,20.3524303436279
Bhutan,BTN,2000,21.5299396514893
Bhutan,BTN,2005,16.2784309387207
Bhutan,BTN,2006,15.8649702072144
Bhutan,BTN,2007,10.9351301193237
Bhutan,BTN,2008,20.0606307983398
Bhutan,BTN,2009,12.9699897766113
Bhutan,BTN,2010,8.95785999298096
Bhutan,BTN,2011,9.80008029937744
Bhutan,BTN,2012,20.4093608856201
Bhutan,BTN,2013,16.7442207336426
Bolivia,BOL,1973,22.8078594207764
Bolivia,BOL,1990,15.9531002044678
Bolivia,BOL,1991,15.0482196807861
Bolivia,BOL,1992,14.0590600967407
Bolivia,BOL,1993,13.0794095993042
Bolivia,BOL,1994,12.8010501861572
Bolivia,BOL,1995,12.751669883728
Bolivia,BOL,1996,10.7922201156616
Bolivia,BOL,1997,10.3408298492432
Bolivia,BOL,1998,5.20616006851196
Bolivia,BOL,1999,5.56645011901855
Bolivia,BOL,2000,6.18137979507446
Bolivia,BOL,2001,4.46447992324829
Bolivia,BOL,2002,5.7244701385498
Bolivia,BOL,2003,5.35895013809204
Bolivia,BOL,2006,7.70148992538452
Bolivia,BOL,2007,8.37802982330322
Bolivia,BOL,2008,7.08656978607178
Bolivia,BOL,2009,6.46870994567871
Bolivia,BOL,2010,7.14274978637695
Bolivia,BOL,2011,5.96316003799438
Bolivia,BOL,2012,4.03690004348755
Bosnia and Herzegovina,BIH,2009,3.12368011474609
Bosnia and Herzegovina,BIH,2010,2.14808988571167
Bosnia and Herzegovina,BIH,2011,1.34784996509552
Bosnia and Herzegovina,BIH,2012,2.09278011322021
Bosnia and Herzegovina,BIH,2013,1.83195996284485
Botswana,BWA,1985,4.26029014587402
Botswana,BWA,1986,12.5261096954346
Botswana,BWA,1987,23.5540409088135
Botswana,BWA,1988,70.6594009399414
Botswana,BWA,1989,6.48018980026245
Botswana,BWA,1990,23.7914199829102
Botswana,BWA,1991,17.3153095245361
Botswana,BWA,1992,13.8240203857422
Botswana,BWA,1993,2.66150999069214
Botswana,BWA,1994,0.782769978046417
Botswana,BWA,1995,5.2334098815918
Botswana,BWA,1998,5.68988990783691
Botswana,BWA,1999,3.09544992446899
Botswana,BWA,2000,5.24121999740601
Botswana,BWA,2001,3.70464992523193
Botswana,BWA,2002,8.28067970275879
Botswana,BWA,2003,8.24958992004395
Botswana,BWA,2004,8.57009029388428
Botswana,BWA,2005,6.64391994476318
Botswana,BWA,2006,8.16497039794922
Botswana,BWA,2007,4.05330991744995
Botswana,BWA,2012,7.15448999404907
Brazil,BRA,1970,53.2905006408691
Brazil,BRA,1971,52.0774612426758
Brazil,BRA,1972,59.4731216430664
Brazil,BRA,1973,56.7931594848633
Brazil,BRA,1974,48.9588012695313
Brazil,BRA,1975,45.6983985900879
Brazil,BRA,1976,43.8830795288086
Brazil,BRA,1977,43.0987892150879
Brazil,BRA,1978,43.0626106262207
Brazil,BRA,1979,43.4074897766113
Brazil,BRA,1980,45.0693283081055
Brazil,BRA,1981,47.0248985290527
Brazil,BRA,1982,49.3802490234375
Brazil,BRA,1984,48.4688491821289
Brazil,BRA,1985,51.8237686157227
Brazil,BRA,1987,53.1138381958008
Brazil,BRA,1992,52.3163414001465
Brazil,BRA,1993,52.1600494384766
Brazil,BRA,1994,49.2600212097168
Brazil,BRA,2008,26.9573593139648
Brazil,BRA,2009,27.8009796142578
Brazil,BRA,2010,25.9954299926758
Brunei,BRN,1973,64.9566879272461
Brunei,BRN,1975,74.6598587036133
Brunei,BRN,1976,58.119701385498
Brunei,BRN,1977,55.410041809082
Brunei,BRN,1978,62.4016494750977
Brunei,BRN,1979,60.6784515380859
Brunei,BRN,1980,63.8104782104492
Brunei,BRN,1981,54.1800918579102
Brunei,BRN,1982,55.2078094482422
Brunei,BRN,1983,45.7970314025879
Brunei,BRN,1984,36.8405609130859
Brunei,BRN,1991,57.4805603027344
Brunei,BRN,1992,51.7460289001465
Brunei,BRN,1993,46.5064697265625
Brunei,BRN,1994,34.3959693908691
Brunei,BRN,2003,5.02257013320923
Brunei,BRN,2004,4.37800979614258
Brunei,BRN,2005,5.26988983154297
Brunei,BRN,2006,6.40160989761353
Brunei,BRN,2007,5.41492986679077
Brunei,BRN,2008,2.77840995788574
Brunei,BRN,2010,0.5626500248909
Brunei,BRN,2011,1.24717998504639
Brunei,BRN,2012,0.917779982089996
Brunei,BRN,2013,1.4086400270462
Bulgaria,BGR,1971,8.25751972198486
Bulgaria,BGR,1972,12.2214097976685
Bulgaria,BGR,1973,12.360710144043
Bulgaria,BGR,1974,10.886269569397
Bulgaria,BGR,1975,13.8543195724487
Bulgaria,BGR,1976,10.9581604003906
Bulgaria,BGR,1977,11.8001699447632
Bulgaria,BGR,1978,2.36046004295349
Bulgaria,BGR,1979,8.43511962890625
Bulgaria,BGR,1980,18.1551399230957
Bulgaria,BGR,1981,22.6026191711426
Bulgaria,BGR,1982,20.0988502502441
Bulgaria,BGR,1983,7.46193981170654
Bulgaria,BGR,1984,3.63861989974976
Bulgaria,BGR,1985,11.644889831543
Bulgaria,BGR,1986,22.7494106292725
Bulgaria,BGR,1987,24.0460205078125
Bulgaria,BGR,1988,19.052339553833
Bulgaria,BGR,1989,4.80356979370117
Bulgaria,BGR,1990,8.54961013793945
Bulgaria,BGR,1991,14.0566997528076
Bulgaria,BGR,1992,12.9859304428101
Bulgaria,BGR,1993,18.9528007507324
Bulgaria,BGR,1994,11.7133903503418
Bulgaria,BGR,1995,17.1712303161621
Bulgaria,BGR,1996,9.08860969543457
Bulgaria,BGR,1997,8.98882007598877
Bulgaria,BGR,2001,38.7867813110352
Bulgaria,BGR,2002,34.900821685791
Bulgaria,BGR,2003,36.783878326416
Bulgaria,BGR,2004,36.9639587402344
Bulgaria,BGR,2005,34.6448402404785
Bulgaria,BGR,2006,38.4197082519531
Bulgaria,BGR,2007,43.9200782775879
Bulgaria,BGR,2008,47.1237716674805
Bulgaria,BGR,2009,47.3117408752441
Bulgaria,BGR,2010,54.2440986633301
Bulgaria,BGR,2011,55.6400489807129
Bulgaria,BGR,2012,55.724250793457
Bulgaria,BGR,2013,54.4164009094238
Burkina Faso,BFA,1971,23.8410606384277
Burkina Faso,BFA,1972,27.2440891265869
Burkina Faso,BFA,1973,35.5132102966309
Burkina Faso,BFA,1974,39.5427284240723
Burkina Faso,BFA,1975,39.2817916870117
Burkina Faso,BFA,1976,37.7443199157715
Burkina Faso,BFA,1977,41.1390495300293
Burkina Faso,BFA,1979,45.7965202331543
Burkina Faso,BFA,1980,38.7472114562988
Burkina Faso,BFA,1981,45.6538314819336
Burkina Faso,BFA,1982,46.6117401123047
Burkina Faso,BFA,1983,36.0744094848633
Burkina Faso,BFA,1984,49.5990180969238
Burkina Faso,BFA,1986,53.5300483703613
Burkina Faso,BFA,1988,56.5678482055664
Burkina Faso,BFA,1989,50.4378700256348
Burkina Faso,BFA,1990,50.1508483886719
Burkina Faso,BFA,1991,53.8553581237793
Burkina Faso,BFA,1992,49.893669128418
Burkina Faso,BFA,1993,53.6960906982422
Burkina Faso,BFA,1994,52.4141502380371
Burkina Faso,BFA,2000,43.6388702392578
Burkina Faso,BFA,2005,36.1862411499023
Burkina Faso,BFA,2006,31.7801208496094
Burkina Faso,BFA,2008,28.3224105834961
Burkina Faso,BFA,2009,25.2575607299805
Burkina Faso,BFA,2010,30.8403396606445
Burkina Faso,BFA,2011,32.0972785949707
Burkina Faso,BFA,2012,29.7407398223877
Burkina Faso,BFA,2013,28.5213108062744
Burundi,BDI,1971,24.6015892028809
Burundi,BDI,1972,32.5719985961914
Burundi,BDI,1977,20.2188491821289
Burundi,BDI,1978,29.829080581665
Burundi,BDI,1979,32.3096618652344
Burundi,BDI,1980,42.9482116699219
Burundi,BDI,1981,34.3859481811523
Burundi,BDI,1982,12.3710603713989
Burundi,BDI,1983,22.0195198059082
Burundi,BDI,1984,49.3395118713379
Burundi,BDI,1985,57.5417098999023
Burundi,BDI,1986,59.2513694763184
Burundi,BDI,1987,43.9836082458496
Burundi,BDI,1988,46.6505584716797
Burundi,BDI,1989,49.7422714233398
Burundi,BDI,1990,35.0955390930176
Burundi,BDI,1992,39.9736289978027
Burundi,BDI,1993,45.8621292114258
Burundi,BDI,2003,12.6199102401733
Burundi,BDI,2004,25.5947494506836
Burundi,BDI,2005,25.1142292022705
Burundi,BDI,2010,14.9228801727295
Burundi,BDI,2011,26.6248397827148
Burundi,BDI,2012,22.8462104797363
Burundi,BDI,2013,21.0282192230225
Cambodia,KHM,1997,56.4678001403809
Cambodia,KHM,2000,33.894229888916
Cambodia,KHM,2001,23.6434803009033
Cambodia,KHM,2002,27.9226608276367
Cambodia,KHM,2003,33.9577598571777
Cambodia,KHM,2004,33.3037910461426
Cambodia,KHM,2005,36.1130294799805
Cambodia,KHM,2006,38.3904991149902
Cambodia,KHM,2007,36.039478302002
Cambodia,KHM,2010,34.2218589782715
Cambodia,KHM,2011,36.5972785949707
Cambodia,KHM,2012,38.9332504272461
Cambodia,KHM,2013,35.7380485534668
Cameroon,CMR,1971,51.8511085510254
Cameroon,CMR,1972,52.8207702636719
Cameroon,CMR,1973,49.109748840332
Cameroon,CMR,1974,46.4930114746094
Cameroon,CMR,1975,46.1755409240723
Cameroon,CMR,1976,50.0091094970703
Cameroon,CMR,1977,49.9756507873535
Cameroon,CMR,1978,48.6829605102539
Cameroon,CMR,1979,47.5904083251953
Cameroon,CMR,1980,43.8808288574219
Cameroon,CMR,1981,39.9397506713867
Cameroon,CMR,1982,40.2206382751465
Cameroon,CMR,1983,43.2995300292969
Cameroon,CMR,1984,41.2471504211426
Cameroon,CMR,1985,44.2437515258789
Cameroon,CMR,1986,36.4468002319336
Cameroon,CMR,1987,39.4562301635742
Cameroon,CMR,1988,36.6446990966797
Cameroon,CMR,1990,19.6583595275879
Cameroon,CMR,1991,25.7882308959961
Cameroon,CMR,2006,14.513409614563
Cameroon,CMR,2008,18.443380355835
Cameroon,CMR,2012,10.7947702407837
Cameroon,CMR,2013,10.4062099456787
Cape Verde,CPV,1980,49.523811340332
Cape Verde,CPV,1981,42.1188583374023
Cape Verde,CPV,1982,43.8967094421387
Cape Verde,CPV,1983,36.6631202697754
Cape Verde,CPV,1984,53.4336814880371
Cape Verde,CPV,1985,47.9928588867188
Cape Verde,CPV,1986,57.7017097473145
Cape Verde,CPV,1988,44.8173713684082
Cape Verde,CPV,1990,57.3316307067871
Cape Verde,CPV,1994,37.0527000427246
Cape Verde,CPV,2003,45.0288581848145
Cape Verde,CPV,2004,28.4595394134521
Cape Verde,CPV,2005,24.7469692230225
Cape Verde,CPV,2006,23.4139595031738
Cape Verde,CPV,2007,17.7224502563477
Cape Verde,CPV,2008,21.1082496643066
Cape Verde,CPV,2009,17.1235504150391
Cape Verde,CPV,2010,16.0290203094482
Cape Verde,CPV,2011,19.3159503936768
Cape Verde,CPV,2012,19.7653503417969
Cape Verde,CPV,2013,23.4293098449707
Cayman Islands,CYM,2000,12.5570802688599
Cayman Islands,CYM,2001,11.6836595535278
Cayman Islands,CYM,2004,19.2733707427979
Cayman Islands,CYM,2005,13.7712097167969
Cayman Islands,CYM,2006,9.3246898651123
Cayman Islands,CYM,2007,4.82748985290527
Cayman Islands,CYM,2011,8.15316009521484
Cayman Islands,CYM,2012,4.47562980651855
Central African Republic,CAF,1971,66.9168395996094
Central African Republic,CAF,1972,63.2049713134766
Central African Republic,CAF,1973,66.5140914916992
Central African Republic,CAF,1974,52.5307807922363
Central African Republic,CAF,1978,56.191478729248
Central African Republic,CAF,1981,56.1648216247559
Central African Republic,CAF,1982,51.4925384521484
Central African Republic,CAF,1983,51.6376800537109
Central African Republic,CAF,1986,40.1868896484375
Central African Republic,CAF,1987,43.5194282531738
Central African Republic,CAF,1988,52.8852310180664
Central African Republic,CAF,1989,54.0511512756348
Central African Republic,CAF,1990,57.922290802002
Central African Republic,CAF,1991,62.2372283935547
Central African Republic,CAF,2008,44.2360610961914
Central African Republic,CAF,2011,60.0645408630371
Chad,TCD,1971,52.3453712463379
Chad,TCD,1974,38.2494010925293
Chad,TCD,1975,35.3075218200684
Chad,TCD,1988,39.403938293457
Chad,TCD,1989,47.9403305053711
Chad,TCD,1990,51.8862113952637
Chad,TCD,1991,55.8242492675781
Chad,TCD,1994,35.3023300170898
Chad,TCD,1995,57.3707389831543
Chad,TCD,1996,49.7726211547852
Chad,TCD,2002,20.2662906646729
Chad,TCD,2003,43.2673187255859
Chad,TCD,2009,47.6870803833008
Chad,TCD,2010,43.6244583129883
Chad,TCD,2011,47.2533416748047
Chad,TCD,2012,15.6958703994751
Chile,CHL,1970,18.1987495422363
Chile,CHL,1971,17.0737590789795
Chile,CHL,1972,17.6552295684814
Chile,CHL,1973,16.9078693389893
Chile,CHL,1974,17.2372093200684
Chile,CHL,1975,17.1946907043457
Chile,CHL,1976,15.1957302093506
Chile,CHL,1977,17.1211605072021
Chile,CHL,1983,10.1109895706177
Chile,CHL,1997,5.06494998931885
Chile,CHL,2010,0.490280002355576
Chile,CHL,2011,0.0555999986827374
Chile,CHL,2012,0.228180006146431
Chile,CHL,2013,2.84701991081238
China,CHN,1990,10.1805000305176
China,CHN,1991,15.731969833374
China,CHN,1992,17.6358509063721
China,CHN,1993,18.2231903076172
China,CHN,1994,18.8481502532959
China,CHN,1995,22.2605094909668
China,CHN,1996,25.2496490478516
China,CHN,1997,16.6581401824951
China,CHN,2007,2.05292010307312
China,CHN,2008,3.16827011108398
China,CHN,2009,3.07207989692688
China,CHN,2010,3.12946009635925
China,CHN,2012,7.96404981613159
China,CHN,2013,12.0516500473022
Colombia,COL,1983,50.8566017150879
Colombia,COL,1984,17.4870491027832
Colombia,COL,1985,17.6899394989014
Colombia,COL,1986,17.7428607940674
Colombia,COL,1987,17.6898899078369
Colombia,COL,1988,17.6898097991943
Colombia,COL,1989,17.689769744873
Colombia,COL,1993,50.4858093261719
Colombia,COL,2001,12.4314804077148
Colombia,COL,2004,16.8039703369141
Colombia,COL,2005,20.4820899963379
Colombia,COL,2006,20.6481304168701
Colombia,COL,2007,21.699779510498
Colombia,COL,2008,13.9375095367432
Colombia,COL,2009,17.2506694793701
Colombia,COL,2010,19.624340057373
Colombia,COL,2011,31.8586502075195
Colombia,COL,2012,49.4575119018555
Colombia,COL,2013,30.8971691131592
Comoros,COM,1981,37.235050201416
Comoros,COM,1986,26.0738697052002
Comoros,COM,1987,27.0879707336426
Comoros,COM,1990,12.679759979248
Comoros,COM,1992,36.7180480957031
Comoros,COM,1993,23.1942291259766
Comoros,COM,2002,17.739839553833
Comoros,COM,2003,17.8921794891357
Congo,COG,1971,56.0684013366699
Congo,COG,1972,50.12744140625
Congo,COG,1973,58.4700202941895
Congo,COG,1974,62.1639289855957
Congo,COG,1975,56.5328102111816
Congo,COG,1976,57.1049118041992
Congo,COG,1977,54.1408004760742
Congo,COG,1978,49.3251190185547
Congo,COG,1979,40.3342590332031
Congo,COG,1981,53.1394805908203
Congo,COG,1982,51.746208190918
Congo,COG,1983,54.6064109802246
Congo,COG,1984,48.0822410583496
Congo,COG,1987,46.8837089538574
Congo,COG,1989,52.8128509521484
Congo,COG,1993,26.3932094573975
Congo,COG,1994,49.9171485900879
Congo,COG,1996,35.9891815185547
Congo,COG,2001,53.977970123291
Congo,COG,2002,44.3659515380859
Congo,COG,2008,33.0053901672363
Congo,COG,2009,24.3147201538086
Congo,COG,2010,20.9587097167969
Congo,COG,2011,18.5041694641113
Costa Rica,CRI,1970,51.2145195007324
Costa Rica,CRI,1971,47.830680847168
Costa Rica,CRI,1972,40.6910705566406
Costa Rica,CRI,1980,36.9941215515137
Costa Rica,CRI,1981,30.8229598999023
Costa Rica,CRI,1982,31.4621391296387
Costa Rica,CRI,1983,38.6510314941406
Costa Rica,CRI,1984,37.8643608093262
Costa Rica,CRI,1985,29.1491107940674
Costa Rica,CRI,1986,39.1407890319824
Costa Rica,CRI,1987,44.984619140625
Costa Rica,CRI,1988,45.353458404541
Costa Rica,CRI,1989,48.8660507202148
Costa Rica,CRI,1990,46.2886085510254
Costa Rica,CRI,1991,42.8126983642578
