Entity,Code,Year, (Annual hours worked per worker)
Armenia,ARM,2016,1842
Australia,AUS,1950,2309.33
Australia,AUS,1951,2287.98
Australia,AUS,1952,2266.82
Australia,AUS,1953,2245.85
Australia,AUS,1954,2225.08
Australia,AUS,1955,2204.51
Australia,AUS,1956,2184.12
Australia,AUS,1957,2163.92
Australia,AUS,1958,2143.91
Australia,AUS,1959,2124.08
Australia,AUS,1960,2104.44
Australia,AUS,1961,2098.34
Australia,AUS,1962,2092.27
Australia,AUS,1963,2086.21
Australia,AUS,1964,2080.16
Australia,AUS,1965,2074.14
Australia,AUS,1966,2068.13
Australia,AUS,1967,2062.14
Australia,AUS,1968,2056.16
Australia,AUS,1969,2050.21
Australia,AUS,1970,2044.27
Australia,AUS,1971,2039.94
Australia,AUS,1972,2035.95
Australia,AUS,1973,2031.84
Australia,AUS,1974,2027.74
Australia,AUS,1975,2023.74
Australia,AUS,1976,2019.75
Australia,AUS,1977,2015.42
Australia,AUS,1978,2011.43
Australia,AUS,1979,2034.17
Australia,AUS,1980,2019.8
Australia,AUS,1981,1996.22
Australia,AUS,1982,1957.36
Australia,AUS,1983,1979.59
Australia,AUS,1984,1985.38
Australia,AUS,1985,2001.97
Australia,AUS,1986,1977.54
Australia,AUS,1987,1990.5
Australia,AUS,1988,1999.65
Australia,AUS,1989,1987.96
Australia,AUS,1990,1967.63
Australia,AUS,1991,1962
Australia,AUS,1992,1971.17
Australia,AUS,1993,1981.58
Australia,AUS,1994,1995.55
Australia,AUS,1995,1994.3
Australia,AUS,1996,1982.24
Australia,AUS,1997,1980.78
Australia,AUS,1998,1978.26
Australia,AUS,1999,1983.36
Australia,AUS,2000,1968.61
Australia,AUS,2001,1925.51
Australia,AUS,2002,1904.15
Australia,AUS,2003,1904.47
Australia,AUS,2004,1905.61
Australia,AUS,2005,1890.97
Australia,AUS,2006,1872.22
Australia,AUS,2007,1863.51
Australia,AUS,2008,1842.41
Australia,AUS,2009,1822.68
Australia,AUS,2010,1816.49
Australia,AUS,2011,1814.09
Australia,AUS,2012,1808.04
Australia,AUS,2013,1801.12
Australia,AUS,2014,1793.6
Australia,AUS,2015,1795.21
Australia,AUS,2016,1785.58
Austria,AUT,1950,2096.25
Austria,AUT,1951,2093.58
Austria,AUT,1952,2090.92
Austria,AUT,1953,2088.26
Austria,AUT,1954,2085.6
Austria,AUT,1955,2082.95
Austria,AUT,1956,2080.3
Austria,AUT,1957,2077.65
Austria,AUT,1958,2075.01
Austria,AUT,1959,2072.37
Austria,AUT,1960,2069.73
Austria,AUT,1961,2057.01
Austria,AUT,1962,2044.37
Austria,AUT,1963,2031.81
Austria,AUT,1964,2019.33
Austria,AUT,1965,2006.92
Austria,AUT,1966,1994.59
Austria,AUT,1967,1982.34
Austria,AUT,1968,1970.16
Austria,AUT,1969,1958.05
Austria,AUT,1970,1899.73
Austria,AUT,1971,1894.85
Austria,AUT,1972,1915.42
Austria,AUT,1973,1910.37
Austria,AUT,1974,1988.7
Austria,AUT,1975,1913.63
Austria,AUT,1976,1907.67
Austria,AUT,1977,1914.45
Austria,AUT,1978,1853.42
Austria,AUT,1979,1886.2
Austria,AUT,1980,1890.58
Austria,AUT,1981,1828.37
Austria,AUT,1982,1844.43
Austria,AUT,1983,1839.2
Austria,AUT,1984,1835.19
Austria,AUT,1985,1830.77
Austria,AUT,1986,1829.95
Austria,AUT,1987,1817.89
Austria,AUT,1988,1821.32
Austria,AUT,1989,1834.5
Austria,AUT,1990,1835.29
Austria,AUT,1991,1845.76
Austria,AUT,1992,1814.09
Austria,AUT,1993,1811.44
Austria,AUT,1994,1809.67
Austria,AUT,1995,1783.44
Austria,AUT,1996,1816.29
Austria,AUT,1997,1825.01
Austria,AUT,1998,1803.3
Austria,AUT,1999,1807.01
Austria,AUT,2000,1807.36
Austria,AUT,2001,1794.62
Austria,AUT,2002,1792.22
Austria,AUT,2003,1783.77
Austria,AUT,2004,1786.81
Austria,AUT,2005,1763.98
Austria,AUT,2006,1746.21
Austria,AUT,2007,1736.03
Austria,AUT,2008,1728.47
Austria,AUT,2009,1673
Austria,AUT,2010,1668.64
Austria,AUT,2011,1675.88
Austria,AUT,2012,1652.87
Austria,AUT,2013,1636.7
Austria,AUT,2014,1629.37
Austria,AUT,2015,1624.92
Austria,AUT,2016,1623.29
Bangladesh,BGD,1970,2127.45
Bangladesh,BGD,1971,2125.38
Bangladesh,BGD,1972,2123.33
Bangladesh,BGD,1973,2122.11
Bangladesh,BGD,1974,2121.72
Bangladesh,BGD,1975,2122.15
Bangladesh,BGD,1976,2122.57
Bangladesh,BGD,1977,2122.98
Bangladesh,BGD,1978,2123.39
Bangladesh,BGD,1979,2123.8
Bangladesh,BGD,1980,2124.2
Bangladesh,BGD,1981,2125.18
Bangladesh,BGD,1982,2125.31
Bangladesh,BGD,1983,2126.02
Bangladesh,BGD,1984,2113.66
Bangladesh,BGD,1985,2088.4
Bangladesh,BGD,1986,2048.93
Bangladesh,BGD,1987,2012.32
Bangladesh,BGD,1988,1975.01
Bangladesh,BGD,1989,1968.62
Bangladesh,BGD,1990,1993.44
Bangladesh,BGD,1991,2033.34
Bangladesh,BGD,1992,2045.07
Bangladesh,BGD,1993,2041.13
Bangladesh,BGD,1994,2037.17
Bangladesh,BGD,1995,2033.18
Bangladesh,BGD,1996,2028.12
Bangladesh,BGD,1997,2024.61
Bangladesh,BGD,1998,2019.9
Bangladesh,BGD,1999,2017.57
Bangladesh,BGD,2000,2016.01
Bangladesh,BGD,2001,2028.2
Bangladesh,BGD,2002,2045.8
Bangladesh,BGD,2003,2084.38
Bangladesh,BGD,2004,2163.66
Bangladesh,BGD,2005,2266.94
Bangladesh,BGD,2006,2342.02
Bangladesh,BGD,2007,2373.3
Bangladesh,BGD,2008,2372.98
Bangladesh,BGD,2009,2372.66
Bangladesh,BGD,2010,2372.34
Bangladesh,BGD,2011,2372.02
Bangladesh,BGD,2012,2371.69
Bangladesh,BGD,2013,2371.81
Bangladesh,BGD,2014,2371.81
Bangladesh,BGD,2015,2371.81
Bangladesh,BGD,2016,2371.81
Barbados,BRB,1991,1658.11
Barbados,BRB,1992,1638.22
Barbados,BRB,1993,1660.33
Barbados,BRB,1994,1675.11
Barbados,BRB,1995,1694.75
Barbados,BRB,1996,1717.11
Barbados,BRB,1997,1727.74
Barbados,BRB,1998,1728.6
Barbados,BRB,1999,1733.95
Barbados,BRB,2000,1753.25
Barbados,BRB,2001,1764.27
Barbados,BRB,2002,1727.51
Barbados,BRB,2003,1743.33
Barbados,BRB,2004,1731.27
Barbados,BRB,2005,1727.93
Barbados,BRB,2006,1729.8
Barbados,BRB,2007,1733.89
Barbados,BRB,2008,1744.28
Barbados,BRB,2009,1694.11
Barbados,BRB,2010,1691.12
Barbados,BRB,2011,1697.55
Barbados,BRB,2012,1674.46
Barbados,BRB,2013,1662.31
Barbados,BRB,2014,1655.12
Barbados,BRB,2015,1655.12
Barbados,BRB,2016,1655.12
Belgium,BEL,1950,2105.62
Belgium,BEL,1951,2095.34
Belgium,BEL,1952,2085.12
Belgium,BEL,1953,2074.94
Belgium,BEL,1954,2064.82
Belgium,BEL,1955,2054.74
Belgium,BEL,1956,2044.71
Belgium,BEL,1957,2034.73
Belgium,BEL,1958,2024.8
Belgium,BEL,1959,2014.92
Belgium,BEL,1960,2005.09
Belgium,BEL,1961,1993.19
Belgium,BEL,1962,1981.37
Belgium,BEL,1963,1969.62
Belgium,BEL,1964,1957.93
Belgium,BEL,1965,1946.32
Belgium,BEL,1966,1934.77
Belgium,BEL,1967,1923.3
Belgium,BEL,1968,1911.89
Belgium,BEL,1969,1900.55
Belgium,BEL,1970,1889.27
Belgium,BEL,1971,1880.18
Belgium,BEL,1972,1854.05
Belgium,BEL,1973,1827.17
Belgium,BEL,1974,1796.96
Belgium,BEL,1975,1786.85
Belgium,BEL,1976,1788.43
Belgium,BEL,1977,1762.27
Belgium,BEL,1978,1743.73
Belgium,BEL,1979,1726.55
Belgium,BEL,1980,1706.64
Belgium,BEL,1981,1683.91
Belgium,BEL,1982,1669.48
Belgium,BEL,1983,1675.43
Belgium,BEL,1984,1699.51
Belgium,BEL,1985,1705.54
Belgium,BEL,1986,1685.46
Belgium,BEL,1987,1670.43
Belgium,BEL,1988,1658.39
Belgium,BEL,1989,1649.35
Belgium,BEL,1990,1663.4
Belgium,BEL,1991,1626.29
Belgium,BEL,1992,1603.22
Belgium,BEL,1993,1559.07
Belgium,BEL,1994,1559.07
Belgium,BEL,1995,1585.14
Belgium,BEL,1996,1559.05
Belgium,BEL,1997,1572.1
Belgium,BEL,1998,1583.15
Belgium,BEL,1999,1582.49
Belgium,BEL,2000,1594.85
Belgium,BEL,2001,1588.37
Belgium,BEL,2002,1582.72
Belgium,BEL,2003,1577.79
Belgium,BEL,2004,1572.96
Belgium,BEL,2005,1565.43
Belgium,BEL,2006,1572.25
Belgium,BEL,2007,1576.66
Belgium,BEL,2008,1569.98
Belgium,BEL,2009,1548.12
Belgium,BEL,2010,1545.85
Belgium,BEL,2011,1559.62
Belgium,BEL,2012,1560.05
Belgium,BEL,2013,1558.1
Belgium,BEL,2014,1560.04
Belgium,BEL,2015,1558.28
Belgium,BEL,2016,1558.28
Brazil,BRA,1950,2042
Brazil,BRA,1951,2051.02
Brazil,BRA,1952,2060.08
Brazil,BRA,1953,2069.18
Brazil,BRA,1954,2078.31
Brazil,BRA,1955,2087.49
Brazil,BRA,1956,2096.71
Brazil,BRA,1957,2105.97
Brazil,BRA,1958,2115.27
Brazil,BRA,1959,2124.62
Brazil,BRA,1960,2134
Brazil,BRA,1961,2135.1
Brazil,BRA,1962,2136.2
Brazil,BRA,1963,2137.29
Brazil,BRA,1964,2138.39
Brazil,BRA,1965,2139.49
Brazil,BRA,1966,2140.59
Brazil,BRA,1967,2141.69
Brazil,BRA,1968,2142.8
Brazil,BRA,1969,2143.9
Brazil,BRA,1970,2145
Brazil,BRA,1971,2128.54
Brazil,BRA,1972,2112.21
Brazil,BRA,1973,2096
Brazil,BRA,1974,2079.77
Brazil,BRA,1975,2063.67
Brazil,BRA,1976,2047.69
Brazil,BRA,1977,2031.83
Brazil,BRA,1978,2016.1
Brazil,BRA,1979,2000.49
Brazil,BRA,1980,1985
Brazil,BRA,1981,1974.1
Brazil,BRA,1982,1963.25
Brazil,BRA,1983,1952.47
Brazil,BRA,1984,1941.75
Brazil,BRA,1985,1931.08
Brazil,BRA,1986,1920.47
Brazil,BRA,1987,1909.92
Brazil,BRA,1988,1899.43
Brazil,BRA,1989,1889
Brazil,BRA,1990,1879
Brazil,BRA,1991,1868.47
Brazil,BRA,1992,1858
Brazil,BRA,1993,1859
Brazil,BRA,1994,1860
Brazil,BRA,1995,1855.23
Brazil,BRA,1996,1850.48
Brazil,BRA,1997,1845.73
Brazil,BRA,1998,1841
Brazil,BRA,1999,1851.7
Brazil,BRA,2000,1826.78
Brazil,BRA,2001,1806.77
Brazil,BRA,2002,1769.12
Brazil,BRA,2003,1785.32
Brazil,BRA,2004,1772.97
Brazil,BRA,2005,1769.56
Brazil,BRA,2006,1771.47
Brazil,BRA,2007,1775.66
Brazil,BRA,2008,1786.3
Brazil,BRA,2009,1734.92
Brazil,BRA,2010,1731.86
Brazil,BRA,2011,1738.44
Brazil,BRA,2012,1714.8
Brazil,BRA,2013,1702.35
Brazil,BRA,2014,1694.99
Brazil,BRA,2015,1694.99
Brazil,BRA,2016,1694.99
Bulgaria,BGR,1990,1727.29
Bulgaria,BGR,1991,1721.05
Bulgaria,BGR,1992,1698.22
Bulgaria,BGR,1993,1697.43
Bulgaria,BGR,1994,1719.1
Bulgaria,BGR,1995,1710.67
Bulgaria,BGR,1996,1708.2
Bulgaria,BGR,1997,1706.87
Bulgaria,BGR,1998,1649.98
Bulgaria,BGR,1999,1669.5
Bulgaria,BGR,2000,1640.25
Bulgaria,BGR,2001,1651.86
Bulgaria,BGR,2002,1651.26
Bulgaria,BGR,2003,1640.51
Bulgaria,BGR,2004,1663.69
Bulgaria,BGR,2005,1658.65
Bulgaria,BGR,2006,1654.1
Bulgaria,BGR,2007,1654.52
Bulgaria,BGR,2008,1693.6
Bulgaria,BGR,2009,1646.28
Bulgaria,BGR,2010,1644.84
Bulgaria,BGR,2011,1643.59
Bulgaria,BGR,2012,1644.45
Bulgaria,BGR,2013,1644.98
Bulgaria,BGR,2014,1644.06
Bulgaria,BGR,2015,1644.39
Bulgaria,BGR,2016,1644.39
Cambodia,KHM,1993,2327.63
Cambodia,KHM,1994,2295.27
Cambodia,KHM,1995,2324
Cambodia,KHM,1996,2329.09
Cambodia,KHM,1997,2340.25
Cambodia,KHM,1998,2380.14
Cambodia,KHM,1999,2408.35
Cambodia,KHM,2000,2442.31
Cambodia,KHM,2001,2468.39
Cambodia,KHM,2002,2518.16
Cambodia,KHM,2003,2517.42
Cambodia,KHM,2004,2525.87
Cambodia,KHM,2005,2525.28
Cambodia,KHM,2006,2525.68
Cambodia,KHM,2007,2532.97
Cambodia,KHM,2008,2534.44
Cambodia,KHM,2009,2540.97
Cambodia,KHM,2010,2541.11
Cambodia,KHM,2011,2554.27
Cambodia,KHM,2012,2565.13
Cambodia,KHM,2013,2565.01
Cambodia,KHM,2014,2565.01
Cambodia,KHM,2015,2565.01
Cambodia,KHM,2016,2565.01
Canada,CAN,1950,2076.52
Canada,CAN,1951,2077.93
Canada,CAN,1952,2079.33
Canada,CAN,1953,2080.74
Canada,CAN,1954,2082.14
Canada,CAN,1955,2083.55
Canada,CAN,1956,2084.96
Canada,CAN,1957,2086.36
Canada,CAN,1958,2087.77
Canada,CAN,1959,2089.18
Canada,CAN,1960,2090.6
Canada,CAN,1961,2092.01
Canada,CAN,1962,2090.99
Canada,CAN,1963,2073.72
Canada,CAN,1964,2065.59
Canada,CAN,1965,2048.32
Canada,CAN,1966,2033.08
Canada,CAN,1967,2024.95
Canada,CAN,1968,1989.39
Canada,CAN,1969,1974.15
Canada,CAN,1970,1955.86
Canada,CAN,1971,1941.17
Canada,CAN,1972,1923.98
Canada,CAN,1973,1913.97
Canada,CAN,1974,1899.12
Canada,CAN,1975,1872.69
Canada,CAN,1976,1845.08
Canada,CAN,1977,1822.74
Canada,CAN,1978,1820.31
Canada,CAN,1979,1826.33
Canada,CAN,1980,1815.05
Canada,CAN,1981,1800.84
Canada,CAN,1982,1777.62
Canada,CAN,1983,1768.82
Canada,CAN,1984,1778.16
Canada,CAN,1985,1787.84
Canada,CAN,1986,1786.48
Canada,CAN,1987,1800.45
Canada,CAN,1988,1805.66
Canada,CAN,1989,1799.56
Canada,CAN,1990,1791.88
Canada,CAN,1991,1768.98
Canada,CAN,1992,1767.12
Canada,CAN,1993,1770.03
Canada,CAN,1994,1778.54
Canada,CAN,1995,1775.93
Canada,CAN,1996,1791.01
Canada,CAN,1997,1784.22
Canada,CAN,1998,1780.13
Canada,CAN,1999,1780.92
Canada,CAN,2000,1779.13
Canada,CAN,2001,1767.99
Canada,CAN,2002,1749.47
Canada,CAN,2003,1732.14
Canada,CAN,2004,1751.06
Canada,CAN,2005,1739.18
Canada,CAN,2006,1733.23
Canada,CAN,2007,1724.69
Canada,CAN,2008,1713.39
Canada,CAN,2009,1678.52
Canada,CAN,2010,1685.54
Canada,CAN,2011,1683.57
Canada,CAN,2012,1692.85
Canada,CAN,2013,1682.74
Canada,CAN,2014,1687.78
Canada,CAN,2015,1691.16
Canada,CAN,2016,1692.85
Chile,CHL,1950,2501.75
Chile,CHL,1951,2480.49
Chile,CHL,1952,2459.4
Chile,CHL,1953,2438.5
Chile,CHL,1954,2417.77
Chile,CHL,1955,2397.21
Chile,CHL,1956,2376.84
Chile,CHL,1957,2356.63
Chile,CHL,1958,2336.6
Chile,CHL,1959,2316.74
Chile,CHL,1960,2297.04
Chile,CHL,1961,2289.12
Chile,CHL,1962,2281.22
Chile,CHL,1963,2273.35
Chile,CHL,1964,2265.5
Chile,CHL,1965,2257.69
Chile,CHL,1966,2249.9
Chile,CHL,1967,2242.13
Chile,CHL,1968,2234.4
Chile,CHL,1969,2226.69
Chile,CHL,1970,2219.01
Chile,CHL,1971,2216.36
Chile,CHL,1972,2213.72
Chile,CHL,1973,2211.09
Chile,CHL,1974,2208.33
Chile,CHL,1975,2205.58
Chile,CHL,1976,2202.83
Chile,CHL,1977,2200.08
Chile,CHL,1978,2197.34
Chile,CHL,1979,2194.6
Chile,CHL,1980,2191.86
Chile,CHL,1981,2196.97
Chile,CHL,1982,2202.08
Chile,CHL,1983,2207.21
Chile,CHL,1984,2212.35
Chile,CHL,1985,2217.5
Chile,CHL,1986,2222.67
Chile,CHL,1987,2227.84
Chile,CHL,1988,2233.03
Chile,CHL,1989,2238.23
Chile,CHL,1990,2243.89
Chile,CHL,1991,2248.96
Chile,CHL,1992,2254.04
Chile,CHL,1993,2259.14
Chile,CHL,1994,2264.25
Chile,CHL,1995,2280.7
Chile,CHL,1996,2313
Chile,CHL,1997,2256
Chile,CHL,1998,2299
Chile,CHL,1999,2277
Chile,CHL,2000,2263
Chile,CHL,2001,2242
Chile,CHL,2002,2250
Chile,CHL,2003,2235
Chile,CHL,2004,2232
Chile,CHL,2005,2157
Chile,CHL,2006,2165
Chile,CHL,2007,2128
Chile,CHL,2008,2095
Chile,CHL,2009,2074
Chile,CHL,2010,2068
Chile,CHL,2011,2047
Chile,CHL,2012,2024
Chile,CHL,2013,2015
Chile,CHL,2014,1990
Chile,CHL,2015,1990
Chile,CHL,2016,1990
Colombia,COL,1950,2323
Colombia,COL,1951,2312.28
Colombia,COL,1952,2301.61
Colombia,COL,1953,2290.99
Colombia,COL,1954,2280.42
Colombia,COL,1955,2269.89
Colombia,COL,1956,2259.42
Colombia,COL,1957,2248.99
Colombia,COL,1958,2238.61
Colombia,COL,1959,2228.28
Colombia,COL,1960,2218
Colombia,COL,1961,2213.15
Colombia,COL,1962,2208.32
Colombia,COL,1963,2203.49
Colombia,COL,1964,2198.67
Colombia,COL,1965,2193.87
Colombia,COL,1966,2189.07
Colombia,COL,1967,2184.29
Colombia,COL,1968,2179.52
Colombia,COL,1969,2174.75
Colombia,COL,1970,2170
Colombia,COL,1971,2160.29
Colombia,COL,1972,2150.62
Colombia,COL,1973,2141
Colombia,COL,1974,2131.3
Colombia,COL,1975,2121.64
Colombia,COL,1976,2112.02
Colombia,COL,1977,2102.45
Colombia,COL,1978,2092.93
Colombia,COL,1979,2083.44
Colombia,COL,1980,2074
Colombia,COL,1981,2063.22
Colombia,COL,1982,2052.5
Colombia,COL,1983,2041.84
Colombia,COL,1984,2031.23
Colombia,COL,1985,2020.67
Colombia,COL,1986,2010.17
Colombia,COL,1987,1999.73
Colombia,COL,1988,1989.34
Colombia,COL,1989,1979
Colombia,COL,1990,1969
Colombia,COL,1991,1958.97
Colombia,COL,1992,1949
Colombia,COL,1993,1961.96
Colombia,COL,1994,1975
Colombia,COL,1995,1970.23
Colombia,COL,1996,1965.48
Colombia,COL,1997,1960.73
Colombia,COL,1998,1956
Colombia,COL,1999,1941.86
Colombia,COL,2000,1883.65
Colombia,COL,2001,1876.72
Colombia,COL,2002,1869.81
Colombia,COL,2003,1862.93
Colombia,COL,2004,1856.08
Colombia,COL,2005,1849.25
Colombia,COL,2006,1842.45
Colombia,COL,2007,1835.67
Colombia,COL,2008,1828.91
Colombia,COL,2009,1822.18
Colombia,COL,2010,1815.48
Colombia,COL,2011,1808.8
Colombia,COL,2012,1783.85
Colombia,COL,2013,1770.9
Colombia,COL,2014,1763.25
Colombia,COL,2015,1763.25
Colombia,COL,2016,1763.25
Costa Rica,CRI,1987,2398.37
Costa Rica,CRI,1988,2388.05
Costa Rica,CRI,1989,2367.42
Costa Rica,CRI,1990,2370.68
Costa Rica,CRI,1991,2373.94
Costa Rica,CRI,1992,2377.21
Costa Rica,CRI,1993,2380.49
Costa Rica,CRI,1994,2383.76
Costa Rica,CRI,1995,2387.05
Costa Rica,CRI,1996,2390.33
Costa Rica,CRI,1997,2393.62
Costa Rica,CRI,1998,2396.92
Costa Rica,CRI,1999,2400.22
Costa Rica,CRI,2000,2403.52
Costa Rica,CRI,2001,2424.16
Costa Rica,CRI,2002,2424.16
Costa Rica,CRI,2003,2424.16
Costa Rica,CRI,2004,2351.95
Costa Rica,CRI,2005,2326.16
Costa Rica,CRI,2006,2326.16
Costa Rica,CRI,2007,2398.37
Costa Rica,CRI,2008,2417.97
Costa Rica,CRI,2009,2368.99
Costa Rica,CRI,2010,2321
Costa Rica,CRI,2011,2354
Costa Rica,CRI,2012,2287
Costa Rica,CRI,2013,2223
Costa Rica,CRI,2014,2216
Costa Rica,CRI,2015,2216
Costa Rica,CRI,2016,2216
Cyprus,CYP,1950,2089.86
Cyprus,CYP,1951,2081.22
Cyprus,CYP,1952,2072.61
Cyprus,CYP,1953,2064.04
Cyprus,CYP,1954,2055.51
Cyprus,CYP,1955,2047.01
Cyprus,CYP,1956,2038.54
Cyprus,CYP,1957,2030.11
Cyprus,CYP,1958,2021.72
Cyprus,CYP,1959,2013.36
Cyprus,CYP,1960,2005.03
Cyprus,CYP,1961,1996.12
Cyprus,CYP,1962,1987.25
Cyprus,CYP,1963,1978.42
Cyprus,CYP,1964,1969.62
Cyprus,CYP,1965,1960.87
Cyprus,CYP,1966,1952.15
Cyprus,CYP,1967,1943.48
Cyprus,CYP,1968,1934.84
Cyprus,CYP,1969,1926.24
Cyprus,CYP,1970,1888.71
Cyprus,CYP,1971,1889.58
Cyprus,CYP,1972,1890.92
Cyprus,CYP,1973,1892.22
Cyprus,CYP,1974,1893.5
Cyprus,CYP,1975,1894.73
Cyprus,CYP,1976,1895.93
Cyprus,CYP,1977,1897.09
Cyprus,CYP,1978,1898.58
Cyprus,CYP,1979,1899.88
Cyprus,CYP,1980,1900.46
Cyprus,CYP,1981,1900.54
Cyprus,CYP,1982,1900.19
Cyprus,CYP,1983,1897.91
Cyprus,CYP,1984,1897.58
Cyprus,CYP,1985,1896.65
Cyprus,CYP,1986,1896.96
Cyprus,CYP,1987,1899
Cyprus,CYP,1988,1896.46
Cyprus,CYP,1989,1898.31
Cyprus,CYP,1990,1900.39
Cyprus,CYP,1991,1901.53
Cyprus,CYP,1992,1901.51
Cyprus,CYP,1993,1900.86
Cyprus,CYP,1994,1899.11
Cyprus,CYP,1995,1899.57
Cyprus,CYP,1996,1898.6
Cyprus,CYP,1997,1906.27
Cyprus,CYP,1998,1912.54
Cyprus,CYP,1999,1919.71
Cyprus,CYP,2000,1926.39
Cyprus,CYP,2001,1950.89
Cyprus,CYP,2002,1923.21
Cyprus,CYP,2003,1916.1
Cyprus,CYP,2004,1878.6
Cyprus,CYP,2005,1842.22
Cyprus,CYP,2006,1833.6
Cyprus,CYP,2007,1862.54
Cyprus,CYP,2008,1882.17
Cyprus,CYP,2009,1870.04
Cyprus,CYP,2010,1856.07
Cyprus,CYP,2011,1841.33
Cyprus,CYP,2012,1834.63
Cyprus,CYP,2013,1806.22
Cyprus,CYP,2014,1795.59
Cyprus,CYP,2015,1793.05
Cyprus,CYP,2016,1793.05
Czech Republic,CZE,1990,1889.71
Czech Republic,CZE,1991,1882.88
Czech Republic,CZE,1992,1857.9
Czech Republic,CZE,1993,1857.04
Czech Republic,CZE,1994,1839.04
Czech Republic,CZE,1995,1858.04
Czech Republic,CZE,1996,1852.49
Czech Republic,CZE,1997,1857.68
Czech Republic,CZE,1998,1877.33
Czech Republic,CZE,1999,1893.49
Czech Republic,CZE,2000,1895.66
Czech Republic,CZE,2001,1818.18
Czech Republic,CZE,2002,1816.5
Czech Republic,CZE,2003,1805.81
Czech Republic,CZE,2004,1816.95
Czech Republic,CZE,2005,1817.01
Czech Republic,CZE,2006,1798.98
Czech Republic,CZE,2007,1784.28
Czech Republic,CZE,2008,1789.68
Czech Republic,CZE,2009,1778.75
Czech Republic,CZE,2010,1799.62
Czech Republic,CZE,2011,1805.62
Czech Republic,CZE,2012,1776.13
Czech Republic,CZE,2013,1762.94
Czech Republic,CZE,2014,1770.69
Czech Republic,CZE,2015,1781.88
Czech Republic,CZE,2016,1792.58
Denmark,DNK,1950,2087.23
Denmark,DNK,1951,2072.51
Denmark,DNK,1952,2057.89
Denmark,DNK,1953,2043.38
Denmark,DNK,1954,2028.97
Denmark,DNK,1955,2014.66
Denmark,DNK,1956,2000.45
Denmark,DNK,1957,1986.34
Denmark,DNK,1958,1972.33
Denmark,DNK,1959,1958.42
Denmark,DNK,1960,1944.61
Denmark,DNK,1961,1957.71
Denmark,DNK,1962,1970.9
Denmark,DNK,1963,1984.18
Denmark,DNK,1964,1997.54
Denmark,DNK,1965,2011
Denmark,DNK,1966,2024.55
Denmark,DNK,1967,1995.19
Denmark,DNK,1968,1949.79
Denmark,DNK,1969,1909.75
Denmark,DNK,1970,1884.16
Denmark,DNK,1971,1847.07
Denmark,DNK,1972,1787.03
Denmark,DNK,1973,1743.66
Denmark,DNK,1974,1724.8
Denmark,DNK,1975,1647.8
Denmark,DNK,1976,1654.54
Denmark,DNK,1977,1628.86
Denmark,DNK,1978,1605.09
Denmark,DNK,1979,1592.62
Denmark,DNK,1980,1604.73
Denmark,DNK,1981,1572.02
Denmark,DNK,1982,1577.68
Denmark,DNK,1983,1570.3
Denmark,DNK,1984,1566.79
Denmark,DNK,1985,1553.36
