Entity,Code,Year,Genuine saving ($),GDP ($)
Australia,AUS,1987,953.01,16054.27
Australia,AUS,1988,1013.54,16656.76
Australia,AUS,1989,1038.67,17064.53
Australia,AUS,1990,1065.51,17434.84
Australia,AUS,1991,447.22,17153.56
Australia,AUS,1992,171.75,17056.09
Australia,AUS,1993,474.09,17583.19
Australia,AUS,1994,195.24,18091.15
Australia,AUS,1995,532.7,18565.91
Australia,AUS,1996,533.33,19061.5
Australia,AUS,1997,835.91,19600.34
Australia,AUS,1998,630.46,20268.46
Australia,AUS,1999,630.27,21029.56
Australia,AUS,2000,995.23,21552.43
Brazil,BRA,1900,0,0
Brazil,BRA,1901,-27.91,614.14
Brazil,BRA,1902,-2.1,638.98
Brazil,BRA,1903,9.74,625.33
Brazil,BRA,1904,7.81,609.53
Brazil,BRA,1905,84.48,605.67
Brazil,BRA,1906,77.3,615.85
Brazil,BRA,1907,113.64,681.77
Brazil,BRA,1908,112.82,596.99
Brazil,BRA,1909,124.62,641.67
Brazil,BRA,1910,158.96,669.36
Brazil,BRA,1911,131.85,653.35
Brazil,BRA,1912,167.35,702.28
Brazil,BRA,1913,182.01,693.82
Brazil,BRA,1914,-34.87,659.82
Brazil,BRA,1915,-84.03,670.25
Brazil,BRA,1916,-74.48,670.64
Brazil,BRA,1917,-67.39,697.09
Brazil,BRA,1918,-58.14,663.94
Brazil,BRA,1919,-7.25,730.69
Brazil,BRA,1920,22.06,780.44
Brazil,BRA,1921,6.45,784.98
Brazil,BRA,1922,24.25,826.69
Brazil,BRA,1923,-8.7,861.27
Brazil,BRA,1924,25.23,848
Brazil,BRA,1925,52.12,838.85
Brazil,BRA,1926,60.94,844.16
Brazil,BRA,1927,78.06,892.1
Brazil,BRA,1928,74.41,980.2
Brazil,BRA,1929,107.52,967.88
Brazil,BRA,1930,5.22,896.82
Brazil,BRA,1931,-12.19,863.85
Brazil,BRA,1932,-19.4,880.76
Brazil,BRA,1933,-1.93,935.4
Brazil,BRA,1934,19.63,998.72
Brazil,BRA,1935,68.98,1010.92
Brazil,BRA,1936,45.16,1091.62
Brazil,BRA,1937,69.31,1110.71
Brazil,BRA,1938,50.78,1140.06
Brazil,BRA,1939,11.5,1134.4
Brazil,BRA,1940,19.85,1128.77
Brazil,BRA,1941,-18.68,1180.27
Brazil,BRA,1942,-35.95,1110.61
Brazil,BRA,1943,-38.46,1236.39
Brazil,BRA,1944,-21.71,1253.15
Brazil,BRA,1945,14.23,1257.33
Brazil,BRA,1946,57.5,1358.25
Brazil,BRA,1947,100.4,1374.17
Brazil,BRA,1948,33.78,1445.71
Brazil,BRA,1949,47.87,1503.42
Brazil,BRA,1950,52.92,1559.46
Brazil,BRA,1951,27.28,1604.11
Brazil,BRA,1952,28.38,1676.04
Brazil,BRA,1953,37.93,1677.94
Brazil,BRA,1954,55.25,1809.64
Brazil,BRA,1955,24.02,1851.78
Brazil,BRA,1956,46.95,1856.43
Brazil,BRA,1957,65.62,1950.28
Brazil,BRA,1958,114.47,2039.13
Brazil,BRA,1959,128.87,2085.52
Brazil,BRA,1960,-64.73,2221.23
Brazil,BRA,1961,-81.45,2382.37
Brazil,BRA,1962,-17.66,2416.91
Brazil,BRA,1963,8.66,2376.94
Brazil,BRA,1964,-37.91,2399.81
Brazil,BRA,1965,-11.47,2398.16
Brazil,BRA,1966,21.38,2423.15
Brazil,BRA,1967,34.66,2473.76
Brazil,BRA,1968,115.97,2680.18
Brazil,BRA,1969,160.02,2872.88
Brazil,BRA,1970,300.92,2870.9
Brazil,BRA,1971,35.3,3119.33
Brazil,BRA,1972,109.14,3409.23
Brazil,BRA,1973,211.45,3794.79
Brazil,BRA,1974,272.16,4008.81
Brazil,BRA,1975,372.74,4117.62
Brazil,BRA,1976,386.49,4433.45
Brazil,BRA,1977,373.35,4543.21
Brazil,BRA,1978,439.1,4657.69
Brazil,BRA,1979,521.96,4857.43
Brazil,BRA,1980,797.8,5229.35
Brazil,BRA,1981,778.56,4892.21
Brazil,BRA,1982,707.03,4819.85
Brazil,BRA,1983,490.32,4572.75
Brazil,BRA,1984,429.38,4713.94
Brazil,BRA,1985,425.66,4977.49
Brazil,BRA,1986,658.27,5243.06
Brazil,BRA,1987,885.57,5322.66
Brazil,BRA,1988,958.38,5219.72
Brazil,BRA,1989,1077.3,5291.58
Brazil,BRA,1990,691.49,4968.7
Brazil,BRA,1991,505.41,4936.29
Brazil,BRA,1992,540.44,4831.42
Brazil,BRA,1993,621.33,4990.76
Brazil,BRA,1994,589.73,5202.23
Brazil,BRA,1995,479.95,5339.11
Brazil,BRA,1996,419.91,5370.59
Brazil,BRA,1997,509.21,5467.75
Brazil,BRA,1998,597.61,5387.65
Brazil,BRA,1999,640.02,5321.21
Brazil,BRA,2000,678.35,5469.12
Chile,CHL,1900,-77.13,2132.73
Chile,CHL,1901,-20.22,2153.22
Chile,CHL,1902,-57.6,2213.63
Chile,CHL,1903,-48.11,2058.03
Chile,CHL,1904,34.6,2193.06
Chile,CHL,1905,122.61,2158.1
Chile,CHL,1906,247.32,2292.01
Chile,CHL,1907,297.69,2376.99
Chile,CHL,1908,190.92,2600.4
Chile,CHL,1909,77.69,2584.88
Chile,CHL,1910,131.77,2845.48
Chile,CHL,1911,236.24,2738.1
Chile,CHL,1912,292.37,2815.42
Chile,CHL,1913,253.95,2835.56
Chile,CHL,1914,-13.67,2369.87
Chile,CHL,1915,-192.42,2268.34
Chile,CHL,1916,-278.53,2750.18
Chile,CHL,1917,-303.01,2765.45
Chile,CHL,1918,-241.84,2782.88
Chile,CHL,1919,-121.49,2361.21
Chile,CHL,1920,-97.41,2638.04
Chile,CHL,1921,-13.26,2254.86
Chile,CHL,1922,-19.17,2305.13
Chile,CHL,1923,-79.46,2738.04
Chile,CHL,1924,-62.64,2903.8
Chile,CHL,1925,-56.3,2988.21
Chile,CHL,1926,63.98,2701.45
Chile,CHL,1927,13.84,2615.74
Chile,CHL,1928,-44.1,3160.02
Chile,CHL,1929,195.42,3279.18
Chile,CHL,1930,415.09,2497.37
Chile,CHL,1931,141.49,2106.21
Chile,CHL,1932,14.86,1751.75
Chile,CHL,1933,-29.21,2124.6
Chile,CHL,1934,-68.44,2524.51
Chile,CHL,1935,88.04,2627.94
Chile,CHL,1936,92.2,2713.76
Chile,CHL,1937,-101.31,3036.91
Chile,CHL,1938,69.1,3023.68
Chile,CHL,1939,-294.03,3038.56
Chile,CHL,1940,-252.57,3110.68
Chile,CHL,1941,-334.37,3033.04
Chile,CHL,1942,-375.92,3130.22
Chile,CHL,1943,-374.62,3175.25
Chile,CHL,1944,-320.32,3190.53
Chile,CHL,1945,-273.69,3418.57
Chile,CHL,1946,-125.08,3660.17
Chile,CHL,1947,-161.28,3220.17
Chile,CHL,1948,-223.08,3704.12
Chile,CHL,1949,-56.91,3574.33
Chile,CHL,1950,-164.87,3741.04
Chile,CHL,1951,-225.8,3829.78
Chile,CHL,1952,-214.57,3966.49
Chile,CHL,1953,-263.83,4084.31
Chile,CHL,1954,-458.2,4010.29
Chile,CHL,1955,-549.22,3914.4
Chile,CHL,1956,-579.65,3844.77
Chile,CHL,1957,-212.09,4146
Chile,CHL,1958,-198.68,4199.78
Chile,CHL,1959,-365.49,4074.84
Chile,CHL,1960,-366.31,4367.66
Chile,CHL,1961,-314.69,4259.92
Chile,CHL,1962,-524.86,4469.4
Chile,CHL,1963,-580.66,4583.38
Chile,CHL,1964,-610.01,4572.26
Chile,CHL,1965,-594.75,4503.76
Chile,CHL,1966,-578.35,4897.71
Chile,CHL,1967,-593.78,4952.02
Chile,CHL,1968,-522.67,5026.28
Chile,CHL,1969,-625.52,5112.77
Chile,CHL,1970,-464.71,5120.27
Chile,CHL,1971,-690.09,5478.71
Chile,CHL,1972,-1052.81,5318.34
Chile,CHL,1973,-1238.62,4938.23
Chile,CHL,1974,-1539.33,4906.06
Chile,CHL,1975,-1068.17,4206.18
Chile,CHL,1976,-1118.93,4290.31
Chile,CHL,1977,-909.59,4648.19
Chile,CHL,1978,-655.1,4962.53
Chile,CHL,1979,-648.8,5299.83
Chile,CHL,1980,-430.82,5638.54
Chile,CHL,1981,-45.64,5897.51
Chile,CHL,1982,-530.69,5017.01
Chile,CHL,1983,-552.46,4798.92
Chile,CHL,1984,-445.8,4999.5
Chile,CHL,1985,-201.64,5014.46
Chile,CHL,1986,-34.52,5207.3
Chile,CHL,1987,152.81,5458.01
Chile,CHL,1988,163.2,5757.68
Chile,CHL,1989,244.05,6257.03
Chile,CHL,1990,53.95,6376.66
Chile,CHL,1991,116.27,6763.27
Chile,CHL,1992,435.07,7455.25
Chile,CHL,1993,649.32,7831.72
Chile,CHL,1994,678.43,8134.93
Chile,CHL,1995,875.56,8854.46
Chile,CHL,1996,1123.4,9370.27
Chile,CHL,1997,1365.48,9849.71
Chile,CHL,1998,1331.43,10033.83
Chile,CHL,1999,1062.91,9831.15
Chile,CHL,2000,519.33,10146.38
Colombia,COL,1900,-73.69,658.73
Colombia,COL,1901,-79.17,660.21
Colombia,COL,1902,-82.28,661.83
Colombia,COL,1903,-63.54,663.35
Colombia,COL,1904,-65.11,664.79
Colombia,COL,1905,-62.31,666.13
Colombia,COL,1906,-62.15,665.6
Colombia,COL,1907,-54.52,689.37
Colombia,COL,1908,-58.36,707.11
Colombia,COL,1909,-52.58,723.27
Colombia,COL,1910,-43.89,742.61
Colombia,COL,1911,-52.08,757.18
Colombia,COL,1912,-44.8,771.73
Colombia,COL,1913,-25.84,786.31
Colombia,COL,1914,-32.02,796.91
Colombia,COL,1915,-59.01,814.11
Colombia,COL,1916,-57.42,835.65
Colombia,COL,1917,-55.64,849.47
Colombia,COL,1918,-71.38,875.44
Colombia,COL,1919,-51.31,929.59
Colombia,COL,1920,20.72,973.65
Colombia,COL,1921,8.19,1009.45
Colombia,COL,1922,-12.89,1056.71
Colombia,COL,1923,7.38,1102.01
Colombia,COL,1924,27.52,1141.74
Colombia,COL,1925,74.21,1179.75
Colombia,COL,1926,149.09,1267.11
Colombia,COL,1927,168.22,1354.16
Colombia,COL,1928,184.06,1425.05
Colombia,COL,1929,113.48,1447.38
Colombia,COL,1930,-13.63,1406.72
Colombia,COL,1931,-66.97,1357.2
Colombia,COL,1932,-73.44,1418.75
Colombia,COL,1933,-57.27,1468.42
Colombia,COL,1934,-87.19,1530.92
Colombia,COL,1935,-70.03,1537.59
Colombia,COL,1936,-47.33,1587.18
Colombia,COL,1937,-3.93,1580.22
Colombia,COL,1938,52.32,1650.09
Colombia,COL,1939,11.9,1713.57
Colombia,COL,1940,-42.59,1713.02
Colombia,COL,1941,-67.3,1704.21
Colombia,COL,1942,-111.09,1670.9
Colombia,COL,1943,-65.16,1641.65
Colombia,COL,1944,4.72,1714.9
Colombia,COL,1945,43.41,1756.67
Colombia,COL,1946,97.89,1884.04
Colombia,COL,1947,246.41,1915.1
Colombia,COL,1948,115.3,1927.11
Colombia,COL,1949,99.67,2050.22
Colombia,COL,1950,135.24,2042.02
Colombia,COL,1951,47.26,2046.4
Colombia,COL,1952,69.36,2113.83
Colombia,COL,1953,161.2,2178.55
Colombia,COL,1954,187.8,2262.5
Colombia,COL,1955,222.65,2282.93
Colombia,COL,1956,187.57,2306.61
Colombia,COL,1957,109.65,2289.45
Colombia,COL,1958,156.14,2277.29
Colombia,COL,1959,173,2370.43
Colombia,COL,1960,165.16,2398.97
Colombia,COL,1961,213.2,2446.38
Colombia,COL,1962,221.21,2502.1
Colombia,COL,1963,175.27,2507.78
Colombia,COL,1964,192.28,2584.36
Colombia,COL,1965,147.52,2600.13
Colombia,COL,1966,237.88,2657.89
Colombia,COL,1967,288.14,2688.7
Colombia,COL,1968,365.26,2768.35
Colombia,COL,1969,432.12,2857.42
Colombia,COL,1970,567.88,2956.18
Colombia,COL,1971,415.64,3055.49
Colombia,COL,1972,379.42,3212.79
Colombia,COL,1973,396.57,3350.64
Colombia,COL,1974,384.1,3463.2
Colombia,COL,1975,365.06,3463.28
Colombia,COL,1976,414.39,3544.1
Colombia,COL,1977,354.93,3607.37
Colombia,COL,1978,450.37,3824.43
Colombia,COL,1979,429.93,3940.03
Colombia,COL,1980,451.96,4010.69
Colombia,COL,1981,572.64,4012.83
Colombia,COL,1982,590.53,3963.78
Colombia,COL,1983,609.83,3940.66
Colombia,COL,1984,599.86,3987.45
Colombia,COL,1985,689.01,4026.55
Colombia,COL,1986,749.14,4174.56
Colombia,COL,1987,645.46,4310.52
Colombia,COL,1988,831.6,4397.02
Colombia,COL,1989,764.85,4458.6
Colombia,COL,1990,621.2,4560.34
Colombia,COL,1991,559.03,4580.37
Colombia,COL,1992,737.33,4690.57
Colombia,COL,1993,1025.43,4867.32
Colombia,COL,1994,960.69,5025.39
Colombia,COL,1995,825.99,5192.84
Colombia,COL,1996,843.29,5206.93
Colombia,COL,1997,910.17,5292.31
Colombia,COL,1998,696.09,5232.02
Colombia,COL,1999,246.66,4929.03
Colombia,COL,2000,-32.3,4991.5
France,FRA,1900,174.41,2116.88
France,FRA,1901,131.36,2070.02
France,FRA,1902,122.59,2155.65
France,FRA,1903,134.82,2163
France,FRA,1904,134.81,2138.87
France,FRA,1905,149.74,2216.14
France,FRA,1906,132.85,2387.19
France,FRA,1907,188.34,2466.01
France,FRA,1908,162.83,2337.39
France,FRA,1909,163.01,2526.03
France,FRA,1910,148,2503.46
France,FRA,1911,194.98,2499.07
France,FRA,1912,228.54,2672.11
France,FRA,1913,213.94,2716.8
France,FRA,1914,-161.67,2409.04
France,FRA,1915,-187.86,2074.17
France,FRA,1916,-177.37,2470.26
France,FRA,1917,-280.82,2492.67
France,FRA,1918,-251.37,2172.96
France,FRA,1919,193.67,2321.87
France,FRA,1920,434.57,2862.32
France,FRA,1921,535.48,2494.37
France,FRA,1922,484.95,3005.32
France,FRA,1923,540.65,3249.31
France,FRA,1924,523.62,3239.34
France,FRA,1925,494.21,3425.67
France,FRA,1926,578.26,3421.16
France,FRA,1927,427.75,3078.54
France,FRA,1928,574.72,3337.1
France,FRA,1929,657.5,3281.87
France,FRA,1930,508.91,3114.78
France,FRA,1931,446.83,2874.2
France,FRA,1932,395.58,2808.65
France,FRA,1933,465.18,2711.48
France,FRA,1934,318.61,2613.26
France,FRA,1935,433.26,2534.86
France,FRA,1936,365.7,2847.23
France,FRA,1937,351.79,3182.14
France,FRA,1938,303.53,3344.76
France,FRA,1939,406.49,3288.66
France,FRA,1940,-695.5,2740.09
France,FRA,1941,-568.15,2263.21
France,FRA,1942,-358.87,2047.93
France,FRA,1943,-80.66,1937.1
France,FRA,1944,-231.61,2381.71
France,FRA,1945,112.51,2143.58
France,FRA,1946,351.75,2660.77
France,FRA,1947,624.87,3099.02
France,FRA,1948,497.08,3176.94
France,FRA,1949,585.45,4232.41
France,FRA,1950,679.74,4473.75
France,FRA,1951,744.6,4802.81
France,FRA,1952,761.48,4969.68
France,FRA,1953,648.84,5190.95
France,FRA,1954,745.34,5435.52
France,FRA,1955,966.54,5721.8
France,FRA,1956,987.84,5991.23
France,FRA,1957,1168.93,6482.81
France,FRA,1958,1197.78,6435.82
France,FRA,1959,1126.23,6529.35
France,FRA,1960,1243.03,6922.06
France,FRA,1961,1350.54,7235.27
France,FRA,1962,1603.09,7570.64
France,FRA,1963,1602.46,7948.74
France,FRA,1964,1968.22,8461.74
France,FRA,1965,1962.18,8781.44
France,FRA,1966,2234.28,9171.83
France,FRA,1967,2361.82,9570.23
France,FRA,1968,2533.99,9893.02
France,FRA,1969,2548.57,10509.17
France,FRA,1970,2563.44,11202.27
France,FRA,1971,2604.87,11717.89
France,FRA,1972,2697.68,12222.46
France,FRA,1973,2873.97,12937.64
France,FRA,1974,2948.27,13024.62
France,FRA,1975,2262.78,13069
France,FRA,1976,2602.7,13746.61
France,FRA,1977,2497.46,14121.14
France,FRA,1978,2409.18,14672.84
France,FRA,1979,2495.59,14986.86
France,FRA,1980,2461.66,14868.71
France,FRA,1981,2066.22,14693.94
France,FRA,1982,2094.61,14973.7
France,FRA,1983,1825.22,15024.37
France,FRA,1984,1731.18,15168.19
France,FRA,1985,1770.58,15381.74
France,FRA,1986,1938.96,16094.99
France,FRA,1987,2020.02,16308.63
France,FRA,1988,2286.23,16848.75
France,FRA,1989,2479.92,17367.77
France,FRA,1990,2662.82,17802.25
France,FRA,1991,2391.69,17871.82
France,FRA,1992,2128.36,17941.29
France,FRA,1993,1788.9,17698.41
France,FRA,1994,1941,18117.83
France,FRA,1995,2258.1,18407.04
France,FRA,1996,1878.78,18460.04
France,FRA,1997,1683.13,19022.77
France,FRA,1998,2117.98,19607.57
France,FRA,1999,2053.66,20101.13
France,FRA,2000,2105.99,20433.38
Germany,DEU,1900,441.83,2913.1
Germany,DEU,1901,373.9,3132.5
Germany,DEU,1902,372.59,3169.98
Germany,DEU,1903,466.35,3297.69
Germany,DEU,1904,520.36,3438.14
Germany,DEU,1905,597.21,3409.85
Germany,DEU,1906,531.2,3515.09
Germany,DEU,1907,562.15,3341.37
Germany,DEU,1908,447.82,3492.25
Germany,DEU,1909,492.16,3682.95
Germany,DEU,1910,502.96,3721.83
Germany,DEU,1911,579.25,3845.9
Germany,DEU,1912,595.26,3723.41
Germany,DEU,1913,583.14,3749.86
Germany,DEU,1914,733.3,3463.39
Germany,DEU,1915,552.79,2851.43
Germany,DEU,1916,452.86,3138.33
Germany,DEU,1917,425.03,3126.44
Germany,DEU,1918,253.44,3118.75
Germany,DEU,1919,-9.77,3038.68
Germany,DEU,1920,246.1,3440.36
Germany,DEU,1921,480,3666.97
Germany,DEU,1922,492.53,3927.7
Germany,DEU,1923,389.67,3449.68
Germany,DEU,1924,303.24,3881.79
Germany,DEU,1925,347.69,2944.31
Germany,DEU,1926,167.47,3126.62
Germany,DEU,1927,400.68,3218.64
Germany,DEU,1928,360.16,3335
Germany,DEU,1929,226.79,3368.75
Germany,DEU,1930,121,3294.31
Germany,DEU,1931,-102.21,3004.24
Germany,DEU,1932,-3.5,2691.68
Germany,DEU,1933,193.79,2800.45
Germany,DEU,1934,262.25,3017.66
Germany,DEU,1935,398.8,3377.88
Germany,DEU,1936,482.72,3837.17
Germany,DEU,1937,692.85,4233.61
Germany,DEU,1938,712.93,4602.2
Germany,DEU,1939,715.22,4672.82
Germany,DEU,1940,687.34,5331.28
Germany,DEU,1941,686.5,5996.98
Germany,DEU,1942,663.17,6220.75
Germany,DEU,1943,720.34,6593.1
Germany,DEU,1944,756.37,6020.66
Germany,DEU,1945,-2296.88,3858.7
Germany,DEU,1946,-715.18,2105.36
Germany,DEU,1947,-747.59,2415.21
Germany,DEU,1948,-765.22,2791.89
Germany,DEU,1949,240.68,3287.19
Germany,DEU,1950,498,3463.73
Germany,DEU,1951,700.53,3741.11
Germany,DEU,1952,606.83,3997.21
Germany,DEU,1953,542.87,4156.18
Germany,DEU,1954,740.65,4591.75
Germany,DEU,1955,957.98,5080.06
Germany,DEU,1956,920.84,5377.93
Germany,DEU,1957,992.86,5702.05
Germany,DEU,1958,954.49,5905.06
Germany,DEU,1959,1180.28,6221.76
Germany,DEU,1960,1171.56,6733.63
Germany,DEU,1961,1451.86,7078.67
Germany,DEU,1962,1444.91,7404.45
Germany,DEU,1963,1422.44,7490.59
Germany,DEU,1964,1646.61,7849.97
Germany,DEU,1965,1657.45,8364
Germany,DEU,1966,1706.4,8662.65
Germany,DEU,1967,1648.83,8436.68
Germany,DEU,1968,1508.84,8455.17
Germany,DEU,1969,1989.2,9374.34
Germany,DEU,1970,1700.63,9373.38
Germany,DEU,1971,1820.56,9703.67
Germany,DEU,1972,1751.29,9853.05
Germany,DEU,1973,2150.37,12238.31
Germany,DEU,1974,2329.77,12700.02
Germany,DEU,1975,1776.96,12812.72
Germany,DEU,1976,1877.86,13456.99
Germany,DEU,1977,1797.77,13794.61
Germany,DEU,1978,1824.36,14182.55
Germany,DEU,1979,2106.33,14708.31
Germany,DEU,1980,2125.14,14954.72
Germany,DEU,1981,1599.81,15008.04
Germany,DEU,1982,1439.24,15216.8
