Entity,Code,Year,"New business density (new registrations per 1,000 people ages 15-64) (new registrations per 1,000 people ages 15-64)"
Argentina,ARG,2008,0.581740834988475
Argentina,ARG,2009,0.562848984429049
Argentina,ARG,2010,0.465321402192555
Argentina,ARG,2011,0.498818776020342
Argentina,ARG,2012,0.518624926461737
Argentina,ARG,2013,0.455170439144181
Argentina,ARG,2014,0.430245856091387
Armenia,ARM,2006,1.22914453726236
Armenia,ARM,2007,1.6283920296892
Armenia,ARM,2008,1.64908757720235
Armenia,ARM,2009,1.26519337559489
Armenia,ARM,2010,1.23693496619844
Armenia,ARM,2011,1.30231569380613
Armenia,ARM,2012,1.54354116903087
Armenia,ARM,2013,1.53548485160933
Armenia,ARM,2014,1.55126713370445
Armenia,ARM,2015,1.72210690439256
Armenia,ARM,2016,1.7357931428155
Australia,AUS,2006,9.6771355930795
Australia,AUS,2007,11.2022903060986
Australia,AUS,2008,9.89023622349711
Australia,AUS,2009,8.63047835615491
Australia,AUS,2010,10.7664774732164
Australia,AUS,2011,11.1785890104041
Australia,AUS,2012,12.1613108229875
Australia,AUS,2013,14.6843258458585
Australia,AUS,2014,14.9075046288663
Australia,AUS,2015,15.4387323343877
Australia,AUS,2016,15.5091237778664
Austria,AUT,2006,0.669777088420732
Austria,AUT,2007,0.643719540175955
Austria,AUT,2008,0.649366074762014
Austria,AUT,2009,0.579541956518776
Austria,AUT,2010,0.614547303523428
Austria,AUT,2011,0.566569640366703
Austria,AUT,2012,0.537443256941287
Austria,AUT,2013,0.609089385009512
Austria,AUT,2014,0.740107980618433
Austria,AUT,2015,0.627430835895561
Austria,AUT,2016,0.595666297009536
Azerbaijan,AZE,2008,0.997407878480901
Azerbaijan,AZE,2009,0.737892200514157
Azerbaijan,AZE,2010,0.546940998449689
Azerbaijan,AZE,2011,0.633187786187213
Azerbaijan,AZE,2012,0.694272505540226
Azerbaijan,AZE,2013,1.05326514401514
Azerbaijan,AZE,2014,0.984830847137415
Azerbaijan,AZE,2015,0.745194305589112
Azerbaijan,AZE,2016,1.03166193047416
Bangladesh,BGD,2006,0.0636763492839334
Bangladesh,BGD,2007,0.0875585664318139
Bangladesh,BGD,2008,0.0799282662917462
Bangladesh,BGD,2009,0.0846799833757763
Bangladesh,BGD,2010,0.0909071482590611
Bangladesh,BGD,2011,0.100688286545743
Bangladesh,BGD,2012,0.0918296448908775
Belarus,BLR,2006,0.264614693253988
Belarus,BLR,2007,0.566645103496542
Belarus,BLR,2008,0.765713461073738
Belarus,BLR,2009,0.845619405855433
Belarus,BLR,2010,0.946924294002014
Belarus,BLR,2011,0.898627469928661
Belarus,BLR,2012,1.13998254819524
Belarus,BLR,2013,1.33896863790535
Belarus,BLR,2014,1.04902530618492
Belarus,BLR,2015,0.870735142354286
Belarus,BLR,2016,1.09279175993158
Belgium,BEL,2006,2.81156855983273
Belgium,BEL,2007,3.11814783445703
Belgium,BEL,2008,3.11936347917396
Belgium,BEL,2009,2.7265811481751
Belgium,BEL,2010,3.14757478355647
Belgium,BEL,2011,3.30437388892937
Belgium,BEL,2012,2.98633508433895
Belgium,BEL,2013,2.56429380551832
Belgium,BEL,2014,3.25043593319488
Belgium,BEL,2015,2.93166988347035
Belgium,BEL,2016,3.72032972869501
Belize,BLZ,2006,4.6066858203515
Belize,BLZ,2007,4.60401342146843
Belize,BLZ,2008,4.04800429957519
Belize,BLZ,2009,3.27131465957882
Belize,BLZ,2010,3.02431204915843
Belize,BLZ,2011,2.97752896112154
Belize,BLZ,2012,2.88216162121591
Belize,BLZ,2013,3.22305477739112
Belize,BLZ,2014,3.07819556645848
Belize,BLZ,2016,3.86450887649267
Bhutan,BTN,2006,0.0238823650228435
Bhutan,BTN,2007,0.0253975876909437
Bhutan,BTN,2008,0.0470524971432412
Bhutan,BTN,2009,0.0305084007060516
Bhutan,BTN,2010,0.0381952328105538
Bhutan,BTN,2011,0.0475730504874169
Bhutan,BTN,2012,0.165554557292981
Bhutan,BTN,2013,0.0474114344527041
Bhutan,BTN,2014,0.0560832972337397
Bhutan,BTN,2015,0.0876883477903482
Bhutan,BTN,2016,0.0859875116860687
Bolivia,BOL,2006,0.348974463602182
Bolivia,BOL,2007,0.377683717932053
Bolivia,BOL,2008,0.425800519761893
Bolivia,BOL,2009,0.445792453445875
Bolivia,BOL,2010,0.430775191003859
Bolivia,BOL,2011,0.470820883846798
Bolivia,BOL,2012,0.544557036388999
Bolivia,BOL,2013,0.590079446815687
Bolivia,BOL,2014,0.551505342974622
Bolivia,BOL,2015,0.569474865110316
Bolivia,BOL,2016,0.540399904906373
Bosnia and Herzegovina,BIH,2009,0.729780630867642
Bosnia and Herzegovina,BIH,2010,0.746551099478415
Bosnia and Herzegovina,BIH,2011,0.728750133975545
Bosnia and Herzegovina,BIH,2012,0.699150119540137
Bosnia and Herzegovina,BIH,2013,0.722103982973548
Bosnia and Herzegovina,BIH,2014,0.829678885505071
Bosnia and Herzegovina,BIH,2015,0.924546989087831
Bosnia and Herzegovina,BIH,2016,1.13211236315783
Botswana,BWA,2006,5.69755255426947
Botswana,BWA,2007,5.90071244132549
Botswana,BWA,2008,6.87769986303134
Botswana,BWA,2009,9.04498797854633
Botswana,BWA,2010,9.5361203086007
Botswana,BWA,2011,9.95297054233336
Botswana,BWA,2012,12.8928809705408
Botswana,BWA,2013,11.8798164343233
Botswana,BWA,2014,14.489291572385
Botswana,BWA,2015,16.5250746965644
Botswana,BWA,2016,18.3660286784161
Brazil,BRA,2006,0.846264314742239
Brazil,BRA,2007,0.939428701526488
Brazil,BRA,2008,1.08817847089608
Brazil,BRA,2009,1.20073868056371
Brazil,BRA,2010,1.3513745507698
Brazil,BRA,2011,1.27727582481333
Brazil,BRA,2012,1.17208740664618
Brazil,BRA,2013,1.26530032779076
Brazil,BRA,2014,0.8562035355289
Brazil,BRA,2015,0.147804953598799
Brazil,BRA,2016,0.127907398520538
Brunei,BRN,2011,1.29322008286448
Brunei,BRN,2012,1.6585868149259
Brunei,BRN,2013,1.61502551740317
Brunei,BRN,2014,1.53138330490612
Brunei,BRN,2015,1.89357503566208
Brunei,BRN,2016,2.47963275333853
Bulgaria,BGR,2008,7.85821816732676
Bulgaria,BGR,2009,6.83075777494348
Bulgaria,BGR,2010,6.46534103741807
Bulgaria,BGR,2011,7.98307822019452
Bulgaria,BGR,2012,9.0269371180804
Bulgaria,BGR,2013,8.96497292224838
Bulgaria,BGR,2014,8.95513137035245
Bulgaria,BGR,2015,9.84473709748401
Bulgaria,BGR,2016,10.8884118532719
Burkina Faso,BFA,2006,0.0803799376779044
Burkina Faso,BFA,2007,0.0832538117469205
Burkina Faso,BFA,2008,0.0971738386727917
Burkina Faso,BFA,2009,0.0987781809572431
Burkina Faso,BFA,2010,0.134386040637539
Burkina Faso,BFA,2011,0.136297071015853
Burkina Faso,BFA,2012,0.148467007890998
Canada,CAN,2015,0.0565361804606669
Canada,CAN,2016,0.0638817648195279
Caribbean small states,,2006,3.18238601456272
Caribbean small states,,2007,3.27947790079093
Caribbean small states,,2008,3.01020804718258
Caribbean small states,,2009,2.24753093850029
Caribbean small states,,2010,2.39882212745244
Caribbean small states,,2011,2.27710658112044
Caribbean small states,,2012,2.23838088827531
Caribbean small states,,2013,2.22600029561465
Caribbean small states,,2014,2.43165929581777
Caribbean small states,,2015,2.31098286383586
Caribbean small states,,2016,2.58274661554387
Central Europe and the Baltics,,2006,4.42190528433072
Central Europe and the Baltics,,2007,4.85929610382198
Central Europe and the Baltics,,2008,5.05816159933415
Central Europe and the Baltics,,2009,4.54699916336995
Central Europe and the Baltics,,2010,4.94643039579466
Central Europe and the Baltics,,2011,6.12941172748633
Central Europe and the Baltics,,2012,6.17397474000102
Central Europe and the Baltics,,2013,6.37083305119341
Central Europe and the Baltics,,2014,5.96901093835332
Central Europe and the Baltics,,2015,6.01123969932226
Central Europe and the Baltics,,2016,6.40372789900522
Chile,CHL,2006,2.88358443769565
Chile,CHL,2007,3.08170810686155
Chile,CHL,2008,3.19805129587831
Chile,CHL,2009,3.34156905021036
Chile,CHL,2010,3.76550704535172
Chile,CHL,2011,4.90260019873296
Chile,CHL,2012,5.68601757606614
Chile,CHL,2013,7.03163362536452
Chile,CHL,2014,8.03492059605001
Chile,CHL,2015,8.42144206587256
Chile,CHL,2016,8.92547358599856
Colombia,COL,2006,1.10837218425516
Colombia,COL,2007,1.20834830200239
Colombia,COL,2008,1.28622744998519
Colombia,COL,2009,1.27782483190501
Colombia,COL,2010,1.48540764897172
Colombia,COL,2011,1.82084233042523
Colombia,COL,2012,2.00039815522471
Colombia,COL,2014,2.2306012246016
Colombia,COL,2015,1.88453243917663
Colombia,COL,2016,2.28108192264839
Costa Rica,CRI,2006,3.17162620436376
Costa Rica,CRI,2007,2.15291239261663
Costa Rica,CRI,2008,2.33060615295653
Costa Rica,CRI,2009,1.34166931707438
Costa Rica,CRI,2010,1.59366878854007
Costa Rica,CRI,2011,1.35166378052459
Costa Rica,CRI,2012,0.879326096504611
Costa Rica,CRI,2013,0.880552466891375
Costa Rica,CRI,2014,1.08801083009818
Costa Rica,CRI,2015,1.44708638712937
Costa Rica,CRI,2016,2.10082086855252
Croatia,HRV,2006,3.3089101846581
Croatia,HRV,2007,3.60242102598054
Croatia,HRV,2008,3.3842931965323
Croatia,HRV,2009,2.60006501843478
Croatia,HRV,2010,2.39689589848377
Croatia,HRV,2011,2.48271099649887
Croatia,HRV,2012,2.81575690993319
Croatia,HRV,2013,5.06819992175164
Croatia,HRV,2014,4.62770056879793
Croatia,HRV,2015,4.54231678185506
Croatia,HRV,2016,4.95543997633266
Cyprus,CYP,2006,27.7702467705672
Cyprus,CYP,2007,39.2738524236506
Cyprus,CYP,2008,32.3163319238901
Cyprus,CYP,2009,20.9464741684433
Cyprus,CYP,2010,24.721022999014
Cyprus,CYP,2011,24.7278093254177
Cyprus,CYP,2012,22.5144209362477
Cyprus,CYP,2013,13.4336398253924
Cyprus,CYP,2014,13.7016707380483
Cyprus,CYP,2015,13.7526518477398
Cyprus,CYP,2016,16.5597428489262
Czech Republic,CZE,2006,2.24251281802272
Czech Republic,CZE,2007,2.84626898560512
Czech Republic,CZE,2008,3.05511820376922
Czech Republic,CZE,2009,2.92411519158428
Czech Republic,CZE,2010,3.03089608221319
Czech Republic,CZE,2011,2.88613251019102
Czech Republic,CZE,2012,2.96323587390525
Czech Republic,CZE,2013,3.08711634832761
Czech Republic,CZE,2014,3.42435287446218
Czech Republic,CZE,2015,3.69579185639528
Czech Republic,CZE,2016,3.98340289274972
Democratic Republic of Congo,COD,2008,0.01
Democratic Republic of Congo,COD,2009,0.02
Democratic Republic of Congo,COD,2010,0.02
Democratic Republic of Congo,COD,2011,0.01
Democratic Republic of Congo,COD,2012,0.02
Democratic Republic of Congo,COD,2013,0.016059433433421
Democratic Republic of Congo,COD,2014,0.0444325064029776
Democratic Republic of Congo,COD,2015,0.0437352213724744
Democratic Republic of Congo,COD,2016,0.0388514980802519
Denmark,DNK,2006,8.69272263485215
Denmark,DNK,2007,9.43200092944191
Denmark,DNK,2008,8.45694178355579
Denmark,DNK,2009,5.7795520046475
Denmark,DNK,2010,6.06234061437343
Denmark,DNK,2011,5.99450625315386
Denmark,DNK,2012,5.73543638182707
Denmark,DNK,2013,5.7167731022665
Denmark,DNK,2014,7.99629908757171
Denmark,DNK,2015,9.15261897425419
Denmark,DNK,2016,9.91363173408448
Dominica,DMA,2006,4.46535537694134
Dominica,DMA,2007,4.17356883161586
Dominica,DMA,2008,4.38680144955178
Dominica,DMA,2009,3.38678318315807
Dominica,DMA,2010,4.20211987539983
Dominica,DMA,2011,3.72128028766751
Dominica,DMA,2012,3.59584387347647
Dominica,DMA,2013,2.85109507970107
Dominica,DMA,2014,4.16864659380535
Dominica,DMA,2015,3.39929586014326
Dominica,DMA,2016,3.17351228978008
Dominican Republic,DOM,2006,0.508420718144264
Dominican Republic,DOM,2007,0.582764679991802
Dominican Republic,DOM,2008,0.555521864259526
Dominican Republic,DOM,2009,0.575859267759354
Dominican Republic,DOM,2010,1.10189895615176
Dominican Republic,DOM,2011,1.1950677827508
Dominican Republic,DOM,2012,1.18992186313038
Dominican Republic,DOM,2013,1.33475230557759
Dominican Republic,DOM,2014,1.30305464415001
Dominican Republic,DOM,2015,1.35170551983626
Dominican Republic,DOM,2016,1.47607298981465
Early-demographic dividend,,2006,1.23553913726087
Early-demographic dividend,,2007,1.33816359469833
Early-demographic dividend,,2008,1.34080818674815
Early-demographic dividend,,2009,1.49193267772187
Early-demographic dividend,,2010,1.44449712293043
Early-demographic dividend,,2011,1.54255301582517
Early-demographic dividend,,2012,1.81500278439321
Early-demographic dividend,,2013,2.01348585359547
Early-demographic dividend,,2014,2.08423991603082
Early-demographic dividend,,2015,2.38818256073884
Early-demographic dividend,,2016,2.60720954818943
East Asia & Pacific,,2006,4.36633531450897
East Asia & Pacific,,2007,4.76695356353413
East Asia & Pacific,,2008,3.75043175648313
East Asia & Pacific,,2009,4.15990531918136
East Asia & Pacific,,2010,5.0656798587213
East Asia & Pacific,,2011,4.9071180303855
East Asia & Pacific,,2012,5.30766521116934
East Asia & Pacific,,2013,6.44227610544105
East Asia & Pacific,,2014,6.09254035373593
East Asia & Pacific,,2015,6.42291865578476
East Asia & Pacific,,2016,6.62747986736551
East Asia & Pacific (IDA & IBRD),,2006,1.50745357256362
East Asia & Pacific (IDA & IBRD),,2007,1.53598536861031
East Asia & Pacific (IDA & IBRD),,2008,1.20301729191238
East Asia & Pacific (IDA & IBRD),,2009,1.95563586311172
East Asia & Pacific (IDA & IBRD),,2010,2.75831493783063
East Asia & Pacific (IDA & IBRD),,2011,2.6776909192762
East Asia & Pacific (IDA & IBRD),,2012,2.96611561390258
East Asia & Pacific (IDA & IBRD),,2013,3.57824335753662
East Asia & Pacific (IDA & IBRD),,2014,3.52136263196551
East Asia & Pacific (IDA & IBRD),,2015,3.1847000720388
East Asia & Pacific (IDA & IBRD),,2016,3.2785220340125
East Asia & Pacific (excluding high income),,2006,1.50745357256362
East Asia & Pacific (excluding high income),,2007,1.53598536861031
East Asia & Pacific (excluding high income),,2008,1.20301729191238
East Asia & Pacific (excluding high income),,2009,1.95563586311172
East Asia & Pacific (excluding high income),,2010,2.75831493783063
East Asia & Pacific (excluding high income),,2011,2.6776909192762
East Asia & Pacific (excluding high income),,2012,2.96611561390258
East Asia & Pacific (excluding high income),,2013,3.57824335753662
East Asia & Pacific (excluding high income),,2014,3.52136263196551
East Asia & Pacific (excluding high income),,2015,3.1847000720388
East Asia & Pacific (excluding high income),,2016,3.2785220340125
El Salvador,SLV,2006,0.49950790360784
El Salvador,SLV,2007,0.509723921608433
El Salvador,SLV,2008,0.545799154065674
El Salvador,SLV,2009,0.469229216732505
El Salvador,SLV,2010,0.485803166467147
El Salvador,SLV,2011,0.457898476625928
El Salvador,SLV,2012,0.493561783386257
El Salvador,SLV,2013,0.494200726231854
El Salvador,SLV,2014,0.5107876424447
El Salvador,SLV,2015,0.52487981567542
El Salvador,SLV,2016,0.532799953198697
Estonia,EST,2006,13.1279221142425
Estonia,EST,2007,12.6879213452254
Estonia,EST,2008,10.8268476694639
Estonia,EST,2009,12.0974484072893
Estonia,EST,2010,12.932783544581
Estonia,EST,2011,16.5193539236118
Estonia,EST,2012,16.9252309899924
Estonia,EST,2013,18.0368567335734
Estonia,EST,2014,17.5077466369529
Estonia,EST,2015,18.9528789571285
Estonia,EST,2016,20.7607422997778
Ethiopia,ETH,2006,0.0260283736380315
Ethiopia,ETH,2007,0.0290231662718722
Ethiopia,ETH,2008,0.0284865811031077
Ethiopia,ETH,2009,0.0301801971556063
Euro area,,2006,5.58985345626176
Euro area,,2007,6.35109666208597
Euro area,,2008,5.66836629970035
Euro area,,2009,5.03975403153004
Euro area,,2010,5.71687074579317
Euro area,,2011,6.22482063263968
Euro area,,2012,6.7979821383002
Euro area,,2013,6.65290090922356
Euro area,,2014,6.72737242301247
Euro area,,2015,6.74062068473095
Euro area,,2016,6.93543032613814
Europe & Central Asia,,2006,6.11668435207281
Europe & Central Asia,,2007,6.71649092674017
Europe & Central Asia,,2008,6.05929118735747
Europe & Central Asia,,2009,4.55900119241501
Europe & Central Asia,,2010,4.91917423779549
Europe & Central Asia,,2011,5.14351243986052
Europe & Central Asia,,2012,5.30351460303267
Europe & Central Asia,,2013,5.51307387424894
Europe & Central Asia,,2014,5.52821828545566
Europe & Central Asia,,2015,5.54569901257643
Europe & Central Asia,,2016,5.58153599935401
Europe & Central Asia (IDA & IBRD),,2006,2.54296219719441
Europe & Central Asia (IDA & IBRD),,2007,2.88363127058813
Europe & Central Asia (IDA & IBRD),,2008,2.9556960474858
Europe & Central Asia (IDA & IBRD),,2009,2.29559987176435
Europe & Central Asia (IDA & IBRD),,2010,2.32135928847098
Europe & Central Asia (IDA & IBRD),,2011,2.44067301746957
Europe & Central Asia (IDA & IBRD),,2012,2.63866674294168
Europe & Central Asia (IDA & IBRD),,2013,3.07153487498165
Europe & Central Asia (IDA & IBRD),,2014,3.02891796791826
Europe & Central Asia (IDA & IBRD),,2015,3.27936890197655
Europe & Central Asia (IDA & IBRD),,2016,3.03814497028258
Europe & Central Asia (excluding high income),,2006,2.62363707522467
Europe & Central Asia (excluding high income),,2007,2.9810335266618
Europe & Central Asia (excluding high income),,2008,3.06415205740301
Europe & Central Asia (excluding high income),,2009,2.3686813963485
Europe & Central Asia (excluding high income),,2010,2.40044840803574
Europe & Central Asia (excluding high income),,2011,2.52545664935573
Europe & Central Asia (excluding high income),,2012,2.7165446041065
Europe & Central Asia (excluding high income),,2013,3.07033837506691
Europe & Central Asia (excluding high income),,2014,3.04383641438838
Europe & Central Asia (excluding high income),,2015,3.30403208988981
Europe & Central Asia (excluding high income),,2016,3.01099487934196
European Union,,2006,5.34673973487624
European Union,,2007,6.062281742489
European Union,,2008,5.62068351143949
European Union,,2009,4.89949413998025
European Union,,2010,5.44938097548003
European Union,,2011,6.01209345652678
European Union,,2012,6.33446079485885
European Union,,2013,6.33900844463799
European Union,,2014,6.51406452992656
European Union,,2015,6.66903468643332
European Union,,2016,7.00242620822667
Finland,FIN,2006,2.91664935140345
Finland,FIN,2007,3.95094460944482
Finland,FIN,2008,3.9727279878137
Finland,FIN,2009,3.44415585437635
Finland,FIN,2010,3.4814492224267
Finland,FIN,2011,3.58953862429749
Finland,FIN,2012,3.53941626518283
Finland,FIN,2013,3.54525854085012
Finland,FIN,2014,3.4329230084169
Finland,FIN,2015,3.64651113314902
Finland,FIN,2016,3.94841780012987
Fragile and conflict affected situations,,2006,0.386277681636178
Fragile and conflict affected situations,,2007,0.443125378529055
Fragile and conflict affected situations,,2008,0.492379715795575
Fragile and conflict affected situations,,2009,0.714433125397262
Fragile and conflict affected situations,,2010,1.28938500115906
Fragile and conflict affected situations,,2011,1.01282690870429
Fragile and conflict affected situations,,2012,1.16381676820754
Fragile and conflict affected situations,,2013,1.47535728591797
Fragile and conflict affected situations,,2014,1.28979403140118
Fragile and conflict affected situations,,2015,0.918984461185941
Fragile and conflict affected situations,,2016,0.968435891056639
France,FRA,2006,3.02962086080758
France,FRA,2007,3.52060034581019
France,FRA,2008,3.51047645021263
France,FRA,2009,3.06509718485711
France,FRA,2010,3.14681478911887
France,FRA,2011,3.13278657355397
France,FRA,2012,2.87823056147638
France,FRA,2013,2.47997663283946
France,FRA,2014,2.25706025314445
France,FRA,2015,2.08384631364064
France,FRA,2016,1.83637303757735
Gabon,GAB,2006,3.17251632799531
Gabon,GAB,2007,3.63972917820453
Gabon,GAB,2008,5.23380616978235
Gabon,GAB,2009,4.11288877994513
Georgia,GEO,2006,2.07058677529041
Georgia,GEO,2007,2.67166569333942
Georgia,GEO,2008,2.94043436911671
Georgia,GEO,2009,2.59663905093257
Georgia,GEO,2010,3.75277588674251
Georgia,GEO,2011,4.58973850461485
Georgia,GEO,2012,4.88623144193614
Georgia,GEO,2013,5.8453943677774
Georgia,GEO,2014,5.80437963527019
Georgia,GEO,2015,7.22388789274344
Georgia,GEO,2016,8.37019718502813
Germany,DEU,2006,1.1950730130868
Germany,DEU,2007,1.19802008520343
Germany,DEU,2008,1.21354197187921
Germany,DEU,2009,1.3722788625564
Germany,DEU,2010,1.37499119554654
Germany,DEU,2011,1.32403578381998
Germany,DEU,2012,1.28801061306478
Germany,DEU,2013,1.292285379141
Germany,DEU,2014,1.26866567488649
Germany,DEU,2015,1.28942936977265
Germany,DEU,2016,1.30195024488152
Ghana,GHA,2006,0.615627690001727
Ghana,GHA,2007,0.751630720015995
Ghana,GHA,2008,1.09832899309505
Ghana,GHA,2009,1.1290690028856
Ghana,GHA,2010,0.986328101899735
Ghana,GHA,2011,1.09271302370222
Ghana,GHA,2012,0.895697356977819
Greece,GRC,2006,1.01650081688606
Greece,GRC,2007,1.1231614796914
Greece,GRC,2008,0.856937548593451
Greece,GRC,2009,0.841941113053598
Greece,GRC,2010,0.766189765295367
Grenada,GRD,2006,2.90059700118172
Grenada,GRD,2007,2.95154918491834
Grenada,GRD,2008,2.66188126215044
Grenada,GRD,2009,1.49397233932401
Grenada,GRD,2010,1.90350684530346
Grenada,GRD,2011,1.52310771998027
Grenada,GRD,2012,1.30888169723121
Grenada,GRD,2013,1.78614806452996
Grenada,GRD,2014,1.97266650582575
Grenada,GRD,2015,2.29950980133227
Grenada,GRD,2016,2.58216621291644
Guatemala,GTM,2006,0.717761261091233
Guatemala,GTM,2007,0.77448696249636
Guatemala,GTM,2008,0.703234398067162
Guatemala,GTM,2009,0.694700164109943
Guatemala,GTM,2010,0.656260737756765
Guatemala,GTM,2011,0.538432797934899
Guinea,GIN,2013,0.0430573797306761
Guinea,GIN,2014,0.127047659226378
Haiti,HTI,2006,0.0348284834670105
Haiti,HTI,2007,0.0361629101319299
Haiti,HTI,2008,0.0351556627381244
Haiti,HTI,2009,0.0522022589530343
Haiti,HTI,2010,0.0651674522776025
Heavily indebted poor countries (HIPC),,2006,0.206500685190566
Heavily indebted poor countries (HIPC),,2007,0.26810687800109
Heavily indebted poor countries (HIPC),,2008,0.278607693273863
Heavily indebted poor countries (HIPC),,2009,0.361627000782081
Heavily indebted poor countries (HIPC),,2010,0.449550531240135
Heavily indebted poor countries (HIPC),,2011,0.65667715779034
Heavily indebted poor countries (HIPC),,2012,0.88563782676652
Heavily indebted poor countries (HIPC),,2013,0.734413311863415
Heavily indebted poor countries (HIPC),,2014,0.696899088371025
Heavily indebted poor countries (HIPC),,2015,0.535234774953687
Heavily indebted poor countries (HIPC),,2016,0.508888811828348
High income,,2006,86.275137766628
High income,,2007,99.1049905842899
High income,,2008,77.2832797800121
High income,,2009,58.7503565943141
High income,,2010,6.30711520002555
High income,,2011,6.56582918668988
High income,,2012,6.76389146861595
High income,,2013,7.2714518367814
High income,,2014,7.25817612506659
High income,,2015,7.47847581031314
High income,,2016,7.73769543140181
Hong Kong,HKG,2006,16.1455387151008
Hong Kong,HKG,2007,19.5798534712408
Hong Kong,HKG,2008,18.9781485314997
Hong Kong,HKG,2009,20.9522729953417
Hong Kong,HKG,2010,26.4999900290298
Hong Kong,HKG,2011,28.0136977763777
Hong Kong,HKG,2012,28.1154214205192
Hong Kong,HKG,2013,32.5991465040646
Hong Kong,HKG,2014,31.2978738849852
Hong Kong,HKG,2015,26.1101113311962
Hong Kong,HKG,2016,27.3417802738651
Hungary,HUN,2006,3.17411097706168
Hungary,HUN,2007,3.94802501258356
Hungary,HUN,2008,6.31132654245908
Hungary,HUN,2009,6.10269852021971
Hungary,HUN,2010,6.44990588636049
Hungary,HUN,2011,7.64446146564545
Hungary,HUN,2012,4.75499089353977
Hungary,HUN,2013,4.18426675942951
Hungary,HUN,2014,3.65783555175877
Hungary,HUN,2015,3.16216955154669
Hungary,HUN,2016,3.38169914327663
IBRD only,,2006,2.29548100051575
IBRD only,,2007,2.47416286113303
IBRD only,,2008,2.5344725768879
IBRD only,,2009,2.15886073744796
IBRD only,,2010,2.18060383193059
IBRD only,,2011,2.26479938771375
IBRD only,,2012,2.48347033461404
IBRD only,,2013,2.74768295948954
IBRD only,,2014,2.82159069361798
IBRD only,,2015,3.13493368284924
IBRD only,,2016,3.15427082565627
IDA & IBRD total,,2006,1.73264637512791
IDA & IBRD total,,2007,1.8961896873723
IDA & IBRD total,,2008,1.88313895455754
IDA & IBRD total,,2009,1.73338644027001
IDA & IBRD total,,2010,1.88365565650287
IDA & IBRD total,,2011,1.95905893354146
IDA & IBRD total,,2012,2.1661315732997
IDA & IBRD total,,2013,2.42033359389436
IDA & IBRD total,,2014,2.44362417184622
IDA & IBRD total,,2015,2.59914638968041
IDA & IBRD total,,2016,2.6163633865867
IDA blend,,2006,2.35033292385416
IDA blend,,2007,2.5219870405213
IDA blend,,2008,2.22614979956222
IDA blend,,2009,1.95608974993813
IDA blend,,2010,2.69373552271159
IDA blend,,2011,2.28576614914158
IDA blend,,2012,2.1254676691677
IDA blend,,2013,2.40494831443141
IDA blend,,2014,2.4790684150922
IDA blend,,2015,1.72226212186241
IDA blend,,2016,1.70632976454374
IDA only,,2006,0.544970143457431
IDA only,,2007,0.636905025446183
IDA only,,2008,0.630042388641338
IDA only,,2009,0.908344293623232
IDA only,,2010,0.965727359163955
IDA only,,2011,1.1859716475158
IDA only,,2012,1.47781519770505
IDA only,,2013,1.65875522447716
IDA only,,2014,1.58082088823992
IDA only,,2015,1.67917045874238
