Entity,Code,Year,Males (%),Both sexes (%),Females (%)
Ecuador,ECU,2015,56.5,55.43,54.41
Ecuador,ECU,2016,56.95,56.12,55.31
Ecuador,ECU,2017,59.08,58.51,57.96
Egypt,EGY,2014,82.92,80.98,78.96
Egypt,EGY,2015,86.64,84.78,82.88
Egypt,EGY,2016,90.67,87.5,84.2
Egypt,EGY,2017,98.55,97.84,97.12
El Salvador,SLV,2014,80.43,79.12,77.98
El Salvador,SLV,2015,81.01,79.65,78.45
Ethiopia,ETH,2015,,50,
Ethiopia,ETH,2016,,58.29,
Finland,FIN,2014,98.66,98.51,98.37
Finland,FIN,2015,99.08,98.38,97.7
Finland,FIN,2016,98.78,98.45,98.12
Finland,FIN,2017,95.24,98.86,102.63
Georgia,GEO,2016,81.16,78.84,76.76
Georgia,GEO,2017,88.85,84.9,81.49
Hong Kong,HKG,2014,95.53,94.81,94.15
Hong Kong,HKG,2015,96.8,96.05,95.37
Hong Kong,HKG,2016,96.93,96.12,95.38
Hong Kong,HKG,2017,97.36,96.82,96.33
Indonesia,IDN,2014,,51.49,
Indonesia,IDN,2015,63.67,57.14,50.57
Indonesia,IDN,2016,64.65,58.49,52.28
Indonesia,IDN,2017,65.34,59.59,53.8
Iran,IRN,2015,76.04,69.7,63.22
Iran,IRN,2016,78.35,71.82,65.14
Iran,IRN,2017,77.24,66.04,54.58
Iraq,IRQ,2014,63.05,53.43,43.44
Iraq,IRQ,2017,83.1,70.1,56.73
Ireland,IRL,2016,83,83,83
Italy,ITA,2014,91.52,89.84,88.27
Italy,ITA,2015,91.37,90,88.71
Italy,ITA,2016,92.69,91.52,90.42
Jamaica,JAM,2016,95.59,96.39,97.18
Japan,JPN,2015,81.55,80.9,80.28
Japan,JPN,2016,85.29,83.6,82
Japan,JPN,2017,89.7,88.31,87.03
Kazakhstan,KAZ,2016,86.02,85.39,84.82
Kazakhstan,KAZ,2017,87.14,86.81,86.5
Kenya,KEN,2015,45.97,44.82,43.71
Kenya,KEN,2016,,44.8,
Kuwait,KWT,2017,,93,
Lithuania,LTU,2014,96.4,96.71,96.99
Lithuania,LTU,2015,95.5,95.7,95.88
Lithuania,LTU,2016,96.94,97.05,97.15
Macao,MAC,2014,92.75,92.25,91.76
Macao,MAC,2015,92.6,92.22,91.83
Macao,MAC,2016,91.78,91.69,91.6
Malawi,MWI,2016,52.1,42.4,32.8
Malaysia,MYS,2015,96.43,94.51,92.47
Malaysia,MYS,2017,96.56,95.54,94.45
Mauritius,MUS,2016,78.21,74.52,70.95
Mexico,MEX,2014,64.15,62.96,61.85
Mexico,MEX,2015,73.15,71.47,69.91
Moldova,MDA,2014,,57.68,
Moldova,MDA,2015,,59.48,
Moldova,MDA,2016,,61.52,
Morocco,MAR,2014,84.62,81.72,79
Morocco,MAR,2015,89.2,88.2,87.22
Morocco,MAR,2016,90.98,89.03,87.1
Morocco,MAR,2017,91.62,91.68,91.73
Netherlands,NLD,2014,77.46,74.31,71.23
Netherlands,NLD,2015,80.28,78.62,78.08
Netherlands,NLD,2016,86.11,84.25,82.43
Niger,NER,2017,76.59,65.16,55.37
Nigeria,NGA,2017,48.99,40.7,32.44
Norway,NOR,2017,,98,
Oman,OMN,2016,94.24,90.61,86.54
Other non-specified areas,,2017,97.6,97.55,97.5
Palestine,PSE,2014,81.82,73.67,65.29
Peru,PER,2017,69.44,67.27,65.09
Qatar,QAT,2015,99.95,99.97,100
Qatar,QAT,2017,99.69,99.63,99.57
Russia,RUS,2017,,98.49,
Saint Vincent and the Grenadines,VCT,2014,,96.77,
Saint Vincent and the Grenadines,VCT,2015,,94.8,
Saint Vincent and the Grenadines,VCT,2016,,93.59,
Saudi Arabia,SAU,2016,70.73,61.58,49.38
Saudi Arabia,SAU,2017,95.9,94.3,92.02
Serbia,SRB,2014,91.48,92.06,90.44
Serbia,SRB,2015,90.23,91.35,90.05
Serbia,SRB,2016,92.46,91.75,91.07
Singapore,SGP,2016,91.01,89.49,88.09
Singapore,SGP,2017,91.01,89.48,88.09
South Africa,ZAF,2015,132.82,98.44,65.62
South Africa,ZAF,2016,117.11,86.14,56.51
South Korea,KOR,2014,87.72,84.67,81.58
South Korea,KOR,2015,96.94,95.74,94.53
South Korea,KOR,2016,92.41,90.04,87.64
South Korea,KOR,2017,95.62,94.35,93.05
Sudan,SDN,2016,70.3,62.8,54.2
Thailand,THA,2014,77.25,77.17,77.09
Thailand,THA,2015,79.52,79.29,79.06
Thailand,THA,2016,81.66,81.4,81.15
Togo,TGO,2017,48.64,43.92,39.45
Tunisia,TUN,2015,,82.4,
Tunisia,TUN,2016,,83.46,
Tunisia,TUN,2017,,84.45,
Ukraine,UKR,2014,,38.94,
United Arab Emirates,ARE,2014,,99.7,
United Arab Emirates,ARE,2016,99.2,99.23,99.3
United Arab Emirates,ARE,2017,99.4,99.4,99.4
Uruguay,URY,2014,75.87,76.87,77.79
Uruguay,URY,2015,78.27,79.07,79.82
