Entity,Code,Year,Child deaths from rotavirus (deaths of under-5s)
Ireland,IRL,2016,0
Israel,ISR,2016,3
Italy,ITA,2016,5
Jamaica,JAM,2016,4
Japan,JPN,2016,8
Jordan,JOR,2016,7
Kazakhstan,KAZ,2016,9
Kenya,KEN,2016,1404
Kiribati,KIR,2016,1
Kuwait,KWT,2016,1
Kyrgyzstan,KGZ,2016,23
Laos,LAO,2016,329
Latin America and the Caribbean,,2016,1259
Latvia,LVA,2016,0
Lebanon,LBN,2016,2
Lesotho,LSO,2016,141
Liberia,LBR,2016,665
Libya,LBY,2016,2
Lithuania,LTU,2016,0
Luxembourg,LUX,2016,0
Macedonia,MKD,2016,1
Madagascar,MDG,2016,1718
Malawi,MWI,2016,1000
Malaysia,MYS,2016,7
Maldives,MDV,2016,0
Mali,MLI,2016,1109
Malta,MLT,2016,0
Marshall Islands,MHL,2016,0
Mauritania,MRT,2016,177
Mauritius,MUS,2016,1
Mexico,MEX,2016,282
Micronesia (region),,2016,0
Moldova,MDA,2016,1
Mongolia,MNG,2016,0
Montenegro,MNE,2016,0
Morocco,MAR,2016,235
Mozambique,MOZ,2016,1216
Myanmar,MMR,2016,324
Namibia,NAM,2016,101
Nepal,NPL,2016,160
Netherlands,NLD,2016,2
New Zealand,NZL,2016,1
Nicaragua,NIC,2016,5
Niger,NER,2016,4160
Nigeria,NGA,2016,47683
North Africa and Middle East,,2016,4193
North America,,2016,39
North Korea,PRK,2016,173
Northern Ireland,,2016,1
Northern Mariana Islands,MNP,2016,0
Norway,NOR,2016,0
Oceania,,2016,85
Oman,OMN,2016,1
Pakistan,PAK,2016,2169
Palestine,PSE,2016,7
Panama,PAN,2016,16
Papua New Guinea,PNG,2016,72
Paraguay,PRY,2016,9
Peru,PER,2016,16
Philippines,PHL,2016,887
Poland,POL,2016,2
Portugal,PRT,2016,1
Puerto Rico,PRI,2016,1
Qatar,QAT,2016,0
Romania,ROU,2016,15
Russia,RUS,2016,48
Rwanda,RWA,2016,650
Saint Lucia,LCA,2016,0
Saint Vincent and the Grenadines,VCT,2016,0
Samoa,WSM,2016,0
Sao Tome and Principe,STP,2016,5
Saudi Arabia,SAU,2016,7
Scotland,,2016,1
Senegal,SEN,2016,903
Serbia,SRB,2016,1
Seychelles,SYC,2016,0
Sierra Leone,SLE,2016,1122
Singapore,SGP,2016,0
Slovakia,SVK,2016,1
Slovenia,SVN,2016,0
Solomon Islands,SLB,2016,5
Somalia,SOM,2016,518
South Africa,ZAF,2016,319
South Asia,,2016,12296
South Korea,KOR,2016,2
South Sudan,SSD,2016,913
Southeast Asia,,2016,3765
Southern Latin America,,2016,33
Southern Sub-Saharan Africa,,2016,1514
Spain,ESP,2016,1
Sri Lanka,LKA,2016,3
Sub-Saharan Africa,,2016,104733
Sudan,SDN,2016,532
Suriname,SUR,2016,2
Swaziland,SWZ,2016,75
Sweden,SWE,2016,1
Switzerland,CHE,2016,1
Syria,SYR,2016,5
Taiwan,TWN,2016,2
Tajikistan,TJK,2016,143
Tanzania,TZA,2016,1224
Thailand,THA,2016,25
Timor,TLS,2016,54
Togo,TGO,2016,439
Tonga,TON,2016,0
Trinidad and Tobago,TTO,2016,1
Tunisia,TUN,2016,4
Turkey,TUR,2016,39
Turkmenistan,TKM,2016,17
Uganda,UGA,2016,2146
Ukraine,UKR,2016,5
United Arab Emirates,ARE,2016,1
United States,USA,2016,37
United States Virgin Islands,VIR,2016,0
Uruguay,URY,2016,2
Uzbekistan,UZB,2016,15
Vanuatu,VUT,2016,2
Venezuela,VEN,2016,119
Vietnam,VNM,2016,44
Wales,,2016,1
Western Europe,,2016,50
Western Sub-Saharan Africa,,2016,71303
World,OWID_WRL,2016,128530
Yemen,YEM,2016,1093
Zambia,ZMB,2016,722
Zimbabwe,ZWE,2016,866
