Entity,Code,Year,"Percentage of teachers in primary education who are trained, both sexes (%) (%)"
Bahamas,BHS,2006,88.8222732543945
Bahamas,BHS,2007,94.4628067016602
Bahamas,BHS,2008,91.0844421386719
Bahamas,BHS,2009,84.4204177856445
Bahamas,BHS,2010,91.548713684082
Bahrain,BHR,2011,80.3359832763672
Bahrain,BHR,2012,82.0623397827148
Bahrain,BHR,2013,82.194221496582
Bahrain,BHR,2014,82.7675399780273
Bangladesh,BGD,2005,53.4021987915039
Bangladesh,BGD,2006,51.4322395324707
Bangladesh,BGD,2007,55.9990005493164
Bangladesh,BGD,2008,54.3633308410645
Bangladesh,BGD,2009,58.4075317382813
Bangladesh,BGD,2011,57.7341499328613
Barbados,BRB,2005,73.2471084594727
Barbados,BRB,2007,70.3799133300781
Barbados,BRB,2008,60.9540596008301
Barbados,BRB,2009,58.0584907531738
Barbados,BRB,2010,58.495979309082
Barbados,BRB,2011,55.4069786071777
Barbados,BRB,2014,100
Belarus,BLR,2002,97.9037780761719
Belarus,BLR,2003,97.7423629760742
Belarus,BLR,2004,98.5277786254883
Belarus,BLR,2005,99.7972183227539
Belarus,BLR,2006,99.6296081542969
Belarus,BLR,2007,99.8100662231445
Belarus,BLR,2008,99.7715530395508
Belarus,BLR,2009,99.8662033081055
Belarus,BLR,2010,99.7615814208984
Belarus,BLR,2011,99.8773498535156
Belarus,BLR,2012,99.6439895629883
Belarus,BLR,2013,99.6285095214844
Belarus,BLR,2014,99.4370727539063
Belize,BLZ,2000,54.0864105224609
Belize,BLZ,2001,40.8976287841797
Belize,BLZ,2003,40.985050201416
Belize,BLZ,2004,51.4461784362793
Belize,BLZ,2006,39.3763885498047
Belize,BLZ,2007,45.4585494995117
Belize,BLZ,2008,42.7577209472656
Belize,BLZ,2009,42.5376281738281
Belize,BLZ,2010,45.2048988342285
Belize,BLZ,2011,47.5115013122559
Belize,BLZ,2012,54.3443298339844
Belize,BLZ,2013,48.7762985229492
Belize,BLZ,2014,60.7496795654297
Benin,BEN,1999,57.6981887817383
Benin,BEN,2000,64.9971771240234
Benin,BEN,2003,77.9996032714844
Benin,BEN,2004,72.1768417358398
Benin,BEN,2009,40.3982200622559
Benin,BEN,2010,42.631031036377
Benin,BEN,2011,46.8895606994629
Benin,BEN,2014,67.59375
Bermuda,BMU,2001,100
Bermuda,BMU,2002,100
Bermuda,BMU,2003,100
Bermuda,BMU,2004,100
Bermuda,BMU,2005,100
Bermuda,BMU,2006,100
Bermuda,BMU,2011,100
Bermuda,BMU,2012,100
Bermuda,BMU,2013,75.5671920776367
Bermuda,BMU,2014,100
Bhutan,BTN,1998,93.705940246582
Bhutan,BTN,1999,100
Bhutan,BTN,2000,94.8259201049805
Bhutan,BTN,2001,91.584602355957
Bhutan,BTN,2005,93.8182983398438
Bhutan,BTN,2006,92.0068511962891
Bhutan,BTN,2008,91.4671936035156
Bolivia,BOL,2000,90.5955505371094
Botswana,BWA,1998,91.8311309814453
Botswana,BWA,1999,90.2426834106445
Botswana,BWA,2000,89.1553421020508
Botswana,BWA,2001,89.4826202392578
Botswana,BWA,2002,89.0750885009766
Botswana,BWA,2003,89.7223510742188
Botswana,BWA,2004,92.4746398925781
Botswana,BWA,2005,92.5877075195313
Botswana,BWA,2006,94.2898864746094
Botswana,BWA,2007,97.3900985717773
Botswana,BWA,2008,98.8501281738281
Botswana,BWA,2009,99.6157989501953
Botswana,BWA,2012,99.5328369140625
Botswana,BWA,2013,98.6365127563477
Brunei,BRN,2005,84.4547119140625
Brunei,BRN,2006,84.6049423217773
Brunei,BRN,2007,82.8280029296875
Brunei,BRN,2008,84.2837295532227
Brunei,BRN,2009,84.14013671875
Brunei,BRN,2010,87.0893173217773
Brunei,BRN,2011,88.2672882080078
Brunei,BRN,2012,88.0386276245117
Brunei,BRN,2013,85.1905517578125
Brunei,BRN,2014,87.4375610351563
Burkina Faso,BFA,2001,80.4177398681641
Burkina Faso,BFA,2003,86.8469772338867
Burkina Faso,BFA,2004,89.4923477172852
Burkina Faso,BFA,2005,88.2582168579102
Burkina Faso,BFA,2006,86.9417572021484
Burkina Faso,BFA,2007,87.6678924560547
Burkina Faso,BFA,2008,87.6603927612305
Burkina Faso,BFA,2009,86.1144638061523
Burkina Faso,BFA,2012,94.8324813842773
Burkina Faso,BFA,2013,85.5863876342773
Burundi,BDI,2005,87.5099792480469
Burundi,BDI,2007,87.4158630371094
Burundi,BDI,2009,91.1890563964844
Burundi,BDI,2011,94.1818923950195
Burundi,BDI,2012,94.9871597290039
Burundi,BDI,2014,92.1513366699219
Cambodia,KHM,2001,95.9141006469727
Cambodia,KHM,2002,96.0165863037109
Cambodia,KHM,2003,94.7456970214844
Cambodia,KHM,2004,96.5010223388672
Cambodia,KHM,2005,97.6862564086914
Cambodia,KHM,2006,98.3148498535156
Cambodia,KHM,2007,98.4139022827148
Cambodia,KHM,2008,98.2186889648438
Cambodia,KHM,2009,99.4791870117188
Cambodia,KHM,2010,99.0555419921875
Cambodia,KHM,2011,98.9262924194336
Cambodia,KHM,2012,100
Cambodia,KHM,2013,100
Cambodia,KHM,2014,100
Cameroon,CMR,2003,68.057991027832
Cameroon,CMR,2004,68.5339965820313
Cameroon,CMR,2005,62.7408485412598
Cameroon,CMR,2006,61.7700996398926
Cameroon,CMR,2010,57.3935203552246
Cameroon,CMR,2011,67.149543762207
Cameroon,CMR,2012,78.7775115966797
Cape Verde,CPV,2002,67.157958984375
Cape Verde,CPV,2003,69.3799667358398
Cape Verde,CPV,2004,72.7043228149414
Cape Verde,CPV,2005,77.8056411743164
Cape Verde,CPV,2006,81.4641723632813
Cape Verde,CPV,2007,82.9337463378906
Cape Verde,CPV,2008,84.7062606811523
Cape Verde,CPV,2009,86.4583282470703
Cape Verde,CPV,2010,90.0299072265625
Cape Verde,CPV,2011,92.0928726196289
Cape Verde,CPV,2012,94.5872802734375
Cape Verde,CPV,2014,96.0202407836914
Cayman Islands,CYM,1999,98.0861206054688
Cayman Islands,CYM,2000,97.8902969360352
Cayman Islands,CYM,2001,99.1453018188477
Cayman Islands,CYM,2002,99.1666717529297
Cayman Islands,CYM,2004,99.6015930175781
Cayman Islands,CYM,2005,98.8142318725586
Cayman Islands,CYM,2006,97.2027969360352
Cayman Islands,CYM,2007,95.8208999633789
Cayman Islands,CYM,2008,95.7928771972656
Cayman Islands,CYM,2011,94.8484802246094
Cayman Islands,CYM,2012,97.0297012329102
Cayman Islands,CYM,2013,88.1188125610352
Central African Republic,CAF,2011,57.4868316650391
Central African Republic,CAF,2012,57.9170188903809
Chad,TCD,2009,67.9823303222656
Chad,TCD,2010,70.1699981689453
Chad,TCD,2011,68.480842590332
Chad,TCD,2012,65.9663009643555
Chad,TCD,2013,64.9801788330078
Colombia,COL,2007,100
Colombia,COL,2008,100
Colombia,COL,2009,100
Colombia,COL,2010,100
Colombia,COL,2011,100
Colombia,COL,2012,100
Colombia,COL,2013,97.2832717895508
Colombia,COL,2014,98.2308807373047
Comoros,COM,2008,57.4219818115234
Comoros,COM,2011,55.1535301208496
Comoros,COM,2013,75.0578384399414
Congo,COG,2000,64.5529403686523
Congo,COG,2003,57.1117897033691
Congo,COG,2004,62.1705894470215
Congo,COG,2006,88.996452331543
Congo,COG,2010,86.777717590332
Congo,COG,2011,79.3237533569336
Congo,COG,2012,80.3170623779297
Costa Rica,CRI,1999,87.1756210327148
Costa Rica,CRI,2001,89.5443496704102
Costa Rica,CRI,2002,88.2072677612305
Costa Rica,CRI,2004,97.4254302978516
Costa Rica,CRI,2005,96.7872772216797
Costa Rica,CRI,2006,88.0431289672852
Costa Rica,CRI,2007,89.4650802612305
Costa Rica,CRI,2008,86.046257019043
Costa Rica,CRI,2009,87.6003875732422
Costa Rica,CRI,2010,89.4832534790039
Costa Rica,CRI,2011,91.4480209350586
Costa Rica,CRI,2013,93.9754333496094
Costa Rica,CRI,2014,93.9805908203125
Cote d'Ivoire,CIV,2000,99.4398803710938
Cote d'Ivoire,CIV,2001,99.0568237304688
Cote d'Ivoire,CIV,2003,100
Cote d'Ivoire,CIV,2007,100
Cote d'Ivoire,CIV,2008,100
Cote d'Ivoire,CIV,2009,100
Cote d'Ivoire,CIV,2011,100
Cote d'Ivoire,CIV,2012,99.3844299316406
Cote d'Ivoire,CIV,2013,82.8079376220703
Cote d'Ivoire,CIV,2014,84.9443817138672
Croatia,HRV,1999,100
Croatia,HRV,2000,100
Croatia,HRV,2001,100
Croatia,HRV,2002,100
Croatia,HRV,2003,100
Cuba,CUB,1999,100
Cuba,CUB,2000,100
Cuba,CUB,2001,100
Cuba,CUB,2002,100
Cuba,CUB,2003,100
Cuba,CUB,2004,100
Cuba,CUB,2005,100
Cuba,CUB,2006,100
Cuba,CUB,2007,100
Cuba,CUB,2008,100
Cuba,CUB,2009,100
Cuba,CUB,2010,100
Cuba,CUB,2011,100
Cuba,CUB,2012,100
Cuba,CUB,2013,100
Cuba,CUB,2014,100
Democratic Republic of Congo,COD,2007,96.0239791870117
Democratic Republic of Congo,COD,2008,93.267448425293
Democratic Republic of Congo,COD,2009,93.3934020996094
Democratic Republic of Congo,COD,2010,91.66748046875
Democratic Republic of Congo,COD,2011,89.8531112670898
Democratic Republic of Congo,COD,2012,93.5458984375
Democratic Republic of Congo,COD,2014,94.6235275268555
Djibouti,DJI,2006,79.0988693237305
Djibouti,DJI,2008,80.3258895874023
Djibouti,DJI,2009,100
Djibouti,DJI,2011,100
Djibouti,DJI,2013,96.0043182373047
Djibouti,DJI,2015,100
Dominica,DMA,1999,63.9802589416504
Dominica,DMA,2000,64.6179428100586
Dominica,DMA,2001,61.1021118164063
Dominica,DMA,2002,60.1018714904785
Dominica,DMA,2003,60.363639831543
Dominica,DMA,2004,63.5838203430176
Dominica,DMA,2005,59.9229316711426
Dominica,DMA,2006,64.2166290283203
Dominica,DMA,2007,61.1222381591797
Dominica,DMA,2008,59.4000015258789
Dominica,DMA,2009,57.8431396484375
Dominica,DMA,2010,60.8267707824707
Dominica,DMA,2011,57.7299385070801
Dominica,DMA,2012,60.6589088439941
Dominica,DMA,2013,65.2173919677734
Dominica,DMA,2014,64.814811706543
Dominican Republic,DOM,1999,73.909538269043
Dominican Republic,DOM,2002,79.3146820068359
Dominican Republic,DOM,2005,88.2693634033203
Dominican Republic,DOM,2006,88.3256072998047
Dominican Republic,DOM,2007,88.2701263427734
Dominican Republic,DOM,2008,89.2138366699219
Dominican Republic,DOM,2009,83.610710144043
Dominican Republic,DOM,2010,84.8571166992188
Dominican Republic,DOM,2011,84.8496017456055
Dominican Republic,DOM,2012,85.0539398193359
Ecuador,ECU,2000,86.9736404418945
Ecuador,ECU,2001,86.927490234375
Ecuador,ECU,2002,68.598258972168
Ecuador,ECU,2003,69.9101867675781
Ecuador,ECU,2004,70.8912734985352
Ecuador,ECU,2005,71.0534515380859
Ecuador,ECU,2006,71.0565032958984
Ecuador,ECU,2007,71.6453094482422
Ecuador,ECU,2009,82.5742874145508
Ecuador,ECU,2010,83.7937927246094
Ecuador,ECU,2011,83.5719528198242
Ecuador,ECU,2012,83.8314208984375
Ecuador,ECU,2013,84.6808471679688
Ecuador,ECU,2014,81.6330490112305
Egypt,EGY,2013,72.1567764282227
Egypt,EGY,2014,72.7039413452148
El Salvador,SLV,2003,96.2473678588867
El Salvador,SLV,2004,95.7084197998047
El Salvador,SLV,2005,94.87158203125
El Salvador,SLV,2006,94.0417633056641
El Salvador,SLV,2007,93.3131637573242
El Salvador,SLV,2008,93.1646575927734
El Salvador,SLV,2009,92.6730422973633
El Salvador,SLV,2011,95.5746994018555
Equatorial Guinea,GNQ,2008,50.965518951416
Equatorial Guinea,GNQ,2009,42.6976203918457
Equatorial Guinea,GNQ,2010,45.2571105957031
Equatorial Guinea,GNQ,2011,48.8267402648926
Eritrea,ERI,1999,72.7761764526367
Eritrea,ERI,2000,71.9698181152344
Eritrea,ERI,2001,70.4709091186523
Eritrea,ERI,2002,72.6193695068359
Eritrea,ERI,2003,80.5226898193359
Eritrea,ERI,2004,83.0947265625
Eritrea,ERI,2005,83.6061401367188
Eritrea,ERI,2006,87.5243225097656
Eritrea,ERI,2007,87.1051483154297
Eritrea,ERI,2008,90.1928634643555
Eritrea,ERI,2009,92.2455825805664
Eritrea,ERI,2010,93.8155288696289
Eritrea,ERI,2011,90.9787063598633
Eritrea,ERI,2012,89.5542526245117
Eritrea,ERI,2013,79.8617477416992
Ethiopia,ETH,2008,89.7170104980469
Ethiopia,ETH,2009,84.6098709106445
Ethiopia,ETH,2010,39.3625717163086
Ethiopia,ETH,2011,47.9740905761719
Ethiopia,ETH,2012,56.848819732666
Ethiopia,ETH,2014,95
Europe & Central Asia,,2006,94.4600601196289
Europe & Central Asia,,2008,95.2946624755859
Europe & Central Asia,,2009,95.0072708129883
Fiji,FJI,2008,97.7913208007813
Fiji,FJI,2011,100
Fiji,FJI,2012,100
Gabon,GAB,2001,95.2583770751953
Gabon,GAB,2003,100
Gambia,GMB,2000,74.7427062988281
Gambia,GMB,2011,89.7431716918945
Gambia,GMB,2013,81.9169998168945
Gambia,GMB,2014,84.1103973388672
Georgia,GEO,2000,94.6991119384766
Georgia,GEO,2001,94.6819305419922
Georgia,GEO,2003,97.3575820922852
Georgia,GEO,2008,94.9888534545898
Georgia,GEO,2009,94.58984375
Ghana,GHA,1999,71.7963714599609
Ghana,GHA,2000,69.09326171875
Ghana,GHA,2001,68.6124114990234
Ghana,GHA,2002,64.9443817138672
Ghana,GHA,2003,62.8804702758789
Ghana,GHA,2004,60.7137298583984
Ghana,GHA,2005,57.8754005432129
Ghana,GHA,2006,56.3039093017578
Ghana,GHA,2007,53.0111999511719
Ghana,GHA,2008,49.0710792541504
Ghana,GHA,2009,47.5666885375977
Ghana,GHA,2011,50.6002807617188
Ghana,GHA,2012,52.2658805847168
Ghana,GHA,2013,53.3044204711914
Ghana,GHA,2014,52.3977584838867
Ghana,GHA,2015,54.6945190429688
Gibraltar,GIB,1999,98.9130401611328
Gibraltar,GIB,2000,99.0476226806641
Gibraltar,GIB,2001,100
Gibraltar,GIB,2008,100
Gibraltar,GIB,2009,99.5073928833008
Grenada,GRD,2000,67.2110595703125
Grenada,GRD,2001,70.0653610229492
Grenada,GRD,2003,68.0180206298828
Grenada,GRD,2005,75.34765625
Grenada,GRD,2007,69.4603881835938
Grenada,GRD,2008,73.4959335327148
Grenada,GRD,2009,68.7951812744141
Grenada,GRD,2010,65.3348999023438
Grenada,GRD,2013,53.7142906188965
Grenada,GRD,2014,62.9711799621582
Guinea,GIN,2005,68.0819396972656
Guinea,GIN,2006,67.6950836181641
Guinea,GIN,2008,82.1452789306641
Guinea,GIN,2011,80.376350402832
Guinea,GIN,2012,74.5147171020508
Guinea,GIN,2013,74.1184005737305
Guinea,GIN,2014,75.0039520263672
Guinea-Bissau,GNB,2000,35.1248207092285
Guinea-Bissau,GNB,2010,38.9313011169434
Guyana,GUY,1999,51.7404289245605
Guyana,GUY,2000,51.4327011108398
Guyana,GUY,2001,53.0699691772461
Guyana,GUY,2003,57.4748382568359
Guyana,GUY,2005,57.2046089172363
Guyana,GUY,2007,57.27294921875
Guyana,GUY,2008,58.4919090270996
Guyana,GUY,2009,63.6986312866211
Guyana,GUY,2010,66.0630111694336
Guyana,GUY,2011,67.696907043457
Guyana,GUY,2012,69.6494216918945
Heavily indebted poor countries (HIPC),,2000,86.0066909790039
Heavily indebted poor countries (HIPC),,2001,84.1960372924805
Heavily indebted poor countries (HIPC),,2002,82.2352294921875
Heavily indebted poor countries (HIPC),,2003,81.6728134155273
Heavily indebted poor countries (HIPC),,2004,81.2454071044922
Heavily indebted poor countries (HIPC),,2005,80.9272918701172
Heavily indebted poor countries (HIPC),,2006,81.1867370605469
Heavily indebted poor countries (HIPC),,2007,80.9840927124023
Heavily indebted poor countries (HIPC),,2008,78.2130432128906
Heavily indebted poor countries (HIPC),,2009,78.0128707885742
Heavily indebted poor countries (HIPC),,2010,72.2497329711914
Heavily indebted poor countries (HIPC),,2011,73.5344390869141
Heavily indebted poor countries (HIPC),,2012,75.2681579589844
Heavily indebted poor countries (HIPC),,2013,76.0953598022461
Heavily indebted poor countries (HIPC),,2014,75.9154434204102
Honduras,HND,2004,87.2134399414063
Hong Kong,HKG,1998,84.9000015258789
Hong Kong,HKG,1999,86.3897323608398
Hong Kong,HKG,2000,87.5492324829102
Hong Kong,HKG,2001,89.3990097045898
Hong Kong,HKG,2002,90.6256332397461
Hong Kong,HKG,2003,91.1424713134766
Hong Kong,HKG,2004,91.8492126464844
Hong Kong,HKG,2005,93.1641693115234
Hong Kong,HKG,2006,94.8320693969727
Hong Kong,HKG,2007,94.5602416992188
Hong Kong,HKG,2008,95.1198806762695
Hong Kong,HKG,2009,95.124153137207
Hong Kong,HKG,2010,95.6056365966797
Hong Kong,HKG,2011,95.7912902832031
Hong Kong,HKG,2012,95.7918472290039
Hong Kong,HKG,2013,96.0071563720703
Hong Kong,HKG,2014,96.4113311767578
Iran,IRN,2001,98.4033279418945
Iran,IRN,2003,100
Iran,IRN,2006,95.8424606323242
Iran,IRN,2007,98.6621398925781
Iran,IRN,2008,98.4401931762695
Iran,IRN,2013,100
Iran,IRN,2014,100
Iraq,IRQ,2000,100
Iraq,IRQ,2004,100
Jamaica,JAM,2013,69.7554931640625
Jamaica,JAM,2014,95.6615524291992
Kazakhstan,KAZ,2014,100
Kazakhstan,KAZ,2015,100
Kenya,KEN,2003,98.6919937133789
Kenya,KEN,2004,98.801139831543
Kenya,KEN,2005,98.9132537841797
Kenya,KEN,2006,99.4349136352539
Kenya,KEN,2007,98.696418762207
Kenya,KEN,2008,98.4161529541016
Kenya,KEN,2009,96.8073120117188
Kiribati,KIR,2005,93.8837890625
Kiribati,KIR,2006,84.3234329223633
Kiribati,KIR,2007,90.4538269042969
Kiribati,KIR,2008,85.4263610839844
Kuwait,KWT,1999,100
Kuwait,KWT,2000,100
Kuwait,KWT,2001,100
Kuwait,KWT,2003,100
Kuwait,KWT,2004,100
Kuwait,KWT,2005,100
Kuwait,KWT,2006,100
Kuwait,KWT,2007,100
Kuwait,KWT,2008,100
Kuwait,KWT,2009,100
Kuwait,KWT,2011,77.6199798583984
Kuwait,KWT,2012,77.7441635131836
Kuwait,KWT,2013,77.1555023193359
Kuwait,KWT,2014,79.4896926879883
Kyrgyzstan,KGZ,1999,47.7331809997559
Kyrgyzstan,KGZ,2000,46.3493118286133
Kyrgyzstan,KGZ,2001,48.4320907592773
Kyrgyzstan,KGZ,2002,49.2576904296875
Kyrgyzstan,KGZ,2003,52.0189399719238
Kyrgyzstan,KGZ,2004,54.817081451416
Kyrgyzstan,KGZ,2005,57.9615287780762
Kyrgyzstan,KGZ,2006,61.2564010620117
Kyrgyzstan,KGZ,2007,62.357349395752
Kyrgyzstan,KGZ,2008,64.3790817260742
Kyrgyzstan,KGZ,2009,65.7482223510742
Kyrgyzstan,KGZ,2010,68.413200378418
Kyrgyzstan,KGZ,2011,69.6577682495117
Kyrgyzstan,KGZ,2012,71.9735794067383
Laos,LAO,1999,75.7153930664063
Laos,LAO,2000,76.6925201416016
Laos,LAO,2001,76.2407379150391
Laos,LAO,2002,76.1499404907227
Laos,LAO,2003,77.5226593017578
Laos,LAO,2004,79.3534622192383
Laos,LAO,2005,83.3810424804688
Laos,LAO,2006,85.7590179443359
Laos,LAO,2007,89.6703109741211
Laos,LAO,2008,96.8856811523438
Laos,LAO,2009,91.9874267578125
Laos,LAO,2010,95.4030609130859
Laos,LAO,2011,93.7663803100586
Laos,LAO,2012,97.2380828857422
Laos,LAO,2013,97.9802398681641
Laos,LAO,2014,98.2812881469727
Latin America & Caribbean,,2006,88.2587738037109
Latin America & Caribbean,,2007,89.411491394043
Latin America & Caribbean,,2008,88.3156585693359
Latin America & Caribbean,,2009,88.4079284667969
Latin America & Caribbean,,2010,87.66259765625
Latin America & Caribbean,,2011,86.7235336303711
Latin America & Caribbean (all income levels),,2006,88.088737487793
Latin America & Caribbean (all income levels),,2007,89.2265777587891
Latin America & Caribbean (all income levels),,2008,88.1221237182617
Latin America & Caribbean (all income levels),,2009,88.1929702758789
Latin America & Caribbean (all income levels),,2010,87.4616317749023
Latin America & Caribbean (all income levels),,2011,86.5946426391602
Least developed countries: UN classification,,2000,77.6203384399414
Least developed countries: UN classification,,2001,76.3257904052734
Least developed countries: UN classification,,2002,76.3176803588867
Least developed countries: UN classification,,2003,75.6410217285156
Least developed countries: UN classification,,2004,75.5918884277344
Least developed countries: UN classification,,2005,76.432487487793
Least developed countries: UN classification,,2006,78.6490631103516
Least developed countries: UN classification,,2007,79.0956420898438
Least developed countries: UN classification,,2008,77.6476821899414
Least developed countries: UN classification,,2009,78.1010131835938
Least developed countries: UN classification,,2010,74.1383590698242
Least developed countries: UN classification,,2011,74.1782913208008
Least developed countries: UN classification,,2012,75.8983001708984
Least developed countries: UN classification,,2013,76.9579925537109
Least developed countries: UN classification,,2014,77.775016784668
Lebanon,LBN,2013,91.0342483520508
Lebanon,LBN,2014,96.9936218261719
Lesotho,LSO,1999,78.0668716430664
Lesotho,LSO,2000,74.1897888183594
Lesotho,LSO,2001,74.8459320068359
Lesotho,LSO,2002,72.5864410400391
Lesotho,LSO,2003,67.3337631225586
Lesotho,LSO,2004,65.475830078125
Lesotho,LSO,2005,63.6793403625488
Lesotho,LSO,2006,66.7018585205078
Lesotho,LSO,2007,71.8129501342773
Lesotho,LSO,2008,57.0214996337891
Lesotho,LSO,2009,57.6022911071777
Lesotho,LSO,2010,63.3819999694824
Lesotho,LSO,2011,66.4527969360352
Lesotho,LSO,2012,67.5446395874023
Lesotho,LSO,2013,72.0328521728516
Lesotho,LSO,2014,75.7857971191406
Liberia,LBR,2006,39.576171875
Liberia,LBR,2008,40.1133193969727
Liberia,LBR,2009,47.766731262207
Liberia,LBR,2011,56.3671112060547
Liberia,LBR,2014,56.388500213623
Low income,,2000,78.523078918457
Low income,,2001,77.3495407104492
Low income,,2002,77.1698226928711
Low income,,2003,76.4603805541992
Low income,,2004,76.3836517333984
Low income,,2005,78.3627014160156
Low income,,2006,79.8227996826172
Low income,,2007,81.0075607299805
Low income,,2008,79.0363693237305
Low income,,2009,78.3984375
Low income,,2010,72.492057800293
Low income,,2011,74.6425323486328
Low income,,2012,77.2645568847656
Low income,,2013,78.8399887084961
Low income,,2014,79.6888732910156
Lower middle income,,2012,83.0389709472656
Macao,MAC,1999,80.9966812133789
Macao,MAC,2000,83.5234527587891
Macao,MAC,2001,87.2287673950195
Macao,MAC,2002,89.6658401489258
Macao,MAC,2003,90.4024810791016
Macao,MAC,2004,90.9313735961914
Macao,MAC,2005,90.8017425537109
Macao,MAC,2006,88.9301223754883
Macao,MAC,2007,88.8751525878906
Macao,MAC,2008,86.2956314086914
Macao,MAC,2009,85.9936904907227
Macao,MAC,2010,84.7178192138672
Macao,MAC,2011,85.830207824707
Macao,MAC,2012,87.9825668334961
Macao,MAC,2013,88.1627578735352
Macao,MAC,2014,88.1965179443359
Madagascar,MDG,2012,20.9862194061279
Madagascar,MDG,2013,18.9144401550293
Madagascar,MDG,2014,16.6627502441406
Malawi,MWI,1999,53.5434417724609
Malawi,MWI,2007,88.3822174072266
Malawi,MWI,2008,87.1723785400391
Malawi,MWI,2010,95.9127807617188
Malawi,MWI,2011,88.4466018676758
Malawi,MWI,2012,91.6283264160156
Malawi,MWI,2013,90.8098297119141
Malaysia,MYS,1999,97.1069107055664
Malaysia,MYS,2000,97.8516006469727
Malaysia,MYS,2001,97.4583892822266
Malaysia,MYS,2002,94.9126281738281
Malaysia,MYS,2003,91.025993347168
Malaysia,MYS,2004,91.0478134155273
Malaysia,MYS,2005,91.885856628418
Malaysia,MYS,2006,95.0840072631836
Malaysia,MYS,2007,93.5548706054688
Malaysia,MYS,2008,93.2599029541016
Malaysia,MYS,2009,94.5926895141602
Malaysia,MYS,2010,95.3556900024414
Malaysia,MYS,2011,96.1211471557617
Malaysia,MYS,2012,96.4327621459961
Malaysia,MYS,2013,96.7133026123047
Malaysia,MYS,2014,98.6477432250977
Maldives,MDV,1998,68.8770065307617
Maldives,MDV,1999,66.6666717529297
Maldives,MDV,2000,66.4510192871094
Maldives,MDV,2001,66.9413604736328
Maldives,MDV,2002,63.8229293823242
Maldives,MDV,2003,60.8122901916504
Maldives,MDV,2005,64.2956314086914
Maldives,MDV,2006,67.5959167480469
Maldives,MDV,2007,65.8677368164063
Maldives,MDV,2008,67.9245300292969
Maldives,MDV,2009,74.0919418334961
Maldives,MDV,2010,76.9572525024414
Maldives,MDV,2011,80.7633590698242
Maldives,MDV,2012,77.4742965698242
Maldives,MDV,2013,90.1202011108398
Maldives,MDV,2014,86.0571136474609
Mali,MLI,2008,50.1439018249512
Mali,MLI,2009,49.983081817627
Mali,MLI,2011,52.4238510131836
Mauritania,MRT,2004,100
Mauritania,MRT,2005,100
