Entity,Code,Year,Indicator 2.2.1: Prevalence of stunting in children under 5 (%) - Past - Unscaled (%)
Gabon,GAB,2005,21.868
Gabon,GAB,2010,18.916
Gabon,GAB,2016,16.364
Gambia,GMB,1990,27.667
Gambia,GMB,1995,33.373
Gambia,GMB,2000,26.818
Gambia,GMB,2005,28.554
Gambia,GMB,2010,24.03
Gambia,GMB,2016,22.465
Georgia,GEO,1990,12.627
Georgia,GEO,1995,14.157
Georgia,GEO,2000,13.484
Georgia,GEO,2005,15.258
Georgia,GEO,2010,11.227
Georgia,GEO,2016,10.493
Germany,DEU,1990,1.123
Germany,DEU,1995,1.059
Germany,DEU,2000,1.017
Germany,DEU,2005,1.001
Germany,DEU,2010,1.003
Germany,DEU,2016,0.974
Ghana,GHA,1990,35.738
Ghana,GHA,1995,36.921
Ghana,GHA,2000,33.184
Ghana,GHA,2005,31.677
Ghana,GHA,2010,31.747
Ghana,GHA,2016,18.251
Greece,GRC,1990,2.343
Greece,GRC,1995,1.618
Greece,GRC,2000,1.406
Greece,GRC,2005,1.326
Greece,GRC,2010,1.284
Greece,GRC,2016,1.272
Grenada,GRD,1990,16.802
Grenada,GRD,1995,14.619
Grenada,GRD,2000,11.284
Grenada,GRD,2005,10.207
Grenada,GRD,2010,9.261
Grenada,GRD,2016,8.603
Guatemala,GTM,1990,65.635
Guatemala,GTM,1995,60.13
Guatemala,GTM,2000,53.175
Guatemala,GTM,2005,47.697
Guatemala,GTM,2010,46.411
Guatemala,GTM,2016,44.786
Guinea,GIN,1990,29.513
Guinea,GIN,1995,34.951
Guinea,GIN,2000,38.816
Guinea,GIN,2005,41.865
Guinea,GIN,2010,37.979
Guinea,GIN,2016,30.534
Guinea-Bissau,GNB,1990,40.278
Guinea-Bissau,GNB,1995,38.706
Guinea-Bissau,GNB,2000,38.722
Guinea-Bissau,GNB,2005,45.778
Guinea-Bissau,GNB,2010,33.325
Guinea-Bissau,GNB,2016,27.349
Guyana,GUY,1990,15.547
Guyana,GUY,1995,15.037
Guyana,GUY,2000,14.284
Guyana,GUY,2005,17.739
Guyana,GUY,2010,18.127
Guyana,GUY,2016,12.455
Haiti,HTI,1990,41.735
Haiti,HTI,1995,38.323
Haiti,HTI,2000,29.327
Haiti,HTI,2005,28.087
Haiti,HTI,2010,24.479
Haiti,HTI,2016,21.394
Honduras,HND,1990,51.489
Honduras,HND,1995,48.098
Honduras,HND,2000,40.763
Honduras,HND,2005,31.094
Honduras,HND,2010,25.084
Honduras,HND,2016,22.616
Hungary,HUN,1990,4
Hungary,HUN,1995,3.966
Hungary,HUN,2000,3.874
Hungary,HUN,2005,3.595
Hungary,HUN,2010,3.411
Hungary,HUN,2016,3.244
Iceland,ISL,1990,1.865
Iceland,ISL,1995,1.343
Iceland,ISL,2000,1.207
Iceland,ISL,2005,1.156
Iceland,ISL,2010,1.148
Iceland,ISL,2016,1.112
India,IND,1990,54.148
India,IND,1995,52.983
India,IND,2000,51.773
India,IND,2005,50.036
India,IND,2010,47.772
India,IND,2016,42.141
Indonesia,IDN,1990,41.454
Indonesia,IDN,1995,41.219
Indonesia,IDN,2000,38.058
Indonesia,IDN,2005,38.508
Indonesia,IDN,2010,39.732
Indonesia,IDN,2016,31.58
Iran,IRN,1990,26.092
Iran,IRN,1995,21.98
Iran,IRN,2000,18.252
Iran,IRN,2005,10.684
Iran,IRN,2010,8.652
Iran,IRN,2016,7.857
Iraq,IRQ,1990,34.656
Iraq,IRQ,1995,33.985
Iraq,IRQ,2000,28.755
Iraq,IRQ,2005,27.912
Iraq,IRQ,2010,26.562
Iraq,IRQ,2016,24.351
Ireland,IRL,1990,2.34
Ireland,IRL,1995,1.549
Ireland,IRL,2000,1.326
Ireland,IRL,2005,1.235
Ireland,IRL,2010,1.246
Ireland,IRL,2016,1.178
Israel,ISR,1990,2.552
Israel,ISR,1995,1.748
Israel,ISR,2000,1.549
Israel,ISR,2005,1.517
Israel,ISR,2010,1.502
Israel,ISR,2016,1.454
Italy,ITA,1990,2.136
Italy,ITA,1995,1.489
Italy,ITA,2000,1.322
Italy,ITA,2005,1.27
Italy,ITA,2010,1.271
Italy,ITA,2016,1.237
Jamaica,JAM,1990,11.69
Jamaica,JAM,1995,11.219
Jamaica,JAM,2000,8.512
Jamaica,JAM,2005,8.061
Jamaica,JAM,2010,7.712
Jamaica,JAM,2016,6.496
Japan,JPN,1990,3.224
Japan,JPN,1995,2.985
Japan,JPN,2000,2.896
Japan,JPN,2005,3.325
Japan,JPN,2010,3.874
Japan,JPN,2016,3.74
Jordan,JOR,1990,19.633
Jordan,JOR,1995,13.295
Jordan,JOR,2000,11.831
Jordan,JOR,2005,13.332
Jordan,JOR,2010,9.861
Jordan,JOR,2016,8.183
Kazakhstan,KAZ,1990,17.948
Kazakhstan,KAZ,1995,19.483
Kazakhstan,KAZ,2000,15.136
Kazakhstan,KAZ,2005,16.653
Kazakhstan,KAZ,2010,13.58
Kazakhstan,KAZ,2016,8.413
Kenya,KEN,1990,42.077
Kenya,KEN,1995,40.574
Kenya,KEN,2000,38.754
Kenya,KEN,2005,32.765
Kenya,KEN,2010,28.484
Kenya,KEN,2016,23.935
Kiribati,KIR,1990,29.862
Kiribati,KIR,1995,27.473
Kiribati,KIR,2000,25.576
Kiribati,KIR,2005,23.289
Kiribati,KIR,2010,20.832
Kiribati,KIR,2016,18.822
Kuwait,KWT,1990,8.9
Kuwait,KWT,1995,11.907
Kuwait,KWT,2000,5.302
Kuwait,KWT,2005,3.902
Kuwait,KWT,2010,3.38
Kuwait,KWT,2016,2.98
Kyrgyzstan,KGZ,1990,27.505
Kyrgyzstan,KGZ,1995,30.887
Kyrgyzstan,KGZ,2000,24.559
Kyrgyzstan,KGZ,2005,18.281
Kyrgyzstan,KGZ,2010,19.046
Kyrgyzstan,KGZ,2016,13.387
Laos,LAO,1990,55.008
Laos,LAO,1995,59.824
Laos,LAO,2000,60.892
Laos,LAO,2005,52.861
Laos,LAO,2010,47.002
Laos,LAO,2016,40.259
Latvia,LVA,1990,14.552
Latvia,LVA,1995,14.425
Latvia,LVA,2000,11.719
Latvia,LVA,2005,8.262
Latvia,LVA,2010,6.917
Latvia,LVA,2016,6.398
Lebanon,LBN,1990,19.202
Lebanon,LBN,1995,16.611
Lebanon,LBN,2000,18.156
Lebanon,LBN,2005,20.388
Lebanon,LBN,2010,14.483
Lebanon,LBN,2016,12.182
Lesotho,LSO,1990,40.927
Lesotho,LSO,1995,45.343
Lesotho,LSO,2000,52.725
Lesotho,LSO,2005,45.11
Lesotho,LSO,2010,38.782
Lesotho,LSO,2016,31.728
Liberia,LBR,1990,50.029
Liberia,LBR,1995,52.196
Liberia,LBR,2000,52.407
Liberia,LBR,2005,43.265
Liberia,LBR,2010,37.242
Liberia,LBR,2016,31.527
Libya,LBY,1990,22.972
Libya,LBY,1995,21.5
Libya,LBY,2000,19.444
Libya,LBY,2005,20.465
Libya,LBY,2010,17.469
Libya,LBY,2016,14.905
Lithuania,LTU,1990,14.16
Lithuania,LTU,1995,13.885
Lithuania,LTU,2000,11.173
Lithuania,LTU,2005,8.059
Lithuania,LTU,2010,6.775
Lithuania,LTU,2016,6.012
Luxembourg,LUX,1990,1.736
Luxembourg,LUX,1995,1.259
Luxembourg,LUX,2000,1.132
Luxembourg,LUX,2005,1.109
Luxembourg,LUX,2010,1.102
Luxembourg,LUX,2016,1.089
Macedonia,MKD,1990,7.441
Macedonia,MKD,1995,7.431
Macedonia,MKD,2000,7.733
Macedonia,MKD,2005,9.321
Macedonia,MKD,2010,9.696
Macedonia,MKD,2016,7.812
Madagascar,MDG,1990,58.274
Madagascar,MDG,1995,53.837
Madagascar,MDG,2000,50.37
Madagascar,MDG,2005,51.173
Madagascar,MDG,2010,49.201
Madagascar,MDG,2016,44.748
Malawi,MWI,1990,55.27
Malawi,MWI,1995,54.632
Malawi,MWI,2000,54.276
Malawi,MWI,2005,51.974
Malawi,MWI,2010,42.651
Malawi,MWI,2016,36.992
Malaysia,MYS,1990,39.368
Malaysia,MYS,1995,26.95
Malaysia,MYS,2000,19.072
Malaysia,MYS,2005,17.038
Malaysia,MYS,2010,16.552
Malaysia,MYS,2016,17.61
Maldives,MDV,1990,48.484
Maldives,MDV,1995,41.277
Maldives,MDV,2000,39.463
Maldives,MDV,2005,27.404
Maldives,MDV,2010,21.563
Maldives,MDV,2016,20.139
Mali,MLI,1990,39.516
Mali,MLI,1995,41.187
Mali,MLI,2000,40.622
Mali,MLI,2005,37.673
Mali,MLI,2010,28.76
Mali,MLI,2016,24.917
Malta,MLT,1990,2.441
Malta,MLT,1995,1.673
Malta,MLT,2000,1.392
Malta,MLT,2005,1.345
Malta,MLT,2010,1.312
Malta,MLT,2016,1.271
Marshall Islands,MHL,1990,16.938
Marshall Islands,MHL,1995,15.777
Marshall Islands,MHL,2000,16.719
Marshall Islands,MHL,2005,17.094
Marshall Islands,MHL,2010,15.388
Marshall Islands,MHL,2016,13.184
Mauritania,MRT,1990,50.892
Mauritania,MRT,1995,47.99
Mauritania,MRT,2000,42.108
Mauritania,MRT,2005,35.075
Mauritania,MRT,2010,27.15
Mauritania,MRT,2016,24.965
Mauritius,MUS,1990,19.65
Mauritius,MUS,1995,14.535
Mauritius,MUS,2000,12.5
Mauritius,MUS,2005,11.571
Mauritius,MUS,2010,10.834
Mauritius,MUS,2016,9.979
Mexico,MEX,1990,21.701
Mexico,MEX,1995,20.55
Mexico,MEX,2000,17.952
Mexico,MEX,2005,17.021
Mexico,MEX,2010,15.152
Mexico,MEX,2016,12.438
Micronesia (country),FSM,1990,18.678
Micronesia (country),FSM,1995,15.394
Micronesia (country),FSM,2000,14.886
Micronesia (country),FSM,2005,14.81
Micronesia (country),FSM,2010,13.145
Micronesia (country),FSM,2016,11.709
Moldova,MDA,1990,13.255
Moldova,MDA,1995,13.157
Moldova,MDA,2000,13.763
Moldova,MDA,2005,11.551
Moldova,MDA,2010,8.692
Moldova,MDA,2016,7.689
Mongolia,MNG,1990,39.541
Mongolia,MNG,1995,39.094
Mongolia,MNG,2000,34.26
Mongolia,MNG,2005,26.833
Mongolia,MNG,2010,17.782
Mongolia,MNG,2016,14.355
Montenegro,MNE,1990,9.309
Montenegro,MNE,1995,10.014
Montenegro,MNE,2000,10.727
Montenegro,MNE,2005,10.789
Montenegro,MNE,2010,13.8
Montenegro,MNE,2016,13.842
Morocco,MAR,1990,31.178
Morocco,MAR,1995,27.744
Morocco,MAR,2000,24.844
Morocco,MAR,2005,22.5
Morocco,MAR,2010,19.714
Morocco,MAR,2016,16.945
Mozambique,MOZ,1990,45.919
Mozambique,MOZ,1995,52.746
Mozambique,MOZ,2000,47.997
Mozambique,MOZ,2005,44.099
Mozambique,MOZ,2010,41.174
Mozambique,MOZ,2016,29.785
Myanmar,MMR,1990,48.358
Myanmar,MMR,1995,47.232
Myanmar,MMR,2000,44.531
Myanmar,MMR,2005,38.846
Myanmar,MMR,2010,35.641
Myanmar,MMR,2016,28.403
Namibia,NAM,1990,35.55
Namibia,NAM,1995,32.736
Namibia,NAM,2000,29.22
Namibia,NAM,2005,29.263
Namibia,NAM,2010,27.812
Namibia,NAM,2016,20.944
Nepal,NPL,1990,60.999
Nepal,NPL,1995,61.439
Nepal,NPL,2000,60.674
Nepal,NPL,2005,53.936
Nepal,NPL,2010,45.232
Nepal,NPL,2016,35.112
Netherlands,NLD,1990,1.843
Netherlands,NLD,1995,1.324
Netherlands,NLD,2000,1.201
Netherlands,NLD,2005,1.145
Netherlands,NLD,2010,1.147
Netherlands,NLD,2016,1.1
New Zealand,NZL,1990,5.184
New Zealand,NZL,1995,4.568
New Zealand,NZL,2000,3.6
New Zealand,NZL,2005,3.329
New Zealand,NZL,2010,3.368
New Zealand,NZL,2016,3.144
Nicaragua,NIC,1990,26.173
Nicaragua,NIC,1995,29.442
Nicaragua,NIC,2000,25.717
Nicaragua,NIC,2005,21.864
Nicaragua,NIC,2010,18.741
Nicaragua,NIC,2016,16.282
Niger,NER,1990,46.877
Niger,NER,1995,50.906
Niger,NER,2000,54.331
Niger,NER,2005,53.113
Niger,NER,2010,49.203
Niger,NER,2016,44.55
Nigeria,NGA,1990,52.132
Nigeria,NGA,1995,48.927
Nigeria,NGA,2000,47.246
Nigeria,NGA,2005,47.125
Nigeria,NGA,2010,49.545
Nigeria,NGA,2016,33.468
North Korea,PRK,1990,48.48
North Korea,PRK,1995,49.069
North Korea,PRK,2000,50.626
North Korea,PRK,2005,41.193
North Korea,PRK,2010,31.966
North Korea,PRK,2016,30.733
Norway,NOR,1990,1.865
Norway,NOR,1995,1.337
Norway,NOR,2000,1.183
Norway,NOR,2005,1.145
Norway,NOR,2010,1.139
Norway,NOR,2016,1.118
Oman,OMN,1990,28.669
Oman,OMN,1995,25.95
Oman,OMN,2000,13.802
Oman,OMN,2005,12.499
Oman,OMN,2010,11.414
Oman,OMN,2016,11.527
Pakistan,PAK,1990,61.765
Pakistan,PAK,1995,54.461
Pakistan,PAK,2000,47.557
Pakistan,PAK,2005,45.991
Pakistan,PAK,2010,48.111
Pakistan,PAK,2016,41.66
Palestine,PSE,1990,15.858
Palestine,PSE,1995,15.999
Palestine,PSE,2000,11.715
Palestine,PSE,2005,22.378
Palestine,PSE,2010,13.155
Palestine,PSE,2016,8.974
Panama,PAN,1990,15.463
Panama,PAN,1995,19.773
Panama,PAN,2000,25.32
Panama,PAN,2005,23.911
Panama,PAN,2010,18.867
Panama,PAN,2016,15.829
Papua New Guinea,PNG,1990,36.965
Papua New Guinea,PNG,1995,46.471
Papua New Guinea,PNG,2000,52.999
Papua New Guinea,PNG,2005,55.417
Papua New Guinea,PNG,2010,51.033
Papua New Guinea,PNG,2016,47.302
Paraguay,PRY,1990,18.185
Paraguay,PRY,1995,15.92
Paraguay,PRY,2000,14.834
Paraguay,PRY,2005,12.481
Paraguay,PRY,2010,8.754
Paraguay,PRY,2016,7.048
Peru,PER,1990,38.864
Peru,PER,1995,33.143
Peru,PER,2000,30.827
Peru,PER,2005,33.289
Peru,PER,2010,25.894
Peru,PER,2016,18.274
Philippines,PHL,1990,43.44
Philippines,PHL,1995,38.3
Philippines,PHL,2000,37.543
Philippines,PHL,2005,36.671
Philippines,PHL,2010,37.081
Philippines,PHL,2016,31.561
Poland,POL,1990,9.947
Poland,POL,1995,10.541
Poland,POL,2000,10.198
Poland,POL,2005,8.798
Poland,POL,2010,7.915
Poland,POL,2016,7.28
Portugal,PRT,1990,3.023
Portugal,PRT,1995,2.004
Portugal,PRT,2000,1.687
Portugal,PRT,2005,1.587
Portugal,PRT,2010,1.541
Portugal,PRT,2016,1.474
Qatar,QAT,1990,12.797
Qatar,QAT,1995,11.189
Qatar,QAT,2000,9.692
Qatar,QAT,2005,8.751
Qatar,QAT,2010,7.978
Qatar,QAT,2016,7.331
Romania,ROU,1990,12.391
Romania,ROU,1995,16.26
Romania,ROU,2000,17.231
Romania,ROU,2005,14.724
Romania,ROU,2010,13.44
Romania,ROU,2016,12.31
Russia,RUS,1990,21.769
Russia,RUS,1995,18.423
Russia,RUS,2000,14.098
Russia,RUS,2005,13.244
Russia,RUS,2010,11.002
Russia,RUS,2016,10.235
Rwanda,RWA,1990,55.118
Rwanda,RWA,1995,49.059
Rwanda,RWA,2000,48.433
Rwanda,RWA,2005,47.804
Rwanda,RWA,2010,41.918
Rwanda,RWA,2016,35.79
Saint Lucia,LCA,1990,5.57
Saint Lucia,LCA,1995,4.602
Saint Lucia,LCA,2000,3.984
Saint Lucia,LCA,2005,3.595
Saint Lucia,LCA,2010,3.283
