Entity,Code,Year,Informal employment (% of total non-agricultural employment) (% of total non-agricultural employment)
Colombia,COL,2014,57.7000007629395
Colombia,COL,2015,57.5
Colombia,COL,2016,56.6100006103516
Colombia,COL,2017,55.7799987792969
Costa Rica,CRI,2011,32.7599983215332
Costa Rica,CRI,2012,35.2999992370605
Costa Rica,CRI,2013,37.2900009155273
Costa Rica,CRI,2014,36.8899993896484
Costa Rica,CRI,2015,37.3899993896484
Costa Rica,CRI,2016,35.7799987792969
Costa Rica,CRI,2017,35.4500007629395
Cote d'Ivoire,CIV,2012,92.1500015258789
Cote d'Ivoire,CIV,2013,96.2099990844727
Cote d'Ivoire,CIV,2016,87.6999969482422
Democratic Republic of Congo,COD,2005,96.25
Dominican Republic,DOM,2005,67.2399978637695
Dominican Republic,DOM,2006,62.2000007629395
Dominican Republic,DOM,2007,53.8600006103516
Dominican Republic,DOM,2008,54.5699996948242
Dominican Republic,DOM,2010,50.5999984741211
Dominican Republic,DOM,2011,51.6100006103516
Dominican Republic,DOM,2012,53.1699981689453
Dominican Republic,DOM,2013,52.9900016784668
Dominican Republic,DOM,2014,51.7299995422363
Dominican Republic,DOM,2015,52.8600006103516
Dominican Republic,DOM,2016,53.2000007629395
Ecuador,ECU,2001,76.6500015258789
Ecuador,ECU,2003,75.370002746582
Ecuador,ECU,2004,75.7699966430664
Ecuador,ECU,2005,75.6800003051758
Ecuador,ECU,2006,75.7799987792969
Ecuador,ECU,2007,75.4899978637695
Ecuador,ECU,2008,74.2600021362305
Ecuador,ECU,2009,71.3600006103516
Ecuador,ECU,2010,68.0500030517578
Ecuador,ECU,2011,64.6900024414063
Ecuador,ECU,2012,62.9599990844727
Ecuador,ECU,2013,61.6399993896484
Ecuador,ECU,2014,60.1800003051758
Ecuador,ECU,2015,60.6800003051758
Ecuador,ECU,2016,63.3699989318848
Ecuador,ECU,2017,64.8499984741211
Egypt,EGY,2008,38.2999992370605
Egypt,EGY,2009,39.439998626709
Egypt,EGY,2010,43.1100006103516
Egypt,EGY,2011,43.8300018310547
Egypt,EGY,2012,41.6199989318848
Egypt,EGY,2013,42.8600006103516
Egypt,EGY,2015,47.2000007629395
Egypt,EGY,2016,50.5699996948242
El Salvador,SLV,2010,65.8300018310547
El Salvador,SLV,2011,65.6500015258789
El Salvador,SLV,2012,66.0199966430664
El Salvador,SLV,2013,65.1999969482422
El Salvador,SLV,2014,62.8499984741211
El Salvador,SLV,2015,62.9099998474121
El Salvador,SLV,2016,63.1500015258789
Gambia,GMB,2012,68.1900024414063
Ghana,GHA,2006,87.1100006103516
Ghana,GHA,2013,85.9499969482422
Ghana,GHA,2015,83.1800003051758
Guatemala,GTM,2003,75.5800018310547
Guatemala,GTM,2004,74.9800033569336
Guatemala,GTM,2010,76.120002746582
Guatemala,GTM,2011,74.9100036621094
Guatemala,GTM,2012,77.2399978637695
Guatemala,GTM,2013,75.0299987792969
Guatemala,GTM,2014,71.7399978637695
Guatemala,GTM,2015,72.7699966430664
Guatemala,GTM,2016,73.5
Honduras,HND,2006,63.5099983215332
Honduras,HND,2007,61.8800010681152
Honduras,HND,2008,70.0299987792969
Honduras,HND,2009,69.0899963378906
Honduras,HND,2010,71.3199996948242
Honduras,HND,2011,73.1399993896484
Honduras,HND,2012,75.2200012207031
Honduras,HND,2013,75.3199996948242
Honduras,HND,2014,73.3099975585938
Honduras,HND,2015,74.2200012207031
Honduras,HND,2016,73.8399963378906
India,IND,2010,75.3000030517578
India,IND,2012,74.8199996948242
Indonesia,IDN,2016,70.4400024414063
Indonesia,IDN,2017,78.5500030517578
Liberia,LBR,2010,77.5800018310547
Maldives,MDV,2016,47.0299987792969
Mali,MLI,2014,89.9000015258789
Mali,MLI,2015,92.0899963378906
Mauritius,MUS,2012,49.7400016784668
Mauritius,MUS,2013,51.5200004577637
Mauritius,MUS,2014,54.7200012207031
Mauritius,MUS,2015,53.3300018310547
Mauritius,MUS,2016,52.8699989318848
Mongolia,MNG,2008,27.2299995422363
Mongolia,MNG,2009,25.2800006866455
Mongolia,MNG,2010,29.3799991607666
Mongolia,MNG,2011,35.689998626709
Mongolia,MNG,2012,36.9599990844727
Mongolia,MNG,2013,38.2900009155273
Mongolia,MNG,2014,31.2199993133545
Mongolia,MNG,2015,30.9500007629395
Mongolia,MNG,2016,30.0799999237061
Mozambique,MOZ,2015,86.7099990844727
Myanmar,MMR,2015,82.5100021362305
Myanmar,MMR,2017,78.0800018310547
Namibia,NAM,2012,41.5099983215332
Namibia,NAM,2013,46.2599983215332
Namibia,NAM,2014,43.9799995422363
Namibia,NAM,2016,61.0699996948242
Nepal,NPL,2008,99.0100021362305
Nicaragua,NIC,2012,74.9100036621094
Niger,NER,2011,86.3600006103516
Pakistan,PAK,2009,67.0899963378906
Pakistan,PAK,2010,67.5699996948242
Pakistan,PAK,2011,69.2300033569336
Pakistan,PAK,2013,68.9700012207031
Pakistan,PAK,2014,71.9899978637695
Pakistan,PAK,2015,71.2300033569336
Palestine,PSE,2010,51.6199989318848
Palestine,PSE,2011,50.4199981689453
Palestine,PSE,2012,51.1300010681152
Palestine,PSE,2013,52.310001373291
Palestine,PSE,2014,51.060001373291
Palestine,PSE,2015,52.4900016784668
Palestine,PSE,2016,51.2900009155273
Palestine,PSE,2017,51.9599990844727
Panama,PAN,2011,38.8800010681152
Panama,PAN,2012,38.9700012207031
Panama,PAN,2013,39.9300003051758
Panama,PAN,2014,40.8800010681152
Panama,PAN,2015,41.2200012207031
Panama,PAN,2016,41.2099990844727
Paraguay,PRY,2008,71.1600036621094
Paraguay,PRY,2009,70.0199966430664
Paraguay,PRY,2010,69.7799987792969
Paraguay,PRY,2011,65.6500015258789
Paraguay,PRY,2012,66
Paraguay,PRY,2013,63.9000015258789
Paraguay,PRY,2014,63.5
Paraguay,PRY,2015,64.5599975585938
Paraguay,PRY,2016,65.8099975585938
Paraguay,PRY,2017,65.4199981689453
Peru,PER,2004,87.0500030517578
Peru,PER,2005,76.9300003051758
Peru,PER,2006,74.6699981689453
Peru,PER,2007,71.8099975585938
Peru,PER,2008,71.7699966430664
Peru,PER,2009,69.8499984741211
Peru,PER,2010,69.9300003051758
Peru,PER,2011,68.4599990844727
Peru,PER,2012,62.0499992370605
Peru,PER,2013,61.1199989318848
Peru,PER,2014,59.6300010681152
Peru,PER,2015,60.1100006103516
Peru,PER,2016,58.3800010681152
Peru,PER,2017,59.0099983215332
Samoa,WSM,2012,50.2200012207031
Senegal,SEN,2015,90.4400024414063
Serbia,SRB,2010,8.34000015258789
Serbia,SRB,2011,8.42000007629395
Serbia,SRB,2012,7.69999980926514
Serbia,SRB,2013,10.0299997329712
Serbia,SRB,2014,13.0500001907349
Serbia,SRB,2015,13.6899995803833
Serbia,SRB,2016,16.1800003051758
Serbia,SRB,2017,16.1100006103516
South Africa,ZAF,2008,35.1300010681152
South Africa,ZAF,2009,33.439998626709
South Africa,ZAF,2010,33.8699989318848
South Africa,ZAF,2011,32.6800003051758
South Africa,ZAF,2012,31.6800003051758
South Africa,ZAF,2013,32.3600006103516
South Africa,ZAF,2014,32.3199996948242
South Africa,ZAF,2015,34.6199989318848
South Africa,ZAF,2016,34.25
South Africa,ZAF,2017,34.4700012207031
Swaziland,SWZ,2016,53.4000015258789
Tanzania,TZA,2014,71.7900009155273
Timor,TLS,2010,62.3400001525879
Timor,TLS,2013,53.7000007629395
Uganda,UGA,2012,83.2399978637695
Uruguay,URY,2006,42.4199981689453
Uruguay,URY,2007,42.0400009155273
Uruguay,URY,2008,40.7999992370605
Uruguay,URY,2009,39.8499984741211
Uruguay,URY,2010,38.9099998474121
Uruguay,URY,2011,35.7900009155273
Uruguay,URY,2012,34.1599998474121
Uruguay,URY,2013,33.2000007629395
Uruguay,URY,2014,22.9500007629395
Uruguay,URY,2015,23.4799995422363
Uruguay,URY,2016,24.0900001525879
Uruguay,URY,2017,23.6399993896484
Vietnam,VNM,2007,65.629997253418
Vietnam,VNM,2009,65.879997253418
Vietnam,VNM,2011,96.8099975585938
Vietnam,VNM,2012,93.4100036621094
Vietnam,VNM,2013,62.2000007629395
Vietnam,VNM,2014,60.6399993896484
Vietnam,VNM,2015,57.1300010681152
Vietnam,VNM,2016,56.3400001525879
Vietnam,VNM,2017,56.060001373291
Yemen,YEM,2014,68.4100036621094
Zimbabwe,ZWE,2011,62.5
