Entity,Code,Year,2.5.2 - Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS (%)
Cyprus,CYP,2016,50
Cyprus,CYP,2017,50
Cyprus,CYP,2018,50
Cyprus,CYP,2019,50
Czech Republic,CZE,2000,81.25
Czech Republic,CZE,2001,81.25
Czech Republic,CZE,2002,81.25
Czech Republic,CZE,2003,94.11765
Czech Republic,CZE,2004,90.90909
Czech Republic,CZE,2005,90.90909
Czech Republic,CZE,2006,95.2381
Czech Republic,CZE,2007,95.2381
Czech Republic,CZE,2008,95.83333
Czech Republic,CZE,2009,95.83333
Czech Republic,CZE,2010,95.83333
Czech Republic,CZE,2011,92
Czech Republic,CZE,2012,92
Czech Republic,CZE,2013,83.33333
Czech Republic,CZE,2014,83.33333
Czech Republic,CZE,2015,83.87097
Czech Republic,CZE,2016,83.87097
Czech Republic,CZE,2017,81.25
Czech Republic,CZE,2018,84.375
Czech Republic,CZE,2019,84.375
Denmark,DNK,2000,86.66667
Denmark,DNK,2001,86.66667
Denmark,DNK,2002,86.66667
Denmark,DNK,2003,86.66667
Denmark,DNK,2004,100
Denmark,DNK,2005,100
Denmark,DNK,2006,100
Denmark,DNK,2007,100
Denmark,DNK,2008,100
Denmark,DNK,2009,100
Denmark,DNK,2010,100
Denmark,DNK,2011,100
Denmark,DNK,2012,61.76471
Denmark,DNK,2013,94.11765
Denmark,DNK,2014,70.58824
Denmark,DNK,2015,86.84211
Denmark,DNK,2016,95.12195
Denmark,DNK,2017,85.41667
Denmark,DNK,2018,85.41667
Denmark,DNK,2019,85.41667
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,77
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2001,77
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2002,77
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2003,79
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2004,79
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,80
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2006,80
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2007,81
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2008,82
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2009,82
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,82
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2011,80
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2012,83
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2013,84
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2014,83
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,84
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2016,85
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2017,85
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,85
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2019,85
Eastern Europe,,2000,75
Eastern Europe,,2001,65
Eastern Europe,,2002,65
Eastern Europe,,2003,72
Eastern Europe,,2004,72
Eastern Europe,,2005,69
Eastern Europe,,2006,69
Eastern Europe,,2007,78
Eastern Europe,,2008,82
Eastern Europe,,2009,80
Eastern Europe,,2010,82
Eastern Europe,,2011,80
Eastern Europe,,2012,82
Eastern Europe,,2013,78
Eastern Europe,,2014,77
Eastern Europe,,2015,78
Eastern Europe,,2016,80
Eastern Europe,,2017,81
Eastern Europe,,2018,81
Eastern Europe,,2019,81
Ecuador,ECU,2018,28.57143
Ecuador,ECU,2019,28.57143
Estonia,EST,2000,100
Estonia,EST,2001,100
Estonia,EST,2002,100
Estonia,EST,2003,100
Estonia,EST,2004,100
Estonia,EST,2005,100
Estonia,EST,2006,100
Estonia,EST,2007,100
Estonia,EST,2008,100
Estonia,EST,2009,100
Estonia,EST,2010,100
Estonia,EST,2011,100
Estonia,EST,2012,100
Estonia,EST,2013,100
Estonia,EST,2014,100
Estonia,EST,2015,100
Estonia,EST,2016,100
Estonia,EST,2017,100
Estonia,EST,2018,100
Estonia,EST,2019,100
Europe,,2000,76
Europe,,2001,77
Europe,,2002,77
Europe,,2003,78
Europe,,2004,79
Europe,,2005,79
Europe,,2006,79
Europe,,2007,81
Europe,,2008,82
Europe,,2009,80
Europe,,2010,80
Europe,,2011,78
Europe,,2012,82
Europe,,2013,83
Europe,,2014,82
Europe,,2015,83
Europe,,2016,84
Europe,,2017,84
Europe,,2018,84
Europe,,2019,84
"Europe, Western",,2000,78
"Europe, Western",,2001,80
"Europe, Western",,2002,80
"Europe, Western",,2003,81
"Europe, Western",,2004,81
"Europe, Western",,2005,82
"Europe, Western",,2006,82
"Europe, Western",,2007,81
"Europe, Western",,2008,82
"Europe, Western",,2009,79
"Europe, Western",,2010,79
"Europe, Western",,2011,76
"Europe, Western",,2012,87
"Europe, Western",,2013,89
"Europe, Western",,2014,87
"Europe, Western",,2015,88
"Europe, Western",,2016,89
"Europe, Western",,2017,89
"Europe, Western",,2018,89
"Europe, Western",,2019,89
Faeroe Islands,FRO,2000,0
Faeroe Islands,FRO,2001,0
Faeroe Islands,FRO,2002,0
Faeroe Islands,FRO,2003,0
Faeroe Islands,FRO,2004,0
Faeroe Islands,FRO,2005,0
Faeroe Islands,FRO,2006,0
Faeroe Islands,FRO,2007,0
Faeroe Islands,FRO,2008,0
Faeroe Islands,FRO,2016,100
Faeroe Islands,FRO,2017,50
Faeroe Islands,FRO,2018,50
Faeroe Islands,FRO,2019,50
Finland,FIN,2000,0
Finland,FIN,2001,50
Finland,FIN,2002,50
Finland,FIN,2003,50
Finland,FIN,2004,66.66667
Finland,FIN,2005,66.66667
Finland,FIN,2006,66.66667
Finland,FIN,2007,66.66667
Finland,FIN,2008,66.66667
Finland,FIN,2009,66.66667
Finland,FIN,2010,80
Finland,FIN,2011,80
Finland,FIN,2012,80
Finland,FIN,2013,80
Finland,FIN,2014,80
Finland,FIN,2015,80
Finland,FIN,2016,80
Finland,FIN,2017,80
Finland,FIN,2018,80
Finland,FIN,2019,80
France,FRA,2000,63.93443
France,FRA,2001,67.21311
France,FRA,2002,67.21311
France,FRA,2003,67.21311
France,FRA,2004,67.21311
France,FRA,2005,66.10169
France,FRA,2006,66.10169
France,FRA,2007,66.10169
France,FRA,2008,66.10169
France,FRA,2009,65.51724
France,FRA,2010,65.51724
France,FRA,2011,64.91228
France,FRA,2014,77.02703
France,FRA,2015,79.7619
France,FRA,2016,79.7619
France,FRA,2017,79.7619
France,FRA,2018,80.23256
France,FRA,2019,80.23256
Germany,DEU,2000,81.05263
Germany,DEU,2001,81.25
Germany,DEU,2002,80.96886
Germany,DEU,2003,81.63265
Germany,DEU,2004,81.0585
Germany,DEU,2005,82.82051
Germany,DEU,2006,82.90816
Germany,DEU,2007,82.6972
Germany,DEU,2008,85.07463
Germany,DEU,2009,84.80392
Germany,DEU,2010,85.02415
Germany,DEU,2011,85.30806
Germany,DEU,2012,85.74713
Germany,DEU,2013,87.01595
Germany,DEU,2014,87.33032
Germany,DEU,2015,87.80488
Germany,DEU,2016,89.93435
Germany,DEU,2017,90.19608
Germany,DEU,2018,90.19608
Germany,DEU,2019,90.19608
Greece,GRC,2000,83.33333
Greece,GRC,2001,69.56522
Greece,GRC,2002,69.56522
Greece,GRC,2003,69.56522
Greece,GRC,2004,69.56522
Greece,GRC,2005,73.91304
Greece,GRC,2006,70.83333
Greece,GRC,2007,66.66667
Greece,GRC,2008,70.37037
Greece,GRC,2009,70.37037
Greece,GRC,2010,69.23077
Greece,GRC,2011,72.41379
Greece,GRC,2012,68.96552
Greece,GRC,2013,71.42857
Greece,GRC,2014,71.42857
Greece,GRC,2015,66.66667
Greece,GRC,2016,66.66667
Greece,GRC,2017,76.66667
Greece,GRC,2018,76.66667
Greece,GRC,2019,76.66667
Hungary,HUN,2000,77.27273
Hungary,HUN,2001,81.81818
Hungary,HUN,2002,77.27273
Hungary,HUN,2003,79.16667
Hungary,HUN,2004,84.61538
Hungary,HUN,2005,77.41935
Hungary,HUN,2006,78.78788
Hungary,HUN,2007,81.08108
Hungary,HUN,2008,84.61538
Hungary,HUN,2009,82.05128
Hungary,HUN,2010,84.61538
Hungary,HUN,2011,82.5
Hungary,HUN,2012,87.80488
Hungary,HUN,2013,85.36585
Hungary,HUN,2014,85.36585
Hungary,HUN,2015,85.36585
Hungary,HUN,2016,85.36585
Hungary,HUN,2017,85.36585
Hungary,HUN,2018,85.36585
Hungary,HUN,2019,85.36585
Iceland,ISL,2000,40
Iceland,ISL,2001,40
Iceland,ISL,2002,40
Iceland,ISL,2003,40
Iceland,ISL,2004,40
Iceland,ISL,2005,40
Iceland,ISL,2006,40
Iceland,ISL,2007,40
Iceland,ISL,2008,40
Iceland,ISL,2009,40
Iceland,ISL,2010,40
Iceland,ISL,2011,40
Iceland,ISL,2012,40
Iceland,ISL,2013,40
Iceland,ISL,2014,40
Iceland,ISL,2015,40
Iceland,ISL,2016,40
Iceland,ISL,2017,40
Iceland,ISL,2018,40
Iceland,ISL,2019,40
Indonesia,IDN,2000,20
Indonesia,IDN,2001,22.22222
Indonesia,IDN,2002,15.38462
Indonesia,IDN,2003,15.38462
Indonesia,IDN,2004,15.38462
Indonesia,IDN,2005,14.28571
Indonesia,IDN,2006,13.33333
Indonesia,IDN,2007,13.33333
Indonesia,IDN,2008,10
Indonesia,IDN,2009,8.33333
Indonesia,IDN,2010,10
Indonesia,IDN,2011,11.76471
Indonesia,IDN,2012,10.25641
Indonesia,IDN,2013,13.95349
Indonesia,IDN,2014,14.89362
Indonesia,IDN,2015,13.46154
Indonesia,IDN,2016,14.81481
Indonesia,IDN,2017,14.81481
Indonesia,IDN,2018,14.81481
Indonesia,IDN,2019,14.81481
Ireland,IRL,2000,70
Ireland,IRL,2001,70
Ireland,IRL,2002,70
Ireland,IRL,2003,80
Ireland,IRL,2004,81.81818
Ireland,IRL,2005,88.88889
Ireland,IRL,2006,88.88889
Ireland,IRL,2007,100
Ireland,IRL,2008,100
Ireland,IRL,2009,100
Ireland,IRL,2010,100
Ireland,IRL,2011,93.33333
Ireland,IRL,2012,81.25
Ireland,IRL,2013,81.25
Ireland,IRL,2014,81.25
Ireland,IRL,2015,81.25
Ireland,IRL,2016,81.25
Ireland,IRL,2017,82.35294
Ireland,IRL,2018,82.35294
Ireland,IRL,2019,82.35294
Italy,ITA,2000,82.10526
Italy,ITA,2001,85.3211
Italy,ITA,2002,84.21053
Italy,ITA,2003,85.34483
Italy,ITA,2004,85.34483
Italy,ITA,2005,85
Italy,ITA,2006,84.29752
Italy,ITA,2007,86.06557
Italy,ITA,2008,83.96947
Italy,ITA,2009,83.72093
Italy,ITA,2010,79.03226
Italy,ITA,2011,81.20301
Italy,ITA,2012,83.66013
Italy,ITA,2013,84.39306
Italy,ITA,2014,85.71429
Italy,ITA,2015,85.71429
Italy,ITA,2016,85.71429
Italy,ITA,2017,85.71429
Italy,ITA,2018,85.71429
Italy,ITA,2019,85.71429
Kenya,KEN,2000,0
Kenya,KEN,2010,0
Kenya,KEN,2011,0
Kenya,KEN,2012,0
Kenya,KEN,2013,0
Kenya,KEN,2014,0
Kenya,KEN,2015,0
Kenya,KEN,2016,0
Kenya,KEN,2017,0
Kenya,KEN,2018,0
Kenya,KEN,2019,0
Latvia,LVA,2000,66.66667
Latvia,LVA,2001,50
Latvia,LVA,2002,50
Latvia,LVA,2003,50
Latvia,LVA,2004,66.66667
Latvia,LVA,2005,50
Latvia,LVA,2006,50
Latvia,LVA,2007,50
Latvia,LVA,2008,50
Latvia,LVA,2009,50
Latvia,LVA,2010,50
Latvia,LVA,2011,50
Latvia,LVA,2012,50
Latvia,LVA,2013,100
Latvia,LVA,2014,100
Latvia,LVA,2015,100
Latvia,LVA,2016,100
Latvia,LVA,2017,100
Latvia,LVA,2018,100
Latvia,LVA,2019,100
Lithuania,LTU,2000,54.54545
Lithuania,LTU,2001,70
Lithuania,LTU,2002,70
Lithuania,LTU,2003,50
Lithuania,LTU,2004,54.54545
Lithuania,LTU,2005,50
Lithuania,LTU,2006,50
Lithuania,LTU,2007,50
Lithuania,LTU,2008,50
Lithuania,LTU,2009,50
Lithuania,LTU,2010,50
Lithuania,LTU,2011,50
Lithuania,LTU,2012,44.44444
Lithuania,LTU,2013,44.44444
Lithuania,LTU,2016,100
Lithuania,LTU,2017,90.90909
Lithuania,LTU,2018,93.33333
Lithuania,LTU,2019,93.33333
Luxembourg,LUX,2013,99.12281
Luxembourg,LUX,2014,99.12281
Luxembourg,LUX,2015,99.12281
Luxembourg,LUX,2016,99.12281
Luxembourg,LUX,2017,99.12281
Luxembourg,LUX,2018,99.12281
Luxembourg,LUX,2019,99.12281
Malawi,MWI,2000,0
Malawi,MWI,2001,0
Malawi,MWI,2002,0
Malawi,MWI,2003,0
Malawi,MWI,2004,0
Malawi,MWI,2005,0
Malawi,MWI,2006,0
Malawi,MWI,2007,0
Malawi,MWI,2008,0
Malawi,MWI,2009,0
Malawi,MWI,2010,0
Malawi,MWI,2011,0
Malawi,MWI,2012,0
Malawi,MWI,2013,0
Malawi,MWI,2014,0
Malawi,MWI,2015,0
Malawi,MWI,2016,0
Malawi,MWI,2017,0
Malawi,MWI,2018,0
Malawi,MWI,2019,0
Malaysia,MYS,2000,0
Malaysia,MYS,2001,0
Malaysia,MYS,2002,0
Malaysia,MYS,2003,0
Malaysia,MYS,2010,100
Malaysia,MYS,2011,100
Malaysia,MYS,2012,100
Malaysia,MYS,2013,100
Malaysia,MYS,2014,100
Malaysia,MYS,2015,100
Malaysia,MYS,2016,100
Malaysia,MYS,2017,80
Malaysia,MYS,2018,80
Malaysia,MYS,2019,80
Mexico,MEX,2010,80
Mexico,MEX,2011,80
Mexico,MEX,2012,80
Mexico,MEX,2013,80
Mexico,MEX,2014,60
Mexico,MEX,2015,60
Mexico,MEX,2016,50
Mexico,MEX,2017,50
Mexico,MEX,2018,50
Mexico,MEX,2019,50
Mongolia,MNG,2000,100
Mongolia,MNG,2001,100
Mongolia,MNG,2002,100
Mongolia,MNG,2003,100
Mongolia,MNG,2004,100
Mongolia,MNG,2005,100
Mongolia,MNG,2006,100
Mongolia,MNG,2007,0
Mongolia,MNG,2008,0
Mongolia,MNG,2009,0
Mongolia,MNG,2010,0
Mongolia,MNG,2011,0
Mongolia,MNG,2012,0
Mongolia,MNG,2013,0
Mongolia,MNG,2014,0
Mongolia,MNG,2015,0
Mongolia,MNG,2016,0
Mongolia,MNG,2017,0
Mongolia,MNG,2018,0
Mongolia,MNG,2019,0
Montenegro,MNE,2008,50
Montenegro,MNE,2009,66.66667
Montenegro,MNE,2010,100
Montenegro,MNE,2011,88.88889
Montenegro,MNE,2012,80
Montenegro,MNE,2013,80
Montenegro,MNE,2014,80
Montenegro,MNE,2015,80
Montenegro,MNE,2016,81.81818
Montenegro,MNE,2017,83.33333
Montenegro,MNE,2018,83.33333
Montenegro,MNE,2019,83.33333
Mozambique,MOZ,2000,0
Mozambique,MOZ,2001,0
Mozambique,MOZ,2002,0
Mozambique,MOZ,2003,0
Mozambique,MOZ,2004,0
Mozambique,MOZ,2005,0
Mozambique,MOZ,2006,0
Mozambique,MOZ,2007,0
Mozambique,MOZ,2008,0
Mozambique,MOZ,2009,0
Mozambique,MOZ,2010,0
Mozambique,MOZ,2011,0
Mozambique,MOZ,2012,0
Mozambique,MOZ,2013,0
Mozambique,MOZ,2014,0
Mozambique,MOZ,2015,0
Mozambique,MOZ,2016,0
Mozambique,MOZ,2017,0
Mozambique,MOZ,2018,0
Mozambique,MOZ,2019,0
Namibia,NAM,2014,62.5
Namibia,NAM,2015,62.5
Namibia,NAM,2016,62.5
Namibia,NAM,2017,62.5
Namibia,NAM,2018,62.5
Namibia,NAM,2019,62.5
Netherlands,NLD,2000,88.23529
Netherlands,NLD,2001,94.11765
Netherlands,NLD,2002,94.2029
Netherlands,NLD,2003,95.65217
Netherlands,NLD,2004,95.65217
Netherlands,NLD,2005,95.65217
Netherlands,NLD,2006,95.65217
Netherlands,NLD,2007,91.25
Netherlands,NLD,2008,91.66667
Netherlands,NLD,2009,91.66667
Netherlands,NLD,2010,91.66667
Netherlands,NLD,2011,91.56627
Netherlands,NLD,2012,90.69767
Netherlands,NLD,2013,89.77273
Netherlands,NLD,2014,91.66667
Netherlands,NLD,2015,91.66667
Netherlands,NLD,2016,91.75258
Netherlands,NLD,2017,91.91919
Netherlands,NLD,2018,92
Netherlands,NLD,2019,92
Niger,NER,2000,0
Niger,NER,2001,0
Niger,NER,2002,0
Niger,NER,2003,0
Niger,NER,2005,0
Niger,NER,2006,0
Niger,NER,2007,0
Niger,NER,2008,0
Niger,NER,2009,0
Niger,NER,2010,0
Niger,NER,2011,0
Niger,NER,2012,0
Niger,NER,2013,0
Niger,NER,2014,0
Niger,NER,2015,0
Niger,NER,2016,25
Niger,NER,2017,25
Niger,NER,2018,15.38462
Niger,NER,2019,15.38462
Northern Europe,,2000,79
Northern Europe,,2001,82
Northern Europe,,2002,82
Northern Europe,,2003,81
Northern Europe,,2004,84
Northern Europe,,2005,84
Northern Europe,,2006,83
Northern Europe,,2007,86
Northern Europe,,2008,87
Northern Europe,,2009,87
Northern Europe,,2010,89
Northern Europe,,2011,88
Northern Europe,,2012,81
Northern Europe,,2013,85
Northern Europe,,2014,85
Northern Europe,,2015,86
Northern Europe,,2016,86
Northern Europe,,2017,85
Northern Europe,,2018,86
Northern Europe,,2019,86
Norway,NOR,2000,78.78788
Norway,NOR,2001,78.78788
Norway,NOR,2002,78.78788
Norway,NOR,2003,79.41176
Norway,NOR,2004,79.41176
Norway,NOR,2005,77.77778
Norway,NOR,2006,74.07407
Norway,NOR,2007,76.92308
Norway,NOR,2008,80.76923
Norway,NOR,2009,80
Norway,NOR,2010,93.75
Norway,NOR,2011,92.5
Norway,NOR,2012,90
Norway,NOR,2013,89.3617
Norway,NOR,2014,89.3617
Norway,NOR,2015,89.3617
Norway,NOR,2016,87.23404
Norway,NOR,2017,89.3617
Norway,NOR,2018,89.3617
Norway,NOR,2019,89.3617
Oman,OMN,2013,0
Oman,OMN,2014,0
Oman,OMN,2015,0
Oman,OMN,2016,0
Oman,OMN,2017,0
Oman,OMN,2018,0
Oman,OMN,2019,0
Panama,PAN,2018,85.71429
Panama,PAN,2019,85.71429
Paraguay,PRY,2018,100
Paraguay,PRY,2019,100
Peru,PER,2000,0
Peru,PER,2001,0
Peru,PER,2002,0
Peru,PER,2003,0
Peru,PER,2004,0
Peru,PER,2005,50
Peru,PER,2006,50
Peru,PER,2007,50
Peru,PER,2008,50
Peru,PER,2009,50
Peru,PER,2010,50
Peru,PER,2011,50
Peru,PER,2012,50
Peru,PER,2013,80
Peru,PER,2014,80
Peru,PER,2015,80
Peru,PER,2016,80
Peru,PER,2017,80
Peru,PER,2018,80
Peru,PER,2019,80
Philippines,PHL,2016,0
