Entity,Code,Year,Legislation explicitly criminalizes marital rape (1=yes; 0=no) (1=yes; 0=no)
Norway,NOR,2015,0
Oman,OMN,2015,0
Pakistan,PAK,2015,0
Palau,PLW,2015,0
Palestine,PSE,2015,0
Panama,PAN,2015,1
Papua New Guinea,PNG,2015,0
Paraguay,PRY,2015,0
Peru,PER,2015,1
Philippines,PHL,2015,1
Poland,POL,2015,0
Portugal,PRT,2015,1
Puerto Rico,PRI,2015,1
Qatar,QAT,2015,0
Romania,ROU,2015,1
Russia,RUS,2015,0
Rwanda,RWA,2015,1
Saint Kitts and Nevis,KNA,2015,0
Saint Lucia,LCA,2015,1
Saint Vincent and the Grenadines,VCT,2015,0
Samoa,WSM,2015,1
San Marino,SMR,2015,1
Sao Tome and Principe,STP,2015,1
Saudi Arabia,SAU,2015,0
Senegal,SEN,2015,0
Serbia,SRB,2015,1
Seychelles,SYC,2015,0
Sierra Leone,SLE,2015,1
Singapore,SGP,2015,0
Slovakia,SVK,2015,1
Slovenia,SVN,2015,1
Solomon Islands,SLB,2015,0
South Africa,ZAF,2015,1
South Korea,KOR,2015,1
South Sudan,SSD,2015,0
Spain,ESP,2015,0
Sri Lanka,LKA,2015,0
Sudan,SDN,2015,0
Suriname,SUR,2015,1
Swaziland,SWZ,2015,0
Sweden,SWE,2015,1
Switzerland,CHE,2015,0
Syria,SYR,2015,0
Tajikistan,TJK,2015,0
Tanzania,TZA,2015,0
Thailand,THA,2015,1
Timor,TLS,2015,1
Togo,TGO,2015,0
Tonga,TON,2015,1
Trinidad and Tobago,TTO,2015,1
Tunisia,TUN,2015,0
Turkey,TUR,2015,1
Uganda,UGA,2015,0
Ukraine,UKR,2015,0
United Arab Emirates,ARE,2015,0
United Kingdom,GBR,2015,0
United States,USA,2015,0
Uruguay,URY,2015,0
Uzbekistan,UZB,2015,1
Vanuatu,VUT,2015,0
Venezuela,VEN,2015,1
Vietnam,VNM,2015,1
Yemen,YEM,2015,0
Zambia,ZMB,2015,0
Zimbabwe,ZWE,2015,1
