Entity,Code,Year,Poverty headcount ratio at national poverty lines (% of population) (% of population)
Bolivia,BOL,2008,57.3
Bolivia,BOL,2009,51.3
Bolivia,BOL,2011,45.1
Bolivia,BOL,2012,43.3
Bolivia,BOL,2013,38.9
Bolivia,BOL,2014,39.1
Bolivia,BOL,2015,38.6
Bolivia,BOL,2016,39.5
Bosnia and Herzegovina,BIH,2007,18.2
Bosnia and Herzegovina,BIH,2011,17.9
Bosnia and Herzegovina,BIH,2015,16.9
Botswana,BWA,1985,59
Botswana,BWA,1993,32.9
Botswana,BWA,2002,30.6
Botswana,BWA,2009,19.3
Brazil,BRA,2001,24.7
Brazil,BRA,2002,23.3
Brazil,BRA,2003,24.9
Brazil,BRA,2004,22.4
Brazil,BRA,2005,21
Brazil,BRA,2006,17.3
Brazil,BRA,2007,16.1
Brazil,BRA,2008,14.1
Brazil,BRA,2009,13.3
Brazil,BRA,2011,11.1
Brazil,BRA,2012,9
Brazil,BRA,2013,8.9
Brazil,BRA,2014,7.4
Brazil,BRA,2015,8.7
Bulgaria,BGR,2000,14
Bulgaria,BGR,2001,16
Bulgaria,BGR,2002,14
Bulgaria,BGR,2005,18.4
Bulgaria,BGR,2006,22
Bulgaria,BGR,2007,21.4
Bulgaria,BGR,2008,21.8
Bulgaria,BGR,2009,20.7
Bulgaria,BGR,2010,22.2
Bulgaria,BGR,2011,21.2
Bulgaria,BGR,2012,21
Bulgaria,BGR,2013,21.8
Bulgaria,BGR,2014,22
Bulgaria,BGR,2015,22.9
Bulgaria,BGR,2016,23.4
Burkina Faso,BFA,2003,51.1
Burkina Faso,BFA,2009,46.7
Burkina Faso,BFA,2014,40.1
Burundi,BDI,2006,67.1
Burundi,BDI,2014,64.9
Cambodia,KHM,2003,50.2
Cambodia,KHM,2006,45
Cambodia,KHM,2008,34
Cambodia,KHM,2009,23.9
Cambodia,KHM,2010,22.1
Cambodia,KHM,2011,20.5
Cambodia,KHM,2012,17.7
Cameroon,CMR,1996,53.3
Cameroon,CMR,2001,40.2
Cameroon,CMR,2007,39.9
Cameroon,CMR,2014,37.5
Cape Verde,CPV,2001,58
Cape Verde,CPV,2007,46
Cape Verde,CPV,2015,35
Central African Republic,CAF,2008,62
Chad,TCD,2002,54.8
Chad,TCD,2011,46.7
Chile,CHL,1987,45.1
Chile,CHL,1990,38.6
Chile,CHL,1992,32.8
Chile,CHL,1994,27.7
Chile,CHL,1996,23.2
Chile,CHL,1998,21.6
Chile,CHL,2000,20.2
Chile,CHL,2003,18.7
Chile,CHL,2006,29.1
Chile,CHL,2009,25.3
Chile,CHL,2011,22.2
Chile,CHL,2013,14.4
Chile,CHL,2015,11.7
Chile,CHL,2017,8.6
China,CHN,2010,17.2
China,CHN,2011,12.7
China,CHN,2012,10.2
China,CHN,2013,8.5
China,CHN,2014,7.2
China,CHN,2015,5.7
China,CHN,2016,4.5
China,CHN,2017,3.1
Colombia,COL,2002,49.7
Colombia,COL,2003,48
Colombia,COL,2004,47.4
Colombia,COL,2005,45
Colombia,COL,2008,42
Colombia,COL,2009,40.3
Colombia,COL,2010,37.2
Colombia,COL,2011,34.1
Colombia,COL,2012,32.7
Colombia,COL,2013,30.6
Colombia,COL,2014,28.5
Colombia,COL,2015,27.8
Colombia,COL,2016,28
Colombia,COL,2017,26.9
Comoros,COM,2004,44.8
Comoros,COM,2014,42
Congo,COG,2004,50.7
Congo,COG,2011,46.5
Costa Rica,CRI,2010,21.2
Costa Rica,CRI,2011,21.7
Costa Rica,CRI,2012,20.6
Costa Rica,CRI,2013,20.7
Costa Rica,CRI,2014,22.4
Costa Rica,CRI,2015,21.7
Costa Rica,CRI,2016,20.5
Costa Rica,CRI,2017,20
Cote d'Ivoire,CIV,2002,38.4
Cote d'Ivoire,CIV,2008,48.9
Cote d'Ivoire,CIV,2015,46.3
Croatia,HRV,2009,20.6
Croatia,HRV,2010,20.9
Croatia,HRV,2011,20.4
Croatia,HRV,2012,19.5
Croatia,HRV,2013,19.4
Croatia,HRV,2014,20
Croatia,HRV,2015,19.5
Czech Republic,CZE,2004,10.4
Czech Republic,CZE,2005,9.9
Czech Republic,CZE,2006,9.6
Czech Republic,CZE,2007,9
Czech Republic,CZE,2008,8.6
Czech Republic,CZE,2009,9
Czech Republic,CZE,2010,9.8
Czech Republic,CZE,2011,9.6
Czech Republic,CZE,2012,8.6
Czech Republic,CZE,2013,9.7
Democratic Republic of Congo,COD,2004,69.3
Democratic Republic of Congo,COD,2012,63.9
Djibouti,DJI,2017,21.1
Dominican Republic,DOM,2000,32.1
Dominican Republic,DOM,2001,32.8
Dominican Republic,DOM,2002,32.8
Dominican Republic,DOM,2003,41.5
Dominican Republic,DOM,2004,49.7
Dominican Republic,DOM,2005,47.8
Dominican Republic,DOM,2006,44.2
Dominican Republic,DOM,2007,43.6
Dominican Republic,DOM,2008,44.2
Dominican Republic,DOM,2009,42.1
Dominican Republic,DOM,2010,41.6
Dominican Republic,DOM,2011,40.4
Dominican Republic,DOM,2012,41
Dominican Republic,DOM,2013,41.2
Dominican Republic,DOM,2014,36.3
Dominican Republic,DOM,2015,32.3
Dominican Republic,DOM,2016,30.5
Ecuador,ECU,2000,64.4
Ecuador,ECU,2001,54.9
Ecuador,ECU,2003,49.9
Ecuador,ECU,2004,44.6
Ecuador,ECU,2005,42.2
Ecuador,ECU,2006,37.6
Ecuador,ECU,2007,36.7
Ecuador,ECU,2008,35.1
Ecuador,ECU,2009,36
Ecuador,ECU,2010,32.8
Ecuador,ECU,2011,28.6
Ecuador,ECU,2012,27.3
Ecuador,ECU,2013,25.6
Ecuador,ECU,2014,22.5
Ecuador,ECU,2015,23.3
Ecuador,ECU,2016,22.9
Ecuador,ECU,2017,21.5
Egypt,EGY,1999,16.7
Egypt,EGY,2004,19.6
Egypt,EGY,2008,21.6
Egypt,EGY,2010,25.2
Egypt,EGY,2012,26.3
Egypt,EGY,2015,27.8
El Salvador,SLV,2007,34.6
El Salvador,SLV,2008,40
El Salvador,SLV,2009,37.8
El Salvador,SLV,2010,36.5
El Salvador,SLV,2011,40.6
El Salvador,SLV,2012,34.5
El Salvador,SLV,2013,29.6
El Salvador,SLV,2014,31.8
El Salvador,SLV,2015,34.9
El Salvador,SLV,2016,32.7
El Salvador,SLV,2017,29.2
Equatorial Guinea,GNQ,2006,76.8
Eritrea,ERI,1993,69
Estonia,EST,2013,21.8
Ethiopia,ETH,1995,45.5
Ethiopia,ETH,1999,44.2
Ethiopia,ETH,2004,38.7
Ethiopia,ETH,2010,29.6
Ethiopia,ETH,2015,23.5
Fiji,FJI,2002,39.8
Fiji,FJI,2008,35.2
Fiji,FJI,2013,34
Gabon,GAB,2005,32.7
Gabon,GAB,2017,33.4
Gambia,GMB,2015,48.6
Georgia,GEO,2002,32.6
Georgia,GEO,2003,33.2
Georgia,GEO,2004,32.6
Georgia,GEO,2005,33.2
Georgia,GEO,2006,34.7
Georgia,GEO,2007,38.8
Georgia,GEO,2008,34.9
Georgia,GEO,2009,34.9
Georgia,GEO,2010,37.3
Georgia,GEO,2011,34.1
Georgia,GEO,2012,30
Georgia,GEO,2013,26.2
Georgia,GEO,2014,23.5
Georgia,GEO,2015,21.6
Georgia,GEO,2016,22
Georgia,GEO,2017,21.9
Ghana,GHA,2005,31.9
Ghana,GHA,2012,24.2
Guatemala,GTM,2000,56
Guatemala,GTM,2006,51
Guatemala,GTM,2011,53.7
Guatemala,GTM,2014,59.3
Guinea,GIN,1994,62.6
Guinea,GIN,2002,55.4
Guinea,GIN,2007,53
Guinea,GIN,2012,55.2
Guinea-Bissau,GNB,2002,64.7
Guinea-Bissau,GNB,2010,69.3
Haiti,HTI,2012,58.5
Honduras,HND,2001,63.7
Honduras,HND,2002,64.8
Honduras,HND,2003,65.1
Honduras,HND,2004,64.7
Honduras,HND,2005,63.7
Honduras,HND,2006,59.9
Honduras,HND,2007,58.2
Honduras,HND,2008,59.2
Honduras,HND,2009,58.8
Honduras,HND,2010,60
Honduras,HND,2011,61.9
Honduras,HND,2012,66.5
Honduras,HND,2013,64.5
Honduras,HND,2014,62.8
Honduras,HND,2015,63.8
Honduras,HND,2016,60.9
Honduras,HND,2017,64.3
Hungary,HUN,2004,13.5
Hungary,HUN,2005,15.9
Hungary,HUN,2006,12.3
Hungary,HUN,2007,12.4
Hungary,HUN,2008,12.4
Hungary,HUN,2009,12.3
Hungary,HUN,2010,14.1
Hungary,HUN,2011,14.3
Hungary,HUN,2012,15
Hungary,HUN,2013,15
Hungary,HUN,2014,14.9
India,IND,1993,45.3
India,IND,2004,37.2
India,IND,2009,29.8
India,IND,2011,21.9
Indonesia,IDN,1996,17.5
Indonesia,IDN,1999,23.4
Indonesia,IDN,2000,18.9
Indonesia,IDN,2001,18.4
Indonesia,IDN,2002,18.2
Indonesia,IDN,2003,17.4
Indonesia,IDN,2004,16.7
Indonesia,IDN,2005,16
Indonesia,IDN,2006,17.8
Indonesia,IDN,2007,16.6
Indonesia,IDN,2008,15.4
Indonesia,IDN,2009,14.2
Indonesia,IDN,2010,13.3
Indonesia,IDN,2011,12.5
Indonesia,IDN,2012,12
Indonesia,IDN,2013,11.4
Indonesia,IDN,2014,11.3
Indonesia,IDN,2015,11.2
Indonesia,IDN,2016,10.9
Indonesia,IDN,2017,10.6
Iraq,IRQ,2006,22.4
Iraq,IRQ,2012,18.9
Jamaica,JAM,1989,30.5
Jamaica,JAM,1990,28.4
Jamaica,JAM,1991,44.6
Jamaica,JAM,1992,33.9
Jamaica,JAM,1993,24.4
Jamaica,JAM,1994,22.8
Jamaica,JAM,1995,27.5
Jamaica,JAM,1996,26.1
Jamaica,JAM,1997,19.9
Jamaica,JAM,1998,15.9
Jamaica,JAM,1999,16.9
Jamaica,JAM,2000,18.7
Jamaica,JAM,2001,16.9
Jamaica,JAM,2002,19.7
Jamaica,JAM,2003,19.1
Jamaica,JAM,2004,16.9
Jamaica,JAM,2005,14.8
Jamaica,JAM,2006,14.3
Jamaica,JAM,2007,9.9
Jamaica,JAM,2008,12.3
Jamaica,JAM,2009,16.5
Jamaica,JAM,2010,17.6
Jamaica,JAM,2012,19.9
Jordan,JOR,2008,13.3
Jordan,JOR,2010,14.4
Kazakhstan,KAZ,2001,46.7
Kazakhstan,KAZ,2002,44.5
Kazakhstan,KAZ,2003,37.5
Kazakhstan,KAZ,2004,33.9
Kazakhstan,KAZ,2005,31.6
Kazakhstan,KAZ,2006,18.2
Kazakhstan,KAZ,2007,12.7
Kazakhstan,KAZ,2008,12.1
Kazakhstan,KAZ,2009,8.2
Kazakhstan,KAZ,2010,6.5
Kazakhstan,KAZ,2011,5.5
Kazakhstan,KAZ,2012,3.8
Kazakhstan,KAZ,2013,2.9
Kazakhstan,KAZ,2014,2.8
Kazakhstan,KAZ,2015,2.7
Kenya,KEN,2005,46.8
Kenya,KEN,2015,36.1
Kiribati,KIR,2006,21.8
Kosovo,OWID_KOS,2012,22.9
Kosovo,OWID_KOS,2013,17.6
Kosovo,OWID_KOS,2014,21.1
Kosovo,OWID_KOS,2015,17.6
Kyrgyzstan,KGZ,2006,39.9
Kyrgyzstan,KGZ,2007,35
Kyrgyzstan,KGZ,2008,31.7
Kyrgyzstan,KGZ,2009,31.7
Kyrgyzstan,KGZ,2010,33.7
Kyrgyzstan,KGZ,2011,36.8
Kyrgyzstan,KGZ,2012,38
Kyrgyzstan,KGZ,2013,37
Kyrgyzstan,KGZ,2014,30.6
Kyrgyzstan,KGZ,2015,32.1
Kyrgyzstan,KGZ,2016,25.4
Laos,LAO,1997,39.1
Laos,LAO,2002,33.5
Laos,LAO,2007,27.6
Laos,LAO,2012,23.4
Latvia,LVA,2004,19.4
Latvia,LVA,2005,23.5
Latvia,LVA,2006,21.2
Latvia,LVA,2007,25.9
Latvia,LVA,2008,26.4
Latvia,LVA,2009,20.9
Latvia,LVA,2010,19
Latvia,LVA,2011,19.2
Latvia,LVA,2012,19.4
Latvia,LVA,2013,21.2
Latvia,LVA,2014,22.5
Lebanon,LBN,2012,27.4
Lesotho,LSO,1994,66.6
Lesotho,LSO,2002,56.6
Lesotho,LSO,2010,57.1
Liberia,LBR,2014,54.1
Liberia,LBR,2016,50.9
Lithuania,LTU,2004,20.5
Lithuania,LTU,2005,20
Lithuania,LTU,2006,19.1
Lithuania,LTU,2007,20.9
Lithuania,LTU,2008,20.3
Lithuania,LTU,2009,20.5
Lithuania,LTU,2010,19.2
Lithuania,LTU,2011,18.6
Lithuania,LTU,2012,20.6
Lithuania,LTU,2013,19.1
Lithuania,LTU,2014,22.2
Macedonia,MKD,2010,27
Macedonia,MKD,2011,26.8
Macedonia,MKD,2012,26.2
Macedonia,MKD,2013,24.2
Macedonia,MKD,2014,22.1
Macedonia,MKD,2015,21.5
Macedonia,MKD,2016,21.9
Madagascar,MDG,2001,70.8
Madagascar,MDG,2005,73.2
Madagascar,MDG,2010,71.7
Madagascar,MDG,2012,70.7
Malawi,MWI,1997,65.3
Malawi,MWI,2004,52.4
Malawi,MWI,2010,50.7
Malawi,MWI,2016,51.5
Malaysia,MYS,2002,5.1
Malaysia,MYS,2004,5.7
Malaysia,MYS,2006,3.6
Malaysia,MYS,2008,3.8
Malaysia,MYS,2011,1.7
Malaysia,MYS,2013,0.6
Malaysia,MYS,2015,0.4
Maldives,MDV,2002,23
Maldives,MDV,2009,15.7
Mali,MLI,2001,50.9
Mali,MLI,2006,41.7
Mali,MLI,2009,41.1
Mauritania,MRT,2000,51
Mauritania,MRT,2004,46.7
Mauritania,MRT,2008,42
Mauritania,MRT,2014,31
Mauritius,MUS,2012,7.9
Mexico,MEX,2008,44.4
Mexico,MEX,2010,46.1
Mexico,MEX,2012,45.5
Mexico,MEX,2014,46.2
Mexico,MEX,2016,43.6
Micronesia (country),FSM,2005,29.9
Micronesia (country),FSM,2013,41.2
Moldova,MDA,2001,54.6
Moldova,MDA,2002,40.4
Moldova,MDA,2003,29
Moldova,MDA,2004,26.5
Moldova,MDA,2005,29
Moldova,MDA,2006,30.2
Moldova,MDA,2007,25.8
Moldova,MDA,2008,26.4
Moldova,MDA,2009,26.3
Moldova,MDA,2010,21.9
Moldova,MDA,2011,17.5
Moldova,MDA,2012,16.6
Moldova,MDA,2013,12.7
Moldova,MDA,2014,11.4
Moldova,MDA,2015,9.6
Mongolia,MNG,2010,38.8
Mongolia,MNG,2011,33.7
Mongolia,MNG,2012,27.4
Mongolia,MNG,2014,21.6
Montenegro,MNE,2005,11.2
Montenegro,MNE,2006,11.3
Montenegro,MNE,2007,8
Montenegro,MNE,2008,4.9
Montenegro,MNE,2009,6.8
Montenegro,MNE,2010,6.6
Montenegro,MNE,2011,9.3
Montenegro,MNE,2012,11.3
Montenegro,MNE,2013,8.6
Morocco,MAR,1998,16.3
Morocco,MAR,2000,15.3
Morocco,MAR,2007,8.9
Morocco,MAR,2013,4.8
Mozambique,MOZ,1996,69.4
Mozambique,MOZ,2002,54.1
Mozambique,MOZ,2008,54.7
Mozambique,MOZ,2014,46.1
Myanmar,MMR,2005,48.2
Myanmar,MMR,2010,42.4
Myanmar,MMR,2015,32.1
Namibia,NAM,1993,69.3
Namibia,NAM,2003,37.7
Namibia,NAM,2009,28.7
Nepal,NPL,2010,25.2
Nicaragua,NIC,2001,45.8
Nicaragua,NIC,2005,48.3
Nicaragua,NIC,2009,42.5
Nicaragua,NIC,2014,29.6
Nicaragua,NIC,2016,24.9
Niger,NER,2011,48.9
Niger,NER,2014,44.5
Nigeria,NGA,2003,48.4
Nigeria,NGA,2009,46
Pakistan,PAK,1998,57.9
Pakistan,PAK,2001,64.3
Pakistan,PAK,2004,51.7
Pakistan,PAK,2005,50.4
Pakistan,PAK,2007,44.1
Pakistan,PAK,2010,36.8
Pakistan,PAK,2011,36.3
Pakistan,PAK,2013,29.5
Pakistan,PAK,2015,24.3
Palau,PLW,2006,24.9
Palestine,PSE,2010,25.7
Palestine,PSE,2011,25.8
Palestine,PSE,2016,29.2
Panama,PAN,2008,33.8
Panama,PAN,2009,33.4
Panama,PAN,2010,29.8
Panama,PAN,2011,27.6
Panama,PAN,2012,26.5
Panama,PAN,2013,25.8
Panama,PAN,2014,25.6
Panama,PAN,2015,23
Panama,PAN,2016,22.1
Papua New Guinea,PNG,2009,39.9
Paraguay,PRY,2002,57.7
Paraguay,PRY,2003,51.4
Paraguay,PRY,2004,48.8
Paraguay,PRY,2005,44.9
Paraguay,PRY,2006,48.9
Paraguay,PRY,2007,45.3
Paraguay,PRY,2008,43.2
Paraguay,PRY,2009,41.6
Paraguay,PRY,2010,39
Paraguay,PRY,2011,37
Paraguay,PRY,2012,31.4
Paraguay,PRY,2013,28
Paraguay,PRY,2014,27.2
Paraguay,PRY,2015,26.6
Paraguay,PRY,2016,28.9
Paraguay,PRY,2017,26.4
Peru,PER,2004,58.7
Peru,PER,2005,55.6
Peru,PER,2006,49.2
Peru,PER,2007,42.4
Peru,PER,2008,37.3
Peru,PER,2009,33.5
Peru,PER,2010,30.8
Peru,PER,2011,27.8
Peru,PER,2012,25.8
Peru,PER,2013,23.9
Peru,PER,2014,22.7
Peru,PER,2015,21.8
Peru,PER,2016,20.7
Philippines,PHL,2003,24.9
Philippines,PHL,2006,26.6
Philippines,PHL,2009,26.3
Philippines,PHL,2012,25.2
Philippines,PHL,2015,21.6
Poland,POL,2000,14.8
Poland,POL,2001,15.6
Poland,POL,2002,16.6
Poland,POL,2004,20.5
Poland,POL,2005,19.1
Poland,POL,2006,17.3
Poland,POL,2007,16.9
Poland,POL,2008,17.1
Poland,POL,2009,17.6
Poland,POL,2010,17.7
Poland,POL,2011,17.1
Poland,POL,2012,17.3
Poland,POL,2013,17
Poland,POL,2014,17.6
Poland,POL,2015,17.3
Poland,POL,2016,15
Romania,ROU,2006,24.6
Romania,ROU,2007,23.6
Romania,ROU,2008,22.1
Romania,ROU,2009,21.6
Romania,ROU,2010,22.3
Romania,ROU,2011,22.9
Romania,ROU,2012,23
Romania,ROU,2013,25.1
Romania,ROU,2014,25.4
Romania,ROU,2015,25.3
Romania,ROU,2016,23.6
Russia,RUS,2000,29
Russia,RUS,2002,24.6
Russia,RUS,2003,20.3
Russia,RUS,2004,17.6
Russia,RUS,2005,17.8
Russia,RUS,2006,15.2
Russia,RUS,2007,13.3
Russia,RUS,2008,13.4
Russia,RUS,2009,13
Russia,RUS,2010,12.5
Russia,RUS,2011,12.7
Russia,RUS,2012,10.7
Russia,RUS,2013,10.8
Russia,RUS,2014,11.2
Russia,RUS,2015,13.3
Russia,RUS,2016,13.3
Russia,RUS,2017,13.2
Rwanda,RWA,2000,58.9
Rwanda,RWA,2005,56.7
Rwanda,RWA,2010,46
Rwanda,RWA,2013,39.1
Samoa,WSM,2008,26.9
Sao Tome and Principe,STP,2000,68.3
Sao Tome and Principe,STP,2010,66.2
Senegal,SEN,2001,55.2
Senegal,SEN,2005,48.3
Senegal,SEN,2011,46.7
Serbia,SRB,2012,24.5
Serbia,SRB,2013,25.4
Serbia,SRB,2014,25.4
Serbia,SRB,2015,25.5
Seychelles,SYC,2013,39.3
Sierra Leone,SLE,2003,66.4
Sierra Leone,SLE,2011,52.9
Slovakia,SVK,2004,13.3
Slovakia,SVK,2005,11.6
Slovakia,SVK,2006,10.6
Slovakia,SVK,2007,10.9
Slovakia,SVK,2008,11
Slovakia,SVK,2009,12
Slovakia,SVK,2010,13
Slovakia,SVK,2011,13.2
Slovakia,SVK,2012,12.8
Slovakia,SVK,2013,12.6
Slovenia,SVN,2004,12.2
Slovenia,SVN,2005,11.6
Slovenia,SVN,2006,11.5
Slovenia,SVN,2007,12.3
Slovenia,SVN,2008,11.3
Slovenia,SVN,2009,12.7
Slovenia,SVN,2010,13.6
Slovenia,SVN,2011,13.5
Slovenia,SVN,2012,14.5
Slovenia,SVN,2013,14.5
Slovenia,SVN,2014,14.3
Solomon Islands,SLB,2005,22.7
Solomon Islands,SLB,2013,12.7
South Africa,ZAF,2005,66.6
South Africa,ZAF,2008,62.1
South Africa,ZAF,2010,53.2
South Africa,ZAF,2014,55.5
South Sudan,SSD,2009,50.6
South Sudan,SSD,2012,50.1
South Sudan,SSD,2014,55.1
South Sudan,SSD,2015,65.6
South Sudan,SSD,2016,82.3
Sri Lanka,LKA,2002,22.7
Sri Lanka,LKA,2006,15.2
Sri Lanka,LKA,2009,8.9
Sri Lanka,LKA,2012,6.7
Sri Lanka,LKA,2016,4.1
Sudan,SDN,2009,46.5
Swaziland,SWZ,2001,69
Swaziland,SWZ,2009,63
Syrian Arab Republic,,2004,30.1
Syrian Arab Republic,,2007,35.2
Tajikistan,TJK,2013,34.3
Tajikistan,TJK,2014,32
Tajikistan,TJK,2015,31.3
Tanzania,TZA,2011,28.2
Thailand,THA,2000,42.3
Thailand,THA,2002,32.4
Thailand,THA,2004,26.8
Thailand,THA,2006,21.9
Thailand,THA,2007,20
Thailand,THA,2008,20.4
Thailand,THA,2009,17.9
Thailand,THA,2010,16.4
Thailand,THA,2011,13.2
Thailand,THA,2012,12.6
Thailand,THA,2013,10.9
Thailand,THA,2014,10.5
Thailand,THA,2015,7.2
Thailand,THA,2016,8.6
Timor,TLS,2001,36.3
Timor,TLS,2007,50.4
Timor,TLS,2014,41.8
Togo,TGO,2006,61.7
Togo,TGO,2011,58.7
Togo,TGO,2015,55.1
Tonga,TON,2001,16.2
Tonga,TON,2009,22.5
Tunisia,TUN,2000,25.4
Tunisia,TUN,2005,23.1
Tunisia,TUN,2010,20.5
Tunisia,TUN,2015,15.2
Turkey,TUR,2002,30.3
Turkey,TUR,2003,23.8
Turkey,TUR,2004,20.9
Turkey,TUR,2005,16.4
Turkey,TUR,2006,13.3
Turkey,TUR,2007,8.4
Turkey,TUR,2008,6.8
Turkey,TUR,2009,4.3
Turkey,TUR,2010,3.7
Turkey,TUR,2011,2.8
Turkey,TUR,2012,2.3
Turkey,TUR,2013,2.1
Turkey,TUR,2014,1.6
Turkey,TUR,2015,1.6
Tuvalu,TUV,2010,26.3
Uganda,UGA,1992,56.4
Uganda,UGA,1996,44.4
Uganda,UGA,1999,33.8
Uganda,UGA,2002,38.8
Uganda,UGA,2005,31.1
Uganda,UGA,2009,24.5
Uganda,UGA,2012,19.7
Uganda,UGA,2016,21.4
Ukraine,UKR,2002,83.3
Ukraine,UKR,2003,76.2
Ukraine,UKR,2004,65.6
Ukraine,UKR,2005,55.3
Ukraine,UKR,2006,49.7
Ukraine,UKR,2007,12.7
Ukraine,UKR,2008,7.1
Ukraine,UKR,2009,5.8
Ukraine,UKR,2010,8.6
Ukraine,UKR,2011,7.8
Ukraine,UKR,2012,9
Ukraine,UKR,2013,8.3
Ukraine,UKR,2014,8.6
Ukraine,UKR,2015,6.4
Ukraine,UKR,2016,3.8
Ukraine,UKR,2017,2.4
Uruguay,URY,2006,32.5
Uruguay,URY,2007,29.6
Uruguay,URY,2008,24.2
Uruguay,URY,2009,21
Uruguay,URY,2010,18.5
Uruguay,URY,2011,13.7
Uruguay,URY,2012,12.4
Uruguay,URY,2013,11.5
Uruguay,URY,2014,9.7
Uruguay,URY,2015,9.7
Uruguay,URY,2016,9.4
Uruguay,URY,2017,7.9
Uzbekistan,UZB,2012,15
Uzbekistan,UZB,2013,14.1
Vanuatu,VUT,2010,12.7
Venezuela,VEN,1997,55.6
Venezuela,VEN,1998,49
Venezuela,VEN,1999,42.8
Venezuela,VEN,2000,41.6
Venezuela,VEN,2001,31.1
Venezuela,VEN,2002,41.1
Venezuela,VEN,2003,54
Venezuela,VEN,2004,53.1
Venezuela,VEN,2005,42.4
Venezuela,VEN,2006,33.1
Venezuela,VEN,2007,27.5
Venezuela,VEN,2008,27.7
Venezuela,VEN,2009,26.4
Venezuela,VEN,2010,26.8
Venezuela,VEN,2011,27.4
Venezuela,VEN,2012,27.2
Venezuela,VEN,2013,29.4
Venezuela,VEN,2014,29.5
Venezuela,VEN,2015,33.1
Vietnam,VNM,2012,17.2
Vietnam,VNM,2014,13.5
Vietnam,VNM,2016,9.8
Yemen,YEM,2005,34.8
Yemen,YEM,2014,48.6
Zambia,ZMB,2010,54.7
Zambia,ZMB,2015,54.4
Zimbabwe,ZWE,2001,70.9
