Entity,Code,Year,Population living in slums (% of urban population) (% of urban population)
Central African Republic,CAF,1990,87.5
Central African Republic,CAF,1995,89.7
Central African Republic,CAF,2000,91.9
Central African Republic,CAF,2005,94.1
Central African Republic,CAF,2007,95
Central African Republic,CAF,2009,95.9
Central African Republic,CAF,2014,93.3
Chad,TCD,1990,98.9
Chad,TCD,1995,96.4
Chad,TCD,2000,93.9
Chad,TCD,2005,91.3
Chad,TCD,2007,90.3
Chad,TCD,2009,89.3
Chad,TCD,2014,88.2
Chile,CHL,2005,9
China,CHN,1990,43.6
China,CHN,1995,40.5
China,CHN,2000,37.3
China,CHN,2005,32.9
China,CHN,2007,31
China,CHN,2009,29.1
China,CHN,2014,25.2
Colombia,COL,1990,31.2
Colombia,COL,1995,26.8
Colombia,COL,2000,22.3
Colombia,COL,2005,17.9
Colombia,COL,2007,16.1
Colombia,COL,2009,14.3
Colombia,COL,2014,13.1
Comoros,COM,1990,65.4
Comoros,COM,1995,65.4
Comoros,COM,2000,65.4
Comoros,COM,2005,68.9
Comoros,COM,2007,68.9
Comoros,COM,2014,69.6
Congo,COG,2005,53.4
Congo,COG,2007,51.7
Congo,COG,2009,49.9
Congo,COG,2014,46.9
Costa Rica,CRI,2005,10.9
Costa Rica,CRI,2014,5.5
Cote d'Ivoire,CIV,1990,53.4
Cote d'Ivoire,CIV,1995,54.3
Cote d'Ivoire,CIV,2000,55.3
Cote d'Ivoire,CIV,2005,56.2
Cote d'Ivoire,CIV,2007,56.6
Cote d'Ivoire,CIV,2009,57
Cote d'Ivoire,CIV,2014,56
Democratic Republic of Congo,COD,2005,76.4
Democratic Republic of Congo,COD,2007,69.1
Democratic Republic of Congo,COD,2009,61.7
Democratic Republic of Congo,COD,2014,74.8
Djibouti,DJI,2014,65.6
Dominica,DMA,1990,16.6
Dominican Republic,DOM,1990,27.9
Dominican Republic,DOM,1995,24.4
Dominican Republic,DOM,2000,21
Dominican Republic,DOM,2005,17.6
Dominican Republic,DOM,2007,16.2
Dominican Republic,DOM,2009,14.8
Dominican Republic,DOM,2014,12.1
Early-demographic dividend,,1990,48.6370460918374
Early-demographic dividend,,1995,44.4921120562363
Early-demographic dividend,,2000,39.3042527142396
Early-demographic dividend,,2005,33.0704296685834
Early-demographic dividend,,2007,31.4435037221498
Early-demographic dividend,,2009,31.0777395455161
Early-demographic dividend,,2014,26.9743840284056
East Asia & Pacific,,1990,46.6862169738263
East Asia & Pacific,,1995,42.0232203055144
East Asia & Pacific,,2000,37.9035589073258
East Asia & Pacific,,2005,33.1144216496494
East Asia & Pacific,,2007,30.5976194850373
East Asia & Pacific,,2009,28.9538881098005
East Asia & Pacific,,2014,25.7899238792442
East Asia & Pacific (IDA & IBRD),,1990,46.0398167317587
East Asia & Pacific (IDA & IBRD),,1995,42.0232203055144
East Asia & Pacific (IDA & IBRD),,2000,37.9035589073258
East Asia & Pacific (IDA & IBRD),,2005,33.1144216496494
East Asia & Pacific (IDA & IBRD),,2007,30.5976194850373
East Asia & Pacific (IDA & IBRD),,2009,28.9538881098005
East Asia & Pacific (IDA & IBRD),,2014,25.7899238792442
East Asia & Pacific (excluding high income),,1990,46.6862169738263
East Asia & Pacific (excluding high income),,1995,42.0232203055144
East Asia & Pacific (excluding high income),,2000,37.9035589073258
East Asia & Pacific (excluding high income),,2005,33.1144216496494
East Asia & Pacific (excluding high income),,2007,30.5976194850373
East Asia & Pacific (excluding high income),,2009,28.9538881098005
East Asia & Pacific (excluding high income),,2014,25.7899238792442
Ecuador,ECU,2005,21.5
Ecuador,ECU,2014,36
Egypt,EGY,1990,50.2
Egypt,EGY,1995,39.2
Egypt,EGY,2000,28.1
Egypt,EGY,2005,17.1
Egypt,EGY,2007,14.4
Egypt,EGY,2009,13.1
Egypt,EGY,2014,10.6
El Salvador,SLV,2005,28.9
Equatorial Guinea,GNQ,2005,66.3
Equatorial Guinea,GNQ,2014,66.2
Eritrea,ERI,1990,69.9
Ethiopia,ETH,1990,95.5
Ethiopia,ETH,1995,95.5
Ethiopia,ETH,2000,88.6
Ethiopia,ETH,2005,81.8
Ethiopia,ETH,2007,79.1
Ethiopia,ETH,2009,76.4
Ethiopia,ETH,2014,73.9
Fragile and conflict affected situations,,2005,57.1400401269975
Fragile and conflict affected situations,,2014,60.8261467846792
Gabon,GAB,2005,38.7
Gabon,GAB,2014,37
Gambia,GMB,2005,45.4
Gambia,GMB,2007,34.8
Gambia,GMB,2014,34.8
Ghana,GHA,1990,65.5
Ghana,GHA,1995,58.8
Ghana,GHA,2000,52.1
Ghana,GHA,2005,45.4
Ghana,GHA,2007,42.8
Ghana,GHA,2009,40.1
Ghana,GHA,2014,37.9
Grenada,GRD,2005,6
Guatemala,GTM,1990,58.6
Guatemala,GTM,1995,53.3
Guatemala,GTM,2000,48.1
Guatemala,GTM,2005,42.9
Guatemala,GTM,2007,40.8
Guatemala,GTM,2009,38.7
Guatemala,GTM,2014,34.5
Guinea,GIN,1990,80.4
Guinea,GIN,1995,68.8
Guinea,GIN,2000,57.3
Guinea,GIN,2005,45.7
Guinea,GIN,2007,45.7
Guinea,GIN,2014,43.3
Guinea-Bissau,GNB,2005,83.1
Guinea-Bissau,GNB,2014,82.3
Guyana,GUY,2005,33.7
Guyana,GUY,2007,33.5
Guyana,GUY,2009,33.2
Guyana,GUY,2014,33.1
Haiti,HTI,1990,93.4
Haiti,HTI,1995,93.4
Haiti,HTI,2000,93.4
Haiti,HTI,2005,70.1
Haiti,HTI,2007,70.1
Haiti,HTI,2009,70.1
Haiti,HTI,2014,74.4
Heavily indebted poor countries (HIPC),,1990,74.6171442428907
Heavily indebted poor countries (HIPC),,1995,71.7023875525942
Heavily indebted poor countries (HIPC),,2000,67.9846260249474
Heavily indebted poor countries (HIPC),,2005,65.0044371917096
Heavily indebted poor countries (HIPC),,2007,63.2120758950049
Heavily indebted poor countries (HIPC),,2009,62.2144029709966
Heavily indebted poor countries (HIPC),,2014,62.0507452679317
Honduras,HND,2005,34.9
Honduras,HND,2014,27.5
IBRD only,,1990,43.704499730581
IBRD only,,1995,39.7025067537585
IBRD only,,2000,35.6073455042221
IBRD only,,2005,30.6374147929037
IBRD only,,2007,28.9029806632606
IBRD only,,2009,27.8588431817341
IBRD only,,2014,23.5131905762402
IDA & IBRD total,,1990,47.0312485460315
IDA & IBRD total,,1995,43.5138954619251
IDA & IBRD total,,2000,39.6417887348422
IDA & IBRD total,,2005,35.5366487146904
IDA & IBRD total,,2007,34.0182710794683
IDA & IBRD total,,2009,33.0868077532224
IDA & IBRD total,,2014,29.7454330268457
IDA blend,,1990,59.663237039645
IDA blend,,1995,57.6726579727082
IDA blend,,2000,55.8186304830691
IDA blend,,2005,54.7102706263714
IDA blend,,2007,54.1078110772925
IDA blend,,2009,53.4780791647317
IDA blend,,2014,47.2240885450905
IDA only,,2005,63.6729868215129
IDA only,,2007,63.3230465528731
IDA only,,2009,63.5148314971364
IDA only,,2014,59.7709924699665
IDA total,,1990,69.9660339298359
IDA total,,1995,67.6016849153362
IDA total,,2000,64.3224952297958
IDA total,,2005,60.1877320576294
IDA total,,2007,59.4589655864655
IDA total,,2009,58.9955976808314
IDA total,,2014,55.1556903273846
India,IND,1990,54.9
India,IND,1995,48.2
India,IND,2000,41.5
India,IND,2005,34.8
India,IND,2007,32.1
India,IND,2009,29.4
India,IND,2014,24
Indonesia,IDN,1990,50.8
Indonesia,IDN,1995,42.6
Indonesia,IDN,2000,34.4
Indonesia,IDN,2005,26.3
Indonesia,IDN,2007,23
Indonesia,IDN,2009,23
Indonesia,IDN,2014,21.8
Iran,IRN,1990,51.9
Iran,IRN,2005,30.3
Iraq,IRQ,1990,16.9
Iraq,IRQ,1995,16.9
Iraq,IRQ,2000,16.9
Iraq,IRQ,2005,52.8
Iraq,IRQ,2007,52.8
Iraq,IRQ,2009,52.8
Iraq,IRQ,2014,47.2
Jamaica,JAM,2005,60.5
Jordan,JOR,2005,15.8
Jordan,JOR,2007,17.7
Jordan,JOR,2009,19.6
Jordan,JOR,2014,12.9
Kenya,KEN,1990,54.9
Kenya,KEN,1995,54.8
Kenya,KEN,2000,54.8
Kenya,KEN,2005,54.8
Kenya,KEN,2007,54.8
Kenya,KEN,2009,54.7
Kenya,KEN,2014,56
Laos,LAO,2005,79.3
Laos,LAO,2014,31.4
Late-demographic dividend,,1990,42.318335646172
Late-demographic dividend,,1995,38.7445333051259
Late-demographic dividend,,2000,35.4672673653974
Late-demographic dividend,,2005,30.9015167394287
Late-demographic dividend,,2007,29.6089806712651
Late-demographic dividend,,2009,27.917107898745
Late-demographic dividend,,2014,23.9204858382464
Latin America & Caribbean,,1990,35.4668092583214
Latin America & Caribbean,,1995,32.8605370693259
Latin America & Caribbean,,2000,30.2100094549749
Latin America & Caribbean,,2005,25.4086696053117
Latin America & Caribbean,,2007,24.70931882908
Latin America & Caribbean,,2014,20.3485806868449
Latin America & Caribbean (IDA & IBRD),,1990,35.4668092583214
Latin America & Caribbean (IDA & IBRD),,1995,32.8605370693259
Latin America & Caribbean (IDA & IBRD),,2000,30.2100094549749
Latin America & Caribbean (IDA & IBRD),,2005,25.4086696053117
Latin America & Caribbean (IDA & IBRD),,2007,24.70931882908
Latin America & Caribbean (IDA & IBRD),,2014,20.3485806868449
Latin America & Caribbean (excluding high income),,1990,36.0950480002405
Latin America & Caribbean (excluding high income),,1995,32.9995820180183
Latin America & Caribbean (excluding high income),,2000,29.9021888915351
Latin America & Caribbean (excluding high income),,2005,25.98073107682
Latin America & Caribbean (excluding high income),,2007,24.8424958928748
Latin America & Caribbean (excluding high income),,2014,20.6863953001537
Least developed countries: UN classification,,2005,70.1854129179653
Least developed countries: UN classification,,2007,68.7307991209388
Least developed countries: UN classification,,2009,65.6666328373183
Least developed countries: UN classification,,2014,62.6722111759239
Lebanon,LBN,2005,53.1
Lesotho,LSO,2005,35.1
Lesotho,LSO,2007,44.4
Lesotho,LSO,2009,53.7
Lesotho,LSO,2014,50.8
Liberia,LBR,2009,68.3
Liberia,LBR,2014,65.7
Libya,LBY,1990,35.2
Low & middle income,,1990,47.6589131629913
Low & middle income,,1995,43.7947675660277
Low & middle income,,2000,39.7875187752255
Low & middle income,,2005,35.9078423660828
Low & middle income,,2007,34.2105653574876
Low & middle income,,2009,33.3196841859123
Low & middle income,,2014,29.9556363096552
Low income,,1990,75.4771333231276
Low income,,2005,64.9519630362293
Low income,,2007,63.901698987166
Low income,,2009,65.9934830171521
Low income,,2014,62.6154825132209
Lower middle income,,1990,56.4973181860886
Lower middle income,,1995,51.0312213917618
Lower middle income,,2000,45.4975305237802
Lower middle income,,2005,40.0527567094849
Lower middle income,,2007,37.4778256643511
Lower middle income,,2009,35.567320503167
Lower middle income,,2014,32.1239365376031
Madagascar,MDG,1990,93
Madagascar,MDG,1995,88.6
Madagascar,MDG,2000,84.1
Madagascar,MDG,2005,80.6
Madagascar,MDG,2007,78
Madagascar,MDG,2009,76.2
Madagascar,MDG,2014,77.2
Malawi,MWI,1990,66.4
Malawi,MWI,1995,66.4
Malawi,MWI,2000,66.4
Malawi,MWI,2005,66.4
Malawi,MWI,2007,67.7
Malawi,MWI,2009,68.9
Malawi,MWI,2014,66.7
Mali,MLI,1990,94.2
Mali,MLI,1995,84.8
Mali,MLI,2000,75.4
Mali,MLI,2005,65.9
Mali,MLI,2007,65.9
Mali,MLI,2009,65.9
Mali,MLI,2014,56.3
Mauritania,MRT,2014,79.9
Mexico,MEX,1990,23.1
Mexico,MEX,1995,21.5
Mexico,MEX,2000,19.9
Mexico,MEX,2005,14.4
Mexico,MEX,2007,14.4
Mexico,MEX,2014,11.1
Middle East & North Africa,,1990,39.461592674246
Middle East & North Africa,,2005,27.1079078638034
Middle East & North Africa (IDA & IBRD),,1990,39.2036624795189
Middle East & North Africa (IDA & IBRD),,2005,28.3689845537114
Middle East & North Africa (excluding high income),,1990,39.2036624795189
Middle East & North Africa (excluding high income),,2005,28.3689845537114
Middle income,,1990,46.3330309951884
Middle income,,1995,42.5150060948701
Middle income,,2000,38.4209838824901
Middle income,,2005,33.9649716764198
Middle income,,2007,32.1178860675585
Middle income,,2009,31.250115849868
Middle income,,2014,27.2165376562075
Mongolia,MNG,1990,68.5
Mongolia,MNG,1995,66.7
Mongolia,MNG,2000,64.9
Mongolia,MNG,2005,57.9
Mongolia,MNG,2007,57.9
Mongolia,MNG,2014,42.7
Morocco,MAR,1990,37.4
Morocco,MAR,1995,35.2
Morocco,MAR,2000,24.2
Morocco,MAR,2005,13.1
Morocco,MAR,2007,13.1
Morocco,MAR,2009,13.1
Morocco,MAR,2014,13.1
Mozambique,MOZ,1990,75.6
Mozambique,MOZ,1995,76.9
Mozambique,MOZ,2000,78.2
Mozambique,MOZ,2005,79.5
Mozambique,MOZ,2007,80
Mozambique,MOZ,2009,80.5
Mozambique,MOZ,2014,80.3
Myanmar,MMR,2005,45.6
Myanmar,MMR,2014,41
Namibia,NAM,1990,34.4
Namibia,NAM,1995,34.1
Namibia,NAM,2000,33.9
Namibia,NAM,2005,33.9
Namibia,NAM,2007,33.6
Namibia,NAM,2009,33.5
Namibia,NAM,2014,33.2
Nepal,NPL,1990,70.6
Nepal,NPL,1995,67.3
Nepal,NPL,2000,64
Nepal,NPL,2005,60.7
Nepal,NPL,2007,59.4
Nepal,NPL,2009,58.1
Nepal,NPL,2014,54.3
Nicaragua,NIC,1990,89.1
Nicaragua,NIC,1995,74.5
Nicaragua,NIC,2000,60
Nicaragua,NIC,2005,45.5
Nicaragua,NIC,2007,45.5
Niger,NER,1990,83.6
Niger,NER,1995,83.1
Niger,NER,2000,82.6
Niger,NER,2005,82.1
Niger,NER,2007,81.9
Niger,NER,2009,81.7
Niger,NER,2014,70.1
Nigeria,NGA,1990,77.3
Nigeria,NGA,1995,73.5
Nigeria,NGA,2000,69.6
Nigeria,NGA,2005,65.8
Nigeria,NGA,2007,64.2
Nigeria,NGA,2009,62.7
Nigeria,NGA,2014,50.2
North Korea,PRK,1990,68.5
Oman,OMN,1990,60.5
Pakistan,PAK,1990,51
Pakistan,PAK,1995,49.8
Pakistan,PAK,2000,48.7
Pakistan,PAK,2005,47.5
Pakistan,PAK,2007,47
Pakistan,PAK,2009,46.6
Pakistan,PAK,2014,45.5
Panama,PAN,2005,23
Panama,PAN,2014,25.8
Paraguay,PRY,2005,17.6
Peru,PER,1990,66.4
Peru,PER,1995,56.3
Peru,PER,2000,46.2
Peru,PER,2005,36.1
Peru,PER,2007,36.1
Peru,PER,2014,34.2
Philippines,PHL,1990,54.3
Philippines,PHL,1995,50.8
Philippines,PHL,2000,47.2
Philippines,PHL,2005,43.7
Philippines,PHL,2007,42.3
Philippines,PHL,2009,40.9
Philippines,PHL,2014,38.3
Pre-demographic dividend,,1990,65.0126871102545
Pre-demographic dividend,,1995,62.9984623267053
Pre-demographic dividend,,2000,62.3195654949114
Pre-demographic dividend,,2005,66.0063746016282
Pre-demographic dividend,,2007,63.5487841628835
Pre-demographic dividend,,2009,61.9263230276941
Pre-demographic dividend,,2014,58.7221226160279
Rwanda,RWA,1990,96
Rwanda,RWA,1995,87.9
Rwanda,RWA,2000,79.7
Rwanda,RWA,2005,71.6
Rwanda,RWA,2007,68.3
Rwanda,RWA,2009,65.1
Rwanda,RWA,2014,53.2
Saint Lucia,LCA,2005,11.9
Sao Tome and Principe,STP,2014,86.6
Saudi Arabia,SAU,2005,18
Senegal,SEN,1990,70.6
Senegal,SEN,1995,59.8
Senegal,SEN,2000,48.9
Senegal,SEN,2005,43.3
Senegal,SEN,2007,41.1
Senegal,SEN,2009,38.8
Senegal,SEN,2014,39.4
Sierra Leone,SLE,2005,97
Sierra Leone,SLE,2014,75.6
Somalia,SOM,2005,73.5
Somalia,SOM,2007,73.6
Somalia,SOM,2009,73.6
Somalia,SOM,2014,73.6
South Africa,ZAF,1990,46.2
South Africa,ZAF,1995,39.7
South Africa,ZAF,2000,33.2
South Africa,ZAF,2005,28.7
South Africa,ZAF,2007,23
South Africa,ZAF,2009,23
South Africa,ZAF,2014,23
South Asia,,1990,56.6207767821597
South Asia,,1995,51.4439702980606
South Asia,,2000,45.6137852407804
South Asia,,2005,39.8081870670211
South Asia,,2007,37.2832802606201
South Asia,,2009,34.7593500917455
South Asia,,2014,30.4462636577431
South Asia (IDA & IBRD),,1990,56.6207767821597
South Asia (IDA & IBRD),,1995,51.4439702980606
South Asia (IDA & IBRD),,2000,45.6137852407804
South Asia (IDA & IBRD),,2005,39.8081870670211
South Asia (IDA & IBRD),,2007,37.2832802606201
South Asia (IDA & IBRD),,2009,34.7593500917455
South Asia (IDA & IBRD),,2014,30.4462636577431
South Sudan,SSD,2014,95.6
Sri Lanka,LKA,1990,24.8
Sub-Saharan Africa,,1990,67.081882845279
Sub-Saharan Africa,,1995,63.9347514267724
Sub-Saharan Africa,,2000,61.769894937004
Sub-Saharan Africa,,2005,61.2767185628526
Sub-Saharan Africa,,2007,58.5651519738453
Sub-Saharan Africa,,2009,57.1232043308279
Sub-Saharan Africa,,2014,55.257657510466
Sub-Saharan Africa (IDA & IBRD),,1990,67.081882845279
Sub-Saharan Africa (IDA & IBRD),,1995,63.9347514267724
Sub-Saharan Africa (IDA & IBRD),,2000,61.769894937004
Sub-Saharan Africa (IDA & IBRD),,2005,61.2767185628526
Sub-Saharan Africa (IDA & IBRD),,2007,58.5651519738453
Sub-Saharan Africa (IDA & IBRD),,2009,57.1232043308279
Sub-Saharan Africa (IDA & IBRD),,2014,55.257657510466
Sub-Saharan Africa (excluding high income),,1990,67.081882845279
Sub-Saharan Africa (excluding high income),,1995,63.9347514267724
Sub-Saharan Africa (excluding high income),,2000,61.769894937004
Sub-Saharan Africa (excluding high income),,2005,61.2767185628526
Sub-Saharan Africa (excluding high income),,2007,58.5651519738453
Sub-Saharan Africa (excluding high income),,2009,57.1232043308279
Sub-Saharan Africa (excluding high income),,2014,55.257657510466
Sudan,SDN,2014,91.6
Suriname,SUR,2005,3.9
Suriname,SUR,2014,7.3
Swaziland,SWZ,2014,32.7
Syrian Arab Republic,,2005,10.5
Syrian Arab Republic,,2007,22.5
Syrian Arab Republic,,2014,19.3
Tanzania,TZA,1990,77.4
Tanzania,TZA,1995,73.7
Tanzania,TZA,2000,70.1
Tanzania,TZA,2005,66.4
Tanzania,TZA,2007,65
Tanzania,TZA,2009,63.5
Tanzania,TZA,2014,50.7
Thailand,THA,2005,26
Thailand,THA,2007,26.5
Thailand,THA,2009,27
Thailand,THA,2014,25
Togo,TGO,2005,62.1
Togo,TGO,2014,51.2
Trinidad and Tobago,TTO,2005,24.7
Tunisia,TUN,2014,8
Turkey,TUR,1990,23.4
Turkey,TUR,1995,20.7
Turkey,TUR,2000,17.9
Turkey,TUR,2005,15.5
Turkey,TUR,2007,14.1
Turkey,TUR,2009,13
Turkey,TUR,2014,11.9
Uganda,UGA,1990,75
Uganda,UGA,1995,75
Uganda,UGA,2000,75
Uganda,UGA,2005,66.7
Uganda,UGA,2007,63.4
Uganda,UGA,2009,60.1
Uganda,UGA,2014,53.6
Upper middle income,,1990,38.7264315797386
Upper middle income,,1995,35.749862258344
Upper middle income,,2000,32.7701468009267
Upper middle income,,2005,29.5207642879916
Upper middle income,,2007,27.9690532376223
Upper middle income,,2009,27.5441187989434
Upper middle income,,2014,23.2354231987546
Venezuela,VEN,2005,32
Vietnam,VNM,1990,60.5
Vietnam,VNM,1995,54.6
Vietnam,VNM,2000,48.8
Vietnam,VNM,2005,41.3
Vietnam,VNM,2007,38.3
Vietnam,VNM,2009,35.2
Vietnam,VNM,2014,27.2
World,OWID_WRL,1990,47.4065868484959
World,OWID_WRL,2000,39.6483669266786
World,OWID_WRL,2005,35.8594443695648
World,OWID_WRL,2007,34.1985151677867
World,OWID_WRL,2009,33.3306196582094
Yemen,YEM,2005,67.2
Yemen,YEM,2007,76.8
Yemen,YEM,2014,60.8
Zambia,ZMB,1990,57
Zambia,ZMB,1995,57.1
Zambia,ZMB,2000,57.2
Zambia,ZMB,2005,57.2
Zambia,ZMB,2007,57.3
Zambia,ZMB,2009,57.3
Zambia,ZMB,2014,54
Zimbabwe,ZWE,1990,4
Zimbabwe,ZWE,1995,3.7
Zimbabwe,ZWE,2000,3.3
Zimbabwe,ZWE,2005,17.9
Zimbabwe,ZWE,2007,21
Zimbabwe,ZWE,2009,24.1
Zimbabwe,ZWE,2014,25.1
