Entity,Code,Year,Pupil-teacher ratio in pre-primary education (headcount basis) (headcount basis)
Argentina,ARG,2008,19.9243392944336
Armenia,ARM,1980,11.6310701370239
Armenia,ARM,1989,11.0990400314331
Armenia,ARM,1990,10.0784301757813
Armenia,ARM,1999,7.27090978622437
Armenia,ARM,2000,7.6292200088501
Armenia,ARM,2001,7.2540397644043
Armenia,ARM,2002,7.95262002944946
Armenia,ARM,2003,8.32081031799316
Armenia,ARM,2004,8.67364025115967
Armenia,ARM,2005,9.25901031494141
Armenia,ARM,2006,9.46228981018066
Armenia,ARM,2007,9.49100971221924
Armenia,ARM,2008,9.78507995605469
Armenia,ARM,2009,10.0652103424072
Armenia,ARM,2010,9.83874988555908
Armenia,ARM,2011,9.4791898727417
Armenia,ARM,2012,9.3983097076416
Aruba,ABW,1999,25.8285694122314
Aruba,ABW,2000,26.5
Aruba,ABW,2001,25.5982093811035
Aruba,ABW,2002,23.7295093536377
Aruba,ABW,2003,21.5259304046631
Aruba,ABW,2004,20.1134796142578
Aruba,ABW,2005,19.5902805328369
Aruba,ABW,2006,20.5862102508545
Aruba,ABW,2007,20.6666698455811
Aruba,ABW,2008,19.1608390808105
Aruba,ABW,2009,18.6689701080322
Aruba,ABW,2010,19.5069408416748
Aruba,ABW,2011,18.9251708984375
Aruba,ABW,2012,19.5510196685791
Austria,AUT,1971,27.2120704650879
Austria,AUT,1972,27.1296100616455
Austria,AUT,1973,30.7954807281494
Austria,AUT,1974,30.1889190673828
Austria,AUT,1975,29.1601390838623
Austria,AUT,1976,27.665470123291
Austria,AUT,1977,26.0941696166992
Austria,AUT,1978,25.1820793151855
Austria,AUT,1979,24.4272594451904
Austria,AUT,1980,23.704439163208
Austria,AUT,1981,23.4277801513672
Austria,AUT,1982,22.6529407501221
Austria,AUT,1983,22.4325294494629
Austria,AUT,1984,21.6597690582275
Austria,AUT,1985,21.6447601318359
Austria,AUT,1986,22.2554206848145
Austria,AUT,1987,22.2320404052734
Austria,AUT,1988,21.9980602264404
Austria,AUT,1989,21.7065296173096
Austria,AUT,1990,21.3341407775879
Austria,AUT,1991,20.8842296600342
Austria,AUT,1992,20.4677200317383
Austria,AUT,1993,20.2679100036621
Austria,AUT,1994,18.1816101074219
Austria,AUT,1995,16.7891101837158
Austria,AUT,1996,17.0706596374512
Austria,AUT,1997,16.7573204040527
Austria,AUT,1998,16.638729095459
Austria,AUT,1999,15.96409034729
Austria,AUT,2002,15.8013000488281
Austria,AUT,2003,15.1251497268677
Austria,AUT,2004,14.8277797698975
Austria,AUT,2005,14.2074899673462
Austria,AUT,2006,13.6387100219727
Austria,AUT,2007,13.5330495834351
Austria,AUT,2008,13.3938903808594
Austria,AUT,2009,12.77952003479
Austria,AUT,2010,12.4130601882935
Austria,AUT,2011,12.0152997970581
Austria,AUT,2012,11.9171495437622
Austria,AUT,2013,11.6784896850586
Austria,AUT,2014,11.7377500534058
Azerbaijan,AZE,1981,8.05113983154297
Azerbaijan,AZE,1986,8.194899559021
Azerbaijan,AZE,1989,7.07287979125977
Azerbaijan,AZE,1990,7.66492986679077
Azerbaijan,AZE,1991,7.14722013473511
Azerbaijan,AZE,1992,6.71000003814697
Azerbaijan,AZE,1993,6.39555978775024
Azerbaijan,AZE,1994,6.17532014846802
Azerbaijan,AZE,1995,7.36674976348877
Azerbaijan,AZE,1996,7.14587020874023
Azerbaijan,AZE,1997,7.39031982421875
Azerbaijan,AZE,1998,7.32677984237671
Azerbaijan,AZE,1999,7.3957200050354
Azerbaijan,AZE,2000,8.32656955718994
Azerbaijan,AZE,2001,8.56319999694824
Azerbaijan,AZE,2002,8.70668983459473
Azerbaijan,AZE,2003,8.75216960906982
Azerbaijan,AZE,2004,8.6853199005127
Azerbaijan,AZE,2005,8.63661003112793
Azerbaijan,AZE,2006,8.7903995513916
Azerbaijan,AZE,2007,8.75156021118164
Azerbaijan,AZE,2008,8.72498989105225
Azerbaijan,AZE,2009,8.72904968261719
Azerbaijan,AZE,2010,9.26313972473145
Azerbaijan,AZE,2011,9.27525043487549
Azerbaijan,AZE,2012,9.02033042907715
Azerbaijan,AZE,2013,9.95125961303711
Azerbaijan,AZE,2014,11.1465997695923
Bahamas,BHS,1993,16.7659606933594
Bahamas,BHS,1997,14.3947401046753
Bahamas,BHS,1999,9.20512962341309
Bahamas,BHS,2000,9.35610008239746
Bahamas,BHS,2002,11.1804704666138
Bahrain,BHR,1978,32.9178085327148
Bahrain,BHR,1979,32.3580207824707
Bahrain,BHR,1980,31.1808490753174
Bahrain,BHR,1982,42.144229888916
Bahrain,BHR,1983,31.5812492370605
Bahrain,BHR,1984,27.6031703948975
Bahrain,BHR,1985,32.8341484069824
Bahrain,BHR,1986,29.8352909088135
Bahrain,BHR,1987,27.9254207611084
Bahrain,BHR,1988,27.3501605987549
Bahrain,BHR,1989,30.181209564209
Bahrain,BHR,1991,26.3255805969238
Bahrain,BHR,1992,26.2558097839355
Bahrain,BHR,1993,27.3619003295898
Bahrain,BHR,1994,25.8793106079102
Bahrain,BHR,1995,24.9163398742676
Bahrain,BHR,1996,27.3429794311523
Bahrain,BHR,1998,23.8916091918945
Bahrain,BHR,1999,21.3090896606445
Bahrain,BHR,2000,20.943639755249
Bahrain,BHR,2001,21.1404705047607
Bahrain,BHR,2002,21.1804599761963
Bahrain,BHR,2003,20.8843193054199
Bahrain,BHR,2005,14.7026395797729
Bahrain,BHR,2006,15.9462604522705
Bahrain,BHR,2008,15.7485599517822
Bahrain,BHR,2009,15.8999996185303
Bahrain,BHR,2010,15.5121803283691
Bahrain,BHR,2011,15.6531801223755
Bahrain,BHR,2012,15.0274801254272
Bahrain,BHR,2013,14.6163101196289
Bahrain,BHR,2014,15.2166700363159
Bangladesh,BGD,1973,42.1282081604004
Bangladesh,BGD,1988,36.7491493225098
Bangladesh,BGD,1998,32.2332611083984
Bangladesh,BGD,1999,27.0287399291992
Bangladesh,BGD,2000,24.3679504394531
Bangladesh,BGD,2001,28.236499786377
Bangladesh,BGD,2002,23.1242504119873
Barbados,BRB,1978,22.8540096282959
Barbados,BRB,1979,24.1889801025391
Barbados,BRB,1983,23.1212100982666
Barbados,BRB,1999,17.6109409332275
Barbados,BRB,2000,16.658540725708
Barbados,BRB,2001,16.2985095977783
Barbados,BRB,2002,17.2861309051514
Barbados,BRB,2003,17.0959300994873
Barbados,BRB,2004,17.7207202911377
Barbados,BRB,2005,17.7225399017334
Barbados,BRB,2007,18.9444408416748
Barbados,BRB,2008,16.3388404846191
Barbados,BRB,2009,16.7928199768066
Barbados,BRB,2010,16.1949901580811
Barbados,BRB,2011,16.1494293212891
Barbados,BRB,2014,17.1436805725098
Belarus,BLR,1981,9.48626041412354
Belarus,BLR,1982,9.36176013946533
Belarus,BLR,1983,9.24324035644531
Belarus,BLR,1984,8.91034030914307
Belarus,BLR,1985,8.35356044769287
Belarus,BLR,1986,7.82884979248047
Belarus,BLR,1987,7.78715991973877
Belarus,BLR,1988,7.80348014831543
Belarus,BLR,1989,7.81207990646362
Belarus,BLR,1990,7.70066022872925
Belarus,BLR,1991,6.73514986038208
Belarus,BLR,1992,6.63476991653442
Belarus,BLR,1993,6.77718019485474
Belarus,BLR,1994,6.70803022384644
Belarus,BLR,1995,6.66727018356323
Belarus,BLR,1996,6.40110015869141
Belarus,BLR,1997,5.98708009719849
Belarus,BLR,1999,5.1809401512146
Belarus,BLR,2000,4.94460010528564
Belarus,BLR,2001,4.85321998596191
Belarus,BLR,2002,4.80284976959229
Belarus,BLR,2003,5.78223991394043
Belarus,BLR,2004,5.884850025177
Belarus,BLR,2005,6.12243986129761
Belarus,BLR,2006,6.1406397819519
Belarus,BLR,2007,6.15029001235962
Belarus,BLR,2008,6.17030000686646
Belarus,BLR,2009,6.13125991821289
Belarus,BLR,2010,6.33179998397827
Belarus,BLR,2011,6.58129978179932
Belarus,BLR,2012,6.40991020202637
Belarus,BLR,2013,7.6441798210144
Belarus,BLR,2014,7.81183004379272
Belgium,BEL,1971,25.6029205322266
Belgium,BEL,1974,24.9010791778564
Belgium,BEL,1976,25.0766296386719
Belgium,BEL,1977,24.5856895446777
Belgium,BEL,1978,24.0140800476074
Belgium,BEL,1979,23.3102207183838
Belgium,BEL,1980,22.312370300293
Belgium,BEL,1981,22.4325199127197
Belgium,BEL,1982,22.4816608428955
Belgium,BEL,1984,23.2831802368164
Belgium,BEL,1985,20.6708106994629
Belgium,BEL,1986,19.7973003387451
Belgium,BEL,1993,16.857759475708
Belgium,BEL,1994,17.435209274292
Belgium,BEL,2001,14.7800397872925
Belgium,BEL,2002,14.6181402206421
Belgium,BEL,2003,14.3301496505737
Belgium,BEL,2004,13.89684009552
Belgium,BEL,2005,14.2579698562622
Belgium,BEL,2006,14.0205001831055
Belgium,BEL,2007,13.9408102035522
Belgium,BEL,2008,13.803879737854
Belgium,BEL,2009,13.8370599746704
Belgium,BEL,2010,13.9213304519653
Belgium,BEL,2011,13.9145698547363
Belgium,BEL,2012,13.9223403930664
Belgium,BEL,2013,13.5794401168823
Belgium,BEL,2014,13.4290103912354
Belize,BLZ,1981,15.3846197128296
Belize,BLZ,1987,16.1538505554199
Belize,BLZ,1990,18.8461494445801
Belize,BLZ,1991,17.7612895965576
Belize,BLZ,1992,19.1176490783691
Belize,BLZ,1993,19.1875
Belize,BLZ,1994,17.9659099578857
Belize,BLZ,1995,17.4263191223145
Belize,BLZ,1996,18.2651901245117
Belize,BLZ,1997,18.135139465332
Belize,BLZ,1999,18.5408191680908
Belize,BLZ,2000,18.9948501586914
Belize,BLZ,2001,17.6857109069824
Belize,BLZ,2003,17.6308403015137
Belize,BLZ,2004,16.9594593048096
Belize,BLZ,2005,17.2343692779541
Belize,BLZ,2006,17.2375907897949
Belize,BLZ,2007,17.1237106323242
Belize,BLZ,2008,16.6695404052734
Belize,BLZ,2009,15.9629602432251
Belize,BLZ,2010,17.4497394561768
Belize,BLZ,2011,16.3171901702881
Belize,BLZ,2012,16.3211002349854
Belize,BLZ,2013,16.9724807739258
Belize,BLZ,2014,16.5951309204102
Benin,BEN,1981,21.7183895111084
Benin,BEN,1982,20.0203304290771
Benin,BEN,1983,21.2247200012207
Benin,BEN,1984,22.2529106140137
Benin,BEN,1985,22.5913200378418
Benin,BEN,1986,21.4866905212402
Benin,BEN,1987,21.10032081604
Benin,BEN,1988,20.4430809020996
Benin,BEN,1989,20.6027603149414
Benin,BEN,1990,21.0287494659424
Benin,BEN,1991,22.7809391021729
Benin,BEN,1992,22.5931396484375
Benin,BEN,1993,23.3291301727295
Benin,BEN,1994,28.0154399871826
Benin,BEN,1995,26.4991703033447
Benin,BEN,1996,27.0841407775879
Benin,BEN,1999,28.0423202514648
Benin,BEN,2000,28.994779586792
Benin,BEN,2001,29.9162693023682
Benin,BEN,2002,32.0041007995605
Benin,BEN,2003,33.6779708862305
Benin,BEN,2004,36.3399314880371
Benin,BEN,2005,43.2390594482422
Benin,BEN,2006,49.133861541748
Benin,BEN,2008,38.3245086669922
Benin,BEN,2009,38.6393508911133
Benin,BEN,2010,33.2421417236328
Benin,BEN,2011,27.0712299346924
Benin,BEN,2012,25.0608406066895
Benin,BEN,2013,26.1496906280518
Benin,BEN,2014,26.7129497528076
Bermuda,BMU,1977,14.4142904281616
Bermuda,BMU,2001,7.16392993927002
Bermuda,BMU,2002,6.78689002990723
Bermuda,BMU,2003,6.9821400642395
Bermuda,BMU,2004,7.54385995864868
Bermuda,BMU,2011,6.19999980926514
Bermuda,BMU,2012,8.2548999786377
Bermuda,BMU,2013,6.48332977294922
Bermuda,BMU,2014,8.58695983886719
Bhutan,BTN,1998,22.3125
Bhutan,BTN,1999,22
Bhutan,BTN,2000,22.375
Bhutan,BTN,2005,23.1111106872559
Bhutan,BTN,2007,11.3157901763916
Bhutan,BTN,2008,11.307689666748
Bhutan,BTN,2009,9.81081008911133
Bhutan,BTN,2010,8.34177017211914
Bhutan,BTN,2011,12.4590196609497
Bhutan,BTN,2012,11.2925796508789
Bhutan,BTN,2013,11.6212100982666
Bhutan,BTN,2014,11.2551698684692
Bolivia,BOL,1984,34.8287887573242
Bolivia,BOL,1986,56.0255699157715
Bolivia,BOL,1987,54.8459815979004
Bolivia,BOL,1988,41.0349502563477
Bolivia,BOL,1989,31.8245296478271
Bolivia,BOL,1990,41.8418006896973
Bolivia,BOL,1999,41.8339004516602
Bolivia,BOL,2000,42.4807014465332
Bolivia,BOL,2001,43.5874900817871
Bolivia,BOL,2002,43.9541397094727
Bolivia,BOL,2003,40.8941307067871
Bolivia,BOL,2004,40.8968887329102
Bolivia,BOL,2007,38.8437805175781
Bosnia and Herzegovina,BIH,2005,12.5573596954346
Bosnia and Herzegovina,BIH,2006,13.0019998550415
Bosnia and Herzegovina,BIH,2007,13.1732301712036
Bosnia and Herzegovina,BIH,2008,13.5799798965454
Bosnia and Herzegovina,BIH,2009,14.5568504333496
Bosnia and Herzegovina,BIH,2010,14.0376300811768
Bosnia and Herzegovina,BIH,2011,14.0960302352905
Bosnia and Herzegovina,BIH,2012,13.9685001373291
Botswana,BWA,2006,15.1982297897339
Botswana,BWA,2007,14.4485301971436
Botswana,BWA,2008,15.5288496017456
Botswana,BWA,2009,12.9275102615356
Botswana,BWA,2012,11.2903203964233
Brazil,BRA,1970,22.0208892822266
Brazil,BRA,1971,20.3819007873535
Brazil,BRA,1972,20.3648300170898
Brazil,BRA,1973,20.2996807098389
Brazil,BRA,1974,20.1041507720947
Brazil,BRA,1975,21.4453792572021
Brazil,BRA,1976,21.387279510498
Brazil,BRA,1977,20.7459602355957
Brazil,BRA,1978,20.8724594116211
Brazil,BRA,1979,23.0236396789551
Brazil,BRA,1980,22.7141094207764
Brazil,BRA,1981,23.1028099060059
Brazil,BRA,1982,23.0338191986084
Brazil,BRA,1983,23.6430206298828
Brazil,BRA,1984,22.6623802185059
Brazil,BRA,1985,23.0197200775146
Brazil,BRA,1986,24.2191696166992
Brazil,BRA,1987,23.6810207366943
Brazil,BRA,1988,23.3210391998291
Brazil,BRA,1989,22.8954105377197
Brazil,BRA,1991,20.6234493255615
Brazil,BRA,1992,21.5935001373291
Brazil,BRA,1993,21.2038307189941
Brazil,BRA,1994,20.7106094360352
Brazil,BRA,1996,19.3366298675537
Brazil,BRA,1997,19.0716495513916
Brazil,BRA,2007,15.0832395553589
Brazil,BRA,2008,13.9082002639771
Brazil,BRA,2009,13.0777797698975
Brazil,BRA,2010,12.2810697555542
Brazil,BRA,2011,11.4795398712158
Brazil,BRA,2012,10.77064037323
Brazil,BRA,2013,17.1028709411621
Brunei,BRN,1978,25.1037693023682
Brunei,BRN,1979,21.1705703735352
Brunei,BRN,1980,20.864200592041
Brunei,BRN,1981,19.542610168457
Brunei,BRN,1982,20.7586193084717
Brunei,BRN,1983,21.8601207733154
Brunei,BRN,1984,21.0881500244141
Brunei,BRN,1985,22.0081996917725
Brunei,BRN,1986,20.3010196685791
Brunei,BRN,1987,20.259349822998
Brunei,BRN,1991,20.5720596313477
Brunei,BRN,1992,20.9532909393311
Brunei,BRN,1993,21.8011207580566
Brunei,BRN,1994,21.1798400878906
Brunei,BRN,1995,21.8333301544189
Brunei,BRN,1998,21.3527202606201
Brunei,BRN,1999,19.975269317627
Brunei,BRN,2000,20.5010299682617
Brunei,BRN,2001,21.5085506439209
Brunei,BRN,2002,20.1663703918457
Brunei,BRN,2003,19.543399810791
Brunei,BRN,2004,23.0174407958984
Brunei,BRN,2005,19.2359600067139
Brunei,BRN,2006,18.6586894989014
Brunei,BRN,2007,21.1531505584717
Brunei,BRN,2008,19.5627098083496
Brunei,BRN,2009,21.8271808624268
Brunei,BRN,2010,19.6366405487061
Brunei,BRN,2011,12.07493019104
Brunei,BRN,2012,13.5981302261353
Brunei,BRN,2013,13.4371099472046
Brunei,BRN,2014,17.0178108215332
Bulgaria,BGR,1971,18.2546100616455
Bulgaria,BGR,1972,17.7146492004395
Bulgaria,BGR,1973,17.5487098693848
Bulgaria,BGR,1974,17.2965908050537
Bulgaria,BGR,1975,17.050479888916
Bulgaria,BGR,1976,16.2665195465088
Bulgaria,BGR,1977,15.2462501525879
Bulgaria,BGR,1978,15.0304803848267
Bulgaria,BGR,1979,14.7021703720093
Bulgaria,BGR,1980,14.7276802062988
Bulgaria,BGR,1981,14.5124797821045
Bulgaria,BGR,1982,14.0003099441528
Bulgaria,BGR,1983,13.7921895980835
Bulgaria,BGR,1984,13.3677396774292
Bulgaria,BGR,1985,13.0781402587891
Bulgaria,BGR,1986,12.485969543457
Bulgaria,BGR,1987,12.1572198867798
Bulgaria,BGR,1988,12.0170297622681
Bulgaria,BGR,1989,11.7621603012085
Bulgaria,BGR,1990,11.2164096832275
Bulgaria,BGR,1991,10.556679725647
Bulgaria,BGR,1992,9.2349796295166
Bulgaria,BGR,1993,9.59869003295898
Bulgaria,BGR,1994,9.65820026397705
Bulgaria,BGR,1995,10.2365198135376
Bulgaria,BGR,1996,10.6418600082397
Bulgaria,BGR,1997,10.5774402618408
Bulgaria,BGR,1998,10.6845703125
Bulgaria,BGR,1999,11.3242998123169
Bulgaria,BGR,2000,11.2783603668213
Bulgaria,BGR,2001,11.4300603866577
Bulgaria,BGR,2002,11.410590171814
Bulgaria,BGR,2003,11.7667303085327
Bulgaria,BGR,2004,11.4966297149658
Bulgaria,BGR,2005,11.4824495315552
Bulgaria,BGR,2006,11.4573097229004
Bulgaria,BGR,2007,11.4476699829102
Bulgaria,BGR,2008,11.4305696487427
Bulgaria,BGR,2009,11.8016901016235
Bulgaria,BGR,2010,12.0220804214478
Bulgaria,BGR,2011,12.2987804412842
Bulgaria,BGR,2012,12.4929304122925
Bulgaria,BGR,2013,12.6973400115967
Bulgaria,BGR,2014,12.82017993927
Burkina Faso,BFA,1972,18.9090900421143
Burkina Faso,BFA,1975,53.1111106872559
Burkina Faso,BFA,1976,26.1578903198242
Burkina Faso,BFA,1981,25.4666690826416
Burkina Faso,BFA,1982,26
Burkina Faso,BFA,1983,25.5185203552246
Burkina Faso,BFA,1984,28.6140403747559
Burkina Faso,BFA,1985,25.8381004333496
Burkina Faso,BFA,1986,26.2444400787354
Burkina Faso,BFA,1987,26.7005596160889
Burkina Faso,BFA,1988,27.825870513916
Burkina Faso,BFA,1989,31.0995006561279
Burkina Faso,BFA,1990,25.525110244751
Burkina Faso,BFA,1991,28.2541694641113
Burkina Faso,BFA,1992,29.7764701843262
Burkina Faso,BFA,1993,29.4185199737549
Burkina Faso,BFA,1994,28.3703708648682
Burkina Faso,BFA,1995,28.6809101104736
Burkina Faso,BFA,1996,35.944881439209
Burkina Faso,BFA,1997,40.2009506225586
Burkina Faso,BFA,1998,40.9183692932129
Burkina Faso,BFA,2007,23.5977897644043
Burkina Faso,BFA,2011,23.3085403442383
Burkina Faso,BFA,2012,23.5587692260742
Burkina Faso,BFA,2013,24.6687393188477
Burundi,BDI,1971,50.8888893127441
Burundi,BDI,1972,42.8571395874023
Burundi,BDI,1982,45.608699798584
Burundi,BDI,1983,51
Burundi,BDI,1984,45.965518951416
Burundi,BDI,1985,57.8400001525879
Burundi,BDI,1986,55.4375
Burundi,BDI,1987,44.7954483032227
Burundi,BDI,1989,48.5918388366699
Burundi,BDI,1999,28.0568199157715
Burundi,BDI,2000,27.5
Burundi,BDI,2001,32.9696998596191
Burundi,BDI,2002,32.0810813903809
Burundi,BDI,2003,29.8705005645752
Burundi,BDI,2004,27.9811305999756
Burundi,BDI,2006,28.8717308044434
Burundi,BDI,2007,36.7744903564453
Burundi,BDI,2009,32.9428291320801
Burundi,BDI,2010,34.0773010253906
Burundi,BDI,2011,35.3919792175293
Burundi,BDI,2012,32.9633293151855
Burundi,BDI,2013,33.8498992919922
Burundi,BDI,2014,35.2669792175293
Cambodia,KHM,1981,23.9317493438721
Cambodia,KHM,1982,20.2677307128906
Cambodia,KHM,1983,24.8922595977783
Cambodia,KHM,1984,23.7548599243164
Cambodia,KHM,1985,21.7547702789307
Cambodia,KHM,1986,23.4216003417969
Cambodia,KHM,1987,21.2418994903564
Cambodia,KHM,1988,19.7809104919434
Cambodia,KHM,1989,19.117790222168
Cambodia,KHM,1990,16.5583801269531
Cambodia,KHM,1991,16.6532592773438
Cambodia,KHM,1994,25.7920303344727
Cambodia,KHM,1995,25.3541507720947
Cambodia,KHM,1997,23.5987396240234
Cambodia,KHM,1998,24.0476207733154
Cambodia,KHM,2000,27.7851104736328
Cambodia,KHM,2001,23.8571395874023
Cambodia,KHM,2002,28.1480808258057
Cambodia,KHM,2003,24.6049995422363
Cambodia,KHM,2004,29.5618591308594
Cambodia,KHM,2005,24.6606407165527
Cambodia,KHM,2006,23.750940322876
Cambodia,KHM,2007,25.1619491577148
Cambodia,KHM,2008,22.9128799438477
Cambodia,KHM,2010,27.8956604003906
Cambodia,KHM,2011,27.3418598175049
Cambodia,KHM,2012,27.9901504516602
Cambodia,KHM,2013,28.5920295715332
Cambodia,KHM,2014,31.3458194732666
Cameroon,CMR,1977,31.5850105285645
Cameroon,CMR,1978,27.7092895507813
Cameroon,CMR,1979,26.6799697875977
Cameroon,CMR,1980,28.3250999450684
Cameroon,CMR,1981,26.834659576416
Cameroon,CMR,1983,23.9288597106934
Cameroon,CMR,1984,27.241039276123
Cameroon,CMR,1985,28.7178592681885
Cameroon,CMR,1986,29.9454002380371
Cameroon,CMR,1987,28.4492206573486
Cameroon,CMR,1988,29.7290496826172
Cameroon,CMR,1989,28.5459899902344
Cameroon,CMR,1990,26.9936103820801
