Entity,Code,Year,Political competition (%),Political participation (%)
Eastern Europe,,1826,0,0
Eastern Europe,,1827,0,0
Eastern Europe,,1828,0,0
Eastern Europe,,1829,0,0
Eastern Europe,,1830,0,0
Eastern Europe,,1831,0,0
Eastern Europe,,1832,0,0
Eastern Europe,,1833,0,0
Eastern Europe,,1834,0,0
Eastern Europe,,1835,0,0
Eastern Europe,,1836,0,0
Eastern Europe,,1837,0,0
Eastern Europe,,1838,0,0
Eastern Europe,,1839,0,0
Eastern Europe,,1840,0,0
Eastern Europe,,1841,0,0
Eastern Europe,,1842,0,0
Eastern Europe,,1843,0,0
Eastern Europe,,1844,0,0
Eastern Europe,,1845,0,0
Eastern Europe,,1846,0,0
Eastern Europe,,1847,0,0
Eastern Europe,,1848,0,0
Eastern Europe,,1849,0,0
Eastern Europe,,1850,0,0
Eastern Europe,,1851,0,0
Eastern Europe,,1852,0,0
Eastern Europe,,1853,0,0
Eastern Europe,,1854,0,0
Eastern Europe,,1855,0,0
Eastern Europe,,1856,0,0
Eastern Europe,,1857,0,0
Eastern Europe,,1858,0,0
Eastern Europe,,1859,0,0
Eastern Europe,,1860,0,0
Eastern Europe,,1861,0,0
Eastern Europe,,1862,0,0
Eastern Europe,,1863,0,0
Eastern Europe,,1864,0,0
Eastern Europe,,1865,0,0
Eastern Europe,,1866,0,0
Eastern Europe,,1867,0,0
Eastern Europe,,1868,0,0
Eastern Europe,,1869,5.5,2.23
Eastern Europe,,1870,5.5,2.23
Eastern Europe,,1871,6.3000002,2.23
Eastern Europe,,1872,5.3000002,1.42
Eastern Europe,,1873,2.7,1.54
Eastern Europe,,1874,1.5,0.12
Eastern Europe,,1875,1.2,0.12
Eastern Europe,,1876,1.6,0.89999998
Eastern Europe,,1877,1.6,0.88999999
Eastern Europe,,1878,2.5999999,0.92000002
Eastern Europe,,1879,3.7,0.38
Eastern Europe,,1880,3.5999999,0.37
Eastern Europe,,1881,3.5,0.34999999
Eastern Europe,,1882,3.5,0.34999999
Eastern Europe,,1883,3.5,0.34999999
Eastern Europe,,1884,3.2,0.34
Eastern Europe,,1885,3.2,0.33000001
Eastern Europe,,1886,3.7,0.33000001
Eastern Europe,,1887,3.7,0.33000001
Eastern Europe,,1888,3.7,0.33000001
Eastern Europe,,1889,3.7,0.33000001
Eastern Europe,,1890,3.5999999,0.31999999
Eastern Europe,,1891,4,0.87
Eastern Europe,,1892,4,0.87
Eastern Europe,,1893,3.5999999,0.88999999
Eastern Europe,,1894,3.5999999,0.88
Eastern Europe,,1895,3.5999999,0.88
Eastern Europe,,1896,4.0999999,0.88999999
Eastern Europe,,1897,4,0.88
Eastern Europe,,1898,4.0999999,0.88
Eastern Europe,,1899,4.5999999,0.93000001
Eastern Europe,,1900,4.5999999,0.92000002
Eastern Europe,,1901,4.4000001,0.92000002
Eastern Europe,,1902,4.3000002,0.92000002
Eastern Europe,,1903,4.3000002,0.88999999
Eastern Europe,,1904,4.3000002,0.88999999
Eastern Europe,,1905,5.0999999,0.88
Eastern Europe,,1906,4.3000002,0.86000001
Eastern Europe,,1907,4.0999999,0.89999998
Eastern Europe,,1908,4.4000001,0.99000001
Eastern Europe,,1909,4.3000002,0.98000002
Eastern Europe,,1910,5.5,0.83999997
Eastern Europe,,1911,5.9000001,0.83999997
Eastern Europe,,1912,5.9000001,0.85000002
Eastern Europe,,1913,6.0999999,0.86000001
Eastern Europe,,1914,5.0999999,0.91000003
Eastern Europe,,1915,5.0999999,0.92000002
Eastern Europe,,1916,5,0.81999999
Eastern Europe,,1917,5,0.82999998
Eastern Europe,,1918,5.8000002,1
Eastern Europe,,1919,12,3.78
Eastern Europe,,1920,12.9,5.1700001
Eastern Europe,,1921,13.2,5.1900001
Eastern Europe,,1922,15,6.25
Eastern Europe,,1923,12.5,5.7600002
Eastern Europe,,1924,12.3,5.79
Eastern Europe,,1925,12.4,5.8299999
Eastern Europe,,1926,5.8000002,1.8099999
Eastern Europe,,1927,5.8000002,1.83
Eastern Europe,,1928,10.1,4.0599999
Eastern Europe,,1929,10.1,3.99
Eastern Europe,,1930,8.6000004,3.97
Eastern Europe,,1931,13.1,5.8299999
Eastern Europe,,1932,13.2,5.79
Eastern Europe,,1933,14.3,7.5300002
Eastern Europe,,1934,12.7,6.71
Eastern Europe,,1935,11.8,4.75
Eastern Europe,,1936,11.9,4.7800002
Eastern Europe,,1937,12.2,27.58
Eastern Europe,,1938,10.3,27.25
Eastern Europe,,1939,0.60000002,23.68
Eastern Europe,,1940,0.5,23.790001
Eastern Europe,,1941,0.5,23.549999
Eastern Europe,,1942,0.5,23.35
Eastern Europe,,1943,0.5,23.15
Eastern Europe,,1944,0,22.610001
Eastern Europe,,1945,1.7,25.450001
Eastern Europe,,1946,3.3,30.02
Eastern Europe,,1947,4.6999998,33.849998
Eastern Europe,,1948,0.40000001,31.9
Eastern Europe,,1949,0.69999999,35.650002
Eastern Europe,,1950,0.69999999,36.27
Eastern Europe,,1951,0.69999999,36.25
Eastern Europe,,1952,0.30000001,38.310001
Eastern Europe,,1953,0.30000001,38.419998
Eastern Europe,,1954,0.2,38.810001
Eastern Europe,,1955,0.2,38.779999
Eastern Europe,,1956,0.2,38.740002
Eastern Europe,,1957,0.30000001,38.810001
Eastern Europe,,1958,0.30000001,39.57
Eastern Europe,,1959,0.30000001,39.529999
Eastern Europe,,1960,0.30000001,39.48
Eastern Europe,,1961,0.2,39.450001
Eastern Europe,,1962,0.2,38.900002
Eastern Europe,,1963,0.2,38.889999
Eastern Europe,,1964,0.2,38.790001
Eastern Europe,,1965,0.2,38.849998
Eastern Europe,,1966,0.2,38.049999
Eastern Europe,,1967,0.2,37.990002
Eastern Europe,,1968,0.2,37.880001
Eastern Europe,,1969,0.2,38.09
Eastern Europe,,1970,0.2,38.540001
Eastern Europe,,1971,0.1,38.560001
Eastern Europe,,1972,0.1,38.759998
Eastern Europe,,1973,0.1,38.689999
Eastern Europe,,1974,0,38.779999
Eastern Europe,,1975,0.1,38.869999
Eastern Europe,,1976,0.1,39.07
Eastern Europe,,1977,6.6999998,44.080002
Eastern Europe,,1978,6.6999998,44.040001
Eastern Europe,,1979,6.8000002,44.560001
Eastern Europe,,1980,6.8000002,44.560001
Eastern Europe,,1981,6.8000002,44.5
Eastern Europe,,1982,5.3000002,45.110001
Eastern Europe,,1983,5.1999998,45.029999
Eastern Europe,,1984,5.1999998,45.139999
Eastern Europe,,1985,5.3000002,43.400002
Eastern Europe,,1986,5.6999998,43.060001
Eastern Europe,,1987,5.5999999,42.990002
Eastern Europe,,1988,5.5999999,42.91
Eastern Europe,,1989,16.1,36.82
Eastern Europe,,1990,19.1,37.5
Eastern Europe,,1991,35.099998,46.959999
Eastern Europe,,1992,36.900002,45.93
Eastern Europe,,1993,28.299999,29.389999
Eastern Europe,,1994,30.299999,29.200001
Eastern Europe,,1995,31.299999,29.690001
Eastern Europe,,1996,32.400002,30.620001
Eastern Europe,,1997,31.4,30.08
Eastern Europe,,1998,32,29.200001
Eastern Europe,,1999,31.5,29.41
Eastern Europe,,2000,30.5,28.08
Latin America and Caribbean,,1820,0,0
Latin America and Caribbean,,1821,0,0
Latin America and Caribbean,,1822,0,0
Latin America and Caribbean,,1823,0,0
Latin America and Caribbean,,1824,0,0
Latin America and Caribbean,,1825,0,0
Latin America and Caribbean,,1826,0,0
Latin America and Caribbean,,1827,0,0
Latin America and Caribbean,,1828,0,0
Latin America and Caribbean,,1829,0,0
Latin America and Caribbean,,1830,0,0.0099999998
Latin America and Caribbean,,1831,0,0.0099999998
Latin America and Caribbean,,1832,0,0.0099999998
Latin America and Caribbean,,1833,0,0.0099999998
Latin America and Caribbean,,1834,0,0.0099999998
Latin America and Caribbean,,1835,0,0.0099999998
Latin America and Caribbean,,1836,0,0.07
Latin America and Caribbean,,1837,0,0.07
Latin America and Caribbean,,1838,0,0.059999999
Latin America and Caribbean,,1839,0,0.059999999
Latin America and Caribbean,,1840,0,0.059999999
Latin America and Caribbean,,1841,0,0.059999999
Latin America and Caribbean,,1842,0,0.059999999
Latin America and Caribbean,,1843,0,0.07
Latin America and Caribbean,,1844,0,0.07
Latin America and Caribbean,,1845,0.89999998,0.079999998
Latin America and Caribbean,,1846,0.89999998,0.079999998
Latin America and Caribbean,,1847,0.89999998,0.079999998
Latin America and Caribbean,,1848,0.89999998,0.079999998
Latin America and Caribbean,,1849,3.9000001,0.079999998
Latin America and Caribbean,,1850,5.3000002,0.079999998
Latin America and Caribbean,,1851,15.8,0.090000004
Latin America and Caribbean,,1852,15.8,0.1
Latin America and Caribbean,,1853,11.3,0.12
Latin America and Caribbean,,1854,8.1000004,0.11
Latin America and Caribbean,,1855,1.1,0.11
Latin America and Caribbean,,1856,1,0.23999999
Latin America and Caribbean,,1857,5.5999999,0.74000001
Latin America and Caribbean,,1858,5.5,2.1600001
Latin America and Caribbean,,1859,2.4000001,1.63
Latin America and Caribbean,,1860,2.4000001,1.8
Latin America and Caribbean,,1861,11.6,1.6900001
Latin America and Caribbean,,1862,11.8,0.20999999
Latin America and Caribbean,,1863,14.1,0.18000001
Latin America and Caribbean,,1864,3.5,0.33000001
Latin America and Caribbean,,1865,1.9,0.31999999
Latin America and Caribbean,,1866,2.4000001,0.31999999
Latin America and Caribbean,,1867,8.6999998,0.41999999
Latin America and Caribbean,,1868,11.8,0.33000001
Latin America and Caribbean,,1869,11.3,0.18000001
Latin America and Caribbean,,1870,11.2,0.18000001
Latin America and Caribbean,,1871,17.1,0.18000001
Latin America and Caribbean,,1872,8.3000002,0.16
Latin America and Caribbean,,1873,9,0.75
Latin America and Caribbean,,1874,9.1000004,0.85000002
Latin America and Caribbean,,1875,9.3000002,1.03
Latin America and Caribbean,,1876,6.0999999,0.79000002
Latin America and Caribbean,,1877,9.6000004,0.88
Latin America and Caribbean,,1878,4.5999999,0.31999999
Latin America and Caribbean,,1879,4,0.34
Latin America and Caribbean,,1880,6.0999999,1.12
Latin America and Caribbean,,1881,6.6999998,1.26
Latin America and Caribbean,,1882,6,0.74000001
Latin America and Caribbean,,1883,5.9000001,0.77999997
Latin America and Caribbean,,1884,8,0.91000003
Latin America and Caribbean,,1885,8,0.77999997
Latin America and Caribbean,,1886,4.8000002,0.76999998
Latin America and Caribbean,,1887,5.1999998,0.80000001
Latin America and Caribbean,,1888,3.8,0.74000001
Latin America and Caribbean,,1889,3.8,0.74000001
Latin America and Caribbean,,1890,4.8000002,0.69
Latin America and Caribbean,,1891,12.1,0.82999998
Latin America and Caribbean,,1892,13.4,0.83999997
Latin America and Caribbean,,1893,13.1,1.38
Latin America and Caribbean,,1894,9.1000004,1.91
Latin America and Caribbean,,1895,8.3999996,1.83
Latin America and Caribbean,,1896,10.1,1.83
Latin America and Caribbean,,1897,9.6999998,1.8
Latin America and Caribbean,,1898,8.8000002,1.21
Latin America and Caribbean,,1899,7.9000001,1.35
Latin America and Caribbean,,1900,6.9000001,1.35
Latin America and Caribbean,,1901,7.9000001,1.86
Latin America and Caribbean,,1902,10.2,2.26
Latin America and Caribbean,,1903,11,2.6099999
Latin America and Caribbean,,1904,13.8,2.6500001
Latin America and Caribbean,,1905,10.8,2.6400001
Latin America and Caribbean,,1906,7,2.3800001
Latin America and Caribbean,,1907,6.9000001,2.48
Latin America and Caribbean,,1908,6.9000001,2.4000001
Latin America and Caribbean,,1909,9.8999996,2.53
Latin America and Caribbean,,1910,16.6,2.9400001
Latin America and Caribbean,,1911,16.299999,2.8699999
Latin America and Caribbean,,1912,18,2.8800001
Latin America and Caribbean,,1913,16.4,3.02
Latin America and Caribbean,,1914,5.5999999,3.1700001
Latin America and Caribbean,,1915,8.5,3.53
Latin America and Caribbean,,1916,12.6,4.3600001
Latin America and Caribbean,,1917,14.4,5.2399998
Latin America and Caribbean,,1918,14,4.98
Latin America and Caribbean,,1919,26,5.0900002
Latin America and Caribbean,,1920,26.200001,5.77
Latin America and Caribbean,,1921,26.299999,5.5799999
Latin America and Caribbean,,1922,29.4,6.0599999
Latin America and Caribbean,,1923,29.9,6.0799999
Latin America and Caribbean,,1924,27.700001,6.29
Latin America and Caribbean,,1925,27.299999,7.1100001
Latin America and Caribbean,,1926,11,6.5100002
Latin America and Caribbean,,1927,9.8999996,6.4699998
Latin America and Caribbean,,1928,8.1000004,6.8000002
Latin America and Caribbean,,1929,8.8999996,7.1599998
Latin America and Caribbean,,1930,8.1000004,4.9299998
Latin America and Caribbean,,1931,14.7,6.4299998
Latin America and Caribbean,,1932,15.7,6.5700002
Latin America and Caribbean,,1933,13.4,6.3200002
Latin America and Caribbean,,1934,18,6.6500001
Latin America and Caribbean,,1935,18,7.29
Latin America and Caribbean,,1936,16.9,7.1300001
Latin America and Caribbean,,1937,10.6,8.3000002
Latin America and Caribbean,,1938,10.8,8.1099997
Latin America and Caribbean,,1939,12.4,8.46
Latin America and Caribbean,,1940,14.1,8.6300001
Latin America and Caribbean,,1941,14,8.0299997
Latin America and Caribbean,,1942,16.799999,9.1800003
Latin America and Caribbean,,1943,11.9,7.8499999
Latin America and Caribbean,,1944,11.2,7.98
Latin America and Caribbean,,1945,27.5,12.72
Latin America and Caribbean,,1946,37.200001,13.79
Latin America and Caribbean,,1947,37.299999,14.01
Latin America and Caribbean,,1948,37,13.99
Latin America and Caribbean,,1949,32.200001,12.34
Latin America and Caribbean,,1950,34.200001,14.17
Latin America and Caribbean,,1951,34.799999,17.42
Latin America and Caribbean,,1952,34.400002,18.370001
Latin America and Caribbean,,1953,33.299999,17.629999
Latin America and Caribbean,,1954,32.5,17.1
Latin America and Caribbean,,1955,32.700001,12.93
Latin America and Caribbean,,1956,35.200001,12.86
Latin America and Caribbean,,1957,35.700001,12.99
Latin America and Caribbean,,1958,41.799999,21.07
Latin America and Caribbean,,1959,41.900002,21.030001
Latin America and Caribbean,,1960,37.900002,21.610001
Latin America and Caribbean,,1961,37.700001,21.629999
Latin America and Caribbean,,1962,32.599998,16.82
Latin America and Caribbean,,1963,38.400002,20.030001
Latin America and Caribbean,,1964,19.4,14.58
Latin America and Caribbean,,1965,19.9,14.93
Latin America and Caribbean,,1966,15.2,11.8
Latin America and Caribbean,,1967,15.9,11.73
Latin America and Caribbean,,1968,13.6,10.7
Latin America and Caribbean,,1969,13.3,10.77
Latin America and Caribbean,,1970,15.7,11.64
Latin America and Caribbean,,1971,16.200001,12
Latin America and Caribbean,,1972,15.4,11.65
Latin America and Caribbean,,1973,15.9,14.24
Latin America and Caribbean,,1974,14.3,15.01
Latin America and Caribbean,,1975,14.7,15.14
Latin America and Caribbean,,1976,9.8999996,11.8
Latin America and Caribbean,,1977,9.8000002,11.97
Latin America and Caribbean,,1978,24.1,11.89
Latin America and Caribbean,,1979,24.299999,11.63
Latin America and Caribbean,,1980,26.700001,12.95
Latin America and Caribbean,,1981,28.1,13.71
Latin America and Caribbean,,1982,31.6,14.11
Latin America and Caribbean,,1983,35,17.709999
Latin America and Caribbean,,1984,36.599998,19.219999
Latin America and Caribbean,,1985,32.599998,20.52
Latin America and Caribbean,,1986,31.700001,19.9
Latin America and Caribbean,,1987,31.6,19.940001
Latin America and Caribbean,,1988,39.299999,25.75
Latin America and Caribbean,,1989,44.799999,35.669998
Latin America and Caribbean,,1990,51.299999,33.560001
Latin America and Caribbean,,1991,51.400002,33.529999
Latin America and Caribbean,,1992,51.5,33.52
Latin America and Caribbean,,1993,51,32.959999
Latin America and Caribbean,,1994,51,37.889999
Latin America and Caribbean,,1995,50.400002,37.700001
Latin America and Caribbean,,1996,51.599998,38.23
Latin America and Caribbean,,1997,51.700001,38.18
Latin America and Caribbean,,1998,52.599998,37.75
Latin America and Caribbean,,1999,51.900002,37.599998
Latin America and Caribbean,,2000,51.700001,36.91
Middle East and North Africa,,1820,0,0
Middle East and North Africa,,1821,0,0
Middle East and North Africa,,1822,0,0
Middle East and North Africa,,1823,0,0
Middle East and North Africa,,1824,0,0
Middle East and North Africa,,1825,0,0
Middle East and North Africa,,1826,0,0
Middle East and North Africa,,1827,0,0
Middle East and North Africa,,1828,0,0
Middle East and North Africa,,1829,0,0
Middle East and North Africa,,1830,0,0
Middle East and North Africa,,1831,0,0
Middle East and North Africa,,1832,0,0
Middle East and North Africa,,1833,0,0
Middle East and North Africa,,1834,0,0
Middle East and North Africa,,1835,0,0
Middle East and North Africa,,1836,0,0
Middle East and North Africa,,1837,0,0
Middle East and North Africa,,1838,0,0
Middle East and North Africa,,1839,0,0
Middle East and North Africa,,1840,0,0
Middle East and North Africa,,1841,0,0
Middle East and North Africa,,1842,0,0
Middle East and North Africa,,1843,0,0
Middle East and North Africa,,1844,0,0
Middle East and North Africa,,1845,0,0
Middle East and North Africa,,1846,0,0
Middle East and North Africa,,1847,0,0
Middle East and North Africa,,1848,0,0
Middle East and North Africa,,1849,0,0
Middle East and North Africa,,1850,0,0
Middle East and North Africa,,1851,0,0
Middle East and North Africa,,1852,0,0
Middle East and North Africa,,1853,0,0
Middle East and North Africa,,1854,0,0
Middle East and North Africa,,1855,0,0
Middle East and North Africa,,1856,0,0
Middle East and North Africa,,1857,0,0
Middle East and North Africa,,1858,0,0
Middle East and North Africa,,1859,0,0
Middle East and North Africa,,1860,0,0
Middle East and North Africa,,1861,0,0
Middle East and North Africa,,1862,0,0
Middle East and North Africa,,1863,0,0
Middle East and North Africa,,1864,0,0
Middle East and North Africa,,1865,0,0
Middle East and North Africa,,1866,0,0
Middle East and North Africa,,1867,0,0
Middle East and North Africa,,1868,0,0
Middle East and North Africa,,1869,0,0
Middle East and North Africa,,1870,0,0
Middle East and North Africa,,1871,0,0
Middle East and North Africa,,1872,0,0
Middle East and North Africa,,1873,0,0
Middle East and North Africa,,1874,0,0
Middle East and North Africa,,1875,0,0
Middle East and North Africa,,1876,0,0
Middle East and North Africa,,1877,0,0
Middle East and North Africa,,1878,0,0
Middle East and North Africa,,1879,0,0
Middle East and North Africa,,1880,0,0
Middle East and North Africa,,1881,0,0
Middle East and North Africa,,1882,0,0
Middle East and North Africa,,1883,0,0
Middle East and North Africa,,1884,0,0
Middle East and North Africa,,1885,0,0
Middle East and North Africa,,1886,0,0
Middle East and North Africa,,1887,0,0
Middle East and North Africa,,1888,0,0
Middle East and North Africa,,1889,0,0
Middle East and North Africa,,1890,0,0
Middle East and North Africa,,1891,0,0
Middle East and North Africa,,1892,0,0
Middle East and North Africa,,1893,0,0
Middle East and North Africa,,1894,0,0
Middle East and North Africa,,1895,0,0
Middle East and North Africa,,1896,0,0
Middle East and North Africa,,1897,0,0
Middle East and North Africa,,1898,0,0
Middle East and North Africa,,1899,0,0
Middle East and North Africa,,1900,0,0
Middle East and North Africa,,1901,0,0
Middle East and North Africa,,1902,0,0
Middle East and North Africa,,1903,0,0
Middle East and North Africa,,1904,0,0
Middle East and North Africa,,1905,0,0
Middle East and North Africa,,1906,9.6999998,0
Middle East and North Africa,,1907,9.6999998,0
Middle East and North Africa,,1908,0,0
Middle East and North Africa,,1909,9.6999998,0
Middle East and North Africa,,1910,9.6999998,0
Middle East and North Africa,,1911,0,0
Middle East and North Africa,,1912,0,0
Middle East and North Africa,,1913,0,0
Middle East and North Africa,,1914,9.6999998,0.14
Middle East and North Africa,,1915,0,0
Middle East and North Africa,,1916,0,0
Middle East and North Africa,,1917,0,0
Middle East and North Africa,,1918,0,0
Middle East and North Africa,,1919,0,0
Middle East and North Africa,,1920,0,0
Middle East and North Africa,,1921,9.6000004,0.14
Middle East and North Africa,,1922,9.6000004,0.14
Middle East and North Africa,,1923,9.6000004,0.14
Middle East and North Africa,,1924,9.6000004,0.14
Middle East and North Africa,,1925,0,0
Middle East and North Africa,,1926,0,0
Middle East and North Africa,,1927,0,0
Middle East and North Africa,,1928,0,0
Middle East and North Africa,,1929,0,0
Middle East and North Africa,,1930,0,0
Middle East and North Africa,,1931,0,0
Middle East and North Africa,,1932,0.1,0
Middle East and North Africa,,1933,0.1,0
Middle East and North Africa,,1934,0.1,0
Middle East and North Africa,,1935,0,0
Middle East and North Africa,,1936,0,0
Middle East and North Africa,,1937,0.1,0
Middle East and North Africa,,1938,0,0
Middle East and North Africa,,1939,0.1,0
Middle East and North Africa,,1940,0,0
Middle East and North Africa,,1941,9.3000002,0.13
Middle East and North Africa,,1942,9.3000002,0.13
Middle East and North Africa,,1943,9.3000002,0.13
Middle East and North Africa,,1944,9.3000002,0.13
Middle East and North Africa,,1945,9.3000002,0.25999999
Middle East and North Africa,,1946,9.1999998,0.25999999
Middle East and North Africa,,1947,5.3000002,0.40000001
Middle East and North Africa,,1948,5.3000002,0.40000001
Middle East and North Africa,,1949,11,1.6
Middle East and North Africa,,1950,11,1.6
Middle East and North Africa,,1951,11.1,1.8
Middle East and North Africa,,1952,10.9,1.79
Middle East and North Africa,,1953,10.8,1.83
Middle East and North Africa,,1954,1.9,1.8099999
Middle East and North Africa,,1955,2.0999999,1.91
Middle East and North Africa,,1956,2.4000001,1.89
Middle East and North Africa,,1957,2,1.77
Middle East and North Africa,,1958,2,1.76
Middle East and North Africa,,1959,1.8,1.6900001
Middle East and North Africa,,1960,1.8,1.36
Middle East and North Africa,,1961,1.9,1.33
Middle East and North Africa,,1962,1.8,1.37
Middle East and North Africa,,1963,2.4000001,2.3199999
Middle East and North Africa,,1964,2.3,2.29
Middle East and North Africa,,1965,2.3,2.29
Middle East and North Africa,,1966,2.2,2.25
Middle East and North Africa,,1967,3.7,2.25
Middle East and North Africa,,1968,3.7,2.24
